RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
48,0,23325,Vaughn Taylor,69.97,2169,31
49,0,35376,Roberto Díaz,70.00,1120,16
49,0,26851,Marc Leishman,70.00,1960,28
49,0,34466,Peter Malnati,70.00,2450,35
49,0,27556,Ted Potter Jr.,70.00,980,14
53,0,28775,Nate Lashley,70.05,1541,22
54,0,19803,Ryan Armour,70.06,1261,18
54,0,30911,Tommy Fleetwood,70.06,2242,32
54,0,45486,Joaquin Niemann,70.06,2172,31
54,0,31323,Gary Woodland,70.06,2522,36
58,0,25900,Lucas Glover,70.08,2593,37
58,0,25493,Nick Taylor,70.08,1822,26
60,0,29926,Danny Lee,70.12,1753,25
60,0,24502,Adam Scott,70.12,2384,34
60,0,47128,Richy Werenski,70.12,1192,17
63,0,01810,Phil Mickelson,70.14,1543,22
64,0,25198,Francesco Molinari,70.15,1403,20
65,0,23320,Ryan Palmer,70.16,1333,19
66,0,29725,Tony Finau,70.17,2947,42
67,0,26329,Louis Oosthuizen,70.18,1965,28
67,0,32058,José de Jesús Rodríguez,70.18,1193,17
67,0,26951,Johnson Wagner,70.18,1193,17
70,0,40009,Dominic Bozzelli,70.21,1334,19
70,0,37340,Chase Wright,70.21,1334,19
72,0,48822,Sebastián Muñoz,70.22,1896,27
73,0,27958,Ryan Blaum,70.24,2037,29
73,0,26596,Ryan Moore,70.24,1475,21
75,0,21961,Charles Howell III,70.26,2740,39
75,0,25572,Graeme McDowell,70.26,1616,23
77,0,49303,Anders Albertson,70.29,1195,17
78,0,46523,Joey Garber,70.32,1336,19
78,0,30692,Scott Stallings,70.32,1336,19
78,0,40115,Adam Svensson,70.32,1758,25
81,0,22371,Aaron Baddeley,70.33,1055,15
82,0,37189,Harold Varner III,70.34,2251,32
83,0,27649,Brandt Snedeker,70.36,2322,33
84,0,33667,Carlos Ortiz,70.37,1337,19
85,0,34563,Chesson Hadley,70.38,1830,26
85,0,33122,Russell Knox,70.38,915,13
87,0,25686,Jason Dufner,70.40,1408,20
88,0,10809,Jim Furyk,70.41,1901,27
89,0,29535,Brice Garnett,70.43,1479,21
89,0,26300,Matt Jones,70.43,2113,30
89,0,35449,Adam Long,70.43,1479,21
92,0,31420,Anirban Lahiri,70.44,1127,16
93,0,47504,Sam Burns,70.47,1198,17
93,0,34360,Patrick Reed,70.47,3312,47
95,0,29268,Bronson Burgoon,70.50,1128,16
95,0,39977,Max Homa,70.50,1410,20
95,0,33486,Roger Sloan,70.50,1833,26
98,0,28089,Jason Day,70.52,2045,29
99,0,27936,Martin Laird,70.53,2257,32
99,0,27963,Chris Stroud,70.53,1199,17
101,0,26758,David Hearn,70.55,776,11
101,0,35891,Cameron Smith,70.55,1411,20
103,0,28679,Fabián Gómez,70.57,988,14
103,0,24138,Ian Poulter,70.57,2117,30
103,0,21528,Henrik Stenson,70.57,1623,23
106,0,33948,Byeong Hun An,70.58,1835,26
106,0,29478,Kevin Kisner,70.58,2188,31
108,0,35506,Mackenzie Hughes,70.59,1553,22
108,0,36699,Patrick Rodgers,70.59,1200,17
110,0,49766,Hank Lebioda,70.65,1201,17
110,0,25804,Bubba Watson,70.65,1837,26
112,0,27974,Sung Kang,70.68,1343,19
112,0,33419,Cameron Tringale,70.68,1555,22
114,0,39327,Ben Silverman,70.69,1131,16
115,0,12716,Charley Hoffman,70.70,1626,23
116,0,29970,Dylan Frittelli,70.71,1980,28
116,0,32791,K.H. Lee,70.71,1697,24
118,0,21209,Sergio Garcia,70.72,1273,18
118,0,29420,Billy Horschel,70.72,2546,36
120,0,32757,Patton Kizzire,70.74,1344,19
120,0,35879,Kelly Kraft,70.74,1627,23
122,0,40026,Daniel Berger,70.75,1415,20
122,0,36799,Stephan Jaeger,70.75,1415,20
122,0,30786,Brady Schnell,70.75,1132,16
122,0,27064,Jhonattan Vegas,70.75,1698,24
126,0,49960,Sepp Straka,70.77,2123,30
127,0,23353,J.J. Henry,70.80,708,10
127,0,35461,Beau Hossler,70.80,1416,20
129,0,27895,Jonas Blixt,70.81,1133,16
130,0,32640,Troy Merritt,70.82,1204,17
131,0,27644,Brian Harman,70.84,1771,25
132,0,39971,Sungjae Im,70.85,3259,46
132,0,34256,Andrew Putnam,70.85,1913,27
134,0,29223,Sam Saunders,70.86,1488,21
134,0,32150,Michael Thompson,70.86,1559,22
136,0,33410,Andrew Landry,70.89,1347,19
137,0,46601,Trey Mullinax,70.92,922,13
138,0,25396,Kevin Na,70.93,1064,15
138,0,34046,Jordan Spieth,70.93,2908,41
140,0,35421,Brandon Harkins,70.94,1206,17
140,0,30946,Alex Prugh,70.94,1206,17
142,0,34021,Bud Cauley,70.95,1561,22
142,0,29908,C.T. Pan,70.95,1490,21
144,0,27214,Kevin Streelman,70.96,1845,26
145,0,24024,Zach Johnson,71.00,1136,16
145,0,34431,Robert Streb,71.00,1562,22
147,0,37380,Curtis Luck,71.06,1137,16
148,0,29479,Scott Brown,71.09,1635,23
149,0,46435,Austin Cook,71.16,1352,19
149,0,27129,Luke List,71.16,1352,19
151,0,49964,Aaron Wise,71.17,1637,23
152,0,19846,Brian Gay,71.18,1566,22
152,0,39954,Cody Gribble,71.18,783,11
154,0,34076,Joel Dahmen,71.21,2350,33
155,0,27349,Alex Noren,71.25,1140,16
155,0,20572,Rod Pampling,71.25,285,4
157,0,35617,Martin Trainer,71.29,998,14
158,0,34261,Scott Langley,71.32,1355,19
159,0,34099,Harris English,71.33,1284,18
160,0,39546,Keith Mitchell,71.36,1998,28
161,0,30191,Julián Etulain,71.41,1214,17
162,0,31646,Emiliano Grillo,71.42,1857,26
163,0,26499,Rafa Cabrera Bello,71.43,1500,21
164,0,20472,Alex Cejka,71.46,929,13
165,0,24925,Jonathan Byrd,71.50,1144,16
165,0,06522,Ernie Els,71.50,715,10
165,0,40098,Matt Fitzpatrick,71.50,1144,16
165,0,34363,Tyrrell Hatton,71.50,1287,18
169,0,49298,Kramer Hickok,71.53,1073,15
170,0,33141,Keegan Bradley,71.59,1575,22
171,0,32139,Danny Willett,71.61,1289,18
172,0,46501,Ollie Schniederjans,71.67,860,12
173,0,47990,Kyle Jones,71.71,1004,14
174,0,30978,Kiradech Aphibarnrat,71.78,1651,23
175,0,35532,Tom Hoge,71.83,1724,24
176,0,28259,Sangmoon Bae,71.92,935,13
176,0,34306,John Chin,71.92,935,13
176,0,29518,Brendan Steele,71.92,863,12
179,0,29974,Branden Grace,72.00,864,12
179,0,24781,Hunter Mahan,72.00,792,11
181,0,28252,Seamus Power,72.05,1513,21
182,0,27141,J.B. Holmes,72.08,1802,25
183,0,21731,Freddie Jacobson,72.30,723,10
184,0,32816,Satoshi Kodaira,72.50,580,8
185,0,47856,Seth Reeves,72.58,871,12
186,0,25632,Jimmy Walker,72.71,1018,14
187,0,39975,Michael Kim,72.85,947,13
188,0,37454,Whee Kim,73.00,1241,17
