RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
108,0,39954,Cody Gribble,+.136
108,0,20572,Rod Pampling,+.136
108,0,24361,Pat Perez,+.136
111,0,25900,Lucas Glover,+.138
111,0,46402,Talor Gooch,+.138
111,0,34363,Tyrrell Hatton,+.138
114,0,29478,Kevin Kisner,+.139
115,0,35376,Roberto Díaz,+.140
116,0,34563,Chesson Hadley,+.141
116,0,27349,Alex Noren,+.141
118,0,34213,Grayson Murray,+.142
119,0,32839,Hideki Matsuyama,+.143
120,0,29908,C.T. Pan,+.144
121,0,37455,Si Woo Kim,+.145
122,0,25240,D.A. Points,+.146
122,0,32254,Xinjun Zhang,+.146
124,0,20157,Retief Goosen,+.148
125,0,48084,Wesley Bryan,+.149
126,0,26758,David Hearn,+.150
127,0,33948,Byeong Hun An,+.154
128,0,35545,Blayne Barber,+.155
129,0,33141,Keegan Bradley,+.158
129,0,48081,Xander Schauffele,+.158
131,0,24846,Ricky Barnes,+.159
131,0,24925,Jonathan Byrd,+.159
133,0,39997,Corey Conners,+.161
133,0,46501,Ollie Schniederjans,+.161
135,0,35532,Tom Hoge,+.162
136,0,31416,Derek Fathauer,+.164
136,0,26476,Chez Reavie,+.164
138,0,49771,J.T. Poston,+.165
139,0,23353,J.J. Henry,+.167
139,0,25892,Steve Wheatcroft,+.167
141,0,28679,Fabián Gómez,+.169
141,0,33413,Ben Martin,+.169
141,0,26329,Louis Oosthuizen,+.169
141,0,37189,Harold Varner III,+.169
145,0,40058,Zac Blair,+.176
146,0,35506,Mackenzie Hughes,+.179
146,0,22582,Kyle Thompson,+.179
148,0,37338,Zecheng Dou,+.180
149,0,29479,Scott Brown,+.181
149,0,20593,Greg Chalmers,+.181
149,0,24140,Sean O'Hair,+.181
149,0,27963,Chris Stroud,+.181
153,0,37454,Whee Kim,+.183
153,0,31420,Anirban Lahiri,+.183
155,0,33204,Shane Lowry,+.185
156,0,26300,Matt Jones,+.186
157,0,28500,Martin Flores,+.188
157,0,39975,Michael Kim,+.188
157,0,34358,Jonathan Randolph,+.188
160,0,34466,Peter Malnati,+.189
161,0,39328,Conrad Shindler,+.194
162,0,35544,Andrew Yun,+.197
163,0,24502,Adam Scott,+.200
164,0,29268,Bronson Burgoon,+.203
164,0,25396,Kevin Na,+.203
166,0,39327,Ben Silverman,+.205
167,0,29518,Brendan Steele,+.206
167,0,29485,Brett Stegmaier,+.206
169,0,33410,Andrew Landry,+.207
169,0,25818,Scott Piercy,+.207
171,0,32448,James Hahn,+.208
172,0,32876,Martin Piller,+.210
173,0,23541,Ben Crane,+.212
174,0,37278,Nicholas Lindheim,+.214
174,0,25632,Jimmy Walker,+.214
176,0,30911,Tommy Fleetwood,+.217
176,0,19846,Brian Gay,+.217
178,0,25198,Francesco Molinari,+.221
179,0,47128,Richy Werenski,+.224
180,0,33419,Cameron Tringale,+.231
181,0,49964,Aaron Wise,+.233
182,0,26851,Marc Leishman,+.235
183,0,29222,Billy Hurley III,+.240
184,0,36699,Patrick Rodgers,+.241
185,0,32150,Michael Thompson,+.247
186,0,23320,Ryan Palmer,+.257
187,0,25834,Daniel Summerhays,+.258
188,0,30978,Kiradech Aphibarnrat,+.260
189,0,28307,Matt Every,+.265
190,0,35879,Kelly Kraft,+.282
191,0,32816,Satoshi Kodaira,+.293
192,0,33399,Adam Hadwin,+.296
193,0,27974,Sung Kang,+.388
