RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
45,0,21961,Charles Howell III,17.70,20,113
46,0,29221,Webb Simpson,17.60,22,125
47,0,31202,William McGirt,17.57,13,74
48,0,33120,Mark Anderson,17.50,14,80
49,0,20229,Stewart Cink,17.47,29,166
50,0,25720,Chad Collins,17.43,19,109
51,0,48822,Sebastián Muñoz,17.39,16,92
52,0,29289,S.Y. Noh,17.37,29,167
53,0,24140,Sean O'Hair,17.29,23,133
54,0,28500,Martin Flores,17.22,26,151
55,0,36801,Mark Hubbard,17.12,19,111
56,0,12716,Charley Hoffman,17.02,24,141
57,0,33948,Byeong Hun An,17.00,17,100
58,0,31557,Jim Herman,16.96,19,112
59,0,24924,Bill Haas,16.79,22,131
60,0,21209,Sergio Garcia,16.67,14,84
60,0,34174,John Huh,16.67,23,138
62,0,27770,Camilo Villegas,16.55,23,139
63,0,28679,Fabián Gómez,16.39,10,61
64,0,32102,Rickie Fowler,16.33,16,98
65,0,34264,Hudson Swafford,16.31,23,141
66,0,40026,Daniel Berger,16.28,14,86
67,0,34099,Harris English,16.17,27,167
68,0,46440,Smylie Kaufman,16.06,22,137
69,0,26951,Johnson Wagner,15.84,16,101
70,0,35891,Cameron Smith,15.75,20,127
70,0,31323,Gary Woodland,15.75,20,127
72,0,40058,Zac Blair,15.74,17,108
73,0,26289,Boo Weekley,15.73,14,89
74,0,48081,Xander Schauffele,15.65,18,115
75,0,24781,Hunter Mahan,15.56,14,90
75,0,29485,Brett Stegmaier,15.56,14,90
77,0,23621,Rory Sabbatini,15.49,11,71
77,0,27064,Jhonattan Vegas,15.49,22,142
79,0,26851,Marc Leishman,15.46,15,97
80,0,26758,David Hearn,15.38,12,78
80,0,33204,Shane Lowry,15.38,8,52
80,0,26476,Chez Reavie,15.38,16,104
80,0,23325,Vaughn Taylor,15.38,16,104
84,0,34466,Peter Malnati,15.24,16,105
85,0,01810,Phil Mickelson,15.20,26,171
86,0,22046,Geoff Ogilvy,15.09,16,106
87,0,24358,Robert Garrigus,15.04,17,113
87,0,23353,J.J. Henry,15.04,20,133
89,0,29908,C.T. Pan,14.97,22,147
90,0,32839,Hideki Matsuyama,14.94,13,87
91,0,20572,Rod Pampling,14.81,12,81
91,0,29518,Brendan Steele,14.81,16,108
93,0,32640,Troy Merritt,14.71,15,102
94,0,27436,Graham DeLaet,14.68,16,109
95,0,29223,Sam Saunders,14.67,11,75
95,0,25632,Jimmy Walker,14.67,11,75
97,0,24361,Pat Perez,14.55,16,110
98,0,33419,Cameron Tringale,14.49,20,138
99,0,29222,Billy Hurley III,14.47,23,159
100,0,29725,Tony Finau,14.46,24,166
101,0,32366,Kevin Chappell,14.40,18,125
102,0,24507,Jason Bohn,14.29,14,98
102,0,30852,Ryo Ishikawa,14.29,12,84
102,0,37454,Whee Kim,14.29,19,133
105,0,36699,Patrick Rodgers,14.19,21,148
106,0,39975,Michael Kim,14.18,19,134
107,0,46501,Ollie Schniederjans,14.14,28,198
108,0,30692,Scott Stallings,14.09,21,149
109,0,28089,Jason Day,14.02,15,107
109,0,46601,Trey Mullinax,14.02,23,164
111,0,39324,J.J. Spaun,14.00,14,100
112,0,24138,Ian Poulter,13.75,11,80
113,0,23541,Ben Crane,13.68,13,95
114,0,20771,Steven Alker,13.64,9,66
114,0,29479,Scott Brown,13.64,18,132
114,0,46732,Rick Lamb,13.64,9,66
117,0,34021,Bud Cauley,13.57,19,140
118,0,30110,Kyle Stanley,13.51,15,111
119,0,25686,Jason Dufner,13.45,16,119
120,0,35110,Brett Drewitt,13.41,11,82
120,0,25349,Tim Wilkinson,13.41,11,82
122,0,12510,Chad Campbell,13.33,20,150
123,0,31416,Derek Fathauer,13.28,17,128
124,0,34358,Jonathan Randolph,13.25,11,83
125,0,22056,Cameron Percy,13.13,13,99
125,0,32333,Kevin Tway,13.13,21,160
127,0,25834,Daniel Summerhays,13.08,17,130
128,0,35545,Blayne Barber,13.04,15,115
128,0,26499,Rafa Cabrera Bello,13.04,9,69
130,0,40009,Dominic Bozzelli,12.94,11,85
131,0,35506,Mackenzie Hughes,12.80,21,164
132,0,19803,Ryan Armour,12.70,8,63
132,0,27095,Nick Watney,12.70,16,126
134,0,25191,Gonzalo Fernandez-Castaño,12.63,12,95
135,0,37455,Si Woo Kim,12.62,13,103
136,0,35300,Andrew Loupe,12.50,12,96
136,0,33413,Ben Martin,12.50,13,104
138,0,28307,Matt Every,12.42,19,153
139,0,29926,Danny Lee,12.31,16,130
140,0,20472,Alex Cejka,12.26,13,106
140,0,24024,Zach Johnson,12.26,13,106
142,0,33141,Keegan Bradley,12.21,16,131
