"course_id","facility_name","course_name","city","state","course_details_path"
"2660","Lake Chabot GC","Lake Chabot GC","Oakland","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2660"
"5673","Lake Forest Golf Course","Lake Forest Golf Course","Lake Forest","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5673"
"5662","Lake Lindero Country Club","Lake Lindero Country Club","Agoura Hills","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5662"
"7806","Lake Merced GC","Lake Merced GC","Daly City","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7806"
"7819","Lake of the Pines CC","Lake of the Pines CC","Auburn","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7819"
"2804","Lake Redding GC","Lake Redding GC","Redding","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2804"
"14240","Lake Shastina GR","Lake Shastina GR - Championship","Weed","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14240"
"14241","Lake Shastina GR","Lake Shastina GR - Scottish Links","Weed","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14241"
"14247","Lake Tahoe GC","Lake Tahoe GC","South Lake Tahoe","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14247"
"26911","Lake Tamarisk Golf Course","Lake Tamarisk Golf Course","Desert Center","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=26911"
"7794","Lake Wildwood CC","Lake Wildwood CC","Penn Valley","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7794"
"33775","Lakehouse Resort","Lakehouse Resort - THE EXEC AT LAKEHOUSE","Lake San Marcos","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=33775"
"2511","Lakehouse Resort","Lakehouse Resort - THE LINKS AT LAKEHOUSE","Lake San Marcos","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2511"
"2507","Lakeside Golf Club","Lakeside Golf Club","Burbank","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2507"
"2175","Lakewood Country Club","Lakewood Country Club","Lakewood","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2175"
"2653","Las Posas Country Club","Las Posas Country Club","Camarillo","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2653"
