RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
102,0,01414,Bob Gilder,$154934
103,0,01771,Blaine McCallister,$152048
104,0,01475,Donnie Hammond,$151811
105,0,01331,Rick Fehr,$149867
106,0,01098,Jay Don Blake,$148384
107,0,01168,David Canipe,$144676
108,0,02230,Stan Utley,$143604
109,0,01701,Bob Lohr,$141260
110,0,02090,Tom Sieckmann,$141242
111,0,02148,Ray Stewart,$139536
112,0,02190,Doug Tewell,$137795
113,0,01157,Tom Byrum,$136910
114,0,02292,Bob Wolcott,$133278
115,0,01577,Lee Janzen,$132986
116,0,01014,Fulton Allem,$132493
117,0,02007,Larry Rinker,$132442
118,0,01200,Keith Clearwater,$130103
119,0,01068,Andy Bean,$129669
120,0,02225,Howard Twitty,$129444
121,0,01468,Gary Hallberg,$128954
122,0,01006,John Adams,$127733
123,0,01288,Ed Dougherty,$124505
124,0,01864,Larry Nelson,$124260
125,0,01303,Bob Eastwood,$123908
126,0,01040,Emlyn Aubrey,$122329
127,0,01106,Jim Booros,$121948
128,0,02298,Jim Woodward,$118462
129,0,01156,Curt Byrum,$117134
130,0,01151,Clark Burroughs,$115923
131,0,02033,Dave Rummells,$111539
132,0,01307,Joel Edwards,$109809
133,0,01346,Ed Fiori,$108816
134,0,01154,Bill Buttner,$107621
135,0,01078,Jim Benepe,$105087
136,0,01266,Clark Dennis,$103721
137,0,01878,Andy North,$99651
138,0,01835,Tommy Moore,$99276
139,0,01150,George Burns,$96443
140,0,06197,Michael Allen,$95319
141,0,02076,Peter Senior,$94244
142,0,06332,Neal Lancaster,$85769
143,0,01557,John Inman,$85289
144,0,01051,Seve Ballesteros,$84584
145,0,01310,Dave Eichelberger,$80692
146,0,01201,Lennie Clements,$80096
147,0,02167,Mike Sullivan,$80038
148,0,02195,Leonard Thompson,$78017
149,0,01499,Mark Hayes,$76743
150,0,01971,Dillard Pruitt,$76352
151,0,01458,Jerry Haas,$74702
152,0,02020,Eduardo Romero,$74667
153,0,01282,Trevor Dodds,$74544
154,0,01533,P.H. Horgan III,$72898
155,0,02185,Lance Ten Broeck,$72896
156,0,02300,Ian Woosnam,$72138
157,0,02246,Duffy Waldorf,$71674
158,0,06130,Jeffrey Wilson,$70011
159,0,01707,Steve Lowery,$68524
160,0,01869,Jack Nicklaus,$68045
161,0,06128,Steve Lamontagne,$67608
162,0,01507,Webb Heintzelman,$67376
163,0,02215,Paul Trittler,$67149
164,0,01790,Pat McGowan,$66738
165,0,01443,Hubert Green,$65948
166,0,02095,Larry Silveira,$65696
167,0,01891,David Ogrin,$64190
168,0,01571,Barry Jaeckel,$63590
169,0,01736,Roger Maltbie,$58536
170,0,06118,Greg Bruckner,$58464
171,0,01487,Jeff Hart,$57189
172,0,01175,Jim Carter,$54392
173,0,01935,Calvin Peete,$54379
174,0,02118,J.C. Snead,$53231
175,0,01717,Sandy Lyle,$51280
176,0,02087,Don Shirey Jr.,$50421
177,0,02245,Grant Waite,$50076
178,0,02224,Greg Twiggs,$49696
179,0,01030,Isao Aoki,$49047
180,0,02180,Harry Taylor,$45647
181,0,01920,Craig Parry,$43351
182,0,02255,Denis Watson,$43013
183,0,01333,Jack Ferenz,$39596
184,0,06142,Mitch Adcock,$38818
185,0,01905,Joe Ozaki,$37330
186,0,01641,Gary Koch,$36469
187,0,01666,Bernhard Langer,$35150
188,0,01796,Mark McNulty,$34375
189,0,01981,Ronan Rafferty,$34029
190,0,01093,Ronnie Black,$34001
191,0,01779,Gary McCord,$32249
192,0,01906,Masashi Jumbo Ozaki,$31834
193,0,06132,Sonny Skinner,$29565
194,0,01197,Bobby Clampett,$29268
195,0,06150,Carl Cooper,$28755
196,0,01489,Steve Hart,$28575
197,0,01023,Jerry Anderson,$28037
198,0,01984,Sam Randolph,$27529
199,0,01321,Tom Eubank,$27345
200,0,01925,Jerry Pate,$26953
201,0,01522,Lon Hinkle,$26052
202,0,02023,Clarence Rose,$25908
203,0,02222,Billy Tuten,$25870
204,0,01436,David Graham,$24492
205,0,06483,Ricky Kawagishi,$23633
206,0,06144,John Dowdall,$22215
207,0,06530,Ray Pearce,$21900
