RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
105,0,46550,Brandon Hagy,85.07,228,268,-0.52
107,0,49298,Kramer Hickok,85.05,165,194,-0.55
108,0,47504,Sam Burns,85.04,233,274,-0.67
109,0,29725,Tony Finau,85.00,221,260,-0.67
110,0,32150,Michael Thompson,84.95,175,206,-0.56
111,0,34360,Patrick Reed,84.94,203,239,-0.67
112,0,31560,Brian Stuard,84.91,197,232,-0.56
113,0,48822,Sebastián Muñoz,84.90,298,351,-0.54
113,0,47347,Adam Schenk,84.90,253,298,-0.58
115,0,34466,Peter Malnati,84.83,179,211,-0.54
115,0,29908,C.T. Pan,84.83,179,211,-0.56
117,0,21209,Sergio Garcia,84.76,278,328,-0.62
118,0,35230,Nelson Ledesma,84.73,111,131,-0.51
119,0,25396,Kevin Na,84.67,221,261,-0.64
120,0,25493,Nick Taylor,84.64,259,306,-0.55
121,0,31557,Jim Herman,84.62,143,169,-0.58
121,0,32791,K.H. Lee,84.62,286,338,-0.58
121,0,35449,Adam Long,84.62,187,221,-0.55
124,0,33667,Carlos Ortiz,84.59,291,344,-0.57
124,0,27214,Kevin Streelman,84.59,247,292,-0.51
126,0,23108,Matt Kuchar,84.58,170,201,-0.57
127,0,52372,Cameron Champ,84.56,252,298,-0.56
128,0,39953,Chase Seiffert,84.50,169,200,-0.58
129,0,39975,Michael Kim,84.43,141,167,-0.55
130,0,45609,Tyler Duncan,84.25,230,273,-0.47
131,0,26476,Chez Reavie,84.24,155,184,-0.48
132,0,53165,Doc Redman,84.23,187,222,-0.48
132,0,36699,Patrick Rodgers,84.23,267,317,-0.57
134,0,22405,Justin Rose,84.13,106,126,-0.65
135,0,33404,Chris Baker,84.09,111,132,-0.47
136,0,01810,Phil Mickelson,84.06,211,251,-0.56
137,0,24781,Hunter Mahan,84.00,105,125,-0.56
137,0,49771,J.T. Poston,84.00,231,275,-0.64
139,0,33120,Mark Anderson,83.97,110,131,-0.54
140,0,45157,Cam Davis,83.92,334,398,-0.66
141,0,32139,Danny Willett,83.91,73,87,-0.55
142,0,34264,Hudson Swafford,83.82,202,241,-0.63
143,0,12716,Charley Hoffman,83.72,252,301,-0.61
144,0,46402,Talor Gooch,83.67,246,294,-0.57
145,0,34046,Jordan Spieth,83.55,259,310,-0.62
146,0,31323,Gary Woodland,83.48,192,230,-0.56
147,0,39977,Max Homa,83.47,202,242,-0.62
148,0,29479,Scott Brown,83.41,171,205,-0.63
149,0,28237,Rory McIlroy,83.40,211,253,-0.66
150,0,35506,Mackenzie Hughes,83.33,215,258,-0.60
150,0,51894,Vince Whaley,83.33,195,234,-0.54
152,0,47959,Bryson DeChambeau,83.29,294,353,-0.67
153,0,46442,Maverick McNealy,83.27,229,275,-0.49
154,0,35658,Kris Ventura,83.25,159,191,-0.61
155,0,25804,Bubba Watson,83.20,203,244,-0.58
156,0,23983,Luke Donald,83.09,113,136,-0.44
156,0,40098,Matt Fitzpatrick,83.09,172,207,-0.60
158,0,30927,Brendon Todd,82.93,170,205,-0.62
159,0,34076,Joel Dahmen,82.75,211,255,-0.50
