RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
48,0,08243,Aaron Bengoechea,10.41,760,73
48,0,20105,Jeff Gove,10.41,854,82
48,0,06012,Greg Kraft,10.41,1103,106
48,0,02110,Jerry Smith,10.41,1051,101
48,0,06078,Esteban Toledo,10.41,1156,111
53,0,23656,Jason Caron,10.40,780,75
53,0,06090,Jim McGovern,10.40,551,53
55,0,07763,Doug Dunakey,10.38,830,80
55,0,10201,Matt Gogel,10.38,872,84
55,0,01677,Tom Lehman,10.38,716,69
55,0,01945,Kenny Perry,10.38,789,76
55,0,22913,John Rollins,10.38,747,72
60,0,01282,Trevor Dodds,10.37,871,84
61,0,01761,Len Mattiace,10.35,1107,107
62,0,01040,Emlyn Aubrey,10.34,662,64
62,0,01185,Brandel Chamblee,10.34,724,70
62,0,06251,Chris DiMarco,10.34,1179,114
62,0,23125,Brad Elder,10.34,1137,110
62,0,01938,David Peoples,10.34,1024,99
62,0,02245,Grant Waite,10.34,879,85
68,0,01418,Bill Glasson,10.33,961,93
69,0,01569,Peter Jacobsen,10.32,671,65
70,0,06332,Neal Lancaster,10.31,979,95
71,0,12388,Michael Clark II,10.30,824,80
71,0,12753,David Morland IV,10.30,886,86
71,0,02133,Craig Stadler,10.30,680,66
74,0,10569,Mike Brisky,10.29,885,86
74,0,01457,Jay Haas,10.29,792,77
74,0,08075,Jerry Kelly,10.29,1142,111
74,0,01707,Steve Lowery,10.29,1070,104
74,0,01723,Andrew Magee,10.29,751,73
79,0,01157,Tom Byrum,10.28,915,89
79,0,06140,Sean Murphy,10.28,1028,100
81,0,20593,Greg Chalmers,10.27,945,92
82,0,19824,Craig Barlow,10.26,985,96
82,0,12449,Ryan Howison,10.26,831,81
82,0,06515,Shaun Micheel,10.26,934,91
85,0,08537,J.P. Hayes,10.25,912,89
85,0,06617,Brian Henninger,10.25,912,89
85,0,01926,Steve Pate,10.25,943,92
85,0,06581,David Sutherland,10.25,1086,106
89,0,19822,Bobby Cochran,10.24,778,76
89,0,01376,Bob Friend,10.24,942,92
91,0,02239,Scott Verplank,10.23,1084,106
92,0,06575,Dudley Hart,10.22,746,73
92,0,01823,Larry Mize,10.22,705,69
92,0,01941,Tom Pernice Jr.,10.22,981,96
92,0,11011,Mike Sposa,10.22,746,73
96,0,01203,Russ Cochran,10.21,725,71
96,0,12645,Brent Geiberger,10.21,766,75
96,0,21949,Joe Ogilvie,10.21,929,91
96,0,08385,Omar Uresti,10.21,960,94
100,0,06062,Charles Raulerson,10.20,1000,98
100,0,06527,Steve Stricker,10.20,622,61
102,0,12652,Cameron Beckman,10.19,825,81
102,0,01905,Joe Ozaki,10.19,540,53
104,0,21805,Harrison Frazar,10.17,712,70
104,0,01381,Fred Funk,10.17,1109,109
106,0,01072,Chip Beck,10.16,498,49
106,0,10425,Jay Williamson,10.16,1036,102
108,0,06088,Steve Gotsche,10.15,903,89
109,0,20043,Edward Fryatt,10.14,984,97
110,0,20229,Stewart Cink,10.13,962,95
110,0,19846,Brian Gay,10.13,1003,99
112,0,06004,Stephen Ames,10.12,961,95
112,0,01927,Dennis Paulson,10.12,820,81
114,0,06315,Pete Jordan,10.11,1031,102
114,0,07749,Brett Quigley,10.11,637,63
116,0,08931,Glen Day,10.10,929,92
116,0,06036,Scott Dunlap,10.10,1071,106
116,0,01313,Steve Elkington,10.10,586,58
119,0,08547,John Maginnes,10.09,999,99
120,0,06809,Bob Burns,10.08,897,89
121,0,01619,Skip Kendall,10.07,1128,112
121,0,20095,Carl Paulson,10.07,1037,103
123,0,01361,Dan Forsman,10.06,885,88
123,0,21007,Gabriel Hjertstedt,10.06,835,83
125,0,20029,Notah Begay III,10.05,784,78
125,0,01374,Robin Freeman,10.05,985,98
125,0,10649,Tom Scherrer,10.05,1015,101
128,0,01489,Steve Hart,10.04,703,70
128,0,06350,Bob May,10.04,914,91
130,0,01116,Michael Bradley,10.03,732,73
130,0,01226,Fred Couples,10.03,702,70
132,0,06567,Vijay Singh,10.02,922,92
133,0,08993,Franklin Langham,10.01,911,91
133,0,02131,Mike Springer,10.01,811,81
