RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
68,0,54364,Stephen Stallings Jr.,$62874,62874,0
69,0,55893,Sam Stevens,$62198,62198,0
70,0,34364,David Law,$60163,60163,0
71,0,58594,Spencer Ralston,$58275,58275,0
72,0,30957,Maximilian Kieffer,$58100,58100,0
72,0,29370,Mikko Korhonen,$58100,58100,0
72,0,33968,Thorbjørn Olesen,$58100,58100,0
75,0,29936,Ryan Fox,$57400,57400,0
76,0,45194,Marcus Armitage,$51923,51923,0
77,0,50188,S.H. Kim,$51610,51610,0
78,0,33674,Adrian Meronk,$51000,51000,0
79,0,36514,Yuki Inamori,$50098,50098,0
79,0,33689,Jinichiro Kozuma,$50098,50098,0
79,0,31016,Tomoharu Otsuki,$50098,50098,0
82,0,27958,Ryan Blaum,$48910,48910,0
83,0,32252,Nino Bertasio,$47175,47175,0
84,0,35557,Aaron Cockerill,$46174,46174,0
85,0,29939,Fabrizio Zanotti,$46033,46033,0
86,0,31138,Scott Jamieson,$45769,45769,0
87,0,27330,Josh Teater,$45263,45263,0
88,0,47461,Andrew Kozan,$43133,43133,0
89,0,28938,Justin Harding,$41690,41690,0
90,0,48632,Yuto Katsuragawa,$40600,40600,0
91,0,28521,Ryutaro Nagano,$40397,40397,0
92,0,47989,Sam Horsfield,$40048,40048,0
93,0,27909,Wil Besseling,$38511,38511,0
94,0,51491,Brandon Matthews,$37589,37589,0
95,0,34310,Alexander Björk,$37200,37200,0
95,0,34575,Adrian Otaegui,$37200,37200,0
95,0,50584,Connor Syme,$37200,37200,0
98,0,29954,Robert Dinwiddie,$35656,35656,0
98,0,52453,Nicolai Hojgaard,$35656,35656,0
98,0,23802,Brad Kennedy,$35656,35656,0
98,0,45227,Lars Van Meijel,$35656,35656,0
102,0,29476,Kyle Reifers,$35613,35613,0
103,0,33870,Ashun Wu,$35305,35305,0
104,0,33461,Morgan Hoffmann,$34393,34393,0
105,0,48898,David Carey,$33625,33625,0
105,0,28723,John Parry,$33625,33625,0
107,0,54190,Richard Mansell,$32525,32525,0
108,0,32070,Rafael Campos,$32185,32185,0
109,0,54480,Justin De Los Santos,$31763,31763,0
110,0,48933,Ryuichi Oiwa,$31442,31442,0
111,0,46410,Jamie Rutherford,$31075,31075,0
112,0,47579,Kyle Wilshire,$30927,30927,0
113,0,33803,Lucas Bjerregaard,$30308,30308,0
114,0,30996,Mark Baldwin,$30198,30198,0
115,0,59160,John Pak,$28170,28170,0
116,0,27899,Rikard Karlberg,$28150,28150,0
117,0,45478,Julian Suri,$27565,27565,0
118,0,51441,KK Limbhasut,$26527,26527,0
119,0,49801,Preston Stanley,$24391,24391,0
120,0,39327,Ben Silverman,$23679,23679,0
121,0,39262,Alvaro Ortiz,$23287,23287,0
122,0,36837,Julien Brun,$21909,21909,0
122,0,32881,Hugo León,$21909,21909,0
122,0,35706,Niklas Norgaard Moller,$21909,21909,0
122,0,50057,Robin Roussel,$21909,21909,0
126,0,55955,Matthew Jordan,$21840,21840,0
127,0,51287,Ryo Hisatsune,$21791,21791,0
128,0,39201,Nacho Elvira,$20160,20160,0
128,0,50223,Ewen Ferguson,$20160,20160,0
128,0,25841,Marc Warren,$20160,20160,0
131,0,35778,Kazuki Higa,$19900,19900,0
131,0,45396,Tomoyasu Sugiyama,$19900,19900,0
133,0,55412,Mickey DeMorat,$19728,19728,0
134,0,50323,Minkyu Kim,$19598,19598,0
135,0,48098,Sebastian Garcia Rodriguez,$19573,19573,0
136,0,27408,Martin Kaymer,$19439,19439,0
137,0,35376,Roberto Díaz,$19342,19342,0
138,0,46879,Naoyuki Kataoka,$18109,18109,0
138,0,34500,Ryosuke Kinoshita,$18109,18109,0
138,0,34126,Scott Vincent,$18109,18109,0
141,0,52583,Sanghun Shin,$18038,18038,0
142,0,46930,Jaekyeong Lee,$17258,17258,0
143,0,57944,Andy Ogletree,$17234,17234,0
144,0,49022,Yoseop Seo,$16575,16575,0
145,0,47842,Hanbyeol Kim,$16185,16185,0
146,0,58605,Quade Cummins,$15680,15680,0
146,0,50493,Justin Suh,$15680,15680,0
148,0,52091,Blake Kennedy,$15678,15678,0
149,0,34607,Francesco Laporta,$15355,15355,0
150,0,58944,Blake McShea,$14016,14016,0
151,0,32344,Lukas Nemecz,$13505,13505,0
152,0,26503,Alfredo Garcia-Heredia,$10348,10348,0
152,0,33936,Gunner Wiebe,$10348,10348,0
154,0,47846,Pep Angles,$10064,10064,0
155,0,28125,Josh Geary,$9195,9195,0
155,0,35104,Tom Lewis,$9195,9195,0
157,0,29772,Michael Lorenzo-Vera,$9109,9109,0
158,0,33196,Carlos Pigem,$8584,8584,0
159,0,48929,Santiago Tarrio,$8251,8251,0
160,0,27140,Justin Walters,$7955,7955,0
161,0,58967,Trevor Werbylo,$7807,7807,0
162,0,52462,Chase Hanna,$7548,7548,0
163,0,22986,Søren Kjeldsen,$7215,7215,0
164,0,60004,Jacob Bridgeman,$6919,6919,0
165,0,23481,Marcel Siem,$6697,6697,0
