RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
83,0,46501,Ollie Schniederjans,57.35,78,136,-80,-19.00
85,0,45609,Tyler Duncan,57.31,98,171,-106,+2.00
86,0,34563,Chesson Hadley,57.30,102,178,-114,-22.00
87,0,39954,Cody Gribble,57.26,71,124,-72,+12.00
88,0,29461,Jamie Lovemark,57.07,105,184,-112,-5.00
89,0,26851,Marc Leishman,57.06,93,163,-98,-1.00
90,0,24138,Ian Poulter,56.98,49,86,-49,-19.00
91,0,23325,Vaughn Taylor,56.90,66,116,-68,-30.00
92,0,31560,Brian Stuard,56.84,54,95,-56,-33.00
93,0,34466,Peter Malnati,56.82,75,132,-78,-10.00
94,0,32366,Kevin Chappell,56.71,93,164,-98,-10.00
95,0,28307,Matt Every,56.64,81,143,-88,+6.00
96,0,25572,Graeme McDowell,56.57,56,99,-58,-11.00
97,0,40026,Daniel Berger,56.55,82,145,-88,-6.00
98,0,26596,Ryan Moore,56.52,78,138,-84,-8.00
99,0,27141,J.B. Holmes,56.44,92,163,-99,-15.00
100,0,28252,Seamus Power,56.43,79,140,-81,-17.00
101,0,36699,Patrick Rodgers,56.38,84,149,-90,+1.00
102,0,29221,Webb Simpson,56.34,80,142,-91,-16.00
103,0,34409,David Lingmerth,56.30,67,119,-68,-11.00
104,0,34360,Patrick Reed,56.29,85,151,-93,-1.00
105,0,35461,Beau Hossler,56.28,112,199,-117,-12.00
106,0,29908,C.T. Pan,56.25,90,160,-95,-19.00
107,0,30978,Kiradech Aphibarnrat,56.16,41,73,-46,E
108,0,39975,Michael Kim,56.10,46,82,-50,-7.00
109,0,23320,Ryan Palmer,56.08,83,148,-89,-4.00
110,0,26476,Chez Reavie,56.00,56,100,-63,-5.00
111,0,27958,Ryan Blaum,55.88,76,136,-81,-14.00
112,0,34076,Joel Dahmen,55.84,86,154,-91,-2.00
113,0,27129,Luke List,55.79,130,233,-137,-4.00
114,0,32757,Patton Kizzire,55.77,87,156,-91,-23.00
115,0,33204,Shane Lowry,55.75,63,113,-66,+1.00
116,0,24924,Bill Haas,55.74,68,122,-74,E
117,0,34213,Grayson Murray,55.69,93,167,-97,+27.00
118,0,23108,Matt Kuchar,55.65,64,115,-68,-15.00
119,0,29485,Brett Stegmaier,55.56,50,90,-55,-16.00
119,0,25892,Steve Wheatcroft,55.56,55,99,-57,-7.00
121,0,25686,Jason Dufner,55.45,61,110,-63,-4.00
122,0,25834,Daniel Summerhays,55.41,41,74,-42,-3.00
123,0,32876,Martin Piller,55.37,67,121,-69,-3.00
124,0,21961,Charles Howell III,55.33,83,150,-87,-22.00
124,0,32333,Kevin Tway,55.33,135,244,-143,-8.00
126,0,39324,J.J. Spaun,55.32,78,141,-81,-7.00
127,0,28679,Fabián Gómez,55.30,73,132,-79,-7.00
128,0,25900,Lucas Glover,55.24,58,105,-62,-4.00
128,0,34431,Robert Streb,55.24,58,105,-60,-7.00
130,0,27214,Kevin Streelman,55.06,98,178,-102,-13.00
131,0,36689,Brooks Koepka,54.93,78,142,-86,E
132,0,47347,Adam Schenk,54.90,84,153,-90,+4.00
133,0,27644,Brian Harman,54.89,73,133,-78,-11.00
134,0,35532,Tom Hoge,54.88,90,164,-95,-8.00
135,0,49771,J.T. Poston,54.70,64,117,-66,+10.00
136,0,37278,Nicholas Lindheim,54.55,48,88,-48,-9.00
137,0,33141,Keegan Bradley,54.45,104,191,-113,-7.00
138,0,27095,Nick Watney,54.44,92,169,-97,-4.00
139,0,47125,Matt Atkins,54.35,50,92,-54,+7.00
139,0,28132,Tyrone Van Aswegen,54.35,75,138,-80,-14.00
141,0,24140,Sean O'Hair,54.20,71,131,-75,-9.00
142,0,31416,Derek Fathauer,54.07,73,135,-76,+8.00
143,0,33122,Russell Knox,53.85,63,117,-68,-11.00
144,0,37454,Whee Kim,53.77,57,106,-63,-26.00
145,0,40009,Dominic Bozzelli,53.54,68,127,-73,+8.00
146,0,24024,Zach Johnson,53.51,61,114,-66,-27.00
147,0,27556,Ted Potter Jr.,53.33,64,120,-65,-19.00
147,0,34358,Jonathan Randolph,53.33,56,105,-59,-10.00
147,0,30692,Scott Stallings,53.33,88,165,-95,-10.00
150,0,32254,Xinjun Zhang,53.08,69,130,-72,E
151,0,29518,Brendan Steele,53.06,78,147,-82,+4.00
152,0,39327,Ben Silverman,53.03,70,132,-74,-19.00
153,0,29479,Scott Brown,53.02,79,149,-83,+3.00
154,0,37275,Sam Ryder,52.83,84,159,-90,-5.00
155,0,47287,Ethan Tracy,52.78,57,108,-62,-4.00
156,0,24781,Hunter Mahan,52.59,61,116,-64,-10.00
157,0,48084,Wesley Bryan,52.54,31,59,-32,-15.00
158,0,34021,Bud Cauley,52.27,46,88,-46,-16.00
159,0,39997,Corey Conners,52.23,82,157,-85,-23.00
160,0,27649,Brandt Snedeker,52.14,61,117,-68,-23.00
161,0,34099,Harris English,51.92,81,156,-88,+5.00
162,0,27895,Jonas Blixt,51.89,55,106,-60,-4.00
163,0,34098,Russell Henley,51.67,62,120,-66,-14.00
164,0,20593,Greg Chalmers,51.52,34,66,-34,-10.00
164,0,26331,Charl Schwartzel,51.52,51,99,-53,+3.00
166,0,31420,Anirban Lahiri,51.47,70,136,-73,-7.00
167,0,33399,Adam Hadwin,51.32,78,152,-82,-4.00
167,0,34174,John Huh,51.32,78,152,-88,-7.00
169,0,29926,Danny Lee,51.27,81,158,-85,+2.00
170,0,33413,Ben Martin,51.24,62,121,-65,-3.00
171,0,27942,Rob Oppenheim,51.22,42,82,-47,-15.00
172,0,27064,Jhonattan Vegas,51.20,85,166,-89,-1.00
173,0,27963,Chris Stroud,51.11,69,135,-71,+8.00
174,0,46402,Talor Gooch,50.77,66,130,-71,+10.00
175,0,12510,Chad Campbell,50.00,49,98,-56,-16.00
175,0,12716,Charley Hoffman,50.00,82,164,-87,-4.00
175,0,35506,Mackenzie Hughes,50.00,65,130,-67,-3.00
175,0,27974,Sung Kang,50.00,64,128,-68,+8.00
175,0,25198,Francesco Molinari,50.00,68,136,-73,-7.00
180,0,45526,Abraham Ancer,49.46,92,186,-97,-19.00
181,0,37338,Zecheng Dou,49.25,33,67,-34,+2.00
182,0,46601,Trey Mullinax,48.61,70,144,-74,-6.00
183,0,22582,Kyle Thompson,48.21,27,56,-27,+3.00
184,0,20157,Retief Goosen,48.05,37,77,-39,-2.00
185,0,34256,Andrew Putnam,47.62,70,147,-73,-11.00
185,0,35544,Andrew Yun,47.62,30,63,-31,+12.00
187,0,24358,Robert Garrigus,47.43,83,175,-88,+1.00
188,0,35879,Kelly Kraft,47.06,56,119,-62,-12.00
189,0,28500,Martin Flores,46.76,65,139,-67,-13.00
190,0,33410,Andrew Landry,46.34,57,123,-62,-27.00
191,0,35376,Roberto Díaz,46.24,43,93,-47,-12.00
192,0,32816,Satoshi Kodaira,44.62,29,65,-35,+9.00
193,0,20572,Rod Pampling,41.18,42,102,-42,-2.00
