RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
89,0,06515,Shaun Micheel,50.57,134,131,-69,-12
90,0,12652,Cameron Beckman,50.49,156,153,-101,-25
91,0,06251,Chris DiMarco,50.36,141,139,-73,-22
92,0,10423,Mike Weir,50.25,99,98,-58,-13
93,0,06004,Stephen Ames,50.18,142,141,-85,-22
94,0,25237,Kevin Muncrief,50.00,76,76,-42,+13
95,0,23541,Ben Crane,49.83,148,149,-90,-11
96,0,06621,Joe Durant,49.81,134,135,-72,-20
97,0,11032,Frank Lickliter II,49.64,139,141,-90,-2
98,0,19824,Craig Barlow,49.59,122,124,-83,-13
99,0,22548,Patrick Sheehan,49.45,181,185,-81,-10
100,0,01948,Tim Petrovic,49.34,150,154,-100,-23
101,0,12705,Cliff Kresge,49.06,130,135,-89,-12
102,0,20229,Stewart Cink,48.91,134,140,-84,-30
103,0,21949,Joe Ogilvie,48.49,145,154,-80,-16
104,0,01042,Paul Azinger,48.42,107,114,-75,E
104,0,10733,Kent Jones,48.42,153,163,-81,-29
106,0,01313,Steve Elkington,48.29,99,106,-48,-12
107,0,23613,Rich Barcelo,47.94,93,101,-57,+1
108,0,25396,Kevin Na,47.87,157,171,-85,-28
109,0,23983,Luke Donald,47.58,108,119,-57,-12
110,0,22405,Justin Rose,47.35,107,119,-61,-19
111,0,22621,Ben Curtis,47.06,80,90,-43,-8
112,0,20121,Todd Fischer,47.00,149,168,-95,-8
113,0,01388,Robert Gamez,46.98,148,167,-77,-11
114,0,02246,Duffy Waldorf,46.58,102,117,-62,-3
115,0,01035,Tommy Armour III,46.30,125,145,-66,-19
116,0,06197,Michael Allen,46.13,125,146,-79,-12
117,0,20104,Ken Duke,46.04,128,150,-78,-9
118,0,23108,Matt Kuchar,45.91,129,152,-71,-19
119,0,01577,Lee Janzen,45.80,120,142,-71,-22
119,0,12680,Shigeki Maruyama,45.80,131,155,-71,-28
121,0,01024,Billy Andrade,45.73,150,178,-90,-14
122,0,02239,Scott Verplank,45.57,108,129,-63,-28
123,0,02002,John Riegger,45.45,85,102,-46,-12
124,0,26420,Richard Johnson,45.32,150,181,-83,-19
125,0,02214,Kirk Triplett,45.30,106,128,-66,-24
126,0,20498,Briny Baird,45.10,129,157,-79,-19
127,0,06575,Dudley Hart,44.90,66,81,-46,+1
128,0,06214,Guy Boros,44.88,92,113,-45,-3
129,0,02104,Jeff Sluman,44.85,135,166,-77,-15
130,0,24024,Zach Johnson,44.83,143,176,-87,-36
131,0,07457,Steve Flesch,44.70,135,167,-77,-12
132,0,20628,Arron Oberholser,44.63,108,134,-64,-10
133,0,02049,Gene Sauers,44.57,115,143,-72,-3
134,0,23338,David Gossett,44.56,86,107,-31,+16
135,0,01142,Bart Bryant,44.44,96,120,-58,-17
136,0,02206,David Toms,44.33,86,108,-57,-24
137,0,08075,Jerry Kelly,43.96,142,181,-79,-33
138,0,21893,Brian Kortan,43.89,79,101,-44,+9
139,0,01766,Billy Mayfair,43.79,148,190,-84,-11
140,0,08931,Glen Day,43.55,135,175,-72,-23
141,0,12760,Danny Ellis,43.25,109,143,-64,-8
142,0,12602,Dean Wilson,42.94,140,186,-91,-17
143,0,20127,Chris Riley,42.78,80,107,-41,-18
144,0,01473,Todd Hamilton,42.63,107,144,-64,-14
145,0,10860,Justin Leonard,42.54,97,131,-58,-13
146,0,19881,Robert Damron,42.52,125,169,-66,E
147,0,01666,Bernhard Langer,42.33,69,94,-34,-19
148,0,01527,Scott Hoch,41.76,76,106,-40,-23
149,0,24357,K.J. Choi,41.60,99,139,-56,-14
150,0,21646,David Branshaw,41.53,103,145,-56,-18
151,0,01920,Craig Parry,41.48,56,79,-36,-14
152,0,10213,Dicky Pride,41.21,82,117,-29,-4
153,0,10912,Craig Perks,41.15,86,123,-59,+12
154,0,01361,Dan Forsman,40.66,98,143,-55,-7
155,0,01457,Jay Haas,40.60,95,139,-72,-21
156,0,02223,Bob Tway,40.00,96,144,-46,-18
157,0,20382,Stephen Leaney,39.72,85,129,-34,-11
158,0,01619,Skip Kendall,39.59,116,177,-52,-26
159,0,12682,Hirofumi Miyase,39.57,74,113,-46,+3
160,0,12645,Brent Geiberger,39.53,117,179,-77,-27
161,0,01127,Danny Briggs,39.13,99,154,-65,-33
162,0,08339,Spike McRoy,39.08,111,173,-62,-16
163,0,01132,Mark Brooks,38.80,71,112,-36,-2
164,0,10425,Jay Williamson,38.67,128,203,-67,-9
165,0,01968,Nick Price,38.64,51,81,-28,-11
166,0,08881,Tripp Isenhour,38.46,65,104,-39,+5
167,0,01938,David Peoples,38.01,103,168,-67,-11
168,0,20548,Hidemichi Tanaka,38.00,114,186,-60,-24
169,0,10201,Matt Gogel,37.85,95,156,-66,-18
170,0,23135,Tim Clark,37.31,100,168,-45,-42
171,0,01203,Russ Cochran,37.17,71,120,-37,-3
172,0,21878,Mark Wilson,37.10,69,117,-40,-9
173,0,01139,Olin Browne,35.74,104,187,-59,-12
173,0,19846,Brian Gay,35.74,109,196,-57,-29
175,0,07721,Pat Bates,35.71,120,216,-55,-28
176,0,01928,Corey Pavin,34.96,79,147,-48,-25
177,0,08537,J.P. Hayes,34.91,81,151,-50,-12
178,0,01157,Tom Byrum,34.63,89,168,-58,-21
179,0,01761,Len Mattiace,34.15,84,162,-44,-5
180,0,01381,Fred Funk,34.08,91,176,-62,-34
181,0,01329,Brad Faxon,33.85,87,170,-42,-29
182,0,01771,Blaine McCallister,33.79,74,145,-39,-16
183,0,22293,Heath Slocum,33.77,104,204,-57,-13
184,0,08385,Omar Uresti,33.70,91,179,-52,-22
185,0,01320,Bob Estes,33.33,54,108,-36,-20
185,0,06527,Steve Stricker,33.33,83,166,-57,-14
187,0,06078,Esteban Toledo,33.21,93,187,-43,-26
188,0,06809,Bob Burns,32.85,90,184,-42,-20
189,0,01378,David Frost,32.81,84,172,-59,-12
190,0,02099,Scott Simpson,31.61,55,119,-27,-8
191,0,12753,David Morland IV,31.22,69,152,-39,-11
192,0,06373,José María Olazábal,29.94,53,124,-30,-14
193,0,01219,John Cook,29.84,57,134,-24,-23
194,0,02010,Loren Roberts,28.57,66,165,-40,-34
195,0,07363,Craig Bowden,25.48,66,193,-44,-20
196,0,01887,Mark O'Meara,19.48,30,124,-19,-14
