RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
37,0,35087,Bio Kim,157.3,1279503000,226
37,0,32640,Troy Merritt,157.3,1042109000,184
37,0,26679,Kevin Stadler,157.3,1313487000,232
40,0,24925,Jonathan Byrd,157.5,1066034000,188
41,0,10860,Justin Leonard,157.6,1174667000,207
41,0,21878,Mark Wilson,157.6,981759000,173
43,0,32366,Kevin Chappell,157.7,1067517000,188
43,0,06573,Brandt Jobe,157.7,1231564000,217
45,0,10505,Shane Bertsch,157.8,863599000,152
45,0,22913,John Rollins,157.8,1084903000,191
47,0,28475,Jeff Overton,157.9,1290247000,227
48,0,26758,David Hearn,158.0,1171975000,206
49,0,28089,Jason Day,158.1,842623000,148
49,0,01766,Billy Mayfair,158.1,1371398000,241
49,0,30946,Alex Prugh,158.1,1451129000,255
52,0,29910,Blake Adams,158.3,1703438000,299
52,0,20070,Matt Bettencourt,158.3,1476119000,259
52,0,24290,D.J. Brigman,158.3,1168558000,205
52,0,12782,Tim Herron,158.3,1293959000,227
56,0,20766,Padraig Harrington,158.5,713255000,125
56,0,22961,David Mathis,158.5,1198021000,210
56,0,24490,George McNeill,158.5,1015710000,178
56,0,23788,D.J. Trahan,158.5,1346192000,236
60,0,32102,Rickie Fowler,158.6,1164621000,204
