RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIES OR BETTER
87,0,26476,Chez Reavie,79
88,0,31323,Gary Woodland,78
89,0,60767,Blaine Hale Jr.,78
90,0,48119,Ben Taylor,76
91,0,55454,Carl Yuan,75
92,0,22371,Aaron Baddeley,74
93,0,47663,Kevin Dougherty,74
94,0,46113,Ryan McCormick,73
95,0,34587,Chan Kim,73
96,0,26596,Ryan Moore,72
97,0,34256,Andrew Putnam,72
98,0,27770,Camilo Villegas,72
99,0,55789,Taylor Montgomery,71
100,0,27330,Josh Teater,70
101,0,49771,J.T. Poston,68
102,0,28420,Ryan Brehm,68
103,0,25493,Nick Taylor,66
104,0,32102,Rickie Fowler,64
105,0,36871,Matt NeSmith,64
106,0,29289,S.Y. Noh,64
107,0,54813,Philip Knowles,63
108,0,35532,Tom Hoge,63
109,0,46601,Trey Mullinax,63
110,0,32640,Troy Merritt,63
111,0,55708,Hayden Buckley,62
112,0,27649,Brandt Snedeker,61
113,0,59141,Matt McCarty,60
114,0,37212,Paul Barjon,60
115,0,48117,Kurt Kitayama,59
116,0,35617,Martin Trainer,58
117,0,29908,C.T. Pan,56
118,0,47995,Davis Riley,56
119,0,40006,Erik van Rooyen,55
120,0,52372,Cameron Champ,55
121,0,51977,Max Greyserman,54
122,0,36799,Stephan Jaeger,54
123,0,59143,Mac Meissner,54
124,0,25198,Francesco Molinari,53
125,0,39327,Ben Silverman,52
126,0,30927,Brendon Todd,52
127,0,34374,Erik Barnes,50
128,0,58168,Davis Thompson,49
129,0,47806,Raul Pereda,47
130,0,20229,Stewart Cink,45
131,0,59095,Chris Gotterup,45
132,0,39954,Cody Gribble,44
133,0,52666,Sami Valimaki,43
134,0,29535,Brice Garnett,42
135,0,25818,Scott Piercy,41
136,0,31202,William McGirt,41
137,0,33122,Russell Knox,41
138,0,30926,Chris Kirk,40
139,0,37378,Min Woo Lee,40
140,0,29478,Kevin Kisner,40
141,0,27095,Nick Watney,39
142,0,29221,Webb Simpson,39
143,0,52955,Ludvig Åberg,38
144,0,24924,Bill Haas,38
145,0,34466,Peter Malnati,38
146,0,24140,Sean O'Hair,37
147,0,48887,Matt Wallace,36
148,0,46435,Austin Cook,36
149,0,25349,Tim Wilkinson,35
150,0,27644,Brian Harman,34
151,0,33399,Adam Hadwin,34
152,0,51634,Sahith Theegala,32
153,0,47128,Richy Werenski,31
154,0,32139,Danny Willett,30
155,0,47993,Denny McCarthy,30
156,0,37278,Nicholas Lindheim,28
157,0,24925,Jonathan Byrd,28
158,0,28259,Sangmoon Bae,28
159,0,47420,Jake Knapp,28
160,0,32448,James Hahn,27
161,0,40250,Taylor Pendrith,26
162,0,39977,Max Homa,26
163,0,24980,Scott Gutschewski,25
164,0,59866,Nick Dunlap,24
165,0,34431,Robert Streb,24
166,0,39997,Corey Conners,23
167,0,31646,Emiliano Grillo,22
168,0,37455,Si Woo Kim,21
169,0,34310,Alexander Björk,21
170,0,27141,J.B. Holmes,20
171,0,23320,Ryan Palmer,20
172,0,49303,Anders Albertson,20
173,0,33448,Justin Thomas,19
174,0,50525,Collin Morikawa,18
175,0,23541,Ben Crane,18
176,0,24024,Zach Johnson,18
177,0,47679,Victor Perez,17
178,0,39971,Sungjae Im,16
179,0,10423,Mike Weir,16
180,0,35449,Adam Long,16
181,0,33597,Harry Higgs,15
182,0,32839,Hideki Matsuyama,15
183,0,47483,Will Zalatoris,14
184,0,49960,Sepp Straka,14
185,0,29970,Dylan Frittelli,14
185,0,30750,Tommy Gainey,14
187,0,32816,Satoshi Kodaira,13
188,0,19803,Ryan Armour,10
189,0,39067,MJ Daffue,10
190,0,37338,Zecheng Dou,10
191,0,51766,Wyndham Clark,8
192,0,55182,Tom Kim,8
193,0,27974,Sung Kang,8
194,0,24358,Robert Garrigus,6
195,0,25240,D.A. Points,6
196,0,45157,Cam Davis,4
197,0,01024,Billy Andrade,3
197,0,59442,Parker Coody,3
199,0,01098,Jay Don Blake,3
