RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
119,0,06078,Esteban Toledo,.62,673385,107850000
123,0,01157,Tom Byrum,.61,514190,84150000
123,0,01475,Donnie Hammond,.61,96937,15800000
123,0,01887,Mark O'Meara,.61,424307,68998054
126,0,01219,John Cook,.59,537104,90550000
127,0,21949,Joe Ogilvie,.58,519739,90050000
127,0,02020,Eduardo Romero,.58,70033,11998054
127,0,20387,Jarmo Sandelin,.58,66431,11498054
127,0,06527,Steve Stricker,.58,418780,71698054
127,0,02279,Mark Wiebe,.58,511413,87950000
132,0,20099,Doug Barron,.56,461980,81900000
132,0,06617,Brian Henninger,.56,527740,93650000
132,0,20812,Tjaart van der Walt,.56,27750,5000000
135,0,01132,Mark Brooks,.55,528956,95548054
135,0,01938,David Peoples,.55,459810,83450000
137,0,01385,Jim Gallagher Jr.,.54,240514,44550000
137,0,08545,Glen Hnatiuk,.54,482743,88900000
137,0,20992,Kazuhiko Hosokawa,.54,227588,42498054
140,0,01326,Nick Faldo,.53,276582,51898054
140,0,02322,Richard Zokol,.53,169491,31900000
142,0,10585,Scott McCarron,.52,495973,94950000
142,0,21489,Nobuhito Sato,.52,46500,8998054
144,0,10963,Jimmy Green,.51,414507,81700000
144,0,06315,Pete Jordan,.51,464477,91350000
144,0,01633,Tom Kite,.51,121604,23798054
144,0,01690,Bruce Lietzke,.51,149195,29450000
144,0,06515,Shaun Micheel,.51,467430,92550000
144,0,20505,Lucas Parsons,.51,45872,8998054
150,0,06332,Neal Lancaster,.50,466710,92500000
150,0,06090,Jim McGovern,.50,266647,53000000
152,0,01139,Olin Browne,.49,494304,100950000
152,0,07763,Doug Dunakey,.49,393057,79750000
152,0,01766,Billy Mayfair,.49,466344,95950000
152,0,06581,David Sutherland,.49,498746,102148054
152,0,23349,Charles Warren,.49,22056,4500000
157,0,19846,Brian Gay,.48,482026,100250000
157,0,21185,Takao Nogami,.48,12856,2700000
157,0,06731,Jeff Roth,.48,12856,2700000
157,0,02076,Peter Senior,.48,43628,8998054
157,0,10425,Jay Williamson,.48,460022,96450000
162,0,07867,Woody Austin,.47,485588,102450000
162,0,24925,Jonathan Byrd,.47,14130,3000000
164,0,10962,Bradley Hughes,.46,469589,103050000
165,0,06809,Bob Burns,.45,391074,87850000
165,0,01361,Dan Forsman,.45,379348,83750000
167,0,20574,Mathew Goggin,.44,414121,93950000
167,0,23552,Hank Kuehne,.44,85656,19600000
167,0,08535,Gary Nicklaus,.44,403981,91650000
170,0,01196,Brian Claar,.43,90957,21400000
170,0,01331,Rick Fehr,.43,313700,72750000
170,0,01374,Robin Freeman,.43,415428,96450000
170,0,02223,Bob Tway,.43,417644,96848054
174,0,01313,Steve Elkington,.42,232784,55148054
174,0,06643,Paul Goydos,.42,398391,94300000
174,0,01906,Masashi Jumbo Ozaki,.42,37673,9000000
174,0,02101,Joey Sindelar,.42,388340,92050000
174,0,02110,Jerry Smith,.42,406589,96150000
179,0,01035,Tommy Armour III,.41,397609,96750000
179,0,20378,Mathias Grönberg,.41,33000,8000000
181,0,12626,Joey Gullion,.40,84650,21100000
181,0,06573,Brandt Jobe,.40,402015,100150000
181,0,07749,Brett Quigley,.40,247035,61000000
181,0,01996,Mike Reid,.40,299135,74650000
185,0,20650,Jarrod Moseley,.39,15706,3998054
185,0,22348,Nick O'Hern,.39,15706,3998054
187,0,12652,Cameron Beckman,.38,291514,77350000
187,0,01941,Tom Pernice Jr.,.38,387712,100850000
187,0,08553,Lee Porter,.38,28247,7500000
190,0,22064,Craig Spence,.37,346569,93950000
191,0,01717,Sandy Lyle,.36,198990,54698054
191,0,10912,Craig Perks,.36,297910,81850000
191,0,01984,Sam Randolph,.36,7200,2000000
194,0,01491,Rick Hartmann,.35,15891,4500000
194,0,25115,Michael Kirk,.35,14893,4250000
194,0,07753,Kevin Wentworth,.35,332292,96250000
194,0,02300,Ian Woosnam,.35,75091,21198054
198,0,24357,K.J. Choi,.34,305743,89950000
198,0,01388,Robert Gamez,.34,259303,76650000
198,0,25052,Derek Gillespie,.34,11220,3300000
198,0,02257,Brian Watts,.34,311801,92350000
198,0,21878,Mark Wilson,.34,8500,2500000
203,0,01001,Tommy Aaron,.33,10488,3200000
203,0,12661,Todd Barranger,.33,43766,13300000
203,0,06140,Sean Murphy,.33,339240,103650000
206,0,19957,Ian Garbutt,.32,12753,3998054
206,0,01457,Jay Haas,.32,265754,82450000
206,0,21007,Gabriel Hjertstedt,.32,296186,92150000
206,0,07101,Dave Stockton Jr.,.32,290424,91950000
210,0,19824,Craig Barlow,.31,297669,94950000
210,0,06064,Jeff Gallagher,.31,40855,13300000
212,0,20500,Kyi Hla Han,.30,27000,8998054
212,0,20691,Greg Owen,.30,11842,3998054
212,0,10217,Warren Schutte,.30,13578,4500000
215,0,01197,Bobby Clampett,.29,22056,7500000
215,0,20721,Darren Fichardt,.29,35500,12098054
217,0,10457,Frank Nobilo,.28,236472,85300000
217,0,01883,Christy O'Connor,.28,11273,3998054
219,0,24734,Lionel Alexandre,.27,10628,3998054
219,0,23614,Rich Beem,.27,249879,91050000
219,0,20764,Desvonde Botes,.27,10969,3998054
219,0,01118,Gordon Brand Jr.,.27,10741,3998054
219,0,19823,David Howser,.27,8126,3000000
219,0,08633,Per-Ulrik Johansson,.27,10969,3998054
219,0,24138,Ian Poulter,.27,10969,3998054
219,0,11011,Mike Sposa,.27,201359,74600000
219,0,20566,Kaname Yokoo,.27,41286,15300000
228,0,07003,David Berganio Jr.,.26,34625,13200000
228,0,01191,Barry Cheesman,.26,277916,108450000
228,0,01310,Dave Eichelberger,.26,11760,4500000
228,0,01928,Corey Pavin,.26,209882,81898054
232,0,06197,Michael Allen,.25,4936,2000000
232,0,01975,Tom Purtzer,.25,170683,67850000
