RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,22405,Justin Rose,2260,2,11
68,0,25818,Scott Piercy,872,1,2,5105
69,0,26329,Louis Oosthuizen,847,0,3,5130
70,0,40026,Daniel Berger,839,0,1,5138
71,0,26596,Ryan Moore,806,0,5,5171
72,0,37454,Whee Kim,805,0,3,5172
73,0,20229,Stewart Cink,775,0,3,5202
74,0,27095,Nick Watney,760,0,1,5217
75,0,25632,Jimmy Walker,741,0,4,5236
76,0,23108,Matt Kuchar,740,0,4,5237
77,0,27214,Kevin Streelman,724,0,5,5253
78,0,29268,Bronson Burgoon,718,0,2,5259
79,0,12716,Charley Hoffman,689,0,5288
80,0,34076,Joel Dahmen,676,0,3,5301
81,0,39975,Michael Kim,675,1,1,5302
82,0,27141,J.B. Holmes,668,0,3,5309
83,0,32366,Kevin Chappell,667,0,4,5310
84,0,32448,James Hahn,666,0,1,5311
85,0,29461,Jamie Lovemark,664,0,3,5313
86,0,31560,Brian Stuard,654,0,3,5323
87,0,32333,Kevin Tway,643,0,3,5334
88,0,29974,Branden Grace,634,0,2,5343
89,0,33122,Russell Knox,629,0,3,5348
90,0,35879,Kelly Kraft,627,0,3,5350
91,0,32640,Troy Merritt,616,1,3,5361
92,0,35532,Tom Hoge,608,0,3,5369
93,0,30692,Scott Stallings,608,0,2,5369
94,0,32816,Satoshi Kodaira,600,1,1,5377
95,0,27064,Jhonattan Vegas,598,0,1,5379
96,0,34098,Russell Henley,589,0,3,5388
97,0,29926,Danny Lee,587,0,3,5390
98,0,46501,Ollie Schniederjans,573,0,3,5404
99,0,31420,Anirban Lahiri,566,0,4,5411
100,0,25686,Jason Dufner,557,0,2,5420
101,0,37275,Sam Ryder,551,0,3,5426
102,0,46601,Trey Mullinax,550,0,3,5427
103,0,35421,Brandon Harkins,545,0,3,5432
104,0,36699,Patrick Rodgers,541,0,3,5436
105,0,26331,Charl Schwartzel,528,0,3,5449
106,0,24140,Sean O'Hair,526,0,2,5451
107,0,37189,Harold Varner III,524,0,3,5453
108,0,20472,Alex Cejka,524,0,2,5453
109,0,23621,Rory Sabbatini,521,0,1,5456
110,0,47128,Richy Werenski,498,0,2,5479
111,0,27974,Sung Kang,490,0,2,5487
112,0,34174,John Huh,480,0,2,5497
113,0,45609,Tyler Duncan,457,0,2,5520
114,0,28252,Seamus Power,455,0,2,5522
115,0,27936,Martin Laird,453,0,3,5524
116,0,31202,William McGirt,449,0,3,5528
117,0,49771,J.T. Poston,448,0,2,5529
118,0,23325,Vaughn Taylor,445,0,3,5532
119,0,34213,Grayson Murray,438,0,2,5539
120,0,29223,Sam Saunders,437,0,4,5540
121,0,27958,Ryan Blaum,433,0,2,5544
122,0,29479,Scott Brown,422,0,2,5555
123,0,25493,Nick Taylor,420,0,2,5557
124,0,34021,Bud Cauley,405,0,2,5572
125,0,34099,Harris English,383,0,2,5594
126,0,32876,Martin Piller,371,0,2,5606
127,0,28132,Tyrone Van Aswegen,364,0,1,5613
128,0,21209,Sergio Garcia,362,0,3,5615
129,0,12510,Chad Campbell,361,0,2,5616
130,0,39997,Corey Conners,353,0,1,5624
131,0,24358,Robert Garrigus,353,0,1,5624
132,0,22371,Aaron Baddeley,342,0,1,5635
133,0,26951,Johnson Wagner,338,0,5639
134,0,50526,Tom Lovelady,332,0,2,5645
135,0,25900,Lucas Glover,324,0,1,5653
136,0,39327,Ben Silverman,323,0,2,5654
137,0,31416,Derek Fathauer,316,0,1,5661
138,0,26758,David Hearn,315,0,2,5662
139,0,46402,Talor Gooch,308,0,5669
140,0,33204,Shane Lowry,296,0,5681
141,0,10809,Jim Furyk,291,0,2,5686
142,0,32150,Michael Thompson,280,0,5697
143,0,34409,David Lingmerth,274,0,5703
144,0,25572,Graeme McDowell,274,0,1,5703
145,0,06527,Steve Stricker,274,0,5703
146,0,37278,Nicholas Lindheim,272,0,1,5705
147,0,33418,Shawn Stefani,268,0,1,5709
148,0,23541,Ben Crane,267,0,1,5710
149,0,47993,Denny McCarthy,267,0,1,5710
150,0,33413,Ben Martin,266,0,1,5711
