RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
118,0,29479,Scott Brown,-.116
118,0,28455,Will Claxton,-.116
120,0,21731,Freddie Jacobson,-.112
121,0,27466,Spencer Levin,-.110
121,0,01706,Davis Love III,-.110
123,0,22371,Aaron Baddeley,-.109
124,0,21878,Mark Wilson,-.108
125,0,23353,J.J. Henry,-.107
125,0,27963,Chris Stroud,-.107
127,0,30944,Jason Kokrak,-.104
127,0,25240,D.A. Points,-.104
127,0,29518,Brendan Steele,-.104
130,0,01941,Tom Pernice Jr.,-.103
131,0,24663,Y.E. Yang,-.102
132,0,12652,Cameron Beckman,-.100
132,0,24940,Edward Loar,-.100
132,0,01724,Jeff Maggert,-.100
135,0,06034,Marco Dawson,-.099
136,0,01320,Bob Estes,-.098
136,0,23788,D.J. Trahan,-.098
138,0,22621,Ben Curtis,-.097
139,0,06004,Stephen Ames,-.096
139,0,25562,Andres Romero,-.096
141,0,28093,Miguel Angel Carballo,-.095
142,0,01797,Rocco Mediate,-.094
143,0,20691,Greg Owen,-.091
144,0,28308,Troy Kelly,-.089
144,0,29476,Kyle Reifers,-.089
146,0,21407,Arjun Atwal,-.083
146,0,08075,Jerry Kelly,-.083
148,0,30711,Colt Knost,-.079
148,0,02206,David Toms,-.079
150,0,28259,Sangmoon Bae,-.076
150,0,23135,Tim Clark,-.076
152,0,30852,Ryo Ishikawa,-.075
153,0,20229,Stewart Cink,-.070
153,0,06036,Scott Dunlap,-.070
155,0,26851,Marc Leishman,-.069
156,0,28307,Matt Every,-.068
156,0,30750,Tommy Gainey,-.068
158,0,23800,Bryce Molder,-.065
159,0,24507,Jason Bohn,-.064
160,0,29926,Danny Lee,-.058
160,0,25892,Steve Wheatcroft,-.058
162,0,23325,Vaughn Taylor,-.057
163,0,31202,William McGirt,-.056
163,0,25457,Alexandre Rocha,-.056
165,0,10885,Robert Allenby,-.054
165,0,21350,Ryuji Imada,-.054
165,0,26476,Chez Reavie,-.054
168,0,23903,Stephen Gangluff,-.052
169,0,25572,Graeme McDowell,-.051
170,0,30927,Brendon Todd,-.048
171,0,26287,Roland Thatcher,-.047
172,0,20070,Matt Bettencourt,-.038
173,0,20623,Gavin Coles,-.035
173,0,27060,John Mallinger,-.035
175,0,22548,Patrick Sheehan,-.034
176,0,19846,Brian Gay,-.032
177,0,24494,Erik Compton,-.031
178,0,27797,Derek Lamely,-.027
179,0,22293,Heath Slocum,-.026
180,0,06251,Chris DiMarco,-.020
181,0,24604,Hunter Haas,-.014
182,0,22961,David Mathis,-.010
183,0,01116,Michael Bradley,E
184,0,31558,J.J. Killeen,+.009
185,0,20850,Daniel Chopra,+.028
186,0,27556,Ted Potter Jr.,+.041
187,0,22582,Kyle Thompson,+.045
188,0,10860,Justin Leonard,+.050
189,0,29222,Billy Hurley III,+.079
190,0,27974,Sung Kang,+.098
191,0,22348,Nick O'Hern,+.101
