RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
51,0,12782,Tim Herron,16.03,25,156
52,0,24925,Jonathan Byrd,16.00,16,100
53,0,25818,Scott Piercy,15.98,31,194
54,0,26951,Johnson Wagner,15.91,21,132
55,0,22371,Aaron Baddeley,15.87,20,126
56,0,28475,Jeff Overton,15.82,31,196
57,0,20593,Greg Chalmers,15.79,24,152
57,0,20691,Greg Owen,15.79,27,171
59,0,30926,Chris Kirk,15.68,29,185
60,0,29910,Blake Adams,15.63,25,160
60,0,20850,Daniel Chopra,15.63,20,128
62,0,21961,Charles Howell III,15.61,32,205
63,0,22405,Justin Rose,15.60,17,109
64,0,29926,Danny Lee,15.57,19,122
64,0,32150,Michael Thompson,15.57,19,122
66,0,28237,Rory McIlroy,15.53,16,103
67,0,06522,Ernie Els,15.44,21,136
68,0,24024,Zach Johnson,15.38,18,117
69,0,24138,Ian Poulter,15.25,9,59
69,0,29518,Brendan Steele,15.25,18,118
71,0,30692,Scott Stallings,15.22,21,138
72,0,20160,Charlie Wi,15.17,22,145
73,0,25892,Steve Wheatcroft,15.07,11,73
74,0,23800,Bryce Molder,15.00,24,160
75,0,28308,Troy Kelly,14.95,16,107
76,0,33120,Mark Anderson,14.91,24,161
77,0,26331,Charl Schwartzel,14.86,11,74
78,0,30944,Jason Kokrak,14.81,24,162
79,0,23548,Bill Lunde,14.79,21,142
80,0,27895,Jonas Blixt,14.75,18,122
81,0,21753,Brian Davis,14.29,18,126
81,0,23983,Luke Donald,14.29,13,91
81,0,27936,Martin Laird,14.29,17,119
84,0,26851,Marc Leishman,14.08,29,206
85,0,24361,Pat Perez,14.02,15,107
86,0,10809,Jim Furyk,13.98,13,93
87,0,21731,Freddie Jacobson,13.95,12,86
88,0,02206,David Toms,13.85,9,65
89,0,21407,Arjun Atwal,13.82,17,123
90,0,27974,Sung Kang,13.74,18,131
91,0,26679,Kevin Stadler,13.73,14,102
92,0,30852,Ryo Ishikawa,13.54,13,96
93,0,26289,Boo Weekley,13.46,14,104
94,0,10885,Robert Allenby,13.39,15,112
95,0,24357,K.J. Choi,13.33,12,90
95,0,28500,Martin Flores,13.33,22,165
95,0,22961,David Mathis,13.33,18,135
95,0,01766,Billy Mayfair,13.33,18,135
99,0,22046,Geoff Ogilvy,13.27,13,98
100,0,22913,John Rollins,13.19,19,144
101,0,30927,Brendon Todd,13.16,15,114
102,0,27095,Nick Watney,13.14,23,175
103,0,32366,Kevin Chappell,13.10,22,168
104,0,01320,Bob Estes,13.08,17,130
105,0,20396,Lee Westwood,13.04,9,69
106,0,20645,John Senden,12.96,14,108
107,0,24781,Hunter Mahan,12.93,15,116
108,0,12716,Charley Hoffman,12.86,18,140
109,0,27060,John Mallinger,12.73,14,110
110,0,24924,Bill Haas,12.70,16,126
110,0,27797,Derek Lamely,12.70,16,126
112,0,27556,Ted Potter Jr.,12.61,14,111
113,0,06251,Chris DiMarco,12.50,16,128
114,0,29476,Kyle Reifers,12.38,13,105
115,0,24507,Jason Bohn,12.37,12,97
116,0,23621,Rory Sabbatini,12.27,20,163
117,0,01706,Davis Love III,12.26,13,106
118,0,27770,Camilo Villegas,12.21,16,131
119,0,24663,Y.E. Yang,12.20,10,82
120,0,32200,Roberto Castro,12.10,15,124
121,0,32698,Bobby Gates,12.05,20,166
122,0,22348,Nick O'Hern,12.04,13,108
123,0,22293,Heath Slocum,12.00,12,100
124,0,21805,Harrison Frazar,11.96,11,92
125,0,20572,Rod Pampling,11.86,14,118
126,0,25632,Jimmy Walker,11.85,25,211
127,0,24940,Edward Loar,11.84,9,76
128,0,19846,Brian Gay,11.81,15,127
129,0,26758,David Hearn,11.73,21,179
130,0,31558,J.J. Killeen,11.68,25,214
131,0,20098,Stuart Appleby,11.65,12,103
132,0,20070,Matt Bettencourt,11.63,15,129
133,0,23320,Ryan Palmer,11.51,16,139
134,0,22582,Kyle Thompson,11.43,8,70
135,0,28093,Miguel Angel Carballo,11.40,13,114
