RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
52,-1,33141,Keegan Bradley,7.21,941,13050,0,4
53,-1,40098,Matt Fitzpatrick,7.12,748,10500,0,5
54,-1,39971,Sungjae Im,7.04,1185,16850,0,4
55,-1,01810,Phil Mickelson,7.03,791,11250,1,1
56,-1,26300,Matt Jones,6.98,1033,14800,1,3
57,-1,33204,Shane Lowry,6.96,727,10450,0,4
58,-1,30926,Chris Kirk,6.88,853,12400,0,4
59,-1,46442,Maverick McNealy,6.86,830,12100,0,2
60,-1,49964,Aaron Wise,6.67,741,11100,0,3
61,-1,32791,K.H. Lee,6.65,1064,16000,1,3
62,-1,31646,Emiliano Grillo,6.64,920,13850,0,4
63,-1,26331,Charl Schwartzel,6.62,857,12950,0,3
64,-1,52372,Cameron Champ,6.56,839,12800,1,2
65,-1,24502,Adam Scott,6.10,604,9900,0,2
66,-1,25804,Bubba Watson,6.06,685,11300,0,5
67,-1,34264,Hudson Swafford,5.95,804,13500,1,3
68,-1,24138,Ian Poulter,5.90,628,10650,0,3
69,-1,32757,Patton Kizzire,5.85,802,13700,0,5
70,-1,47529,Mito Pereira,5.77,167,2900,0,2
71,-1,27214,Kevin Streelman,5.71,837,14650,0,4
72,-1,48887,Matt Wallace,5.55,502,9050,0,2
73,-1,46402,Talor Gooch,5.47,739,13500,0,3
74,-1,27936,Martin Laird,5.40,734,13600,1,1
75,-1,34431,Robert Streb,5.26,710,13500,1,1
76,-1,35506,Mackenzie Hughes,5.21,719,13800,0,4
77,-1,40006,Erik van Rooyen,5.20,648,12450,1,3
78,-1,46550,Brandon Hagy,5.06,660,13050,0,3
79,-1,49298,Kramer Hickok,5.02,574,11450,0,2
80,-1,49766,Hank Lebioda,4.99,564,11300,0,3
81,-1,34076,Joel Dahmen,4.91,646,13150,1,3
82,-1,37189,Harold Varner III,4.90,674,13750,0,1
83,-1,49771,J.T. Poston,4.81,697,14500,0,2
84,-1,22405,Justin Rose,4.75,439,9250,0,3
85,-1,27349,Alex Noren,4.70,567,12050,0,1
86,-1,40042,Tyler McCumber,4.65,551,11850,0,2
87,-1,48822,Sebastián Muñoz,4.64,740,15950,0,4
88,-1,33486,Roger Sloan,4.63,565,12200,0,2
89,-1,33597,Harry Higgs,4.62,614,13300,0,2
90,-1,51766,Wyndham Clark,4.60,609,13250,0,2
91,-1,29518,Brendan Steele,4.52,536,11850,0,3
92,-1,53165,Doc Redman,4.45,580,13050,0,4
93,-1,31420,Anirban Lahiri,4.44,455,10250,0,3
94,-1,52375,Doug Ghim,4.43,587,13250,0,1
95,-1,19846,Brian Gay,4.37,579,13250,1,1
96,-1,32640,Troy Merritt,4.35,700,16100,0,4
96,-1,25198,Francesco Molinari,4.35,353,8100,0,3
98,-1,28089,Jason Day,4.34,489,11250,0,3
99,-1,06527,Steve Stricker,4.31,252,5850,0,1
100,-1,32448,James Hahn,4.23,508,12000,0,5
101,-1,35449,Adam Long,4.21,636,15100,0,2
102,-1,26596,Ryan Moore,4.20,332,7900,0,1
103,-1,34256,Andrew Putnam,4.18,648,15500,0,4
104,-1,30163,Henrik Norlander,4.17,586,14050,0,3
105,-1,34466,Peter Malnati,4.03,602,14950,0,3
106,-1,39546,Keith Mitchell,4.02,532,13250,0,3
107,-1,24024,Zach Johnson,3.99,485,12150,0,3
108,-1,35310,Lanto Griffin,3.96,593,14950,0,2
109,-1,30911,Tommy Fleetwood,3.86,382,9900,0,2
109,-1,27649,Brandt Snedeker,3.86,533,13800,0,2
111,-1,31323,Gary Woodland,3.83,484,12650,0,3
112,-1,25818,Scott Piercy,3.77,470,12450,0,1
113,-1,30927,Brendon Todd,3.76,544,14450,0,3
114,-1,33399,Adam Hadwin,3.71,540,14550,0,4
115,-1,47993,Denny McCarthy,3.67,538,14650,0,3
116,-1,23108,Matt Kuchar,3.59,456,12700,0,1
117,-1,27129,Luke List,3.58,531,14850,0,5
118,-1,31560,Brian Stuard,3.55,592,16700,0,3
119,-1,49960,Sepp Straka,3.54,533,15050,0,3
120,-1,34563,Chesson Hadley,3.52,440,12500,0,1
120,-1,21961,Charles Howell III,3.52,378,10750,0,1
122,-1,47347,Adam Schenk,3.46,530,15300,0,2
122,-1,30692,Scott Stallings,3.46,447,12900,0,2
124,-1,29908,C.T. Pan,3.44,466,13550,0,2
125,-1,36871,Matthew NeSmith,3.41,485,14250,0,2
126,-1,30110,Kyle Stanley,3.40,477,14050,0,2
127,-1,37275,Sam Ryder,3.35,499,14900,0,4
128,-1,28775,Nate Lashley,3.32,410,12350,0,2
129,-1,32150,Michael Thompson,3.31,403,12200,0,1
129,-1,32139,Danny Willett,3.31,278,8400,0,2
131,-1,33122,Russell Knox,3.30,507,15350,0,2
132,-1,27770,Camilo Villegas,3.28,412,12550,0,2
133,-1,24361,Pat Perez,3.19,489,15300,0,2
134,-1,32102,Rickie Fowler,3.18,402,12650,0,1
135,-1,29970,Dylan Frittelli,3.16,453,14300,0,3
135,-1,29535,Brice Garnett,3.16,452,14300,0,3
135,-1,23621,Rory Sabbatini,3.16,403,12750,0,2
138,-1,19803,Ryan Armour,3.15,434,13750,0,4
139,-1,29484,Peter Uihlein,3.11,174,5600,0,1
140,-1,47128,Richy Werenski,3.10,467,15050,0,2
141,-1,35532,Tom Hoge,3.09,502,16250,0,1
142,-1,22056,Cameron Percy,3.07,400,13050,0,2
143,-1,26476,Chez Reavie,3.05,457,15000,0,1
144,-1,51894,Vince Whaley,2.94,373,12700,0,1
145,-1,39953,Chase Seiffert,2.88,380,13200,0,1
146,-1,48084,Wesley Bryan,2.83,157,5550,0
147,-1,34174,John Huh,2.81,274,9750,0
148,-1,20766,Padraig Harrington,2.71,210,7750,0,1
149,-1,46435,Austin Cook,2.68,383,14300,0,1
149,-1,33490,Bo Hoag,2.68,428,15950,0
151,0,52215,Robert MacIntyre,2.66,194,7300,0,1
152,-2,36699,Patrick Rodgers,2.61,433,16550,0,1
153,-2,34255,Joseph Bramlett,2.58,328,12700,0,1
154,-2,25493,Nick Taylor,2.56,370,14450,0,1
155,-2,10809,Jim Furyk,2.55,91,3550,0
156,-2,01666,Bernhard Langer,2.50,30,1200,0
157,-2,23623,Bo Van Pelt,2.47,326,13200,0,1
158,-2,32070,Rafael Campos,2.43,285,11700,0,2
159,-2,32662,Michael Gligic,2.41,330,13700,0,1
160,-2,32816,Satoshi Kodaira,2.26,287,12700,0
161,-2,35461,Beau Hossler,2.21,316,14300,0,1
162,-2,32366,Kevin Chappell,2.15,129,6000,0
162,-2,33410,Andrew Landry,2.15,259,12050,0,1
164,-2,23325,Vaughn Taylor,2.13,306,14400,0,1
165,-2,36801,Mark Hubbard,2.11,337,15950,0
165,-2,24140,Sean O'Hair,2.11,213,10100,0,1
167,-2,33413,Ben Martin,2.08,171,8200,0,1
168,-2,34409,David Lingmerth,2.04,97,4750,0
169,-2,29268,Bronson Burgoon,2.02,246,12200,0
170,-2,26758,David Hearn,1.99,227,11400,0,1
171,-2,35104,Tom Lewis,1.90,256,13500,0,1
172,-2,27942,Rob Oppenheim,1.80,229,12700,0,1
173,-2,25686,Jason Dufner,1.79,261,14600,0
174,-2,31557,Jim Herman,1.75,199,11400,0
175,-2,33120,Mark Anderson,1.73,168,9700,0,1
176,-2,29479,Scott Brown,1.68,240,14300,0,1
176,-2,25632,Jimmy Walker,1.68,223,13300,0,1
178,-2,56762,Will Gordon,1.63,241,14750,0
179,-2,35658,Kris Ventura,1.62,224,13850,0,2
180,-2,26499,Rafa Cabrera Bello,1.56,205,13100,0
181,-2,48119,Ben Taylor,1.55,135,8700,0
182,-2,33948,Byeong Hun An,1.51,225,14900,0,1
183,-2,32333,Kevin Tway,1.48,172,11600,0
184,-2,28420,Ryan Brehm,1.46,141,9700,0
185,-2,39324,J.J. Spaun,1.45,178,12300,0,1
186,-2,27330,Josh Teater,1.42,109,7700,0
187,-2,45609,Tyler Duncan,1.40,229,16350,0
188,-2,25572,Graeme McDowell,1.36,104,7650,0,1
188,-2,46441,Robby Shelton,1.36,214,15750,0
188,-2,21528,Henrik Stenson,1.36,133,9750,0
191,-2,23983,Luke Donald,1.35,149,11100,0
192,-2,35230,Nelson Ledesma,1.32,115,8700,0
192,-2,27556,Ted Potter Jr.,1.32,157,11900,0,1
192,-2,32254,Xinjun Zhang,1.32,179,13600,0
195,-2,27554,Scott Harrington,1.29,188,14550,0
196,-2,30978,Kiradech Aphibarnrat,1.26,99,7900,0
197,-2,20593,Greg Chalmers,1.23,64,5200,0
197,-2,29926,Danny Lee,1.23,152,12350,0
199,-2,24925,Jonathan Byrd,1.21,81,6700,0
199,-2,27408,Martin Kaymer,1.21,35,2900,0
201,-2,35732,Wes Roach,1.20,74,6200,0
202,-2,08793,Tiger Woods,1.19,20,1700,0
203,-2,34213,Grayson Murray,1.18,122,10400,0,1
204,-2,32200,Roberto Castro,1.16,36,3100,0
205,-2,28679,Fabián Gómez,1.11,125,11300,0
205,-2,25349,Tim Wilkinson,1.11,85,7600,0
207,-2,23788,D.J. Trahan,1.09,122,11200,0
208,-2,20157,Retief Goosen,1.08,3,300,0
209,-2,32618,Rhein Gibson,1.07,115,10700,0
209,-2,24924,Bill Haas,1.07,99,9200,0
209,-2,27974,Sung Kang,1.07,169,15850,0
212,-2,48045,Michael Gellerman,1.03,89,8700,0
213,-2,01381,Fred Funk,1.00,5,500,0
214,-2,35879,Kelly Kraft,.97,80,8300,0
215,-2,10423,Mike Weir,.95,16,1700,0
216,-2,24846,Ricky Barnes,.92,53,5700,0
217,-2,33404,Chris Baker,.91,94,10300,0
218,-2,34314,Sebastian Cappelen,.90,98,10900,0
219,-2,22371,Aaron Baddeley,.88,90,10200,0
220,-2,06373,José María Olazábal,.78,9,1200,0
221,-2,27095,Nick Watney,.76,89,11700,0
222,-2,37273,Derek Ernst,.70,11,1600,0
223,-2,28259,Sangmoon Bae,.68,32,4700,0
224,-2,24358,Robert Garrigus,.63,18,2900,0
225,-2,27141,J.B. Holmes,.59,55,9400,0
226,-2,27895,Jonas Blixt,.58,23,4000,0
227,-2,25562,Andres Romero,.54,16,2900,0
228,-2,32334,Charlie Beljan,.51,12,2400,0
229,-2,26420,Richard Johnson,.50,13,2700,0
230,-2,24507,Jason Bohn,.48,8,1600,0
230,-2,26951,Johnson Wagner,.48,35,7200,0
232,-2,24357,K.J. Choi,.45,45,10150,0
232,-2,20645,John Senden,.45,28,6200,0
234,-2,20472,Alex Cejka,.33,7,2100,0
235,-2,39975,Michael Kim,.31,44,14200,0
236,-2,24490,George McNeill,.29,13,4400,0
237,-2,30750,Tommy Gainey,.28,5,1600,0
238,-2,40009,Dominic Bozzelli,.26,15,5700,0
239,-2,23353,J.J. Henry,.22,9,4200,0
240,-2,33449,Zack Sucher,.21,13,6300,0
241,-2,27958,Ryan Blaum,.20,11,5400,0
241,-2,31202,William McGirt,.20,11,5550,0
241,-2,29289,S.Y. Noh,.20,6,3000,0
244,-2,35617,Martin Trainer,.19,25,13200,0
245,-2,08075,Jerry Kelly,.17,3,1600,0
246,-2,40058,Zac Blair,.15,3,2000,0
246,-2,24781,Hunter Mahan,.15,18,12400,0
246,-2,25240,D.A. Points,.15,13,8400,0
249,-2,33418,Shawn Stefani,.14,7,5200,0
250,-2,21407,Arjun Atwal,.09,3,3400,0
251,-2,26679,Kevin Stadler,.08,8,10100,0
252,-2,24449,Parker McLachlin,.05,2,3700,0
