RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
98,0,01725,John Mahaffey,5
98,0,01766,Billy Mayfair,5
98,0,01783,Mark McCumber,5
98,0,01837,Gil Morgan,5
98,0,01846,Jodie Mudd,5
98,0,01876,Greg Norman,5
98,0,10107,Deane Pappas,5
98,0,01926,Steve Pate,5
98,0,01938,David Peoples,5
98,0,01946,Peter Persons,5
98,0,01958,Dan Pohl,5
98,0,01964,Greg Powers,5
98,0,01968,Nick Price,5
98,0,01975,Tom Purtzer,5
98,0,01984,Sam Randolph,5
98,0,02002,John Riegger,5
98,0,08973,Wayne Riley,5
98,0,02010,Loren Roberts,5
98,0,02049,Gene Sauers,5
98,0,02094,Tony Sills,5
98,0,02131,Mike Springer,5
98,0,02133,Craig Stadler,5
98,0,02136,Chris Starkjohann,5
98,0,02146,Payne Stewart,5
98,0,02148,Ray Stewart,5
98,0,02170,Hal Sutton,5
98,0,02185,Lance Ten Broeck,5
98,0,02186,Brian Tennyson,5
98,0,06048,Dicky Thompson,5
98,0,02206,David Toms,5
98,0,02214,Kirk Triplett,5
98,0,06751,Chris Tucker,5
98,0,02224,Greg Twiggs,5
98,0,02226,Tray Tyner,5
98,0,02254,Scott Watkins,5
98,0,02267,D.A. Weibring,5
98,0,02292,Bob Wolcott,5
98,0,02294,Willie Wood,5
98,0,02300,Ian Woosnam,5
161,0,01035,Tommy Armour III,4
161,0,01040,Emlyn Aubrey,4
161,0,01051,Seve Ballesteros,4
161,0,01068,Andy Bean,4
161,0,06010,Brad Bell,4
161,0,01129,Bill Britton,4
161,0,01133,Billy Ray Brown,4
161,0,01185,Brandel Chamblee,4
161,0,01197,Bobby Clampett,4
161,0,01201,Lennie Clements,4
161,0,01235,Ben Crenshaw,4
161,0,01239,Michael Cunning,4
161,0,01278,Andy Dillard,4
161,0,01288,Ed Dougherty,4
161,0,01303,Bob Eastwood,4
161,0,01326,Nick Faldo,4
161,0,01329,Brad Faxon,4
161,0,01346,Ed Fiori,4
161,0,06585,Jerry Foltz,4
161,0,01418,Bill Glasson,4
161,0,01435,Wayne Grady,4
161,0,06044,Scott Gump,4
161,0,01489,Steve Hart,4
161,0,08537,J.P. Hayes,4
161,0,01499,Mark Hayes,4
161,0,06122,Greg Hickman,4
161,0,01533,P.H. Horgan III,4
161,0,01569,Peter Jacobsen,4
161,0,01578,Tom Jenkins,4
161,0,01639,Kenny Knox,4
161,0,06012,Greg Kraft,4
161,0,01666,Bernhard Langer,4
161,0,01723,Andrew Magee,4
161,0,01779,Gary McCord,4
161,0,01782,Mike McCullough,4
161,0,07459,Paul McIntire,4
161,0,01797,Rocco Mediate,4
161,0,08635,Colin Montgomerie,4
161,0,01869,Jack Nicklaus,4
161,0,01878,Andy North,4
161,0,01905,Joe Ozaki,4
161,0,01906,Masashi Jumbo Ozaki,4
161,0,01910,Arnold Palmer,4
161,0,06383,E.J. Pfister,4
161,0,01960,Don Pooley,4
161,0,01970,Bob Proben,4
161,0,01998,Jack Renner,4
161,0,07327,Steven Richardson,4
161,0,02041,Bill Sander,4
161,0,02063,Dave Schreyer,4
161,0,02087,Don Shirey Jr.,4
161,0,02099,Scott Simpson,4
161,0,02100,Tim Simpson,4
161,0,06567,Vijay Singh,4
161,0,06132,Sonny Skinner,4
161,0,02135,Mike Standly,4
161,0,02201,Jim Thorpe,4
161,0,02230,Stan Utley,4
161,0,02239,Scott Verplank,4
161,0,02244,Fred Wadsworth,4
161,0,02246,Duffy Waldorf,4
161,0,02255,Denis Watson,4
161,0,06633,Gary Webb,4
161,0,10423,Mike Weir,4
161,0,02268,Tom Weiskopf,4
161,0,06577,John Wilson,4
161,0,02298,Jim Woodward,4
161,0,02313,Bruce Zabriski,4
161,0,02322,Richard Zokol,4
230,0,01106,Jim Booros,3
230,0,01112,Charlie Bowles,3
230,0,01127,Danny Briggs,3
230,0,01142,Bart Bryant,3
230,0,10225,Ed Burke Jr.,3
230,0,01150,George Burns,3
230,0,01168,David Canipe,3
230,0,01198,Howard Clark,3
230,0,01220,Chris Cookson,3
230,0,06251,Chris DiMarco,3
230,0,08471,Darryl Donovan,3
230,0,06258,Jay Ebersberger,3
230,0,01305,Danny Edwards,3
230,0,01307,Joel Edwards,3
230,0,01310,Dave Eichelberger,3
230,0,06599,John Elliott,3
230,0,06522,Ernie Els,3
230,0,01380,Dale Fuller,3
230,0,01413,Larry Gilbert,3
230,0,01443,Hubert Green,3
230,0,01450,Gary Groh,3
230,0,09013,Rion Groomes,3
230,0,01458,Jerry Haas,3
230,0,01560,David Ishii,3
230,0,01571,Barry Jaeckel,3
230,0,07547,Craig Kanada,3
230,0,01610,Yoshinori Kaneko,3
230,0,07465,Hideki Kase,3
230,0,07011,Chris Kaufman,3
230,0,01662,Greg Ladehoff,3
230,0,10533,Bill Lindmark,3
230,0,08547,John Maginnes,3
230,0,07803,Bill McDonald,3
230,0,01790,Pat McGowan,3
230,0,01796,Mark McNulty,3
230,0,08081,Dave Miley,3
230,0,01815,Johnny Miller,3
230,0,01824,Yoshinori Mizumaki,3
230,0,01835,Tommy Moore,3
230,0,01849,Bill Murchison,3
230,0,01858,Tommy Nakajima,3
230,0,06024,Casey Nakama,3
230,0,01864,Larry Nelson,3
230,0,01871,Mike Nicolette,3
230,0,10457,Frank Nobilo,3
230,0,01877,Tim Norris,3
230,0,01884,Mac O'Grady,3
230,0,06373,José María Olazábal,3
230,0,01925,Jerry Pate,3
230,0,01949,Mark Pfeil,3
230,0,01966,Anthony Price,3
230,0,01981,Ronan Rafferty,3
230,0,01996,Mike Reid,3
230,0,02001,Mike Rich,3
230,0,02023,Clarence Rose,3
230,0,10215,Charlie Rymer,3
230,0,02115,Taylor Smith,3
230,0,02160,Ron Streck,3
230,0,06581,David Sutherland,3
230,0,02180,Harry Taylor,3
230,0,02190,Doug Tewell,3
230,0,02196,Robert Thompson,3
230,0,02215,Paul Trittler,3
230,0,02217,Dennis Trixler,3
230,0,06969,Mike Tschetter,3
230,0,08851,Britt Tuttle,3
230,0,08649,Mitch Voges,3
230,0,02291,Paul Wise,3
230,0,02311,Kim Young,3
230,0,08681,Manny Zerman,3
300,0,01001,Tommy Aaron,2
300,0,08971,John Arata,2
300,0,09015,Bert Atkinson,2
300,0,08949,Tim Balmer,2
300,0,08797,Bill Barrett,2
300,0,06223,Louis Brown,2
300,0,06118,Greg Bruckner,2
300,0,06809,Bob Burns,2
300,0,01154,Bill Buttner,2
300,0,01162,Rex Caldwell,2
300,0,01191,Barry Cheesman,2
300,0,01206,Bobby Cole,2
300,0,01242,Rod Curl,2
300,0,01248,Rick Dalpos,2
300,0,01256,Rodger Davis,2
300,0,01266,Clark Dennis,2
300,0,06502,Mike Diffley,2
300,0,07657,Jeff Duncan,2
300,0,06036,Scott Dunlap,2
300,0,01308,David Eger,2
300,0,01314,Danny Elkins,2
300,0,07201,Kevin Fairfield,2
300,0,01330,David Feherty,2
300,0,08969,Bo Fennel,2
300,0,01334,Keith Fergus,2
300,0,01360,Anders Forsbrand,2
300,0,01371,Greg Frederick,2
300,0,08533,Gibby Gilbert III,2
300,0,01425,Ernie Gonzalez,2
300,0,10203,Bryan Gorman,2
300,0,07571,Uly Grisette,2
300,0,10617,Kevin Healy,2
300,0,01507,Webb Heintzelman,2
300,0,01512,Bunky Henry,2
300,0,01513,Denny Hepler,2
300,0,01525,Babe Hiskey,2
300,0,01544,Joe Huber,2
300,0,06661,Pete Huber,2
300,0,01572,Mark James,2
300,0,08633,Per-Ulrik Johansson,2
300,0,06514,Kevin Johnson,2
300,0,01592,Tony Johnstone,2
300,0,08531,John Joseph,2
300,0,01607,Brian Kamm,2
300,0,01609,Jim Kane,2
300,0,10661,Mike Karl,2
300,0,01611,Richie Karl,2
300,0,06483,Ricky Kawagishi,2
300,0,01641,Gary Koch,2
300,0,01648,Billy Kratzert,2
300,0,10027,Trip Kuehne,2
300,0,01657,Keith Kulzer,2
300,0,06016,Brad Lardon,2
300,0,08999,Jeff Lee,2
300,0,06334,Bruce Lehnhard,2
300,0,01685,J.L. Lewis,2
300,0,07085,Duane Lorio,2
300,0,01704,Dick Lotz,2
300,0,01713,David Lundstrom,2
300,0,01719,Roger MacKay,2
300,0,07077,David Marchand,2
300,0,06729,Fran Marrello,2
300,0,01753,Rik Massengale,2
300,0,01773,Ronnie McCann,2
300,0,01785,Shawn McEntee,2
300,0,10209,Randy McGohan,2
300,0,06554,John Miller Jr,2
300,0,01851,Bob Murphy,2
300,0,08535,Gary Nicklaus,2
300,0,06571,Bryan Norton,2
300,0,01892,Aki Ohmachi,2
300,0,01901,Jay Overton,2
300,0,06054,Sean Pacetti,2
300,0,10013,Zeb Patten,2
300,0,01931,Rick Pearson,2
300,0,01935,Calvin Peete,2
300,0,07293,Mike Pero,2
300,0,01952,Billy Pierot,2
300,0,01955,Gary Player,2
300,0,08553,Lee Porter,2
300,0,08791,Jim Prusia,2
300,0,10043,Dave Quinn,2
300,0,06771,John Reeves,2
300,0,08963,Steve Ridge,2
300,0,08697,Kevin Riley,2
300,0,02008,Lee Rinker,2
300,0,10115,Billy Rosinia,2
300,0,10647,Harry Rudolph,2
300,0,02046,Tony Saraceno,2
300,0,06401,Marty Schiene,2
300,0,06076,Jim Schuman,2
300,0,02083,Tom Shaw,2
300,0,07205,Henrik Simonsen,2
300,0,08561,Sam Stein,2
300,0,02145,Craig Stevens,2
300,0,06527,Steve Stricker,2
300,0,10109,Chris Stutts,2
300,0,02168,Robert Sullivan,2
300,0,08203,Greg Swartz,2
300,0,06094,Milan Swilor,2
300,0,06423,Ron Terry,2
300,0,06078,Esteban Toledo,2
300,0,08651,Koichi Uehara,2
300,0,02229,Brett Upper,2
300,0,02248,Tony Wallin,2
300,0,02251,Michael Walton,2
300,0,02257,Brian Watts,2
300,0,08769,David White,2
300,0,06130,Jeffrey Wilson,2
300,0,06448,Gregg Wolff,2
300,0,09019,Gary Wolstenholme,2
300,0,06589,Jeff Woodland,2
300,0,02309,Bert Yancey,2
413,0,10017,Bob Adams,1
413,0,07613,Dean Alexander,1
413,0,06513,Ken Allard,1
413,0,01016,Ras Allen,1
413,0,06006,JC Anderson,1
413,0,01030,Isao Aoki,1
413,0,01033,George Archer,1
413,0,07669,Sandy Armour,1
413,0,01039,Perry Arthur,1
413,0,07867,Woody Austin,1
413,0,06204,Jeff Barlow,1
413,0,06208,Louis Bartoletti,1
413,0,01066,Mel Baum,1
413,0,01078,Jim Benepe,1
413,0,08383,Bruce Benner,1
413,0,07397,Chris Berens,1
413,0,07003,David Berganio Jr.,1
413,0,10193,Don Berry,1
413,0,10611,Bill Bevington,1
413,0,01100,Lynn Blevins,1
413,0,06721,Bob Borowicz,1
413,0,06545,Remi Bouchard,1
413,0,01116,Michael Bradley,1
413,0,01117,Steve Brady,1
413,0,08839,Gary Braeseke,1
413,0,08897,Steve Brantley,1
413,0,01124,Gay Brewer,1
413,0,08869,Todd Brown,1
413,0,10335,Mark Bucek,1
413,0,10259,James Buenzli,1
413,0,01149,Michael Burke Jr.,1
413,0,10651,Kevin Burnsworth,1
413,0,01151,Clark Burroughs,1
413,0,10105,Brad Canter,1
413,0,08893,Scott Carson,1
413,0,01177,Billy Casper,1
413,0,06228,Greg Cerulli,1
413,0,01194,Lee Chill,1
413,0,10195,Tim Conley,1
413,0,20111,John Connelly,1
413,0,10537,Brian Conser,1
413,0,10269,Bern Coulter,1
413,0,01229,Mark Coward,1
413,0,10645,Marion Dantzler,1
413,0,01252,Bob Darling Jr,1
413,0,01265,Kevin De Nike,1
413,0,06245,Keith Decker,1
413,0,10041,Wayne DeFrancesco,1
413,0,10613,Constant Demattia,1
413,0,10455,Lowell Dencer,1
413,0,01275,Terry Diehl,1
413,0,06659,Frank Dobbs,1
413,0,06144,John Dowdall,1
413,0,07267,Allen Doyle,1
413,0,09017,Oswald Drawdy,1
413,0,01304,Frank Edmonds,1
413,0,10139,Jim Ellis,1
