RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
88,0,01619,Skip Kendall,.110,6.487,59
89,0,01724,Jeff Maggert,.108,7.355,68
90,0,20634,Peter Lonard,.095,6.272,66
90,0,20628,Arron Oberholser,.095,5.919,62
92,0,08123,Jeff Brehaut,.074,6.305,85
92,0,23983,Luke Donald,.074,3.184,43
94,0,08835,Kris Cox,.070,5.010,72
95,0,21470,Daisuke Maruyama,.069,4.829,70
95,0,02239,Scott Verplank,.069,4.722,68
97,0,01941,Tom Pernice Jr.,.068,5.918,87
98,0,06004,Stephen Ames,.060,2.660,44
99,0,24924,Bill Haas,.054,4.716,88
100,0,22405,Justin Rose,.052,4.462,86
101,0,20572,Rod Pampling,.046,2.962,65
102,0,20472,Alex Cejka,.042,3.321,80
103,0,12645,Brent Geiberger,.039,3.519,90
104,0,06350,Bob May,.033,1.781,54
105,0,20850,Daniel Chopra,.032,2.923,90
106,0,10733,Kent Jones,.026,2.306,88
107,0,07749,Brett Quigley,.025,2.373,94
108,0,21949,Joe Ogilvie,.014,1.105,78
109,0,06527,Steve Stricker,.006,.306,52
110,0,08375,Paul Stankowski,.001,.041,63
111,0,01388,Robert Gamez,-.001,-.072,82
112,0,08075,Jerry Kelly,-.012,-1.049,84
113,0,07223,Brian Bateman,-.013,-.750,59
114,0,22548,Patrick Sheehan,-.014,-1.182,87
115,0,20812,Tjaart van der Walt,-.016,-.849,52
116,0,01139,Olin Browne,-.020,-1.704,86
117,0,02101,Joey Sindelar,-.022,-1.698,76
118,0,26420,Richard Johnson,-.024,-2.042,85
119,0,23497,Tag Ridings,-.025,-2.231,90
120,0,20631,David McKenzie,-.027,-1.846,69
121,0,12760,Danny Ellis,-.031,-1.844,60
122,0,23325,Vaughn Taylor,-.039,-2.977,77
123,0,23409,James Driscoll,-.047,-3.597,76
124,0,11011,Mike Sposa,-.049,-2.836,58
125,0,24361,Pat Perez,-.053,-2.233,42
126,0,02214,Kirk Triplett,-.057,-2.808,49
127,0,01685,J.L. Lewis,-.066,-3.300,50
128,0,23616,Ryan Hietala,-.067,-3.425,51
129,0,19824,Craig Barlow,-.075,-4.357,58
130,0,20127,Chris Riley,-.077,-5.283,69
131,0,07013,Wes Short Jr.,-.089,-7.544,85
132,0,25842,Jon Mills,-.090,-4.860,54
133,0,07457,Steve Flesch,-.102,-10.471,103
134,0,22371,Aaron Baddeley,-.106,-7.215,68
135,0,06012,Greg Kraft,-.113,-7.557,67
136,0,06034,Marco Dawson,-.114,-8.806,77
137,0,22621,Ben Curtis,-.118,-7.931,67
138,0,06373,José María Olazábal,-.122,-4.746,39
139,0,01161,Mark Calcavecchia,-.129,-10.175,79
140,0,20229,Stewart Cink,-.139,-10.183,73
140,0,21731,Freddie Jacobson,-.139,-7.496,54
142,0,06515,Shaun Micheel,-.153,-11.920,78
143,0,10860,Justin Leonard,-.154,-10.037,65
144,0,23135,Tim Clark,-.164,-9.521,58
145,0,21350,Ryuji Imada,-.165,-14.361,87
146,0,01553,John Huston,-.168,-10.928,65
147,0,12510,Chad Campbell,-.169,-11.296,67
148,0,07867,Woody Austin,-.174,-16.173,93
149,0,01599,Steve Jones,-.175,-12.086,69
150,0,06643,Paul Goydos,-.189,-12.117,64
151,0,01948,Tim Petrovic,-.192,-15.972,83
152,0,12680,Shigeki Maruyama,-.207,-16.566,80
153,0,10505,Shane Bertsch,-.222,-19.973,90
154,0,01666,Bernhard Langer,-.229,-13.491,59
155,0,23541,Ben Crane,-.233,-14.239,61
156,0,08537,J.P. Hayes,-.237,-11.851,50
157,0,23718,Nathan Green,-.239,-22.485,94
158,0,01219,John Cook,-.243,-13.355,55
159,0,21407,Arjun Atwal,-.251,-20.556,82
160,0,19881,Robert Damron,-.253,-20.753,82
161,0,02104,Jeff Sluman,-.258,-21.384,83
162,0,12823,Carlos Franco,-.272,-20.922,77
163,0,21878,Mark Wilson,-.274,-19.740,72
164,0,06197,Michael Allen,-.282,-20.306,72
164,0,20099,Doug Barron,-.282,-18.925,67
166,0,19846,Brian Gay,-.283,-28.273,100
167,0,19913,Ron Whittaker,-.290,-20.620,71
168,0,25240,D.A. Points,-.291,-20.695,71
169,0,01132,Mark Brooks,-.300,-22.173,74
170,0,01024,Billy Andrade,-.301,-18.040,60
170,0,01320,Bob Estes,-.301,-22.595,75
172,0,21660,Jason Schultz,-.303,-19.719,65
173,0,01823,Larry Mize,-.309,-12.673,41
174,0,01042,Paul Azinger,-.320,-25.592,80
175,0,12602,Dean Wilson,-.344,-31.946,93
176,0,06251,Chris DiMarco,-.345,-21.038,61
176,0,10565,Ian Leggatt,-.345,-24.144,70
178,0,06575,Dudley Hart,-.365,-25.932,71
179,0,25936,Alex Aragon,-.372,-20.078,54
180,0,02223,Bob Tway,-.403,-27.015,67
181,0,02110,Jerry Smith,-.435,-36.540,84
182,0,12755,Vance Veazey,-.442,-23.880,54
183,0,01761,Len Mattiace,-.449,-23.366,52
184,0,25935,John Engler Jr.,-.463,-29.140,63
185,0,20382,Stephen Leaney,-.480,-36.978,77
186,0,23673,Michael Connell,-.486,-20.412,42
187,0,01473,Todd Hamilton,-.492,-27.537,56
188,0,20121,Todd Fischer,-.577,-51.934,90
189,0,01577,Lee Janzen,-.587,-39.892,68
190,0,09011,David Duval,-.670,-35.519,53
191,0,25632,Jimmy Walker,-.685,-38.355,56
192,0,01887,Mark O'Meara,-.779,-28.055,36
193,0,20593,Greg Chalmers,-.797,-45.406,57
194,0,01928,Corey Pavin,-.861,-49.097,57
195,0,01329,Brad Faxon,-.903,-65.898,73
196,0,20548,Hidemichi Tanaka,-1.080,-70.227,65
