RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
48,0,29420,Billy Horschel,20.95,264,1260,45
49,0,31323,Gary Woodland,20.94,343,1638,23
50,0,35539,Luke Guthrie,20.91,207,990,152
51,0,24507,Jason Bohn,20.90,252,1206,72
52,0,26289,Boo Weekley,20.88,312,1494,41
53,0,25364,Paul Casey,20.87,278,1332,2
54,0,27936,Martin Laird,20.80,292,1404,47
55,0,32366,Kevin Chappell,20.79,348,1674,71
55,0,29221,Webb Simpson,20.79,262,1260,57
57,0,33461,Morgan Hoffmann,20.73,250,1206,150
57,0,27064,Jhonattan Vegas,20.73,347,1674,10
59,0,22371,Aaron Baddeley,20.72,332,1602,154
60,0,27644,Brian Harman,20.67,387,1872,111
61,0,30944,Jason Kokrak,20.66,331,1602,26
62,0,33419,Cameron Tringale,20.63,286,1386,91
63,0,29725,Tony Finau,20.58,352,1710,106
64,0,24024,Zach Johnson,20.54,318,1548,122
64,0,26951,Johnson Wagner,20.54,318,1548,13
66,0,34409,David Lingmerth,20.51,299,1458,134
67,0,25240,D.A. Points,20.48,188,918,98
68,0,33122,Russell Knox,20.47,328,1602,9
69,0,35451,Scott Pinckney,20.46,313,1530,20
70,0,25818,Scott Piercy,20.44,309,1512,52
71,0,35879,Kelly Kraft,20.43,217,1062,50
72,0,32757,Patton Kizzire,20.41,327,1602,124
73,0,29926,Danny Lee,20.37,330,1620,137
74,0,34563,Chesson Hadley,20.32,289,1422,101
75,0,35732,Wes Roach,20.30,201,990,151
76,0,23325,Vaughn Taylor,20.29,263,1296,127
76,0,37189,Harold Varner III,20.29,336,1656,75
78,0,25349,Tim Wilkinson,20.26,248,1224,115
79,0,31202,William McGirt,20.24,357,1764,51
80,0,06527,Steve Stricker,20.23,193,954,158
81,0,20229,Stewart Cink,20.22,222,1098,4
82,0,29518,Brendan Steele,20.17,305,1512,25
83,0,29289,S.Y. Noh,20.16,294,1458,121
83,0,26476,Chez Reavie,20.16,312,1548,37
85,0,27214,Kevin Streelman,20.12,297,1476,17
86,0,34098,Russell Henley,20.10,275,1368,29
87,0,34265,Will Wilcox,20.09,235,1170,147
88,0,35545,Blayne Barber,20.07,289,1440,63
88,0,33667,Carlos Ortiz,20.07,271,1350,125
88,0,29476,Kyle Reifers,20.07,401,1998,48
91,0,29720,Andres Gonzales,20.01,281,1404,81
92,0,27963,Chris Stroud,20.00,288,1440,67
92,0,28114,Dawie van der Walt,20.00,252,1260,62
94,0,32640,Troy Merritt,19.99,277,1386,152
95,0,20645,John Senden,19.96,309,1548,21
96,0,26758,David Hearn,19.94,341,1710,31
97,0,26300,Matt Jones,19.93,287,1440,135
98,0,26851,Marc Leishman,19.90,308,1548,100
99,0,20766,Padraig Harrington,19.86,193,972,159
100,0,25493,Nick Taylor,19.83,282,1422,86
101,0,22892,Jason Gore,19.82,264,1332,68
102,0,33141,Keegan Bradley,19.78,292,1476,12
102,0,27466,Spencer Levin,19.78,356,1800,72
104,0,29479,Scott Brown,19.76,313,1584,107
105,0,31416,Derek Fathauer,19.74,334,1692,172
105,0,26329,Louis Oosthuizen,19.74,199,1008,33
107,0,31420,Anirban Lahiri,19.73,245,1242,161
108,0,25572,Graeme McDowell,19.72,213,1080,125
109,0,34099,Harris English,19.70,344,1746,112
110,0,28679,Fabián Gómez,19.69,280,1422,141
110,0,28158,Steve Marino,19.69,241,1224,85
112,0,30110,Kyle Stanley,19.66,315,1602,54
113,0,30163,Henrik Norlander,19.65,237,1206,32
114,0,29974,Branden Grace,19.63,212,1080,61
115,0,36801,Mark Hubbard,19.59,342,1746,145
116,0,12510,Chad Campbell,19.57,317,1620,33
117,0,20691,Greg Owen,19.55,285,1458,8
118,0,27974,Sung Kang,19.54,306,1566,101
119,0,30692,Scott Stallings,19.52,246,1260,82
120,0,39975,Michael Kim,19.50,337,1728,159
121,0,24357,K.J. Choi,19.48,256,1314,97
121,0,29485,Brett Stegmaier,19.48,298,1530,60
123,0,29223,Sam Saunders,19.40,227,1170,128
124,0,12716,Charley Hoffman,19.38,307,1584,119
125,0,30926,Chris Kirk,19.35,296,1530,132
126,0,22046,Geoff Ogilvy,19.30,205,1062,142
127,0,06567,Vijay Singh,19.29,250,1296,163
128,0,23541,Ben Crane,19.23,263,1368,143
129,0,34262,Jon Curran,19.19,342,1782,156
130,0,23800,Bryce Molder,19.16,269,1404,176
131,0,06522,Ernie Els,19.11,227,1188,177
131,0,29222,Billy Hurley III,19.11,227,1188,166
133,0,20157,Retief Goosen,19.09,189,990,163
134,0,20098,Stuart Appleby,19.08,237,1242,175
134,0,34174,John Huh,19.08,292,1530,77
134,0,34466,Peter Malnati,19.08,292,1530,171
137,0,27770,Camilo Villegas,19.06,271,1422,170
138,0,35532,Tom Hoge,19.05,264,1386,167
139,0,25198,Francesco Molinari,19.01,219,1152,109
140,0,31560,Brian Stuard,18.94,225,1188,149
141,0,20104,Ken Duke,18.93,184,972,182
141,0,32618,Rhein Gibson,18.93,184,972,35
141,0,33204,Shane Lowry,18.93,184,972,123
141,0,23621,Rory Sabbatini,18.93,184,972,130
145,0,32448,James Hahn,18.89,289,1530,119
146,0,25892,Steve Wheatcroft,18.86,275,1458,173
147,0,29745,Tyler Aldridge,18.85,268,1422,95
147,0,24781,Hunter Mahan,18.85,207,1098,162
149,0,34431,Robert Streb,18.78,284,1512,78
150,0,24461,Thomas Aiken,18.77,223,1188,5
151,0,35891,Cameron Smith,18.76,233,1242,165
152,0,31557,Jim Herman,18.70,313,1674,92
153,0,29268,Bronson Burgoon,18.64,265,1422,75
154,0,45526,Abraham Ancer,18.63,161,864,174
155,0,24912,Will MacKenzie,18.61,268,1440,70
156,0,23638,Brendon de Jonge,18.59,271,1458,93
157,0,28132,Tyrone Van Aswegen,18.57,341,1836,114
158,0,30711,Colt Knost,18.54,287,1548,103
159,0,08075,Jerry Kelly,18.49,253,1368,66
160,0,33410,Andrew Landry,18.48,163,882,117
161,0,27747,Hiroshi Iwata,18.41,275,1494,181
162,0,37454,Whee Kim,18.38,258,1404,89
163,0,10213,Dicky Pride,18.34,175,954,179
164,0,28475,Jeff Overton,18.29,214,1170,139
165,0,32876,Martin Piller,18.23,187,1026,129
166,0,24490,George McNeill,18.19,167,918,131
166,0,02206,David Toms,18.19,203,1116,96
168,0,28092,D.H. Lee,18.13,186,1026,180
169,0,40058,Zac Blair,18.01,308,1710,169
170,0,24494,Erik Compton,17.90,203,1134,183
170,0,23983,Luke Donald,17.90,261,1458,118
172,0,24924,Bill Haas,17.89,264,1476,57
173,0,33418,Shawn Stefani,17.88,280,1566,69
174,0,37273,Derek Ernst,17.84,183,1026,79
175,0,34261,Scott Langley,17.72,201,1134,138
176,0,10809,Jim Furyk,17.63,165,936,29
177,0,25720,Chad Collins,17.50,230,1314,168
178,0,27942,Rob Oppenheim,17.46,198,1134,144
179,0,20848,Ángel Cabrera,17.38,194,1116,155
180,0,20572,Rod Pampling,17.33,156,900,133
181,0,25274,Steven Bowditch,17.06,218,1278,184
182,0,21878,Mark Wilson,17.03,190,1116,108
183,0,30927,Brendon Todd,15.78,179,1134,185
184,0,23353,J.J. Henry,15.66,186,1188,49
185,0,10885,Robert Allenby,15.14,139,918,140
