RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
89,0,27797,Derek Lamely,27.45,28,102
90,0,25834,Daniel Summerhays,27.42,17,62
91,0,24138,Ian Poulter,27.27,9,33
91,0,25804,Bubba Watson,27.27,9,33
93,0,28475,Jeff Overton,27.16,22,81
94,0,24361,Pat Perez,27.14,19,70
95,0,23638,Brendon de Jonge,27.06,23,85
96,0,30750,Tommy Gainey,26.89,32,119
97,0,20623,Gavin Coles,26.87,18,67
98,0,28500,Martin Flores,26.80,26,97
99,0,01706,Davis Love III,26.79,15,56
100,0,30926,Chris Kirk,26.74,23,86
100,0,27466,Spencer Levin,26.74,23,86
102,0,27120,Troy Matteson,26.67,32,120
103,0,34099,Harris English,26.37,24,91
104,0,22371,Aaron Baddeley,26.32,15,57
105,0,34174,John Huh,26.19,22,84
106,0,08725,Tom Gillis,26.09,18,69
106,0,21878,Mark Wilson,26.09,18,69
108,0,28089,Jason Day,26.00,13,50
109,0,23903,Stephen Gangluff,25.97,20,77
110,0,20691,Greg Owen,25.93,21,81
111,0,23621,Rory Sabbatini,25.88,22,85
112,0,12510,Chad Campbell,25.81,16,62
113,0,24490,George McNeill,25.68,19,74
114,0,31202,William McGirt,25.64,20,78
115,0,34021,Bud Cauley,25.47,27,106
116,0,22378,Trevor Immelman,25.45,14,55
116,0,21731,Freddie Jacobson,25.45,14,55
118,0,21407,Arjun Atwal,25.00,19,76
118,0,24494,Erik Compton,25.00,18,72
118,0,31558,J.J. Killeen,25.00,20,80
118,0,22046,Geoff Ogilvy,25.00,13,52
118,0,26476,Chez Reavie,25.00,12,48
123,0,27770,Camilo Villegas,24.68,19,77
124,0,22961,David Mathis,24.64,17,69
125,0,26679,Kevin Stadler,24.56,14,57
126,0,27141,J.B. Holmes,24.44,22,90
126,0,22582,Kyle Thompson,24.44,11,45
128,0,32366,Kevin Chappell,24.36,19,78
129,0,12716,Charley Hoffman,24.29,17,70
130,0,12782,Tim Herron,24.24,16,66
131,0,30852,Ryo Ishikawa,24.19,15,62
132,0,23542,Tommy Biershenk,24.05,19,79
133,0,23718,Nathan Green,23.94,17,71
134,0,24781,Hunter Mahan,23.81,15,63
134,0,29289,S.Y. Noh,23.81,20,84
136,0,24358,Robert Garrigus,23.73,14,59
137,0,25818,Scott Piercy,23.68,18,76
138,0,25562,Andres Romero,23.53,16,68
138,0,22548,Patrick Sheehan,23.53,12,51
140,0,27214,Kevin Streelman,23.46,19,81
141,0,24846,Ricky Barnes,23.26,20,86
141,0,23325,Vaughn Taylor,23.26,20,86
143,0,26300,Matt Jones,23.21,13,56
144,0,01797,Rocco Mediate,23.19,16,69
145,0,28259,Sangmoon Bae,22.97,17,74
146,0,33122,Russell Knox,22.92,11,48
147,0,33120,Mark Anderson,22.73,20,88
148,0,25396,Kevin Na,22.58,14,62
149,0,06567,Vijay Singh,22.41,13,58
150,0,28093,Miguel Angel Carballo,22.22,16,72
151,0,01249,John Daly,22.00,11,50
152,0,30692,Scott Stallings,21.92,16,73
153,0,06573,Brandt Jobe,21.82,12,55
154,0,20574,Mathew Goggin,21.43,12,56
154,0,08075,Jerry Kelly,21.43,12,56
154,0,24502,Adam Scott,21.43,9,42
157,0,20070,Matt Bettencourt,21.35,19,89
158,0,23548,Bill Lunde,21.21,14,66
159,0,20850,Daniel Chopra,21.13,15,71
160,0,27064,Jhonattan Vegas,21.05,20,95
161,0,24507,Jason Bohn,20.97,13,62
162,0,20160,Charlie Wi,20.83,20,96
163,0,32150,Michael Thompson,20.55,15,73
164,0,29926,Danny Lee,20.31,13,64
165,0,29910,Blake Adams,20.20,20,99
166,0,10885,Robert Allenby,20.00,17,85
166,0,06004,Stephen Ames,20.00,10,50
166,0,35139,Richard Lee,20.00,13,65
166,0,30110,Kyle Stanley,20.00,11,55
166,0,29518,Brendan Steele,20.00,14,70
171,0,01941,Tom Pernice Jr.,19.75,16,81
172,0,29476,Kyle Reifers,19.74,15,76
173,0,12652,Cameron Beckman,19.51,16,82
174,0,27644,Brian Harman,19.32,17,88
175,0,11123,Chris Couch,18.87,10,53
176,0,19970,Robert Karlsson,18.75,9,48
177,0,23788,D.J. Trahan,18.64,11,59
178,0,31323,Gary Woodland,18.33,11,60
179,0,27330,Josh Teater,17.72,14,79
180,0,32334,Charlie Beljan,17.65,6,34
180,0,29479,Scott Brown,17.65,9,51
182,0,27895,Jonas Blixt,17.46,11,63
183,0,06034,Marco Dawson,16.88,13,77
184,0,24604,Hunter Haas,16.00,8,50
185,0,30925,Dustin Johnson,15.56,7,45
186,0,21805,Harrison Frazar,14.75,9,61
187,0,26287,Roland Thatcher,13.95,6,43
188,0,25572,Graeme McDowell,13.89,5,36
189,0,25892,Steve Wheatcroft,10.53,4,38
190,0,24940,Edward Loar,10.17,6,59
191,0,20396,Lee Westwood,10.00,4,40
