RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
97,0,21350,Ryuji Imada,55.19,101,183
97,0,22961,David Mathis,55.19,85,154
99,0,23541,Ben Crane,55.15,91,165
100,0,25562,Andres Romero,55.03,82,149
101,0,21528,Henrik Stenson,54.95,50,91
102,0,26331,Charl Schwartzel,54.90,56,102
103,0,30110,Kyle Stanley,54.88,90,164
104,0,26476,Chez Reavie,54.86,79,144
105,0,08075,Jerry Kelly,54.82,91,166
106,0,27141,J.B. Holmes,54.80,97,177
107,0,27770,Camilo Villegas,54.55,90,165
108,0,22621,Ben Curtis,54.37,56,103
109,0,33141,Keegan Bradley,54.29,95,175
109,0,26951,Johnson Wagner,54.29,95,175
111,0,24846,Ricky Barnes,54.17,104,192
112,0,34174,John Huh,54.08,106,196
113,0,21407,Arjun Atwal,54.07,93,172
113,0,20766,Padraig Harrington,54.07,73,135
115,0,28475,Jeff Overton,53.77,114,212
116,0,27936,Martin Laird,53.64,81,151
117,0,28308,Troy Kelly,53.60,67,125
118,0,24781,Hunter Mahan,53.45,62,116
119,0,27436,Graham DeLaet,53.42,78,146
119,0,25834,Daniel Summerhays,53.42,78,146
121,0,29910,Blake Adams,53.40,102,191
122,0,24490,George McNeill,53.37,103,193
123,0,30926,Chris Kirk,53.30,105,197
124,0,26596,Ryan Moore,53.19,100,188
125,0,29478,Kevin Kisner,53.15,76,143
126,0,27120,Troy Matteson,53.13,119,224
126,0,29289,S.Y. Noh,53.13,119,224
128,0,32698,Bobby Gates,53.07,95,179
128,0,08725,Tom Gillis,53.07,95,179
130,0,27330,Josh Teater,53.04,96,181
131,0,25572,Graeme McDowell,53.01,44,83
132,0,06004,Stephen Ames,52.94,63,119
132,0,23325,Vaughn Taylor,52.94,81,153
134,0,26679,Kevin Stadler,52.80,85,161
135,0,06251,Chris DiMarco,52.76,105,199
136,0,29476,Kyle Reifers,52.60,81,154
137,0,10809,Jim Furyk,52.59,71,135
138,0,31323,Gary Woodland,52.48,74,141
139,0,23903,Stephen Gangluff,52.42,65,124
140,0,20070,Matt Bettencourt,52.40,109,208
141,0,28259,Sangmoon Bae,52.31,102,195
142,0,10213,Dicky Pride,51.88,69,133
143,0,26300,Matt Jones,51.85,56,108
144,0,20574,Mathew Goggin,51.79,58,112
145,0,32150,Michael Thompson,51.65,94,182
146,0,34099,Harris English,51.53,101,196
147,0,27974,Sung Kang,51.14,90,176
148,0,28093,Miguel Angel Carballo,50.96,80,157
148,0,23788,D.J. Trahan,50.96,80,157
150,0,24494,Erik Compton,50.85,90,177
151,0,19970,Robert Karlsson,50.59,43,85
152,0,24604,Hunter Haas,50.40,63,125
153,0,20850,Daniel Chopra,50.36,69,137
154,0,23409,James Driscoll,50.29,86,171
155,0,23204,Gary Christian,50.00,91,182
155,0,23353,J.J. Henry,50.00,74,148
155,0,26287,Roland Thatcher,50.00,52,104
155,0,27064,Jhonattan Vegas,50.00,79,158
159,0,23542,Tommy Biershenk,49.71,85,171
160,0,24507,Jason Bohn,49.66,72,145
161,0,22548,Patrick Sheehan,49.63,67,135
162,0,27302,Garth Mulroy,49.59,61,123
163,0,01116,Michael Bradley,49.28,68,138
164,0,26289,Boo Weekley,49.24,65,132
165,0,30692,Scott Stallings,49.18,90,183
166,0,23135,Tim Clark,49.04,51,104
167,0,27933,John Merrick,48.67,73,150
168,0,24502,Adam Scott,48.48,48,99
169,0,28087,Kris Blanks,48.46,63,130
170,0,32334,Charlie Beljan,48.39,60,124
171,0,30711,Colt Knost,48.15,78,162
172,0,30750,Tommy Gainey,47.95,105,219
172,0,23548,Bill Lunde,47.95,70,146
174,0,24140,Sean O'Hair,47.45,65,137
175,0,25457,Alexandre Rocha,47.37,54,114
