RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
164,0,23320,Ryan Palmer,20.24%,17,84,-17,-3.00
165,0,51894,Vince Whaley,20.00%,25,125,-26,-3.00
166,0,23108,Matt Kuchar,19.42%,20,103,-19,-15.00
167,0,34466,Peter Malnati,19.08%,25,131,-29,+6.00
168,0,46717,Viktor Hovland,18.92%,28,148,-26,-19.00
169,0,51287,Ryo Hisatsune,18.75%,27,144,-31,+3.00
170,0,36884,Ben Kohles,18.57%,26,140,-27,-20.00
171,0,34256,Andrew Putnam,18.37%,27,147,-25,-19.00
172,0,51890,Greyson Sigg,17.97%,23,128,-20,-19.00
173,0,30926,Chris Kirk,17.96%,30,167,-28,-20.00
174,0,27330,Josh Teater,17.86%,15,84,-18,+3.00
175,0,27139,David Skinns,17.81%,26,146,-29,-8.00
176,0,34046,Jordan Spieth,17.05%,30,176,-33,+9.00
177,0,40058,Zac Blair,16.43%,23,140,-21,-12.00
178,0,30927,Brendon Todd,16.22%,24,148,-22,-38.00
179,0,34098,Russell Henley,15.32%,19,124,-21,-20.00
180,0,27649,Brandt Snedeker,15.29%,13,85,-12,-4.00
181,0,22371,Aaron Baddeley,15.05%,14,93,-16,-21.00
182,0,49960,Sepp Straka,15.00%,24,160,-25,-10.00
183,0,26596,Ryan Moore,14.71%,20,136,-14,-9.00
184,0,45522,Christiaan Bezuidenhout,14.17%,17,120,-18,-32.00
