RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
87,0,23320,Ryan Palmer,64.04%,73,41
88,0,32839,Hideki Matsuyama,63.86%,129,73
89,0,45609,Tyler Duncan,63.79%,111,63
90,0,33968,ThorbjÃ¸rn Olesen,63.49%,80,46
91,0,32791,K.H. Lee,63.46%,132,76
92,0,34587,Chan Kim,63.25%,148,86
93,0,51349,Nico Echavarria,63.08%,135,79
94,0,59836,Pierceson Coody,63.02%,121,71
94,0,12716,Charley Hoffman,63.02%,121,71
96,0,57975,Harry Hall,62.95%,141,83
97,0,35532,Tom Hoge,62.94%,180,106
98,0,39977,Max Homa,62.83%,142,84
99,0,49771,J.T. Poston,62.72%,143,85
100,0,28252,Seamus Power,62.68%,173,103
101,0,36699,Patrick Rodgers,62.23%,173,105
102,0,33653,Thomas Detry,62.00%,124,76
103,0,58168,Davis Thompson,61.67%,148,92
104,0,55454,Carl Yuan,61.58%,109,68
105,0,33399,Adam Hadwin,61.57%,133,83
106,0,32757,Patton Kizzire,61.45%,102,64
107,0,55893,Sam Stevens,61.11%,154,98
108,0,46442,Maverick McNealy,60.91%,148,95
109,0,48084,Wesley Bryan,60.71%,68,44
110,0,52375,Doug Ghim,60.40%,151,99
111,0,39975,Michael Kim,60.20%,118,78
112,0,32102,Rickie Fowler,60.00%,132,88
112,0,60767,Blaine Hale Jr.,60.00%,78,52
114,0,29221,Webb Simpson,59.87%,91,61
115,0,52453,Nicolai HÃ¸jgaard,59.72%,86,58
116,0,54628,Lee Hodges,59.71%,166,112
117,0,54591,Ben Griffin,59.41%,161,110
118,0,32367,Jorge Campillo,59.38%,76,52
119,0,51997,Andrew Novak,59.00%,141,98
120,0,54783,Dylan Wu,58.70%,135,95
121,0,34563,Chesson Hadley,58.59%,116,82
122,0,25493,Nick Taylor,58.55%,137,97
123,0,26596,Ryan Moore,58.33%,119,85
124,0,52514,Trace Crowe,58.24%,99,71
125,0,52374,Brandon Wu,58.16%,114,82
126,0,27644,Brian Harman,57.98%,138,100
127,0,31646,Emiliano Grillo,57.63%,136,100
128,0,36326,David Lipsky,57.45%,108,80
129,0,54421,Garrick Higgo,57.14%,112,84
130,0,33204,Shane Lowry,57.07%,105,79
131,0,60004,Jacob Bridgeman,56.84%,108,82
132,0,55708,Hayden Buckley,56.77%,109,83
133,0,51894,Vince Whaley,56.40%,97,75
134,0,27330,Josh Teater,56.35%,71,55
135,0,47679,Victor Perez,56.25%,99,77
136,0,27139,David Skinns,55.96%,122,96
137,0,59143,Mac Meissner,55.88%,114,90
138,0,46441,Robby Shelton,55.66%,118,94
139,0,32640,Troy Merritt,55.43%,102,82
140,0,48319,Tom Whitney,55.42%,92,74
141,0,56149,Wilson Furr,55.26%,84,68
142,0,35617,Martin Trainer,55.00%,66,54
143,0,50497,Adrien Dumont de Chassart,54.95%,100,82
144,0,34021,Bud Cauley,54.88%,90,74
145,0,48119,Ben Taylor,54.65%,94,78
146,0,36871,Matt NeSmith,54.59%,107,89
147,0,32366,Kevin Chappell,54.55%,72,60
148,0,29535,Brice Garnett,54.48%,73,61
149,0,52666,Sami Valimaki,54.30%,101,85
150,0,27770,Camilo Villegas,54.29%,76,64
151,0,52513,Carson Young,54.27%,127,107
152,0,50493,Justin Suh,54.08%,106,90
153,0,57900,Chandler Phillips,53.68%,124,107
154,0,46113,Ryan McCormick,53.46%,85,74
155,0,27214,Kevin Streelman,53.33%,96,84
156,0,59442,Parker Coody,53.25%,82,72
157,0,34098,Russell Henley,53.00%,106,94
158,0,51287,Ryo Hisatsune,52.78%,114,102
159,0,28775,Nate Lashley,52.55%,103,93
160,0,34076,Joel Dahmen,52.47%,117,106
161,0,34256,Andrew Putnam,51.25%,123,117
162,0,27936,Martin Laird,51.11%,92,88
163,0,55789,Taylor Montgomery,50.98%,78,75
164,0,47993,Denny McCarthy,50.85%,120,116
165,0,25900,Lucas Glover,50.82%,124,120
166,0,26476,Chez Reavie,50.55%,92,90
167,0,40058,Zac Blair,50.44%,114,112
168,0,29478,Kevin Kisner,50.00%,72,72
168,0,51890,Greyson Sigg,50.00%,103,103
170,0,34466,Peter Malnati,49.51%,102,104
171,0,29908,C.T. Pan,48.62%,88,93
171,0,47983,Chad Ramey,48.62%,106,112
173,0,24024,Zach Johnson,47.62%,60,66
174,0,36884,Ben Kohles,47.37%,108,120
175,0,34374,Erik Barnes,47.18%,67,75
176,0,39327,Ben Silverman,46.90%,106,120
177,0,33486,Roger Sloan,46.67%,84,96
178,0,30927,Brendon Todd,45.93%,124,146
179,0,40162,Justin Lower,45.04%,118,144
180,0,47806,Raul Pereda,44.07%,52,66
181,0,45522,Christiaan Bezuidenhout,43.95%,98,125
182,0,27649,Brandt Snedeker,43.68%,76,98
183,0,23108,Matt Kuchar,41.35%,86,122
184,0,22371,Aaron Baddeley,38.24%,78,126
