RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE
48,0,01943,Chris Perry,8
48,0,01978,Fran Quinn,8
48,0,01998,Jack Renner,8
48,0,02049,Gene Sauers,8
48,0,02063,Dave Schreyer,8
48,0,02090,Tom Sieckmann,8
48,0,02099,Scott Simpson,8
48,0,02201,Jim Thorpe,8
48,0,02206,David Toms,8
48,0,02311,Kim Young,8
92,0,01006,John Adams,7
92,0,06142,Mitch Adcock,7
92,0,01040,Emlyn Aubrey,7
92,0,01060,Dave Barr,7
92,0,01068,Andy Bean,7
92,0,01161,Mark Calcavecchia,7
92,0,01162,Rex Caldwell,7
92,0,01181,Jon Chaffee,7
92,0,01201,Lennie Clements,7
92,0,01219,John Cook,7
92,0,01220,Chris Cookson,7
92,0,01239,Michael Cunning,7
92,0,01278,Andy Dillard,7
92,0,01313,Steve Elkington,7
92,0,01320,Bob Estes,7
92,0,01353,Bruce Fleisher,7
92,0,01355,Raymond Floyd,7
92,0,01361,Dan Forsman,7
92,0,01388,Robert Gamez,7
92,0,01390,Buddy Gardner,7
92,0,01414,Bob Gilder,7
92,0,01418,Bill Glasson,7
92,0,01435,Wayne Grady,7
92,0,01444,Ken Green,7
92,0,01469,Dan Halldorson,7
92,0,06284,Jim Hallet,7
92,0,01475,Donnie Hammond,7
92,0,08537,J.P. Hayes,7
92,0,01510,Nolan Henke,7
92,0,01522,Lon Hinkle,7
92,0,01533,P.H. Horgan III,7
92,0,01571,Barry Jaeckel,7
92,0,01577,Lee Janzen,7
92,0,01578,Tom Jenkins,7
92,0,01633,Tom Kite,7
92,0,01648,Billy Kratzert,7
92,0,06332,Neal Lancaster,7
92,0,08277,Greg Lesher,7
92,0,01685,J.L. Lewis,7
92,0,01701,Bob Lohr,7
92,0,01704,Dick Lotz,7
92,0,01706,Davis Love III,7
92,0,01707,Steve Lowery,7
92,0,01766,Billy Mayfair,7
92,0,01783,Mark McCumber,7
92,0,01823,Larry Mize,7
92,0,10509,David Montelongo,7
92,0,01846,Jodie Mudd,7
92,0,01876,Greg Norman,7
92,0,01878,Andy North,7
92,0,01887,Mark O'Meara,7
92,0,01934,Dave Peege,7
92,0,01938,David Peoples,7
92,0,01945,Kenny Perry,7
92,0,01949,Mark Pfeil,7
92,0,01958,Dan Pohl,7
92,0,01968,Nick Price,7
92,0,01975,Tom Purtzer,7
92,0,01984,Sam Randolph,7
92,0,02007,Larry Rinker,7
92,0,02010,Loren Roberts,7
92,0,02041,Bill Sander,7
92,0,02087,Don Shirey Jr.,7
92,0,02100,Tim Simpson,7
92,0,06132,Sonny Skinner,7
92,0,02111,Mike Smith,7
92,0,02146,Payne Stewart,7
92,0,02159,Curtis Strange,7
92,0,02167,Mike Sullivan,7
92,0,02186,Brian Tennyson,7
92,0,02190,Doug Tewell,7
92,0,06048,Dicky Thompson,7
92,0,02217,Dennis Trixler,7
92,0,06969,Mike Tschetter,7
92,0,06751,Chris Tucker,7
92,0,02223,Bob Tway,7
92,0,02226,Tray Tyner,7
92,0,02230,Stan Utley,7
92,0,02239,Scott Verplank,7
92,0,02242,Lanny Wadkins,7
92,0,02256,Tom Watson,7
92,0,02292,Bob Wolcott,7
92,0,02298,Jim Woodward,7
92,0,02321,Fuzzy Zoeller,7
176,0,01014,Fulton Allem,6
176,0,01042,Paul Azinger,6
176,0,01049,Ian Baker-Finch,6
176,0,06118,Greg Bruckner,6
176,0,01142,Bart Bryant,6
176,0,01143,Brad Bryant,6
176,0,07569,Mark Carnevale,6
176,0,01197,Bobby Clampett,6
176,0,01266,Clark Dennis,6
176,0,01284,Mike Donald,6
176,0,01305,Danny Edwards,6
176,0,06599,John Elliott,6
176,0,01323,Brad Fabel,6
176,0,07201,Kevin Fairfield,6
176,0,01326,Nick Faldo,6
176,0,01329,Brad Faxon,6
176,0,01342,Forrest Fezler,6
176,0,01346,Ed Fiori,6
176,0,06585,Jerry Foltz,6
176,0,01408,Kelly Gibson,6
176,0,01417,Ronny Glanton,6
176,0,01425,Ernie Gonzalez,6
176,0,01443,Hubert Green,6
176,0,01458,Jerry Haas,6
176,0,01489,Steve Hart,6
176,0,06122,Greg Hickman,6
176,0,01559,Hale Irwin,6
176,0,01609,Jim Kane,6
176,0,06483,Ricky Kawagishi,6
176,0,01666,Bernhard Langer,6
176,0,01677,Tom Lehman,6
176,0,01690,Bruce Lietzke,6
176,0,01717,Sandy Lyle,6
176,0,01719,Roger MacKay,6
176,0,01723,Andrew Magee,6
176,0,01725,John Mahaffey,6
176,0,01748,Doug Martin,6
176,0,01755,Dick Mast,6
176,0,01771,Blaine McCallister,6
176,0,01790,Pat McGowan,6
