RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
39,49,01313,Steve Elkington,67.51,1203,1782
39,49,02190,Doug Tewell,67.51,960,1422
41,49,01931,Rick Pearson,67.48,911,1350
42,49,01549,Mike Hulbert,67.42,1432,2124
43,50,01884,Mac O'Grady,67.34,633,940
43,50,02225,Howard Twitty,67.34,1000,1485
45,50,01161,Mark Calcavecchia,67.31,1054,1566
46,50,01527,Scott Hoch,67.29,1187,1764
47,50,01771,Blaine McCallister,67.15,1241,1848
48,50,02242,Lanny Wadkins,67.14,991,1476
49,50,01926,Steve Pate,67.12,1329,1980
50,50,01226,Fred Couples,67.10,1075,1602
50,50,02322,Richard Zokol,67.10,924,1377
52,52,02159,Curtis Strange,67.02,959,1431
53,52,01569,Peter Jacobsen,66.86,1035,1548
54,52,02101,Joey Sindelar,66.84,1143,1710
55,52,02246,Duffy Waldorf,66.73,1021,1530
56,52,01061,Ray Barr Jr.,66.67,756,1134
57,70,02010,Loren Roberts,66.62,1355,2034
58,70,01014,Fulton Allem,66.60,1031,1548
59,70,02148,Ray Stewart,66.58,743,1116
60,70,01006,John Adams,66.54,1042,1566
61,70,01435,Wayne Grady,66.53,982,1476
62,70,01049,Ian Baker-Finch,66.51,715,1075
62,70,01958,Dan Pohl,66.51,826,1242
64,72,02241,Bobby Wadkins,66.35,1254,1890
65,73,01475,Donnie Hammond,66.30,1074,1620
66,73,02186,Brian Tennyson,66.29,1217,1836
67,73,01156,Curt Byrum,66.27,1157,1746
67,73,01390,Buddy Gardner,66.27,1324,1998
67,73,02279,Mark Wiebe,66.27,1169,1764
70,73,01129,Bill Britton,66.20,1275,1926
71,73,01846,Jodie Mudd,66.14,1131,1710
72,73,01706,Davis Love III,66.13,988,1494
73,73,01499,Mark Hayes,66.08,1011,1530
74,73,01306,David Edwards,66.05,1070,1620
75,73,02303,Robert Wrenn,66.03,1034,1566
76,73,01522,Lon Hinkle,65.99,1069,1620
76,73,01943,Chris Perry,65.99,1271,1926
78,73,01346,Ed Fiori,65.94,1187,1800
79,73,01200,Keith Clearwater,65.89,1186,1800
80,74,01715,Mark Lye,65.86,1067,1620
81,74,01723,Andrew Magee,65.85,1209,1836
81,74,01877,Tim Norris,65.85,1043,1584
83,74,01968,Nick Price,65.84,1114,1692
84,74,01469,Dan Halldorson,65.78,1042,1584
85,74,01557,John Inman,65.76,1018,1548
86,74,01203,Russ Cochran,65.74,1065,1620
86,74,01564,David Jackson,65.74,639,972
88,74,01331,Rick Fehr,65.73,840,1278
88,74,02292,Bob Wolcott,65.73,725,1103
90,74,01444,Ken Green,65.72,949,1444
91,74,02049,Gene Sauers,65.65,969,1476
92,74,01024,Billy Andrade,65.63,1075,1638
92,74,01468,Gary Hallberg,65.63,1016,1548
94,74,01132,Mark Brooks,65.62,1025,1562
95,74,01507,Webb Heintzelman,65.58,1204,1836
96,74,02195,Leonard Thompson,65.48,1108,1692
97,74,01891,David Ogrin,65.47,1096,1674
98,74,01106,Jim Booros,65.46,978,1494
99,75,01168,David Canipe,65.34,1082,1656
100,75,01996,Mike Reid,65.33,882,1350
101,76,01639,Kenny Knox,65.29,1281,1962
102,80,01072,Chip Beck,65.24,916,1404
103,80,01701,Bob Lohr,65.23,1133,1737
103,80,01864,Larry Nelson,65.23,681,1044
105,80,01790,Pat McGowan,65.20,1068,1638
106,80,02223,Bob Tway,65.19,1103,1692
107,80,01323,Brad Fabel,65.18,992,1522
108,80,01777,John McComish,65.14,938,1440
109,80,02201,Jim Thorpe,65.10,931,1430
110,80,01766,Billy Mayfair,65.04,1159,1782
111,80,01261,Jay Delsing,65.03,714,1098
112,80,01736,Roger Maltbie,65.01,901,1386
113,80,01887,Mark O'Meara,65.00,1053,1620
114,80,01487,Jeff Hart,64.98,655,1008
115,80,02256,Tom Watson,64.97,690,1062
116,80,01248,Rick Dalpos,64.95,795,1224
117,80,01457,Jay Haas,64.94,1052,1620
118,80,01068,Andy Bean,64.89,876,1350
119,80,01381,Fred Funk,64.86,1004,1548
120,80,01599,Steve Jones,64.83,1084,1672
121,80,01329,Brad Faxon,64.81,1085,1674
122,82,01823,Larry Mize,64.80,1108,1710
123,82,01378,David Frost,64.77,1061,1638
124,82,02099,Scott Simpson,64.74,839,1296
125,82,01086,Roy Biancalana,64.70,722,1116
126,83,01571,Barry Jaeckel,64.64,733,1134
127,83,01175,Jim Carter,64.62,1233,1908
128,83,01928,Corey Pavin,64.59,1151,1782
129,84,01533,P.H. Horgan III,64.57,953,1476
130,84,01374,Robin Freeman,64.47,882,1368
131,85,01641,Gary Koch,64.36,753,1170
132,85,02239,Scott Verplank,64.24,1006,1566
133,85,01303,Bob Eastwood,64.22,971,1512
134,85,01773,Ronnie McCann,64.20,685,1067
135,85,02023,Clarence Rose,64.19,1190,1854
136,85,01284,Mike Donald,64.11,1327,2070
137,85,01813,Mike Miles,64.06,738,1152
138,86,02267,D.A. Weibring,63.97,886,1385
139,86,01662,Greg Ladehoff,63.89,897,1404
140,114,02222,Billy Tuten,63.85,793,1242
141,114,01326,Nick Faldo,63.84,701,1098
142,114,01626,Karl Kimball,63.72,562,882
143,114,02095,Larry Silveira,63.60,893,1404
144,114,01361,Dan Forsman,63.57,984,1548
145,115,02094,Tony Sills,63.52,989,1557
146,115,01093,Ronnie Black,63.36,977,1542
146,115,01310,Dave Eichelberger,63.36,1129,1782
148,117,01197,Bobby Clampett,63.32,1003,1584
149,119,01992,Don Reese,63.19,1035,1638
150,121,01550,Ed Humenik,63.18,887,1404
151,121,02041,Bill Sander,63.15,1114,1764
152,121,02196,Robert Thompson,63.12,801,1269
153,121,01414,Bob Gilder,63.05,976,1548
153,121,01935,Calvin Peete,63.05,575,912
155,121,01235,Ben Crenshaw,62.96,884,1404
155,121,01755,Dick Mast,62.96,986,1566
157,124,02261,Doug Weaver,62.79,746,1188
158,124,02007,Larry Rinker,62.71,982,1566
159,125,01078,Jim Benepe,62.65,857,1368
160,125,02090,Tom Sieckmann,62.62,913,1458
161,128,01448,Tony Grimes,62.44,753,1206
162,128,01952,Billy Pierot,62.41,719,1152
163,128,01033,George Archer,62.35,712,1142
164,128,01320,Bob Estes,62.15,839,1350
165,134,01553,John Huston,61.93,942,1521
166,134,01960,Don Pooley,61.92,847,1368
167,134,02104,Jeff Sluman,61.71,822,1332
168,134,01150,George Burns,61.45,617,1004
169,135,01984,Sam Randolph,61.39,609,992
170,136,02167,Mike Sullivan,61.25,871,1422
171,136,01717,Sandy Lyle,61.22,581,949
172,136,01096,Phil Blackmar,61.11,924,1512
173,164,01157,Tom Byrum,61.06,1110,1818
174,164,02224,Greg Twiggs,60.88,789,1296
175,164,01614,Jack Kay Jr.,60.87,767,1260
176,164,01489,Steve Hart,60.81,824,1355
177,165,01666,Bernhard Langer,60.61,600,990
178,167,01162,Rex Caldwell,60.24,744,1235
179,167,01685,J.L. Lewis,60.19,520,864
180,169,01112,Charlie Bowles,59.89,636,1062
181,174,01355,Raymond Floyd,59.70,591,990
182,174,01443,Hubert Green,59.53,793,1332
183,209,01030,Isao Aoki,57.88,547,945
184,223,01925,Jerry Pate,56.00,509,909
185,252,01495,Morris Hatalsky,55.48,689,1242
186,263,02294,Willie Wood,53.49,491,918
