RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
97,84,01946,Peter Persons,66.40,1243,1872
98,84,01706,Davis Love III,66.39,1183,1782
99,84,01458,Jerry Haas,66.33,1170,1764
100,85,01261,Jay Delsing,66.25,1109,1674
101,85,01662,Greg Ladehoff,66.20,858,1296
102,86,01996,Mike Reid,66.18,822,1242
103,86,02241,Bobby Wadkins,66.15,1229,1858
104,86,01475,Donnie Hammond,66.13,898,1358
104,86,01943,Chris Perry,66.13,1226,1854
106,87,01320,Bob Estes,66.11,1190,1800
107,87,01388,Robert Gamez,66.10,940,1422
108,87,06072,Greg Whisman,65.94,997,1512
109,87,01049,Ian Baker-Finch,65.93,890,1350
110,87,01468,Gary Hallberg,65.89,1014,1539
111,88,01068,Andy Bean,65.83,865,1314
111,88,01355,Raymond Floyd,65.83,711,1080
113,89,01035,Tommy Armour III,65.67,1035,1576
113,89,01510,Nolan Henke,65.67,1123,1710
115,89,01024,Billy Andrade,65.60,1169,1782
116,89,01381,Fred Funk,65.52,1144,1746
117,89,01329,Brad Faxon,65.48,1155,1764
118,89,02135,Mike Standly,65.47,1037,1584
119,90,01639,Kenny Knox,65.42,1366,2088
120,90,01414,Bob Gilder,65.38,918,1404
121,90,01876,Greg Norman,65.33,735,1125
122,93,06048,Dicky Thompson,65.25,1010,1548
123,93,01249,John Daly,65.24,1233,1890
124,93,01607,Brian Kamm,65.17,868,1332
125,93,01557,John Inman,65.15,1161,1782
126,93,01132,Mark Brooks,65.12,1266,1944
127,93,01185,Brandel Chamblee,65.06,972,1494
128,93,01577,Lee Janzen,64.98,1275,1962
129,93,01196,Brian Claar,64.96,1216,1872
130,93,01435,Wayne Grady,64.93,748,1152
131,93,01078,Jim Benepe,64.89,876,1350
131,93,01161,Mark Calcavecchia,64.89,911,1404
133,97,01096,Phil Blackmar,64.70,955,1476
134,97,06571,Bryan Norton,64.67,745,1152
135,97,06577,John Wilson,64.64,989,1530
136,97,02054,Ken Schall,64.63,919,1422
137,97,01499,Mark Hayes,64.60,686,1062
138,99,02148,Ray Stewart,64.46,1079,1674
139,99,06006,JC Anderson,64.32,712,1107
139,99,02224,Greg Twiggs,64.32,961,1494
141,100,01157,Tom Byrum,64.28,1157,1800
142,100,01266,Clark Dennis,64.24,925,1440
143,100,01331,Rick Fehr,64.23,948,1476
144,100,01154,Bill Buttner,64.14,912,1422
145,101,01559,Hale Irwin,64.07,692,1080
146,101,02007,Larry Rinker,64.06,934,1458
147,102,02298,Jim Woodward,63.99,933,1458
148,103,02292,Bob Wolcott,63.91,1369,2142
149,129,01039,Perry Arthur,63.85,793,1242
150,129,06575,Dudley Hart,63.74,1090,1710
151,129,06090,Jim McGovern,63.72,1124,1764
152,129,02257,Brian Watts,63.57,904,1422
153,131,01835,Tommy Moore,63.37,673,1062
154,131,01112,Charlie Bowles,63.33,855,1350
155,133,02185,Lance Ten Broeck,63.16,571,904
156,133,02186,Brian Tennyson,63.13,1034,1638
157,133,02033,Dave Rummells,63.07,1158,1836
158,133,06573,Brandt Jobe,63.05,715,1134
159,133,02041,Bill Sander,63.03,658,1044
160,133,01284,Mike Donald,63.00,1168,1854
161,133,01235,Ben Crenshaw,62.96,680,1080
162,136,02279,Mark Wiebe,62.94,1031,1638
163,136,02196,Robert Thompson,62.93,691,1098
164,136,01736,Roger Maltbie,62.88,747,1188
165,138,02095,Larry Silveira,62.66,891,1422
166,138,01168,David Canipe,62.65,1015,1620
167,138,01626,Karl Kimball,62.64,778,1242
168,139,01378,David Frost,62.53,1013,1620
169,145,02230,Stan Utley,62.32,1032,1656
170,145,06581,David Sutherland,62.28,852,1368
171,145,06140,Sean Murphy,62.25,762,1224
171,145,01984,Sam Randolph,62.25,770,1237
173,146,06197,Michael Allen,62.21,963,1548
174,148,01878,Andy North,62.05,592,954
175,148,01106,Jim Booros,62.04,1072,1728
176,150,02023,Clarence Rose,61.75,578,936
177,150,02311,Kim Young,61.74,589,954
178,150,01197,Bobby Clampett,61.52,897,1458
179,150,01790,Pat McGowan,61.46,708,1152
180,151,06010,Brad Bell,61.26,623,1017
181,181,02255,Denis Watson,61.01,626,1026
182,181,01755,Dick Mast,60.88,744,1222
183,181,01495,Morris Hatalsky,60.84,909,1494
184,181,06016,Brad Lardon,60.75,678,1116
184,181,02294,Willie Wood,60.75,842,1386
186,181,01303,Bob Eastwood,60.70,814,1341
187,185,06579,Craig Rudolph,60.20,726,1206
188,194,06150,Carl Cooper,59.70,763,1278
189,244,02239,Scott Verplank,56.58,550,972
