RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
43,0,02010,Loren Roberts,52.63,80,152,-0.16
44,0,23338,David Gossett,52.54,62,118,-0.06
45,0,08123,Jeff Brehaut,52.42,65,124,-0.12
46,0,01378,David Frost,52.41,76,145,-0.05
47,0,01042,Paul Azinger,52.25,58,111,-0.14
48,0,01948,Tim Petrovic,52.20,83,159,-0.10
49,0,23983,Luke Donald,52.17,84,161,-0.10
49,0,01553,John Huston,52.17,48,92,-0.08
49,0,02002,John Riegger,52.17,36,69,-0.17
52,0,01388,Robert Gamez,52.11,74,142,-0.18
53,0,08545,Glen Hnatiuk,52.05,89,171,-0.18
54,0,07941,Mike Grob,51.96,53,102,-0.06
55,0,23552,Hank Kuehne,51.92,27,52,+0.07
56,0,12602,Dean Wilson,51.82,57,110,-0.04
57,0,01706,Davis Love III,51.76,44,85,-0.25
58,0,20229,Stewart Cink,51.63,79,153,-0.16
59,0,06332,Neal Lancaster,51.61,64,124,-0.11
60,0,12782,Tim Herron,51.56,66,128,-0.12
61,0,01677,Tom Lehman,51.55,50,97,E
62,0,08337,Mike Heinen,51.52,51,99,+0.02
63,0,06575,Dudley Hart,51.35,38,74,-0.03
64,0,20572,Rod Pampling,51.32,39,76,-0.03
65,0,02239,Scott Verplank,51.28,80,156,-0.09
66,0,02206,David Toms,51.20,64,125,-0.20
67,0,24925,Jonathan Byrd,50.98,52,102,E
68,0,08339,Spike McRoy,50.91,84,165,-0.06
69,0,01157,Tom Byrum,50.88,87,171,-0.15
70,0,06522,Ernie Els,50.75,34,67,-0.15
71,0,25345,Carl Pettersson,50.42,60,119,-0.20
72,0,02049,Gene Sauers,50.38,66,131,-0.05
73,0,20645,John Senden,50.33,77,153,E
74,0,22293,Heath Slocum,50.28,91,181,-0.11
75,0,21739,Aaron Barber,50.00,62,124,-0.08
75,0,07223,Brian Bateman,50.00,39,78,-0.10
75,0,21961,Charles Howell III,50.00,69,138,-0.12
75,0,20940,Kenichi Kuboya,50.00,76,152,-0.09
75,0,01707,Steve Lowery,50.00,48,96,+0.10
75,0,01724,Jeff Maggert,50.00,67,134,-0.21
81,0,01475,Donnie Hammond,49.67,76,153,-0.07
81,0,01619,Skip Kendall,49.67,76,153,-0.14
83,0,12705,Cliff Kresge,49.63,67,135,-0.07
84,0,02214,Kirk Triplett,49.61,63,127,-0.10
85,0,08633,Per-Ulrik Johansson,49.60,62,125,-0.18
86,0,06595,Kevin Sutherland,49.51,51,103,+0.04
87,0,08375,Paul Stankowski,49.48,48,97,-0.15
88,0,21806,Paul Gow,49.40,41,83,-0.07
89,0,06643,Paul Goydos,49.32,72,146,-0.19
90,0,11032,Frank Lickliter II,49.31,71,144,-0.14
91,0,01132,Mark Brooks,49.30,70,142,-0.11
92,0,20472,Alex Cejka,49.29,69,140,-0.13
93,0,21878,Mark Wilson,49.12,56,114,-0.13
94,0,26420,Richard Johnson,49.07,79,161,-0.13
95,0,10885,Robert Allenby,49.02,50,102,-0.24
96,0,01361,Dan Forsman,49.01,74,151,-0.09
97,0,01457,Jay Haas,48.95,70,143,-0.07
98,0,06251,Chris DiMarco,48.94,69,141,-0.22
98,0,02106,Chris Smith,48.94,46,94,-0.04
100,0,01320,Bob Estes,48.85,64,131,-0.02
101,0,01941,Tom Pernice Jr.,48.76,59,121,-0.10
102,0,07101,Dave Stockton Jr.,48.70,56,115,-0.18
103,0,19824,Craig Barlow,48.33,58,120,-0.16
104,0,23614,Rich Beem,48.24,41,85,-0.12
105,0,07457,Steve Flesch,48.19,80,166,-0.08
106,0,21633,Steve Allan,48.15,26,54,E
107,0,12645,Brent Geiberger,48.08,25,52,-0.12
108,0,22548,Patrick Sheehan,48.04,49,102,-0.04
109,0,20566,Kaname Yokoo,48.00,36,75,-0.06
110,0,06809,Bob Burns,47.97,59,123,-0.07
111,0,20574,Mathew Goggin,47.87,45,94,E
112,0,07867,Woody Austin,47.83,55,115,-0.13
113,0,22371,Aaron Baddeley,47.73,42,88,-0.02
114,0,01175,Jim Carter,47.71,73,153,-0.07
115,0,22913,John Rollins,47.62,40,84,-0.13
116,0,23541,Ben Crane,47.41,64,135,-0.11
117,0,01024,Billy Andrade,47.37,63,133,-0.06
118,0,20593,Greg Chalmers,47.33,62,131,-0.16
119,0,23621,Rory Sabbatini,47.32,53,112,-0.02
120,0,01797,Rocco Mediate,47.27,52,110,-0.23
121,0,20099,Doug Barron,47.20,76,161,-0.08
122,0,26950,John Morgan,47.13,41,87,E
123,0,19972,José Coceres,47.12,49,104,-0.12
123,0,08793,Tiger Woods,47.12,49,104,-0.04
125,0,19881,Robert Damron,47.06,72,153,-0.07
126,0,20573,Scott Laycock,47.00,47,100,-0.11
127,0,26489,Cameron Yancey,46.97,31,66,-0.03
128,0,10565,Ian Leggatt,46.91,38,81,+0.03
129,0,20029,Notah Begay III,46.85,67,143,-0.24
130,0,01928,Corey Pavin,46.84,74,158,-0.19
131,0,08931,Glen Day,46.79,73,156,-0.07
132,0,06078,Esteban Toledo,46.60,89,191,-0.09
133,0,01307,Joel Edwards,46.59,41,88,+0.02
134,0,22046,Geoff Ogilvy,46.51,40,86,-0.23
135,0,10733,Kent Jones,46.36,51,110,-0.16
136,0,22621,Ben Curtis,46.30,50,108,+0.02
