RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
104,0,27349,Alex Noren,57.20%,135,101
105,0,54591,Ben Griffin,57.19%,159,119
106,0,49771,J.T. Poston,57.02%,138,104
107,0,30692,Scott Stallings,56.88%,124,94
108,0,32757,Patton Kizzire,56.77%,151,115
109,0,22056,Cameron Percy,56.67%,85,65
110,0,39954,Cody Gribble,56.63%,94,72
111,0,35532,Tom Hoge,56.59%,146,112
112,0,55893,Sam Stevens,56.54%,147,113
113,0,29970,Dylan Frittelli,56.48%,109,84
114,0,51890,Greyson Sigg,56.38%,159,123
115,0,48887,Matt Wallace,56.25%,117,91
115,0,54783,Dylan Wu,56.25%,144,112
117,0,33653,Thomas Detry,56.19%,118,92
117,0,25686,Jason Dufner,56.19%,127,99
119,0,51950,Max McGreevy,55.88%,114,90
119,0,47995,Davis Riley,55.88%,133,105
121,0,27974,Sung Kang,55.66%,59,47
122,0,57975,Harry Hall,55.65%,128,102
123,0,22405,Justin Rose,55.63%,89,71
124,0,47983,Chad Ramey,55.56%,160,128
125,0,25632,Jimmy Walker,55.37%,134,108
126,0,29908,C.T. Pan,55.20%,69,56
127,0,34363,Tyrrell Hatton,55.10%,108,88
128,0,34610,Matthias Schwab,55.08%,141,115
129,0,46442,Maverick McNealy,54.97%,83,68
130,0,47591,Eric Cole,54.88%,180,148
131,0,49960,Sepp Straka,54.82%,125,103
132,0,23108,Matt Kuchar,54.70%,128,106
133,0,34466,Peter Malnati,54.69%,140,116
134,0,34431,Robert Streb,54.64%,106,88
135,0,52453,Nicolai Hojgaard,54.63%,59,49
136,0,28252,Seamus Power,54.50%,109,91
137,0,46340,Alex Smalley,54.48%,158,132
138,0,36871,Matt NeSmith,54.26%,140,118
139,0,24925,Jonathan Byrd,54.17%,65,55
140,0,33399,Adam Hadwin,53.97%,136,116
141,0,28775,Nate Lashley,53.33%,144,126
142,0,35879,Kelly Kraft,53.30%,121,106
143,0,47079,Harrison Endycott,53.18%,117,103
144,0,27644,Brian Harman,53.13%,119,105
144,0,32640,Troy Merritt,53.13%,119,105
146,0,33597,Harry Higgs,53.09%,103,91
147,0,52513,Carson Young,53.04%,122,108
148,0,36326,David Lipsky,52.69%,137,123
149,0,25493,Nick Taylor,52.63%,120,108
150,0,32448,James Hahn,52.61%,121,109
151,0,39975,Michael Kim,52.38%,110,100
152,0,37275,Sam Ryder,52.11%,148,136
153,0,30926,Chris Kirk,51.77%,117,109
154,0,22371,Aaron Baddeley,51.63%,95,89
155,0,55789,Taylor Montgomery,51.49%,138,130
156,0,46441,Robby Shelton,51.47%,140,132
157,0,49298,Kramer Hickok,51.22%,126,120
158,0,25900,Lucas Glover,50.79%,128,124
159,0,26596,Ryan Moore,50.48%,106,104
160,0,34076,Joel Dahmen,50.43%,116,114
161,0,25818,Scott Piercy,50.23%,111,110
162,0,34256,Andrew Putnam,50.00%,136,136
163,0,30163,Henrik Norlander,49.56%,112,114
164,0,29535,Brice Garnett,49.52%,104,106
165,0,27214,Kevin Streelman,49.28%,137,141
166,0,50493,Justin Suh,48.99%,145,151
167,0,35449,Adam Long,48.94%,138,144
168,0,31557,Jim Herman,48.66%,91,96
169,0,40162,Justin Lower,48.13%,129,139
170,0,32139,Danny Willett,47.34%,80,89
171,0,32816,Satoshi Kodaira,47.33%,71,79
172,0,24140,Sean O'Hair,47.17%,50,56
173,0,26476,Chez Reavie,47.06%,128,144
174,0,49766,Hank Lebioda,46.62%,69,79
175,0,48119,Ben Taylor,46.27%,124,144
176,0,33410,Andrew Landry,46.12%,95,111
177,0,40058,Zac Blair,45.31%,87,105
178,0,45522,Christiaan Bezuidenhout,45.16%,112,136
179,0,34098,Russell Henley,45.10%,92,112
180,0,27963,Chris Stroud,44.93%,62,76
181,0,47993,Denny McCarthy,44.53%,114,142
182,0,27095,Nick Watney,44.09%,82,104
183,0,24024,Zach Johnson,43.83%,71,91
184,0,29289,S.Y. Noh,43.42%,66,86
185,0,30927,Brendon Todd,42.69%,111,149
186,0,53165,Doc Redman,42.52%,91,123
187,0,34409,David Lingmerth,41.08%,76,109
188,0,33122,Russell Knox,39.77%,105,159
189,0,31202,William McGirt,39.68%,50,76
190,0,35901,Paul Haley II,34.23%,76,146
191,0,19803,Ryan Armour,33.64%,74,146
192,0,46435,Austin Cook,30.53%,58,132
193,0,31560,Brian Stuard,30.36%,51,117
