YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 20'-25',TOTAL 3 PUTTS
2024,0,51977,Max Greyserman,1,27
2024,0,34563,Chesson Hadley,1,28
2024,0,47988,Nick Hardy,1,43
2024,0,34098,Russell Henley,1,10
2024,0,52453,Nicolai Højgaard,1,26
2024,0,29420,Billy Horschel,1,30
2024,0,35461,Beau Hossler,1,31
2024,0,34587,Chan Kim,1,48
2024,0,30926,Chris Kirk,1,31
2024,0,29478,Kevin Kisner,1,34
2024,0,32757,Patton Kizzire,1,32
2024,0,23108,Matt Kuchar,1,23
2024,0,37378,Min Woo Lee,1,23
2024,0,52215,Robert MacIntyre,1,21
2024,0,46442,Maverick McNealy,1,29
2024,0,32640,Troy Merritt,1,29
2024,0,39546,Keith Mitchell,1,46
2024,0,26596,Ryan Moore,1,44
2024,0,50525,Collin Morikawa,1,19
2024,0,27349,Alex Noren,1,25
2024,0,30163,Henrik Norlander,1,22
2024,0,51070,Vincent Norrman,1,36
2024,0,33968,Thorbjørn Olesen,1,16
2024,0,47806,Raul Pereda,1,21
2024,0,34256,Andrew Putnam,1,28
2024,0,47995,Davis Riley,1,30
2024,0,37275,Sam Ryder,1,39
2024,0,46046,Scottie Scheffler,1,19
2024,0,24502,Adam Scott,1,19
2024,0,46441,Robby Shelton,1,34
2024,0,34046,Jordan Spieth,1,22
2024,0,55893,Sam Stevens,1,40
2024,0,48119,Ben Taylor,1,19
2024,0,27330,Josh Teater,1,31
2024,0,32333,Kevin Tway,1,19
2024,0,52666,Sami Valimaki,1,29
2024,0,40006,Erik van Rooyen,1,34
2024,0,48887,Matt Wallace,1,41
2024,0,51894,Vince Whaley,1,18
2024,0,45242,Kevin Yu,1,37
2023,0,25686,Jason Dufner,8,55
2023,0,51414,Brent Grant,8,48
2023,0,33448,Justin Thomas,7,44
2023,0,36724,Augusto Núñez,6,41
2023,0,47995,Davis Riley,6,45
2023,0,33948,Byeong Hun An,5,37
2023,0,25900,Lucas Glover,5,47
2023,0,34563,Chesson Hadley,5,36
2023,0,36326,David Lipsky,5,47
2023,0,27129,Luke List,5,47
2023,0,32640,Troy Merritt,5,52
2023,0,51070,Vincent Norrman,5,45
2023,0,40250,Taylor Pendrith,5,31
2023,0,46414,Aaron Rai,5,47
2023,0,46046,Scottie Scheffler,5,28
2023,0,56630,Akshay Bhatia,4,34
2023,0,52372,Cameron Champ,4,33
2023,0,20229,Stewart Cink,4,28
2023,0,49453,Trevor Cone,4,43
2023,0,34099,Harris English,4,32
2023,0,29970,Dylan Frittelli,4,25
2023,0,34098,Russell Henley,4,34
2023,0,54421,Garrick Higgo,4,44
2023,0,54628,Lee Hodges,4,43
2023,0,39977,Max Homa,4,28
2023,0,35506,Mackenzie Hughes,4,23
2023,0,50188,S.H. Kim,4,41
2023,0,27936,Martin Laird,4,44
2023,0,51950,Max McGreevy,4,37
2023,0,50525,Collin Morikawa,4,29
2023,0,30163,Henrik Norlander,4,36
2023,0,23320,Ryan Palmer,4,35
2023,0,39335,Kevin Roy,4,35
2023,0,46340,Alex Smalley,4,52
2023,0,39324,J.J. Spaun,4,44
2023,0,34046,Jordan Spieth,4,28
2023,0,40115,Adam Svensson,4,45
2023,0,48699,Callum Tarren,4,37
2023,0,51634,Sahith Theegala,4,28
2023,0,30927,Brendon Todd,4,30
2023,0,25632,Jimmy Walker,4,40
2023,0,47504,Sam Burns,3,19
2023,0,32366,Kevin Chappell,3,19
2023,0,47591,Eric Cole,3,27
2023,0,39067,MJ Daffue,3,42
2023,0,34076,Joel Dahmen,3,43
2023,0,37338,Zecheng Dou,3,44
2023,0,35901,Paul Haley II,3,49
2023,0,32757,Patton Kizzire,3,38
2023,0,28775,Nate Lashley,3,26
2023,0,49766,Hank Lebioda,3,23
2023,0,34409,David Lingmerth,3,26
2023,0,33204,Shane Lowry,3,22
2023,0,34466,Peter Malnati,3,36
2023,0,36871,Matt NeSmith,3,49
2023,0,25818,Scott Piercy,3,43
2023,0,50095,Austin Smotherman,3,49
2023,0,30692,Scott Stallings,3,49
2023,0,34431,Robert Streb,3,34
2023,0,27963,Chris Stroud,3,16
2023,0,31560,Brian Stuard,3,13
2023,0,48119,Ben Taylor,3,37
2023,0,25493,Nick Taylor,3,29
2023,0,27095,Nick Watney,3,30
2023,0,54783,Dylan Wu,3,42
2023,0,33408,Tyson Alexander,2,31
2023,0,45522,Christiaan Bezuidenhout,2,23
2023,0,40058,Zac Blair,2,31
2023,0,34255,Joseph Bramlett,2,37
2023,0,28420,Ryan Brehm,2,34
2023,0,39997,Corey Conners,2,31
2023,0,28089,Jason Day,2,18
2023,0,51349,Nico Echavarria,2,20
2023,0,47079,Harrison Endycott,2,44
2023,0,29725,Tony Finau,2,41
2023,0,40098,Matt Fitzpatrick,2,18
2023,0,32102,Rickie Fowler,2,33
2023,0,32662,Michael Gligic,2,27
2023,0,56762,Will Gordon,2,49
2023,0,31577,Tano Goya,2,50
2023,0,39954,Cody Gribble,2,34
2023,0,57975,Harry Hall,2,26
2023,0,27644,Brian Harman,2,24
2023,0,27554,Scott Harrington,2,33
2023,0,31557,Jim Herman,2,46
2023,0,12716,Charley Hoffman,2,33
2023,0,36801,Mark Hubbard,2,32
2023,0,39971,Sungjae Im,2,35
2023,0,36799,Stephan Jaeger,2,52
2023,0,27974,Sung Kang,2,13
2023,0,39975,Michael Kim,2,30
2023,0,37455,Si Woo Kim,2,41
2023,0,55182,Tom Kim,2,31
2023,0,48117,Kurt Kitayama,2,33
2023,0,33122,Russell Knox,2,41
2023,0,32816,Satoshi Kodaira,2,42
2023,0,35879,Kelly Kraft,2,28
2023,0,23108,Matt Kuchar,2,32
2023,0,33410,Andrew Landry,2,31
2023,0,32791,K.H. Lee,2,39
2023,0,35449,Adam Long,2,33
2023,0,40162,Justin Lower,2,39
2023,0,33413,Ben Martin,2,36
2023,0,32839,Hideki Matsuyama,2,34
2023,0,51491,Brandon Matthews,2,34
2023,0,47993,Denny McCarthy,2,35
2023,0,55789,Taylor Montgomery,2,34
2023,0,46601,Trey Mullinax,2,37
2023,0,29289,S.Y. Noh,2,21
2023,0,49771,J.T. Poston,2,32
2023,0,28252,Seamus Power,2,23
2023,0,34256,Andrew Putnam,2,36
2023,0,26476,Chez Reavie,2,45
2023,0,48867,Matti Schmid,2,26
2023,0,46441,Robby Shelton,2,29
2023,0,51890,Greyson Sigg,2,34
2023,0,29221,Webb Simpson,2,26
2023,0,27214,Kevin Streelman,2,48
2023,0,35617,Martin Trainer,2,31
2023,0,48887,Matt Wallace,2,41
2023,0,47128,Richy Werenski,2,25
2023,0,52411,Kyle Westmoreland,2,41
2023,0,52513,Carson Young,2,31
2023,0,45242,Kevin Yu,2,35
2023,0,55454,Carl Yuan,2,43
2023,0,52955,Ludvig Åberg,1,16
2023,0,33141,Keegan Bradley,1,20
2023,0,55708,Hayden Buckley,1,36
2023,0,51766,Wyndham Clark,1,39
2023,0,46435,Austin Cook,1,36
2023,0,45157,Cam Davis,1,49
2023,0,29535,Brice Garnett,1,25
2023,0,59018,Ryan Gerard,1,30
2023,0,52375,Doug Ghim,1,46
2023,0,54591,Ben Griffin,1,37
2023,0,31646,Emiliano Grillo,1,38
2023,0,33399,Adam Hadwin,1,28
2023,0,47988,Nick Hardy,1,44
2023,0,34363,Tyrrell Hatton,1,24
2023,0,33597,Harry Higgs,1,20
2023,0,35532,Tom Hoge,1,33
2023,0,52453,Nicolai Hojgaard,1,15
2023,0,29420,Billy Horschel,1,26
2023,0,46717,Viktor Hovland,1,28
2023,0,24024,Zach Johnson,1,24
2023,0,30926,Chris Kirk,1,23
2023,0,58696,Peter Kuest,1,19
2023,0,31202,William McGirt,1,10
2023,0,28237,Rory McIlroy,1,16
2023,0,26596,Ryan Moore,1,24
2023,0,49947,Taylor Moore,1,33
2023,0,51997,Andrew Novak,1,27
2023,0,24140,Sean O'Hair,1,24
2023,0,22056,Cameron Percy,1,21
2023,0,46970,Jon Rahm,1,29
2023,0,47983,Chad Ramey,1,44
2023,0,36699,Patrick Rodgers,1,34
2023,0,22405,Justin Rose,1,27
2023,0,48081,Xander Schauffele,1,24
2023,0,47347,Adam Schenk,1,43
2023,0,34610,Matthias Schwab,1,44
2023,0,24502,Adam Scott,1,19
2023,0,49960,Sepp Straka,1,29
2023,0,58168,Davis Thompson,1,40
2023,0,32333,Kevin Tway,1,41
2023,0,32139,Danny Willett,1,24
2023,0,31323,Gary Woodland,1,54
2023,0,57366,Cameron Young,1,37
2022,0,40115,Adam Svensson,8,42
2022,0,37455,Si Woo Kim,7,42
2022,0,49298,Kramer Hickok,6,47
2022,0,35449,Adam Long,6,39
2022,0,36326,David Lipsky,5,40
2022,0,40162,Justin Lower,5,26
2022,0,37275,Sam Ryder,5,44
2022,0,49964,Aaron Wise,5,40
2022,0,31323,Gary Woodland,5,26
2022,0,32366,Kevin Chappell,4,23
2022,0,45157,Cam Davis,4,28
2022,0,34098,Russell Henley,4,31
2022,0,12716,Charley Hoffman,4,27
2022,0,27936,Martin Laird,4,39
2022,0,36871,Matthew NeSmith,4,39
2022,0,28252,Seamus Power,4,26
2022,0,47995,Davis Riley,4,37
2022,0,27214,Kevin Streelman,4,33
2022,0,51634,Sahith Theegala,4,41
2022,0,33448,Justin Thomas,4,23
2022,0,28114,Dawie van der Walt,4,34
2022,0,48887,Matt Wallace,4,23
2022,0,47128,Richy Werenski,4,29
2022,0,47483,Will Zalatoris,4,24
2022,0,19803,Ryan Armour,3,13
2022,0,37212,Paul Barjon,3,35
2022,0,34255,Joseph Bramlett,3,45
2022,0,47504,Sam Burns,3,24
2022,0,20229,Stewart Cink,3,36
2022,0,28089,Jason Day,3,20
2022,0,52375,Doug Ghim,3,38
2022,0,25900,Lucas Glover,3,58
2022,0,46550,Brandon Hagy,3,44
2022,0,54628,Lee Hodges,3,52
2022,0,46717,Viktor Hovland,3,30
2022,0,21961,Charles Howell III,3,32
2022,0,32757,Patton Kizzire,3,50
2022,0,32816,Satoshi Kodaira,3,17
2022,0,39546,Keith Mitchell,3,53
2022,0,40250,Taylor Pendrith,3,39
2022,0,34256,Andrew Putnam,3,41
2022,0,34610,Matthias Schwab,3,26
2022,0,39953,Chase Seiffert,3,28
2022,0,46340,Alex Smalley,3,37
2022,0,34264,Hudson Swafford,3,31
2022,0,48699,Callum Tarren,3,30
2022,0,54783,Dylan Wu,3,25
2022,0,45522,Christiaan Bezuidenhout,2,19
2022,0,55708,Hayden Buckley,2,42
2022,0,35450,Patrick Cantlay,2,18
2022,0,51766,Wyndham Clark,2,27
2022,0,39997,Corey Conners,2,33
2022,0,39436,Joshua Creel,2,19
2022,0,23983,Luke Donald,2,25
2022,0,35110,Brett Drewitt,2,23
2022,0,25686,Jason Dufner,2,31
2022,0,29725,Tony Finau,2,30
2022,0,29535,Brice Garnett,2,36
2022,0,29974,Branden Grace,2,24
2022,0,35310,Lanto Griffin,2,26
2022,0,31646,Emiliano Grillo,2,31
2022,0,24924,Bill Haas,2,41
2022,0,33399,Adam Hadwin,2,31
2022,0,34363,Tyrrell Hatton,2,12
2022,0,31557,Jim Herman,2,24
2022,0,33490,Bo Hoag,2,17
2022,0,36799,Stephan Jaeger,2,47
2022,0,26300,Matt Jones,2,28
2022,0,27974,Sung Kang,2,40
2022,0,33122,Russell Knox,2,37
2022,0,36884,Ben Kohles,2,22
2022,0,31420,Anirban Lahiri,2,24
2022,0,49766,Hank Lebioda,2,38
2022,0,29926,Danny Lee,2,21
2022,0,27129,Luke List,2,57
2022,0,33204,Shane Lowry,2,22
2022,0,49947,Taylor Moore,2,42
2022,0,30163,Henrik Norlander,2,33
2022,0,51997,Andrew Novak,2,38
2022,0,24138,Ian Poulter,2,18
2022,0,47983,Chad Ramey,2,31
2022,0,22405,Justin Rose,2,15
2022,0,47347,Adam Schenk,2,34
2022,0,24502,Adam Scott,2,25
2022,0,29221,Webb Simpson,2,26
2022,0,27139,David Skinns,2,21
2022,0,33486,Roger Sloan,2,37
2022,0,50095,Austin Smotherman,2,32
2022,0,27649,Brandt Snedeker,2,24
2022,0,34046,Jordan Spieth,2,31
2022,0,30692,Scott Stallings,2,43
2022,0,25493,Nick Taylor,2,43
2022,0,30927,Brendon Todd,2,29
2022,0,33419,Cameron Tringale,2,31
2022,0,27095,Nick Watney,2,48
2022,0,32139,Danny Willett,2,20
2022,0,52374,Brandon Wu,2,25
2022,0,45526,Abraham Ancer,1,13
2022,0,27895,Jonas Blixt,1,19
2022,0,33141,Keegan Bradley,1,22
2022,0,48084,Wesley Bryan,1,22
2022,0,52372,Cameron Champ,1,28
2022,0,46435,Austin Cook,1,22
2022,0,34076,Joel Dahmen,1,40
2022,0,45609,Tyler Duncan,1,28
2022,0,40098,Matt Fitzpatrick,1,23
2022,0,32662,Michael Gligic,1,30
2022,0,46402,Talor Gooch,1,14
2022,0,24980,Scott Gutschewski,1,21
2022,0,34563,Chesson Hadley,1,28
2022,0,27644,Brian Harman,1,28
2022,0,33597,Harry Higgs,1,29
2022,0,29420,Billy Horschel,1,21
2022,0,35461,Beau Hossler,1,21
2022,0,36801,Mark Hubbard,1,21
2022,0,34174,John Huh,1,30
2022,0,24024,Zach Johnson,1,20
2022,0,36689,Brooks Koepka,1,20
2022,0,30944,Jason Kokrak,1,17
2022,0,35879,Kelly Kraft,1,18
2022,0,23108,Matt Kuchar,1,24
2022,0,28775,Nate Lashley,1,24
2022,0,34466,Peter Malnati,1,36
2022,0,32839,Hideki Matsuyama,1,24
2022,0,47993,Denny McCarthy,1,35
2022,0,28237,Rory McIlroy,1,28
2022,0,32640,Troy Merritt,1,35
2022,0,50525,Collin Morikawa,1,19
2022,0,46601,Trey Mullinax,1,27
2022,0,48822,Sebastián Muñoz,1,45
2022,0,27349,Alex Noren,1,15
2022,0,22056,Cameron Percy,1,11
2022,0,47529,Mito Pereira,1,36
2022,0,24361,Pat Perez,1,24
2022,0,25818,Scott Piercy,1,35
2022,0,49771,J.T. Poston,1,36
2022,0,46970,Jon Rahm,1,25
2022,0,46414,Aaron Rai,1,31
2022,0,26476,Chez Reavie,1,42
2022,0,34360,Patrick Reed,1,19
2022,0,36699,Patrick Rodgers,1,33
2022,0,23621,Rory Sabbatini,1,27
2022,0,46046,Scottie Scheffler,1,30
2022,0,51890,Greyson Sigg,1,28
2022,0,29518,Brendan Steele,1,39
2022,0,49960,Sepp Straka,1,34
2022,0,31560,Brian Stuard,1,39
2022,0,23325,Vaughn Taylor,1,22
2022,0,32150,Michael Thompson,1,35
2022,0,35617,Martin Trainer,1,30
2022,0,40006,Erik van Rooyen,1,22
2022,0,27064,Jhonattan Vegas,1,30
2022,0,27770,Camilo Villegas,1,20
2022,0,51894,Vince Whaley,1,18
2022,0,45540,Jared Wolfe,1,29
2022,0,56278,Matthew Wolff,1,18
2022,0,57366,Cameron Young,1,39
2021,0,45609,Tyler Duncan,7,53
2021,0,32102,Rickie Fowler,6,33
2021,0,32791,K.H. Lee,6,47
2021,0,30110,Kyle Stanley,6,39
2021,0,25493,Nick Taylor,6,39
2021,0,32070,Rafael Campos,5,36
2021,0,52375,Doug Ghim,5,49
2021,0,25900,Lucas Glover,5,52
2021,0,56762,Will Gordon,5,51
2021,0,12716,Charley Hoffman,5,44
2021,0,39977,Max Homa,5,35
2021,0,27129,Luke List,5,45
2021,0,25396,Kevin Na,5,33
2021,0,30163,Henrik Norlander,5,49
2021,0,46441,Robby Shelton,5,42
2021,0,37189,Harold Varner III,5,31
2021,0,49964,Aaron Wise,5,64
2021,0,32254,Xinjun Zhang,5,28
2021,0,19803,Ryan Armour,4,28
2021,0,34099,Harris English,4,35
2021,0,31646,Emiliano Grillo,4,41
2021,0,29478,Kevin Kisner,4,30
2021,0,30944,Jason Kokrak,4,31
2021,0,24140,Sean O'Hair,4,27
2021,0,36699,Patrick Rodgers,4,43
2021,0,27649,Brandt Snedeker,4,34
2021,0,49960,Sepp Straka,4,42
2021,0,33419,Cameron Tringale,4,29
2021,0,40006,Erik van Rooyen,4,34
2021,0,27770,Camilo Villegas,4,36
2021,0,33948,Byeong Hun An,3,42
2021,0,26499,Rafa Cabrera Bello,3,28
2021,0,34314,Sebastian Cappelen,3,22
2021,0,52372,Cameron Champ,3,41
2021,0,24357,K.J. Choi,3,28
2021,0,20229,Stewart Cink,3,31
2021,0,29970,Dylan Frittelli,3,33
2021,0,46402,Talor Gooch,3,41
2021,0,34098,Russell Henley,3,36
2021,0,31557,Jim Herman,3,37
2021,0,30925,Dustin Johnson,3,27
2021,0,39975,Michael Kim,3,41
2021,0,32757,Patton Kizzire,3,37
2021,0,33122,Russell Knox,3,45
2021,0,27936,Martin Laird,3,53
2021,0,33410,Andrew Landry,3,33
2021,0,49766,Hank Lebioda,3,32
2021,0,35104,Tom Lewis,3,40
2021,0,34466,Peter Malnati,3,29
2021,0,1810,Phil Mickelson,3,37
2021,0,48822,Sebastián Muñoz,3,52
2021,0,36871,Matthew NeSmith,3,55
2021,0,29908,C.T. Pan,3,35
2021,0,24361,Pat Perez,3,36
2021,0,23621,Rory Sabbatini,3,37
2021,0,47347,Adam Schenk,3,45
2021,0,26331,Charl Schwartzel,3,45
2021,0,32150,Michael Thompson,3,37
2021,0,23788,D.J. Trahan,3,33
2021,0,23623,Bo Van Pelt,3,35
2021,0,25804,Bubba Watson,3,42
2021,0,40026,Daniel Berger,2,27
2021,0,28420,Ryan Brehm,2,24
2021,0,29268,Bronson Burgoon,2,33
2021,0,47504,Sam Burns,2,22
2021,0,39997,Corey Conners,2,43
2021,0,45157,Cam Davis,2,51
2021,0,28089,Jason Day,2,18
2021,0,25686,Jason Dufner,2,49
2021,0,40098,Matt Fitzpatrick,2,29
2021,0,21209,Sergio Garcia,2,47
2021,0,29535,Brice Garnett,2,31
2021,0,19846,Brian Gay,2,33
2021,0,32662,Michael Gligic,2,38
2021,0,35310,Lanto Griffin,2,32
2021,0,34563,Chesson Hadley,2,28
2021,0,46550,Brandon Hagy,2,31
2021,0,32448,James Hahn,2,31
2021,0,27644,Brian Harman,2,25
2021,0,29420,Billy Horschel,2,26
2021,0,46717,Viktor Hovland,2,36
2021,0,21961,Charles Howell III,2,27
2021,0,39971,Sungjae Im,2,46
2021,0,27974,Sung Kang,2,45
2021,0,32816,Satoshi Kodaira,2,43
2021,0,23108,Matt Kuchar,2,22
2021,0,28775,Nate Lashley,2,25
2021,0,29926,Danny Lee,2,42
2021,0,32839,Hideki Matsuyama,2,41
2021,0,28237,Rory McIlroy,2,33
2021,0,46442,Maverick McNealy,2,36
2021,0,32640,Troy Merritt,2,49
2021,0,50525,Collin Morikawa,2,26
2021,0,34213,Grayson Murray,2,31
2021,0,27942,Rob Oppenheim,2,31
2021,0,22056,Cameron Percy,2,35
2021,0,27556,Ted Potter Jr.,2,50
2021,0,34256,Andrew Putnam,2,33
2021,0,53165,Doc Redman,2,35
2021,0,46046,Scottie Scheffler,2,33
2021,0,39953,Chase Seiffert,2,32
2021,0,29518,Brendan Steele,2,40
2021,0,31560,Brian Stuard,2,34
2021,0,33448,Justin Thomas,2,31
2021,0,30927,Brendon Todd,2,26
2021,0,27064,Jhonattan Vegas,2,39
2021,0,25632,Jimmy Walker,2,24
2021,0,48887,Matt Wallace,2,17
2021,0,47128,Richy Werenski,2,38
2021,0,45526,Abraham Ancer,1,36
2021,0,33141,Keegan Bradley,1,46
2021,0,29479,Scott Brown,1,35
2021,0,35450,Patrick Cantlay,1,34
2021,0,25364,Paul Casey,1,31
2021,0,46435,Austin Cook,1,24
2021,0,47959,Bryson DeChambeau,1,28
2021,0,23983,Luke Donald,1,25
2021,0,30911,Tommy Fleetwood,1,27
2021,0,48045,Michael Gellerman,1,17
2021,0,24924,Bill Haas,1,16
2021,0,33399,Adam Hadwin,1,38
2021,0,27554,Scott Harrington,1,36
2021,0,49298,Kramer Hickok,1,36
2021,0,33490,Bo Hoag,1,40
2021,0,35532,Tom Hoge,1,44
2021,0,27141,J.B. Holmes,1,26
2021,0,36801,Mark Hubbard,1,26
2021,0,34174,John Huh,1,38
2021,0,24024,Zach Johnson,1,32
2021,0,26300,Matt Jones,1,36
2021,0,36689,Brooks Koepka,1,34
2021,0,31420,Anirban Lahiri,1,19
2021,0,35449,Adam Long,1,24
2021,0,24781,Hunter Mahan,1,29
2021,0,33413,Ben Martin,1,15
2021,0,40042,Tyler McCumber,1,38
2021,0,45486,Joaquin Niemann,1,33
2021,0,26329,Louis Oosthuizen,1,22
2021,0,33667,Carlos Ortiz,1,34
2021,0,23320,Ryan Palmer,1,38
2021,0,25818,Scott Piercy,1,46
2021,0,49771,J.T. Poston,1,37
2021,0,24138,Ian Poulter,1,22
2021,0,28252,Seamus Power,1,25
2021,0,46970,Jon Rahm,1,25
2021,0,26476,Chez Reavie,1,31
2021,0,22405,Justin Rose,1,20
2021,0,37275,Sam Ryder,1,33
2021,0,48081,Xander Schauffele,1,22
2021,0,24502,Adam Scott,1,25
2021,0,33486,Roger Sloan,1,37
2021,0,35891,Cameron Smith,1,19
2021,0,34046,Jordan Spieth,1,33
2021,0,30692,Scott Stallings,1,42
2021,0,34431,Robert Streb,1,31
2021,0,27214,Kevin Streelman,1,39
2021,0,34264,Hudson Swafford,1,39
2021,0,23325,Vaughn Taylor,1,21
2021,0,27330,Josh Teater,1,19
2021,0,32333,Kevin Tway,1,26
2021,0,35658,Kris Ventura,1,25
2021,0,32139,Danny Willett,1,18
2021,0,56278,Matthew Wolff,1,21
2021,0,31323,Gary Woodland,1,31
2021,0,47483,Will Zalatoris,1,37
2020,0,33948,Byeong Hun An,8,45
2020,0,23621,Rory Sabbatini,6,27
2020,0,30927,Brendon Todd,6,38
2020,0,37275,Sam Ryder,5,32
2020,0,52372,Cameron Champ,4,39
2020,0,25686,Jason Dufner,4,43
2020,0,12716,Charley Hoffman,4,24
2020,0,27974,Sung Kang,4,39
2020,0,37455,Si Woo Kim,4,31
2020,0,27936,Martin Laird,4,23
2020,0,33410,Andrew Landry,4,31
2020,0,28775,Nate Lashley,4,23
2020,0,29926,Danny Lee,4,38
2020,0,48822,Sebastián Muñoz,4,39
2020,0,27556,Ted Potter Jr.,4,22
2020,0,33486,Roger Sloan,4,18
2020,0,30692,Scott Stallings,4,25
2020,0,29518,Brendan Steele,4,34
2020,0,27214,Kevin Streelman,4,33
2020,0,33449,Zack Sucher,4,15
2020,0,33120,Mark Anderson,3,21
2020,0,29268,Bronson Burgoon,3,20
2020,0,26499,Rafa Cabrera Bello,3,18
2020,0,34021,Bud Cauley,3,19
2020,0,32366,Kevin Chappell,3,18
2020,0,28307,Matt Every,3,36
2020,0,48045,Michael Gellerman,3,24
2020,0,52375,Doug Ghim,3,16
2020,0,27554,Scott Harrington,3,30
2020,0,34098,Russell Henley,3,24
2020,0,31557,Jim Herman,3,35
2020,25,39971,Sungjae Im,3,36
2020,0,36689,Brooks Koepka,3,22
2020,0,49766,Hank Lebioda,3,32
2020,0,27129,Luke List,3,36
2020,0,33204,Shane Lowry,3,33
2020,0,34466,Peter Malnati,3,19
2020,0,32839,Hideki Matsuyama,3,42
2020,0,26596,Ryan Moore,3,17
2020,0,50525,Collin Morikawa,3,42
2020,0,30163,Henrik Norlander,3,33
