YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2024,0,46340,Alex Smalley,56.10%,23,41
2024,0,34466,Peter Malnati,56.06%,37,66
2024,0,39546,Keith Mitchell,56.06%,37,66
2024,0,47504,Sam Burns,55.74%,34,61
2024,0,47663,Kevin Dougherty,55.56%,25,45
2024,0,34563,Chesson Hadley,55.56%,25,45
2024,0,51894,Vince Whaley,55.56%,25,45
2024,0,54591,Ben Griffin,55.36%,31,56
2024,0,51977,Max Greyserman,55.32%,26,47
2024,0,46414,Aaron Rai,55.32%,26,47
2024,0,12716,Charley Hoffman,55.07%,38,69
2024,0,58168,Davis Thompson,55.00%,33,60
2024,0,54421,Garrick Higgo,54.76%,23,42
2024,0,50493,Justin Suh,54.76%,23,42
2024,0,29535,Brice Garnett,54.55%,18,33
2024,0,48319,Tom Whitney,54.05%,20,37
2024,0,45609,Tyler Duncan,54.00%,27,50
2024,0,36884,Ben Kohles,53.85%,28,52
2024,0,39324,J.J. Spaun,53.85%,28,52
2024,0,59095,Chris Gotterup,53.06%,26,49
2024,0,45242,Kevin Yu,52.94%,27,51
2024,0,48119,Ben Taylor,52.78%,19,36
2024,0,37212,Paul Barjon,52.50%,21,40
2024,0,56149,Wilson Furr,52.17%,12,23
2024,0,50095,Austin Smotherman,52.17%,12,23
2024,0,55893,Sam Stevens,52.17%,24,46
2024,0,57975,Harry Hall,52.08%,25,48
2024,0,52955,Ludvig Åberg,52.00%,26,50
2024,0,34021,Bud Cauley,51.72%,15,29
2024,0,34374,Erik Barnes,51.61%,16,31
2024,0,51287,Ryo Hisatsune,51.35%,19,37
2024,0,52514,Trace Crowe,51.22%,21,41
2024,0,47988,Nick Hardy,50.94%,27,53
2024,0,36799,Stephan Jaeger,50.77%,33,65
2024,0,40162,Justin Lower,50.77%,33,65
2024,0,51890,Greyson Sigg,50.72%,35,69
2024,0,48084,Wesley Bryan,50.00%,6,12
2024,0,51696,Rico Hoey,50.00%,22,44
2024,0,29478,Kevin Kisner,50.00%,20,40
2024,0,46113,Ryan McCormick,50.00%,16,32
2024,0,40250,Taylor Pendrith,50.00%,30,60
2024,0,32333,Kevin Tway,50.00%,10,20
2024,0,60004,Jacob Bridgeman,49.06%,26,53
2024,0,27129,Luke List,49.06%,26,53
2024,0,52453,Nicolai Højgaard,48.65%,18,37
2024,0,28775,Nate Lashley,48.65%,18,37
2024,0,33486,Roger Sloan,48.57%,17,35
2024,0,49960,Sepp Straka,48.39%,30,62
2024,0,52666,Sami Valimaki,47.73%,21,44
2024,0,59442,Parker Coody,47.06%,16,34
2024,0,59866,Nick Dunlap,46.94%,23,49
2024,0,29936,Ryan Fox,46.55%,27,58
2024,0,32070,Rafael Campos,46.15%,12,26
2024,0,35310,Lanto Griffin,44.90%,22,49
2024,0,32640,Troy Merritt,44.44%,20,45
2024,0,27649,Brandt Snedeker,44.44%,16,36
2024,0,40026,Daniel Berger,43.75%,21,48
2024,0,46717,Viktor Hovland,43.48%,20,46
2024,0,38991,Alejandro Tosti,42.59%,23,54
2024,0,32367,Jorge Campillo,42.42%,14,33
2024,0,27064,Jhonattan Vegas,41.67%,15,36
2024,0,36326,David Lipsky,41.18%,14,34
2024,0,54576,Patrick Fishburn,40.00%,14,35
2024,0,50497,Adrien Dumont de Chassart,39.47%,15,38
2024,0,26596,Ryan Moore,37.21%,16,43
2024,0,51070,Vincent Norrman,35.29%,12,34
2024,0,60767,Blaine Hale Jr.,27.27%,6,22
2023,0,58696,Peter Kuest,83.33%,15,18
2023,0,27644,Brian Harman,73.33%,44,60
2023,0,49771,J.T. Poston,72.55%,37,51
2023,0,22405,Justin Rose,72.09%,31,43
2023,0,33948,Byeong Hun An,69.35%,43,62
2023,0,23108,Matt Kuchar,69.23%,54,78
2023,0,34256,Andrew Putnam,68.42%,39,57
2023,0,24502,Adam Scott,68.18%,30,44
2023,0,39971,Sungjae Im,68.00%,51,75
2023,0,34046,Jordan Spieth,67.19%,43,64
2023,0,46435,Austin Cook,66.67%,28,42
2023,0,30926,Chris Kirk,66.67%,38,57
2023,0,24140,Sean O'Hair,66.67%,18,27
2023,0,39324,J.J. Spaun,66.67%,46,69
2023,0,34409,David Lingmerth,66.15%,43,65
2023,0,51766,Wyndham Clark,66.13%,41,62
2023,0,34076,Joel Dahmen,66.10%,39,59
2023,0,46441,Robby Shelton,65.67%,44,67
2023,0,29289,S.Y. Noh,65.38%,17,26
2023,0,45157,Cam Davis,65.28%,47,72
2023,0,50188,S.H. Kim,64.95%,63,97
2023,0,47591,Eric Cole,64.89%,61,94
2023,0,39975,Michael Kim,64.86%,24,37
2023,0,30927,Brendon Todd,64.47%,49,76
2023,0,30692,Scott Stallings,63.83%,30,47
2023,0,40098,Matt Fitzpatrick,63.64%,35,55
2023,0,52453,Nicolai Hojgaard,63.64%,14,22
2023,0,51950,Max McGreevy,63.51%,47,74
2023,0,32816,Satoshi Kodaira,63.41%,26,41
2023,0,27963,Chris Stroud,62.96%,17,27
2023,0,47993,Denny McCarthy,62.86%,44,70
2023,0,31202,William McGirt,62.86%,22,35
2023,0,36699,Patrick Rodgers,62.69%,42,67
2023,0,48084,Wesley Bryan,62.50%,15,24
2023,0,55789,Taylor Montgomery,62.34%,48,77
2023,0,55893,Sam Stevens,62.30%,38,61
2023,0,56630,Akshay Bhatia,62.22%,28,45
2023,0,45522,Christiaan Bezuidenhout,61.40%,35,57
2023,0,32139,Danny Willett,61.40%,35,57
2023,0,34563,Chesson Hadley,61.29%,38,62
2023,0,57975,Harry Hall,61.22%,30,49
2023,0,25900,Lucas Glover,60.94%,39,64
2023,0,39977,Max Homa,60.94%,39,64
2023,0,32102,Rickie Fowler,60.71%,34,56
2023,0,40115,Adam Svensson,60.53%,46,76
2023,0,25686,Jason Dufner,60.47%,26,43
2023,0,54591,Ben Griffin,60.24%,50,83
2023,0,46442,Maverick McNealy,60.00%,24,40
2023,0,55454,Carl Yuan,60.00%,30,50
2023,0,58168,Davis Thompson,59.70%,40,67
2023,0,32839,Hideki Matsuyama,59.62%,31,52
2023,0,27349,Alex Noren,59.52%,25,42
2023,0,30163,Henrik Norlander,59.52%,25,42
2023,0,34610,Matthias Schwab,59.42%,41,69
2023,0,26596,Ryan Moore,59.32%,35,59
2023,0,35310,Lanto Griffin,59.18%,29,49
2023,0,33399,Adam Hadwin,59.15%,42,71
2023,0,28237,Rory McIlroy,59.09%,26,44
2023,0,29535,Brice Garnett,58.82%,30,51
2023,0,34363,Tyrrell Hatton,58.82%,30,51
2023,0,47983,Chad Ramey,58.73%,37,63
2023,0,25493,Nick Taylor,58.73%,37,63
2023,0,36871,Matt NeSmith,58.21%,39,67
2023,0,46601,Trey Mullinax,58.00%,29,50
2023,0,40058,Zac Blair,57.89%,33,57
2023,0,31577,Tano Goya,57.69%,30,52
2023,0,29908,C.T. Pan,57.69%,15,26
2023,0,23320,Ryan Palmer,57.58%,38,66
2023,0,33413,Ben Martin,57.35%,39,68
2023,0,30911,Tommy Fleetwood,57.14%,28,49
2023,0,59018,Ryan Gerard,57.14%,20,35
2023,0,49766,Hank Lebioda,57.14%,20,35
2023,0,27214,Kevin Streelman,56.94%,41,72
2023,0,32791,K.H. Lee,56.92%,37,65
2023,0,57362,Austin Eckroat,56.72%,38,67
2023,0,33597,Harry Higgs,56.67%,34,60
2023,0,46717,Viktor Hovland,56.60%,30,53
2023,0,31560,Brian Stuard,56.60%,30,53
2023,0,47504,Sam Burns,56.45%,35,62
2023,0,39546,Keith Mitchell,56.25%,27,48
2023,0,34255,Joseph Bramlett,56.14%,32,57
2023,0,28089,Jason Day,56.14%,32,57
2023,0,49298,Kramer Hickok,56.14%,32,57
2023,0,36799,Stephan Jaeger,56.12%,55,98
2023,0,24925,Jonathan Byrd,56.00%,14,25
2023,0,51890,Greyson Sigg,55.93%,33,59
2023,0,33408,Tyson Alexander,55.88%,38,68
2023,0,37455,Si Woo Kim,55.56%,55,99
2023,0,27554,Scott Harrington,55.32%,26,47
2023,0,27936,Martin Laird,55.10%,27,49
2023,0,45242,Kevin Yu,54.84%,17,31
2023,0,47347,Adam Schenk,54.76%,46,84
2023,0,51634,Sahith Theegala,54.69%,35,64
2023,0,39067,MJ Daffue,54.67%,41,75
2023,0,54421,Garrick Higgo,54.67%,41,75
2023,0,50095,Austin Smotherman,54.55%,36,66
2023,0,34099,Harris English,54.41%,37,68
2023,0,25632,Jimmy Walker,54.41%,37,68
2023,0,35449,Adam Long,54.32%,44,81
2023,0,32640,Troy Merritt,54.24%,32,59
2023,0,35450,Patrick Cantlay,54.10%,33,61
2023,0,46046,Scottie Scheffler,54.00%,27,50
2023,0,40162,Justin Lower,53.95%,41,76
2023,0,29725,Tony Finau,53.85%,28,52
2023,0,50525,Collin Morikawa,53.70%,29,54
2023,0,34466,Peter Malnati,53.52%,38,71
2023,0,33204,Shane Lowry,53.49%,23,43
2023,0,32757,Patton Kizzire,53.13%,34,64
2023,0,46340,Alex Smalley,53.13%,34,64
2023,0,52513,Carson Young,53.13%,34,64
2023,0,53165,Doc Redman,52.94%,27,51
2023,0,33410,Andrew Landry,52.73%,29,55
2023,0,34098,Russell Henley,52.27%,23,44
2023,0,40250,Taylor Pendrith,52.24%,35,67
2023,0,56762,Will Gordon,52.17%,36,69
2023,0,48117,Kurt Kitayama,52.17%,24,46
2023,0,22371,Aaron Baddeley,52.08%,25,48
2023,0,35506,Mackenzie Hughes,52.08%,25,48
2023,0,52955,Ludvig Åberg,52.00%,13,25
2023,0,33448,Justin Thomas,51.92%,27,52
2023,0,54783,Dylan Wu,51.85%,28,54
2023,0,22056,Cameron Percy,51.61%,16,31
2023,0,37275,Sam Ryder,51.47%,35,68
2023,0,35901,Paul Haley II,51.43%,36,70
2023,0,49947,Taylor Moore,51.43%,36,70
2023,0,12716,Charley Hoffman,51.35%,19,37
2023,0,52411,Kyle Westmoreland,51.16%,22,43
2023,0,48081,Xander Schauffele,51.02%,25,49
2023,0,29221,Webb Simpson,51.02%,25,49
2023,0,33653,Thomas Detry,50.91%,28,55
2023,0,48699,Callum Tarren,50.91%,28,55
2023,0,58967,Trevor Werbylo,50.91%,28,55
2023,0,47128,Richy Werenski,50.68%,37,73
2023,0,51414,Brent Grant,50.00%,26,52
2023,0,39954,Cody Gribble,50.00%,14,28
2023,0,27974,Sung Kang,50.00%,12,24
2023,0,54628,Lee Hodges,49.18%,30,61
2023,0,57366,Cameron Young,49.06%,26,53
2023,0,51070,Vincent Norrman,48.94%,23,47
2023,0,28252,Seamus Power,48.89%,22,45
2023,0,46970,Jon Rahm,48.89%,22,45
2023,0,52375,Doug Ghim,48.78%,20,41
2023,0,50493,Justin Suh,48.78%,40,82
2023,0,35461,Beau Hossler,48.72%,38,78
2023,0,36801,Mark Hubbard,48.53%,33,68
2023,0,28775,Nate Lashley,48.39%,30,62
2023,0,33122,Russell Knox,48.33%,29,60
2023,0,49960,Sepp Straka,48.33%,29,60
2023,0,25818,Scott Piercy,48.28%,28,58
2023,0,39997,Corey Conners,48.08%,25,52
2023,0,36326,David Lipsky,47.95%,35,73
2023,0,32333,Kevin Tway,47.83%,22,46
2023,0,48119,Ben Taylor,47.54%,29,61
2023,0,19803,Ryan Armour,47.46%,28,59
2023,0,51349,Nico Echavarria,47.17%,25,53
2023,0,33141,Keegan Bradley,47.06%,24,51
2023,0,28420,Ryan Brehm,46.88%,30,64
2023,0,55182,Tom Kim,46.55%,27,58
2023,0,35879,Kelly Kraft,46.55%,27,58
2023,0,49453,Trevor Cone,46.34%,19,41
2023,0,26476,Chez Reavie,46.15%,30,65
2023,0,47988,Nick Hardy,45.98%,40,87
2023,0,40006,Erik van Rooyen,45.95%,17,37
2023,0,31646,Emiliano Grillo,45.78%,38,83
2023,0,32366,Kevin Chappell,45.45%,10,22
2023,0,48867,Matti Schmid,45.45%,20,44
2023,0,48887,Matt Wallace,44.83%,26,58
2023,0,52374,Brandon Wu,44.78%,30,67
2023,0,35532,Tom Hoge,44.62%,29,65
2023,0,32662,Michael Gligic,43.75%,21,48
2023,0,27095,Nick Watney,43.75%,14,32
2023,0,46414,Aaron Rai,43.40%,23,53
2023,0,31557,Jim Herman,43.24%,16,37
2023,0,47079,Harrison Endycott,43.10%,25,58
2023,0,29420,Billy Horschel,42.86%,18,42
2023,0,36724,Augusto Núñez,42.22%,19,45
2023,0,52372,Cameron Champ,42.00%,21,50
2023,0,51997,Andrew Novak,41.38%,24,58
2023,0,35617,Martin Trainer,41.38%,12,29
2023,0,45609,Tyler Duncan,41.27%,26,63
2023,0,55708,Hayden Buckley,41.18%,21,51
2023,0,31323,Gary Woodland,40.91%,27,66
2023,0,24024,Zach Johnson,40.74%,22,54
2023,0,27129,Luke List,40.32%,25,62
2023,0,47995,Davis Riley,39.39%,26,66
2023,0,39335,Kevin Roy,39.29%,11,28
2023,0,39058,Lucas Herbert,39.02%,16,41
2023,0,29970,Dylan Frittelli,38.89%,21,54
2023,0,32448,James Hahn,37.78%,17,45
2023,0,37338,Zecheng Dou,37.50%,18,48
2023,0,34431,Robert Streb,35.29%,18,51
2023,0,51491,Brandon Matthews,32.50%,13,40
2023,0,20229,Stewart Cink,31.82%,14,44
2022,0,48081,Xander Schauffele,75.0,42,56
2022,0,33204,Shane Lowry,73.91,34,46
2022,0,34610,Matthias Schwab,73.68,28,38
2022,0,36801,Mark Hubbard,71.74,33,46
2022,0,19803,Ryan Armour,71.43,15,21
2022,0,45522,Christiaan Bezuidenhout,71.11,32,45
2022,0,23108,Matt Kuchar,70.31,45,64
2022,0,24924,Bill Haas,69.35,43,62
2022,0,32150,Michael Thompson,68.42,39,57
2022,0,40098,Matt Fitzpatrick,67.74,21,31
2022,0,46046,Scottie Scheffler,67.44,29,43
2022,0,35449,Adam Long,66.67,42,63
2022,0,33399,Adam Hadwin,66.13,41,62
2022,0,28252,Seamus Power,66.04,35,53
2022,0,34360,Patrick Reed,66.04,35,53
2022,0,32839,Hideki Matsuyama,65.52,38,58
2022,0,21961,Charles Howell III,65.22,30,46
2022,0,24138,Ian Poulter,65.12,28,43
2022,0,30911,Tommy Fleetwood,64.86,24,37
2022,0,27349,Alex Noren,64.1,25,39
2022,0,45609,Tyler Duncan,64.0,32,50
2022,0,20229,Stewart Cink,63.83,30,47
2022,0,39546,Keith Mitchell,63.64,42,66
2022,0,48822,Sebastián Muñoz,63.64,42,66
2022,0,34363,Tyrrell Hatton,63.49,40,63
2022,0,34046,Jordan Spieth,63.46,33,52
2022,0,29420,Billy Horschel,62.96,34,54
2022,0,27644,Brian Harman,62.86,44,70
2022,0,34466,Peter Malnati,62.5,45,72
2022,0,36799,Stephan Jaeger,62.07,36,58
2022,0,33448,Justin Thomas,62.0,31,50
2022,0,51997,Andrew Novak,61.76,21,34
2022,0,34256,Andrew Putnam,61.29,38,62
2022,0,24361,Pat Perez,60.87,28,46
2022,0,24024,Zach Johnson,60.71,34,56
2022,0,49771,J.T. Poston,60.61,40,66
2022,0,48084,Wesley Bryan,60.53,23,38
2022,0,12716,Charley Hoffman,60.38,32,53
2022,0,30944,Jason Kokrak,60.38,32,53
2022,0,46402,Talor Gooch,60.34,35,58
2022,0,39971,Sungjae Im,60.32,38,63
2022,0,30978,Kiradech Aphibarnrat,60.0,24,40
2022,0,28237,Rory McIlroy,60.0,24,40
2022,0,29221,Webb Simpson,59.68,37,62
2022,0,32448,James Hahn,59.57,28,47
2022,0,23983,Luke Donald,59.46,22,37
2022,0,39953,Chase Seiffert,59.26,16,27
2022,0,45486,Joaquin Niemann,59.09,26,44
2022,0,45526,Abraham Ancer,58.97,23,39
2022,0,27649,Brandt Snedeker,58.82,30,51
2022,0,34174,John Huh,58.62,34,58
2022,0,35450,Patrick Cantlay,58.33,28,48
2022,0,49960,Sepp Straka,58.23,46,79
2022,0,27974,Sung Kang,58.18,32,55
2022,0,27936,Martin Laird,58.14,25,43
2022,0,26851,Marc Leishman,58.06,36,62
2022,0,29289,S.Y. Noh,57.89,22,38
2022,0,32102,Rickie Fowler,57.81,37,64
2022,0,37275,Sam Ryder,57.81,37,64
2022,0,31420,Anirban Lahiri,57.78,26,45
2022,0,47988,Nick Hardy,57.69,15,26
2022,0,54628,Lee Hodges,57.41,31,54
2022,0,29908,C.T. Pan,57.38,35,61
2022,0,48117,Kurt Kitayama,57.14,20,35
2022,0,46442,Maverick McNealy,57.14,32,56
2022,0,35461,Beau Hossler,56.94,41,72
2022,0,35532,Tom Hoge,56.92,37,65
2022,0,27214,Kevin Streelman,56.76,42,74
2022,0,49298,Kramer Hickok,56.72,38,67
2022,0,46550,Brandon Hagy,56.67,34,60
2022,0,39977,Max Homa,56.67,34,60
2022,0,26300,Matt Jones,56.6,30,53
2022,0,37189,Harold Varner III,56.6,30,53
2022,0,45157,Cam Davis,56.58,43,76
2022,0,32791,K.H. Lee,56.41,44,78
2022,0,46601,Trey Mullinax,56.36,31,55
2022,0,32757,Patton Kizzire,56.34,40,71
2022,0,47993,Denny McCarthy,56.16,41,73
2022,0,27129,Luke List,56.14,32,57
2022,0,30926,Chris Kirk,56.0,28,50
2022,0,35879,Kelly Kraft,55.93,33,59
2022,0,36326,David Lipsky,55.93,33,59
2022,0,30692,Scott Stallings,55.84,43,77
2022,0,29535,Brice Garnett,55.81,24,43
2022,0,39058,Lucas Herbert,55.81,24,43
2022,0,47504,Sam Burns,55.56,25,45
2022,0,29478,Kevin Kisner,55.36,31,56
2022,0,47128,Richy Werenski,55.32,26,47
2022,0,24925,Jonathan Byrd,55.17,16,29
2022,0,24980,Scott Gutschewski,55.17,16,29
2022,0,40250,Taylor Pendrith,55.17,16,29
2022,0,28089,Jason Day,55.1,27,49
2022,0,47983,Chad Ramey,55.1,27,49
2022,0,47529,Mito Pereira,54.93,39,71
2022,0,23621,Rory Sabbatini,54.9,28,51
2022,0,51894,Vince Whaley,54.9,28,51
2022,0,25198,Francesco Molinari,54.84,17,31
2022,0,40115,Adam Svensson,54.79,40,73
2022,0,52375,Doug Ghim,54.76,23,42
2022,0,36852,Jim Knous,54.17,13,24
2022,0,53165,Doc Redman,54.17,26,48
2022,0,35891,Cameron Smith,53.85,21,39
2022,0,32333,Kevin Tway,53.85,28,52
2022,0,39436,Joshua Creel,53.57,15,28
2022,0,48699,Callum Tarren,53.49,23,43
2022,0,51634,Sahith Theegala,53.49,46,86
2022,0,25686,Jason Dufner,53.33,16,30
2022,0,30927,Brendon Todd,53.33,32,60
2022,0,50095,Austin Smotherman,53.19,25,47
2022,0,47995,Davis Riley,53.16,42,79
2022,0,22405,Justin Rose,52.94,18,34
2022,0,32139,Danny Willett,52.94,18,34
2022,0,31557,Jim Herman,52.78,19,36
2022,0,51766,Wyndham Clark,52.63,30,57
2022,0,26476,Chez Reavie,52.63,30,57
2022,0,23320,Ryan Palmer,52.27,23,44
2022,0,49947,Taylor Moore,52.24,35,67
2022,0,27095,Nick Watney,52.08,25,48
2022,0,50525,Collin Morikawa,52.0,26,50
2022,0,34076,Joel Dahmen,51.95,40,77
2022,0,23325,Vaughn Taylor,51.72,15,29
2022,0,29970,Dylan Frittelli,51.67,31,60
2022,0,35506,Mackenzie Hughes,51.61,32,62
2022,0,30163,Henrik Norlander,51.35,19,37
2022,0,24502,Adam Scott,51.16,22,43
2022,0,34264,Hudson Swafford,51.06,24,47
2022,0,36699,Patrick Rodgers,50.98,26,51
2022,0,55708,Hayden Buckley,50.94,27,53
2022,0,29926,Danny Lee,50.94,27,53
2022,0,46435,Austin Cook,50.0,19,38
2022,0,32662,Michael Gligic,50.0,26,52
2022,0,29974,Branden Grace,50.0,18,36
2022,0,33490,Bo Hoag,50.0,14,28
2022,0,36689,Brooks Koepka,50.0,20,40
2022,0,36871,Matthew NeSmith,50.0,27,54
2022,0,22056,Cameron Percy,50.0,12,24
2022,0,25818,Scott Piercy,50.0,27,54
2022,0,46340,Alex Smalley,50.0,29,58
2022,0,27064,Jhonattan Vegas,50.0,26,52
2022,0,48887,Matt Wallace,50.0,17,34
2022,0,45540,Jared Wolfe,50.0,12,24
2022,0,57366,Cameron Young,50.0,37,74
2022,0,37455,Si Woo Kim,49.38,40,81
2022,0,31560,Brian Stuard,49.15,29,59
2022,0,32640,Troy Merritt,48.68,37,76
2022,0,27139,David Skinns,48.48,16,33
2022,0,56278,Matthew Wolff,48.48,16,33
2022,0,33597,Harry Higgs,48.44,31,64
2022,0,35110,Brett Drewitt,48.15,13,27
2022,0,27895,Jonas Blixt,47.62,20,42
2022,0,52372,Cameron Champ,47.62,20,42
2022,0,52374,Brandon Wu,47.62,20,42
2022,0,33141,Keegan Bradley,47.54,29,61
2022,0,29725,Tony Finau,47.5,19,40
2022,0,54421,Garrick Higgo,47.5,19,40
2022,0,28775,Nate Lashley,47.5,19,40
2022,0,32366,Kevin Chappell,47.37,18,38
2022,0,39997,Corey Conners,47.37,27,57
2022,0,47483,Will Zalatoris,47.37,18,38
2022,0,51950,Max McGreevy,47.06,24,51
2022,0,31323,Gary Woodland,47.06,24,51
2022,0,46717,Viktor Hovland,46.88,30,64
2022,0,33667,Carlos Ortiz,46.51,20,43
2022,0,34431,Robert Streb,46.38,32,69
2022,0,25493,Nick Taylor,46.34,19,41
2022,0,33122,Russell Knox,46.3,25,54
2022,0,29518,Brendan Steele,46.03,29,63
2022,0,10381,Curtis Thompson,46.0,23,50
2022,0,54783,Dylan Wu,45.45,15,33
2022,0,51890,Greyson Sigg,45.0,27,60
2022,0,49766,Hank Lebioda,44.9,22,49
2022,0,31646,Emiliano Grillo,44.78,30,67
2022,0,46414,Aaron Rai,44.64,25,56
2022,0,46970,Jon Rahm,44.0,22,50
2022,0,40162,Justin Lower,43.59,17,39
2022,0,39324,J.J. Spaun,43.28,29,67
