YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2018,0,32102,Rickie Fowler,10.12,86,850,-0.01
2018,0,19846,Brian Gay,10.29,132,1283,+0.21
2018,0,34098,Russell Henley,10.29,84,816,+0.20
2018,0,37275,Sam Ryder,10.3,100,971,+0.16
2018,0,45609,Tyler Duncan,10.44,118,1130,+0.03
2018,0,32448,James Hahn,10.53,101,959,+0.14
2018,0,27349,Alex Noren,10.54,72,683,+0.11
2018,0,31646,Emiliano Grillo,10.63,108,1016,+0.08
2018,0,29908,C.T. Pan,10.71,122,1139,+0.16
2018,0,22405,Justin Rose,10.72,79,737,-0.01
2018,0,40026,Daniel Berger,10.73,93,867,+0.10
2018,0,48081,Xander Schauffele,10.79,108,1001,+0.06
2018,0,29268,Bronson Burgoon,10.83,86,794,+0.14
2018,0,25198,Francesco Molinari,10.87,86,791,+0.21
2018,0,33413,Ben Martin,10.89,86,790,+0.10
2018,0,25900,Lucas Glover,10.95,70,639,+0.17
2018,0,34076,Joel Dahmen,11.02,109,989,-0.08
2018,0,49964,Aaron Wise,11.02,122,1107,+0.17
2018,0,45526,Abraham Ancer,11.27,130,1154,E
2018,0,12716,Charley Hoffman,11.3,107,947,-0.04
2018,0,23325,Vaughn Taylor,11.36,111,977,+0.05
2018,0,29974,Branden Grace,11.37,69,607,+0.09
2018,0,34363,Tyrrell Hatton,11.41,67,587,+0.18
2018,0,39975,Michael Kim,11.41,84,736,+0.08
2018,0,32816,Satoshi Kodaira,11.45,64,559,+0.38
2018,0,31560,Brian Stuard,11.49,141,1227,+0.10
2018,0,39997,Corey Conners,11.57,127,1098,+0.07
2018,0,24502,Adam Scott,11.66,96,823,+0.07
2018,0,10809,Jim Furyk,11.72,75,640,+0.13
2018,0,20572,Rod Pampling,11.72,73,623,+0.07
2018,0,39324,J.J. Spaun,11.72,116,990,+0.09
2018,0,34264,Hudson Swafford,11.74,85,724,-0.09
2018,0,26499,Rafa Cabrera Bello,11.94,80,670,+0.19
2018,0,29420,Billy Horschel,11.94,129,1080,-0.07
2018,0,34409,David Lingmerth,11.98,115,960,+0.09
2018,0,35506,Mackenzie Hughes,12.08,114,944,+0.07
2018,0,39328,Conrad Shindler,12.09,74,612,+0.14
2018,0,40058,Zac Blair,12.13,78,643,+0.05
2018,0,46435,Austin Cook,12.18,156,1281,+0.01
2018,0,46970,Jon Rahm,12.32,87,706,+0.09
2018,0,26851,Marc Leishman,12.33,125,1014,+0.15
2018,0,22582,Kyle Thompson,12.33,62,503,+0.19
2018,0,23621,Rory Sabbatini,12.39,129,1041,-0.05
2018,0,35376,Roberto Díaz,12.42,97,781,+0.14
2018,0,37278,Nicholas Lindheim,12.42,102,821,+0.19
2018,0,30692,Scott Stallings,12.44,137,1101,+0.07
2018,0,28237,Rory McIlroy,12.45,88,707,-0.03
2018,0,32254,Xinjun Zhang,12.47,98,786,+0.14
2018,0,34466,Peter Malnati,12.48,130,1042,+0.09
2018,0,47993,Denny McCarthy,12.48,85,681,+0.07
2018,0,26329,Louis Oosthuizen,12.54,80,638,+0.15
2018,0,29926,Danny Lee,12.69,123,969,+0.12
2018,0,47959,Bryson DeChambeau,12.75,138,1082,+0.01
2018,0,27963,Chris Stroud,12.75,103,808,+0.04
2018,0,29478,Kevin Kisner,12.76,116,909,+0.16
2018,0,35532,Tom Hoge,12.77,147,1151,+0.07
2018,0,33141,Keegan Bradley,12.79,142,1110,+0.18
2018,0,26951,Johnson Wagner,12.79,98,766,+0.04
2018,0,20593,Greg Chalmers,12.87,73,567,+0.04
2018,0,31323,Gary Woodland,12.87,125,971,+0.03
2018,0,30911,Tommy Fleetwood,12.88,97,753,+0.12
2018,0,23541,Ben Crane,12.89,83,644,+0.22
2018,0,35879,Kelly Kraft,12.94,133,1028,+0.17
2018,0,29535,Brice Garnett,12.95,146,1127,+0.15
2018,0,25364,Paul Casey,12.96,88,679,-0.05
2018,0,28775,Nate Lashley,12.96,63,486,+0.10
2018,0,24781,Hunter Mahan,12.96,92,710,+0.01
2018,0,35461,Beau Hossler,12.98,162,1248,+0.02
2018,0,33948,Byeong Hun An,13.0,131,1008,+0.09
2018,0,32150,Michael Thompson,13.0,101,777,+0.17
2018,0,24924,Bill Haas,13.05,119,912,+0.04
2018,0,25572,Graeme McDowell,13.05,83,636,-0.01
2018,0,47287,Ethan Tracy,13.07,98,750,+0.04
2018,0,30978,Kiradech Aphibarnrat,13.08,62,474,+0.24
2018,0,25686,Jason Dufner,13.1,95,725,+0.01
2018,0,37455,Si Woo Kim,13.11,142,1083,+0.11
2018,0,25396,Kevin Na,13.11,128,976,+0.24
2018,0,32640,Troy Merritt,13.12,133,1014,+0.02
2018,0,26758,David Hearn,13.2,92,697,+0.15
2018,0,23320,Ryan Palmer,13.25,110,830,+0.12
2018,0,34174,John Huh,13.28,152,1145,+0.08
2018,0,27556,Ted Potter Jr.,13.3,142,1068,+0.06
2018,0,47128,Richy Werenski,13.31,137,1029,+0.15
2018,0,27064,Jhonattan Vegas,13.4,119,888,E
2018,0,29223,Sam Saunders,13.43,124,923,+0.04
2018,0,21961,Charles Howell III,13.46,146,1085,+0.05
2018,0,27644,Brian Harman,13.49,136,1008,+0.12
2018,0,39327,Ben Silverman,13.53,143,1057,+0.15
2018,0,23353,J.J. Henry,13.55,118,871,+0.13
2018,0,34256,Andrew Putnam,13.56,145,1069,+0.01
2018,0,34358,Jonathan Randolph,13.57,113,833,+0.08
2018,0,34046,Jordan Spieth,13.57,124,914,+0.03
2018,0,27974,Sung Kang,13.65,125,916,+0.26
2018,0,26300,Matt Jones,13.67,89,651,+0.07
2018,0,24140,Sean O'Hair,13.69,108,789,+0.06
2018,0,31420,Anirban Lahiri,13.73,128,932,+0.16
2018,0,50526,Tom Lovelady,13.73,130,947,+0.04
2018,0,27895,Jonas Blixt,13.84,93,672,+0.02
2018,0,24358,Robert Garrigus,13.84,130,939,+0.03
2018,0,20229,Stewart Cink,13.87,129,930,+0.02
2018,0,33448,Justin Thomas,13.88,131,944,-0.07
2018,0,28679,Fabián Gómez,13.89,137,986,+0.09
2018,0,37454,Whee Kim,13.97,141,1009,+0.13
2018,0,31416,Derek Fathauer,14.0,131,936,+0.11
2018,0,40009,Dominic Bozzelli,14.01,118,842,+0.03
2018,0,24024,Zach Johnson,14.04,140,997,+0.09
2018,0,8793,Tiger Woods,14.06,114,811,+0.08
2018,0,34021,Bud Cauley,14.08,80,568,+0.04
2018,0,27649,Brandt Snedeker,14.15,145,1025,-0.02
2018,0,30944,Jason Kokrak,14.23,173,1216,+0.02
2018,0,24925,Jonathan Byrd,14.29,95,665,+0.06
2018,0,25493,Nick Taylor,14.34,147,1025,+0.05
2018,0,32839,Hideki Matsuyama,14.38,114,793,+0.15
2018,0,35450,Patrick Cantlay,14.39,135,938,E
2018,0,34563,Chesson Hadley,14.45,178,1232,+0.04
2018,0,25804,Bubba Watson,14.47,136,940,-0.01
2018,0,25240,D.A. Points,14.52,97,668,+0.13
2018,0,29484,Peter Uihlein,14.53,130,895,-0.03
2018,0,29479,Scott Brown,14.54,163,1121,+0.11
2018,0,25632,Jimmy Walker,14.56,130,893,+0.10
2018,0,35421,Brandon Harkins,14.58,172,1180,+0.10
2018,0,26331,Charl Schwartzel,14.61,84,575,+0.02
2018,0,28500,Martin Flores,14.62,145,992,+0.12
2018,0,31202,William McGirt,14.66,152,1037,E
2018,0,28089,Jason Day,14.68,100,681,+0.11
2018,0,30925,Dustin Johnson,14.73,127,862,-0.10
2018,0,49771,J.T. Poston,14.75,117,793,+0.09
2018,0,46402,Talor Gooch,14.81,126,851,+0.13
2018,0,12510,Chad Campbell,14.85,138,929,+0.04
2018,0,36799,Stephan Jaeger,14.93,130,871,E
2018,0,20472,Alex Cejka,15.01,125,833,+0.06
2018,0,27942,Rob Oppenheim,15.03,112,745,+0.06
2018,0,33418,Shawn Stefani,15.06,125,830,+0.05
2018,0,39954,Cody Gribble,15.11,113,748,+0.06
2018,0,33204,Shane Lowry,15.13,107,707,+0.07
2018,0,24361,Pat Perez,15.13,108,714,+0.14
2018,0,34360,Patrick Reed,15.14,132,872,+0.05
2018,0,30926,Chris Kirk,15.19,203,1336,+0.05
2018,0,28132,Tyrone Van Aswegen,15.26,175,1147,+0.10
2018,0,36699,Patrick Rodgers,15.48,156,1008,+0.20
2018,0,29461,Jamie Lovemark,15.52,167,1076,+0.03
2018,0,37189,Harold Varner III,15.56,159,1022,+0.06
2018,0,35545,Blayne Barber,15.64,130,831,+0.06
2018,0,23108,Matt Kuchar,15.67,141,900,-0.04
2018,0,34213,Grayson Murray,15.81,129,816,+0.14
2018,0,34099,Harris English,15.88,149,938,+0.09
2018,0,29221,Webb Simpson,15.88,179,1127,+0.09
2018,0,32876,Martin Piller,15.93,148,929,+0.20
2018,0,47347,Adam Schenk,15.93,145,910,+0.06
2018,0,27095,Nick Watney,15.93,176,1105,+0.02
2018,0,27958,Ryan Blaum,15.95,160,1003,+0.14
2018,0,29725,Tony Finau,16.04,180,1122,+0.02
2018,0,47125,Matt Atkins,16.12,89,552,+0.10
2018,0,32757,Patton Kizzire,16.14,175,1084,+0.05
2018,0,32333,Kevin Tway,16.24,202,1244,+0.05
2018,0,39546,Keith Mitchell,16.28,188,1155,+0.06
2018,0,22056,Cameron Percy,16.38,94,574,-0.02
2018,0,27129,Luke List,16.54,178,1076,+0.08
2018,0,32366,Kevin Chappell,16.55,143,864,+0.08
2018,0,35891,Cameron Smith,16.75,141,842,+0.01
2018,0,27141,J.B. Holmes,16.77,157,936,-0.04
2018,0,29518,Brendan Steele,16.87,127,753,+0.17
2018,0,20157,Retief Goosen,16.91,93,550,+0.11
2018,0,46601,Trey Mullinax,17.04,137,804,-0.03
2018,0,28307,Matt Every,17.64,148,839,+0.11
2018,0,33419,Cameron Tringale,18.04,125,693,+0.12
2018,0,35310,Lanto Griffin,18.16,150,826,+0.10
2018,0,28252,Seamus Power,18.2,166,912,-0.06
2018,0,36689,Brooks Koepka,18.41,139,755,+0.10
2018,0,22371,Aaron Baddeley,18.6,180,968,+0.02
2018,0,37338,Zecheng Dou,18.71,93,497,+0.17
2018,0,29485,Brett Stegmaier,18.71,122,652,+0.15
2018,0,46501,Ollie Schniederjans,19.08,203,1064,+0.10
2018,0,48084,Wesley Bryan,19.27,137,711,+0.09
2018,0,25834,Daniel Summerhays,19.27,101,524,+0.27
2018,0,34431,Robert Streb,19.98,166,831,+0.06
2018,0,1810,Phil Mickelson,20.02,194,969,-0.04
2018,0,24846,Ricky Barnes,20.36,125,614,+0.03
2018,0,35544,Andrew Yun,20.47,96,469,+0.16
2018,0,29222,Billy Hurley III,20.53,162,789,+0.12
2017,0,20104,Ken Duke,7.53,63,837,+0.05
2017,0,31202,William McGirt,9.0,91,1011,+0.13
2017,0,28679,Fabián Gómez,9.24,66,714,+0.15
2017,0,30110,Kyle Stanley,9.39,123,1310,+0.02
2017,0,40058,Zac Blair,9.46,107,1131,+0.09
2017,0,10809,Jim Furyk,9.67,59,610,+0.14
2017,0,26476,Chez Reavie,9.7,112,1155,+0.15
2017,0,26758,David Hearn,9.72,96,988,+0.08
2017,0,26851,Marc Leishman,9.76,99,1014,+0.01
2017,0,23541,Ben Crane,10.02,96,958,+0.09
2017,0,19803,Ryan Armour,10.22,70,685,+0.11
2017,0,24138,Ian Poulter,10.37,79,762,+0.11
2017,0,29223,Sam Saunders,10.37,88,849,-0.01
2017,0,40026,Daniel Berger,10.38,100,963,-0.02
2017,0,25900,Lucas Glover,10.54,126,1196,+0.03
2017,0,20572,Rod Pampling,10.54,97,920,+0.07
2017,0,26289,Boo Weekley,10.56,90,852,+0.11
2017,0,20771,Steven Alker,10.67,76,712,+0.08
2017,0,29740,Brad Fritsch,10.67,62,581,+0.18
2017,0,27214,Kevin Streelman,10.68,116,1086,+0.07
2017,0,23800,Bryce Molder,10.72,95,886,+0.07
2017,0,31646,Emiliano Grillo,10.74,99,922,+0.13
2017,0,25198,Francesco Molinari,10.8,89,824,+0.19
2017,0,33122,Russell Knox,10.86,82,755,+0.15
2017,0,27936,Martin Laird,10.9,109,1000,+0.06
2017,0,33204,Shane Lowry,10.96,58,529,+0.07
2017,0,33461,Morgan Hoffmann,11.01,125,1135,E
2017,0,23621,Rory Sabbatini,11.01,81,736,+0.11
2017,0,24361,Pat Perez,11.18,114,1020,+0.14
2017,0,19846,Brian Gay,11.24,108,961,+0.10
2017,0,34466,Peter Malnati,11.25,114,1013,+0.06
2017,0,24357,K.J. Choi,11.3,85,752,-0.11
2017,0,30926,Chris Kirk,11.31,110,973,+0.11
2017,0,32448,James Hahn,11.32,128,1131,+0.02
2017,0,39324,J.J. Spaun,11.32,113,998,+0.05
2017,0,23108,Matt Kuchar,11.33,121,1068,+0.01
2017,0,29476,Kyle Reifers,11.5,118,1026,+0.10
2017,0,25834,Daniel Summerhays,11.55,132,1143,+0.16
2017,0,27644,Brian Harman,11.62,139,1196,+0.14
2017,0,29478,Kevin Kisner,11.62,125,1076,E
2017,0,24507,Jason Bohn,11.72,101,862,+0.16
2017,0,36801,Mark Hubbard,11.76,99,842,E
2017,0,32200,Roberto Castro,11.82,89,753,+0.04
2017,0,33141,Keegan Bradley,11.84,150,1267,+0.13
2017,0,35879,Kelly Kraft,11.84,106,895,+0.14
2017,0,31420,Anirban Lahiri,11.84,97,819,+0.03
2017,0,34098,Russell Henley,11.87,142,1196,+0.17
2017,0,26596,Ryan Moore,11.89,108,908,+0.09
2017,0,24024,Zach Johnson,11.91,113,949,+0.16
2017,0,32640,Troy Merritt,11.93,116,972,+0.13
2017,0,37278,Nicholas Lindheim,12.03,73,607,+0.10
2017,0,28093,Miguel Angel Carballo,12.06,72,597,+0.21
2017,0,12716,Charley Hoffman,12.06,156,1294,-0.01
2017,0,22986,Søren Kjeldsen,12.08,57,472,+0.18
2017,0,23320,Ryan Palmer,12.11,82,677,+0.20
2017,0,26499,Rafa Cabrera Bello,12.15,78,642,+0.13
2017,0,33413,Ben Martin,12.16,118,970,+0.19
2017,0,23325,Vaughn Taylor,12.2,130,1066,+0.05
2017,0,25572,Graeme McDowell,12.23,85,695,+0.31
2017,0,22046,Geoff Ogilvy,12.26,114,930,+0.04
2017,0,27963,Chris Stroud,12.28,82,668,+0.05
2017,0,29518,Brendan Steele,12.3,122,992,+0.01
2017,0,6522,Ernie Els,12.33,63,511,+0.08
2017,0,25818,Scott Piercy,12.33,84,681,+0.15
2017,0,23983,Luke Donald,12.35,73,591,+0.14
2017,0,35506,Mackenzie Hughes,12.41,166,1338,+0.13
2017,0,48081,Xander Schauffele,12.42,128,1031,+0.02
2017,0,25892,Steve Wheatcroft,12.43,69,555,+0.12
2017,0,40009,Dominic Bozzelli,12.45,94,755,+0.18
2017,0,24781,Hunter Mahan,12.47,102,818,+0.12
2017,0,24502,Adam Scott,12.5,72,576,+0.11
2017,0,33948,Byeong Hun An,12.56,99,788,+0.09
2017,0,35450,Patrick Cantlay,12.56,80,637,-0.05
2017,0,32839,Hideki Matsuyama,12.61,104,825,+0.03
2017,0,25493,Nick Taylor,12.67,146,1152,+0.13
2017,0,29974,Branden Grace,12.71,83,653,+0.11
2017,0,35891,Cameron Smith,12.82,126,983,+0.01
2017,0,35110,Brett Drewitt,12.92,77,596,+0.12
2017,0,27466,Spencer Levin,12.94,121,935,+0.17
2017,0,29420,Billy Horschel,12.96,144,1111,+0.19
2017,0,49771,J.T. Poston,12.96,131,1011,+0.11
2017,0,34046,Jordan Spieth,12.96,123,949,-0.15
2017,0,29221,Webb Simpson,12.99,152,1170,+0.03
2017,0,37189,Harold Varner III,13.05,155,1188,+0.06
2017,0,29725,Tony Finau,13.06,165,1263,-0.05
2017,0,26329,Louis Oosthuizen,13.06,93,712,+0.12
2017,0,25632,Jimmy Walker,13.17,91,691,+0.07
2017,0,25686,Jason Dufner,13.33,134,1005,+0.07
2017,0,31557,Jim Herman,13.33,123,923,-0.01
2017,0,32102,Rickie Fowler,13.36,117,876,-0.01
2017,0,27436,Graham DeLaet,13.4,132,985,+0.09
2017,0,39975,Michael Kim,13.4,156,1164,+0.01
2017,0,25396,Kevin Na,13.4,123,918,-0.04
2017,0,29926,Danny Lee,13.42,141,1051,+0.07
2017,0,22371,Aaron Baddeley,13.44,86,640,-0.02
2017,0,34021,Bud Cauley,13.46,152,1129,+0.03
2017,0,29479,Scott Brown,13.52,147,1087,+0.10
2017,0,46970,Jon Rahm,13.52,124,917,-0.03
2017,0,20472,Alex Cejka,13.57,117,862,+0.14
2017,0,25364,Paul Casey,13.61,135,992,-0.07
2017,0,33399,Adam Hadwin,13.63,149,1093,+0.14
2017,0,28237,Rory McIlroy,13.63,68,499,-0.04
2017,0,34213,Grayson Murray,13.64,161,1180,+0.09
2017,0,29461,Jamie Lovemark,13.68,151,1104,-0.06
2017,0,28132,Tyrone Van Aswegen,13.68,152,1111,+0.03
2017,0,21961,Charles Howell III,13.74,129,939,+0.03
2017,0,27895,Jonas Blixt,13.78,112,813,+0.13
2017,0,37455,Si Woo Kim,13.79,115,834,+0.12
2017,0,34409,David Lingmerth,13.81,132,956,-0.03
2017,0,24924,Bill Haas,13.83,138,998,+0.07
2017,0,30944,Jason Kokrak,13.87,159,1146,+0.02
2017,0,31560,Brian Stuard,13.89,134,965,+0.16
2017,0,26951,Johnson Wagner,13.89,110,792,+0.04
2017,0,25720,Chad Collins,13.92,104,747,+0.05
2017,0,32366,Kevin Chappell,13.94,139,997,+0.07
2017,0,30191,Julián Etulain,14.06,100,711,+0.01
2017,0,29485,Brett Stegmaier,14.11,113,801,+0.14
2017,0,25804,Bubba Watson,14.11,104,737,+0.07
2017,0,36689,Brooks Koepka,14.12,130,921,+0.05
2017,0,25349,Tim Wilkinson,14.15,90,636,+0.10
2017,0,27649,Brandt Snedeker,14.19,84,592,-0.08
2017,0,31323,Gary Woodland,14.24,134,941,+0.11
2017,0,26300,Matt Jones,14.27,101,708,+0.03
2017,0,46732,Rick Lamb,14.37,76,529,+0.08
2017,0,20593,Greg Chalmers,14.38,136,946,+0.15
2017,0,31416,Derek Fathauer,14.4,128,889,+0.15
2017,0,34174,John Huh,14.46,153,1058,+0.07
2017,0,22405,Justin Rose,14.54,107,736,-0.07
2017,0,24140,Sean O'Hair,14.62,142,971,+0.09
2017,0,27129,Luke List,14.68,174,1185,-0.10
2017,0,33120,Mark Anderson,14.7,86,585,-0.01
2017,0,33418,Shawn Stefani,14.73,123,835,+0.18
2017,0,47959,Bryson DeChambeau,14.76,148,1003,+0.14
2017,0,46443,Brian Campbell,14.89,85,571,+0.08
2017,0,25240,D.A. Points,14.92,121,811,+0.14
2017,0,24358,Robert Garrigus,14.93,123,824,+0.02
2017,0,34358,Jonathan Randolph,14.93,106,710,+0.13
2017,0,35545,Blayne Barber,15.15,141,931,+0.16
2017,0,27974,Sung Kang,15.2,173,1138,-0.02
2017,0,23353,J.J. Henry,15.27,159,1041,+0.07
2017,0,47128,Richy Werenski,15.29,130,850,+0.21
2017,0,12510,Chad Campbell,15.31,181,1182,+0.08
2017,0,29720,Andres Gonzales,15.32,121,790,+0.03
2017,0,32150,Michael Thompson,15.38,94,611,+0.15
2017,0,34360,Patrick Reed,15.4,180,1169,+0.02
2017,0,48084,Wesley Bryan,15.52,165,1063,+0.08
2017,0,30852,Ryo Ishikawa,15.53,91,586,+0.07
2017,0,30925,Dustin Johnson,15.53,127,818,-0.09
2017,0,29908,C.T. Pan,15.58,165,1059,+0.08
2017,0,39954,Cody Gribble,15.6,151,968,-0.03
2017,0,34264,Hudson Swafford,15.62,164,1050,+0.01
2017,0,27095,Nick Watney,15.65,138,882,+0.01
2017,0,20157,Retief Goosen,15.66,88,562,+0.08
2017,0,27958,Ryan Blaum,15.72,179,1139,+0.11
2017,0,27064,Jhonattan Vegas,15.94,158,991,+0.10
2017,0,25191,Gonzalo Fernandez-Castaño,16.01,97,606,-0.01
2017,0,22056,Cameron Percy,16.08,123,765,+0.13
2017,0,23497,Tag Ridings,16.09,112,696,-0.10
2017,0,28089,Jason Day,16.12,122,757,+0.10
2017,0,35532,Tom Hoge,16.2,87,537,E
2017,0,28500,Martin Flores,16.3,150,920,-0.01
2017,0,34431,Robert Streb,16.55,192,1160,E
2017,0,33419,Cameron Tringale,16.55,148,894,+0.03
2017,0,30692,Scott Stallings,16.7,157,940,+0.04
2017,0,21209,Sergio Garcia,16.72,107,640,+0.10
2017,0,46440,Smylie Kaufman,16.86,147,872,+0.01
2017,0,20229,Stewart Cink,16.96,190,1120,E
2017,0,35300,Andrew Loupe,17.06,108,633,+0.16
2017,0,37454,Whee Kim,17.12,146,853,+0.06
2017,0,32757,Patton Kizzire,17.19,170,989,+0.09
2017,0,46601,Trey Mullinax,17.41,168,965,+0.02
2017,0,32333,Kevin Tway,17.42,177,1016,+0.12
2017,0,29289,S.Y. Noh,17.43,179,1027,+0.04
2017,0,27770,Camilo Villegas,17.7,151,853,+0.05
2017,0,33448,Justin Thomas,17.75,159,896,-0.03
2017,0,36699,Patrick Rodgers,17.76,162,912,+0.09
2017,0,26331,Charl Schwartzel,17.85,118,661,-0.06
2017,0,34099,Harris English,18.01,177,983,+0.02
2017,0,28252,Seamus Power,18.07,170,941,-0.02
2017,0,46550,Brandon Hagy,18.25,173,948,+0.01
2017,0,48822,Sebastián Muñoz,18.35,98,534,+0.06
2017,0,24846,Ricky Barnes,18.56,198,1067,E
2017,0,27141,J.B. Holmes,18.71,156,834,+0.05
2017,0,29222,Billy Hurley III,18.85,181,960,+0.09
2017,0,28307,Matt Every,19.51,160,820,+0.14
2017,0,25345,Carl Pettersson,19.94,142,712,+0.13
2017,0,1810,Phil Mickelson,19.96,190,952,+0.04
2017,0,46501,Ollie Schniederjans,20.21,226,1118,+0.12
2017,0,28420,Ryan Brehm,20.6,184,893,-0.01
2017,0,25274,Steven Bowditch,21.4,128,598,+0.18
2016,0,24461,Thomas Aiken,7.95,53,667,-0.06
2016,0,28475,Jeff Overton,8.72,70,803,+0.13
2016,0,2206,David Toms,9.15,69,754,E
2016,0,10213,Dicky Pride,9.3,53,570,+0.09
2016,0,23800,Bryce Molder,9.34,87,931,+0.06
2016,0,34174,John Huh,9.69,106,1094,+0.11
2016,0,25198,Francesco Molinari,9.72,77,792,E
2016,0,34261,Scott Langley,9.88,73,739,+0.07
2016,0,40058,Zac Blair,9.92,112,1129,+0.11
2016,0,26289,Boo Weekley,10.2,101,990,-0.01
2016,0,32200,Roberto Castro,10.33,127,1230,+0.14
2016,0,21878,Mark Wilson,10.48,80,763,+0.13
2016,0,24357,K.J. Choi,10.5,97,924,+0.03
2016,0,30711,Colt Knost,10.51,104,990,+0.13
2016,0,33410,Andrew Landry,10.61,49,462,+0.08
2016,0,25572,Graeme McDowell,10.79,68,630,+0.09
2016,0,28092,D.H. Lee,10.89,70,643,+0.14
2016,0,12716,Charley Hoffman,11.07,109,985,+0.17
2016,0,36801,Mark Hubbard,11.2,129,1152,+0.06
2016,0,26758,David Hearn,11.4,130,1140,+0.14
2016,0,37454,Whee Kim,11.43,103,901,+0.18
2016,0,34409,David Lingmerth,11.53,97,841,+0.21
2016,0,22046,Geoff Ogilvy,11.54,80,693,-0.03
2016,0,37455,Si Woo Kim,11.55,159,1377,+0.11
2016,0,29518,Brendan Steele,11.65,112,961,+0.07
2016,0,29476,Kyle Reifers,11.7,158,1350,+0.08
2016,0,30692,Scott Stallings,11.74,102,869,E
2016,0,35879,Kelly Kraft,11.86,74,624,+0.14
2016,0,10809,Jim Furyk,11.87,73,615,+0.16
2016,0,20472,Alex Cejka,11.9,85,714,+0.09
2016,0,24507,Jason Bohn,11.91,98,823,+0.07
2016,0,27747,Hiroshi Iwata,11.92,110,923,+0.10
2016,0,30110,Kyle Stanley,11.93,131,1098,+0.08
2016,0,34098,Russell Henley,11.99,115,959,+0.08
2016,0,33122,Russell Knox,11.99,109,909,+0.19
2016,0,25818,Scott Piercy,12.08,109,902,+0.08
2016,0,24490,George McNeill,12.13,77,635,+0.21
2016,0,37273,Derek Ernst,12.21,73,598,+0.08
2016,0,25892,Steve Wheatcroft,12.24,119,972,+0.05
2016,0,35891,Cameron Smith,12.28,78,635,+0.09
2016,0,26596,Ryan Moore,12.36,112,906,+0.13
2016,0,23108,Matt Kuchar,12.43,133,1070,+0.10
2016,0,28237,Rory McIlroy,12.43,83,668,-0.16
2016,0,26476,Chez Reavie,12.46,132,1059,+0.07
2016,0,31202,William McGirt,12.64,155,1226,+0.04
2016,0,24140,Sean O'Hair,12.67,147,1160,+0.08
2016,0,23320,Ryan Palmer,12.71,137,1078,+0.04
2016,0,27214,Kevin Streelman,12.75,113,886,+0.02
2016,0,20098,Stuart Appleby,12.77,117,916,+0.02
2016,0,33399,Adam Hadwin,12.77,156,1222,+0.21
2016,0,22371,Aaron Baddeley,12.82,131,1022,-0.02
2016,0,25900,Lucas Glover,12.88,120,932,+0.05
2016,0,31646,Emiliano Grillo,12.89,132,1024,+0.11
2016,0,8075,Jerry Kelly,12.97,108,833,+0.13
2016,0,28679,Fabián Gómez,12.98,133,1025,+0.19
2016,0,34360,Patrick Reed,13.06,141,1080,+0.09
2016,0,35732,Wes Roach,13.17,79,600,+0.15
2016,0,30163,Henrik Norlander,13.18,97,736,+0.23
2016,0,26300,Matt Jones,13.19,115,872,+0.05
2016,0,39975,Michael Kim,13.3,158,1188,+0.08
2016,0,24924,Bill Haas,13.33,118,885,+0.04
2016,0,36699,Patrick Rodgers,13.33,131,983,+0.05
2016,0,24024,Zach Johnson,13.41,137,1022,+0.08
2016,0,34466,Peter Malnati,13.42,139,1036,+0.17
2016,0,34264,Hudson Swafford,13.42,170,1267,+0.05
2016,0,27895,Jonas Blixt,13.43,125,931,+0.06
2016,0,21209,Sergio Garcia,13.49,58,430,-0.09
2016,0,40026,Daniel Berger,13.5,135,1000,+0.06
2016,0,27644,Brian Harman,13.51,173,1281,+0.03
2016,0,29745,Tyler Aldridge,13.55,126,930,+0.14
2016,0,29268,Bronson Burgoon,13.56,122,900,+0.14
2016,0,20572,Rod Pampling,13.57,70,516,+0.07
2016,0,25364,Paul Casey,13.58,108,795,+0.08
2016,0,29974,Branden Grace,13.6,79,581,-0.04
2016,0,32640,Troy Merritt,13.84,125,903,+0.09
2016,0,25493,Nick Taylor,13.94,128,918,+0.16
2016,0,33413,Ben Martin,13.95,156,1118,+0.11
2016,0,33461,Morgan Hoffmann,13.99,114,815,+0.13
2016,0,30925,Dustin Johnson,14.06,123,875,-0.06
2016,0,20645,John Senden,14.06,154,1095,+0.07
2016,0,34046,Jordan Spieth,14.06,114,811,+0.02
2016,0,37189,Harold Varner III,14.09,156,1107,+0.12
2016,0,22892,Jason Gore,14.1,117,830,+0.06
2016,0,23621,Rory Sabbatini,14.1,76,539,+0.05
2016,0,25686,Jason Dufner,14.13,155,1097,+0.01
2016,0,27436,Graham DeLaet,14.16,115,812,+0.03
2016,0,29479,Scott Brown,14.17,137,967,+0.02
2016,0,33204,Shane Lowry,14.17,73,515,+0.19
2016,0,20848,Ángel Cabrera,14.2,97,683,+0.08
2016,0,46440,Smylie Kaufman,14.21,141,992,-0.06
2016,0,29926,Danny Lee,14.24,141,990,+0.16
2016,0,25396,Kevin Na,14.27,137,960,+0.12
2016,0,27649,Brandt Snedeker,14.3,150,1049,+0.01
2016,0,35545,Blayne Barber,14.38,148,1029,+0.19
2016,0,20104,Ken Duke,14.39,96,667,+0.05
2016,0,26851,Marc Leishman,14.4,130,903,+0.08
2016,0,31560,Brian Stuard,14.4,121,840,+0.13
2016,0,32839,Hideki Matsuyama,14.46,117,809,+0.06
2016,0,32366,Kevin Chappell,14.47,157,1085,+0.01
