YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
2024,148,0,29221,Webb Simpson,287.9,196314,682
2024,149,0,40162,Justin Lower,287.8,329543,1145
2024,149,0,30163,Henrik Norlander,287.8,195678,680
2024,151,0,34098,Russell Henley,287.7,258942,900
2024,151,0,36871,Matt NeSmith,287.7,247973,862
2024,153,0,51890,Greyson Sigg,287.5,262214,912
2024,153,0,25493,Nick Taylor,287.5,303652,1056
2024,155,0,32640,Troy Merritt,287.4,231615,806
2024,156,0,54628,Lee Hodges,287.3,343594,1196
2024,156,0,39327,Ben Silverman,287.3,281508,980
2024,158,0,31646,Emiliano Grillo,286.9,308719,1076
2024,159,0,32367,Jorge Campillo,286.6,164513,574
2024,159,0,29908,C.T. Pan,286.6,226433,790
2024,161,0,47806,Raul Pereda,286.5,142099,496
2024,162,0,47993,Denny McCarthy,286.2,317160,1108
2024,163,0,28775,Nate Lashley,286.1,245446,858
2024,164,0,52374,Brandon Wu,285.6,250226,876
2024,165,0,37275,Sam Ryder,285.5,237569,832
2024,166,0,36884,Ben Kohles,285.0,288134,1011
2024,167,0,36326,David Lipsky,284.8,229535,806
2024,168,0,46441,Robby Shelton,284.7,260261,914
2024,169,0,45522,Christiaan Bezuidenhout,284.6,285479,1003
2024,170,0,27770,Camilo Villegas,284.4,176026,619
2024,171,0,27936,Martin Laird,284.1,229551,808
2024,172,0,55789,Taylor Montgomery,283.9,184517,650
2024,173,0,25900,Lucas Glover,283.7,305282,1076
2024,174,0,23108,Matt Kuchar,282.2,262457,930
2024,175,0,26596,Ryan Moore,281.0,248423,884
2024,176,0,29535,Brice Garnett,280.7,167846,598
2024,177,0,22371,Aaron Baddeley,280.2,228104,814
2024,178,0,24024,Zach Johnson,279.8,167864,600
2024,179,0,40058,Zac Blair,279.5,287311,1028
2024,180,0,26476,Chez Reavie,279.2,216653,776
2024,181,0,27649,Brandt Snedeker,278.5,201065,722
2024,182,0,29478,Kevin Kisner,277.7,181622,654
2024,183,0,30927,Brendon Todd,277.4,343382,1238
2024,184,0,34256,Andrew Putnam,275.2,287822,1046
2023,1,0,28237,Rory McIlroy,311.0,251308,808
2023,2,0,57366,Cameron Young,307.7,289865,942
2023,3,0,49453,Trevor Cone,306.3,268947,878
2023,4,0,27129,Luke List,305.2,351616,1152
2023,5,0,33948,Byeong Hun An,304.6,374621,1230
2023,6,0,52453,Nicolai Hojgaard,304.2,142963,470
2023,7,0,46970,Jon Rahm,304.0,254127,836
2023,8,0,39546,Keith Mitchell,303.5,312016,1028
2023,9,0,51491,Brandon Matthews,303.4,177178,584
2023,10,0,52955,Ludvig Åberg,303.0,190254,628
2023,11,0,51414,Brent Grant,302.7,240379,794
2023,12,0,51766,Wyndham Clark,302.5,358160,1184
2023,12,0,46046,Scottie Scheffler,302.5,310972,1028
2023,14,0,45242,Kevin Yu,302.4,202580,670
2023,15,0,46601,Trey Mullinax,302.2,282825,936
2023,15,0,24502,Adam Scott,302.2,220022,728
2023,15,0,52411,Kyle Westmoreland,302.2,243585,806
2023,18,0,58696,Peter Kuest,302.1,166172,550
2023,19,0,39067,MJ Daffue,302.0,311654,1032
2023,19,0,51070,Vincent Norrman,302.0,273049,904
2023,21,0,35450,Patrick Cantlay,300.9,260574,866
2023,21,0,46717,Viktor Hovland,300.9,293657,976
2023,21,0,55893,Sam Stevens,300.9,346592,1152
2023,24,0,34255,Joseph Bramlett,300.8,282105,938
2023,24,0,48699,Callum Tarren,300.8,344125,1144
2023,26,0,36699,Patrick Rodgers,300.6,348109,1158
2023,27,0,52372,Cameron Champ,299.9,245890,820
2023,28,0,34363,Tyrrell Hatton,299.6,275612,920
2023,28,0,40250,Taylor Pendrith,299.6,333713,1114
2023,28,0,55454,Carl Yuan,299.6,286991,958
2023,31,0,31323,Gary Woodland,299.4,304152,1016
2023,32,0,47504,Sam Burns,299.1,303593,1015
2023,32,0,27554,Scott Harrington,299.1,237513,794
2023,34,0,39977,Max Homa,299.0,321727,1076
2023,35,0,54421,Garrick Higgo,298.8,374041,1252
2023,35,0,33448,Justin Thomas,298.8,278505,932
2023,37,0,48867,Matti Schmid,298.5,216735,726
2023,38,0,28420,Ryan Brehm,298.4,279934,938
2023,38,0,39058,Lucas Herbert,298.4,198723,666
2023,38,0,58168,Davis Thompson,298.4,361649,1212
2023,41,0,12716,Charley Hoffman,298.3,238066,798
2023,42,0,45157,Cam Davis,298.1,332626,1116
2023,42,0,32333,Kevin Tway,298.1,332130,1114
2023,44,0,34046,Jordan Spieth,298.0,257484,864
2023,45,0,39997,Corey Conners,297.9,313387,1052
2023,46,0,33141,Keegan Bradley,297.6,279742,940
2023,47,0,36724,Augusto Núñez,297.5,239755,806
2023,48,0,36799,Stephan Jaeger,297.0,441279,1486
2023,49,0,28089,Jason Day,296.8,264163,890
2023,49,0,35461,Beau Hossler,296.8,363274,1224
2023,51,0,29725,Tony Finau,296.6,300762,1014
2023,52,0,20229,Stewart Cink,296.5,271620,916
2023,53,0,40098,Matt Fitzpatrick,296.3,261332,882
2023,54,0,29970,Dylan Frittelli,296.2,242277,818
2023,55,0,23320,Ryan Palmer,296.0,268777,908
2023,56,0,47988,Nick Hardy,295.9,366939,1240
2023,56,0,25632,Jimmy Walker,295.9,311841,1054
2023,58,0,48081,Xander Schauffele,295.8,254694,861
2023,58,0,58967,Trevor Werbylo,295.8,237823,804
2023,60,0,40006,Erik van Rooyen,295.7,228582,773
2023,61,0,50188,S.H. Kim,295.5,398336,1348
2023,62,0,48117,Kurt Kitayama,295.4,225699,764
2023,62,0,30692,Scott Stallings,295.4,277115,938
2023,64,0,56630,Akshay Bhatia,295.2,239152,810
2023,64,0,49947,Taylor Moore,295.2,332413,1126
2023,64,0,51634,Sahith Theegala,295.2,354879,1202
2023,67,0,37338,Zecheng Dou,295.1,311017,1054
2023,68,0,32662,Michael Gligic,295.0,213008,722
2023,68,0,39971,Sungjae Im,295.0,351012,1190
2023,70,0,55708,Hayden Buckley,294.7,267588,908
2023,71,0,33653,Thomas Detry,294.5,275028,934
2023,72,0,47995,Davis Riley,294.2,309469,1052
2023,73,0,32102,Rickie Fowler,294.1,331211,1126
2023,73,0,56762,Will Gordon,294.1,362971,1234
2023,75,0,32366,Kevin Chappell,293.7,147452,502
2023,76,0,31577,Tano Goya,293.6,264827,902
2023,77,0,57362,Austin Eckroat,293.4,291006,992
2023,78,0,39975,Michael Kim,293.2,279736,954
2023,79,0,33597,Harry Higgs,293.1,242142,826
2023,79,0,55182,Tom Kim,293.1,310646,1060
2023,79,0,47347,Adam Schenk,293.1,399856,1364
2023,82,0,55789,Taylor Montgomery,293.0,346378,1182
2023,83,0,32791,K.H. Lee,292.9,334450,1142
2023,84,0,39324,J.J. Spaun,292.8,341448,1166
2023,84,0,48887,Matt Wallace,292.8,271153,926
2023,86,0,29420,Billy Horschel,292.7,216000,738
2023,86,0,37455,Si Woo Kim,292.7,350116,1196
2023,86,0,39335,Kevin Roy,292.7,215419,736
2023,86,0,48119,Ben Taylor,292.7,344185,1176
2023,90,0,54591,Ben Griffin,292.6,365144,1248
2023,90,0,28252,Seamus Power,292.6,266876,912
2023,90,0,35617,Martin Trainer,292.6,155655,532
2023,93,0,33204,Shane Lowry,292.4,228100,780
2023,94,0,30911,Tommy Fleetwood,292.2,251276,860
2023,95,0,35506,Mackenzie Hughes,292.1,289212,990
2023,96,0,45609,Tyler Duncan,291.9,322264,1104
2023,97,0,32839,Hideki Matsuyama,291.8,285376,978
2023,97,0,50525,Collin Morikawa,291.8,253303,868
2023,97,0,29289,S.Y. Noh,291.8,186753,640
2023,100,0,35310,Lanto Griffin,291.7,183161,628
2023,100,0,31646,Emiliano Grillo,291.7,357679,1226
2023,102,0,27644,Brian Harman,291.5,320647,1100
2023,102,0,34431,Robert Streb,291.5,252430,866
2023,104,0,34466,Peter Malnati,291.3,309344,1062
2023,105,0,34563,Chesson Hadley,291.2,318043,1092
2023,105,0,46340,Alex Smalley,291.2,376818,1294
2023,105,0,49960,Sepp Straka,291.2,313917,1078
2023,108,0,39954,Cody Gribble,291.1,202572,696
2023,108,0,54628,Lee Hodges,291.1,359790,1236
2023,108,0,50095,Austin Smotherman,291.1,328694,1129
2023,111,0,25686,Jason Dufner,290.9,280424,964
2023,112,0,32757,Patton Kizzire,290.8,337324,1160
2023,112,0,27349,Alex Noren,290.8,294311,1012
2023,114,0,34076,Joel Dahmen,290.7,294214,1012
2023,114,0,46442,Maverick McNealy,290.7,196510,676
2023,114,0,49771,J.T. Poston,290.7,348277,1198
2023,117,0,59018,Ryan Gerard,290.2,196726,678
2023,118,0,30926,Chris Kirk,290.1,308077,1062
2023,118,0,51997,Andrew Novak,290.1,274981,948
2023,120,0,33408,Tyson Alexander,290.0,281871,972
2023,120,0,47591,Eric Cole,290.0,438416,1512
2023,120,0,47983,Chad Ramey,290.0,361305,1246
2023,123,0,32448,James Hahn,289.7,277572,958
2023,124,0,57975,Harry Hall,289.6,297125,1026
2023,125,0,48084,Wesley Bryan,289.5,125066,432
2023,126,0,47128,Richy Werenski,289.3,289856,1002
2023,127,0,51349,Nico Echavarria,289.2,219802,760
2023,127,0,52374,Brandon Wu,289.2,341828,1182
2023,129,0,52375,Doug Ghim,289.1,298320,1032
2023,129,0,25818,Scott Piercy,289.1,282117,976
2023,131,0,40115,Adam Svensson,289.0,416124,1440
2023,132,0,35532,Tom Hoge,288.9,343232,1188
2023,133,0,33399,Adam Hadwin,288.8,325755,1128
2023,133,0,32640,Troy Merritt,288.8,281915,976
2023,133,0,27214,Kevin Streelman,288.8,340256,1178
2023,136,0,25493,Nick Taylor,288.7,300872,1042
2023,137,0,51890,Greyson Sigg,288.5,358302,1242
2023,138,0,29221,Webb Simpson,288.2,212676,738
2023,139,0,54783,Dylan Wu,288.1,315760,1096
2023,140,0,28775,Nate Lashley,287.9,338008,1174
2023,141,0,37275,Sam Ryder,287.8,352792,1226
2023,142,0,49298,Kramer Hickok,287.5,312783,1088
2023,142,0,34610,Matthias Schwab,287.5,324327,1128
2023,142,0,50493,Justin Suh,287.5,386913,1346
2023,145,0,23108,Matt Kuchar,287.4,318399,1108
2023,145,0,36871,Matt NeSmith,287.4,336889,1172
2023,147,0,47079,Harrison Endycott,287.3,272370,948
2023,148,0,25900,Lucas Glover,287.0,320886,1118
2023,149,0,46414,Aaron Rai,286.7,348047,1214
2023,149,0,53165,Doc Redman,286.7,267243,932
2023,151,0,32139,Danny Willett,286.5,211724,739
2023,152,0,47993,Denny McCarthy,286.2,349150,1220
2023,153,0,40162,Justin Lower,286.1,320449,1120
2023,153,0,52513,Carson Young,286.1,298690,1044
2023,155,0,49766,Hank Lebioda,285.9,166419,582
2023,156,0,29908,C.T. Pan,285.8,156609,548
2023,157,0,34098,Russell Henley,285.7,291364,1020
2023,157,0,24140,Sean O'Hair,285.7,122842,430
2023,157,0,22056,Cameron Percy,285.7,178829,626
2023,160,0,33413,Ben Martin,285.5,316284,1108
2023,160,0,30163,Henrik Norlander,285.5,270663,948
2023,162,0,36801,Mark Hubbard,285.0,354193,1243
2023,162,0,33410,Andrew Landry,285.0,251360,882
2023,162,0,46441,Robby Shelton,285.0,328930,1154
2023,165,0,27095,Nick Watney,284.9,218272,766
2023,166,0,45522,Christiaan Bezuidenhout,284.8,314426,1104
2023,166,0,34099,Harris English,284.8,324698,1140
2023,168,0,22405,Justin Rose,284.5,212769,748
2023,169,0,27936,Martin Laird,284.2,268900,946
2023,169,0,51950,Max McGreevy,284.2,252980,890
2023,171,0,36326,David Lipsky,283.8,318981,1124
2023,172,0,27974,Sung Kang,283.2,123482,436
2023,173,0,31557,Jim Herman,283.1,245456,867
2023,174,0,29535,Brice Garnett,282.8,248878,880
2023,174,0,35449,Adam Long,282.8,338767,1198
2023,176,0,24925,Jonathan Byrd,282.6,145823,516
2023,176,0,32816,Satoshi Kodaira,282.6,168991,598
2023,178,0,27963,Chris Stroud,282.3,161485,572
2023,179,0,24024,Zach Johnson,281.9,219331,778
2023,180,0,26476,Chez Reavie,281.2,335168,1192
2023,181,0,35879,Kelly Kraft,281.1,286157,1018
2023,181,0,26596,Ryan Moore,281.1,251286,894
2023,183,0,33122,Russell Knox,280.5,328711,1172
2023,184,0,35901,Paul Haley II,279.6,267813,958
2023,185,0,22371,Aaron Baddeley,278.4,228881,822
2023,186,0,40058,Zac Blair,278.1,243063,874
2023,187,0,46435,Austin Cook,278.0,215744,776
2023,188,0,31202,William McGirt,277.5,143749,518
2023,189,0,19803,Ryan Armour,277.4,257398,928
2023,189,0,30927,Brendon Todd,277.4,335098,1208
2023,191,0,34256,Andrew Putnam,277.1,344651,1244
2023,192,0,34409,David Lingmerth,273.8,223676,817
2023,193,0,31560,Brian Stuard,270.3,188678,698
2022,1,0,57366,Cameron Young,307.5,301308,980
2022,2,0,46970,Jon Rahm,306.9,236283,770
2022,3,0,28237,Rory McIlroy,306.3,221765,724
2022,4,0,46550,Brandon Hagy,304.9,251812,826
2022,5,0,46601,Trey Mullinax,304.7,277892,912
2022,6,0,27129,Luke List,304.5,271615,892
2022,7,0,51766,Wyndham Clark,304.3,315225,1036
2022,8,0,52372,Cameron Champ,303.8,198050,652
2022,9,0,34255,Joseph Bramlett,303.5,281651,928
2022,10,0,40250,Taylor Pendrith,303.4,250005,824
2022,11,0,56278,Matthew Wolff,303.3,160169,528
2022,12,0,36689,Brooks Koepka,302.7,164670,544
2022,13,0,35450,Patrick Cantlay,302.0,221099,732
2022,13,0,33448,Justin Thomas,302.0,256685,850
2022,15,0,34046,Jordan Spieth,301.7,258835,858
2022,16,0,47483,Will Zalatoris,301.4,240523,798
2022,17,0,47856,Seth Reeves,301.3,204899,680
2022,18,0,46046,Scottie Scheffler,300.9,275590,916
2022,19,0,45486,Joaquin Niemann,300.6,243518,810
2022,20,0,27064,Jhonattan Vegas,300.4,244553,814
2022,21,0,48117,Kurt Kitayama,300.3,191568,638
2022,22,0,54421,Garrick Higgo,300.0,160810,536
2022,23,0,46717,Viktor Hovland,299.8,235025,784
2022,23,0,39546,Keith Mitchell,299.8,299805,1000
2022,25,0,24502,Adam Scott,299.7,263153,878
2022,26,0,45157,Cam Davis,299.6,319370,1066
2022,27,0,48699,Callum Tarren,299.5,224057,748
2022,28,0,29725,Tony Finau,299.4,295795,988
2022,29,0,12716,Charley Hoffman,299.3,241248,806
2022,30,0,26300,Matt Jones,299.0,213458,714
2022,31,0,47504,Sam Burns,298.7,286171,958
2022,31,0,36699,Patrick Rodgers,298.7,286174,958
2022,33,0,32366,Kevin Chappell,298.5,183899,616
2022,34,0,39058,Lucas Herbert,298.1,168138,564
2022,34,0,48081,Xander Schauffele,298.1,237893,798
2022,36,0,21961,Charles Howell III,298.0,194895,654
2022,37,0,32333,Kevin Tway,297.6,277347,932
2022,38,0,39977,Max Homa,297.3,291368,980
2022,39,0,46442,Maverick McNealy,297.2,302507,1018
2022,40,0,32839,Hideki Matsuyama,297.1,238296,802
2022,41,0,49964,Aaron Wise,296.9,317104,1068
2022,42,0,29518,Brendan Steele,296.8,257654,868
2022,43,0,33667,Carlos Ortiz,296.6,212974,718
2022,44,0,35617,Martin Trainer,296.4,253696,856
2022,45,0,35891,Cameron Smith,296.1,201956,682
2022,46,0,33141,Keegan Bradley,295.9,272790,922
2022,47,0,39971,Sungjae Im,295.8,310583,1050
2022,47,0,30944,Jason Kokrak,295.8,210597,712
2022,47,0,23320,Ryan Palmer,295.8,205880,696
2022,50,0,35461,Beau Hossler,295.6,268957,910
2022,50,0,45540,Jared Wolfe,295.6,193334,654
2022,50,0,31323,Gary Woodland,295.6,228814,774
2022,53,0,39997,Corey Conners,295.3,292328,990
2022,54,0,51634,Sahith Theegala,295.2,387899,1314
2022,54,0,51894,Vince Whaley,295.2,273366,926
2022,56,0,26851,Marc Leishman,295.0,260164,882
2022,56,0,47995,Davis Riley,295.0,335098,1136
2022,56,0,37189,Harold Varner III,295.0,232717,789
2022,59,0,30692,Scott Stallings,294.6,343537,1166
2022,59,0,34264,Hudson Swafford,294.6,196798,668
2022,61,0,37212,Paul Barjon,294.2,255966,870
2022,61,0,20229,Stewart Cink,294.2,271258,922
2022,63,0,40098,Matt Fitzpatrick,294.1,195300,664
2022,64,0,31646,Emiliano Grillo,293.9,285049,970
2022,64,0,47988,Nick Hardy,293.9,183975,626
2022,66,0,32102,Rickie Fowler,293.8,230349,784
2022,67,0,29970,Dylan Frittelli,293.6,297748,1014
2022,68,0,48822,Sebastián Muñoz,293.4,280445,956
2022,69,0,10381,Curtis Thompson,293.3,178340,608
2022,70,0,37455,Si Woo Kim,293.2,333653,1138
2022,70,0,32791,K.H. Lee,293.2,354233,1208
2022,70,0,46340,Alex Smalley,293.2,303719,1036
2022,73,0,32757,Patton Kizzire,292.9,335099,1144
2022,74,0,29974,Branden Grace,292.8,176286,602
2022,74,0,47529,Mito Pereira,292.8,305081,1042
2022,76,0,34363,Tyrrell Hatton,292.6,194265,664
2022,76,0,29420,Billy Horschel,292.6,226467,774
2022,76,0,50095,Austin Smotherman,292.6,254521,870
2022,79,0,28252,Seamus Power,292.3,242011,828
2022,80,0,32448,James Hahn,292.2,243660,834
2022,80,0,49947,Taylor Moore,292.2,317363,1086
2022,80,0,51997,Andrew Novak,292.2,217993,746
2022,83,0,55708,Hayden Buckley,292.1,312501,1070
2022,84,0,32662,Michael Gligic,291.7,231595,794
2022,85,0,33597,Harry Higgs,291.6,274671,942
2022,86,0,28089,Jason Day,291.4,206279,708
2022,86,0,30926,Chris Kirk,291.4,255248,876
2022,86,0,49960,Sepp Straka,291.4,301308,1034
2022,86,0,40006,Erik van Rooyen,291.4,163191,560
2022,86,0,48887,Matt Wallace,291.4,197009,676
2022,91,0,45526,Abraham Ancer,291.0,186808,642
2022,91,0,36852,Jim Knous,291.0,144933,498
2022,91,0,29289,S.Y. Noh,291.0,184509,634
2022,94,0,34431,Robert Streb,290.9,293258,1008
2022,95,0,46402,Talor Gooch,290.8,223938,770
2022,95,0,33204,Shane Lowry,290.8,192516,662
2022,97,0,50525,Collin Morikawa,290.7,195331,672
2022,97,0,33419,Cameron Tringale,290.7,293561,1010
2022,99,0,31420,Anirban Lahiri,290.6,242386,834
2022,100,0,47347,Adam Schenk,290.4,310737,1070
2022,101,0,27349,Alex Noren,290.2,193850,668
2022,102,0,34466,Peter Malnati,289.9,350229,1208
2022,103,0,34563,Chesson Hadley,289.8,258533,892
2022,104,0,49771,J.T. Poston,289.7,322107,1112
2022,105,0,35310,Lanto Griffin,289.5,272729,942
2022,105,0,33486,Roger Sloan,289.5,248979,860
2022,107,0,24980,Scott Gutschewski,289.4,152784,528
2022,107,0,33399,Adam Hadwin,289.4,305615,1056
2022,107,0,28114,Dawie van der Walt,289.4,192173,664
2022,110,0,25818,Scott Piercy,289.3,267295,924
2022,111,0,54628,Lee Hodges,289.2,332014,1148
2022,112,0,35532,Tom Hoge,289.1,298324,1032
2022,113,0,25198,Francesco Molinari,289.0,160946,557
2022,114,0,32139,Danny Willett,288.9,167538,580
2022,115,0,25900,Lucas Glover,288.8,332680,1152
2022,116,0,29926,Danny Lee,288.7,158759,550
2022,117,0,24924,Bill Haas,288.4,271114,940
2022,118,0,54783,Dylan Wu,288.2,204025,708
2022,119,0,28775,Nate Lashley,288.1,243148,844
2022,119,0,22056,Cameron Percy,288.1,127355,442
2022,121,0,27895,Jonas Blixt,288.0,167020,580
2022,122,0,27974,Sung Kang,287.9,247298,859
