YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
2024,147,0,54576,Patrick Fishburn,"9' 8""",28.917,3,14,"4' 0"""
2024,148,0,57362,Austin Eckroat,"9' 6""",28.417,3,11,"8' 8"""
2024,149,0,27349,Alex Noren,"9' 5""",65.833,7,20,"1' 7"""
2024,150,0,33653,Thomas Detry,"9' 1""",18.167,2,10,"8' 4"""
2024,150,0,26476,Chez Reavie,"9' 1""",27.25,3,14,"4' 9"""
2024,150,0,51890,Greyson Sigg,"9' 1""",9.083,1,9,"9' 1"""
2024,153,0,49947,Taylor Moore,"9' 0""",53.917,6,16,"1' 7"""
2024,154,0,50493,Justin Suh,"8' 11""",26.75,3,12,"4' 6"""
2024,155,0,34021,Bud Cauley,"8' 6""",16.917,2,14,"3' 4"""
2024,156,0,33486,Roger Sloan,"8' 5""",25.167,3,15,"3' 9"""
2024,157,0,59095,Chris Gotterup,"8' 1""",24.167,3,12,"11"""
2024,158,0,50188,S.H. Kim,"8' 0""",55.917,7,12,"3' 7"""
2024,158,0,37378,Min Woo Lee,"8' 0""",47.833,6,13,"1' 11"""
2024,160,0,60004,Jacob Bridgeman,"7' 11""",39.667,5,18,"3' 10"""
2024,161,0,29535,Brice Garnett,"7' 8""",15.25,2,10,"5' 6"""
2024,162,0,45522,Christiaan Bezuidenhout,"7' 7""",7.583,1,8,"7' 7"""
2024,163,0,28420,Ryan Brehm,"7' 5""",7.417,1,7,"7' 5"""
2024,163,0,27649,Brandt Snedeker,"7' 5""",7.417,1,7,"7' 5"""
2024,165,0,23108,Matt Kuchar,"7' 2""",14.333,2,8,"6' 3"""
2024,166,0,52453,Nicolai Højgaard,"7' 1""",28.417,4,12,"2' 11"""
2024,167,0,35310,Lanto Griffin,"7' 0""",42.0,6,11,"3' 5"""
2024,168,0,47483,Will Zalatoris,"6' 5""",19.25,3,10,"2' 0"""
2024,169,0,29908,C.T. Pan,"5' 11""",17.75,3,12,"2' 10"""
2024,170,0,26596,Ryan Moore,"5' 7""",5.583,1,6,"5' 7"""
2024,171,0,51070,Vincent Norrman,"5' 6""",11.0,2,8,"2' 10"""
2024,172,0,47988,Nick Hardy,"5' 5""",16.167,3,8,"3' 4"""
2024,173,0,32757,Patton Kizzire,"5' 4""",10.583,2,10,"1' 1"""
2024,173,0,29221,Webb Simpson,"5' 4""",32.083,6,7,"1' 8"""
2024,175,0,35617,Martin Trainer,"5' 1""",10.083,2,7,"3' 0"""
2024,176,0,33448,Justin Thomas,"4' 11""",9.833,2,6,"3' 8"""
2024,177,0,52514,Trace Crowe,"4' 8""",9.25,2,6,"2' 10"""
2024,178,0,40058,Zac Blair,"2' 7""",2.583,1,3,"2' 7"""
2024,179,0,40162,Justin Lower,"2' 0""",2.0,1,2,"2' 0"""
2024,180,0,32102,Rickie Fowler,"1' 3""",2.5,2,2,"9"""
2023,1,0,34076,Joel Dahmen,"58' 4""",58.333,1,58,"58' 4"""
2023,2,0,27974,Sung Kang,"38' 1""",76.083,2,60,"15' 11"""
2023,3,0,52513,Carson Young,"37' 6""",112.417,3,50,"18' 4"""
2023,4,0,31202,William McGirt,"36' 11""",73.833,2,53,"20' 5"""
2023,5,0,26596,Ryan Moore,"34' 4""",137.417,4,73,"6' 6"""
2023,6,0,50493,Justin Suh,"33' 9""",67.417,2,36,"31' 10"""
2023,7,0,33413,Ben Martin,"33' 1""",99.333,3,49,"21' 1"""
2023,8,0,32366,Kevin Chappell,"31' 6""",126.0,4,47,"15' 11"""
2023,9,0,35450,Patrick Cantlay,"29' 6""",147.583,5,55,"5' 4"""
2023,9,0,33653,Thomas Detry,"29' 6""",118.083,4,46,"4' 9"""
2023,11,0,52411,Kyle Westmoreland,"29' 0""",116.083,4,48,"6' 0"""
2023,11,0,57366,Cameron Young,"29' 0""",29.0,1,29,"29' 0"""
2023,13,0,48081,Xander Schauffele,"28' 7""",200.25,7,57,"3' 8"""
2023,14,0,35532,Tom Hoge,"28' 6""",170.75,6,75,"3' 6"""
2023,15,0,39954,Cody Gribble,"27' 6""",54.917,2,44,"11' 3"""
2023,16,0,33948,Byeong Hun An,"27' 5""",164.583,6,67,"12' 7"""
2023,17,0,35879,Kelly Kraft,"27' 0""",54.0,2,34,"19' 11"""
2023,18,0,55454,Carl Yuan,"26' 8""",159.917,6,72,"7' 0"""
2023,19,0,35506,Mackenzie Hughes,"26' 5""",105.583,4,51,"9' 5"""
2023,20,0,51766,Wyndham Clark,"26' 3""",131.333,5,42,"10' 4"""
2023,21,0,39067,MJ Daffue,"26' 0""",51.917,2,33,"18' 11"""
2023,22,0,30692,Scott Stallings,"25' 10""",103.333,4,76,"4' 7"""
2023,23,0,36801,Mark Hubbard,"25' 9""",103.083,4,51,"2' 4"""
2023,23,0,51491,Brandon Matthews,"25' 9""",103.083,4,77,"3' 1"""
2023,25,0,28237,Rory McIlroy,"25' 3""",75.75,3,72,"1' 5"""
2023,26,0,29725,Tony Finau,"25' 2""",50.25,2,49,"1' 0"""
2023,27,0,56762,Will Gordon,"24' 6""",244.75,10,49,"1' 6"""
2023,28,0,24925,Jonathan Byrd,"24' 2""",48.25,2,39,"9' 1"""
2023,29,0,32757,Patton Kizzire,"23' 11""",167.25,7,54,"3' 9"""
2023,30,0,25900,Lucas Glover,"23' 8""",118.417,5,33,"8' 11"""
2023,31,0,55789,Taylor Montgomery,"23' 4""",373.583,16,69,"2' 7"""
2023,32,0,57975,Harry Hall,"22' 11""",137.5,6,64,"10"""
2023,33,0,28089,Jason Day,"22' 9""",91.0,4,43,"5' 9"""
2023,34,0,39335,Kevin Roy,"22' 6""",157.417,7,47,"2' 6"""
2023,35,0,27963,Chris Stroud,"22' 0""",44.0,2,33,"11' 3"""
2023,36,0,35449,Adam Long,"21' 9""",130.417,6,39,"10' 1"""
2023,37,0,31646,Emiliano Grillo,"21' 6""",43.0,2,24,"19' 5"""
2023,37,0,30926,Chris Kirk,"21' 6""",150.333,7,55,"8' 8"""
2023,39,0,46046,Scottie Scheffler,"21' 1""",105.25,5,40,"10' 5"""
2023,40,0,25818,Scott Piercy,"21' 0""",62.917,3,34,"12' 3"""
2023,41,0,45157,Cam Davis,"20' 10""",187.5,9,49,"5' 9"""
2023,41,0,46970,Jon Rahm,"20' 10""",166.917,8,42,"3' 8"""
2023,43,0,55893,Sam Stevens,"20' 7""",82.25,4,49,"9' 0"""
2023,44,0,35901,Paul Haley II,"20' 6""",81.833,4,43,"10' 2"""
2023,44,0,32816,Satoshi Kodaira,"20' 6""",61.583,3,48,"4' 8"""
2023,46,0,51997,Andrew Novak,"20' 5""",61.333,3,40,"7' 3"""
2023,46,0,48887,Matt Wallace,"20' 5""",61.167,3,35,"5' 9"""
2023,48,0,52453,Nicolai Hojgaard,"20' 4""",60.917,3,30,"14' 6"""
2023,48,0,45242,Kevin Yu,"20' 4""",101.5,5,33,"7' 7"""
2023,50,0,35310,Lanto Griffin,"20' 3""",101.083,5,51,"11' 7"""
2023,51,0,40098,Matt Fitzpatrick,"20' 1""",100.417,5,34,"4' 0"""
2023,52,0,39971,Sungjae Im,"20' 0""",159.75,8,64,"2' 4"""
2023,53,0,52375,Doug Ghim,"19' 10""",99.167,5,49,"10' 4"""
2023,53,0,34256,Andrew Putnam,"19' 10""",59.417,3,38,"4' 0"""
2023,55,0,45522,Christiaan Bezuidenhout,"19' 9""",118.417,6,48,"8' 5"""
2023,55,0,34466,Peter Malnati,"19' 9""",138.25,7,56,"7' 7"""
2023,57,0,28252,Seamus Power,"19' 7""",58.667,3,29,"5' 3"""
2023,58,0,28775,Nate Lashley,"19' 6""",116.917,6,39,"5' 7"""
2023,59,0,46717,Viktor Hovland,"19' 5""",77.75,4,33,"4' 8"""
2023,60,0,52374,Brandon Wu,"19' 3""",172.917,9,44,"3' 9"""
2023,61,0,39997,Corey Conners,"19' 1""",133.333,7,44,"2' 4"""
2023,62,0,46442,Maverick McNealy,"18' 11""",37.833,2,21,"16' 10"""
2023,63,0,47504,Sam Burns,"18' 10""",56.417,3,23,"11' 3"""
2023,64,0,46601,Trey Mullinax,"18' 9""",37.417,2,24,"13' 4"""
2023,65,0,24502,Adam Scott,"18' 8""",56.083,3,29,"12' 5"""
2023,66,0,34099,Harris English,"18' 7""",55.667,3,34,"10' 2"""
2023,67,0,32333,Kevin Tway,"18' 6""",203.917,11,41,"1' 10"""
2023,68,0,51070,Vincent Norrman,"18' 5""",92.167,5,48,"3' 2"""
2023,68,0,50095,Austin Smotherman,"18' 5""",110.333,6,60,"6"""
2023,70,0,27214,Kevin Streelman,"18' 2""",36.333,2,20,"16' 2"""
2023,71,0,33204,Shane Lowry,"17' 11""",107.333,6,35,"5' 5"""
2023,72,0,33597,Harry Higgs,"17' 10""",71.167,4,51,"1' 9"""
2023,72,0,29221,Webb Simpson,"17' 10""",124.583,7,62,"2' 3"""
2023,74,0,47993,Denny McCarthy,"17' 9""",141.917,8,51,"3' 3"""
2023,75,0,26476,Chez Reavie,"17' 6""",105.167,6,58,"3' 1"""
2023,76,0,27095,Nick Watney,"17' 5""",69.75,4,33,"3' 8"""
2023,77,0,25686,Jason Dufner,"17' 4""",69.25,4,22,"11' 6"""
2023,78,0,23108,Matt Kuchar,"17' 2""",86.0,5,31,"4' 5"""
2023,78,0,22405,Justin Rose,"17' 2""",68.75,4,35,"4' 0"""
2023,80,0,31577,Tano Goya,"17' 1""",17.083,1,17,"17' 1"""
2023,80,0,51950,Max McGreevy,"17' 1""",102.25,6,29,"3' 8"""
2023,82,0,49298,Kramer Hickok,"17' 0""",67.917,4,33,"3' 10"""
2023,83,0,34563,Chesson Hadley,"16' 9""",100.583,6,44,"5' 2"""
2023,84,0,27554,Scott Harrington,"16' 8""",100.0,6,47,"7' 10"""
2023,85,0,39546,Keith Mitchell,"16' 7""",49.667,3,26,"9' 7"""
2023,86,0,35617,Martin Trainer,"16' 6""",66.0,4,31,"7' 6"""
2023,87,0,27349,Alex Noren,"16' 4""",81.583,5,43,"1' 3"""
2023,87,0,49771,J.T. Poston,"16' 4""",147.083,9,30,"4' 8"""
2023,89,0,46340,Alex Smalley,"16' 2""",113.167,7,47,"3' 5"""
2023,90,0,49947,Taylor Moore,"16' 1""",80.417,5,27,"8' 3"""
2023,90,0,47128,Richy Werenski,"16' 1""",96.25,6,42,"6' 10"""
2023,92,0,32662,Michael Gligic,"15' 10""",63.25,4,44,"1' 2"""
2023,92,0,39058,Lucas Herbert,"15' 10""",15.833,1,16,"15' 10"""
2023,92,0,50188,S.H. Kim,"15' 10""",79.0,5,32,"4' 11"""
2023,95,0,54628,Lee Hodges,"15' 9""",110.167,7,37,"2' 8"""
2023,96,0,39324,J.J. Spaun,"15' 8""",78.5,5,55,"2' 3"""
2023,97,0,34363,Tyrrell Hatton,"15' 7""",109.25,7,40,"2' 3"""
2023,98,0,20229,Stewart Cink,"15' 6""",77.667,5,33,"1' 6"""
2023,99,0,33399,Adam Hadwin,"15' 5""",46.333,3,20,"8' 10"""
2023,99,0,47988,Nick Hardy,"15' 5""",139.0,9,37,"3' 8"""
2023,99,0,47983,Chad Ramey,"15' 5""",77.0,5,29,"8' 2"""
2023,102,0,57362,Austin Eckroat,"15' 4""",76.75,5,34,"2' 10"""
2023,103,0,25632,Jimmy Walker,"15' 2""",45.417,3,18,"13' 1"""
2023,104,0,34255,Joseph Bramlett,"15' 0""",30.0,2,24,"5' 9"""
2023,104,0,34431,Robert Streb,"15' 0""",75.0,5,25,"9' 3"""
2023,106,0,58696,Peter Kuest,"14' 11""",74.75,5,43,"4' 4"""
2023,107,0,49453,Trevor Cone,"14' 7""",72.75,5,27,"4' 11"""
2023,108,0,47079,Harrison Endycott,"14' 4""",71.75,5,33,"4' 1"""
2023,109,0,28420,Ryan Brehm,"14' 3""",99.583,7,21,"9' 6"""
2023,110,0,47591,Eric Cole,"14' 2""",113.5,8,35,"3' 6"""
2023,110,0,12716,Charley Hoffman,"14' 2""",28.25,2,22,"6' 1"""
2023,110,0,46414,Aaron Rai,"14' 2""",56.667,4,17,"11' 8"""
2023,113,0,37455,Si Woo Kim,"13' 10""",27.583,2,17,"11' 1"""
2023,114,0,29420,Billy Horschel,"13' 9""",27.5,2,21,"7' 0"""
2023,115,0,48119,Ben Taylor,"13' 6""",26.917,2,14,"12' 9"""
2023,115,0,30927,Brendon Todd,"13' 6""",67.417,5,26,"5' 9"""
2023,117,0,59018,Ryan Gerard,"13' 5""",53.583,4,25,"1' 1"""
2023,117,0,40006,Erik van Rooyen,"13' 5""",40.25,3,15,"12' 7"""
2023,119,0,29535,Brice Garnett,"13' 4""",26.583,2,16,"10' 9"""
2023,120,0,27129,Luke List,"13' 1""",65.417,5,28,"5"""
2023,120,0,50525,Collin Morikawa,"13' 1""",91.333,7,31,"2' 8"""
2023,122,0,55708,Hayden Buckley,"12' 11""",103.333,8,39,"2' 3"""
2023,123,0,54421,Garrick Higgo,"12' 10""",102.833,8,26,"3' 3"""
2023,124,0,40115,Adam Svensson,"12' 8""",75.917,6,24,"6' 5"""
2023,125,0,33408,Tyson Alexander,"12' 6""",37.417,3,25,"6' 2"""
2023,125,0,29908,C.T. Pan,"12' 6""",74.75,6,24,"4' 11"""
2023,127,0,48867,Matti Schmid,"12' 5""",124.0,10,35,"11"""
2023,128,0,32102,Rickie Fowler,"12' 4""",74.167,6,27,"3' 4"""
2023,128,0,49766,Hank Lebioda,"12' 4""",12.333,1,12,"12' 4"""
2023,128,0,51634,Sahith Theegala,"12' 4""",49.417,4,20,"1' 6"""
2023,131,0,27936,Martin Laird,"12' 3""",24.417,2,21,"3' 11"""
2023,132,0,51414,Brent Grant,"12' 2""",109.417,9,45,"2' 1"""
2023,132,0,32791,K.H. Lee,"12' 2""",48.583,4,22,"9"""
2023,134,0,36799,Stephan Jaeger,"12' 1""",48.417,4,19,"1' 9"""
2023,135,0,33448,Justin Thomas,"12' 0""",60.167,5,21,"4' 2"""
2023,136,0,46435,Austin Cook,"11' 11""",23.75,2,17,"6' 10"""
2023,136,0,39975,Michael Kim,"11' 11""",47.667,4,19,"6' 2"""
2023,138,0,30163,Henrik Norlander,"11' 10""",35.417,3,18,"8' 2"""
2023,139,0,47347,Adam Schenk,"11' 9""",70.667,6,28,"10"""
2023,140,0,36326,David Lipsky,"11' 8""",70.167,6,27,"1' 3"""
2023,140,0,40250,Taylor Pendrith,"11' 8""",34.917,3,18,"7' 9"""
2023,142,0,36871,Matt NeSmith,"11' 7""",81.167,7,26,"4' 4"""
2023,143,0,33141,Keegan Bradley,"11' 6""",11.5,1,12,"11' 6"""
2023,143,0,49960,Sepp Straka,"11' 6""",45.833,4,20,"4' 0"""
2023,145,0,51349,Nico Echavarria,"11' 5""",22.833,2,17,"5' 10"""
2023,145,0,37275,Sam Ryder,"11' 5""",22.75,2,14,"8' 4"""
2023,147,0,36724,Augusto Núñez,"11' 4""",79.333,7,26,"1' 10"""
2023,147,0,36699,Patrick Rodgers,"11' 4""",56.833,5,24,"1' 9"""
2023,149,0,52955,Ludvig Åberg,"11' 3""",101.583,9,26,"3' 1"""
2023,150,0,51890,Greyson Sigg,"11' 2""",78.417,7,17,"3' 4"""
2023,151,0,39977,Max Homa,"11' 1""",77.417,7,23,"10"""
2023,152,0,27644,Brian Harman,"10' 11""",54.667,5,24,"3' 4"""
2023,152,0,22056,Cameron Percy,"10' 11""",10.917,1,11,"10' 11"""
2023,154,0,47995,Davis Riley,"10' 10""",75.667,7,21,"2' 4"""
