YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
2024,0,26596,Ryan Moore,62.13%,251,404
2024,0,33486,Roger Sloan,62.11%,241,388
2024,0,24502,Adam Scott,62.09%,267,430
2024,0,30927,Brendon Todd,62.01%,408,658
2024,0,59442,Parker Coody,61.90%,208,336
2024,0,56630,Akshay Bhatia,61.79%,325,526
2024,0,40098,Matt Fitzpatrick,61.76%,281,455
2024,0,55789,Taylor Montgomery,61.72%,237,384
2024,0,24024,Zach Johnson,61.64%,180,292
2024,0,47591,Eric Cole,61.61%,443,719
2024,0,27644,Brian Harman,61.50%,329,535
2024,0,40115,Adam Svensson,61.44%,384,625
2024,0,32367,Jorge Campillo,61.27%,193,315
2024,0,60004,Jacob Bridgeman,61.26%,272,444
2024,0,54576,Patrick Fishburn,61.23%,199,325
2024,0,47806,Raul Pereda,61.22%,221,361
2024,0,27936,Martin Laird,61.21%,243,397
2024,0,47483,Will Zalatoris,61.17%,252,412
2024,0,34255,Joseph Bramlett,61.10%,278,455
2024,0,29221,Webb Simpson,60.97%,214,351
2024,0,51634,Sahith Theegala,60.97%,328,538
2024,0,58168,Davis Thompson,60.83%,309,508
2024,0,29535,Brice Garnett,60.80%,152,250
2024,0,47504,Sam Burns,60.78%,282,464
2024,0,48887,Matt Wallace,60.68%,213,351
2024,0,50484,Hayden Springer,60.65%,242,399
2024,0,49947,Taylor Moore,60.60%,363,599
2024,0,25493,Nick Taylor,60.46%,318,526
2024,0,33653,Thomas Detry,60.41%,267,442
2024,0,36699,Patrick Rodgers,60.41%,328,543
2024,0,54628,Lee Hodges,60.34%,315,522
2024,0,23108,Matt Kuchar,60.32%,266,441
2024,0,39546,Keith Mitchell,60.32%,260,431
2024,0,32757,Patton Kizzire,60.06%,188,313
2024,0,45609,Tyler Duncan,60.05%,245,408
2024,0,26476,Chez Reavie,60.05%,227,378
2024,0,49771,J.T. Poston,59.92%,311,519
2024,0,45242,Kevin Yu,59.89%,224,374
2024,0,51766,Wyndham Clark,59.81%,250,418
2024,0,51696,Rico Hoey,59.77%,263,440
2024,0,32791,K.H. Lee,59.69%,271,454
2024,0,36799,Stephan Jaeger,59.63%,288,483
2024,0,46441,Robby Shelton,59.63%,288,483
2024,0,47679,Victor Perez,59.56%,243,408
2024,0,32333,Kevin Tway,59.50%,191,321
2024,0,30926,Chris Kirk,59.49%,282,474
2024,0,47347,Adam Schenk,59.45%,343,577
2024,0,50095,Austin Smotherman,59.38%,152,256
2024,0,49960,Sepp Straka,59.33%,267,450
2024,0,54783,Dylan Wu,59.26%,272,459
2024,0,50188,S.H. Kim,59.16%,423,715
2024,0,36801,Mark Hubbard,59.08%,335,567
2024,0,57366,Cameron Young,59.03%,291,493
2024,0,52374,Brandon Wu,59.02%,278,471
2024,0,25900,Lucas Glover,58.99%,305,517
2024,0,48084,Wesley Bryan,58.82%,160,272
2024,0,32070,Rafael Campos,58.77%,201,342
2024,0,40250,Taylor Pendrith,58.76%,265,451
2024,0,34466,Peter Malnati,58.73%,306,521
2024,0,33204,Shane Lowry,58.65%,244,416
2024,0,23320,Ryan Palmer,58.63%,163,278
2024,0,51287,Ryo Hisatsune,58.61%,262,447
2024,0,59095,Chris Gotterup,58.60%,242,413
2024,0,52513,Carson Young,58.60%,276,471
2024,0,55454,Carl Yuan,58.59%,249,425
2024,0,40162,Justin Lower,58.57%,311,531
2024,0,48153,Matthieu Pavon,58.55%,226,386
2024,0,32366,Kevin Chappell,58.44%,187,320
2024,0,34076,Joel Dahmen,58.41%,271,464
2024,0,12716,Charley Hoffman,58.41%,243,416
2024,0,33948,Byeong Hun An,58.35%,255,437
2024,0,32102,Rickie Fowler,58.35%,283,485
2024,0,48867,Matti Schmid,58.35%,248,425
2024,0,32640,Troy Merritt,58.19%,263,452
2024,0,56149,Wilson Furr,58.14%,200,344
2024,0,29725,Tony Finau,58.05%,256,441
2024,0,51349,Nico Echavarria,58.02%,275,474
2024,0,55182,Tom Kim,58.00%,279,481
2024,0,47983,Chad Ramey,57.94%,270,466
2024,0,55708,Hayden Buckley,57.89%,253,437
2024,0,31646,Emiliano Grillo,57.85%,302,522
2024,0,35532,Tom Hoge,57.82%,340,588
2024,0,27139,David Skinns,57.79%,256,443
2024,0,35617,Martin Trainer,57.77%,197,341
2024,0,39324,J.J. Spaun,57.76%,242,419
2024,0,39975,Michael Kim,57.70%,251,435
2024,0,36326,David Lipsky,57.61%,227,394
2024,0,33408,Tyson Alexander,57.55%,286,497
2024,0,52372,Cameron Champ,57.54%,187,325
2024,0,45157,Cam Davis,57.51%,291,506
2024,0,47988,Nick Hardy,57.36%,265,462
2024,0,47995,Davis Riley,57.36%,269,469
2024,0,34563,Chesson Hadley,57.33%,215,375
2024,0,60067,Joe Highsmith,57.22%,214,374
2024,0,40006,Erik van Rooyen,57.11%,245,429
2024,0,52514,Trace Crowe,57.07%,234,410
2024,0,52666,Sami Valimaki,57.03%,215,377
2024,0,27064,Jhonattan Vegas,56.82%,204,359
2024,0,46340,Alex Smalley,56.78%,222,391
2024,0,57362,Austin Eckroat,56.75%,311,548
2024,0,34374,Erik Barnes,56.57%,211,373
2024,0,39997,Corey Conners,56.56%,263,465
2024,0,33968,Thorbjørn Olesen,56.55%,177,313
2024,0,36871,Matt NeSmith,56.43%,215,381
2024,0,33141,Keegan Bradley,56.41%,264,468
2024,0,46113,Ryan McCormick,56.36%,195,346
2024,0,29478,Kevin Kisner,56.01%,205,366
2024,0,27649,Brandt Snedeker,55.94%,212,379
2024,0,52453,Nicolai Højgaard,55.87%,200,358
2024,0,29936,Ryan Fox,55.86%,267,478
2024,0,27129,Luke List,55.86%,248,444
2024,0,40026,Daniel Berger,55.84%,220,394
2024,0,27214,Kevin Streelman,55.81%,221,396
2024,0,54421,Garrick Higgo,55.80%,255,457
2024,0,47663,Kevin Dougherty,55.75%,194,348
2024,0,50497,Adrien Dumont de Chassart,55.56%,250,450
2024,0,37275,Sam Ryder,55.53%,241,434
2024,0,33399,Adam Hadwin,55.51%,277,499
2024,0,48319,Tom Whitney,55.44%,209,377
2024,0,37378,Min Woo Lee,55.23%,227,411
2024,0,46717,Viktor Hovland,55.15%,182,330
2024,0,59836,Pierceson Coody,55.00%,242,440
2024,0,59866,Nick Dunlap,54.99%,237,431
2024,0,47420,Jake Knapp,54.60%,255,467
2024,0,27330,Josh Teater,54.39%,161,296
2024,0,48119,Ben Taylor,54.07%,219,405
2024,0,34046,Jordan Spieth,53.95%,232,430
2024,0,35310,Lanto Griffin,53.93%,192,356
2024,0,36884,Ben Kohles,53.59%,246,459
2024,0,50493,Justin Suh,53.53%,235,439
2024,0,31323,Gary Woodland,53.50%,260,486
2024,0,28420,Ryan Brehm,53.01%,194,366
2024,0,48699,Callum Tarren,52.96%,224,423
2024,0,38991,Alejandro Tosti,51.84%,225,434
2024,0,51070,Vincent Norrman,51.79%,145,280
2024,0,27770,Camilo Villegas,51.16%,177,346
2024,0,37212,Paul Barjon,50.42%,178,353
2024,0,60767,Blaine Hale Jr.,49.85%,162,325
2023,0,27644,Brian Harman,67.34%,365,542
2023,0,23108,Matt Kuchar,66.16%,348,526
2023,0,39324,J.J. Spaun,65.99%,357,541
2023,0,24925,Jonathan Byrd,65.69%,247,376
2023,0,30911,Tommy Fleetwood,65.47%,309,472
2023,0,32816,Satoshi Kodaira,65.43%,229,350
2023,0,30927,Brendon Todd,65.40%,414,633
2023,0,22371,Aaron Baddeley,65.11%,321,493
2023,0,47993,Denny McCarthy,65.04%,387,595
2023,0,46046,Scottie Scheffler,64.94%,263,405
2023,0,46435,Austin Cook,64.92%,346,533
2023,0,33948,Byeong Hun An,64.90%,440,678
2023,0,40098,Matt Fitzpatrick,64.63%,296,458
2023,0,46442,Maverick McNealy,64.59%,270,418
2023,0,39977,Max Homa,64.52%,331,513
2023,0,34256,Andrew Putnam,64.46%,390,605
2023,0,50188,S.H. Kim,64.07%,469,732
2023,0,34098,Russell Henley,63.99%,295,461
2023,0,34363,Tyrrell Hatton,63.98%,302,472
2023,0,34099,Harris English,63.92%,395,618
2023,0,26596,Ryan Moore,63.89%,292,457
2023,0,28089,Jason Day,63.88%,306,479
2023,0,32839,Hideki Matsuyama,63.78%,331,519
2023,0,49298,Kramer Hickok,63.69%,349,548
2023,0,24140,Sean O'Hair,63.58%,199,313
2023,0,52375,Doug Ghim,63.52%,303,477
2023,0,37455,Si Woo Kim,63.52%,390,614
2023,0,47591,Eric Cole,63.39%,490,773
2023,0,35450,Patrick Cantlay,63.27%,248,392
2023,0,51997,Andrew Novak,63.23%,356,563
2023,0,31202,William McGirt,63.19%,206,326
2023,0,45522,Christiaan Bezuidenhout,63.15%,353,559
2023,0,22056,Cameron Percy,63.14%,233,369
2023,0,48081,Xander Schauffele,63.04%,290,460
2023,0,34046,Jordan Spieth,62.88%,293,466
2023,0,30163,Henrik Norlander,62.85%,318,506
2023,0,33653,Thomas Detry,62.74%,389,620
2023,0,25900,Lucas Glover,62.71%,333,531
2023,0,27349,Alex Noren,62.68%,351,560
2023,0,39971,Sungjae Im,62.58%,393,628
2023,0,30926,Chris Kirk,62.50%,345,552
2023,0,40115,Adam Svensson,62.50%,440,704
2023,0,32139,Danny Willett,62.39%,292,468
2023,0,35461,Beau Hossler,62.35%,409,656
2023,0,36799,Stephan Jaeger,62.35%,404,648
2023,0,27963,Chris Stroud,62.31%,200,321
2023,0,57362,Austin Eckroat,62.15%,358,576
2023,0,46717,Viktor Hovland,62.10%,313,504
2023,0,54591,Ben Griffin,62.06%,440,709
2023,0,48084,Wesley Bryan,62.05%,188,303
2023,0,51766,Wyndham Clark,61.99%,367,592
2023,0,33399,Adam Hadwin,61.99%,318,513
2023,0,36699,Patrick Rodgers,61.97%,391,631
2023,0,22405,Justin Rose,61.96%,259,418
2023,0,47504,Sam Burns,61.89%,328,530
2023,0,25818,Scott Piercy,61.84%,384,621
2023,0,46340,Alex Smalley,61.81%,382,618
2023,0,51890,Greyson Sigg,61.79%,359,581
2023,0,58696,Peter Kuest,61.75%,134,217
2023,0,49947,Taylor Moore,61.66%,402,652
2023,0,47347,Adam Schenk,61.65%,426,691
2023,0,55182,Tom Kim,61.54%,304,494
2023,0,46970,Jon Rahm,61.54%,232,377
2023,0,32102,Rickie Fowler,61.52%,339,551
2023,0,45157,Cam Davis,61.36%,324,528
2023,0,28237,Rory McIlroy,61.35%,227,370
2023,0,31577,Tano Goya,61.34%,311,507
2023,0,35506,Mackenzie Hughes,61.34%,338,551
2023,0,29725,Tony Finau,61.24%,286,467
2023,0,36724,Augusto Núñez,61.00%,294,482
2023,0,36801,Mark Hubbard,60.99%,405,664
2023,0,32640,Troy Merritt,60.87%,350,575
2023,0,54628,Lee Hodges,60.84%,404,664
2023,0,52955,Ludvig Åberg,60.83%,146,240
2023,0,47079,Harrison Endycott,60.81%,329,541
2023,0,55789,Taylor Montgomery,60.74%,413,680
2023,0,39954,Cody Gribble,60.64%,248,409
2023,0,39975,Michael Kim,60.61%,337,556
2023,0,35449,Adam Long,60.58%,415,685
2023,0,46441,Robby Shelton,60.53%,391,646
2023,0,25493,Nick Taylor,60.42%,348,576
2023,0,37275,Sam Ryder,60.39%,401,664
2023,0,35310,Lanto Griffin,60.37%,195,323
2023,0,31560,Brian Stuard,60.32%,298,494
2023,0,46414,Aaron Rai,60.28%,346,574
2023,0,34563,Chesson Hadley,60.19%,313,520
2023,0,30692,Scott Stallings,60.19%,310,515
2023,0,40162,Justin Lower,60.06%,394,656
2023,0,34466,Peter Malnati,60.06%,382,636
2023,0,48887,Matt Wallace,60.00%,321,535
2023,0,12716,Charley Hoffman,59.87%,276,461
2023,0,32333,Kevin Tway,59.86%,349,583
2023,0,34431,Robert Streb,59.84%,292,488
2023,0,39058,Lucas Herbert,59.81%,253,423
2023,0,50525,Collin Morikawa,59.81%,253,423
2023,0,25632,Jimmy Walker,59.71%,332,556
2023,0,24024,Zach Johnson,59.67%,250,419
2023,0,34255,Joseph Bramlett,59.65%,272,456
2023,0,33410,Andrew Landry,59.65%,309,518
2023,0,54783,Dylan Wu,59.65%,337,565
2023,0,57975,Harry Hall,59.64%,368,617
2023,0,47983,Chad Ramey,59.54%,359,603
2023,0,29908,C.T. Pan,59.51%,169,284
2023,0,32791,K.H. Lee,59.50%,360,605
2023,0,32757,Patton Kizzire,59.17%,355,600
2023,0,34409,David Lingmerth,59.16%,365,617
2023,0,29535,Brice Garnett,59.08%,270,457
2023,0,51634,Sahith Theegala,59.04%,395,669
2023,0,48117,Kurt Kitayama,59.03%,281,476
2023,0,56630,Akshay Bhatia,59.01%,262,444
2023,0,34610,Matthias Schwab,58.93%,376,638
2023,0,27214,Kevin Streelman,58.93%,340,577
2023,0,33413,Ben Martin,58.91%,347,589
2023,0,35879,Kelly Kraft,58.88%,315,535
2023,0,33448,Justin Thomas,58.78%,261,444
2023,0,49766,Hank Lebioda,58.71%,209,356
2023,0,49771,J.T. Poston,58.65%,329,561
2023,0,27936,Martin Laird,58.63%,282,481
2023,0,40058,Zac Blair,58.60%,276,471
2023,0,58168,Davis Thompson,58.60%,310,529
2023,0,20229,Stewart Cink,58.49%,286,489
2023,0,28775,Nate Lashley,58.49%,341,583
2023,0,54421,Garrick Higgo,58.47%,359,614
2023,0,39546,Keith Mitchell,58.42%,319,546
2023,0,31646,Emiliano Grillo,58.37%,380,651
2023,0,34076,Joel Dahmen,58.17%,317,545
2023,0,50095,Austin Smotherman,58.11%,351,604
2023,0,35532,Tom Hoge,58.10%,355,611
2023,0,26476,Chez Reavie,58.09%,316,544
2023,0,32366,Kevin Chappell,58.07%,187,322
2023,0,28252,Seamus Power,58.04%,296,510
2023,0,40250,Taylor Pendrith,58.01%,315,543
2023,0,51349,Nico Echavarria,58.00%,279,481
2023,0,33122,Russell Knox,58.00%,337,581
2023,0,39335,Kevin Roy,58.00%,250,431
2023,0,35617,Martin Trainer,57.72%,228,395
2023,0,39067,MJ Daffue,57.68%,353,612
2023,0,55893,Sam Stevens,57.65%,358,621
2023,0,58967,Trevor Werbylo,57.65%,309,536
2023,0,35901,Paul Haley II,57.63%,336,583
2023,0,52374,Brandon Wu,57.63%,374,649
2023,0,29289,S.Y. Noh,57.60%,235,408
2023,0,25686,Jason Dufner,57.59%,296,514
2023,0,51070,Vincent Norrman,57.59%,273,474
2023,0,52513,Carson Young,57.56%,312,542
2023,0,39997,Corey Conners,57.48%,265,461
2023,0,47988,Nick Hardy,57.32%,376,656
2023,0,57366,Cameron Young,57.29%,275,480
2023,0,24502,Adam Scott,57.28%,240,419
2023,0,23320,Ryan Palmer,57.24%,261,456
2023,0,36871,Matt NeSmith,57.17%,311,544
2023,0,29970,Dylan Frittelli,57.14%,324,567
2023,0,33597,Harry Higgs,57.12%,305,534
2023,0,45609,Tyler Duncan,57.09%,282,494
2023,0,47128,Richy Werenski,57.01%,378,663
2023,0,33141,Keegan Bradley,57.00%,277,486
2023,0,33408,Tyson Alexander,56.96%,352,618
2023,0,59018,Ryan Gerard,56.92%,222,390
2023,0,46601,Trey Mullinax,56.87%,265,466
2023,0,33204,Shane Lowry,56.65%,213,376
2023,0,19803,Ryan Armour,56.64%,290,512
2023,0,31323,Gary Woodland,56.58%,271,479
2023,0,37338,Zecheng Dou,56.36%,319,566
2023,0,55708,Hayden Buckley,56.33%,267,474
2023,0,29221,Webb Simpson,56.27%,211,375
2023,0,48119,Ben Taylor,56.25%,378,672
2023,0,36326,David Lipsky,56.22%,339,603
2023,0,48699,Callum Tarren,56.08%,323,576
2023,0,50493,Justin Suh,55.86%,386,691
2023,0,29420,Billy Horschel,55.80%,231,414
2023,0,49453,Trevor Cone,55.58%,249,448
2023,0,55454,Carl Yuan,55.56%,275,495
2023,0,51950,Max McGreevy,55.39%,334,603
2023,0,27129,Luke List,55.13%,290,526
2023,0,27554,Scott Harrington,54.96%,266,484
2023,0,49960,Sepp Straka,54.75%,288,526
2023,0,47995,Davis Riley,54.65%,341,624
2023,0,52411,Kyle Westmoreland,54.51%,260,477
2023,0,48867,Matti Schmid,54.36%,243,447
2023,0,32662,Michael Gligic,54.35%,256,471
2023,0,28420,Ryan Brehm,54.10%,297,549
2023,0,31557,Jim Herman,54.10%,244,451
2023,0,45242,Kevin Yu,54.00%,189,350
2023,0,27974,Sung Kang,53.98%,156,289
2023,0,27095,Nick Watney,53.60%,268,500
2023,0,32448,James Hahn,53.51%,244,456
2023,0,53165,Doc Redman,53.32%,225,422
2023,0,52453,Nicolai Hojgaard,53.31%,137,257
2023,0,40006,Erik van Rooyen,53.15%,236,444
2023,0,52372,Cameron Champ,52.90%,228,431
2023,0,56762,Will Gordon,52.14%,304,583
2023,0,51414,Brent Grant,50.84%,243,478
2023,0,51491,Brandon Matthews,50.53%,191,378
2022,0,40098,Matt Fitzpatrick,69.62,291,418
2022,0,23108,Matt Kuchar,69.2,319,461
2022,0,33204,Shane Lowry,67.46,226,335
2022,0,45522,Christiaan Bezuidenhout,66.05,323,489
2022,0,39971,Sungjae Im,66.02,305,462
2022,0,34256,Andrew Putnam,65.72,372,566
2022,0,47993,Denny McCarthy,65.54,409,624
2022,0,35450,Patrick Cantlay,65.43,246,376
2022,0,24925,Jonathan Byrd,65.42,227,347
2022,0,49771,J.T. Poston,64.9,342,527
2022,0,33448,Justin Thomas,64.67,280,433
2022,0,27349,Alex Noren,64.56,255,395
2022,0,30911,Tommy Fleetwood,64.45,223,346
2022,0,30927,Brendon Todd,64.44,337,523
2022,0,27214,Kevin Streelman,64.41,342,531
2022,0,35532,Tom Hoge,64.26,374,582
2022,0,35449,Adam Long,64.23,334,520
2022,0,32839,Hideki Matsuyama,64.23,264,411
2022,0,36801,Mark Hubbard,63.92,248,388
2022,0,39546,Keith Mitchell,63.67,319,501
2022,0,23325,Vaughn Taylor,63.64,203,319
2022,0,29725,Tony Finau,63.6,283,445
2022,0,24924,Bill Haas,63.46,363,572
2022,0,27936,Martin Laird,63.34,235,371
2022,0,29535,Brice Garnett,63.08,287,455
2022,0,51634,Sahith Theegala,63.05,430,682
2022,0,28252,Seamus Power,62.95,277,440
2022,0,27644,Brian Harman,62.89,339,539
2022,0,30926,Chris Kirk,62.89,322,512
2022,0,28237,Rory McIlroy,62.77,204,325
2022,0,49964,Aaron Wise,62.63,300,479
2022,0,29420,Billy Horschel,62.59,251,401
2022,0,57366,Cameron Young,62.55,324,518
2022,0,45609,Tyler Duncan,62.47,298,477
2022,0,32150,Michael Thompson,62.43,339,543
2022,0,46435,Austin Cook,62.19,278,447
2022,0,51997,Andrew Novak,62.13,297,478
2022,0,32640,Troy Merritt,62.06,373,601
2022,0,48081,Xander Schauffele,62.04,237,382
2022,0,34046,Jordan Spieth,61.98,269,434
2022,0,45486,Joaquin Niemann,61.9,286,462
2022,0,24361,Pat Perez,61.9,247,399
2022,0,30692,Scott Stallings,61.87,370,598
2022,0,31560,Brian Stuard,61.85,347,561
2022,0,47529,Mito Pereira,61.81,301,487
2022,0,33399,Adam Hadwin,61.61,321,521
2022,0,37455,Si Woo Kim,61.45,373,607
2022,0,34431,Robert Streb,61.35,327,533
2022,0,19803,Ryan Armour,61.3,179,292
2022,0,36852,Jim Knous,61.24,207,338
2022,0,26851,Marc Leishman,61.24,267,436
2022,0,24138,Ian Poulter,61.2,183,299
2022,0,51890,Greyson Sigg,61.12,316,517
2022,0,31323,Gary Woodland,61.05,257,421
2022,0,49766,Hank Lebioda,61.01,302,495
2022,0,34360,Patrick Reed,60.98,286,469
2022,0,52375,Doug Ghim,60.95,309,507
2022,0,32448,James Hahn,60.87,266,437
2022,0,22056,Cameron Percy,60.84,160,263
2022,0,37189,Harold Varner III,60.82,253,416
2022,0,51766,Wyndham Clark,60.79,369,607
2022,0,39058,Lucas Herbert,60.73,249,410
2022,0,46402,Talor Gooch,60.71,238,392
2022,0,45526,Abraham Ancer,60.69,210,346
2022,0,30944,Jason Kokrak,60.63,231,381
2022,0,28775,Nate Lashley,60.63,268,442
2022,0,33597,Harry Higgs,60.61,337,556
2022,0,32139,Danny Willett,60.61,240,396
2022,0,29518,Brendan Steele,60.55,244,403
2022,0,40250,Taylor Pendrith,60.53,227,375
2022,0,46340,Alex Smalley,60.45,321,531
2022,0,26476,Chez Reavie,60.35,309,512
2022,0,21961,Charles Howell III,60.28,170,282
2022,0,48822,Sebastián Muñoz,60.28,302,501
2022,0,46414,Aaron Rai,60.2,301,500
2022,0,48084,Wesley Bryan,60.17,207,344
2022,0,29908,C.T. Pan,60.12,297,494
2022,0,36799,Stephan Jaeger,60.11,336,559
2022,0,39324,J.J. Spaun,60.11,339,564
2022,0,25493,Nick Taylor,60.07,331,551
2022,0,26300,Matt Jones,60.05,227,378
2022,0,39977,Max Homa,59.96,301,502
2022,0,28089,Jason Day,59.94,217,362
2022,0,35891,Cameron Smith,59.94,214,357
2022,0,46046,Scottie Scheffler,59.9,251,419
2022,0,29974,Branden Grace,59.88,194,324
2022,0,32791,K.H. Lee,59.87,361,603
2022,0,25818,Scott Piercy,59.85,310,518
2022,0,23983,Luke Donald,59.76,251,420
2022,0,35506,Mackenzie Hughes,59.74,328,549
2022,0,29478,Kevin Kisner,59.74,233,390
2022,0,47504,Sam Burns,59.65,269,451
2022,0,39953,Chase Seiffert,59.62,186,312
2022,0,50525,Collin Morikawa,59.59,202,339
2022,0,45157,Cam Davis,59.57,305,512
2022,0,34174,John Huh,59.5,263,442
2022,0,32757,Patton Kizzire,59.5,332,558
2022,0,24980,Scott Gutschewski,59.43,189,318
2022,0,35310,Lanto Griffin,59.38,288,485
2022,0,46717,Viktor Hovland,59.38,247,416
2022,0,36699,Patrick Rodgers,59.34,289,487
2022,0,29970,Dylan Frittelli,59.29,351,592
2022,0,34610,Matthias Schwab,59.24,234,395
2022,0,34563,Chesson Hadley,59.12,295,499
2022,0,31420,Anirban Lahiri,59.12,269,455
2022,0,23621,Rory Sabbatini,59.1,211,357
2022,0,39997,Corey Conners,59.09,260,440
2022,0,32662,Michael Gligic,59.09,247,418
2022,0,10381,Curtis Thompson,59.06,251,425
2022,0,34466,Peter Malnati,58.91,390,662
2022,0,49947,Taylor Moore,58.75,282,480
2022,0,35461,Beau Hossler,58.7,270,460
2022,0,54628,Lee Hodges,58.61,303,517
2022,0,47483,Will Zalatoris,58.54,233,398
2022,0,48117,Kurt Kitayama,58.47,252,431
2022,0,46601,Trey Mullinax,58.45,287,491
2022,0,40162,Justin Lower,58.39,247,423
2022,0,33141,Keegan Bradley,58.32,284,487
2022,0,29221,Webb Simpson,58.24,219,376
2022,0,32333,Kevin Tway,58.2,284,488
2022,0,51894,Vince Whaley,58.12,322,554
2022,0,33122,Russell Knox,58.08,266,458
2022,0,47347,Adam Schenk,57.99,334,576
2022,0,46442,Maverick McNealy,57.98,305,526
2022,0,49960,Sepp Straka,57.97,342,590
2022,0,45540,Jared Wolfe,57.96,193,333
2022,0,31646,Emiliano Grillo,57.94,281,485
2022,0,39436,Joshua Creel,57.91,194,335
2022,0,33419,Cameron Tringale,57.88,312,539
2022,0,52374,Brandon Wu,57.8,237,410
2022,0,47995,Davis Riley,57.78,323,559
2022,0,22405,Justin Rose,57.77,197,341
2022,0,32816,Satoshi Kodaira,57.76,175,303
2022,0,24502,Adam Scott,57.76,242,419
2022,0,37275,Sam Ryder,57.72,314,544
2022,0,51950,Max McGreevy,57.63,272,472
2022,0,30163,Henrik Norlander,57.63,238,413
2022,0,30978,Kiradech Aphibarnrat,57.56,198,344
2022,0,46970,Jon Rahm,57.54,206,358
2022,0,27129,Luke List,57.34,250,436
2022,0,54783,Dylan Wu,57.32,231,403
2022,0,25198,Francesco Molinari,57.31,200,349
2022,0,36871,Matthew NeSmith,57.28,299,522
2022,0,35879,Kelly Kraft,57.27,260,454
2022,0,50095,Austin Smotherman,57.21,250,437
2022,0,48699,Callum Tarren,57.18,235,411
2022,0,49298,Kramer Hickok,57.17,319,558
2022,0,27649,Brandt Snedeker,57.1,205,359
2022,0,27974,Sung Kang,57.06,279,489
2022,0,27064,Jhonattan Vegas,57.01,252,442
2022,0,34363,Tyrrell Hatton,57.0,236,414
2022,0,32102,Rickie Fowler,56.94,275,483
2022,0,34098,Russell Henley,56.86,232,408
2022,0,23320,Ryan Palmer,56.86,228,401
2022,0,36326,David Lipsky,56.83,287,505
2022,0,55708,Hayden Buckley,56.71,283,499
2022,0,31557,Jim Herman,56.57,168,297
2022,0,12716,Charley Hoffman,56.48,244,432
2022,0,40115,Adam Svensson,56.48,331,586
2022,0,35617,Martin Trainer,56.45,289,512
2022,0,36689,Brooks Koepka,56.39,172,305
2022,0,53165,Doc Redman,56.34,262,465
2022,0,29926,Danny Lee,56.02,200,357
2022,0,35110,Brett Drewitt,55.83,206,369
2022,0,29289,S.Y. Noh,55.76,208,373
2022,0,33667,Carlos Ortiz,55.72,224,402
2022,0,52372,Cameron Champ,55.59,184,331
2022,0,33486,Roger Sloan,55.53,266,479
2022,0,34076,Joel Dahmen,55.4,272,491
2022,0,24024,Zach Johnson,55.39,226,408
2022,0,47983,Chad Ramey,55.36,248,448
2022,0,56278,Matthew Wolff,55.31,177,320
2022,0,36884,Ben Kohles,55.01,203,369
2022,0,47988,Nick Hardy,54.82,182,332
2022,0,48887,Matt Wallace,54.81,188,343
2022,0,25686,Jason Dufner,54.8,177,323
