YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2019,130,0,45609,Tyler Duncan,0.6,1,166,E
2019,130,0,35421,Brandon Harkins,0.6,1,166,E
2019,130,0,26300,Matt Jones,0.6,1,168,E
2019,130,0,47128,Richy Werenski,0.6,1,166,E
2019,134,0,35532,Tom Hoge,0.58,1,172,E
2019,135,0,25493,Nick Taylor,0.54,1,186,E
2019,136,0,39971,Sungjae Im,0.44,1,228,E
2019,137,0,30978,Kiradech Aphibarnrat,0.0,0,108,E
2019,137,0,28259,Sangmoon Bae,0.0,0,108,E
2019,137,0,40026,Daniel Berger,0.0,0,132,E
2019,137,0,29268,Bronson Burgoon,0.0,0,102,E
2019,137,0,26499,Rafa Cabrera Bello,0.0,0,112,E
2019,137,0,34306,John Chin,0.0,0,108,E
2019,137,0,51766,Wyndham Clark,0.0,0,170,E
2019,137,0,39997,Corey Conners,0.0,0,172,E
2019,137,0,34076,Joel Dahmen,0.0,0,176,E
2019,137,0,45157,Cam Davis,0.0,0,144,E
2019,137,0,47959,Bryson DeChambeau,0.0,0,144,E
2019,137,0,34099,Harris English,0.0,0,182,E
2019,137,0,30911,Tommy Fleetwood,0.0,0,120,E
2019,137,0,46523,Joey Garber,0.0,0,114,E
2019,137,0,31646,Emiliano Grillo,0.0,0,132,E
2019,137,0,34563,Chesson Hadley,0.0,0,132,E
2019,137,0,34363,Tyrrell Hatton,0.0,0,100,E
2019,137,0,12716,Charley Hoffman,0.0,0,124,E
2019,137,0,35506,Mackenzie Hughes,0.0,0,152,E
2019,137,0,36799,Stephan Jaeger,0.0,0,142,E
2019,137,0,30925,Dustin Johnson,0.0,0,132,E
2019,137,0,27974,Sung Kang,0.0,0,160,E
2019,137,0,37455,Si Woo Kim,0.0,0,148,E
2019,137,0,36689,Brooks Koepka,0.0,0,132,E
2019,137,0,30944,Jason Kokrak,0.0,0,164,E
2019,137,0,35879,Kelly Kraft,0.0,0,154,E
2019,137,0,28775,Nate Lashley,0.0,0,136,E
2019,137,0,27129,Luke List,0.0,0,126,E
2019,137,0,32839,Hideki Matsuyama,0.0,0,160,E
2019,137,0,47993,Denny McCarthy,0.0,0,162,E
2019,137,0,28237,Rory McIlroy,0.0,0,128,E
2019,137,0,32640,Troy Merritt,0.0,0,114,E
2019,137,0,25198,Francesco Molinari,0.0,0,100,E
2019,137,0,45486,Joaquin Niemann,0.0,0,184,E
2019,137,0,27349,Alex Noren,0.0,0,104,E
2019,137,0,33667,Carlos Ortiz,0.0,0,164,E
2019,137,0,23320,Ryan Palmer,0.0,0,116,E
2019,137,0,24138,Ian Poulter,0.0,0,100,E
2019,137,0,46970,Jon Rahm,0.0,0,128,E
2019,137,0,35732,Wes Roach,0.0,0,126,E
2019,137,0,32058,José de Jesús Rodríguez,0.0,0,130,E
2019,137,0,22405,Justin Rose,0.0,0,116,E
2019,137,0,29223,Sam Saunders,0.0,0,148,E
2019,137,0,24502,Adam Scott,0.0,0,106,E
2019,137,0,33486,Roger Sloan,0.0,0,168,E
2019,137,0,34046,Jordan Spieth,0.0,0,158,E
2019,137,0,29518,Brendan Steele,0.0,0,108,E
2019,137,0,33418,Shawn Stefani,0.0,0,152,E
2019,137,0,37189,Harold Varner III,0.0,0,164,E
2019,137,0,27064,Jhonattan Vegas,0.0,0,144,E
2019,137,0,25632,Jimmy Walker,0.0,0,132,E
2019,137,0,37340,Chase Wright,0.0,0,138,E
2018,1,0,48084,Wesley Bryan,5.45,6,110,-0.17
2018,2,0,25834,Daniel Summerhays,4.44,4,90,+0.50
2018,3,0,31560,Brian Stuard,3.61,7,194,+0.57
2018,4,0,25240,D.A. Points,3.51,4,114,+0.25
2018,5,0,35544,Andrew Yun,3.33,3,90,+1.33
2018,6,0,28132,Tyrone Van Aswegen,3.23,6,186,E
2018,7,0,29974,Branden Grace,2.88,3,104,+0.33
2018,8,0,19803,Ryan Armour,2.8,6,214,-0.17
2018,9,0,28307,Matt Every,2.67,4,150,E
2018,10,0,25632,Jimmy Walker,2.6,4,154,+1.00
2018,11,0,46501,Ollie Schniederjans,2.53,4,158,+0.25
2018,12,0,29485,Brett Stegmaier,2.46,3,122,E
2018,13,0,24361,Pat Perez,2.38,3,126,+0.33
2018,13,0,33419,Cameron Tringale,2.38,3,126,E
2018,15,0,36699,Patrick Rodgers,2.35,4,170,E
2018,16,0,27556,Ted Potter Jr.,2.3,4,174,E
2018,17,0,34098,Russell Henley,2.27,3,132,+1.00
2018,18,0,35532,Tom Hoge,2.15,4,186,+1.50
2018,19,0,12510,Chad Campbell,2.11,3,142,+0.67
2018,20,0,45526,Abraham Ancer,2.08,4,192,+1.00
2018,20,0,10809,Jim Furyk,2.08,2,96,+1.00
2018,22,0,31420,Anirban Lahiri,2.03,3,148,+0.67
2018,23,0,23108,Matt Kuchar,1.97,3,152,+0.33
2018,23,0,30110,Kyle Stanley,1.97,3,152,E
2018,25,0,20593,Greg Chalmers,1.92,2,104,E
2018,25,0,20157,Retief Goosen,1.92,2,104,+1.00
2018,27,0,27895,Jonas Blixt,1.89,2,106,+0.50
2018,28,0,31416,Derek Fathauer,1.88,3,160,+0.67
2018,28,0,47347,Adam Schenk,1.88,3,160,+0.33
2018,30,0,23541,Ben Crane,1.82,2,110,E
2018,31,0,34466,Peter Malnati,1.81,3,166,+1.33
2018,31,0,1810,Phil Mickelson,1.81,3,166,+0.33
2018,33,0,32640,Troy Merritt,1.76,3,170,+1.33
2018,34,0,33122,Russell Knox,1.74,3,172,+0.67
2018,35,0,26499,Rafa Cabrera Bello,1.72,2,116,E
2018,36,0,21961,Charles Howell III,1.7,3,176,+1.00
2018,37,0,28089,Jason Day,1.67,2,120,E
2018,37,0,25686,Jason Dufner,1.67,2,120,E
2018,39,0,37455,Si Woo Kim,1.63,3,184,+0.33
2018,40,0,46970,Jon Rahm,1.61,2,124,-0.50
2018,41,0,23320,Ryan Palmer,1.59,2,126,E
2018,42,0,35421,Brandon Harkins,1.58,3,190,+0.33
2018,43,0,29222,Billy Hurley III,1.56,2,128,+1.00
2018,43,0,32839,Hideki Matsuyama,1.56,2,128,E
2018,43,0,34213,Grayson Murray,1.56,2,128,+1.00
2018,46,0,40009,Dominic Bozzelli,1.54,2,130,+1.00
2018,47,0,27942,Rob Oppenheim,1.47,2,136,E
2018,47,0,47287,Ethan Tracy,1.47,2,136,-0.50
2018,47,0,8793,Tiger Woods,1.47,2,136,+1.00
2018,50,0,26951,Johnson Wagner,1.45,2,138,+1.00
2018,51,0,35891,Cameron Smith,1.43,2,140,-0.50
2018,52,0,35310,Lanto Griffin,1.35,2,148,+0.50
2018,53,0,23353,J.J. Henry,1.33,2,150,+1.00
2018,54,0,33399,Adam Hadwin,1.3,2,154,E
2018,54,0,27064,Jhonattan Vegas,1.3,2,154,E
2018,56,0,34409,David Lingmerth,1.28,2,156,+1.00
2018,56,0,31202,William McGirt,1.28,2,156,+0.50
2018,56,0,26596,Ryan Moore,1.28,2,156,+0.50
2018,59,0,23325,Vaughn Taylor,1.27,2,158,E
2018,60,0,12716,Charley Hoffman,1.25,2,160,+0.50
2018,61,0,37454,Whee Kim,1.23,2,162,E
2018,61,0,48081,Xander Schauffele,1.23,2,162,+0.50
2018,63,0,29420,Billy Horschel,1.22,2,164,+1.00
2018,64,0,30978,Kiradech Aphibarnrat,1.19,1,84,+1.00
2018,64,0,28679,Fabián Gómez,1.19,2,168,+0.50
2018,64,0,39327,Ben Silverman,1.19,2,168,+0.50
2018,67,0,24024,Zach Johnson,1.15,2,174,+0.50
2018,68,0,32757,Patton Kizzire,1.12,2,178,E
2018,69,0,34021,Bud Cauley,1.11,1,90,+1.00
2018,69,0,37338,Zecheng Dou,1.11,1,90,+1.00
2018,69,0,34174,John Huh,1.11,2,180,+0.50
2018,72,0,26331,Charl Schwartzel,1.09,1,92,+1.00
2018,72,0,29221,Webb Simpson,1.09,2,184,-1.00
2018,72,0,27214,Kevin Streelman,1.09,2,184,E
2018,72,0,22582,Kyle Thompson,1.09,1,92,+1.00
2018,76,0,45609,Tyler Duncan,1.08,2,186,+1.00
2018,77,0,47125,Matt Atkins,0.96,1,104,+1.00
2018,77,0,21528,Henrik Stenson,0.96,1,104,E
2018,79,0,39328,Conrad Shindler,0.89,1,112,E
2018,80,0,40058,Zac Blair,0.86,1,116,+1.00
2018,80,0,36689,Brooks Koepka,0.86,1,116,+2.00
2018,82,0,24846,Ricky Barnes,0.85,1,118,E
2018,82,0,25364,Paul Casey,0.85,1,118,E
2018,84,0,30911,Tommy Fleetwood,0.81,1,124,E
2018,84,0,26300,Matt Jones,0.81,1,124,E
2018,84,0,22405,Justin Rose,0.81,1,124,E
2018,87,0,33413,Ben Martin,0.78,1,128,+2.00
2018,88,0,34358,Jonathan Randolph,0.77,1,130,E
2018,88,0,27963,Chris Stroud,0.77,1,130,+2.00
2018,90,0,39975,Michael Kim,0.76,1,132,-1.00
2018,90,0,25198,Francesco Molinari,0.76,1,132,E
2018,90,0,34431,Robert Streb,0.76,1,132,+3.00
2018,93,0,35376,Roberto Díaz,0.74,1,136,+1.00
2018,94,0,20472,Alex Cejka,0.72,1,138,+2.00
2018,94,0,46601,Trey Mullinax,0.72,1,138,E
2018,96,0,24924,Bill Haas,0.71,1,140,E
2018,96,0,30925,Dustin Johnson,0.71,1,140,E
2018,96,0,24502,Adam Scott,0.71,1,140,E
2018,99,0,27141,J.B. Holmes,0.7,1,142,+3.00
2018,99,0,49771,J.T. Poston,0.7,1,142,E
2018,99,0,32254,Xinjun Zhang,0.7,1,142,E
2018,102,0,32366,Kevin Chappell,0.68,1,148,E
2018,102,0,32448,James Hahn,0.68,1,148,E
2018,104,0,36799,Stephan Jaeger,0.67,1,150,E
2018,105,0,35450,Patrick Cantlay,0.66,1,152,E
2018,105,0,24358,Robert Garrigus,0.66,1,152,E
2018,105,0,35506,Mackenzie Hughes,0.66,1,152,-1.00
2018,108,0,27974,Sung Kang,0.65,1,154,E
2018,108,0,32876,Martin Piller,0.65,1,154,+1.00
2018,110,0,27958,Ryan Blaum,0.64,1,156,+1.00
2018,110,0,29926,Danny Lee,0.64,1,156,+1.00
2018,110,0,25396,Kevin Na,0.64,1,156,+1.00
2018,110,0,34360,Patrick Reed,0.64,1,156,+1.00
2018,114,0,20229,Stewart Cink,0.63,1,158,E
2018,114,0,33410,Andrew Landry,0.63,1,160,E
2018,114,0,37275,Sam Ryder,0.63,1,160,E
2018,117,0,50526,Tom Lovelady,0.62,1,162,+2.00
2018,118,0,27644,Brian Harman,0.61,1,164,E
2018,118,0,26851,Marc Leishman,0.61,1,164,E
2018,118,0,25493,Nick Taylor,0.61,1,164,+1.00
2018,121,0,31646,Emiliano Grillo,0.6,1,168,-1.00
2018,121,0,35879,Kelly Kraft,0.6,1,168,E
2018,123,0,33141,Keegan Bradley,0.59,1,170,+1.00
2018,124,0,30692,Scott Stallings,0.58,1,172,+1.00
2018,125,0,47128,Richy Werenski,0.57,1,176,E
2018,126,0,29725,Tony Finau,0.56,1,180,+2.00
2018,126,0,29908,C.T. Pan,0.56,1,180,+1.00
2018,128,0,39997,Corey Conners,0.54,1,186,E
2018,128,0,47959,Bryson DeChambeau,0.54,1,186,+3.00
2018,130,0,39546,Keith Mitchell,0.52,1,194,-1.00
2018,130,0,32333,Kevin Tway,0.52,1,192,-1.00
2018,132,0,34563,Chesson Hadley,0.51,1,198,E
2018,133,0,35461,Beau Hossler,0.48,1,208,E
2018,134,0,46435,Austin Cook,0.47,1,214,E
2018,135,0,33948,Byeong Hun An,0.0,0,160,E
2018,135,0,22371,Aaron Baddeley,0.0,0,156,E
2018,135,0,35545,Blayne Barber,0.0,0,134,E
2018,135,0,40026,Daniel Berger,0.0,0,136,E
2018,135,0,29479,Scott Brown,0.0,0,180,E
2018,135,0,29268,Bronson Burgoon,0.0,0,138,E
2018,135,0,24925,Jonathan Byrd,0.0,0,124,E
2018,135,0,34076,Joel Dahmen,0.0,0,170,E
2018,135,0,34099,Harris English,0.0,0,156,E
2018,135,0,28500,Martin Flores,0.0,0,164,E
2018,135,0,32102,Rickie Fowler,0.0,0,148,E
2018,135,0,29535,Brice Garnett,0.0,0,190,E
2018,135,0,19846,Brian Gay,0.0,0,202,E
2018,135,0,25900,Lucas Glover,0.0,0,98,E
2018,135,0,46402,Talor Gooch,0.0,0,144,E
2018,135,0,39954,Cody Gribble,0.0,0,114,E
2018,135,0,34363,Tyrrell Hatton,0.0,0,100,E
2018,135,0,26758,David Hearn,0.0,0,120,E
2018,135,0,30926,Chris Kirk,0.0,0,204,E
2018,135,0,29478,Kevin Kisner,0.0,0,156,E
2018,135,0,32816,Satoshi Kodaira,0.0,0,96,E
2018,135,0,30944,Jason Kokrak,0.0,0,198,E
2018,135,0,27936,Martin Laird,0.0,0,130,E
2018,135,0,28775,Nate Lashley,0.0,0,94,E
2018,135,0,37278,Nicholas Lindheim,0.0,0,138,E
2018,135,0,27129,Luke List,0.0,0,174,E
2018,135,0,29461,Jamie Lovemark,0.0,0,160,E
2018,135,0,33204,Shane Lowry,0.0,0,112,E
2018,135,0,24781,Hunter Mahan,0.0,0,126,E
2018,135,0,47993,Denny McCarthy,0.0,0,126,E
2018,135,0,25572,Graeme McDowell,0.0,0,110,E
2018,135,0,28237,Rory McIlroy,0.0,0,122,E
2018,135,0,27349,Alex Noren,0.0,0,112,E
2018,135,0,24140,Sean O'Hair,0.0,0,126,E
2018,135,0,26329,Louis Oosthuizen,0.0,0,108,E
2018,135,0,20572,Rod Pampling,0.0,0,100,E
2018,135,0,22056,Cameron Percy,0.0,0,100,E
2018,135,0,25818,Scott Piercy,0.0,0,152,E
2018,135,0,24138,Ian Poulter,0.0,0,112,E
2018,135,0,28252,Seamus Power,0.0,0,156,E
2018,135,0,34256,Andrew Putnam,0.0,0,178,E
2018,135,0,26476,Chez Reavie,0.0,0,148,E
2018,135,0,23621,Rory Sabbatini,0.0,0,178,E
2018,135,0,29223,Sam Saunders,0.0,0,148,E
2018,135,0,27649,Brandt Snedeker,0.0,0,164,E
2018,135,0,39324,J.J. Spaun,0.0,0,158,E
2018,135,0,34046,Jordan Spieth,0.0,0,152,E
2018,135,0,29518,Brendan Steele,0.0,0,126,E
2018,135,0,33418,Shawn Stefani,0.0,0,148,E
2018,135,0,34264,Hudson Swafford,0.0,0,110,E
2018,135,0,33448,Justin Thomas,0.0,0,148,E
2018,135,0,32150,Michael Thompson,0.0,0,116,E
2018,135,0,29484,Peter Uihlein,0.0,0,140,E
2018,135,0,37189,Harold Varner III,0.0,0,162,E
2018,135,0,27095,Nick Watney,0.0,0,180,E
2018,135,0,25804,Bubba Watson,0.0,0,158,E
2018,135,0,25892,Steve Wheatcroft,0.0,0,116,E
2018,135,0,49964,Aaron Wise,0.0,0,176,E
2018,135,0,31323,Gary Woodland,0.0,0,166,E
2017,1,0,25274,Steven Bowditch,7.27,8,110,+0.50
2017,2,0,23983,Luke Donald,5.21,5,96,+0.20
2017,3,0,10809,Jim Furyk,4.9,5,102,E
2017,4,0,33120,Mark Anderson,4.81,5,104,+0.40
2017,5,0,20771,Steven Alker,4.76,6,126,+0.67
2017,6,0,25396,Kevin Na,4.73,7,148,E
2017,7,0,32150,Michael Thompson,4.46,5,112,+1.00
2017,8,0,22986,Søren Kjeldsen,4.44,4,90,+0.25
2017,9,0,48084,Wesley Bryan,4.4,8,182,+0.75
2017,10,0,35532,Tom Hoge,4.35,4,92,+1.00
2017,10,0,27095,Nick Watney,4.35,6,138,+0.50
2017,12,0,24507,Jason Bohn,4.23,6,142,+0.83
2017,13,0,40058,Zac Blair,4.21,8,190,-0.13
2017,14,0,46501,Ollie Schniederjans,4.02,7,174,+0.29
2017,15,0,24846,Ricky Barnes,3.98,7,176,+0.14
2017,16,0,25240,D.A. Points,3.68,5,136,+0.40
2017,17,0,30926,Chris Kirk,3.61,6,166,+0.50
2017,18,0,20104,Ken Duke,3.52,5,142,-0.20
2017,19,0,28093,Miguel Angel Carballo,3.51,4,114,+0.50
2017,20,0,19803,Ryan Armour,3.39,4,118,+0.50
2017,20,0,27963,Chris Stroud,3.39,4,118,+0.25
2017,22,0,29222,Billy Hurley III,3.29,5,152,+0.60
2017,23,0,33419,Cameron Tringale,3.16,5,158,-0.40
2017,24,0,29221,Webb Simpson,3.03,6,198,+0.17
2017,25,0,31560,Brian Stuard,3.01,5,166,+0.20
2017,26,0,37455,Si Woo Kim,2.99,4,134,+0.25
2017,27,0,29740,Brad Fritsch,2.88,3,104,+0.67
2017,27,0,35506,Mackenzie Hughes,2.88,6,208,+0.83
2017,29,0,22371,Aaron Baddeley,2.83,3,106,+0.67
2017,30,0,20593,Greg Chalmers,2.82,4,142,E
2017,30,0,20572,Rod Pampling,2.82,4,142,+0.25
2017,32,0,34431,Robert Streb,2.78,5,180,+0.20
2017,33,0,25572,Graeme McDowell,2.68,3,112,+0.33
2017,34,0,19846,Brian Gay,2.56,4,156,+0.25
2017,35,0,1810,Phil Mickelson,2.5,4,160,+0.50
2017,36,0,26758,David Hearn,2.47,4,162,+0.25
2017,37,0,25686,Jason Dufner,2.44,4,164,E
2017,38,0,25720,Chad Collins,2.42,3,124,+0.33
2017,38,0,33122,Russell Knox,2.42,3,124,+1.33
2017,40,0,30191,Julián Etulain,2.38,3,126,E
2017,41,0,29908,C.T. Pan,2.33,4,172,+0.25
2017,42,0,27214,Kevin Streelman,2.27,4,176,E
2017,43,0,36699,Patrick Rodgers,2.14,3,140,+0.67
2017,44,0,25892,Steve Wheatcroft,2.13,2,94,+0.50
2017,45,0,35879,Kelly Kraft,2.11,3,142,E
2017,45,0,26596,Ryan Moore,2.11,3,142,+0.67
2017,47,0,48822,Sebastián Muñoz,2.04,2,98,+0.50
2017,48,0,23800,Bryce Molder,2.03,3,148,+1.00
2017,49,0,34099,Harris English,1.97,3,152,+1.00
2017,50,0,46443,Brian Campbell,1.96,2,102,+2.00
2017,51,0,40026,Daniel Berger,1.92,3,156,+0.33
2017,51,0,21961,Charles Howell III,1.92,3,156,+1.00
2017,51,0,35300,Andrew Loupe,1.92,2,104,+2.00
2017,54,0,23541,Ben Crane,1.9,3,158,+0.33
2017,55,0,34466,Peter Malnati,1.85,3,162,+0.33
2017,56,0,27936,Martin Laird,1.81,3,166,+0.33
2017,56,0,46970,Jon Rahm,1.81,3,166,+0.33
2017,58,0,29476,Kyle Reifers,1.79,3,168,+1.00
2017,58,0,23325,Vaughn Taylor,1.79,3,168,+0.33
2017,60,0,39324,J.J. Spaun,1.74,3,172,+0.67
2017,61,0,49771,J.T. Poston,1.72,3,174,+1.33
2017,61,0,25349,Tim Wilkinson,1.72,2,116,+0.50
2017,63,0,25345,Carl Pettersson,1.69,2,118,+1.00
2017,64,0,29478,Kevin Kisner,1.67,3,180,+0.33
2017,65,0,25632,Jimmy Walker,1.64,2,122,+0.50
2017,66,0,12510,Chad Campbell,1.61,3,186,E
2017,66,0,24357,K.J. Choi,1.61,2,124,+0.50
2017,66,0,20229,Stewart Cink,1.61,3,186,-0.67
2017,69,0,25493,Nick Taylor,1.58,3,190,+0.67
2017,70,0,32200,Roberto Castro,1.56,2,128,E
2017,70,0,27644,Brian Harman,1.56,3,192,E
2017,70,0,24138,Ian Poulter,1.56,2,128,+1.00
2017,70,0,22405,Justin Rose,1.56,2,128,E
2017,74,0,40009,Dominic Bozzelli,1.54,2,130,+1.00
2017,75,0,33418,Shawn Stefani,1.47,2,136,+0.50
2017,76,0,27895,Jonas Blixt,1.43,2,140,E
2017,76,0,36801,Mark Hubbard,1.43,2,140,+1.00
2017,78,0,31416,Derek Fathauer,1.41,2,142,+1.00
2017,78,0,24781,Hunter Mahan,1.41,2,142,+0.50
2017,80,0,24358,Robert Garrigus,1.39,2,144,+1.00
2017,80,0,12716,Charley Hoffman,1.39,3,216,+0.33
2017,80,0,27141,J.B. Holmes,1.39,2,144,+1.00
2017,80,0,22046,Geoff Ogilvy,1.39,2,144,-0.50
2017,80,0,29485,Brett Stegmaier,1.39,2,144,+1.50
2017,80,0,27770,Camilo Villegas,1.39,2,144,+0.50
2017,86,0,26289,Boo Weekley,1.37,2,146,+0.50
2017,87,0,47128,Richy Werenski,1.35,2,148,E
2017,88,0,32640,Troy Merritt,1.32,2,152,+0.50
2017,89,0,31646,Emiliano Grillo,1.27,2,158,+0.50
2017,89,0,33413,Ben Martin,1.27,2,158,E
2017,91,0,28252,Seamus Power,1.25,2,160,E
2017,91,0,29518,Brendan Steele,1.25,2,160,E
2017,93,0,27466,Spencer Levin,1.23,2,162,E
2017,94,0,46601,Trey Mullinax,1.22,2,164,E
2017,94,0,35891,Cameron Smith,1.22,2,164,E
2017,96,0,24361,Pat Perez,1.16,2,172,E
2017,97,0,23108,Matt Kuchar,1.14,2,176,+1.50
2017,97,0,28237,Rory McIlroy,1.14,1,88,E
2017,99,0,47959,Bryson DeChambeau,1.12,2,178,+0.50
2017,100,0,33204,Shane Lowry,1.11,1,90,E
2017,101,0,20157,Retief Goosen,1.09,1,92,+1.00
2017,101,0,32448,James Hahn,1.09,2,184,E
2017,103,0,28132,Tyrone Van Aswegen,1.08,2,186,+1.00
2017,104,0,37189,Harold Varner III,1.05,2,190,+0.50
2017,105,0,6522,Ernie Els,1.04,1,96,E
2017,106,0,27974,Sung Kang,1.02,2,196,+0.50
2017,107,0,46732,Rick Lamb,1.0,1,100,+2.00
2017,107,0,27649,Brandt Snedeker,1.0,1,100,E
2017,107,0,30110,Kyle Stanley,1.0,2,200,+0.50
2017,110,0,26499,Rafa Cabrera Bello,0.96,1,104,+1.00
2017,111,0,35110,Brett Drewitt,0.94,1,106,+3.00
2017,112,0,29974,Branden Grace,0.91,1,110,+1.00
2017,113,0,26300,Matt Jones,0.89,1,112,+2.00
2017,113,0,37278,Nicholas Lindheim,0.89,1,112,+1.00
2017,115,0,26329,Louis Oosthuizen,0.86,1,116,+1.00
2017,116,0,28679,Fabián Gómez,0.85,1,118,E
2017,116,0,25818,Scott Piercy,0.85,1,118,E
2017,116,0,23497,Tag Ridings,0.85,1,118,-1.00
2017,119,0,26951,Johnson Wagner,0.79,1,126,E
2017,120,0,46440,Smylie Kaufman,0.75,1,134,+1.00
2017,121,0,25198,Francesco Molinari,0.74,1,136,E
2017,122,0,29720,Andres Gonzales,0.72,1,138,-1.00
2017,123,0,29223,Sam Saunders,0.71,1,140,E
2017,124,0,37454,Whee Kim,0.69,1,144,E
2017,125,0,20472,Alex Cejka,0.68,1,146,+1.00
2017,126,0,32757,Patton Kizzire,0.66,1,152,E
2017,127,0,39954,Cody Gribble,0.65,1,154,E
2017,127,0,30692,Scott Stallings,0.65,1,154,E
2017,129,0,34046,Jordan Spieth,0.64,1,156,E
2017,130,0,24140,Sean O'Hair,0.63,1,160,+1.00
2017,131,0,24924,Bill Haas,0.62,1,162,-1.00
2017,131,0,31323,Gary Woodland,0.62,1,162,E
2017,133,0,32366,Kevin Chappell,0.61,1,164,+1.00
2017,134,0,31202,William McGirt,0.6,1,166,E
2017,135,0,23353,J.J. Henry,0.58,1,172,+1.00
2017,136,0,34021,Bud Cauley,0.57,1,176,E
2017,136,0,33461,Morgan Hoffmann,0.57,1,176,+3.00
2017,138,0,25900,Lucas Glover,0.56,1,180,+1.00
2017,139,0,29479,Scott Brown,0.55,1,182,E
2017,139,0,30944,Jason Kokrak,0.55,1,182,E
2017,139,0,26476,Chez Reavie,0.55,1,182,+1.00
2017,142,0,29461,Jamie Lovemark,0.54,1,184,E
2017,143,0,33399,Adam Hadwin,0.53,1,188,+1.00
2017,144,0,27958,Ryan Blaum,0.52,1,192,E
2017,145,0,33141,Keegan Bradley,0.51,1,196,+1.00
2017,145,0,27129,Luke List,0.51,1,196,+2.00
2017,147,0,33948,Byeong Hun An,0.0,0,128,E
2017,147,0,35545,Blayne Barber,0.0,0,142,E
2017,147,0,28420,Ryan Brehm,0.0,0,154,E
2017,147,0,35450,Patrick Cantlay,0.0,0,96,E
2017,147,0,25364,Paul Casey,0.0,0,164,E
2017,147,0,28089,Jason Day,0.0,0,132,E
2017,147,0,27436,Graham DeLaet,0.0,0,152,E
2017,147,0,28307,Matt Every,0.0,0,140,E
2017,147,0,25191,Gonzalo Fernandez-Castaño,0.0,0,112,E
2017,147,0,29725,Tony Finau,0.0,0,200,E
2017,147,0,28500,Martin Flores,0.0,0,162,E
2017,147,0,32102,Rickie Fowler,0.0,0,144,E
2017,147,0,21209,Sergio Garcia,0.0,0,108,E
2017,147,0,46550,Brandon Hagy,0.0,0,154,E
2017,147,0,34098,Russell Henley,0.0,0,194,E
2017,147,0,31557,Jim Herman,0.0,0,142,E
2017,147,0,29420,Billy Horschel,0.0,0,172,E
2017,147,0,34174,John Huh,0.0,0,168,E
2017,147,0,30852,Ryo Ishikawa,0.0,0,104,E
2017,147,0,30925,Dustin Johnson,0.0,0,132,E
2017,147,0,24024,Zach Johnson,0.0,0,154,E
2017,147,0,39975,Michael Kim,0.0,0,180,E
2017,147,0,36689,Brooks Koepka,0.0,0,152,E
2017,147,0,31420,Anirban Lahiri,0.0,0,136,E
2017,147,0,29926,Danny Lee,0.0,0,170,E
2017,147,0,26851,Marc Leishman,0.0,0,172,E
2017,147,0,34409,David Lingmerth,0.0,0,142,E
2017,147,0,32839,Hideki Matsuyama,0.0,0,136,E
2017,147,0,34213,Grayson Murray,0.0,0,180,E
2017,147,0,29289,S.Y. Noh,0.0,0,174,E
2017,147,0,23320,Ryan Palmer,0.0,0,106,E
2017,147,0,22056,Cameron Percy,0.0,0,130,E
2017,147,0,34358,Jonathan Randolph,0.0,0,126,E
2017,147,0,34360,Patrick Reed,0.0,0,184,E
2017,147,0,23621,Rory Sabbatini,0.0,0,130,E
2017,147,0,48081,Xander Schauffele,0.0,0,184,E
2017,147,0,26331,Charl Schwartzel,0.0,0,112,E
2017,147,0,24502,Adam Scott,0.0,0,100,E
2017,147,0,25834,Daniel Summerhays,0.0,0,180,E
2017,147,0,34264,Hudson Swafford,0.0,0,172,E
2017,147,0,33448,Justin Thomas,0.0,0,142,E
2017,147,0,32333,Kevin Tway,0.0,0,176,E
2017,147,0,27064,Jhonattan Vegas,0.0,0,164,E
2017,147,0,25804,Bubba Watson,0.0,0,118,E
2016,1,0,25274,Steven Bowditch,7.94,10,126,+0.50
2016,2,0,30711,Colt Knost,5.49,9,164,-0.11
2016,3,0,32876,Martin Piller,5.26,6,114,+0.33
2016,4,0,24357,K.J. Choi,4.11,6,146,+0.50
2016,5,0,23621,Rory Sabbatini,4.0,4,100,+0.50
2016,6,0,20472,Alex Cejka,3.97,5,126,+0.60
2016,7,0,26329,Louis Oosthuizen,3.85,4,104,E
2016,8,0,6527,Steve Stricker,3.77,4,106,E
2016,9,0,25720,Chad Collins,3.42,5,146,+0.60
2016,10,0,21878,Mark Wilson,3.23,4,124,+0.75
2016,11,0,24494,Erik Compton,3.17,4,126,+0.75
2016,11,0,27942,Rob Oppenheim,3.17,4,126,E
2016,13,0,29745,Tyler Aldridge,3.16,5,158,+0.40
2016,14,0,25632,Jimmy Walker,3.05,5,164,-0.20
2016,15,0,10885,Robert Allenby,2.94,3,102,+0.33
2016,15,0,25240,D.A. Points,2.94,3,102,+0.33
2016,15,0,25349,Tim Wilkinson,2.94,4,136,+0.75
2016,18,0,21731,Freddie Jacobson,2.91,5,172,+0.20
2016,19,0,10809,Jim Furyk,2.88,3,104,E
2016,20,0,29221,Webb Simpson,2.86,4,140,+0.50
2016,21,0,10213,Dicky Pride,2.83,3,106,-0.67
2016,22,0,24846,Ricky Barnes,2.69,5,186,E
2016,23,0,35300,Andrew Loupe,2.67,4,150,+0.25
2016,24,0,34262,Jon Curran,2.63,5,190,+0.60
