YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2018,56,0,28307,Matt Every,13.59,114,839,+0.06
2018,57,0,32640,Troy Merritt,13.61,138,1014,+0.01
2018,58,0,12510,Chad Campbell,13.67,127,929,-0.02
2018,58,0,33413,Ben Martin,13.67,108,790,+0.15
2018,60,0,26596,Ryan Moore,13.8,127,920,+0.06
2018,61,0,27141,J.B. Holmes,13.89,130,936,+0.02
2018,62,0,33399,Adam Hadwin,13.9,128,921,+0.05
2018,63,0,39327,Ben Silverman,13.91,147,1057,+0.10
2018,63,0,49964,Aaron Wise,13.91,154,1107,+0.10
2018,65,0,34358,Jonathan Randolph,13.93,116,833,+0.20
2018,66,0,27095,Nick Watney,13.94,154,1105,+0.06
2018,67,0,34076,Joel Dahmen,13.95,138,989,-0.01
2018,68,0,23541,Ben Crane,13.98,90,644,+0.01
2018,69,0,20593,Greg Chalmers,14.11,80,567,+0.18
2018,69,0,22056,Cameron Percy,14.11,81,574,+0.10
2018,71,0,34174,John Huh,14.15,162,1145,+0.13
2018,72,0,37454,Whee Kim,14.17,143,1009,+0.15
2018,73,0,29221,Webb Simpson,14.2,160,1127,+0.04
2018,74,0,29926,Danny Lee,14.24,138,969,+0.07
2018,75,0,35532,Tom Hoge,14.25,164,1151,+0.05
2018,76,0,24361,Pat Perez,14.29,102,714,+0.17
2018,77,0,32876,Martin Piller,14.32,133,929,+0.11
2018,78,0,47959,Bryson DeChambeau,14.33,155,1082,+0.05
2018,79,0,1810,Phil Mickelson,14.34,139,969,-0.01
2018,80,0,26951,Johnson Wagner,14.36,110,766,+0.05
2018,81,0,28775,Nate Lashley,14.4,70,486,+0.01
2018,82,0,37275,Sam Ryder,14.42,140,971,+0.06
2018,83,0,27214,Kevin Streelman,14.44,165,1143,+0.06
2018,84,0,32448,James Hahn,14.49,139,959,+0.02
2018,84,0,32816,Satoshi Kodaira,14.49,81,559,+0.27
2018,86,0,39328,Conrad Shindler,14.54,89,612,+0.16
2018,87,0,24502,Adam Scott,14.58,120,823,+0.02
2018,88,0,24925,Jonathan Byrd,14.59,97,665,+0.01
2018,89,0,34021,Bud Cauley,14.61,83,568,E
2018,90,0,21961,Charles Howell III,14.65,159,1085,+0.05
2018,91,0,34046,Jordan Spieth,14.66,134,914,+0.01
2018,92,0,36689,Brooks Koepka,14.7,111,755,+0.11
2018,93,0,25900,Lucas Glover,14.71,94,639,+0.03
2018,94,0,34563,Chesson Hadley,14.77,182,1232,+0.08
2018,94,0,20572,Rod Pampling,14.77,92,623,+0.21
2018,96,0,45609,Tyler Duncan,14.78,167,1130,+0.17
2018,97,0,29485,Brett Stegmaier,14.88,97,652,+0.07
2018,98,0,26300,Matt Jones,14.9,97,651,+0.18
2018,99,0,25572,Graeme McDowell,14.94,95,636,+0.13
2018,100,0,24138,Ian Poulter,14.96,104,695,+0.05
2018,101,0,25240,D.A. Points,14.97,100,668,-0.01
2018,102,0,31420,Anirban Lahiri,15.02,140,932,+0.11
2018,103,0,23320,Ryan Palmer,15.06,125,830,-0.02
2018,104,0,24140,Sean O'Hair,15.08,119,789,+0.12
2018,105,0,35450,Patrick Cantlay,15.14,142,938,+0.08
2018,106,0,31323,Gary Woodland,15.24,148,971,+0.01
2018,107,0,35506,Mackenzie Hughes,15.25,144,944,+0.17
2018,108,0,20157,Retief Goosen,15.27,84,550,+0.08
2018,108,0,23621,Rory Sabbatini,15.27,159,1041,+0.03
2018,110,0,33419,Cameron Tringale,15.3,106,693,+0.07
2018,111,0,26329,Louis Oosthuizen,15.36,98,638,+0.07
2018,112,0,29535,Brice Garnett,15.44,174,1127,+0.14
2018,113,0,29268,Bronson Burgoon,15.49,123,794,+0.11
2018,114,0,29479,Scott Brown,15.52,174,1121,+0.16
2018,115,0,34213,Grayson Murray,15.56,127,816,+0.07
2018,116,0,40026,Daniel Berger,15.69,136,867,+0.07
2018,117,0,27963,Chris Stroud,15.72,127,808,+0.08
2018,118,0,32102,Rickie Fowler,15.76,134,850,+0.13
2018,118,0,32839,Hideki Matsuyama,15.76,125,793,+0.06
2018,118,0,49771,J.T. Poston,15.76,125,793,+0.16
2018,121,0,35891,Cameron Smith,15.8,133,842,+0.02
2018,122,0,29223,Sam Saunders,15.82,146,923,+0.07
2018,123,0,37338,Zecheng Dou,15.9,79,497,+0.22
2018,124,0,24781,Hunter Mahan,15.92,113,710,+0.05
2018,125,0,28132,Tyrone Van Aswegen,15.95,183,1147,+0.13
2018,126,0,8793,Tiger Woods,16.03,130,811,+0.10
2018,127,0,47347,Adam Schenk,16.04,146,910,+0.12
2018,128,0,37455,Si Woo Kim,16.07,174,1083,+0.06
2018,129,0,31202,William McGirt,16.1,167,1037,+0.04
2018,130,0,28252,Seamus Power,16.12,147,912,+0.09
2018,131,0,35376,Roberto Díaz,16.13,126,781,+0.19
2018,132,0,30925,Dustin Johnson,16.24,140,862,+0.02
2018,133,0,36799,Stephan Jaeger,16.3,142,871,-0.03
2018,134,0,22371,Aaron Baddeley,16.43,159,968,+0.05
2018,135,0,28089,Jason Day,16.45,112,681,+0.08
2018,136,0,33948,Byeong Hun An,16.47,166,1008,+0.11
2018,137,0,25493,Nick Taylor,16.49,169,1025,+0.15
2018,138,0,22582,Kyle Thompson,16.5,83,503,+0.07
2018,139,0,46601,Trey Mullinax,16.54,133,804,+0.16
2018,140,0,39997,Corey Conners,16.58,182,1098,+0.07
2018,141,0,34466,Peter Malnati,16.6,173,1042,+0.03
2018,142,0,37189,Harold Varner III,16.63,170,1022,+0.15
2018,142,0,35544,Andrew Yun,16.63,78,469,+0.26
2018,144,0,26851,Marc Leishman,16.67,169,1014,+0.04
2018,145,0,48081,Xander Schauffele,16.68,167,1001,+0.09
2018,146,0,27895,Jonas Blixt,16.82,113,672,E
2018,147,0,24358,Robert Garrigus,16.83,158,939,+0.04
2018,148,0,40009,Dominic Bozzelli,16.86,142,842,+0.04
2018,148,0,46970,Jon Rahm,16.86,119,706,+0.10
2018,150,0,33410,Andrew Landry,16.91,172,1017,+0.10
2018,151,0,28500,Martin Flores,16.94,168,992,+0.07
2018,152,0,33448,Justin Thomas,16.95,160,944,+0.04
2018,153,0,34360,Patrick Reed,16.97,148,872,+0.05
2018,154,0,34363,Tyrrell Hatton,17.04,100,587,-0.09
2018,155,0,25804,Bubba Watson,17.13,161,940,+0.09
2018,156,0,29461,Jamie Lovemark,17.19,185,1076,+0.01
2018,157,0,27974,Sung Kang,17.25,158,916,+0.09
2018,158,0,20229,Stewart Cink,17.31,161,930,+0.03
2018,159,0,46501,Ollie Schniederjans,17.39,185,1064,+0.13
2018,160,0,45526,Abraham Ancer,17.42,201,1154,+0.11
2018,160,0,27349,Alex Noren,17.42,119,683,+0.08
2018,162,0,32757,Patton Kizzire,17.44,189,1084,+0.12
2018,163,0,47287,Ethan Tracy,17.47,131,750,+0.11
2018,164,0,29725,Tony Finau,17.56,197,1122,+0.02
2018,165,0,27064,Jhonattan Vegas,17.57,156,888,+0.13
2018,166,0,30944,Jason Kokrak,17.6,214,1216,-0.03
2018,167,0,27129,Luke List,17.66,190,1076,-0.04
2018,168,0,35310,Lanto Griffin,17.8,147,826,-0.06
2018,169,0,26331,Charl Schwartzel,17.91,103,575,+0.20
2018,170,0,47125,Matt Atkins,17.93,99,552,+0.10
2018,171,0,25818,Scott Piercy,17.99,170,945,+0.07
2018,172,0,34256,Andrew Putnam,18.05,193,1069,+0.07
2018,173,0,35421,Brandon Harkins,18.14,214,1180,+0.09
2018,174,0,32333,Kevin Tway,18.17,226,1244,+0.02
2018,175,0,39954,Cody Gribble,18.18,136,748,+0.20
2018,176,0,33418,Shawn Stefani,18.19,151,830,+0.08
2018,177,0,27936,Martin Laird,18.2,154,846,+0.01
2018,178,0,12716,Charley Hoffman,18.37,174,947,+0.06
2018,179,0,25834,Daniel Summerhays,18.51,97,524,+0.19
2018,180,0,30692,Scott Stallings,18.71,206,1101,+0.08
2018,181,0,37278,Nicholas Lindheim,18.76,154,821,+0.06
2018,182,0,29974,Branden Grace,18.78,114,607,+0.20
2018,183,0,46402,Talor Gooch,18.8,160,851,+0.08
2018,184,0,27942,Rob Oppenheim,18.93,141,745,+0.17
2018,185,0,24924,Bill Haas,18.97,173,912,+0.03
2018,186,0,28237,Rory McIlroy,19.09,135,707,+0.09
2018,187,0,25632,Jimmy Walker,19.15,171,893,+0.08
2018,188,0,39975,Michael Kim,19.16,141,736,+0.10
2018,189,0,29484,Peter Uihlein,19.22,172,895,+0.14
2018,190,0,31416,Derek Fathauer,19.66,184,936,+0.12
2018,191,0,50526,Tom Lovelady,19.75,187,947,+0.04
2018,192,0,40058,Zac Blair,21.15,136,643,+0.11
2018,193,0,24846,Ricky Barnes,21.99,135,614,-0.01
2017,1,0,26289,Boo Weekley,9.62,82,852,-0.04
2017,2,0,31557,Jim Herman,9.64,89,923,0.12
2017,3,0,31560,Brian Stuard,9.95,96,965,0.13
2017,4,0,29222,Billy Hurley III,10.31,99,960,0.11
2017,5,0,33204,Shane Lowry,10.4,55,529,-0.04
2017,6,0,24024,Zach Johnson,10.43,99,949,0.07
2017,7,0,25892,Steve Wheatcroft,10.63,59,555,0.02
2017,8,0,25572,Graeme McDowell,10.65,74,695,0.16
2017,9,0,29221,Webb Simpson,10.68,125,1170,0.04
2017,10,0,27649,Brandt Snedeker,10.81,64,592,0.16
2017,11,0,32102,Rickie Fowler,10.84,95,876,0.05
2017,12,0,25240,D.A. Points,10.97,89,811,0.08
2017,13,0,26476,Chez Reavie,11.08,128,1155,-0.01
2017,14,0,34409,David Lingmerth,11.09,106,956,0.06
2017,15,0,25198,Francesco Molinari,11.29,93,824,0.14
2017,16,0,23325,Vaughn Taylor,11.35,121,1066,0.08
2017,17,0,47128,Richy Werenski,11.41,97,850,0.12
2017,18,0,27466,Spencer Levin,11.44,107,935,0.11
2017,19,0,26596,Ryan Moore,11.56,105,908,0.15
2017,20,0,21209,Sergio Garcia,11.72,75,640,0.13
2017,21,0,12510,Chad Campbell,11.76,139,1182,0.15
2017,22,0,34431,Robert Streb,11.98,139,1160,0.06
2017,23,0,23108,Matt Kuchar,12.17,130,1068,0.13
2017,24,0,29908,C.T. Pan,12.28,130,1059,0.13
2017,25,0,20472,Alex Cejka,12.3,106,862,0.08
2017,26,0,24140,Sean O'Hair,12.36,120,971,0.03
2017,27,0,31202,William McGirt,12.46,126,1011,0.27
2017,28,0,24357,K.J. Choi,12.63,95,752,0.15
2017,29,0,19803,Ryan Armour,12.7,87,685,0.09
2017,30,0,1810,Phil Mickelson,12.71,121,952,0.08
2017,31,0,29476,Kyle Reifers,12.77,131,1026,0.06
2017,32,0,33122,Russell Knox,12.85,97,755,0.19
2017,33,0,33141,Keegan Bradley,12.94,164,1267,0.19
2017,34,0,27436,Graham DeLaet,12.99,128,985,0.01
2017,35,0,29478,Kevin Kisner,13.01,140,1076,0.11
2017,36,0,32150,Michael Thompson,13.09,80,611,0.11
2017,37,0,34358,Jonathan Randolph,13.1,93,710,0.12
2017,38,0,26951,Johnson Wagner,13.13,104,792,0.2
2017,39,0,25349,Tim Wilkinson,13.21,84,636,0.05
2017,40,0,22986,Søren Kjeldsen,13.35,63,472,0.3
2017,41,0,10809,Jim Furyk,13.44,82,610,0.17
2017,41,0,30110,Kyle Stanley,13.44,176,1310,0.14
2017,43,0,33399,Adam Hadwin,13.45,147,1093,0.04
2017,44,0,35545,Blayne Barber,13.53,126,931,0.14
2017,45,0,27214,Kevin Streelman,13.54,147,1086,0.04
2017,46,0,39975,Michael Kim,13.57,158,1164,0.04
2017,47,0,30944,Jason Kokrak,13.61,156,1146,0.15
2017,48,0,29479,Scott Brown,13.62,148,1087,0.07
2017,48,0,26329,Louis Oosthuizen,13.62,97,712,0.01
2017,50,0,25900,Lucas Glover,13.8,165,1196,0.1
2017,51,0,34021,Bud Cauley,13.82,156,1129,0.1
2017,52,0,34360,Patrick Reed,13.86,162,1169,0.09
2017,52,0,29485,Brett Stegmaier,13.86,111,801,0.28
2017,54,0,34174,John Huh,13.89,147,1058,0.18
2017,55,0,27936,Martin Laird,13.9,139,1000,0.07
2017,56,0,25364,Paul Casey,13.91,138,992,0.14
2017,57,0,23353,J.J. Henry,13.93,145,1041,0.23
2017,58,0,29926,Danny Lee,13.99,147,1051,0.1
2017,59,0,39324,J.J. Spaun,14.13,141,998,0.16
2017,60,0,40058,Zac Blair,14.15,160,1131,0.03
2017,60,0,27895,Jonas Blixt,14.15,115,813,0.12
2017,62,0,46732,Rick Lamb,14.18,75,529,0.31
2017,63,0,23983,Luke Donald,14.21,84,591,0.07
2017,64,0,25686,Jason Dufner,14.23,143,1005,0.06
2017,65,0,32448,James Hahn,14.24,161,1131,0.02
2017,66,0,22405,Justin Rose,14.27,105,736,0.07
2017,67,0,24358,Robert Garrigus,14.32,118,824,0.08
2017,68,0,19846,Brian Gay,14.36,138,961,0.12
2017,69,0,34098,Russell Henley,14.38,172,1196,0.1
2017,70,0,48084,Wesley Bryan,14.39,153,1063,0.17
2017,71,0,33413,Ben Martin,14.43,140,970,0.14
2017,72,0,25345,Carl Pettersson,14.47,103,712,0.19
2017,73,0,30191,Julián Etulain,14.49,103,711,0.11
2017,74,0,25834,Daniel Summerhays,14.61,167,1143,0.13
2017,75,0,28307,Matt Every,14.63,120,820,0.13
2017,76,0,25804,Bubba Watson,14.65,108,737,0.08
2017,77,0,33418,Shawn Stefani,14.73,123,835,0.07
2017,78,0,22056,Cameron Percy,14.77,113,765,0.07
2017,79,0,30692,Scott Stallings,14.79,139,940,0.09
2017,80,0,25396,Kevin Na,14.81,136,918,0.1
2017,81,0,32200,Roberto Castro,14.87,112,753,0.12
2017,82,0,23541,Ben Crane,14.93,143,958,0.22
2017,83,0,20771,Steven Alker,15.03,107,712,0.17
2017,83,0,27974,Sung Kang,15.03,171,1138,0.15
2017,85,0,33948,Byeong Hun An,15.1,119,788,0.21
2017,85,0,27958,Ryan Blaum,15.1,172,1139,0.16
2017,87,0,20157,Retief Goosen,15.12,85,562,0.16
