YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2024,0,23320,Ryan Palmer,11.86%,59,7.0
2024,0,33968,Thorbjørn Olesen,11.76%,51,6.0
2024,0,52514,Trace Crowe,11.69%,77,9.0
2024,0,35461,Beau Hossler,11.67%,120,14.0
2024,0,29420,Billy Horschel,11.63%,86,10.0
2024,0,45242,Kevin Yu,11.63%,86,10.0
2024,0,47420,Jake Knapp,11.49%,87,10.0
2024,0,59095,Chris Gotterup,11.39%,79,9.0
2024,0,50493,Justin Suh,11.39%,79,9.0
2024,0,51349,Nico Echavarria,11.36%,88,10.0
2024,0,27064,Jhonattan Vegas,11.34%,97,11.0
2024,0,29535,Brice Garnett,11.32%,53,6.0
2024,0,40115,Adam Svensson,11.28%,133,15.0
2024,0,50497,Adrien Dumont de Chassart,11.27%,71,8.0
2024,0,58168,Davis Thompson,11.21%,116,13.0
2024,0,34563,Chesson Hadley,11.11%,81,9.0
2024,0,30926,Chris Kirk,11.11%,72,8.0
2024,0,47806,Raul Pereda,11.11%,45,5.0
2024,0,47347,Adam Schenk,10.99%,91,10.0
2024,0,50095,Austin Smotherman,10.94%,64,7.0
2024,0,56149,Wilson Furr,10.91%,55,6.0
2024,0,56630,Akshay Bhatia,10.78%,102,11.0
2024,0,33399,Adam Hadwin,10.64%,94,10.0
2024,0,36326,David Lipsky,10.59%,85,9.0
2024,0,52453,Nicolai Højgaard,10.42%,48,5.0
2024,0,54628,Lee Hodges,10.40%,125,13.0
2024,0,49947,Taylor Moore,10.38%,106,11.0
2024,0,45609,Tyler Duncan,10.29%,68,7.0
2024,0,36884,Ben Kohles,10.11%,89,9.0
2024,0,12716,Charley Hoffman,10.00%,90,9.0
2024,0,51890,Greyson Sigg,10.00%,100,10.0
2024,0,33486,Roger Sloan,10.00%,60,6.0
2024,0,46414,Aaron Rai,9.91%,111,11.0
2024,0,27936,Martin Laird,9.88%,81,8.0
2024,0,59442,Parker Coody,9.86%,71,7.0
2024,0,30163,Henrik Norlander,9.72%,72,7.0
2024,0,27139,David Skinns,9.71%,103,10.0
2024,0,34099,Harris English,9.68%,93,9.0
2024,0,57362,Austin Eckroat,9.62%,104,10.0
2024,0,52955,Ludvig Åberg,9.52%,84,8.0
2024,0,28089,Jason Day,9.46%,74,7.0
2024,0,48699,Callum Tarren,9.46%,74,7.0
2024,0,34046,Jordan Spieth,9.33%,75,7.0
2024,0,49960,Sepp Straka,9.26%,108,10.0
2024,0,40026,Daniel Berger,9.20%,87,8.0
2024,0,34076,Joel Dahmen,9.17%,109,10.0
2024,0,47995,Davis Riley,9.09%,77,7.0
2024,0,30927,Brendon Todd,8.99%,89,8.0
2024,0,52375,Doug Ghim,8.94%,123,11.0
2024,0,48117,Kurt Kitayama,8.89%,90,8.0
2024,0,36871,Matt NeSmith,8.79%,91,8.0
2024,0,32367,Jorge Campillo,8.77%,57,5.0
2024,0,39997,Corey Conners,8.74%,103,9.0
2024,0,47483,Will Zalatoris,8.70%,69,6.0
2024,0,59866,Nick Dunlap,8.45%,71,6.0
2024,0,51287,Ryo Hisatsune,8.42%,95,8.0
2024,0,51696,Rico Hoey,8.42%,95,8.0
2024,0,39324,J.J. Spaun,8.16%,98,8.0
2024,0,48319,Tom Whitney,8.06%,62,5.0
2024,0,29221,Webb Simpson,8.00%,50,4.0
2024,0,52666,Sami Valimaki,7.94%,63,5.0
2024,0,34256,Andrew Putnam,7.87%,89,7.0
2024,0,28420,Ryan Brehm,7.84%,51,4.0
2024,0,33948,Byeong Hun An,7.78%,90,7.0
2024,0,33448,Justin Thomas,7.78%,90,7.0
2024,0,33141,Keegan Bradley,7.69%,91,7.0
2024,0,39546,Keith Mitchell,7.61%,92,7.0
2024,0,52372,Cameron Champ,7.46%,67,5.0
2024,0,31323,Gary Woodland,7.37%,95,7.0
2024,0,31646,Emiliano Grillo,7.34%,109,8.0
2024,0,34587,Chan Kim,7.22%,97,7.0
2024,0,47988,Nick Hardy,7.07%,99,7.0
2024,0,34466,Peter Malnati,6.90%,87,6.0
2024,0,59143,Mac Meissner,6.85%,73,5.0
2024,0,55708,Hayden Buckley,6.67%,75,5.0
2024,0,47663,Kevin Dougherty,6.56%,61,4.0
2024,0,32333,Kevin Tway,6.56%,61,4.0
2024,0,23108,Matt Kuchar,6.25%,96,6.0
2024,0,37378,Min Woo Lee,5.81%,86,5.0
2024,0,27330,Josh Teater,5.56%,54,3.0
2024,0,34021,Bud Cauley,4.55%,66,3.0
2024,0,51070,Vincent Norrman,4.29%,70,3.0
2023,0,22405,Justin Rose,26.76%,71,19.0
2023,0,25493,Nick Taylor,19.44%,108,21.0
2023,0,20229,Stewart Cink,18.52%,81,15.0
2023,0,34363,Tyrrell Hatton,18.45%,103,19.0
2023,0,52955,Ludvig Åberg,18.03%,61,11.0
2023,0,45242,Kevin Yu,18.00%,50,9.0
2023,0,29289,S.Y. Noh,17.74%,62,11.0
2023,0,27936,Martin Laird,17.53%,97,17.0
2023,0,34610,Matthias Schwab,17.53%,97,17.0
2023,0,32448,James Hahn,17.39%,92,16.0
2023,0,56762,Will Gordon,17.12%,146,25.0
2023,0,31557,Jim Herman,16.67%,84,14.0
2023,0,27974,Sung Kang,16.67%,42,7.0
2023,0,50188,S.H. Kim,16.67%,126,21.0
2023,0,51491,Brandon Matthews,16.67%,48,8.0
2023,0,34256,Andrew Putnam,16.67%,132,22.0
2023,0,47504,Sam Burns,16.51%,109,18.0
2023,0,51766,Wyndham Clark,16.47%,85,14.0
2023,0,40162,Justin Lower,16.38%,116,19.0
2023,0,48887,Matt Wallace,16.25%,80,13.0
2023,0,33408,Tyson Alexander,16.05%,81,13.0
2023,0,51634,Sahith Theegala,16.04%,106,17.0
2023,0,54783,Dylan Wu,15.96%,94,15.0
2023,0,22371,Aaron Baddeley,15.79%,76,12.0
2023,0,35450,Patrick Cantlay,15.79%,95,15.0
2023,0,31646,Emiliano Grillo,15.79%,114,18.0
2023,0,36699,Patrick Rodgers,15.79%,114,18.0
2023,0,48699,Callum Tarren,15.65%,115,18.0
2023,0,46442,Maverick McNealy,15.63%,64,10.0
2023,0,25686,Jason Dufner,15.60%,109,17.0
2023,0,27349,Alex Noren,15.60%,109,17.0
2023,0,27554,Scott Harrington,15.58%,77,12.0
2023,0,47983,Chad Ramey,15.32%,111,17.0
2023,0,28252,Seamus Power,15.28%,72,11.0
2023,0,49771,J.T. Poston,15.09%,106,16.0
2023,0,32102,Rickie Fowler,15.04%,113,17.0
2023,0,31560,Brian Stuard,15.00%,60,9.0
2023,0,39975,Michael Kim,14.89%,94,14.0
2023,0,48119,Ben Taylor,14.88%,121,18.0
2023,0,28775,Nate Lashley,14.81%,108,16.0
2023,0,52411,Kyle Westmoreland,14.81%,81,12.0
2023,0,40058,Zac Blair,14.77%,88,13.0
2023,0,33204,Shane Lowry,14.61%,89,13.0
2023,0,50525,Collin Morikawa,14.44%,90,13.0
2023,0,54421,Garrick Higgo,14.17%,120,17.0
2023,0,31202,William McGirt,14.04%,57,8.0
2023,0,29535,Brice Garnett,13.98%,93,13.0
2023,0,34046,Jordan Spieth,13.95%,86,12.0
2023,0,39977,Max Homa,13.86%,101,14.0
2023,0,27644,Brian Harman,13.83%,94,13.0
2023,0,34466,Peter Malnati,13.83%,94,13.0
2023,0,35310,Lanto Griffin,13.73%,51,7.0
2023,0,29725,Tony Finau,13.68%,95,13.0
2023,0,32791,K.H. Lee,13.68%,117,16.0
2023,0,37275,Sam Ryder,13.68%,117,16.0
2023,0,50095,Austin Smotherman,13.68%,117,16.0
2023,0,52453,Nicolai Hojgaard,13.64%,44,6.0
2023,0,25818,Scott Piercy,13.64%,88,12.0
2023,0,33122,Russell Knox,13.61%,147,20.0
2023,0,47128,Richy Werenski,13.59%,103,14.0
2023,0,52513,Carson Young,13.59%,103,14.0
2023,0,34431,Robert Streb,13.58%,81,11.0
2023,0,59018,Ryan Gerard,13.46%,52,7.0
2023,0,39954,Cody Gribble,13.43%,67,9.0
2023,0,39335,Kevin Roy,13.43%,67,9.0
2023,0,32333,Kevin Tway,13.40%,97,13.0
2023,0,34255,Joseph Bramlett,13.33%,75,10.0
2023,0,57362,Austin Eckroat,13.33%,90,12.0
2023,0,30911,Tommy Fleetwood,13.33%,60,8.0
2023,0,54591,Ben Griffin,13.27%,113,15.0
2023,0,34563,Chesson Hadley,13.21%,106,14.0
2023,0,31577,Tano Goya,13.16%,76,10.0
2023,0,27963,Chris Stroud,13.11%,61,8.0
2023,0,47591,Eric Cole,13.10%,145,19.0
2023,0,35879,Kelly Kraft,13.08%,107,14.0
2023,0,33141,Keegan Bradley,12.99%,77,10.0
2023,0,39971,Sungjae Im,12.94%,85,11.0
2023,0,33448,Justin Thomas,12.94%,85,11.0
2023,0,32816,Satoshi Kodaira,12.90%,62,8.0
2023,0,27214,Kevin Streelman,12.90%,124,16.0
2023,0,49947,Taylor Moore,12.77%,94,12.0
2023,0,51890,Greyson Sigg,12.77%,141,18.0
2023,0,32757,Patton Kizzire,12.61%,111,14.0
2023,0,39067,MJ Daffue,12.50%,112,14.0
2023,0,35506,Mackenzie Hughes,12.50%,88,11.0
2023,0,24024,Zach Johnson,12.50%,64,8.0
2023,0,35449,Adam Long,12.50%,104,13.0
2023,0,39546,Keith Mitchell,12.50%,88,11.0
2023,0,48867,Matti Schmid,12.50%,64,8.0
2023,0,27095,Nick Watney,12.50%,64,8.0
2023,0,25900,Lucas Glover,12.40%,121,15.0
2023,0,47993,Denny McCarthy,12.40%,121,15.0
2023,0,53165,Doc Redman,12.37%,97,12.0
2023,0,57975,Harry Hall,12.36%,89,11.0
2023,0,29420,Billy Horschel,12.33%,73,9.0
2023,0,40115,Adam Svensson,12.21%,131,16.0
2023,0,36801,Mark Hubbard,12.15%,107,13.0
2023,0,22056,Cameron Percy,12.12%,66,8.0
2023,0,45609,Tyler Duncan,12.07%,116,14.0
2023,0,28089,Jason Day,12.00%,100,12.0
2023,0,49766,Hank Lebioda,12.00%,50,6.0
2023,0,36871,Matt NeSmith,11.97%,117,14.0
2023,0,28420,Ryan Brehm,11.76%,85,10.0
2023,0,36799,Stephan Jaeger,11.76%,153,18.0
2023,0,39997,Corey Conners,11.71%,111,13.0
2023,0,54628,Lee Hodges,11.70%,94,11.0
2023,0,51349,Nico Echavarria,11.69%,77,9.0
2023,0,30927,Brendon Todd,11.67%,120,14.0
2023,0,35617,Martin Trainer,11.63%,43,5.0
2023,0,28237,Rory McIlroy,11.59%,69,8.0
2023,0,47079,Harrison Endycott,11.58%,95,11.0
2023,0,37338,Zecheng Dou,11.54%,104,12.0
2023,0,27129,Luke List,11.48%,122,14.0
2023,0,24502,Adam Scott,11.48%,61,7.0
2023,0,35461,Beau Hossler,11.46%,96,11.0
2023,0,23320,Ryan Palmer,11.46%,96,11.0
2023,0,35532,Tom Hoge,11.43%,105,12.0
2023,0,55893,Sam Stevens,11.40%,114,13.0
2023,0,40098,Matt Fitzpatrick,11.36%,88,10.0
2023,0,46970,Jon Rahm,11.36%,88,10.0
2023,0,55454,Carl Yuan,11.36%,88,10.0
2023,0,33413,Ben Martin,11.34%,97,11.0
2023,0,29221,Webb Simpson,11.27%,71,8.0
2023,0,33653,Thomas Detry,11.25%,80,9.0
2023,0,46414,Aaron Rai,11.19%,143,16.0
2023,0,39324,J.J. Spaun,11.11%,108,12.0
2023,0,47988,Nick Hardy,11.02%,118,13.0
2023,0,40250,Taylor Pendrith,11.02%,127,14.0
2023,0,49298,Kramer Hickok,11.00%,100,11.0
2023,0,57366,Cameron Young,11.00%,100,11.0
2023,0,37455,Si Woo Kim,10.89%,101,11.0
2023,0,34076,Joel Dahmen,10.87%,92,10.0
2023,0,48081,Xander Schauffele,10.81%,74,8.0
2023,0,51070,Vincent Norrman,10.75%,93,10.0
2023,0,56630,Akshay Bhatia,10.67%,75,8.0
2023,0,58696,Peter Kuest,10.64%,47,5.0
2023,0,25632,Jimmy Walker,10.59%,85,9.0
2023,0,35901,Paul Haley II,10.58%,104,11.0
2023,0,45157,Cam Davis,10.53%,114,12.0
2023,0,30692,Scott Stallings,10.53%,95,10.0
2023,0,32139,Danny Willett,10.53%,76,8.0
2023,0,46046,Scottie Scheffler,10.34%,116,12.0
2023,0,26476,Chez Reavie,10.32%,126,13.0
2023,0,50493,Justin Suh,10.32%,126,13.0
2023,0,46601,Trey Mullinax,10.23%,88,9.0
2023,0,39058,Lucas Herbert,10.20%,49,5.0
2023,0,34409,David Lingmerth,10.00%,70,7.0
2023,0,19803,Ryan Armour,9.90%,101,10.0
2023,0,32839,Hideki Matsuyama,9.88%,81,8.0
2023,0,32366,Kevin Chappell,9.84%,61,6.0
2023,0,34098,Russell Henley,9.84%,122,12.0
2023,0,33948,Byeong Hun An,9.82%,112,11.0
2023,0,45522,Christiaan Bezuidenhout,9.82%,112,11.0
2023,0,12716,Charley Hoffman,9.78%,92,9.0
2023,0,33597,Harry Higgs,9.76%,82,8.0
2023,0,46340,Alex Smalley,9.76%,123,12.0
2023,0,30163,Henrik Norlander,9.68%,93,9.0
2023,0,24925,Jonathan Byrd,9.62%,52,5.0
2023,0,33399,Adam Hadwin,9.62%,104,10.0
2023,0,55789,Taylor Montgomery,9.52%,105,10.0
2023,0,23108,Matt Kuchar,9.43%,106,10.0
2023,0,58168,Davis Thompson,9.38%,128,12.0
2023,0,29908,C.T. Pan,9.26%,54,5.0
2023,0,47995,Davis Riley,9.18%,98,9.0
2023,0,26596,Ryan Moore,9.09%,110,10.0
2023,0,51414,Brent Grant,8.89%,90,8.0
2023,0,32640,Troy Merritt,8.89%,90,8.0
2023,0,52374,Brandon Wu,8.62%,116,10.0
2023,0,47347,Adam Schenk,8.53%,129,11.0
2023,0,31323,Gary Woodland,8.42%,95,8.0
2023,0,51950,Max McGreevy,8.33%,84,7.0
2023,0,55708,Hayden Buckley,7.92%,101,8.0
2023,0,48117,Kurt Kitayama,7.79%,77,6.0
2023,0,55182,Tom Kim,7.69%,117,9.0
2023,0,32662,Michael Gligic,7.55%,53,4.0
2023,0,46441,Robby Shelton,7.55%,106,8.0
2023,0,49960,Sepp Straka,7.27%,110,8.0
2023,0,24140,Sean O'Hair,7.14%,42,3.0
2023,0,46717,Viktor Hovland,6.90%,87,6.0
2023,0,29970,Dylan Frittelli,6.85%,73,5.0
2023,0,46435,Austin Cook,6.78%,59,4.0
2023,0,51997,Andrew Novak,6.74%,89,6.0
2023,0,36326,David Lipsky,6.59%,91,6.0
2023,0,49453,Trevor Cone,6.58%,76,5.0
2023,0,36724,Augusto Núñez,6.49%,77,5.0
2023,0,33410,Andrew Landry,6.41%,78,5.0
2023,0,34099,Harris English,6.25%,96,6.0
2023,0,52375,Doug Ghim,6.19%,97,6.0
2023,0,30926,Chris Kirk,6.19%,97,6.0
2023,0,40006,Erik van Rooyen,6.15%,65,4.0
2023,0,48084,Wesley Bryan,4.44%,45,2.0
2023,0,58967,Trevor Werbylo,4.05%,74,3.0
2023,0,52372,Cameron Champ,4.00%,75,3.0
2022,0,27770,Camilo Villegas,23.33,60,14.0
2022,0,48699,Callum Tarren,22.97,74,17.0
2022,0,46601,Trey Mullinax,21.92,73,16.0
2022,0,45486,Joaquin Niemann,20.55,73,15.0
2022,0,19803,Ryan Armour,20.0,55,11.0
2022,0,46046,Scottie Scheffler,19.35,93,18.0
2022,0,37212,Paul Barjon,19.05,84,16.0
2022,0,56278,Matthew Wolff,18.92,37,7.0
2022,0,33204,Shane Lowry,18.46,65,12.0
2022,0,33490,Bo Hoag,18.37,49,9.0
2022,0,35461,Beau Hossler,18.18,77,14.0
2022,0,29221,Webb Simpson,18.18,66,12.0
2022,0,10381,Curtis Thompson,18.18,44,8.0
2022,0,48822,Sebastián Muñoz,18.09,94,17.0
2022,0,24502,Adam Scott,17.86,84,15.0
2022,0,51950,Max McGreevy,17.65,68,12.0
2022,0,39971,Sungjae Im,17.54,114,20.0
2022,0,36884,Ben Kohles,17.46,63,11.0
2022,0,48117,Kurt Kitayama,17.39,69,12.0
2022,0,25198,Francesco Molinari,17.31,52,9.0
2022,0,32150,Michael Thompson,17.24,87,15.0
2022,0,35449,Adam Long,17.09,117,20.0
2022,0,34363,Tyrrell Hatton,16.67,48,8.0
2022,0,24138,Ian Poulter,16.67,42,7.0
2022,0,23621,Rory Sabbatini,16.67,60,10.0
2022,0,47529,Mito Pereira,16.49,97,16.0
2022,0,35310,Lanto Griffin,16.46,79,13.0
2022,0,33597,Harry Higgs,16.46,79,13.0
2022,0,34264,Hudson Swafford,16.39,61,10.0
2022,0,46442,Maverick McNealy,16.3,92,15.0
2022,0,29478,Kevin Kisner,16.13,62,10.0
2022,0,52374,Brandon Wu,16.13,62,10.0
2022,0,57366,Cameron Young,16.09,87,14.0
2022,0,26300,Matt Jones,16.07,56,9.0
2022,0,32333,Kevin Tway,16.05,81,13.0
2022,0,46970,Jon Rahm,16.0,75,12.0
2022,0,23325,Vaughn Taylor,15.91,44,7.0
2022,0,31646,Emiliano Grillo,15.84,101,16.0
2022,0,34610,Matthias Schwab,15.79,76,12.0
2022,0,47983,Chad Ramey,15.71,70,11.0
2022,0,51890,Greyson Sigg,15.69,102,16.0
2022,0,32816,Satoshi Kodaira,15.38,52,8.0
2022,0,28237,Rory McIlroy,15.38,65,10.0
2022,0,40115,Adam Svensson,15.32,111,17.0
2022,0,32791,K.H. Lee,15.31,98,15.0
2022,0,35450,Patrick Cantlay,15.28,72,11.0
2022,0,48081,Xander Schauffele,15.28,72,11.0
2022,0,46402,Talor Gooch,15.25,59,9.0
2022,0,47993,Denny McCarthy,15.2,125,19.0
2022,0,33486,Roger Sloan,15.19,79,12.0
2022,0,55708,Hayden Buckley,15.18,112,17.0
2022,0,48887,Matt Wallace,15.15,66,10.0
2022,0,33141,Keegan Bradley,15.0,80,12.0
2022,0,32366,Kevin Chappell,15.0,60,9.0
2022,0,34431,Robert Streb,15.0,100,15.0
2022,0,47483,Will Zalatoris,14.93,67,10.0
2022,0,30692,Scott Stallings,14.85,101,15.0
2022,0,35506,Mackenzie Hughes,14.81,81,12.0
2022,0,28114,Dawie van der Walt,14.81,54,8.0
2022,0,37189,Harold Varner III,14.81,81,12.0
2022,0,27895,Jonas Blixt,14.75,61,9.0
2022,0,54628,Lee Hodges,14.75,122,18.0
2022,0,29289,S.Y. Noh,14.75,61,9.0
2022,0,47128,Richy Werenski,14.75,61,9.0
2022,0,24980,Scott Gutschewski,14.71,68,10.0
2022,0,46435,Austin Cook,14.67,75,11.0
2022,0,27129,Luke List,14.67,75,11.0
2022,0,30927,Brendon Todd,14.63,82,12.0
2022,0,37455,Si Woo Kim,14.55,110,16.0
2022,0,27064,Jhonattan Vegas,14.49,69,10.0
2022,0,30978,Kiradech Aphibarnrat,14.29,42,6.0
2022,0,47504,Sam Burns,14.29,91,13.0
2022,0,29974,Branden Grace,14.29,56,8.0
2022,0,36852,Jim Knous,14.29,42,6.0
2022,0,31420,Anirban Lahiri,14.29,70,10.0
2022,0,51634,Sahith Theegala,14.29,98,14.0
2022,0,29725,Tony Finau,14.16,113,16.0
2022,0,34466,Peter Malnati,14.16,113,16.0
2022,0,29535,Brice Garnett,14.1,78,11.0
2022,0,46717,Viktor Hovland,14.1,78,11.0
2022,0,50525,Collin Morikawa,14.04,57,8.0
2022,0,46550,Brandon Hagy,13.85,65,9.0
2022,0,33419,Cameron Tringale,13.79,87,12.0
2022,0,39977,Max Homa,13.68,95,13.0
2022,0,45540,Jared Wolfe,13.64,66,9.0
2022,0,26851,Marc Leishman,13.43,67,9.0
2022,0,28252,Seamus Power,13.33,90,12.0
2022,0,27139,David Skinns,13.33,60,8.0
2022,0,21961,Charles Howell III,13.25,83,11.0
2022,0,27974,Sung Kang,13.25,83,11.0
2022,0,40006,Erik van Rooyen,13.24,68,9.0
2022,0,36699,Patrick Rodgers,13.19,91,12.0
2022,0,35617,Martin Trainer,13.11,61,8.0
2022,0,36799,Stephan Jaeger,13.04,92,12.0
2022,0,27936,Martin Laird,13.0,100,13.0
2022,0,49947,Taylor Moore,12.93,116,15.0
2022,0,36326,David Lipsky,12.75,102,13.0
2022,0,36871,Matthew NeSmith,12.73,110,14.0
2022,0,54783,Dylan Wu,12.73,55,7.0
2022,0,45526,Abraham Ancer,12.5,72,9.0
2022,0,36689,Brooks Koepka,12.5,56,7.0
2022,0,29970,Dylan Frittelli,12.35,81,10.0
2022,0,50095,Austin Smotherman,12.24,98,12.0
2022,0,27095,Nick Watney,12.16,74,9.0
2022,0,24361,Pat Perez,12.12,66,8.0
2022,0,46340,Alex Smalley,12.04,108,13.0
2022,0,27649,Brandt Snedeker,12.0,50,6.0
2022,0,51766,Wyndham Clark,11.96,92,11.0
2022,0,30944,Jason Kokrak,11.76,68,8.0
2022,0,33448,Justin Thomas,11.69,77,9.0
2022,0,37275,Sam Ryder,11.58,95,11.0
2022,0,49960,Sepp Straka,11.58,95,11.0
2022,0,34046,Jordan Spieth,11.49,87,10.0
2022,0,34098,Russell Henley,11.39,79,9.0
2022,0,31323,Gary Woodland,11.39,79,9.0
2022,0,25686,Jason Dufner,11.36,44,5.0
2022,0,23983,Luke Donald,11.27,71,8.0
2022,0,32640,Troy Merritt,11.22,98,11.0
2022,0,45522,Christiaan Bezuidenhout,11.11,81,9.0
2022,0,32839,Hideki Matsuyama,11.11,81,9.0
2022,0,49771,J.T. Poston,11.01,109,12.0
2022,0,25900,Lucas Glover,10.85,129,14.0
2022,0,20229,Stewart Cink,10.84,83,9.0
2022,0,49298,Kramer Hickok,10.81,111,12.0
2022,0,22056,Cameron Percy,10.81,37,4.0
2022,0,40162,Justin Lower,10.77,65,7.0
2022,0,22405,Justin Rose,10.71,56,6.0
2022,0,34563,Chesson Hadley,10.47,86,9.0
2022,0,36801,Mark Hubbard,10.45,67,7.0
2022,0,47995,Davis Riley,10.43,115,12.0
2022,0,53165,Doc Redman,10.26,78,8.0
2022,0,39546,Keith Mitchell,10.2,98,10.0
2022,0,34256,Andrew Putnam,10.19,108,11.0
2022,0,31560,Brian Stuard,10.1,99,10.0
