YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
2024,35,0,39327,Ben Silverman,2.14%,30,1404
2024,38,0,33653,Thomas Detry,2.16%,26,1206
2024,39,0,52375,Doug Ghim,2.20%,36,1638
2024,39,0,46414,Aaron Rai,2.20%,34,1548
2024,41,0,37455,Si Woo Kim,2.21%,35,1584
2024,42,0,59442,Parker Coody,2.22%,22,990
2024,42,0,45609,Tyler Duncan,2.22%,28,1260
2024,44,0,39971,Sungjae Im,2.23%,35,1566
2024,45,0,36801,Mark Hubbard,2.24%,40,1782
2024,45,0,59143,Mac Meissner,2.24%,29,1296
2024,47,0,27214,Kevin Streelman,2.25%,28,1242
2024,48,0,29420,Billy Horschel,2.27%,31,1368
2024,49,0,36699,Patrick Rodgers,2.28%,41,1800
2024,50,0,57975,Harry Hall,2.29%,33,1440
2024,51,0,49947,Taylor Moore,2.30%,41,1782
2024,52,0,32102,Rickie Fowler,2.31%,32,1386
2024,52,0,28252,Seamus Power,2.31%,40,1728
2024,52,0,32333,Kevin Tway,2.31%,25,1080
2024,55,0,33399,Adam Hadwin,2.32%,33,1422
2024,56,0,34099,Harris English,2.33%,39,1674
2024,56,0,39975,Michael Kim,2.33%,34,1458
2024,58,0,60004,Jacob Bridgeman,2.35%,33,1404
2024,58,0,59836,Pierceson Coody,2.35%,33,1404
2024,58,0,29908,C.T. Pan,2.35%,25,1062
2024,61,0,39324,J.J. Spaun,2.36%,34,1440
2024,62,0,52955,Ludvig Åberg,2.37%,32,1350
2024,63,0,51977,Max Greyserman,2.38%,33,1386
2024,63,0,54591,Ben Griffin,2.38%,48,2016
2024,63,0,54628,Lee Hodges,2.38%,39,1638
2024,66,0,25900,Lucas Glover,2.39%,40,1674
2024,67,0,35461,Beau Hossler,2.42%,37,1530
2024,67,0,28237,Rory McIlroy,2.42%,30,1242
2024,67,0,27349,Alex Noren,2.42%,30,1242
2024,67,0,49771,J.T. Poston,2.42%,37,1530
2024,71,0,40098,Matt Fitzpatrick,2.43%,31,1278
2024,72,0,45157,Cam Davis,2.45%,34,1386
2024,73,0,51349,Nico Echavarria,2.46%,39,1584
2024,73,0,22405,Justin Rose,2.46%,27,1098
2024,75,0,34021,Bud Cauley,2.47%,24,972
2024,76,0,29936,Ryan Fox,2.49%,35,1404
2024,77,0,47995,Davis Riley,2.51%,33,1314
2024,78,0,40162,Justin Lower,2.52%,44,1746
2024,78,0,34466,Peter Malnati,2.52%,34,1350
2024,80,0,35532,Tom Hoge,2.53%,46,1818
2024,80,0,58168,Davis Thompson,2.53%,41,1620
2024,82,0,57900,Chandler Phillips,2.54%,38,1494
2024,83,0,30927,Brendon Todd,2.58%,46,1782
2024,84,0,39977,Max Homa,2.60%,37,1422
2024,85,0,26476,Chez Reavie,2.61%,32,1224
2024,86,0,39997,Corey Conners,2.62%,41,1566
2024,86,0,54576,Patrick Fishburn,2.62%,33,1260
2024,86,0,33204,Shane Lowry,2.62%,33,1260
2024,86,0,50095,Austin Smotherman,2.62%,25,954
2024,90,0,40026,Daniel Berger,2.63%,36,1368
2024,90,0,50497,Adrien Dumont de Chassart,2.63%,35,1332
2024,92,0,27139,David Skinns,2.64%,39,1476
2024,93,0,33968,Thorbjørn Olesen,2.66%,23,864
2024,94,0,48117,Kurt Kitayama,2.67%,38,1422
2024,94,0,27129,Luke List,2.67%,37,1386
2024,96,0,34563,Chesson Hadley,2.69%,32,1188
2024,97,0,52514,Trace Crowe,2.70%,33,1224
2024,97,0,12716,Charley Hoffman,2.70%,34,1260
2024,99,0,40058,Zac Blair,2.71%,40,1476
2024,99,0,51287,Ryo Hisatsune,2.71%,41,1512
2024,101,0,33408,Tyson Alexander,2.74%,37,1350
2024,102,0,32791,K.H. Lee,2.78%,39,1404
2024,102,0,46441,Robby Shelton,2.78%,38,1368
2024,102,0,50493,Justin Suh,2.78%,37,1332
2024,105,0,33948,Byeong Hun An,2.81%,38,1350
2024,105,0,29725,Tony Finau,2.81%,40,1422
2024,105,0,36799,Stephan Jaeger,2.81%,40,1422
2024,105,0,40006,Erik van Rooyen,2.81%,40,1422
2024,109,0,55893,Sam Stevens,2.83%,50,1764
2024,110,0,50188,S.H. Kim,2.86%,54,1890
2024,110,0,30163,Henrik Norlander,2.86%,34,1188
2024,112,0,51634,Sahith Theegala,2.87%,48,1674
2024,112,0,52666,Sami Valimaki,2.87%,31,1080
2024,114,0,32366,Kevin Chappell,2.88%,29,1008
2024,114,0,55182,Tom Kim,2.88%,41,1422
2024,114,0,25493,Nick Taylor,2.88%,43,1494
2024,117,0,24024,Zach Johnson,2.89%,25,864
2024,117,0,47420,Jake Knapp,2.89%,39,1350
2024,119,0,52372,Cameron Champ,2.92%,30,1026
2024,120,0,29221,Webb Simpson,2.94%,27,918
2024,121,0,47483,Will Zalatoris,2.95%,35,1188
2024,122,0,30926,Chris Kirk,2.96%,41,1386
2024,123,0,34374,Erik Barnes,2.98%,29,972
2024,124,0,32839,Hideki Matsuyama,3.00%,40,1332
2024,124,0,48153,Matthieu Pavon,3.00%,34,1134
2024,126,0,27936,Martin Laird,3.01%,39,1296
2024,126,0,36871,Matt NeSmith,3.01%,39,1296
2024,126,0,40115,Adam Svensson,3.01%,58,1926
2024,129,0,60067,Joe Highsmith,3.02%,38,1260
2024,130,0,59095,Chris Gotterup,3.05%,39,1278
2024,131,0,34076,Joel Dahmen,3.06%,49,1602
2024,132,0,52374,Brandon Wu,3.09%,45,1458
2024,133,0,52453,Nicolai Højgaard,3.12%,32,1026
2024,134,0,47988,Nick Hardy,3.13%,49,1566
2024,134,0,54783,Dylan Wu,3.13%,45,1440
2024,136,0,47347,Adam Schenk,3.14%,52,1656
2024,137,0,59866,Nick Dunlap,3.15%,38,1206
2024,138,0,27064,Jhonattan Vegas,3.16%,41,1296
2024,139,0,52513,Carson Young,3.17%,49,1548
2024,140,0,31323,Gary Woodland,3.19%,46,1440
2024,141,0,33486,Roger Sloan,3.20%,38,1188
2024,142,0,48084,Wesley Bryan,3.22%,29,900
2024,143,0,45242,Kevin Yu,3.27%,43,1314
2024,144,0,47983,Chad Ramey,3.28%,49,1494
2024,145,0,55708,Hayden Buckley,3.29%,42,1278
2024,146,0,36326,David Lipsky,3.30%,41,1242
2024,146,0,32640,Troy Merritt,3.30%,44,1332
2024,148,0,60767,Blaine Hale Jr.,3.31%,31,936
2024,149,0,48867,Matti Schmid,3.35%,47,1404
2024,150,0,51890,Greyson Sigg,3.36%,46,1368
2024,151,0,51696,Rico Hoey,3.37%,51,1512
2024,152,0,28775,Nate Lashley,3.38%,45,1332
2024,153,0,50484,Hayden Springer,3.40%,44,1296
2024,154,0,32757,Patton Kizzire,3.41%,38,1116
2024,155,0,35617,Martin Trainer,3.44%,31,900
2024,156,0,46340,Alex Smalley,3.45%,46,1332
2024,157,0,36884,Ben Kohles,3.46%,53,1530
2024,158,0,47806,Raul Pereda,3.55%,30,846
2024,159,0,57366,Cameron Young,3.57%,52,1458
2024,160,0,27770,Camilo Villegas,3.61%,37,1026
2024,161,0,32367,Jorge Campillo,3.63%,34,936
2024,162,0,46113,Ryan McCormick,3.64%,40,1098
2024,163,0,48887,Matt Wallace,3.65%,42,1152
2024,164,0,37212,Paul Barjon,3.67%,35,954
2024,165,0,39546,Keith Mitchell,3.70%,54,1458
2024,166,0,27649,Brandt Snedeker,3.74%,39,1044
2024,167,0,34587,Chan Kim,3.75%,54,1440
2024,168,0,29535,Brice Garnett,3.82%,33,864
2024,168,0,55454,Carl Yuan,3.82%,44,1152
2024,170,0,34255,Joseph Bramlett,3.84%,58,1512
2024,170,0,23320,Ryan Palmer,3.84%,29,756
2024,172,0,37275,Sam Ryder,3.85%,52,1350
2024,173,0,26596,Ryan Moore,3.86%,50,1296
2024,174,0,27330,Josh Teater,3.95%,37,936
2024,175,0,35310,Lanto Griffin,4.01%,52,1296
2024,176,0,47663,Kevin Dougherty,4.03%,45,1116
2024,177,0,28420,Ryan Brehm,4.07%,44,1080
2024,178,0,29478,Kevin Kisner,4.12%,40,972
2024,179,0,48319,Tom Whitney,4.17%,51,1224
2024,180,0,51070,Vincent Norrman,4.20%,37,882
2024,181,0,48699,Callum Tarren,4.21%,53,1260
2024,182,0,38991,Alejandro Tosti,4.51%,56,1242
2024,183,0,32070,Rafael Campos,4.54%,49,1080
2024,184,0,56149,Wilson Furr,4.58%,47,1026
2023,1,0,22371,Aaron Baddeley,1.39%,20,1440
2023,2,0,47591,Eric Cole,1.50%,34,2268
2023,2,0,46442,Maverick McNealy,1.50%,17,1134
2023,4,0,45522,Christiaan Bezuidenhout,1.62%,26,1602
2023,5,0,28237,Rory McIlroy,1.65%,19,1152
2023,6,0,28089,Jason Day,1.67%,24,1440
2023,7,0,30926,Chris Kirk,1.69%,28,1656
2023,8,0,47504,Sam Burns,1.71%,25,1458
2023,9,0,27644,Brian Harman,1.73%,29,1674
2023,10,0,31560,Brian Stuard,1.75%,23,1314
2023,11,0,33141,Keegan Bradley,1.76%,26,1476
2023,12,0,35461,Beau Hossler,1.77%,35,1980
2023,13,0,28775,Nate Lashley,1.82%,35,1926
2023,13,0,30927,Brendon Todd,1.82%,34,1872
2023,15,0,33399,Adam Hadwin,1.83%,29,1584
2023,15,0,28252,Seamus Power,1.83%,27,1476
2023,17,0,39058,Lucas Herbert,1.88%,21,1116
2023,17,0,24502,Adam Scott,1.88%,23,1224
2023,19,0,31202,William McGirt,1.89%,18,954
2023,20,0,55789,Taylor Montgomery,1.91%,35,1836
2023,21,0,51349,Nico Echavarria,1.92%,27,1404
2023,22,0,52453,Nicolai Hojgaard,1.93%,16,828
2023,22,0,27974,Sung Kang,1.93%,17,882
2023,22,0,27349,Alex Noren,1.93%,32,1656
2023,25,0,51634,Sahith Theegala,1.94%,37,1908
2023,26,0,30911,Tommy Fleetwood,1.95%,26,1332
2023,26,0,37275,Sam Ryder,1.95%,39,1998
2023,28,0,40098,Matt Fitzpatrick,1.98%,26,1314
2023,28,0,33597,Harry Higgs,1.98%,30,1512
2023,30,0,52955,Ludvig Åberg,2.00%,18,900
2023,31,0,35506,Mackenzie Hughes,2.06%,33,1602
2023,31,0,51890,Greyson Sigg,2.06%,39,1890
2023,33,0,34363,Tyrrell Hatton,2.07%,29,1404
2023,33,0,39977,Max Homa,2.07%,32,1548
2023,33,0,26596,Ryan Moore,2.07%,31,1494
2023,36,0,23108,Matt Kuchar,2.08%,34,1638
2023,36,0,40250,Taylor Pendrith,2.08%,37,1782
2023,36,0,46046,Scottie Scheffler,2.08%,33,1584
2023,36,0,47128,Richy Werenski,2.08%,37,1782
2023,40,0,25493,Nick Taylor,2.09%,35,1674
2023,41,0,35879,Kelly Kraft,2.10%,34,1620
2023,41,0,34256,Andrew Putnam,2.10%,42,1998
2023,43,0,36699,Patrick Rodgers,2.12%,39,1836
2023,44,0,33653,Thomas Detry,2.13%,38,1782
2023,45,0,35450,Patrick Cantlay,2.16%,28,1296
2023,46,0,49771,J.T. Poston,2.17%,39,1800
2023,47,0,57975,Harry Hall,2.18%,40,1836
2023,48,0,46441,Robby Shelton,2.19%,41,1872
2023,48,0,50493,Justin Suh,2.19%,45,2052
2023,50,0,24024,Zach Johnson,2.21%,27,1224
2023,50,0,34409,David Lingmerth,2.21%,35,1584
2023,50,0,29289,S.Y. Noh,2.21%,27,1224
2023,53,0,51766,Wyndham Clark,2.23%,41,1836
2023,54,0,35532,Tom Hoge,2.24%,42,1872
2023,54,0,33204,Shane Lowry,2.24%,25,1116
2023,56,0,31646,Emiliano Grillo,2.26%,46,2034
2023,56,0,35449,Adam Long,2.26%,46,2034
2023,58,0,32366,Kevin Chappell,2.28%,23,1008
2023,59,0,20229,Stewart Cink,2.29%,33,1440
2023,59,0,49960,Sepp Straka,2.29%,38,1656
2023,61,0,39971,Sungjae Im,2.30%,43,1872
2023,62,0,34046,Jordan Spieth,2.31%,30,1296
2023,63,0,33948,Byeong Hun An,2.33%,44,1890
2023,63,0,32757,Patton Kizzire,2.33%,42,1800
2023,63,0,48081,Xander Schauffele,2.33%,34,1458
2023,66,0,55182,Tom Kim,2.35%,38,1620
2023,67,0,19803,Ryan Armour,2.36%,39,1656
2023,67,0,48699,Callum Tarren,2.36%,42,1782
2023,67,0,52513,Carson Young,2.36%,42,1782
2023,70,0,36801,Mark Hubbard,2.39%,50,2088
2023,70,0,47993,Denny McCarthy,2.39%,43,1800
2023,72,0,46717,Viktor Hovland,2.40%,38,1584
2023,72,0,32139,Danny Willett,2.40%,29,1206
2023,74,0,34099,Harris English,2.41%,42,1746
2023,74,0,39975,Michael Kim,2.41%,42,1746
2023,76,0,52374,Brandon Wu,2.42%,50,2070
2023,77,0,32102,Rickie Fowler,2.43%,42,1728
2023,77,0,32448,James Hahn,2.43%,35,1440
2023,79,0,34098,Russell Henley,2.45%,37,1512
2023,80,0,33408,Tyson Alexander,2.46%,42,1710
2023,80,0,51997,Andrew Novak,2.46%,42,1710
2023,82,0,29970,Dylan Frittelli,2.49%,35,1404
2023,82,0,32791,K.H. Lee,2.49%,48,1926
2023,84,0,47988,Nick Hardy,2.50%,53,2124
2023,84,0,37455,Si Woo Kim,2.50%,45,1800
2023,86,0,34466,Peter Malnati,2.51%,43,1710
2023,87,0,54591,Ben Griffin,2.52%,54,2142
2023,87,0,55893,Sam Stevens,2.52%,48,1908
2023,89,0,34563,Chesson Hadley,2.54%,43,1692
2023,89,0,33413,Ben Martin,2.54%,47,1854
2023,91,0,58168,Davis Thompson,2.55%,44,1728
2023,92,0,39997,Corey Conners,2.58%,40,1548
2023,93,0,54628,Lee Hodges,2.60%,50,1926
2023,93,0,40162,Justin Lower,2.60%,51,1962
2023,95,0,57362,Austin Eckroat,2.61%,46,1764
2023,95,0,12716,Charley Hoffman,2.61%,38,1458
2023,97,0,48119,Ben Taylor,2.62%,50,1908
2023,98,0,33410,Andrew Landry,2.64%,38,1440
2023,98,0,49947,Taylor Moore,2.64%,48,1818
2023,100,0,29535,Brice Garnett,2.65%,41,1548
2023,100,0,50188,S.H. Kim,2.65%,53,1998
2023,102,0,34431,Robert Streb,2.67%,39,1458
2023,103,0,32839,Hideki Matsuyama,2.68%,42,1566
2023,103,0,58967,Trevor Werbylo,2.68%,40,1494
2023,105,0,29420,Billy Horschel,2.69%,31,1152
2023,105,0,36799,Stephan Jaeger,2.69%,59,2196
2023,107,0,47347,Adam Schenk,2.71%,58,2142
2023,108,0,40115,Adam Svensson,2.73%,60,2196
2023,108,0,54783,Dylan Wu,2.73%,52,1908
2023,110,0,50525,Collin Morikawa,2.74%,40,1458
2023,111,0,47983,Chad Ramey,2.75%,50,1818
2023,112,0,40058,Zac Blair,2.78%,39,1404
2023,112,0,33122,Russell Knox,2.78%,57,2052
2023,112,0,22405,Justin Rose,2.78%,34,1224
2023,112,0,57366,Cameron Young,2.78%,43,1548
2023,116,0,54421,Garrick Higgo,2.80%,52,1854
2023,117,0,23320,Ryan Palmer,2.81%,40,1422
2023,118,0,34255,Joseph Bramlett,2.85%,41,1440
2023,119,0,46414,Aaron Rai,2.86%,54,1890
2023,119,0,34610,Matthias Schwab,2.86%,53,1854
2023,121,0,46340,Alex Smalley,2.88%,58,2016
2023,122,0,32662,Michael Gligic,2.89%,38,1314
2023,123,0,56762,Will Gordon,2.90%,58,1998
2023,123,0,51950,Max McGreevy,2.90%,48,1656
2023,123,0,39546,Keith Mitchell,2.90%,49,1692
2023,123,0,46970,Jon Rahm,2.90%,37,1278
2023,127,0,55708,Hayden Buckley,2.91%,44,1512
2023,128,0,24925,Jonathan Byrd,2.96%,32,1080
2023,129,0,32333,Kevin Tway,2.97%,54,1818
2023,130,0,26476,Chez Reavie,3.01%,52,1728
2023,131,0,58696,Peter Kuest,3.02%,25,828
2023,131,0,48867,Matti Schmid,3.02%,43,1422
2023,131,0,29221,Webb Simpson,3.02%,31,1026
2023,131,0,27963,Chris Stroud,3.02%,31,1026
2023,135,0,25818,Scott Piercy,3.03%,54,1782
2023,136,0,30163,Henrik Norlander,3.05%,50,1638
2023,136,0,39324,J.J. Spaun,3.05%,56,1836
2023,138,0,36326,David Lipsky,3.07%,57,1854
2023,138,0,27095,Nick Watney,3.07%,42,1368
2023,140,0,34076,Joel Dahmen,3.08%,51,1656
2023,141,0,56630,Akshay Bhatia,3.11%,47,1512
2023,141,0,29725,Tony Finau,3.11%,47,1512
2023,143,0,27214,Kevin Streelman,3.13%,54,1728
2023,143,0,40006,Erik van Rooyen,3.13%,44,1404
2023,145,0,37338,Zecheng Dou,3.15%,55,1746
2023,146,0,52375,Doug Ghim,3.17%,53,1674
2023,146,0,25632,Jimmy Walker,3.17%,49,1548
2023,148,0,36871,Matt NeSmith,3.20%,57,1782
2023,149,0,47995,Davis Riley,3.21%,59,1836
2023,150,0,35310,Lanto Griffin,3.22%,33,1026
2023,150,0,50095,Austin Smotherman,3.22%,58,1800
2023,152,0,48117,Kurt Kitayama,3.24%,42,1296
2023,153,0,46435,Austin Cook,3.27%,50,1530
2023,154,0,52372,Cameron Champ,3.28%,46,1404
2023,154,0,27129,Luke List,3.28%,59,1800
2023,156,0,45609,Tyler Duncan,3.31%,56,1692
2023,156,0,47079,Harrison Endycott,3.31%,53,1602
2023,158,0,28420,Ryan Brehm,3.36%,52,1548
2023,158,0,46601,Trey Mullinax,3.36%,43,1278
2023,158,0,39335,Kevin Roy,3.36%,46,1368
2023,161,0,49766,Hank Lebioda,3.37%,37,1098
2023,161,0,48887,Matt Wallace,3.37%,51,1512
2023,163,0,49298,Kramer Hickok,3.38%,59,1746
2023,164,0,22056,Cameron Percy,3.40%,41,1206
2023,165,0,45157,Cam Davis,3.42%,56,1638
2023,166,0,35901,Paul Haley II,3.44%,57,1656
2023,167,0,29908,C.T. Pan,3.53%,34,963
2023,167,0,35617,Martin Trainer,3.53%,40,1134
2023,169,0,39067,MJ Daffue,3.56%,66,1854
2023,170,0,55454,Carl Yuan,3.57%,54,1512
2023,171,0,51070,Vincent Norrman,3.59%,55,1530
2023,172,0,27936,Martin Laird,3.60%,57,1584
2023,173,0,27554,Scott Harrington,3.61%,52,1440
2023,174,0,39954,Cody Gribble,3.65%,46,1260
2023,175,0,45242,Kevin Yu,3.68%,47,1278
2023,176,0,24140,Sean O'Hair,3.74%,35,936
2023,177,0,59018,Ryan Gerard,3.76%,42,1116
2023,178,0,30692,Scott Stallings,3.77%,57,1512
2023,179,0,48084,Wesley Bryan,3.82%,33,864
2023,180,0,53165,Doc Redman,3.85%,54,1404
2023,181,0,51491,Brandon Matthews,3.86%,41,1062
2023,181,0,32640,Troy Merritt,3.86%,64,1656
2023,183,0,52411,Kyle Westmoreland,3.87%,55,1422
2023,184,0,25900,Lucas Glover,3.89%,70,1800
2023,185,0,31557,Jim Herman,4.04%,56,1386
2023,186,0,31577,Tano Goya,4.07%,66,1620
2023,187,0,25686,Jason Dufner,4.09%,67,1638
2023,187,0,33448,Justin Thomas,4.09%,53,1296
2023,189,0,31323,Gary Woodland,4.15%,62,1494
2023,190,0,36724,Augusto Núñez,4.25%,65,1530
2023,191,0,49453,Trevor Cone,4.27%,63,1476
2023,192,0,32816,Satoshi Kodaira,4.67%,53,1134
2023,193,0,51414,Brent Grant,4.83%,73,1512
2022,1,0,35891,Cameron Smith,1.61,18,1116
2022,2,0,46402,Talor Gooch,1.64,21,1278
2022,3,0,51894,Vince Whaley,1.7,26,1530
2022,4,0,27349,Alex Noren,1.74,20,1152
2022,5,0,39058,Lucas Herbert,1.75,17,972
2022,6,0,35879,Kelly Kraft,1.77,22,1242
2022,7,0,35461,Beau Hossler,1.83,23,1260
2022,8,0,48081,Xander Schauffele,1.85,24,1296
2022,9,0,45526,Abraham Ancer,1.92,20,1044
2022,10,0,32448,James Hahn,1.96,25,1278
2022,11,0,24925,Jonathan Byrd,2.05,21,1026
2022,12,0,33141,Keegan Bradley,2.08,30,1440
2022,13,0,46435,Austin Cook,2.09,26,1242
2022,14,0,32102,Rickie Fowler,2.11,27,1278
2022,15,0,28775,Nate Lashley,2.12,29,1368
2022,16,0,28089,Jason Day,2.14,22,1026
2022,16,0,35310,Lanto Griffin,2.14,30,1404
2022,18,0,45522,Christiaan Bezuidenhout,2.15,31,1440
2022,18,0,27214,Kevin Streelman,2.15,34,1584
2022,20,0,51890,Greyson Sigg,2.16,35,1620
2022,21,0,33667,Carlos Ortiz,2.19,24,1098
2022,22,0,36801,Mark Hubbard,2.21,27,1224
2022,23,0,47504,Sam Burns,2.22,32,1440
2022,23,0,47993,Denny McCarthy,2.22,40,1800
2022,25,0,45157,Cam Davis,2.24,33,1476
2022,26,0,34363,Tyrrell Hatton,2.26,26,1152
2022,26,0,24024,Zach Johnson,2.26,26,1152
2022,28,0,33399,Adam Hadwin,2.28,37,1620
2022,29,0,33597,Harry Higgs,2.29,33,1440
2022,30,0,34360,Patrick Reed,2.3,29,1260
2022,31,0,34466,Peter Malnati,2.32,43,1854
2022,32,0,30927,Brendon Todd,2.34,35,1494
2022,33,0,23108,Matt Kuchar,2.35,30,1278
2022,34,0,51634,Sahith Theegala,2.36,48,2034
2022,35,0,45609,Tyler Duncan,2.37,35,1476
2022,35,0,39977,Max Homa,2.37,35,1476
2022,35,0,30944,Jason Kokrak,2.37,26,1098
2022,38,0,36884,Ben Kohles,2.38,27,1134
2022,38,0,32150,Michael Thompson,2.38,36,1512
2022,40,0,46442,Maverick McNealy,2.4,38,1584
2022,41,0,34431,Robert Streb,2.41,36,1494
2022,42,0,34563,Chesson Hadley,2.43,35,1440
2022,43,0,19803,Ryan Armour,2.44,22,900
2022,43,0,27895,Jonas Blixt,2.44,22,900
2022,43,0,32640,Troy Merritt,2.44,40,1638
2022,43,0,46601,Trey Mullinax,2.44,36,1476
2022,47,0,31420,Anirban Lahiri,2.47,32,1296
2022,47,0,51950,Max McGreevy,2.47,32,1296
2022,47,0,47347,Adam Schenk,2.47,40,1620
2022,50,0,27644,Brian Harman,2.5,41,1638
2022,50,0,50525,Collin Morikawa,2.5,27,1080
2022,50,0,27770,Camilo Villegas,2.5,31,1242
2022,53,0,30978,Kiradech Aphibarnrat,2.52,24,954
2022,54,0,35449,Adam Long,2.53,40,1584
2022,55,0,29926,Danny Lee,2.56,24,936
2022,55,0,33448,Justin Thomas,2.56,35,1368
2022,55,0,35617,Martin Trainer,2.56,36,1404
2022,58,0,23983,Luke Donald,2.57,31,1206
2022,58,0,22405,Justin Rose,2.57,25,972
2022,60,0,29725,Tony Finau,2.58,40,1548
2022,60,0,30926,Chris Kirk,2.58,39,1512
2022,60,0,37189,Harold Varner III,2.58,32,1242
2022,60,0,48887,Matt Wallace,2.58,26,1008
2022,64,0,56278,Matthew Wolff,2.6,22,846
2022,65,0,27139,David Skinns,2.61,31,1188
2022,66,0,24502,Adam Scott,2.62,34,1296
2022,66,0,23325,Vaughn Taylor,2.62,25,954
2022,68,0,29221,Webb Simpson,2.64,28,1062
2022,69,0,29289,S.Y. Noh,2.65,30,1134
2022,69,0,22056,Cameron Percy,2.65,21,792
2022,71,0,12716,Charley Hoffman,2.66,33,1242
2022,71,0,32791,K.H. Lee,2.66,47,1764
2022,71,0,47995,Davis Riley,2.66,45,1692
2022,74,0,30911,Tommy Fleetwood,2.68,27,1008
2022,75,0,51766,Wyndham Clark,2.69,47,1746
2022,75,0,24361,Pat Perez,2.69,30,1116
2022,77,0,29420,Billy Horschel,2.7,34,1260
2022,77,0,34174,John Huh,2.7,36,1332
2022,77,0,47483,Will Zalatoris,2.7,37,1368
2022,80,0,29908,C.T. Pan,2.71,40,1476
2022,80,0,46046,Scottie Scheffler,2.71,41,1512
2022,82,0,30692,Scott Stallings,2.72,47,1728
2022,83,0,47988,Nick Hardy,2.73,29,1062
2022,84,0,32662,Michael Gligic,2.74,35,1278
2022,84,0,50095,Austin Smotherman,2.74,38,1386
2022,84,0,54783,Dylan Wu,2.74,33,1206
2022,87,0,36699,Patrick Rodgers,2.75,42,1530
2022,88,0,52375,Doug Ghim,2.78,42,1512
2022,88,0,31646,Emiliano Grillo,2.78,42,1512
2022,88,0,45486,Joaquin Niemann,2.78,40,1440
2022,88,0,28252,Seamus Power,2.78,39,1404
2022,88,0,34256,Andrew Putnam,2.78,47,1692
2022,93,0,46414,Aaron Rai,2.81,45,1602
2022,93,0,39324,J.J. Spaun,2.81,48,1710
2022,93,0,27064,Jhonattan Vegas,2.81,39,1386
2022,96,0,47856,Seth Reeves,2.82,34,1206
2022,97,0,32366,Kevin Chappell,2.83,28,990
2022,97,0,33490,Bo Hoag,2.83,25,882
2022,97,0,23621,Rory Sabbatini,2.83,28,990
2022,100,0,49771,J.T. Poston,2.84,45,1584
2022,100,0,33419,Cameron Tringale,2.84,47,1656
2022,102,0,26851,Marc Leishman,2.85,37,1296
2022,103,0,24980,Scott Gutschewski,2.88,29,1008
2022,103,0,53165,Doc Redman,2.88,41,1422
2022,105,0,25818,Scott Piercy,2.89,40,1386
2022,105,0,40115,Adam Svensson,2.89,52,1800
2022,107,0,27649,Brandt Snedeker,2.92,31,1062
2022,108,0,33122,Russell Knox,2.93,47,1602
2022,108,0,30163,Henrik Norlander,2.93,38,1296
2022,108,0,46340,Alex Smalley,2.93,49,1674
2022,108,0,34046,Jordan Spieth,2.93,39,1332
2022,112,0,46970,Jon Rahm,2.94,37,1260
2022,112,0,26476,Chez Reavie,2.94,45,1530
2022,114,0,28237,Rory McIlroy,2.96,32,1080
2022,114,0,32139,Danny Willett,2.96,33,1116
2022,116,0,33204,Shane Lowry,2.97,31,1044
