YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2016,0,25900,Lucas Glover,4.02,720,179
2016,0,12716,Charley Hoffman,4.02,438,109
2016,0,35532,Tom Hoge,4.02,821,204
2016,0,27466,Spencer Levin,4.02,821,204
2016,0,27129,Luke List,4.02,900,224
2016,0,24490,George McNeill,4.02,551,137
2016,0,27214,Kevin Streelman,4.02,643,160
2016,0,23325,Vaughn Taylor,4.02,547,136
2016,0,33448,Justin Thomas,4.02,904,225
2016,0,25632,Jimmy Walker,4.02,623,155
2016,0,32200,Roberto Castro,4.03,851,211
2016,0,36689,Brooks Koepka,4.03,483,120
2016,0,20691,Greg Owen,4.03,734,182
2016,0,10213,Dicky Pride,4.03,391,97
2016,0,35891,Cameron Smith,4.03,593,147
2016,0,29485,Brett Stegmaier,4.03,847,210
2016,0,27064,Jhonattan Vegas,4.03,927,230
2016,0,26289,Boo Weekley,4.03,617,153
2016,0,21878,Mark Wilson,4.03,802,199
2016,0,33141,Keegan Bradley,4.04,711,176
2016,0,37455,Si Woo Kim,4.04,646,160
2016,0,30926,Chris Kirk,4.04,651,161
2016,0,28158,Steve Marino,4.04,614,152
2016,0,25240,D.A. Points,4.04,424,105
2016,0,27963,Chris Stroud,4.04,776,192
2016,0,33419,Cameron Tringale,4.04,343,85
2016,0,28132,Tyrone Van Aswegen,4.04,896,222
2016,0,24461,Thomas Aiken,4.05,774,191
2016,0,27895,Jonas Blixt,4.05,778,192
2016,0,29479,Scott Brown,4.05,944,233
2016,0,29268,Bronson Burgoon,4.05,830,205
2016,0,25720,Chad Collins,4.05,979,242
2016,0,20104,Ken Duke,4.05,441,109
2016,0,33461,Morgan Hoffmann,4.05,951,235
2016,0,36801,Mark Hubbard,4.05,1033,255
2016,0,21731,Freddie Jacobson,4.05,716,177
2016,0,39975,Michael Kim,4.05,951,235
2016,0,30944,Jason Kokrak,4.05,987,244
2016,0,35879,Kelly Kraft,4.05,555,137
2016,0,34261,Scott Langley,4.05,713,176
2016,0,29926,Danny Lee,4.05,604,149
2016,0,34466,Peter Malnati,4.05,809,200
2016,0,25572,Graeme McDowell,4.05,523,129
2016,0,33667,Carlos Ortiz,4.05,899,222
2016,0,30692,Scott Stallings,4.05,324,80
2016,0,30110,Kyle Stanley,4.05,685,169
2016,0,34431,Robert Streb,4.05,737,182
2016,0,32150,Michael Thompson,4.05,745,184
2016,0,24507,Jason Bohn,4.06,707,174
2016,0,24494,Erik Compton,4.06,678,167
2016,0,23638,Brendon de Jonge,4.06,929,229
2016,0,23353,J.J. Henry,4.06,565,139
2016,0,27747,Hiroshi Iwata,4.06,890,219
2016,0,30711,Colt Knost,4.06,609,150
2016,0,33204,Shane Lowry,4.06,475,117
2016,0,33413,Ben Martin,4.06,796,196
2016,0,25198,Francesco Molinari,4.06,605,149
2016,0,29289,S.Y. Noh,4.06,702,173
2016,0,34360,Patrick Reed,4.06,910,224
2016,0,22405,Justin Rose,4.06,540,133
2016,0,27649,Brandt Snedeker,4.06,994,245
2016,0,25493,Nick Taylor,4.06,638,157
2016,0,37189,Harold Varner III,4.06,613,151
2016,0,45526,Abraham Ancer,4.07,537,132
2016,0,23983,Luke Donald,4.07,566,139
2016,0,6522,Ernie Els,4.07,827,203
2016,0,28679,Fabián Gómez,4.07,537,132
2016,0,34174,John Huh,4.07,656,161
2016,0,46440,Smylie Kaufman,4.07,741,182
2016,0,37454,Whee Kim,4.07,834,205
2016,0,32757,Patton Kizzire,4.07,813,200
2016,0,27942,Rob Oppenheim,4.07,627,154
2016,0,32876,Martin Piller,4.07,827,203
2016,0,29223,Sam Saunders,4.07,618,152
2016,0,34265,Will Wilcox,4.07,476,117
2016,0,20229,Stewart Cink,4.08,510,125
2016,0,24781,Hunter Mahan,4.08,772,189
2016,0,32640,Troy Merritt,4.08,457,112
2016,0,23621,Rory Sabbatini,4.08,392,96
2016,0,6567,Vijay Singh,4.08,392,96
2016,0,2206,David Toms,4.08,591,145
2016,0,29745,Tyler Aldridge,4.09,950,232
2016,0,40058,Zac Blair,4.09,953,233
2016,0,32366,Kevin Chappell,4.09,606,148
2016,0,20157,Retief Goosen,4.09,544,133
2016,0,34409,David Lingmerth,4.09,618,151
2016,0,22046,Geoff Ogilvy,4.09,520,127
2016,0,20572,Rod Pampling,4.09,442,108
2016,0,35451,Scott Pinckney,4.09,659,161
2016,0,34264,Hudson Swafford,4.09,613,150
2016,0,28114,Dawie van der Walt,4.09,749,183
2016,0,20098,Stuart Appleby,4.11,407,99
2016,0,31416,Derek Fathauer,4.11,691,168
2016,0,30927,Brendon Todd,4.11,390,95
2016,0,25892,Steve Wheatcroft,4.11,842,205
2016,0,24358,Robert Garrigus,4.12,470,114
2016,0,32618,Rhein Gibson,4.12,474,115
2016,0,30163,Henrik Norlander,4.12,606,147
2016,0,23320,Ryan Palmer,4.12,445,108
2016,0,35545,Blayne Barber,4.13,528,128
2016,0,35539,Luke Guthrie,4.13,467,113
2016,0,25364,Paul Casey,4.15,270,65
2016,0,29720,Andres Gonzales,4.15,851,205
2016,0,32448,James Hahn,4.15,386,93
2016,0,20848,Ángel Cabrera,4.17,525,126
2016,0,34098,Russell Henley,4.17,413,99
2016,0,35732,Wes Roach,4.17,546,131
2016,0,27770,Camilo Villegas,4.17,496,119
2016,0,28092,D.H. Lee,4.2,542,129
2016,0,25274,Steven Bowditch,4.23,559,132
2016,0,10885,Robert Allenby,4.24,645,152
2016,0,35300,Andrew Loupe,4.25,761,179
2015,0,21528,Henrik Stenson,3.84,396,103
2015,0,28089,Jason Day,3.89,618,159
2015,0,27141,J.B. Holmes,3.89,572,147
2015,0,24507,Jason Bohn,3.92,772,197
2015,0,29725,Tony Finau,3.92,776,198
2015,0,24490,George McNeill,3.92,478,122
2015,0,33122,Russell Knox,3.93,826,210
2015,0,36689,Brooks Koepka,3.93,767,195
2015,0,33413,Ben Martin,3.93,424,108
2015,0,26596,Ryan Moore,3.93,216,55
2015,0,30692,Scott Stallings,3.93,342,87
2015,0,26289,Boo Weekley,3.93,476,121
2015,0,24361,Pat Perez,3.94,654,166
2015,0,34046,Jordan Spieth,3.94,803,204
2015,0,29518,Brendan Steele,3.94,748,190
2015,0,34265,Will Wilcox,3.94,433,110
2015,0,10809,Jim Furyk,3.95,576,146
2015,0,23621,Rory Sabbatini,3.95,446,113
2015,0,25834,Daniel Summerhays,3.95,739,187
2015,0,25804,Bubba Watson,3.95,522,132
2015,0,25892,Steve Wheatcroft,3.95,656,166
2015,0,29720,Andres Gonzales,3.96,547,138
2015,0,12716,Charley Hoffman,3.96,475,120
2015,0,24140,Sean O'Hair,3.96,923,233
2015,0,27770,Camilo Villegas,3.96,614,155
2015,0,25632,Jimmy Walker,3.96,954,241
2015,0,25686,Jason Dufner,3.97,524,132
2015,0,28500,Martin Flores,3.97,938,236
2015,0,27644,Brian Harman,3.97,611,154
2015,0,36699,Patrick Rodgers,3.97,651,164
2015,0,34431,Robert Streb,3.97,825,208
2015,0,27095,Nick Watney,3.97,647,163
2015,0,20396,Lee Westwood,3.97,294,74
2015,0,21878,Mark Wilson,3.97,524,132
2015,0,30925,Dustin Johnson,3.98,649,163
2015,0,34409,David Lingmerth,3.98,521,131
2015,0,32448,James Hahn,3.99,809,203
2015,0,26758,David Hearn,3.99,797,200
2015,0,24024,Zach Johnson,3.99,949,238
2015,0,25198,Francesco Molinari,3.99,543,136
2015,0,24502,Adam Scott,3.99,515,129
2015,0,6567,Vijay Singh,3.99,343,86
2015,0,33418,Shawn Stefani,3.99,542,136
2015,0,2206,David Toms,3.99,695,174
2015,0,20771,Steven Alker,4.0,480,120
2015,0,29478,Kevin Kisner,4.0,780,195
2015,0,32839,Hideki Matsuyama,4.0,688,172
2015,0,31202,William McGirt,4.0,1044,261
2015,0,20691,Greg Owen,4.0,512,128
2015,0,20472,Alex Cejka,4.01,702,175
2015,0,20593,Greg Chalmers,4.01,373,93
2015,0,34099,Harris English,4.01,838,209
2015,0,32102,Rickie Fowler,4.01,773,193
