YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
2024,35,0,57900,Chandler Phillips,69.58,1670,24
2024,36,0,33448,Justin Thomas,69.63,2437,35
2024,37,0,35506,Mackenzie Hughes,69.64,2507,36
2024,38,0,34563,Chesson Hadley,69.69,906,13
2024,38,0,39971,Sungjae Im,69.69,2927,42
2024,38,0,30163,Henrik Norlander,69.69,1812,26
2024,41,0,52514,Trace Crowe,69.7,1394,20
2024,41,0,55182,Tom Kim,69.7,2579,37
2024,43,0,54576,Patrick Fishburn,69.71,1673,24
2024,44,0,35532,Tom Hoge,69.74,2650,38
2024,45,0,59836,Pierceson Coody,69.75,1395,20
2024,46,0,33399,Adam Hadwin,69.76,1744,25
2024,46,0,37275,Sam Ryder,69.76,1744,25
2024,48,0,37455,Si Woo Kim,69.77,2442,35
2024,48,0,40162,Justin Lower,69.77,2163,31
2024,48,0,46340,Alex Smalley,69.77,2163,31
2024,51,0,52955,Ludvig Åberg,69.78,2791,40
2024,51,0,40026,Daniel Berger,69.78,1605,23
2024,51,0,39546,Keith Mitchell,69.78,1605,23
2024,51,0,54783,Dylan Wu,69.78,1256,18
2024,55,0,33653,Thomas Detry,69.79,2024,29
2024,55,0,57366,Cameron Young,69.79,2652,38
2024,57,0,47993,Denny McCarthy,69.82,2304,33
2024,58,0,34255,Joseph Bramlett,69.83,1676,24
2024,58,0,59143,Mac Meissner,69.83,1257,18
2024,60,0,48699,Callum Tarren,69.87,1048,15
2024,60,0,40006,Erik van Rooyen,69.87,2096,30
2024,62,0,29420,Billy Horschel,69.89,2446,35
2024,62,0,48153,Matthieu Pavon,69.89,1887,27
2024,64,0,36801,Mark Hubbard,69.9,2097,30
2024,64,0,32839,Hideki Matsuyama,69.9,2726,39
2024,66,0,39324,J.J. Spaun,69.93,1049,15
2024,67,0,27936,Martin Laird,69.94,1189,17
2024,67,0,33204,Shane Lowry,69.94,2378,34
2024,69,0,56630,Akshay Bhatia,69.95,3008,43
2024,69,0,50497,Adrien Dumont de Chassart,69.95,1399,20
2024,71,0,28420,Ryan Brehm,70.0,210,3
2024,71,0,30911,Tommy Fleetwood,70.0,2450,35
2024,71,0,34098,Russell Henley,70.0,2520,36
2024,71,0,51696,Rico Hoey,70.0,2030,29
2024,75,0,29725,Tony Finau,70.02,3081,44
2024,75,0,28237,Rory McIlroy,70.02,3011,43
2024,77,0,24502,Adam Scott,70.03,2381,34
2024,78,0,27214,Kevin Streelman,70.04,1611,23
2024,79,0,32367,Jorge Campillo,70.05,1331,19
2024,80,0,52372,Cameron Champ,70.06,1121,16
2024,80,0,51766,Wyndham Clark,70.06,2522,36
2024,80,0,38991,Alejandro Tosti,70.06,1261,18
2024,83,0,45522,Christiaan Bezuidenhout,70.07,2102,30
2024,84,0,34099,Harris English,70.09,2453,35
2024,84,0,27139,David Skinns,70.09,1612,23
2024,86,0,37378,Min Woo Lee,70.11,1963,28
2024,87,0,36699,Patrick Rodgers,70.12,2384,34
2024,88,0,50484,Hayden Springer,70.13,1683,24
2024,89,0,33948,Byeong Hun An,70.15,2385,34
2024,90,0,36799,Stephan Jaeger,70.18,2807,40
2024,91,0,57362,Austin Eckroat,70.21,2387,34
2024,92,0,57975,Harry Hall,70.22,1615,23
2024,93,0,28252,Seamus Power,70.23,2177,31
2024,94,0,47504,Sam Burns,70.24,3161,45
2024,94,0,46717,Viktor Hovland,70.24,1756,25
2024,96,0,47420,Jake Knapp,70.28,2038,29
2024,96,0,34046,Jordan Spieth,70.28,2249,32
2024,98,0,48084,Wesley Bryan,70.29,984,14
2024,98,0,49771,J.T. Poston,70.29,2460,35
2024,100,0,47988,Nick Hardy,70.3,703,10
2024,100,0,36884,Ben Kohles,70.3,2109,30
2024,102,0,33141,Keegan Bradley,70.31,2461,35
2024,103,0,36326,David Lipsky,70.32,1336,19
2024,104,0,40058,Zac Blair,70.33,1688,24
2024,104,0,47591,Eric Cole,70.33,3024,43
2024,104,0,24024,Zach Johnson,70.33,844,12
2024,107,0,35450,Patrick Cantlay,70.35,2603,37
2024,108,0,33408,Tyson Alexander,70.36,985,14
2024,108,0,34021,Bud Cauley,70.36,985,14
2024,108,0,39975,Michael Kim,70.36,1759,25
2024,111,0,46113,Ryan McCormick,70.37,1337,19
2024,112,0,59442,Parker Coody,70.38,1126,16
2024,113,0,60067,Joe Highsmith,70.39,1619,23
2024,114,0,25900,Lucas Glover,70.41,2746,39
2024,114,0,27644,Brian Harman,70.41,2746,39
2024,114,0,28775,Nate Lashley,70.41,1197,17
2024,114,0,40115,Adam Svensson,70.41,1901,27
2024,118,0,48887,Matt Wallace,70.44,1127,16
2024,119,0,48867,Matti Schmid,70.46,1691,24
2024,119,0,47483,Will Zalatoris,70.46,2607,37
2024,121,0,51287,Ryo Hisatsune,70.47,1198,17
2024,122,0,54628,Lee Hodges,70.5,1974,28
2024,122,0,32640,Troy Merritt,70.5,1833,26
2024,122,0,32333,Kevin Tway,70.5,1410,20
2024,125,0,47995,Davis Riley,70.56,1129,16
2024,126,0,30927,Brendon Todd,70.6,2471,35
2024,127,0,59866,Nick Dunlap,70.62,2401,34
2024,127,0,29908,C.T. Pan,70.62,1483,21
2024,127,0,26476,Chez Reavie,70.62,918,13
2024,130,0,36871,Matt NeSmith,70.63,1130,16
2024,130,0,25493,Nick Taylor,70.63,2260,32
2024,132,0,40098,Matt Fitzpatrick,70.65,2614,37
2024,132,0,60767,Blaine Hale Jr.,70.65,1201,17
2024,132,0,47983,Chad Ramey,70.65,1413,20
2024,135,0,39997,Corey Conners,70.66,2897,41
2024,136,0,47663,Kevin Dougherty,70.68,1343,19
2024,137,0,50095,Austin Smotherman,70.71,495,7
2024,138,0,30926,Chris Kirk,70.72,2546,36
2024,139,0,34076,Joel Dahmen,70.73,1839,26
2024,139,0,23108,Matt Kuchar,70.73,1556,22
2024,139,0,52374,Brandon Wu,70.73,1061,15
2024,142,0,39977,Max Homa,70.81,2266,32
2024,143,0,49960,Sepp Straka,70.86,2551,36
2024,144,0,32070,Rafael Campos,70.87,1630,23
2024,145,0,32102,Rickie Fowler,70.88,2410,34
2024,145,0,48119,Ben Taylor,70.88,1134,16
2024,147,0,50493,Justin Suh,70.9,1489,21
2024,147,0,35617,Martin Trainer,70.9,709,10
2024,149,0,46441,Robby Shelton,70.92,1773,25
2024,150,0,45609,Tyler Duncan,70.94,1206,17
2024,151,0,55454,Carl Yuan,70.95,1419,20
2024,152,0,28089,Jason Day,71.0,2343,33
2024,152,0,31646,Emiliano Grillo,71.0,2343,33
2024,152,0,55789,Taylor Montgomery,71.0,1065,15
2024,155,0,29936,Ryan Fox,71.03,2202,31
2024,156,0,27129,Luke List,71.07,995,14
2024,157,0,23320,Ryan Palmer,71.08,924,13
2024,158,0,49947,Taylor Moore,71.1,2133,30
2024,159,0,45157,Cam Davis,71.17,2562,36
2024,159,0,22405,Justin Rose,71.17,1708,24
2024,161,0,48117,Kurt Kitayama,71.24,2066,29
2024,162,0,33486,Roger Sloan,71.27,784,11
2024,163,0,34466,Peter Malnati,71.29,1711,24
2024,164,0,34256,Andrew Putnam,71.35,1213,17
2024,165,0,52453,Nicolai Højgaard,71.39,1642,23
2024,166,0,32366,Kevin Chappell,71.42,857,12
2024,167,0,22371,Aaron Baddeley,71.56,1145,16
2024,168,0,26596,Ryan Moore,71.6,1790,25
2024,169,0,56149,Wilson Furr,71.64,1003,14
2024,170,0,27649,Brandt Snedeker,71.77,933,13
2024,171,0,47347,Adam Schenk,71.88,1725,24
2024,172,0,29478,Kevin Kisner,72.0,720,10
2024,172,0,51070,Vincent Norrman,72.0,360,5
2024,172,0,27770,Camilo Villegas,72.0,720,10
2024,175,0,50188,S.H. Kim,72.05,1513,21
2024,176,0,48319,Tom Whitney,72.2,1083,15
2024,177,0,33968,Thorbjørn Olesen,72.21,1011,14
2024,178,0,29221,Webb Simpson,72.29,1012,14
2024,179,0,54421,Garrick Higgo,72.33,1302,18
2024,180,0,55708,Hayden Buckley,72.53,1233,17
2024,181,0,31323,Gary Woodland,72.64,1598,22
2024,182,0,34374,Erik Barnes,72.67,1308,18
2024,183,0,37212,Paul Barjon,73.0,1095,15
2024,184,0,47806,Raul Pereda,74.0,962,13
2023,1,0,52955,Ludvig Åberg,68.31,1776,26
2023,2,0,45609,Tyler Duncan,68.42,1300,19
2023,3,0,46046,Scottie Scheffler,68.52,3700,54
2023,4,0,27644,Brian Harman,68.6,2744,40
2023,5,0,28237,Rory McIlroy,68.65,2952,43
2023,6,0,46970,Jon Rahm,68.79,2958,43
2023,7,0,45157,Cam Davis,68.8,2821,41
2023,8,0,39977,Max Homa,68.85,3649,53
2023,8,0,58696,Peter Kuest,68.85,1377,20
2023,10,0,33399,Adam Hadwin,68.97,2207,32
2023,11,0,26596,Ryan Moore,69.0,1587,23
2023,12,0,47993,Denny McCarthy,69.07,2832,41
2023,13,0,30911,Tommy Fleetwood,69.1,2695,39
2023,14,0,31646,Emiliano Grillo,69.11,2419,35
2023,15,0,55182,Tom Kim,69.16,2974,43
2023,16,0,25900,Lucas Glover,69.19,2145,31
2023,17,0,52374,Brandon Wu,69.21,2007,29
2023,18,0,46717,Viktor Hovland,69.22,3807,55
2023,19,0,57362,Austin Eckroat,69.26,2355,34
2023,19,0,46442,Maverick McNealy,69.26,1870,27
2023,21,0,35450,Patrick Cantlay,69.29,2910,42
2023,22,0,39971,Sungjae Im,69.31,3604,52
2023,23,0,22371,Aaron Baddeley,69.35,1387,20
2023,23,0,29908,C.T. Pan,69.35,1179,17
2023,25,0,55708,Hayden Buckley,69.38,1457,21
2023,26,0,49771,J.T. Poston,69.41,2707,39
2023,27,0,34363,Tyrrell Hatton,69.43,2430,35
2023,28,0,40006,Erik van Rooyen,69.47,1181,17
2023,29,0,30163,Henrik Norlander,69.48,1737,25
2023,29,0,25493,Nick Taylor,69.48,2015,29
2023,31,0,29725,Tony Finau,69.5,2502,36
2023,32,0,51766,Wyndham Clark,69.52,3059,44
2023,33,0,52453,Nicolai Hojgaard,69.53,1321,19
2023,34,0,34431,Robert Streb,69.54,904,13
2023,35,0,48081,Xander Schauffele,69.56,3130,45
2023,36,0,47591,Eric Cole,69.57,3687,53
2023,36,0,34098,Russell Henley,69.57,2087,30
2023,38,0,28089,Jason Day,69.58,2644,38
2023,38,0,36801,Mark Hubbard,69.58,2505,36
2023,40,0,40250,Taylor Pendrith,69.61,2506,36
2023,41,0,48119,Ben Taylor,69.65,1811,26
2023,42,0,32757,Patton Kizzire,69.66,2020,29
2023,43,0,35506,Mackenzie Hughes,69.67,2090,30
2023,43,0,36699,Patrick Rodgers,69.67,2508,36
2023,45,0,46340,Alex Smalley,69.68,2369,34
2023,46,0,52372,Cameron Champ,69.7,1394,20
2023,47,0,45242,Kevin Yu,69.71,1185,17
2023,48,0,32102,Rickie Fowler,69.76,3418,49
2023,48,0,33122,Russell Knox,69.76,1186,17
2023,50,0,34563,Chesson Hadley,69.77,2163,31
2023,50,0,55789,Taylor Montgomery,69.77,3000,43
2023,52,0,35532,Tom Hoge,69.78,2512,36
2023,53,0,34076,Joel Dahmen,69.79,1954,28
2023,53,0,24502,Adam Scott,69.79,2024,29
2023,55,0,33141,Keegan Bradley,69.8,2792,40
2023,56,0,27349,Alex Noren,69.81,2513,36
2023,57,0,27936,Martin Laird,69.82,768,11
2023,57,0,28252,Seamus Power,69.82,2304,33
2023,59,0,50525,Collin Morikawa,69.84,3422,49
2023,59,0,22405,Justin Rose,69.84,2235,32
2023,61,0,37275,Sam Ryder,69.86,2585,37
2023,61,0,52513,Carson Young,69.86,1956,28
2023,63,0,27214,Kevin Streelman,69.87,2096,30
2023,63,0,30927,Brendon Todd,69.87,2166,31
2023,65,0,36799,Stephan Jaeger,69.89,2516,36
2023,65,0,23108,Matt Kuchar,69.89,2586,37
2023,67,0,56630,Akshay Bhatia,69.9,2027,29
2023,68,0,39997,Corey Conners,69.91,2447,35
2023,69,0,49947,Taylor Moore,69.97,2449,35
2023,70,0,35461,Beau Hossler,69.98,2869,41
2023,71,0,52375,Doug Ghim,70.0,1610,23
2023,71,0,32791,K.H. Lee,70.0,2240,32
2023,71,0,34256,Andrew Putnam,70.0,2520,36
2023,74,0,33948,Byeong Hun An,70.02,2941,42
2023,75,0,35901,Paul Haley II,70.06,1191,17
2023,76,0,34099,Harris English,70.07,2102,30
2023,76,0,49960,Sepp Straka,70.07,2032,29
2023,78,0,47347,Adam Schenk,70.09,3154,45
2023,79,0,55893,Sam Stevens,70.12,2384,34
2023,80,0,40098,Matt Fitzpatrick,70.13,2665,38
2023,80,0,51070,Vincent Norrman,70.13,2244,32
2023,80,0,22056,Cameron Percy,70.13,1122,16
2023,80,0,46414,Aaron Rai,70.13,2174,31
2023,84,0,54591,Ben Griffin,70.14,3016,43
2023,84,0,50188,S.H. Kim,70.14,2525,36
2023,84,0,51634,Sahith Theegala,70.14,3016,43
2023,87,0,30926,Chris Kirk,70.18,2807,40
2023,88,0,47988,Nick Hardy,70.21,2317,33
2023,88,0,28775,Nate Lashley,70.21,2036,29
2023,90,0,35449,Adam Long,70.22,1896,27
2023,90,0,58168,Davis Thompson,70.22,2528,36
2023,92,0,47504,Sam Burns,70.24,2388,34
2023,92,0,37455,Si Woo Kim,70.24,2318,33
2023,94,0,49298,Kramer Hickok,70.29,1687,24
2023,94,0,12716,Charley Hoffman,70.29,1687,24
2023,94,0,36871,Matt NeSmith,70.29,2460,35
2023,94,0,25818,Scott Piercy,70.29,1476,21
2023,98,0,26476,Chez Reavie,70.36,985,14
2023,98,0,50493,Justin Suh,70.36,2955,42
2023,100,0,34046,Jordan Spieth,70.37,2674,38
2023,101,0,27129,Luke List,70.38,1478,21
2023,101,0,32640,Troy Merritt,70.38,1478,21
2023,101,0,47995,Davis Riley,70.38,2745,39
2023,104,0,51890,Greyson Sigg,70.39,2182,31
2023,105,0,39975,Michael Kim,70.41,2605,37
2023,106,0,34255,Joseph Bramlett,70.42,1338,19
2023,107,0,32366,Kevin Chappell,70.43,986,14
2023,108,0,25686,Jason Dufner,70.44,1268,18
2023,109,0,45522,Christiaan Bezuidenhout,70.45,2184,31
2023,110,0,49453,Trevor Cone,70.47,1198,17
2023,110,0,33448,Justin Thomas,70.47,2255,32
2023,112,0,35879,Kelly Kraft,70.48,1621,23
2023,113,0,55454,Carl Yuan,70.52,1763,25
2023,114,0,33413,Ben Martin,70.55,2046,29
2023,115,0,31557,Jim Herman,70.57,494,7
2023,115,0,39324,J.J. Spaun,70.57,1976,28
2023,117,0,40115,Adam Svensson,70.58,2682,38
2023,117,0,57366,Cameron Young,70.58,2188,31
2023,119,0,32839,Hideki Matsuyama,70.62,2754,39
2023,120,0,36724,Augusto Núñez,70.65,1413,20
2023,121,0,57975,Harry Hall,70.66,2261,32
2023,122,0,39058,Lucas Herbert,70.67,848,12
2023,122,0,31202,William McGirt,70.67,636,9
2023,124,0,46441,Robby Shelton,70.68,2191,31
2023,125,0,46435,Austin Cook,70.7,1414,20
2023,125,0,54628,Lee Hodges,70.7,2333,33
2023,125,0,34610,Matthias Schwab,70.7,1626,23
2023,125,0,25632,Jimmy Walker,70.7,1626,23
2023,129,0,48867,Matti Schmid,70.71,1980,28
2023,130,0,24925,Jonathan Byrd,70.73,1061,15
2023,130,0,47983,Chad Ramey,70.73,1556,22
2023,132,0,31577,Tano Goya,70.74,1910,27
2023,132,0,48887,Matt Wallace,70.74,1627,23
2023,134,0,40058,Zac Blair,70.75,1698,24
2023,134,0,29289,S.Y. Noh,70.75,849,12
2023,136,0,29221,Webb Simpson,70.76,1203,17
2023,137,0,27963,Chris Stroud,70.77,920,13
2023,138,0,37338,Zecheng Dou,70.78,1628,23
2023,139,0,40162,Justin Lower,70.83,2125,30
2023,140,0,48084,Wesley Bryan,70.85,921,13
2023,141,0,50095,Austin Smotherman,70.86,2055,29
2023,142,0,47079,Harrison Endycott,70.88,1843,26
2023,143,0,33408,Tyson Alexander,70.92,1844,26
2023,143,0,33653,Thomas Detry,70.92,2624,37
2023,145,0,20229,Stewart Cink,70.94,1135,16
2023,146,0,56762,Will Gordon,70.97,2342,33
2023,146,0,54783,Dylan Wu,70.97,2058,29
2023,148,0,59018,Ryan Gerard,71.0,1349,19
2023,148,0,35310,Lanto Griffin,71.0,497,7
2023,148,0,27095,Nick Watney,71.0,781,11
2023,151,0,39546,Keith Mitchell,71.03,2131,30
2023,151,0,48699,Callum Tarren,71.03,2628,37
2023,153,0,29535,Brice Garnett,71.04,1705,24
2023,153,0,34409,David Lingmerth,71.04,1847,26
2023,153,0,34466,Peter Malnati,71.04,1989,28
2023,156,0,51950,Max McGreevy,71.05,1563,22
2023,157,0,51414,Brent Grant,71.08,1777,25
2023,157,0,32448,James Hahn,71.08,924,13
2023,159,0,39067,MJ Daffue,71.11,1351,19
2023,159,0,23320,Ryan Palmer,71.11,1280,18
2023,161,0,51997,Andrew Novak,71.13,2134,30
2023,162,0,19803,Ryan Armour,71.14,1494,21
2023,163,0,30692,Scott Stallings,71.19,1495,21
2023,164,0,24024,Zach Johnson,71.2,1424,20
2023,165,0,54421,Garrick Higgo,71.21,1353,19
2023,165,0,27974,Sung Kang,71.21,997,14
2023,167,0,53165,Doc Redman,71.3,1426,20
2023,167,0,31323,Gary Woodland,71.3,2139,30
2023,169,0,39954,Cody Gribble,71.33,1284,18
2023,170,0,33204,Shane Lowry,71.35,1855,26
2023,170,0,32139,Danny Willett,71.35,1855,26
2023,172,0,29420,Billy Horschel,71.4,2142,30
2023,173,0,24140,Sean O'Hair,71.43,1000,14
2023,174,0,28420,Ryan Brehm,71.47,1072,15
2023,175,0,51349,Nico Echavarria,71.5,1430,20
2023,176,0,48117,Kurt Kitayama,71.52,1931,27
2023,177,0,32816,Satoshi Kodaira,71.55,787,11
2023,177,0,31560,Brian Stuard,71.55,787,11
2023,179,0,32333,Kevin Tway,71.58,1360,19
2023,180,0,47128,Richy Werenski,71.64,1003,14
2023,181,0,29970,Dylan Frittelli,71.67,645,9
2023,182,0,27554,Scott Harrington,71.76,1794,25
2023,183,0,52411,Kyle Westmoreland,71.89,1294,18
2023,184,0,36326,David Lipsky,71.9,2085,29
2023,184,0,35617,Martin Trainer,71.9,719,10
2023,186,0,39335,Kevin Roy,71.96,1655,23
2023,187,0,33597,Harry Higgs,72.0,2160,30
2023,188,0,49766,Hank Lebioda,72.12,1226,17
2023,188,0,58967,Trevor Werbylo,72.12,1226,17
2023,190,0,32662,Michael Gligic,72.25,867,12
2023,190,0,46601,Trey Mullinax,72.25,1156,16
2023,192,0,33410,Andrew Landry,73.0,292,4
2023,193,0,51491,Brandon Matthews,73.07,1023,14
2022,1,0,35450,Patrick Cantlay,68.63,2951,43
2022,2,0,33448,Justin Thomas,68.98,3173,46
2022,3,0,48081,Xander Schauffele,69.0,2760,40
2022,4,0,29725,Tony Finau,69.15,2351,34
2022,5,0,35891,Cameron Smith,69.2,2422,35
2022,6,0,46046,Scottie Scheffler,69.23,3046,44
2022,7,0,22056,Cameron Percy,69.27,762,11
2022,8,0,28237,Rory McIlroy,69.28,2702,39
2022,9,0,40098,Matt Fitzpatrick,69.3,2772,40
2022,10,0,32839,Hideki Matsuyama,69.31,2495,36
2022,11,0,19803,Ryan Armour,69.33,832,12
2022,11,0,26300,Matt Jones,69.33,1040,15
2022,13,0,39971,Sungjae Im,69.39,3053,44
2022,14,0,39546,Keith Mitchell,69.46,1806,26
2022,15,0,33204,Shane Lowry,69.47,2084,30
2022,16,0,46435,Austin Cook,69.53,1043,15
2022,16,0,28252,Seamus Power,69.53,2086,30
2022,18,0,29478,Kevin Kisner,69.54,1947,28
2022,19,0,34098,Russell Henley,69.59,2227,32
2022,19,0,33667,Carlos Ortiz,69.59,1183,17
2022,21,0,46402,Talor Gooch,69.61,2158,31
2022,21,0,36801,Mark Hubbard,69.61,1253,18
2022,23,0,27214,Kevin Streelman,69.63,1671,24
2022,24,0,46601,Trey Mullinax,69.65,1602,23
2022,25,0,34563,Chesson Hadley,69.67,1463,21
2022,25,0,34174,John Huh,69.67,1463,21
2022,27,0,27349,Alex Noren,69.72,1743,25
2022,28,0,35449,Adam Long,69.73,1534,22
2022,29,0,29420,Billy Horschel,69.74,2162,31
2022,29,0,47993,Denny McCarthy,69.74,2441,35
2022,29,0,48887,Matt Wallace,69.74,1325,19
2022,32,0,49947,Taylor Moore,69.77,1814,26
2022,32,0,45486,Joaquin Niemann,69.77,3000,43
2022,34,0,30927,Brendon Todd,69.78,1256,18
2022,35,0,23983,Luke Donald,69.79,977,14
2022,35,0,30926,Chris Kirk,69.79,1954,28
2022,37,0,45157,Cam Davis,69.8,1745,25
2022,37,0,32662,Michael Gligic,69.8,1396,20
2022,39,0,46970,Jon Rahm,69.84,2654,38
2022,40,0,39977,Max Homa,69.87,2725,39
2022,41,0,37189,Harold Varner III,69.92,2587,37
2022,42,0,23108,Matt Kuchar,69.97,2099,30
2022,42,0,30692,Scott Stallings,69.97,2449,35
2022,44,0,49964,Aaron Wise,69.98,2869,41
2022,45,0,47504,Sam Burns,70.0,3290,47
2022,45,0,24925,Jonathan Byrd,70.0,700,10
2022,45,0,27644,Brian Harman,70.0,1890,27
2022,45,0,12716,Charley Hoffman,70.0,1120,16
2022,45,0,37455,Si Woo Kim,70.0,2520,36
2022,45,0,50525,Collin Morikawa,70.0,2030,29
2022,45,0,23320,Ryan Palmer,70.0,1610,23
2022,45,0,32150,Michael Thompson,70.0,1050,15
2022,45,0,47483,Will Zalatoris,70.0,2730,39
2022,54,0,46717,Viktor Hovland,70.03,2451,35
2022,54,0,46442,Maverick McNealy,70.03,2031,29
2022,54,0,49960,Sepp Straka,70.03,2031,29
2022,57,0,26851,Marc Leishman,70.04,1961,28
2022,58,0,34046,Jordan Spieth,70.05,2662,38
2022,59,0,33399,Adam Hadwin,70.06,2242,32
2022,60,0,34431,Robert Streb,70.07,1051,15
2022,61,0,47995,Davis Riley,70.08,2803,40
2022,62,0,45522,Christiaan Bezuidenhout,70.09,1612,23
2022,62,0,32757,Patton Kizzire,70.09,1542,22
2022,62,0,57366,Cameron Young,70.09,3014,43
2022,65,0,39997,Corey Conners,70.1,2033,29
2022,66,0,30163,Henrik Norlander,70.11,1332,19
2022,67,0,49298,Kramer Hickok,70.13,1683,24
2022,68,0,31420,Anirban Lahiri,70.14,1543,22
2022,69,0,25900,Lucas Glover,70.15,1894,27
2022,70,0,27974,Sung Kang,70.17,1263,18
2022,70,0,28775,Nate Lashley,70.17,1684,24
2022,70,0,24502,Adam Scott,70.17,2035,29
2022,73,0,21961,Charles Howell III,70.19,1474,21
2022,74,0,34363,Tyrrell Hatton,70.2,2106,30
2022,74,0,37275,Sam Ryder,70.2,1404,20
2022,74,0,23621,Rory Sabbatini,70.2,1053,15
2022,77,0,49771,J.T. Poston,70.21,1966,28
2022,78,0,47988,Nick Hardy,70.24,1194,17
2022,79,0,45526,Abraham Ancer,70.25,1686,24
2022,80,0,31323,Gary Woodland,70.26,2178,31
2022,81,0,24924,Bill Haas,70.29,1687,24
2022,82,0,36699,Patrick Rodgers,70.3,1617,23
2022,82,0,52374,Brandon Wu,70.3,1406,20
2022,84,0,34076,Joel Dahmen,70.33,1477,21
2022,84,0,35310,Lanto Griffin,70.33,1266,18
2022,84,0,32816,Satoshi Kodaira,70.33,1055,15
2022,84,0,40115,Adam Svensson,70.33,2532,36
2022,88,0,30911,Tommy Fleetwood,70.35,1829,26
2022,88,0,36326,David Lipsky,70.35,1829,26
2022,88,0,29908,C.T. Pan,70.35,1407,20
2022,91,0,29970,Dylan Frittelli,70.36,1548,22
2022,91,0,31646,Emiliano Grillo,70.36,1970,28
2022,93,0,32448,James Hahn,70.37,1337,19
2022,94,0,27649,Brandt Snedeker,70.39,1267,18
2022,95,0,30944,Jason Kokrak,70.44,1268,18
2022,95,0,27064,Jhonattan Vegas,70.44,2254,32
2022,97,0,36799,Stephan Jaeger,70.46,1832,26
2022,98,0,39324,J.J. Spaun,70.47,2114,30
2022,99,0,35506,Mackenzie Hughes,70.48,1903,27
2022,99,0,34466,Peter Malnati,70.48,1621,23
2022,101,0,20229,Stewart Cink,70.5,1974,28
2022,101,0,24980,Scott Gutschewski,70.5,987,14
2022,101,0,35532,Tom Hoge,70.5,2679,38
2022,101,0,54783,Dylan Wu,70.5,1269,18
2022,105,0,48117,Kurt Kitayama,70.52,2186,31
2022,106,0,46414,Aaron Rai,70.56,1905,27
2022,107,0,33141,Keegan Bradley,70.57,2117,30
2022,107,0,25493,Nick Taylor,70.57,1482,21
2022,109,0,51894,Vince Whaley,70.59,1553,22
2022,110,0,33122,Russell Knox,70.6,1765,25
2022,110,0,40006,Erik van Rooyen,70.6,1059,15
2022,112,0,29974,Branden Grace,70.62,918,13
2022,113,0,49766,Hank Lebioda,70.64,1554,22
2022,114,0,45609,Tyler Duncan,70.65,1201,17
2022,114,0,35879,Kelly Kraft,70.65,1201,17
2022,116,0,36852,Jim Knous,70.67,848,12
2022,116,0,22405,Justin Rose,70.67,1272,18
2022,118,0,51766,Wyndham Clark,70.69,2474,35
2022,118,0,51997,Andrew Novak,70.69,1131,16
2022,120,0,51950,Max McGreevy,70.71,1980,28
2022,121,0,55708,Hayden Buckley,70.73,2122,30
2022,121,0,52375,Doug Ghim,70.73,1556,22
2022,121,0,36689,Brooks Koepka,70.73,1556,22
2022,121,0,26476,Chez Reavie,70.73,1061,15
2022,125,0,27936,Martin Laird,70.75,1132,16
2022,125,0,40250,Taylor Pendrith,70.75,1698,24
2022,127,0,28089,Jason Day,70.76,1486,21
2022,127,0,53165,Doc Redman,70.76,1203,17
2022,127,0,29518,Brendan Steele,70.76,1769,25
2022,130,0,54628,Lee Hodges,70.78,1911,27
