YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2023,0,47079,Harrison Endycott,54.55%,24,44
2023,0,48117,Kurt Kitayama,54.55%,12,22
2023,0,34046,Jordan Spieth,54.29%,19,35
2023,0,40115,Adam Svensson,54.00%,27,50
2023,0,27349,Alex Noren,53.66%,22,41
2023,0,32816,Satoshi Kodaira,53.33%,8,15
2023,0,30911,Tommy Fleetwood,53.13%,17,32
2023,0,35901,Paul Haley II,53.13%,17,32
2023,0,49947,Taylor Moore,53.13%,17,32
2023,0,40250,Taylor Pendrith,53.13%,17,32
2023,0,32366,Kevin Chappell,52.94%,9,17
2023,0,47128,Richy Werenski,52.78%,19,36
2023,0,29289,S.Y. Noh,52.63%,10,19
2023,0,36699,Patrick Rodgers,52.63%,20,38
2023,0,22405,Justin Rose,52.38%,11,21
2023,0,32448,James Hahn,52.17%,12,23
2023,0,50525,Collin Morikawa,52.17%,12,23
2023,0,29221,Webb Simpson,52.17%,12,23
2023,0,34363,Tyrrell Hatton,51.85%,14,27
2023,0,24024,Zach Johnson,51.72%,15,29
2023,0,30926,Chris Kirk,51.61%,16,31
2023,0,26476,Chez Reavie,51.61%,16,31
2023,0,39975,Michael Kim,51.52%,17,33
2023,0,27129,Luke List,51.52%,17,33
2023,0,31646,Emiliano Grillo,51.28%,20,39
2023,0,32757,Patton Kizzire,51.28%,20,39
2023,0,51766,Wyndham Clark,50.00%,19,38
2023,0,45609,Tyler Duncan,50.00%,11,22
2023,0,29725,Tony Finau,50.00%,11,22
2023,0,27554,Scott Harrington,50.00%,13,26
2023,0,35532,Tom Hoge,50.00%,18,36
2023,0,39546,Keith Mitchell,50.00%,15,30
2023,0,27214,Kevin Streelman,50.00%,24,48
2023,0,37275,Sam Ryder,48.94%,23,47
2023,0,49771,J.T. Poston,48.89%,22,45
2023,0,48119,Ben Taylor,48.89%,22,45
2023,0,36871,Matt NeSmith,48.84%,21,43
2023,0,36799,Stephan Jaeger,48.72%,19,39
2023,0,35449,Adam Long,48.65%,18,37
2023,0,25493,Nick Taylor,48.57%,17,35
2023,0,27644,Brian Harman,48.48%,16,33
2023,0,36724,Augusto Núñez,48.48%,16,33
2023,0,47504,Sam Burns,48.39%,15,31
2023,0,28775,Nate Lashley,48.39%,15,31
2023,0,30692,Scott Stallings,48.15%,13,27
2023,0,55454,Carl Yuan,48.15%,13,27
2023,0,51349,Nico Echavarria,48.00%,12,25
2023,0,39954,Cody Gribble,48.00%,12,25
2023,0,49298,Kramer Hickok,48.00%,12,25
2023,0,35310,Lanto Griffin,47.83%,11,23
2023,0,50188,S.H. Kim,47.83%,22,46
2023,0,26596,Ryan Moore,47.83%,11,23
2023,0,57366,Cameron Young,47.62%,10,21
2023,0,30927,Brendon Todd,47.22%,17,36
2023,0,39997,Corey Conners,47.06%,16,34
2023,0,33122,Russell Knox,47.06%,16,34
2023,0,30163,Henrik Norlander,47.06%,16,34
2023,0,32102,Rickie Fowler,46.43%,13,28
2023,0,32791,K.H. Lee,46.43%,13,28
2023,0,51890,Greyson Sigg,46.34%,19,41
2023,0,52453,Nicolai Hojgaard,46.15%,6,13
2023,0,55182,Tom Kim,46.15%,12,26
2023,0,33410,Andrew Landry,46.15%,12,26
2023,0,33204,Shane Lowry,46.15%,12,26
2023,0,54421,Garrick Higgo,45.95%,17,37
2023,0,33413,Ben Martin,45.95%,17,37
2023,0,47993,Denny McCarthy,45.95%,17,37
2023,0,45157,Cam Davis,45.83%,11,24
2023,0,47988,Nick Hardy,45.71%,16,35
2023,0,55893,Sam Stevens,45.65%,21,46
2023,0,52372,Cameron Champ,45.45%,10,22
2023,0,46414,Aaron Rai,45.45%,20,44
2023,0,53165,Doc Redman,45.45%,10,22
2023,0,50095,Austin Smotherman,45.24%,19,42
2023,0,50493,Justin Suh,45.00%,18,40
2023,0,40098,Matt Fitzpatrick,44.83%,13,29
2023,0,25632,Jimmy Walker,44.74%,17,38
2023,0,29535,Brice Garnett,44.44%,16,36
2023,0,46441,Robby Shelton,44.44%,16,36
2023,0,34076,Joel Dahmen,44.12%,15,34
2023,0,34099,Harris English,44.12%,15,34
2023,0,35879,Kelly Kraft,44.12%,15,34
2023,0,59018,Ryan Gerard,43.75%,14,32
2023,0,31557,Jim Herman,43.33%,13,30
2023,0,35450,Patrick Cantlay,42.86%,9,21
2023,0,39058,Lucas Herbert,42.86%,12,28
2023,0,54783,Dylan Wu,42.86%,15,35
2023,0,35506,Mackenzie Hughes,42.42%,14,33
2023,0,39335,Kevin Roy,42.31%,11,26
2023,0,40006,Erik van Rooyen,42.31%,11,26
2023,0,22371,Aaron Baddeley,41.67%,10,24
2023,0,28420,Ryan Brehm,41.67%,10,24
2023,0,24925,Jonathan Byrd,41.67%,5,12
2023,0,47591,Eric Cole,41.67%,20,48
2023,0,29970,Dylan Frittelli,41.67%,15,36
2023,0,33141,Keegan Bradley,41.38%,12,29
2023,0,48699,Callum Tarren,41.18%,14,34
2023,0,52374,Brandon Wu,41.18%,7,17
2023,0,33408,Tyson Alexander,41.03%,16,39
2023,0,25686,Jason Dufner,40.91%,9,22
2023,0,33399,Adam Hadwin,40.91%,18,44
2023,0,22056,Cameron Percy,40.74%,11,27
2023,0,25818,Scott Piercy,40.63%,13,32
2023,0,36326,David Lipsky,40.48%,17,42
2023,0,34255,Joseph Bramlett,40.00%,14,35
2023,0,37338,Zecheng Dou,40.00%,10,25
2023,0,46601,Trey Mullinax,40.00%,10,25
2023,0,32333,Kevin Tway,40.00%,14,35
2023,0,52411,Kyle Westmoreland,40.00%,8,20
2023,0,33597,Harry Higgs,39.47%,15,38
2023,0,57362,Austin Eckroat,39.39%,13,33
2023,0,52375,Doug Ghim,39.39%,13,33
2023,0,54628,Lee Hodges,39.39%,13,33
2023,0,34098,Russell Henley,39.29%,11,28
2023,0,39324,J.J. Spaun,39.29%,11,28
2023,0,31560,Brian Stuard,39.29%,11,28
2023,0,49766,Hank Lebioda,39.13%,9,23
2023,0,32139,Danny Willett,38.89%,7,18
2023,0,34409,David Lingmerth,38.46%,10,26
2023,0,27963,Chris Stroud,38.46%,5,13
2023,0,46970,Jon Rahm,37.93%,11,29
2023,0,34431,Robert Streb,37.84%,14,37
2023,0,20229,Stewart Cink,36.67%,11,30
2023,0,51950,Max McGreevy,36.67%,11,30
2023,0,32662,Michael Gligic,36.36%,8,22
2023,0,35617,Martin Trainer,36.36%,8,22
2023,0,51491,Brandon Matthews,36.00%,9,25
2023,0,28252,Seamus Power,36.00%,9,25
2023,0,48867,Matti Schmid,36.00%,9,25
2023,0,34610,Matthias Schwab,36.00%,18,50
2023,0,23320,Ryan Palmer,35.71%,10,28
2023,0,28089,Jason Day,35.48%,11,31
2023,0,46046,Scottie Scheffler,35.29%,6,17
2023,0,52513,Carson Young,35.00%,14,40
2023,0,19803,Ryan Armour,34.29%,12,35
2023,0,27936,Martin Laird,34.21%,13,38
2023,0,49960,Sepp Straka,33.33%,10,30
2023,0,47995,Davis Riley,32.26%,10,31
2023,0,31323,Gary Woodland,32.14%,9,28
2023,0,45242,Kevin Yu,30.77%,8,26
2023,0,12716,Charley Hoffman,30.00%,6,20
2023,0,32839,Hideki Matsuyama,29.63%,8,27
2023,0,27095,Nick Watney,29.63%,8,27
2023,0,52955,Ludvig Åberg,25.00%,3,12
2022,0,33204,Shane Lowry,72.73,8,11
2022,0,39058,Lucas Herbert,72.41,21,29
2022,0,45522,Christiaan Bezuidenhout,70.59,12,17
2022,0,48117,Kurt Kitayama,70.0,14,20
2022,0,29478,Kevin Kisner,69.57,16,23
2022,0,30944,Jason Kokrak,69.23,18,26
2022,0,47993,Denny McCarthy,68.52,37,54
2022,0,40098,Matt Fitzpatrick,68.42,13,19
2022,0,39436,Joshua Creel,66.67,12,18
2022,0,29974,Branden Grace,66.67,12,18
2022,0,27644,Brian Harman,66.67,26,39
2022,0,35450,Patrick Cantlay,65.22,15,23
2022,0,28237,Rory McIlroy,65.0,13,20
2022,0,23325,Vaughn Taylor,64.29,9,14
2022,0,29908,C.T. Pan,64.0,16,25
2022,0,32150,Michael Thompson,63.41,26,41
2022,0,28775,Nate Lashley,63.16,12,19
2022,0,30163,Henrik Norlander,63.16,12,19
2022,0,27349,Alex Noren,62.5,20,32
2022,0,33448,Justin Thomas,62.5,15,24
2022,0,32139,Danny Willett,62.5,10,16
2022,0,29420,Billy Horschel,61.76,21,34
2022,0,34363,Tyrrell Hatton,61.54,8,13
2022,0,24024,Zach Johnson,61.54,16,26
2022,0,36852,Jim Knous,61.54,8,13
2022,0,29289,S.Y. Noh,61.54,16,26
2022,0,30692,Scott Stallings,61.54,24,39
2022,0,32333,Kevin Tway,61.36,27,44
2022,0,29725,Tony Finau,61.29,19,31
2022,0,27974,Sung Kang,61.29,19,31
2022,0,34256,Andrew Putnam,61.11,22,36
2022,0,23320,Ryan Palmer,60.0,15,25
2022,0,40250,Taylor Pendrith,60.0,15,25
2022,0,52374,Brandon Wu,60.0,12,20
2022,0,34563,Chesson Hadley,59.26,16,27
2022,0,37212,Paul Barjon,58.33,14,24
2022,0,32816,Satoshi Kodaira,58.33,7,12
2022,0,22056,Cameron Percy,58.33,7,12
2022,0,29221,Webb Simpson,58.33,7,12
2022,0,23108,Matt Kuchar,57.78,26,45
2022,0,32791,K.H. Lee,57.45,27,47
2022,0,48084,Wesley Bryan,57.14,8,14
2022,0,27214,Kevin Streelman,57.14,16,28
2022,0,25493,Nick Taylor,57.14,24,42
2022,0,31323,Gary Woodland,57.14,12,21
2022,0,39546,Keith Mitchell,56.25,18,32
2022,0,10381,Curtis Thompson,56.25,9,16
2022,0,46414,Aaron Rai,56.1,23,41
2022,0,46402,Talor Gooch,56.0,14,25
2022,0,47529,Mito Pereira,56.0,14,25
2022,0,24138,Ian Poulter,56.0,14,25
2022,0,46340,Alex Smalley,55.88,19,34
2022,0,34360,Patrick Reed,55.56,15,27
2022,0,27139,David Skinns,55.56,15,27
2022,0,47504,Sam Burns,55.26,21,38
2022,0,39997,Corey Conners,55.17,16,29
2022,0,27770,Camilo Villegas,55.17,16,29
2022,0,33597,Harry Higgs,55.0,22,40
2022,0,33141,Keegan Bradley,54.55,18,33
2022,0,46435,Austin Cook,54.55,12,22
2022,0,24502,Adam Scott,54.55,18,33
2022,0,49960,Sepp Straka,54.55,18,33
2022,0,47483,Will Zalatoris,54.55,12,22
2022,0,29518,Brendan Steele,53.85,14,26
2022,0,30926,Chris Kirk,53.33,16,30
2022,0,45157,Cam Davis,52.63,20,38
2022,0,25198,Francesco Molinari,52.63,10,19
2022,0,48081,Xander Schauffele,52.63,10,19
2022,0,48887,Matt Wallace,52.63,10,19
2022,0,33399,Adam Hadwin,52.5,21,40
2022,0,21961,Charles Howell III,52.38,11,21
2022,0,27649,Brandt Snedeker,52.17,12,23
2022,0,34264,Hudson Swafford,52.0,13,25
2022,0,46601,Trey Mullinax,51.85,14,27
2022,0,39324,J.J. Spaun,51.85,14,27
2022,0,39977,Max Homa,51.72,15,29
2022,0,34431,Robert Streb,51.72,15,29
2022,0,35506,Mackenzie Hughes,51.61,16,31
2022,0,24361,Pat Perez,51.43,18,35
2022,0,26476,Chez Reavie,51.43,18,35
2022,0,40115,Adam Svensson,51.16,22,43
2022,0,55708,Hayden Buckley,50.0,13,26
2022,0,24925,Jonathan Byrd,50.0,5,10
2022,0,51766,Wyndham Clark,50.0,16,32
2022,0,30911,Tommy Fleetwood,50.0,11,22
2022,0,29535,Brice Garnett,50.0,13,26
2022,0,32662,Michael Gligic,50.0,10,20
2022,0,33490,Bo Hoag,50.0,8,16
2022,0,36801,Mark Hubbard,50.0,13,26
2022,0,53165,Doc Redman,50.0,14,28
2022,0,36699,Patrick Rodgers,50.0,17,34
2022,0,23621,Rory Sabbatini,50.0,11,22
2022,0,35891,Cameron Smith,50.0,4,8
2022,0,30927,Brendon Todd,50.0,13,26
2022,0,40006,Erik van Rooyen,50.0,6,12
2022,0,47347,Adam Schenk,49.02,25,51
2022,0,34076,Joel Dahmen,48.28,14,29
2022,0,28252,Seamus Power,48.28,14,29
2022,0,49964,Aaron Wise,48.28,14,29
2022,0,51894,Vince Whaley,48.15,13,27
2022,0,31646,Emiliano Grillo,48.0,12,25
2022,0,40162,Justin Lower,48.0,12,25
2022,0,49298,Kramer Hickok,47.83,11,23
2022,0,26851,Marc Leishman,47.83,11,23
2022,0,12716,Charley Hoffman,47.37,9,19
2022,0,29926,Danny Lee,47.37,9,19
2022,0,51890,Greyson Sigg,47.22,17,36
2022,0,35532,Tom Hoge,47.06,16,34
2022,0,27936,Martin Laird,46.67,14,30
2022,0,47856,Seth Reeves,46.67,7,15
2022,0,37189,Harold Varner III,46.67,14,30
2022,0,57366,Cameron Young,46.67,14,30
2022,0,35310,Lanto Griffin,46.51,20,43
2022,0,45486,Joaquin Niemann,46.43,13,28
2022,0,25818,Scott Piercy,46.15,12,26
2022,0,49771,J.T. Poston,46.15,18,39
2022,0,35110,Brett Drewitt,45.45,5,11
2022,0,32102,Rickie Fowler,45.45,10,22
2022,0,33122,Russell Knox,45.16,14,31
2022,0,36884,Ben Kohles,45.0,9,20
2022,0,36326,David Lipsky,45.0,18,40
2022,0,23983,Luke Donald,44.44,12,27
2022,0,29970,Dylan Frittelli,44.44,16,36
2022,0,32757,Patton Kizzire,44.44,16,36
2022,0,27064,Jhonattan Vegas,44.44,12,27
2022,0,46550,Brandon Hagy,44.0,11,25
2022,0,36689,Brooks Koepka,43.75,7,16
2022,0,46046,Scottie Scheffler,43.48,10,23
2022,0,36871,Matthew NeSmith,43.24,16,37
2022,0,45526,Abraham Ancer,42.86,12,28
2022,0,19803,Ryan Armour,42.86,3,7
2022,0,34255,Joseph Bramlett,42.86,12,28
2022,0,52375,Doug Ghim,42.86,12,28
2022,0,24980,Scott Gutschewski,42.86,6,14
2022,0,35461,Beau Hossler,42.86,18,42
2022,0,36799,Stephan Jaeger,42.86,18,42
2022,0,37455,Si Woo Kim,42.86,18,42
2022,0,31420,Anirban Lahiri,42.31,11,26
2022,0,51997,Andrew Novak,42.31,11,26
2022,0,39971,Sungjae Im,42.11,8,19
2022,0,24924,Bill Haas,41.67,15,36
2022,0,34466,Peter Malnati,41.67,20,48
2022,0,34098,Russell Henley,41.46,17,41
2022,0,35449,Adam Long,41.38,12,29
2022,0,32839,Hideki Matsuyama,41.18,14,34
2022,0,49947,Taylor Moore,41.03,16,39
2022,0,50095,Austin Smotherman,40.91,9,22
2022,0,32448,James Hahn,40.74,11,27
2022,0,34610,Matthias Schwab,40.63,13,32
2022,0,47128,Richy Werenski,40.63,13,32
2022,0,25686,Jason Dufner,40.0,8,20
2022,0,34174,John Huh,40.0,6,15
2022,0,32640,Troy Merritt,40.0,16,40
2022,0,46970,Jon Rahm,40.0,10,25
2022,0,34046,Jordan Spieth,40.0,12,30
2022,0,33419,Cameron Tringale,39.47,15,38
2022,0,26300,Matt Jones,39.39,13,33
2022,0,54783,Dylan Wu,39.29,11,28
2022,0,35879,Kelly Kraft,39.13,9,23
2022,0,22405,Justin Rose,38.89,7,18
2022,0,25900,Lucas Glover,38.71,12,31
2022,0,54421,Garrick Higgo,38.46,10,26
2022,0,46717,Viktor Hovland,38.46,10,26
2022,0,56278,Matthew Wolff,38.46,5,13
2022,0,51634,Sahith Theegala,38.1,16,42
2022,0,45540,Jared Wolfe,38.1,8,21
2022,0,50525,Collin Morikawa,37.5,6,16
2022,0,49766,Hank Lebioda,37.04,10,27
2022,0,46442,Maverick McNealy,36.0,18,50
2022,0,28114,Dawie van der Walt,35.71,5,14
2022,0,47988,Nick Hardy,34.78,8,23
2022,0,48699,Callum Tarren,34.78,8,23
2022,0,27095,Nick Watney,34.78,8,23
2022,0,48822,Sebastián Muñoz,34.48,10,29
2022,0,54628,Lee Hodges,34.29,12,35
2022,0,32366,Kevin Chappell,33.33,6,18
