YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,81,0,39324,J.J. Spaun,12.50%,20,160,+0.05
2024,83,0,39975,Michael Kim,12.35%,20,162,-0.35
2024,84,0,22405,Justin Rose,12.30%,15,122,-0.07
2024,85,0,48867,Matti Schmid,12.18%,19,156,+0.21
2024,86,0,50497,Adrien Dumont de Chassart,12.16%,18,148,-0.50
2024,87,0,40115,Adam Svensson,12.15%,26,214,+0.15
2024,88,0,34466,Peter Malnati,12.00%,18,150,+0.56
2024,89,0,40098,Matt Fitzpatrick,11.97%,17,142,-0.24
2024,90,0,32070,Rafael Campos,11.67%,14,120,-0.07
2024,91,0,60067,Joe Highsmith,11.43%,16,140,+0.13
2024,92,0,30911,Tommy Fleetwood,11.27%,16,142,+0.19
2024,93,0,29420,Billy Horschel,11.18%,17,152,+0.41
2024,94,0,34021,Bud Cauley,11.11%,12,108,E
2024,94,0,57362,Austin Eckroat,11.11%,20,180,-0.10
2024,94,0,59143,Mac Meissner,11.11%,16,144,E
2024,94,0,51894,Vince Whaley,11.11%,16,144,-0.25
2024,98,0,50188,S.H. Kim,10.95%,23,210,+0.09
2024,99,0,60004,Jacob Bridgeman,10.90%,17,156,+0.18
2024,100,0,46442,Maverick McNealy,10.87%,20,184,+0.10
2024,101,0,52666,Sami Valimaki,10.83%,13,120,+0.31
2024,102,0,32839,Hideki Matsuyama,10.81%,16,148,E
2024,103,0,29221,Webb Simpson,10.78%,11,102,-0.18
2024,104,0,40006,Erik van Rooyen,10.76%,17,158,-0.12
2024,105,0,12716,Charley Hoffman,10.71%,15,140,-0.07
2024,105,0,33204,Shane Lowry,10.71%,15,140,-0.07
2024,105,0,48699,Callum Tarren,10.71%,15,140,-0.27
2024,108,0,33408,Tyson Alexander,10.67%,16,150,+0.19
2024,109,0,46717,Viktor Hovland,10.53%,12,114,E
2024,110,0,54628,Lee Hodges,10.44%,19,182,E
2024,111,0,36871,Matt NeSmith,10.42%,15,144,-0.07
2024,112,0,52514,Trace Crowe,10.29%,14,136,+0.21
2024,113,0,47995,Davis Riley,10.27%,15,146,-0.07
2024,113,0,45242,Kevin Yu,10.27%,15,146,E
2024,115,0,32791,K.H. Lee,10.26%,16,156,+0.06
2024,116,0,55454,Carl Yuan,10.16%,13,128,E
2024,117,0,54421,Garrick Higgo,10.13%,16,158,E
2024,117,0,55182,Tom Kim,10.13%,16,158,-0.19
2024,119,0,59442,Parker Coody,10.00%,11,110,-0.27
2024,119,0,32333,Kevin Tway,10.00%,12,120,-0.33
2024,121,0,34563,Chesson Hadley,9.85%,13,132,-0.08
2024,122,0,45157,Cam Davis,9.74%,15,154,+0.47
2024,123,0,52215,Robert MacIntyre,9.72%,14,144,+0.14
2024,124,0,34255,Joseph Bramlett,9.52%,16,168,E
2024,125,0,28089,Jason Day,9.42%,13,138,-0.08
2024,126,0,35450,Patrick Cantlay,9.23%,12,130,+0.17
2024,127,0,51070,Vincent Norrman,9.18%,9,98,+0.33
2024,128,0,35310,Lanto Griffin,9.03%,13,144,-0.08
2024,129,0,46113,Ryan McCormick,9.02%,11,122,+0.09
2024,130,0,48084,Wesley Bryan,9.00%,9,100,-0.33
2024,131,0,33653,Thomas Detry,8.96%,12,134,-0.17
2024,132,0,35461,Beau Hossler,8.82%,15,170,-0.20
2024,133,0,50493,Justin Suh,8.78%,13,148,+0.23
2024,134,0,47988,Nick Hardy,8.62%,15,174,+0.20
2024,135,0,34099,Harris English,8.60%,16,186,+0.06
2024,136,0,54576,Patrick Fishburn,8.57%,12,140,-0.33
2024,137,0,58168,Davis Thompson,8.33%,15,180,E
2024,138,0,33141,Keegan Bradley,8.23%,13,158,E
2024,139,0,55893,Sam Stevens,8.16%,16,196,+0.19
2024,140,0,39546,Keith Mitchell,8.02%,13,162,+0.15
2024,141,0,34046,Jordan Spieth,7.86%,11,140,+0.36
2024,142,0,27129,Luke List,7.79%,12,154,-0.08
2024,143,0,24502,Adam Scott,7.75%,11,142,-0.18
2024,144,0,36799,Stephan Jaeger,7.59%,12,158,+0.17
2024,145,0,28420,Ryan Brehm,7.50%,9,120,+0.33
2024,145,0,36699,Patrick Rodgers,7.50%,15,200,+0.07
2024,147,0,27139,David Skinns,7.32%,12,164,E
2024,148,0,33968,Thorbjørn Olesen,7.29%,7,96,E
2024,149,0,51997,Andrew Novak,7.23%,12,166,E
2024,150,0,49947,Taylor Moore,7.07%,14,198,-0.07
2024,151,0,56149,Wilson Furr,7.02%,8,114,+0.38
2024,152,0,39977,Max Homa,6.96%,11,158,+0.18
2024,153,0,47504,Sam Burns,6.85%,10,146,+0.10
2024,154,0,47663,Kevin Dougherty,6.45%,8,124,-0.25
2024,155,0,46046,Scottie Scheffler,6.34%,9,142,+0.22
2024,156,0,50484,Hayden Springer,6.25%,9,144,+0.22
2024,157,0,52453,Nicolai Højgaard,6.14%,7,114,+0.14
2024,158,0,47347,Adam Schenk,5.98%,11,184,+0.36
2024,159,0,51696,Rico Hoey,5.95%,10,168,-0.20
2024,160,0,60767,Blaine Hale Jr.,5.77%,6,104,E
2024,161,0,46340,Alex Smalley,5.41%,8,148,-0.25
2024,162,0,51634,Sahith Theegala,5.38%,10,186,+0.50
2024,163,0,52955,Ludvig Åberg,5.33%,8,150,-0.13
2024,163,0,47420,Jake Knapp,5.33%,8,150,+0.50
2024,165,0,51977,Max Greyserman,5.19%,8,154,-0.13
2024,166,0,59836,Pierceson Coody,5.13%,8,156,-0.25
2024,167,0,29725,Tony Finau,5.06%,8,158,+0.13
2024,167,0,48081,Xander Schauffele,5.06%,8,158,-0.13
2024,169,0,37212,Paul Barjon,4.72%,5,106,+1.40
2024,170,0,33948,Byeong Hun An,4.67%,7,150,E
2024,171,0,37378,Min Woo Lee,4.55%,6,132,-0.50
2024,172,0,59866,Nick Dunlap,4.48%,6,134,E
2024,173,0,48117,Kurt Kitayama,4.43%,7,158,+0.14
2024,174,0,31323,Gary Woodland,4.38%,7,160,E
2024,175,0,57366,Cameron Young,4.32%,7,162,-0.14
2024,176,0,59095,Chris Gotterup,4.23%,6,142,+0.17
2024,177,0,33448,Justin Thomas,3.73%,5,134,-0.20
2024,178,0,52372,Cameron Champ,3.51%,4,114,+0.25
2024,179,0,51766,Wyndham Clark,2.99%,4,134,+0.50
2024,180,0,27064,Jhonattan Vegas,2.78%,4,144,+0.50
2024,181,0,38991,Alejandro Tosti,2.17%,3,138,+0.33
2024,182,0,40250,Taylor Pendrith,1.97%,3,152,E
2024,183,0,29936,Ryan Fox,1.28%,2,156,E
2024,184,0,28237,Rory McIlroy,.72%,1,138,E
2023,1,0,34409,David Lingmerth,40.34%,71,176,-0.23
2023,2,0,30927,Brendon Todd,36.54%,76,208,-0.14
2023,3,0,31202,William McGirt,35.85%,38,106,-0.29
2023,4,0,31560,Brian Stuard,35.62%,52,146,-0.15
2023,5,0,32816,Satoshi Kodaira,33.33%,42,126,-0.24
2023,6,0,46435,Austin Cook,31.76%,54,170,-0.17
2023,7,0,34256,Andrew Putnam,31.53%,70,222,-0.04
2023,8,0,35879,Kelly Kraft,30.56%,55,180,-0.16
2023,9,0,27963,Chris Stroud,29.82%,34,114,-0.15
2023,10,0,33122,Russell Knox,28.95%,66,228,-0.11
2023,11,0,40058,Zac Blair,28.85%,45,156,-0.13
2023,12,0,19803,Ryan Armour,28.80%,53,184,E
2023,13,0,26596,Ryan Moore,25.90%,43,166,-0.33
2023,14,0,24925,Jonathan Byrd,25.83%,31,120,-0.13
2023,15,0,35449,Adam Long,25.66%,58,226,-0.10
2023,16,0,26476,Chez Reavie,25.52%,49,192,+0.14
2023,17,0,31557,Jim Herman,25.32%,39,154,+0.03
2023,18,0,22371,Aaron Baddeley,23.75%,38,160,-0.11
2023,19,0,53165,Doc Redman,23.72%,37,156,-0.05
2023,20,0,35901,Paul Haley II,23.37%,43,184,-0.19
2023,21,0,33410,Andrew Landry,23.13%,37,160,E
2023,22,0,36326,David Lipsky,22.33%,46,206,+0.09
2023,23,0,29535,Brice Garnett,22.09%,38,172,-0.11
2023,24,0,27974,Sung Kang,21.43%,21,98,E
2023,25,0,33413,Ben Martin,21.36%,44,206,-0.20
2023,26,0,24024,Zach Johnson,21.32%,29,136,-0.07
2023,27,0,25818,Scott Piercy,21.21%,42,198,-0.17
2023,28,0,22056,Cameron Percy,20.90%,28,134,-0.14
2023,28,0,32139,Danny Willett,20.90%,28,134,+0.25
2023,30,0,34098,Russell Henley,20.83%,35,168,-0.17
2023,31,0,23108,Matt Kuchar,20.33%,37,182,-0.16
2023,32,0,36801,Mark Hubbard,20.26%,47,232,-0.13
2023,33,0,24140,Sean O'Hair,20.19%,21,104,-0.19
2023,34,0,51950,Max McGreevy,20.11%,37,184,-0.11
2023,35,0,27936,Martin Laird,19.89%,35,176,+0.06
2023,35,0,25493,Nick Taylor,19.89%,37,186,-0.11
2023,37,0,27644,Brian Harman,19.35%,36,186,-0.08
2023,38,0,27095,Nick Watney,19.08%,29,152,+0.52
2023,39,0,32640,Troy Merritt,19.02%,35,184,-0.06
2023,40,0,46414,Aaron Rai,18.57%,39,210,+0.10
2023,41,0,47079,Harrison Endycott,18.54%,33,178,+0.12
2023,42,0,46441,Robby Shelton,18.27%,38,208,-0.21
2023,43,0,52374,Brandon Wu,18.26%,42,230,-0.05
2023,44,0,33399,Adam Hadwin,18.18%,32,176,+0.22
2023,45,0,47983,Chad Ramey,17.82%,36,202,-0.11
2023,46,0,37455,Si Woo Kim,17.50%,35,200,+0.26
2023,47,0,40115,Adam Svensson,17.21%,42,244,+0.05
2023,48,0,37275,Sam Ryder,17.12%,38,222,+0.13
2023,49,0,28252,Seamus Power,17.07%,28,164,+0.07
2023,50,0,34099,Harris English,17.01%,33,194,+0.21
2023,51,0,45522,Christiaan Bezuidenhout,16.85%,30,178,+0.13
2023,51,0,34076,Joel Dahmen,16.85%,31,184,+0.03
2023,53,0,46442,Maverick McNealy,16.67%,21,126,-0.10
2023,54,0,40162,Justin Lower,16.51%,36,218,-0.03
2023,55,0,52513,Carson Young,16.16%,32,198,-0.03
2023,56,0,34610,Matthias Schwab,16.02%,33,206,-0.06
2023,57,0,35532,Tom Hoge,15.87%,33,208,-0.03
2023,58,0,51890,Greyson Sigg,15.71%,33,210,+0.03
2023,59,0,36871,Matt NeSmith,15.66%,31,198,+0.23
2023,60,0,39971,Sungjae Im,15.38%,32,208,-0.03
2023,60,0,30163,Henrik Norlander,15.38%,28,182,-0.04
2023,62,0,57362,Austin Eckroat,15.31%,30,196,-0.23
2023,63,0,34466,Peter Malnati,15.26%,29,190,+0.07
2023,64,0,30926,Chris Kirk,15.22%,28,184,+0.14
2023,65,0,39997,Corey Conners,15.12%,26,172,E
2023,66,0,54783,Dylan Wu,15.09%,32,212,-0.16
2023,67,0,55182,Tom Kim,15.00%,27,180,+0.19
2023,68,0,30911,Tommy Fleetwood,14.86%,22,148,E
2023,69,0,23320,Ryan Palmer,14.56%,23,158,-0.09
2023,70,0,39058,Lucas Herbert,14.52%,18,124,+0.28
2023,71,0,25900,Lucas Glover,14.50%,29,200,E
2023,71,0,47993,Denny McCarthy,14.50%,29,200,+0.03
2023,73,0,32839,Hideki Matsuyama,14.37%,25,174,E
2023,74,0,47591,Eric Cole,14.29%,36,252,+0.11
2023,75,0,50493,Justin Suh,14.04%,32,228,-0.09
2023,76,0,52375,Doug Ghim,13.98%,26,186,-0.15
2023,77,0,49766,Hank Lebioda,13.93%,17,122,-0.12
2023,78,0,49298,Kramer Hickok,13.92%,27,194,-0.26
2023,79,0,54591,Ben Griffin,13.87%,33,238,-0.09
2023,80,0,28775,Nate Lashley,13.55%,29,214,+0.07
2023,81,0,27214,Kevin Streelman,13.54%,26,192,+0.12
2023,82,0,35506,Mackenzie Hughes,13.48%,24,178,-0.08
2023,83,0,34563,Chesson Hadley,13.30%,25,188,+0.40
2023,84,0,33408,Tyson Alexander,13.16%,25,190,+0.08
2023,84,0,35310,Lanto Griffin,13.16%,15,114,+0.33
2023,84,0,29221,Webb Simpson,13.16%,15,114,+0.07
2023,87,0,32662,Michael Gligic,13.01%,19,146,-0.16
2023,88,0,50095,Austin Smotherman,13.00%,26,200,E
2023,89,0,55789,Taylor Montgomery,12.75%,26,204,+0.31
2023,90,0,25686,Jason Dufner,12.64%,23,182,+0.04
2023,91,0,51997,Andrew Novak,12.63%,24,190,+0.17
2023,92,0,32366,Kevin Chappell,12.50%,14,112,-0.14
2023,92,0,29289,S.Y. Noh,12.50%,17,136,-0.06
2023,92,0,22405,Justin Rose,12.50%,17,136,-0.24
2023,95,0,57975,Harry Hall,12.25%,25,204,-0.28
2023,96,0,45609,Tyler Duncan,12.23%,23,188,-0.13
2023,97,0,59018,Ryan Gerard,12.10%,15,124,E
2023,98,0,33597,Harry Higgs,11.90%,20,168,-0.10
2023,98,0,30692,Scott Stallings,11.90%,20,168,-0.05
2023,100,0,34431,Robert Streb,11.73%,19,162,-0.11
2023,101,0,29420,Billy Horschel,11.72%,15,128,E
2023,102,0,51349,Nico Echavarria,11.54%,18,156,-0.11
2023,103,0,31646,Emiliano Grillo,11.50%,26,226,+0.12
2023,103,0,32757,Patton Kizzire,11.50%,23,200,-0.04
2023,103,0,49771,J.T. Poston,11.50%,23,200,-0.09
2023,106,0,48084,Wesley Bryan,11.46%,11,96,+0.18
2023,107,0,29908,C.T. Pan,11.32%,12,106,-0.08
2023,108,0,48887,Matt Wallace,11.31%,19,168,+0.05
2023,109,0,39324,J.J. Spaun,10.78%,22,204,+0.14
2023,110,0,56630,Akshay Bhatia,10.71%,18,168,-0.22
2023,111,0,47128,Richy Werenski,10.61%,21,198,+0.10
2023,112,0,31577,Tano Goya,10.56%,19,180,-0.21
2023,113,0,47347,Adam Schenk,10.50%,25,238,+0.08
2023,114,0,50525,Collin Morikawa,10.49%,17,162,-0.12
2023,115,0,33448,Justin Thomas,10.42%,15,144,+0.07
2023,116,0,49960,Sepp Straka,10.33%,19,184,-0.16
2023,117,0,32791,K.H. Lee,10.28%,22,214,E
2023,118,0,46340,Alex Smalley,10.27%,23,224,+0.09
2023,119,0,29725,Tony Finau,10.12%,17,168,+0.18
2023,120,0,32448,James Hahn,10.00%,16,160,+0.06
2023,121,0,12716,Charley Hoffman,9.88%,16,162,E
2023,122,0,37338,Zecheng Dou,9.79%,19,194,+0.05
2023,123,0,33141,Keegan Bradley,9.76%,16,164,E
2023,124,0,35450,Patrick Cantlay,9.72%,14,144,+0.21
2023,125,0,35617,Martin Trainer,9.52%,12,126,+0.33
2023,126,0,48119,Ben Taylor,9.43%,20,212,+0.20
2023,127,0,54628,Lee Hodges,9.35%,20,214,+0.25
2023,128,0,39954,Cody Gribble,9.29%,13,140,-0.15
2023,129,0,39975,Michael Kim,9.28%,18,194,+0.11
2023,130,0,46601,Trey Mullinax,9.15%,13,142,E
2023,131,0,40006,Erik van Rooyen,8.97%,14,156,-0.14
2023,132,0,49947,Taylor Moore,8.91%,18,202,+0.11
2023,133,0,33204,Shane Lowry,8.87%,11,124,-0.09
2023,134,0,51766,Wyndham Clark,8.82%,18,204,-0.22
2023,135,0,27554,Scott Harrington,8.75%,14,160,+0.29
2023,136,0,52453,Nicolai Hojgaard,8.70%,8,92,-0.13
2023,136,0,27349,Alex Noren,8.70%,16,184,+0.25
2023,138,0,47504,Sam Burns,8.64%,14,162,E
2023,139,0,33653,Thomas Detry,8.59%,17,198,E
2023,140,0,46717,Viktor Hovland,8.52%,15,176,E
2023,141,0,51634,Sahith Theegala,8.49%,18,212,-0.06
2023,142,0,34363,Tyrrell Hatton,8.33%,13,156,+0.31
2023,143,0,52411,Kyle Westmoreland,8.23%,13,158,+0.38
2023,144,0,36799,Stephan Jaeger,8.20%,20,244,+0.20
2023,145,0,39977,Max Homa,8.14%,14,172,+0.21
2023,145,0,25632,Jimmy Walker,8.14%,14,172,-0.21
2023,147,0,28089,Jason Day,8.13%,13,160,-0.31
2023,148,0,56762,Will Gordon,8.11%,18,222,E
2023,149,0,24502,Adam Scott,8.09%,11,136,+0.27
2023,150,0,48081,Xander Schauffele,8.02%,13,162,-0.23
2023,151,0,39335,Kevin Roy,7.89%,12,152,-0.25
2023,152,0,58967,Trevor Werbylo,7.83%,13,166,+0.15
2023,153,0,46970,Jon Rahm,7.75%,11,142,+0.09
2023,154,0,36724,Augusto Núñez,7.65%,13,170,-0.38
2023,155,0,34046,Jordan Spieth,7.64%,11,144,E
2023,156,0,47988,Nick Hardy,7.63%,18,236,-0.28
2023,157,0,58696,Peter Kuest,7.61%,7,92,-0.43
2023,158,0,40098,Matt Fitzpatrick,7.53%,11,146,+0.09
2023,159,0,55708,Hayden Buckley,7.14%,12,168,-0.25
2023,160,0,52372,Cameron Champ,7.05%,11,156,-0.09
2023,160,0,29970,Dylan Frittelli,7.05%,11,156,E
2023,162,0,32333,Kevin Tway,6.93%,14,202,+0.57
2023,163,0,47995,Davis Riley,6.86%,14,204,+0.64
2023,163,0,36699,Patrick Rodgers,6.86%,14,204,-0.21
2023,165,0,54421,Garrick Higgo,6.80%,14,206,E
2023,166,0,58168,Davis Thompson,6.77%,13,192,+0.31
2023,167,0,28420,Ryan Brehm,6.40%,11,172,-0.18
2023,168,0,45242,Kevin Yu,6.34%,9,142,+0.11
2023,169,0,20229,Stewart Cink,6.25%,10,160,+0.10
2023,169,0,48117,Kurt Kitayama,6.25%,9,144,+0.67
2023,171,0,40250,Taylor Pendrith,6.06%,12,198,+0.17
2023,171,0,48699,Callum Tarren,6.06%,12,198,+0.50
2023,173,0,51414,Brent Grant,5.95%,10,168,E
2023,173,0,55454,Carl Yuan,5.95%,10,168,-0.30
2023,175,0,32102,Rickie Fowler,5.21%,10,192,E
2023,176,0,46046,Scottie Scheffler,5.11%,9,176,-0.22
2023,177,0,51491,Brandon Matthews,5.08%,6,118,-0.33
2023,178,0,48867,Matti Schmid,5.06%,8,158,+0.63
2023,179,0,52955,Ludvig Åberg,5.00%,5,100,E
2023,179,0,27129,Luke List,5.00%,10,200,E
2023,181,0,49453,Trevor Cone,4.88%,8,164,-0.13
2023,182,0,39067,MJ Daffue,4.85%,10,206,-0.30
2023,183,0,31323,Gary Woodland,4.82%,8,166,E
2023,184,0,39546,Keith Mitchell,4.79%,9,188,-0.22
2023,185,0,33948,Byeong Hun An,4.76%,10,210,+0.30
2023,186,0,55893,Sam Stevens,4.72%,10,212,+0.30
2023,187,0,45157,Cam Davis,4.40%,8,182,+0.13
2023,188,0,35461,Beau Hossler,4.09%,9,220,-0.11
2023,189,0,57366,Cameron Young,3.49%,6,172,+0.17
2023,190,0,34255,Joseph Bramlett,3.13%,5,160,-0.60
2023,191,0,51070,Vincent Norrman,2.94%,5,170,-0.40
2023,192,0,50188,S.H. Kim,2.70%,6,222,-0.33
2023,193,0,28237,Rory McIlroy,.00%,0,128,E
2022,1,0,30927,Brendon Todd,44.3,70,158,-0.21
2022,2,0,23325,Vaughn Taylor,37.74,40,106,-0.33
2022,3,0,26476,Chez Reavie,37.06,63,170,-0.06
2022,4,0,31560,Brian Stuard,35.96,64,178,-0.19
2022,5,0,19803,Ryan Armour,33.0,33,100,-0.12
2022,6,0,39436,Joshua Creel,31.91,30,94,+0.03
2022,7,0,51950,Max McGreevy,31.25,45,144,+0.04
2022,8,0,34256,Andrew Putnam,30.56,55,180,-0.02
2022,9,0,46435,Austin Cook,29.71,41,138,+0.07
2022,10,0,24024,Zach Johnson,28.91,37,128,-0.03
2022,11,0,32816,Satoshi Kodaira,28.72,27,94,-0.37
2022,12,0,29478,Kevin Kisner,28.03,37,132,-0.24
2022,13,0,31557,Jim Herman,27.45,28,102,+0.18
2022,14,0,27649,Brandt Snedeker,27.12,32,118,-0.03
2022,15,0,23621,Rory Sabbatini,26.36,29,110,+0.17
2022,16,0,25686,Jason Dufner,26.0,26,100,+0.04
2022,17,0,30163,Henrik Norlander,25.74,35,136,-0.11
2022,18,0,34174,John Huh,25.68,38,148,E
2022,19,0,32150,Michael Thompson,25.6,43,168,-0.05
2022,20,0,39953,Chase Seiffert,25.49,26,102,E
2022,21,0,36884,Ben Kohles,25.4,32,126,+0.06
2022,22,0,36801,Mark Hubbard,25.0,34,136,+0.15
2022,23,0,24361,Pat Perez,24.14,28,116,-0.14
2022,24,0,35449,Adam Long,23.81,40,168,+0.15
2022,25,0,47983,Chad Ramey,23.29,34,146,-0.03
2022,26,0,23108,Matt Kuchar,23.24,33,142,+0.12
2022,27,0,45522,Christiaan Bezuidenhout,23.13,37,160,-0.16
2022,27,0,23983,Luke Donald,23.13,31,134,+0.03
2022,29,0,34076,Joel Dahmen,22.94,39,170,+0.15
2022,30,0,40115,Adam Svensson,22.5,45,200,-0.11
2022,31,0,27974,Sung Kang,22.37,34,152,E
2022,32,0,48084,Wesley Bryan,22.22,20,90,-0.30
2022,33,0,52374,Brandon Wu,21.62,32,148,-0.19
2022,34,0,47993,Denny McCarthy,21.5,43,200,-0.12
2022,35,0,34360,Patrick Reed,21.43,30,140,-0.13
2022,36,0,35879,Kelly Kraft,21.01,29,138,-0.38
2022,37,0,30978,Kiradech Aphibarnrat,20.75,22,106,+0.05
2022,38,0,45609,Tyler Duncan,20.73,34,164,-0.06
2022,39,0,34610,Matthias Schwab,20.71,29,140,-0.24
2022,40,0,32640,Troy Merritt,20.69,36,174,+0.03
2022,41,0,22056,Cameron Percy,20.45,18,88,-0.11
2022,41,0,24138,Ian Poulter,20.45,18,88,+0.06
2022,41,0,25493,Nick Taylor,20.45,36,176,-0.03
2022,44,0,32139,Danny Willett,20.16,25,124,+0.04
2022,45,0,40162,Justin Lower,20.14,29,144,-0.14
2022,46,0,25818,Scott Piercy,20.13,31,154,+0.03
2022,47,0,27349,Alex Noren,20.0,24,120,-0.13
2022,47,0,53165,Doc Redman,20.0,30,150,+0.07
2022,49,0,28775,Nate Lashley,19.74,30,152,+0.20
2022,50,0,27770,Camilo Villegas,19.57,27,138,+0.19
2022,51,0,29535,Brice Garnett,19.48,30,154,+0.10
2022,52,0,39324,J.J. Spaun,18.42,35,190,-0.03
2022,53,0,30911,Tommy Fleetwood,18.27,19,104,E
2022,54,0,35110,Brett Drewitt,18.1,21,116,+0.24
2022,55,0,36799,Stephan Jaeger,17.65,30,170,E
2022,55,0,36852,Jim Knous,17.65,18,102,E
2022,57,0,27644,Brian Harman,17.58,32,182,+0.06
