YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
2024,0,27936,Martin Laird,15.79%,48,304
2024,0,55893,Sam Stevens,15.73%,67,426
2024,0,48153,Matthieu Pavon,15.56%,42,270
2024,0,45242,Kevin Yu,15.51%,49,316
2024,0,47988,Nick Hardy,15.43%,54,350
2024,0,29725,Tony Finau,15.38%,52,338
2024,0,59143,Mac Meissner,15.38%,48,312
2024,0,29420,Billy Horschel,15.34%,50,326
2024,0,34021,Bud Cauley,15.32%,34,222
2024,0,36326,David Lipsky,15.31%,45,294
2024,0,32102,Rickie Fowler,15.22%,49,322
2024,0,40162,Justin Lower,15.20%,64,421
2024,0,40006,Erik van Rooyen,15.18%,51,336
2024,0,32791,K.H. Lee,15.16%,52,343
2024,0,40098,Matt Fitzpatrick,15.14%,43,284
2024,0,45157,Cam Davis,15.12%,49,324
2024,0,38991,Alejandro Tosti,15.10%,45,298
2024,0,57900,Chandler Phillips,15.03%,55,366
2024,0,56630,Akshay Bhatia,15.00%,54,360
2024,0,48084,Wesley Bryan,15.00%,30,200
2024,0,46442,Maverick McNealy,14.91%,58,389
2024,0,32333,Kevin Tway,14.88%,36,242
2024,0,12716,Charley Hoffman,14.80%,45,304
2024,0,47983,Chad Ramey,14.80%,53,358
2024,0,54591,Ben Griffin,14.79%,71,480
2024,0,32757,Patton Kizzire,14.77%,39,264
2024,0,52372,Cameron Champ,14.68%,37,252
2024,0,28237,Rory McIlroy,14.64%,41,280
2024,0,49960,Sepp Straka,14.61%,45,308
2024,0,39971,Sungjae Im,14.59%,54,370
2024,0,60004,Jacob Bridgeman,14.58%,49,336
2024,0,48867,Matti Schmid,14.58%,49,336
2024,0,22371,Aaron Baddeley,14.56%,46,316
2024,0,39327,Ben Silverman,14.50%,49,338
2024,0,49771,J.T. Poston,14.49%,51,352
2024,0,47420,Jake Knapp,14.47%,46,318
2024,0,39324,J.J. Spaun,14.46%,48,332
2024,0,35310,Lanto Griffin,14.42%,45,312
2024,0,27349,Alex Noren,14.33%,43,300
2024,0,24024,Zach Johnson,14.29%,30,210
2024,0,24502,Adam Scott,14.24%,41,288
2024,0,30927,Brendon Todd,14.11%,57,404
2024,0,31323,Gary Woodland,14.07%,47,334
2024,0,27214,Kevin Streelman,14.04%,41,292
2024,0,52375,Doug Ghim,14.03%,55,392
2024,0,33141,Keegan Bradley,14.01%,44,314
2024,0,32367,Jorge Campillo,13.96%,31,222
2024,0,51634,Sahith Theegala,13.95%,53,380
2024,0,29908,C.T. Pan,13.93%,34,244
2024,0,40058,Zac Blair,13.92%,49,352
2024,0,34587,Chan Kim,13.92%,49,352
2024,0,50484,Hayden Springer,13.87%,43,310
2024,0,33448,Justin Thomas,13.85%,41,296
2024,0,39997,Corey Conners,13.79%,48,348
2024,0,47483,Will Zalatoris,13.79%,40,290
2024,0,28252,Seamus Power,13.78%,54,392
2024,0,27064,Jhonattan Vegas,13.69%,43,314
2024,0,50188,S.H. Kim,13.68%,61,446
2024,0,25900,Lucas Glover,13.64%,51,374
2024,0,35532,Tom Hoge,13.62%,58,426
2024,0,57362,Austin Eckroat,13.61%,52,382
2024,0,32366,Kevin Chappell,13.60%,31,228
2024,0,54576,Patrick Fishburn,13.58%,41,302
2024,0,36799,Stephan Jaeger,13.53%,46,340
2024,0,59095,Chris Gotterup,13.50%,42,311
2024,0,51287,Ryo Hisatsune,13.39%,49,366
2024,0,48319,Tom Whitney,13.36%,39,292
2024,0,55789,Taylor Montgomery,13.33%,32,240
2024,0,49947,Taylor Moore,13.30%,54,406
2024,0,29535,Brice Garnett,13.27%,26,196
2024,0,46340,Alex Smalley,13.21%,42,318
2024,0,31646,Emiliano Grillo,13.16%,45,342
2024,0,52453,Nicolai Højgaard,13.14%,31,236
2024,0,30926,Chris Kirk,13.13%,42,320
2024,0,35461,Beau Hossler,13.11%,48,366
2024,0,29221,Webb Simpson,12.98%,27,208
2024,0,46414,Aaron Rai,12.97%,48,370
2024,0,34076,Joel Dahmen,12.96%,49,378
2024,0,36801,Mark Hubbard,12.91%,55,426
2024,0,40026,Daniel Berger,12.88%,42,326
2024,0,27770,Camilo Villegas,12.86%,31,241
2024,0,34098,Russell Henley,12.85%,37,288
2024,0,35506,Mackenzie Hughes,12.82%,50,390
2024,0,51894,Vince Whaley,12.82%,40,312
2024,0,54421,Garrick Higgo,12.80%,43,336
2024,0,32839,Hideki Matsuyama,12.75%,38,298
2024,0,32640,Troy Merritt,12.74%,40,314
2024,0,47995,Davis Riley,12.74%,40,314
2024,0,48887,Matt Wallace,12.68%,35,276
2024,0,51890,Greyson Sigg,12.65%,42,332
2024,0,34099,Harris English,12.63%,47,372
2024,0,33486,Roger Sloan,12.59%,36,286
2024,0,58168,Davis Thompson,12.56%,49,390
2024,0,36884,Ben Kohles,12.53%,46,367
2024,0,32070,Rafael Campos,12.50%,31,248
2024,0,26596,Ryan Moore,12.50%,39,312
2024,0,47806,Raul Pereda,12.50%,26,208
2024,0,54783,Dylan Wu,12.50%,43,344
2024,0,36699,Patrick Rodgers,12.44%,51,410
2024,0,59836,Pierceson Coody,12.42%,41,330
2024,0,59442,Parker Coody,12.40%,30,242
2024,0,33204,Shane Lowry,12.33%,36,292
2024,0,52513,Carson Young,12.30%,46,374
2024,0,52374,Brandon Wu,12.28%,42,342
2024,0,54628,Lee Hodges,12.24%,47,384
2024,0,51696,Rico Hoey,12.22%,44,360
2024,0,52215,Robert MacIntyre,12.10%,38,314
2024,0,23320,Ryan Palmer,11.98%,23,192
2024,0,22405,Justin Rose,11.98%,29,242
2024,0,48699,Callum Tarren,11.92%,36,302
2024,0,34256,Andrew Putnam,11.90%,40,336
2024,0,46113,Ryan McCormick,11.74%,31,264
2024,0,40250,Taylor Pendrith,11.73%,38,324
2024,0,45522,Christiaan Bezuidenhout,11.69%,38,325
2024,0,45609,Tyler Duncan,11.67%,35,300
2024,0,27649,Brandt Snedeker,11.60%,29,250
2024,0,23108,Matt Kuchar,11.54%,36,312
2024,0,26476,Chez Reavie,11.49%,34,296
2024,0,59866,Nick Dunlap,11.46%,33,288
2024,0,47679,Victor Perez,11.44%,35,306
2024,0,57366,Cameron Young,11.42%,37,324
2024,0,25493,Nick Taylor,11.36%,40,352
2024,0,36871,Matt NeSmith,11.29%,35,310
2024,0,48119,Ben Taylor,11.28%,30,266
2024,0,47347,Adam Schenk,11.20%,43,384
2024,0,51070,Vincent Norrman,11.06%,22,199
2024,0,27330,Josh Teater,11.06%,25,226
2024,0,30911,Tommy Fleetwood,10.92%,31,284
2024,0,34255,Joseph Bramlett,10.83%,39,360
2024,0,50497,Adrien Dumont de Chassart,10.76%,34,316
2024,0,35450,Patrick Cantlay,10.66%,29,272
2024,0,55454,Carl Yuan,10.43%,29,278
2024,0,30163,Henrik Norlander,10.37%,28,270
2024,0,28089,Jason Day,10.00%,29,290
2024,0,55708,Hayden Buckley,9.93%,30,302
2024,0,28420,Ryan Brehm,9.92%,26,262
2024,0,50095,Austin Smotherman,9.72%,21,216
2024,0,35617,Martin Trainer,9.71%,20,206
2024,0,34046,Jordan Spieth,9.64%,27,280
2024,0,40115,Adam Svensson,9.63%,42,436
2024,0,37378,Min Woo Lee,9.31%,27,290
2024,0,34374,Erik Barnes,9.13%,22,241
2024,0,29478,Kevin Kisner,9.05%,21,232
2024,0,37212,Paul Barjon,8.97%,21,234
2024,0,34466,Peter Malnati,8.75%,28,320
2024,0,47663,Kevin Dougherty,8.46%,23,272
2023,0,58696,Peter Kuest,21.67%,39,180
2023,0,39977,Max Homa,20.81%,72,346
2023,0,46970,Jon Rahm,19.44%,56,288
2023,0,31646,Emiliano Grillo,18.67%,87,466
2023,0,47988,Nick Hardy,18.43%,89,483
2023,0,50493,Justin Suh,18.22%,86,472
2023,0,47591,Eric Cole,18.16%,95,523
2023,0,28237,Rory McIlroy,17.69%,46,260
2023,0,52453,Nicolai Hojgaard,17.53%,34,194
2023,0,51634,Sahith Theegala,17.51%,76,434
2023,0,32102,Rickie Fowler,17.50%,70,400
2023,0,57362,Austin Eckroat,17.19%,71,413
2023,0,37275,Sam Ryder,17.03%,78,458
2023,0,29420,Billy Horschel,16.92%,44,260
2023,0,50525,Collin Morikawa,16.87%,56,332
2023,0,26476,Chez Reavie,16.58%,64,386
2023,0,50095,Austin Smotherman,16.50%,67,406
2023,0,33141,Keegan Bradley,16.47%,55,334
2023,0,51890,Greyson Sigg,16.47%,70,425
2023,0,35532,Tom Hoge,16.39%,70,427
2023,0,22405,Justin Rose,16.37%,46,281
2023,0,25818,Scott Piercy,16.21%,65,401
2023,0,25900,Lucas Glover,16.13%,65,403
2023,0,55182,Tom Kim,16.03%,59,368
2023,0,53165,Doc Redman,15.99%,51,319
2023,0,34563,Chesson Hadley,15.92%,60,377
2023,0,32839,Hideki Matsuyama,15.92%,57,358
2023,0,30911,Tommy Fleetwood,15.91%,49,308
2023,0,54591,Ben Griffin,15.82%,78,493
2023,0,37455,Si Woo Kim,15.78%,65,412
2023,0,33122,Russell Knox,15.70%,73,465
2023,0,29535,Brice Garnett,15.56%,54,347
2023,0,40115,Adam Svensson,15.46%,77,498
2023,0,27974,Sung Kang,15.38%,30,195
2023,0,52955,Ludvig Åberg,15.35%,31,202
2023,0,49960,Sepp Straka,15.32%,57,372
2023,0,22371,Aaron Baddeley,15.20%,50,329
2023,0,48117,Kurt Kitayama,15.18%,46,303
2023,0,29725,Tony Finau,15.12%,52,344
2023,0,57366,Cameron Young,15.12%,52,344
2023,0,33399,Adam Hadwin,15.08%,54,358
2023,0,39324,J.J. Spaun,15.05%,62,412
2023,0,48081,Xander Schauffele,15.04%,51,339
2023,0,34363,Tyrrell Hatton,15.00%,48,320
2023,0,34466,Peter Malnati,14.99%,58,387
2023,0,36801,Mark Hubbard,14.92%,71,476
2023,0,31560,Brian Stuard,14.92%,44,295
2023,0,39546,Keith Mitchell,14.91%,58,389
2023,0,27963,Chris Stroud,14.72%,34,231
2023,0,52513,Carson Young,14.68%,59,402
2023,0,27349,Alex Noren,14.66%,56,382
2023,0,39971,Sungjae Im,14.62%,62,424
2023,0,47347,Adam Schenk,14.60%,72,493
2023,0,32640,Troy Merritt,14.59%,55,377
2023,0,33653,Thomas Detry,14.57%,59,405
2023,0,28775,Nate Lashley,14.52%,63,434
2023,0,40006,Erik van Rooyen,14.51%,47,324
2023,0,34076,Joel Dahmen,14.47%,56,387
2023,0,36871,Matt NeSmith,14.43%,59,409
2023,0,57975,Harry Hall,14.42%,61,423
2023,0,34256,Andrew Putnam,14.41%,67,465
2023,0,28252,Seamus Power,14.37%,47,327
2023,0,51349,Nico Echavarria,14.24%,46,323
2023,0,46046,Scottie Scheffler,14.17%,51,360
2023,0,55708,Hayden Buckley,14.16%,49,346
2023,0,46717,Viktor Hovland,14.13%,51,361
2023,0,54783,Dylan Wu,14.12%,62,439
2023,0,36799,Stephan Jaeger,14.09%,71,504
2023,0,45242,Kevin Yu,14.09%,41,291
2023,0,30926,Chris Kirk,14.05%,52,370
2023,0,56630,Akshay Bhatia,14.04%,48,342
2023,0,48119,Ben Taylor,14.00%,62,443
2023,0,40098,Matt Fitzpatrick,13.99%,41,293
2023,0,46441,Robby Shelton,13.99%,60,429
2023,0,33948,Byeong Hun An,13.96%,61,437
2023,0,31323,Gary Woodland,13.92%,49,352
2023,0,55454,Carl Yuan,13.91%,48,345
2023,0,55893,Sam Stevens,13.90%,61,439
2023,0,55789,Taylor Montgomery,13.81%,58,420
2023,0,47993,Denny McCarthy,13.80%,57,413
2023,0,34431,Robert Streb,13.80%,45,326
2023,0,30927,Brendon Todd,13.80%,57,413
2023,0,35901,Paul Haley II,13.79%,52,377
2023,0,34255,Joseph Bramlett,13.73%,46,335
2023,0,19803,Ryan Armour,13.72%,52,379
2023,0,32366,Kevin Chappell,13.66%,31,227
2023,0,34099,Harris English,13.64%,54,396
2023,0,35449,Adam Long,13.61%,63,463
2023,0,51950,Max McGreevy,13.60%,51,375
2023,0,39058,Lucas Herbert,13.57%,35,258
2023,0,32791,K.H. Lee,13.57%,60,442
2023,0,40058,Zac Blair,13.54%,44,325
2023,0,27936,Martin Laird,13.54%,49,362
2023,0,25493,Nick Taylor,13.51%,52,385
2023,0,52374,Brandon Wu,13.42%,64,477
2023,0,24502,Adam Scott,13.41%,37,276
2023,0,49771,J.T. Poston,13.30%,54,406
2023,0,47504,Sam Burns,13.29%,44,331
2023,0,37338,Zecheng Dou,13.28%,53,399
2023,0,33448,Justin Thomas,13.27%,39,294
2023,0,25632,Jimmy Walker,13.24%,47,355
2023,0,39067,MJ Daffue,13.19%,55,417
2023,0,35461,Beau Hossler,13.13%,60,457
2023,0,26596,Ryan Moore,13.13%,44,335
2023,0,48699,Callum Tarren,13.09%,53,405
2023,0,32448,James Hahn,13.07%,43,329
2023,0,45157,Cam Davis,13.03%,49,376
2023,0,47079,Harrison Endycott,13.02%,47,361
2023,0,39997,Corey Conners,13.01%,45,346
2023,0,33408,Tyson Alexander,12.98%,51,393
2023,0,45609,Tyler Duncan,12.96%,49,378
2023,0,31557,Jim Herman,12.94%,40,309
2023,0,27095,Nick Watney,12.94%,40,309
2023,0,59018,Ryan Gerard,12.89%,33,256
2023,0,52372,Cameron Champ,12.88%,42,326
2023,0,28089,Jason Day,12.88%,42,326
2023,0,29221,Webb Simpson,12.88%,30,233
2023,0,48084,Wesley Bryan,12.82%,25,195
2023,0,54628,Lee Hodges,12.78%,57,446
2023,0,35506,Mackenzie Hughes,12.77%,47,368
2023,0,52375,Doug Ghim,12.73%,48,377
2023,0,47983,Chad Ramey,12.71%,52,409
2023,0,40162,Justin Lower,12.70%,56,441
2023,0,24140,Sean O'Hair,12.68%,27,213
2023,0,39954,Cody Gribble,12.63%,36,285
2023,0,34046,Jordan Spieth,12.63%,37,293
2023,0,46435,Austin Cook,12.61%,44,349
2023,0,36699,Patrick Rodgers,12.56%,54,430
2023,0,51070,Vincent Norrman,12.54%,44,351
2023,0,39335,Kevin Roy,12.54%,39,311
2023,0,36326,David Lipsky,12.53%,54,431
2023,0,51766,Wyndham Clark,12.50%,54,432
2023,0,31577,Tano Goya,12.47%,46,369
2023,0,34098,Russell Henley,12.43%,42,338
2023,0,40250,Taylor Pendrith,12.41%,50,403
2023,0,58168,Davis Thompson,12.31%,48,390
2023,0,33204,Shane Lowry,12.30%,31,252
2023,0,48867,Matti Schmid,12.23%,39,319
2023,0,27644,Brian Harman,12.17%,46,378
2023,0,45522,Christiaan Bezuidenhout,12.15%,44,362
2023,0,23108,Matt Kuchar,12.12%,44,363
2023,0,12716,Charley Hoffman,12.09%,41,339
2023,0,35450,Patrick Cantlay,12.07%,35,290
2023,0,34409,David Lingmerth,12.02%,44,366
2023,0,30692,Scott Stallings,12.02%,41,341
2023,0,33413,Ben Martin,12.00%,51,425
2023,0,51997,Andrew Novak,11.83%,46,389
2023,0,48887,Matt Wallace,11.80%,42,356
2023,0,56762,Will Gordon,11.74%,54,460
2023,0,31202,William McGirt,11.74%,25,213
2023,0,22056,Cameron Percy,11.72%,32,273
2023,0,20229,Stewart Cink,11.59%,38,328
2023,0,33597,Harry Higgs,11.57%,39,337
2023,0,46414,Aaron Rai,11.57%,50,432
2023,0,29289,S.Y. Noh,11.55%,32,277
2023,0,36724,Augusto Núñez,11.53%,40,347
2023,0,51414,Brent Grant,11.44%,39,341
2023,0,47995,Davis Riley,11.42%,49,429
2023,0,27554,Scott Harrington,11.38%,37,325
2023,0,39975,Michael Kim,11.36%,46,405
2023,0,50188,S.H. Kim,11.33%,52,459
2023,0,46340,Alex Smalley,11.28%,52,461
2023,0,46442,Maverick McNealy,11.24%,30,267
2023,0,35879,Kelly Kraft,11.23%,41,365
2023,0,49766,Hank Lebioda,11.16%,28,251
2023,0,32139,Danny Willett,11.03%,30,272
2023,0,23320,Ryan Palmer,10.97%,35,319
2023,0,32333,Kevin Tway,10.95%,45,411
2023,0,27129,Luke List,10.87%,45,414
2023,0,52411,Kyle Westmoreland,10.84%,35,323
2023,0,24925,Jonathan Byrd,10.70%,26,243
2023,0,49947,Taylor Moore,10.69%,45,421
2023,0,25686,Jason Dufner,10.66%,39,366
2023,0,29908,C.T. Pan,10.65%,23,216
2023,0,51491,Brandon Matthews,10.37%,25,241
2023,0,49453,Trevor Cone,10.21%,34,333
2023,0,24024,Zach Johnson,10.07%,28,278
2023,0,30163,Henrik Norlander,10.03%,37,369
2023,0,34610,Matthias Schwab,10.02%,42,419
2023,0,33410,Andrew Landry,9.97%,32,321
2023,0,54421,Garrick Higgo,9.95%,42,422
2023,0,32757,Patton Kizzire,9.95%,40,402
2023,0,47128,Richy Werenski,9.93%,40,403
2023,0,28420,Ryan Brehm,9.86%,34,345
2023,0,27214,Kevin Streelman,9.73%,39,401
2023,0,32662,Michael Gligic,9.70%,29,299
2023,0,58967,Trevor Werbylo,9.57%,33,345
2023,0,29970,Dylan Frittelli,9.54%,31,325
2023,0,46601,Trey Mullinax,9.44%,27,286
2023,0,32816,Satoshi Kodaira,9.06%,24,265
2023,0,35617,Martin Trainer,8.70%,22,253
2023,0,35310,Lanto Griffin,8.23%,19,231
2023,0,49298,Kramer Hickok,8.16%,32,392
2022,0,51894,Vince Whaley,18.7,66,353
2022,0,36799,Stephan Jaeger,18.31,65,355
2022,0,25198,Francesco Molinari,18.18,38,209
2022,0,23983,Luke Donald,17.92,50,279
2022,0,47483,Will Zalatoris,17.88,54,302
2022,0,34098,Russell Henley,17.86,55,308
2022,0,46402,Talor Gooch,17.39,48,276
2022,0,28237,Rory McIlroy,17.37,41,236
2022,0,46046,Scottie Scheffler,17.16,58,338
2022,0,26851,Marc Leishman,17.13,49,286
2022,0,53165,Doc Redman,17.13,56,327
2022,0,46442,Maverick McNealy,16.99,62,365
2022,0,35891,Cameron Smith,16.94,42,248
2022,0,32150,Michael Thompson,16.91,58,343
2022,0,46717,Viktor Hovland,16.79,46,274
2022,0,33486,Roger Sloan,16.45,50,304
2022,0,32640,Troy Merritt,16.18,61,377
2022,0,50525,Collin Morikawa,16.12,39,242
2022,0,54421,Garrick Higgo,15.93,36,226
2022,0,37189,Harold Varner III,15.88,44,277
2022,0,28775,Nate Lashley,15.87,50,315
2022,0,39546,Keith Mitchell,15.86,56,353
2022,0,29908,C.T. Pan,15.79,54,342
2022,0,33141,Keegan Bradley,15.74,51,324
2022,0,40115,Adam Svensson,15.74,65,413
2022,0,47995,Davis Riley,15.68,61,389
2022,0,33667,Carlos Ortiz,15.63,40,256
2022,0,49964,Aaron Wise,15.61,54,346
2022,0,35532,Tom Hoge,15.6,61,391
2022,0,32839,Hideki Matsuyama,15.6,44,282
2022,0,48822,Sebastián Muñoz,15.59,53,340
2022,0,28114,Dawie van der Walt,15.56,40,257
2022,0,39977,Max Homa,15.55,51,328
2022,0,48117,Kurt Kitayama,15.55,44,283
2022,0,35450,Patrick Cantlay,15.47,41,265
2022,0,34466,Peter Malnati,15.46,66,427
2022,0,27139,David Skinns,15.38,42,273
2022,0,40250,Taylor Pendrith,15.33,44,287
2022,0,23621,Rory Sabbatini,15.32,34,222
2022,0,36801,Mark Hubbard,15.3,43,281
2022,0,36326,David Lipsky,15.26,56,367
2022,0,45486,Joaquin Niemann,15.22,49,322
2022,0,22405,Justin Rose,15.11,34,225
2022,0,36884,Ben Kohles,15.06,39,259
2022,0,34076,Joel Dahmen,14.99,52,347
2022,0,27974,Sung Kang,14.97,50,334
2022,0,45609,Tyler Duncan,14.96,51,341
2022,0,32816,Satoshi Kodaira,14.95,32,214
2022,0,30692,Scott Stallings,14.94,59,395
2022,0,33448,Justin Thomas,14.9,45,302
2022,0,31560,Brian Stuard,14.82,55,371
2022,0,40162,Justin Lower,14.81,44,297
2022,0,31646,Emiliano Grillo,14.74,51,346
2022,0,54628,Lee Hodges,14.73,57,387
2022,0,24024,Zach Johnson,14.73,38,258
2022,0,29926,Danny Lee,14.68,32,218
2022,0,35506,Mackenzie Hughes,14.66,50,341
2022,0,35461,Beau Hossler,14.59,41,281
2022,0,48081,Xander Schauffele,14.58,42,288
2022,0,48887,Matt Wallace,14.58,35,240
2022,0,34360,Patrick Reed,14.49,40,276
2022,0,12716,Charley Hoffman,14.48,42,290
2022,0,26476,Chez Reavie,14.45,51,353
2022,0,27936,Martin Laird,14.44,39,270
2022,0,24502,Adam Scott,14.44,41,284
2022,0,34256,Andrew Putnam,14.4,56,389
2022,0,46435,Austin Cook,14.39,41,285
2022,0,34264,Hudson Swafford,14.23,37,260
2022,0,47988,Nick Hardy,14.11,34,241
2022,0,33204,Shane Lowry,14.1,33,234
2022,0,47128,Richy Werenski,14.07,37,263
2022,0,56278,Matthew Wolff,14.06,27,192
2022,0,28089,Jason Day,14.04,33,235
2022,0,30911,Tommy Fleetwood,14.04,32,228
2022,0,27649,Brandt Snedeker,13.99,34,243
2022,0,29221,Webb Simpson,13.98,33,236
2022,0,27214,Kevin Streelman,13.97,51,365
2022,0,47993,Denny McCarthy,13.94,57,409
2022,0,49960,Sepp Straka,13.89,55,396
2022,0,31420,Anirban Lahiri,13.85,41,296
2022,0,20229,Stewart Cink,13.83,43,311
2022,0,30927,Brendon Todd,13.83,48,347
2022,0,27349,Alex Noren,13.81,37,268
2022,0,37212,Paul Barjon,13.8,41,297
2022,0,29970,Dylan Frittelli,13.79,52,377
2022,0,23108,Matt Kuchar,13.65,40,293
2022,0,21961,Charles Howell III,13.64,30,220
2022,0,25818,Scott Piercy,13.62,44,323
2022,0,10381,Curtis Thompson,13.58,36,265
2022,0,45157,Cam Davis,13.5,44,326
2022,0,27129,Luke List,13.5,44,326
2022,0,37455,Si Woo Kim,13.47,52,386
2022,0,54783,Dylan Wu,13.45,37,275
2022,0,50095,Austin Smotherman,13.4,43,321
2022,0,33419,Cameron Tringale,13.39,51,381
2022,0,57366,Cameron Young,13.35,43,322
2022,0,48084,Wesley Bryan,13.33,28,210
2022,0,46340,Alex Smalley,13.3,52,391
2022,0,39971,Sungjae Im,13.29,46,346
2022,0,45540,Jared Wolfe,13.28,32,241
2022,0,45526,Abraham Ancer,13.27,30,226
2022,0,34174,John Huh,13.23,41,310
2022,0,32366,Kevin Chappell,13.12,29,221
2022,0,30978,Kiradech Aphibarnrat,13.0,29,223
2022,0,45522,Christiaan Bezuidenhout,13.0,42,323
2022,0,29535,Brice Garnett,13.0,42,323
2022,0,37275,Sam Ryder,12.98,47,362
2022,0,31323,Gary Woodland,12.94,37,286
2022,0,49771,J.T. Poston,12.92,46,356
2022,0,33597,Harry Higgs,12.87,43,334
2022,0,51890,Greyson Sigg,12.87,48,373
2022,0,26300,Matt Jones,12.85,32,249
2022,0,34255,Joseph Bramlett,12.84,43,335
2022,0,29478,Kevin Kisner,12.84,33,257
2022,0,49947,Taylor Moore,12.83,44,343
2022,0,23320,Ryan Palmer,12.81,36,281
2022,0,36852,Jim Knous,12.8,27,211
2022,0,24138,Ian Poulter,12.79,22,172
2022,0,52375,Doug Ghim,12.78,45,352
2022,0,24925,Jonathan Byrd,12.77,30,235
2022,0,33399,Adam Hadwin,12.74,47,369
2022,0,23325,Vaughn Taylor,12.73,28,220
2022,0,47983,Chad Ramey,12.71,38,299
2022,0,35449,Adam Long,12.7,47,370
2022,0,32102,Rickie Fowler,12.67,37,292
2022,0,39324,J.J. Spaun,12.66,50,395
2022,0,29725,Tony Finau,12.57,43,342
2022,0,49298,Kramer Hickok,12.57,48,382
2022,0,30944,Jason Kokrak,12.5,30,240
2022,0,27895,Jonas Blixt,12.44,26,209
2022,0,25900,Lucas Glover,12.4,46,371
2022,0,25493,Nick Taylor,12.4,46,371
2022,0,51634,Sahith Theegala,12.36,57,461
2022,0,47504,Sam Burns,12.35,40,324
2022,0,46970,Jon Rahm,12.32,34,276
2022,0,34363,Tyrrell Hatton,12.31,32,260
2022,0,32791,K.H. Lee,12.31,48,390
2022,0,46601,Trey Mullinax,12.31,41,333
2022,0,49766,Hank Lebioda,12.28,41,334
2022,0,36871,Matthew NeSmith,12.27,47,383
2022,0,31557,Jim Herman,12.26,26,212
2022,0,36699,Patrick Rodgers,12.25,43,351
2022,0,24980,Scott Gutschewski,12.23,28,229
2022,0,29420,Billy Horschel,12.22,33,270
2022,0,34431,Robert Streb,12.22,43,352
2022,0,33122,Russell Knox,12.2,45,369
2022,0,39058,Lucas Herbert,12.14,25,206
2022,0,52372,Cameron Champ,12.12,28,231
2022,0,40006,Erik van Rooyen,12.12,24,198
2022,0,28252,Seamus Power,12.05,37,307
2022,0,35879,Kelly Kraft,12.03,35,291
2022,0,30163,Henrik Norlander,12.0,36,300
2022,0,47856,Seth Reeves,12.0,33,275
2022,0,51997,Andrew Novak,11.99,38,317
2022,0,24924,Bill Haas,11.94,45,377
2022,0,51766,Wyndham Clark,11.91,48,403
2022,0,34563,Chesson Hadley,11.85,39,329
2022,0,47529,Mito Pereira,11.85,43,363
2022,0,48699,Callum Tarren,11.85,34,287
2022,0,39997,Corey Conners,11.78,41,348
2022,0,27644,Brian Harman,11.72,43,367
2022,0,46414,Aaron Rai,11.72,43,367
2022,0,40098,Matt Fitzpatrick,11.58,33,285
2022,0,19803,Ryan Armour,11.48,24,209
2022,0,32333,Kevin Tway,11.43,36,315
2022,0,24361,Pat Perez,11.41,30,263
2022,0,35310,Lanto Griffin,11.31,37,327
2022,0,51950,Max McGreevy,11.3,34,301
2022,0,47347,Adam Schenk,11.29,42,372
2022,0,39436,Joshua Creel,11.28,22,195
2022,0,32139,Danny Willett,11.2,28,250
2022,0,52374,Brandon Wu,11.15,34,305
2022,0,30926,Chris Kirk,11.08,38,343
2022,0,29289,S.Y. Noh,11.03,29,263
2022,0,55708,Hayden Buckley,10.99,41,373
