YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
2024,0,51894,Vince Whaley,306.0,43757,143
2024,0,51634,Sahith Theegala,305.7,56854,186
2024,0,33141,Keegan Bradley,305.5,48263,158
2024,0,46717,Viktor Hovland,305.1,34780,114
2024,0,34563,Chesson Hadley,305.0,40256,132
2024,0,52215,Robert MacIntyre,304.9,43902,144
2024,0,35310,Lanto Griffin,304.8,43889,144
2024,0,27129,Luke List,304.7,46927,154
2024,0,47988,Nick Hardy,304.5,52677,173
2024,0,12716,Charley Hoffman,304.4,42620,140
2024,0,59442,Parker Coody,303.9,33124,109
2024,0,50188,S.H. Kim,303.9,63814,210
2024,0,32070,Rafael Campos,303.8,35849,118
2024,0,46046,Scottie Scheffler,303.8,43139,142
2024,0,47995,Davis Riley,303.6,44326,146
2024,0,33408,Tyson Alexander,303.3,45497,150
2024,0,33653,Thomas Detry,303.3,40641,134
2024,0,45157,Cam Davis,303.2,46689,154
2024,0,39975,Michael Kim,302.9,48759,161
2024,0,59143,Mac Meissner,302.8,43607,144
2024,0,27139,David Skinns,302.8,49667,164
2024,0,35450,Patrick Cantlay,302.7,39356,130
2024,0,35461,Beau Hossler,302.7,51456,170
2024,0,48084,Wesley Bryan,302.6,30264,100
2024,0,50497,Adrien Dumont de Chassart,302.6,44785,148
2024,0,46442,Maverick McNealy,302.5,55360,183
2024,0,47483,Will Zalatoris,302.5,39924,132
2024,0,34374,Erik Barnes,302.3,32349,107
2024,0,35617,Martin Trainer,302.2,30219,100
2024,0,33968,Thorbjørn Olesen,302.1,29001,96
2024,0,47347,Adam Schenk,302.1,55292,183
2024,0,34099,Harris English,301.9,56159,186
2024,0,32791,K.H. Lee,301.9,47095,156
2024,0,52514,Trace Crowe,301.8,40743,135
2024,0,34587,Chan Kim,301.8,48286,160
2024,0,32757,Patton Kizzire,301.7,37115,123
2024,0,57975,Harry Hall,301.5,48246,160
2024,0,39324,J.J. Spaun,301.5,48246,160
2024,0,39997,Corey Conners,301.2,52414,174
2024,0,47679,Victor Perez,301.1,43061,143
2024,0,48153,Matthieu Pavon,300.9,37915,126
2024,0,28089,Jason Day,300.8,41515,138
2024,0,57362,Austin Eckroat,300.8,54151,180
2024,0,32366,Kevin Chappell,300.7,33374,111
2024,0,60004,Jacob Bridgeman,300.6,46901,156
2024,0,30911,Tommy Fleetwood,300.4,42662,142
2024,0,33204,Shane Lowry,300.4,42049,140
2024,0,28252,Seamus Power,300.3,57660,192
2024,0,39977,Max Homa,300.2,47437,158
2024,0,29221,Webb Simpson,300.2,30619,102
2024,0,50493,Justin Suh,300.2,44427,148
2024,0,30926,Chris Kirk,299.9,46188,154
2024,0,56630,Akshay Bhatia,299.8,51557,172
2024,0,50095,Austin Smotherman,299.8,31782,106
2024,0,34021,Bud Cauley,299.7,32372,108
2024,0,29420,Billy Horschel,299.4,45502,152
2024,0,32839,Hideki Matsuyama,299.4,44311,148
2024,0,48119,Ben Taylor,299.4,36825,123
2024,0,52666,Sami Valimaki,299.2,35904,120
2024,0,40098,Matt Fitzpatrick,299.0,42456,142
2024,0,55182,Tom Kim,299.0,47248,158
2024,0,39971,Sungjae Im,298.8,51993,174
2024,0,23320,Ryan Palmer,298.8,25100,84
2024,0,51997,Andrew Novak,298.7,49587,166
2024,0,48887,Matt Wallace,298.7,38237,128
2024,0,35506,Mackenzie Hughes,298.2,56655,190
2024,0,40026,Daniel Berger,298.1,45011,151
2024,0,27330,Josh Teater,298.1,30410,102
2024,0,55708,Hayden Buckley,298.0,42311,142
2024,0,32102,Rickie Fowler,297.7,45848,154
2024,0,34466,Peter Malnati,297.7,44658,150
2024,0,36871,Matt NeSmith,297.7,42566,143
2024,0,45609,Tyler Duncan,297.6,41074,138
2024,0,33399,Adam Hadwin,297.6,47024,158
2024,0,22405,Justin Rose,297.5,36295,122
2024,0,27214,Kevin Streelman,297.5,40762,137
2024,0,40115,Adam Svensson,297.4,63634,214
2024,0,47591,Eric Cole,297.2,63607,214
2024,0,52375,Doug Ghim,297.2,54098,182
2024,0,32367,Jorge Campillo,296.7,30559,103
2024,0,54628,Lee Hodges,296.6,53978,182
2024,0,48319,Tom Whitney,296.5,40325,136
2024,0,35532,Tom Hoge,296.2,59828,202
2024,0,50525,Collin Morikawa,296.0,46768,158
2024,0,54591,Ben Griffin,295.6,66207,224
2024,0,54783,Dylan Wu,295.6,47289,160
2024,0,52513,Carson Young,295.6,50850,172
2024,0,27349,Alex Noren,295.5,40775,138
2024,0,51349,Nico Echavarria,295.4,51983,176
2024,0,51287,Ryo Hisatsune,295.4,49331,167
2024,0,30163,Henrik Norlander,295.3,38986,132
2024,0,40162,Justin Lower,295.2,57261,194
2024,0,57900,Chandler Phillips,295.1,48994,166
2024,0,37455,Si Woo Kim,294.8,51893,176
2024,0,36801,Mark Hubbard,294.7,58342,198
2024,0,49960,Sepp Straka,294.7,45384,154
2024,0,29908,C.T. Pan,294.4,34744,118
2024,0,34076,Joel Dahmen,294.0,52328,178
2024,0,51890,Greyson Sigg,294.0,44693,152
2024,0,47983,Chad Ramey,293.9,48794,166
2024,0,39327,Ben Silverman,293.9,45845,156
2024,0,46414,Aaron Rai,293.8,50537,172
2024,0,33486,Roger Sloan,293.2,38705,132
2024,0,25493,Nick Taylor,293.2,48675,166
2024,0,49771,J.T. Poston,293.1,49825,170
2024,0,28775,Nate Lashley,293.0,43371,148
2024,0,32640,Troy Merritt,292.8,43335,148
2024,0,37275,Sam Ryder,292.8,43913,150
2024,0,27644,Brian Harman,292.7,50929,174
2024,0,31646,Emiliano Grillo,292.5,49726,170
2024,0,46441,Robby Shelton,291.6,44321,152
2024,0,52374,Brandon Wu,291.5,46634,160
2024,0,34098,Russell Henley,291.3,42534,146
2024,0,36884,Ben Kohles,290.9,49450,170
2024,0,45522,Christiaan Bezuidenhout,290.7,44184,152
2024,0,47993,Denny McCarthy,290.6,50570,174
2024,0,27936,Martin Laird,290.5,41539,143
2024,0,47806,Raul Pereda,290.1,27268,94
2024,0,25900,Lucas Glover,289.9,53919,186
2024,0,55789,Taylor Montgomery,289.7,31292,108
2024,0,36326,David Lipsky,289.6,39961,138
2024,0,29535,Brice Garnett,289.2,27470,95
2024,0,23108,Matt Kuchar,288.3,42099,146
2024,0,26596,Ryan Moore,288.3,41516,144
2024,0,26476,Chez Reavie,287.8,39140,136
2024,0,27770,Camilo Villegas,284.9,32473,114
2024,0,24024,Zach Johnson,284.1,27271,96
2024,0,22371,Aaron Baddeley,283.4,41088,145
2024,0,40058,Zac Blair,283.0,46414,164
2024,0,29478,Kevin Kisner,282.8,30542,108
2024,0,27649,Brandt Snedeker,281.0,32593,116
2024,0,34256,Andrew Putnam,280.8,44368,158
2024,0,30927,Brendon Todd,279.8,55120,197
2023,0,28237,Rory McIlroy,326.3,41771,128
2023,0,58696,Peter Kuest,321.7,29594,92
2023,0,51491,Brandon Matthews,321.3,37915,118
2023,0,52372,Cameron Champ,317.9,49589,156
2023,0,52453,Nicolai Hojgaard,317.7,29227,92
2023,0,52955,Ludvig Åberg,317.1,31712,100
2023,0,57366,Cameron Young,315.7,54307,172
2023,0,33948,Byeong Hun An,315.6,66275,210
2023,0,51070,Vincent Norrman,314.2,53419,170
2023,0,48867,Matti Schmid,314.1,49633,158
2023,0,49453,Trevor Cone,314.0,51497,164
2023,0,46970,Jon Rahm,314.0,44589,142
2023,0,31323,Gary Woodland,313.8,52084,166
2023,0,39546,Keith Mitchell,313.7,58974,188
2023,0,51766,Wyndham Clark,313.5,63959,204
2023,0,52411,Kyle Westmoreland,313.5,49528,158
2023,0,24502,Adam Scott,313.0,42572,136
2023,0,34255,Joseph Bramlett,312.4,49983,160
2023,0,48699,Callum Tarren,312.0,61780,198
2023,0,46601,Trey Mullinax,311.8,44281,142
2023,0,47504,Sam Burns,311.4,50444,162
2023,0,56762,Will Gordon,311.4,69140,222
2023,0,27129,Luke List,311.3,62262,200
2023,0,45242,Kevin Yu,311.3,44208,142
2023,0,51414,Brent Grant,311.2,52279,168
2023,0,45157,Cam Davis,311.0,56601,182
2023,0,54421,Garrick Higgo,310.8,64029,206
2023,0,55893,Sam Stevens,310.6,65850,212
2023,0,39067,MJ Daffue,310.5,63970,206
2023,0,40250,Taylor Pendrith,310.4,61457,198
2023,0,46046,Scottie Scheffler,310.3,54608,176
2023,0,58168,Davis Thompson,310.3,59584,192
2023,0,36724,Augusto Núñez,310.0,52703,170
2023,0,47988,Nick Hardy,309.2,72973,236
2023,0,36699,Patrick Rodgers,308.8,62998,204
2023,0,50188,S.H. Kim,308.7,68530,222
2023,0,35450,Patrick Cantlay,308.6,44438,144
2023,0,33448,Justin Thomas,308.5,44424,144
2023,0,28420,Ryan Brehm,308.1,52990,172
2023,0,32102,Rickie Fowler,308.1,59157,192
2023,0,27554,Scott Harrington,308.1,49297,160
2023,0,32333,Kevin Tway,308.1,62239,202
2023,0,33653,Thomas Detry,307.7,60934,198
2023,0,46717,Viktor Hovland,307.6,54130,176
2023,0,25632,Jimmy Walker,307.2,52840,172
2023,0,49947,Taylor Moore,307.1,62034,202
2023,0,55454,Carl Yuan,306.8,51538,168
2023,0,34363,Tyrrell Hatton,306.5,47812,156
2023,0,48117,Kurt Kitayama,306.2,44096,144
2023,0,12716,Charley Hoffman,306.1,49588,162
2023,0,36799,Stephan Jaeger,306.1,74689,244
2023,0,47995,Davis Riley,305.9,62405,204
2023,0,58967,Trevor Werbylo,305.7,50754,166
2023,0,33141,Keegan Bradley,305.6,50113,164
2023,0,47347,Adam Schenk,305.6,72738,238
2023,0,20229,Stewart Cink,305.5,48884,160
2023,0,35461,Beau Hossler,305.3,67163,220
2023,0,39975,Michael Kim,305.0,59165,194
2023,0,56630,Akshay Bhatia,304.9,51218,168
2023,0,51634,Sahith Theegala,304.9,64646,212
2023,0,40006,Erik van Rooyen,304.9,47572,156
2023,0,39977,Max Homa,304.8,52419,172
2023,0,32662,Michael Gligic,304.6,44466,146
2023,0,39058,Lucas Herbert,304.5,37761,124
2023,0,55708,Hayden Buckley,304.4,51143,168
2023,0,28089,Jason Day,304.2,48679,160
2023,0,29725,Tony Finau,304.2,51107,168
2023,0,40098,Matt Fitzpatrick,304.1,44394,146
2023,0,48081,Xander Schauffele,304.1,49263,162
2023,0,48119,Ben Taylor,304.1,64466,212
2023,0,33204,Shane Lowry,303.8,37669,124
2023,0,55789,Taylor Montgomery,303.8,61965,204
2023,0,29289,S.Y. Noh,303.7,41303,136
2023,0,34046,Jordan Spieth,303.6,43715,144
2023,0,39335,Kevin Roy,303.4,46115,152
2023,0,29970,Dylan Frittelli,303.2,47300,156
2023,0,31577,Tano Goya,303.1,54561,180
2023,0,46340,Alex Smalley,303.0,67877,224
2023,0,48887,Matt Wallace,302.7,50858,168
2023,0,37338,Zecheng Dou,302.6,58713,194
2023,0,30911,Tommy Fleetwood,302.3,44738,148
2023,0,35310,Lanto Griffin,302.3,34457,114
2023,0,35617,Martin Trainer,302.2,38081,126
2023,0,32366,Kevin Chappell,302.0,33826,112
2023,0,33597,Harry Higgs,301.6,50663,168
2023,0,31646,Emiliano Grillo,301.3,68105,226
2023,0,23320,Ryan Palmer,301.2,47590,158
2023,0,57362,Austin Eckroat,301.1,59016,196
2023,0,30692,Scott Stallings,301.1,50590,168
2023,0,32757,Patton Kizzire,300.8,60166,200
2023,0,32791,K.H. Lee,300.7,64345,214
2023,0,39997,Corey Conners,300.6,51697,172
2023,0,47128,Richy Werenski,300.5,59492,198
2023,0,50095,Austin Smotherman,300.4,60077,200
2023,0,54628,Lee Hodges,300.3,64262,214
2023,0,27349,Alex Noren,300.2,55242,184
2023,0,54591,Ben Griffin,300.1,71421,238
2023,0,28252,Seamus Power,300.0,49202,164
2023,0,39954,Cody Gribble,299.9,41987,140
2023,0,46442,Maverick McNealy,299.9,37784,126
2023,0,57975,Harry Hall,299.8,61167,204
2023,0,51997,Andrew Novak,299.7,56937,190
2023,0,48084,Wesley Bryan,299.6,28761,96
2023,0,29221,Webb Simpson,299.6,34151,114
2023,0,33408,Tyson Alexander,299.5,56905,190
2023,0,35506,Mackenzie Hughes,299.5,53317,178
2023,0,49960,Sepp Straka,299.5,55108,184
2023,0,51349,Nico Echavarria,299.4,46712,156
2023,0,50493,Justin Suh,299.4,68257,228
2023,0,34563,Chesson Hadley,299.3,56276,188
2023,0,39971,Sungjae Im,299.3,62251,208
2023,0,25686,Jason Dufner,299.1,54431,182
2023,0,47591,Eric Cole,299.0,75341,252
2023,0,32448,James Hahn,298.9,47817,160
2023,0,45609,Tyler Duncan,298.8,56170,188
2023,0,39324,J.J. Spaun,298.8,60952,204
2023,0,29420,Billy Horschel,298.5,38210,128
2023,0,54783,Dylan Wu,298.2,63226,212
2023,0,59018,Ryan Gerard,297.7,36918,124
2023,0,52375,Doug Ghim,297.7,55375,186
2023,0,55182,Tom Kim,297.6,53568,180
2023,0,49766,Hank Lebioda,297.6,36306,122
2023,0,34431,Robert Streb,297.6,48217,162
2023,0,28775,Nate Lashley,297.4,63638,214
2023,0,34099,Harris English,297.3,57679,194
2023,0,27214,Kevin Streelman,297.3,57073,192
2023,0,32839,Hideki Matsuyama,297.2,51715,174
2023,0,36871,Matt NeSmith,297.1,58824,198
2023,0,49771,J.T. Poston,297.0,59400,200
2023,0,37455,Si Woo Kim,296.9,59378,200
2023,0,49298,Kramer Hickok,296.7,57554,194
2023,0,29908,C.T. Pan,296.6,31443,106
2023,0,30926,Chris Kirk,296.4,54540,184
2023,0,50525,Collin Morikawa,296.2,47984,162
2023,0,40115,Adam Svensson,296.2,72270,244
2023,0,34076,Joel Dahmen,296.1,54486,184
2023,0,35532,Tom Hoge,295.9,61537,208
2023,0,51890,Greyson Sigg,295.8,62115,210
2023,0,27095,Nick Watney,295.8,44962,152
2023,0,33399,Adam Hadwin,295.7,52048,176
2023,0,52374,Brandon Wu,295.7,68021,230
2023,0,52513,Carson Young,295.6,58520,198
2023,0,47993,Denny McCarthy,295.5,59103,200
2023,0,34466,Peter Malnati,295.2,56089,190
2023,0,22405,Justin Rose,295.2,40153,136
2023,0,25900,Lucas Glover,294.9,58988,200
2023,0,23108,Matt Kuchar,294.4,53577,182
2023,0,47983,Chad Ramey,294.3,59449,202
2023,0,37275,Sam Ryder,294.3,65329,222
2023,0,40162,Justin Lower,294.2,64129,218
2023,0,46414,Aaron Rai,294.1,61765,210
2023,0,46441,Robby Shelton,294.1,61165,208
2023,0,34610,Matthias Schwab,294.0,60557,206
2023,0,33413,Ben Martin,293.9,60553,206
2023,0,25493,Nick Taylor,293.7,54637,186
2023,0,27644,Brian Harman,293.6,54610,186
2023,0,53165,Doc Redman,293.5,45793,156
2023,0,32640,Troy Merritt,293.4,53990,184
2023,0,24140,Sean O'Hair,293.3,30506,104
2023,0,25818,Scott Piercy,293.3,58068,198
2023,0,47079,Harrison Endycott,293.2,52195,178
2023,0,36326,David Lipsky,292.7,60291,206
2023,0,36801,Mark Hubbard,292.6,67893,232
2023,0,27936,Martin Laird,292.4,51466,176
2023,0,30163,Henrik Norlander,292.3,53206,182
2023,0,32139,Danny Willett,292.1,39144,134
2023,0,45522,Christiaan Bezuidenhout,291.4,51873,178
2023,0,34098,Russell Henley,290.9,48868,168
2023,0,35449,Adam Long,290.9,65735,226
2023,0,51950,Max McGreevy,290.2,53396,184
2023,0,24024,Zach Johnson,290.1,39451,136
2023,0,31557,Jim Herman,290.0,44659,154
2023,0,24925,Jonathan Byrd,289.3,34719,120
2023,0,22056,Cameron Percy,289.3,38763,134
2023,0,27963,Chris Stroud,289.2,32969,114
2023,0,27974,Sung Kang,289.0,28325,98
2023,0,29535,Brice Garnett,288.7,49655,172
2023,0,33410,Andrew Landry,288.4,46140,160
2023,0,26476,Chez Reavie,288.4,55382,192
2023,0,35879,Kelly Kraft,287.3,51715,180
2023,0,32816,Satoshi Kodaira,287.1,36175,126
2023,0,26596,Ryan Moore,287.0,47640,166
2023,0,33122,Russell Knox,285.3,65046,228
2023,0,34256,Andrew Putnam,284.7,63212,222
2023,0,22371,Aaron Baddeley,284.5,45512,160
2023,0,35901,Paul Haley II,284.1,52269,184
2023,0,19803,Ryan Armour,283.6,52189,184
2023,0,46435,Austin Cook,282.3,47992,170
2023,0,30927,Brendon Todd,282.0,58659,208
2023,0,40058,Zac Blair,281.6,43935,156
2023,0,31202,William McGirt,280.0,29681,106
2023,0,34409,David Lingmerth,278.5,49018,176
2023,0,31560,Brian Stuard,271.5,39641,146
2022,0,52372,Cameron Champ,321.4,35996,112
2022,0,28237,Rory McIlroy,321.3,38561,120
2022,0,57366,Cameron Young,319.3,52373,164
2022,0,51766,Wyndham Clark,319.0,59335,186
2022,0,46970,Jon Rahm,318.9,44646,140
2022,0,56278,Matthew Wolff,318.4,29926,94
2022,0,34255,Joseph Bramlett,318.3,51563,162
2022,0,46550,Brandon Hagy,317.9,47046,148
2022,0,46601,Trey Mullinax,317.2,52013,164
2022,0,40250,Taylor Pendrith,316.1,44888,142
2022,0,27064,Jhonattan Vegas,315.7,46086,146
2022,0,27129,Luke List,314.8,47842,152
2022,0,47483,Will Zalatoris,314.7,45319,144
2022,0,33448,Justin Thomas,314.3,47772,152
2022,0,24502,Adam Scott,312.4,44991,144
2022,0,48699,Callum Tarren,312.4,43108,138
2022,0,36689,Brooks Koepka,311.9,28698,92
2022,0,39546,Keith Mitchell,311.8,53626,172
2022,0,46046,Scottie Scheffler,311.6,52341,168
2022,0,48117,Kurt Kitayama,310.8,43512,140
2022,0,32333,Kevin Tway,310.2,47771,154
2022,0,32366,Kevin Chappell,310.1,34107,110
2022,0,31323,Gary Woodland,309.9,42762,138
2022,0,47504,Sam Burns,309.6,49532,160
2022,0,12716,Charley Hoffman,309.6,40251,130
2022,0,45540,Jared Wolfe,309.6,36529,118
2022,0,37212,Paul Barjon,309.4,43933,142
2022,0,32102,Rickie Fowler,309.4,41454,134
2022,0,47856,Seth Reeves,309.4,41456,134
2022,0,35461,Beau Hossler,309.3,43302,140
2022,0,36699,Patrick Rodgers,309.3,52577,170
2022,0,30944,Jason Kokrak,309.2,37718,122
2022,0,10381,Curtis Thompson,309.2,39576,128
2022,0,45486,Joaquin Niemann,309.1,46990,152
2022,0,45157,Cam Davis,308.5,50599,164
2022,0,48081,Xander Schauffele,308.5,41960,136
2022,0,46717,Viktor Hovland,308.4,43177,140
2022,0,34046,Jordan Spieth,308.4,45643,148
2022,0,49964,Aaron Wise,308.3,53019,172
2022,0,35450,Patrick Cantlay,308.0,41886,136
2022,0,29725,Tony Finau,308.0,52980,172
2022,0,29518,Brendan Steele,307.8,42480,138
2022,0,47995,Davis Riley,307.6,57822,188
2022,0,33141,Keegan Bradley,307.5,46743,152
2022,0,46442,Maverick McNealy,307.4,51636,168
2022,0,34264,Hudson Swafford,307.4,39348,128
2022,0,39058,Lucas Herbert,307.3,33190,108
2022,0,26851,Marc Leishman,307.1,44221,144
2022,0,33204,Shane Lowry,306.9,35595,116
2022,0,26300,Matt Jones,306.5,34940,114
2022,0,46340,Alex Smalley,306.5,57002,186
2022,0,39977,Max Homa,306.3,50228,164
2022,0,20229,Stewart Cink,306.2,47160,154
2022,0,30692,Scott Stallings,306.0,58759,192
2022,0,37189,Harold Varner III,305.8,42207,138
2022,0,47988,Nick Hardy,305.7,36078,118
2022,0,34363,Tyrrell Hatton,305.7,39133,128
2022,0,31646,Emiliano Grillo,305.6,48893,160
2022,0,23320,Ryan Palmer,305.6,38503,126
2022,0,35617,Martin Trainer,305.5,47663,156
2022,0,54421,Garrick Higgo,305.0,32943,108
2022,0,32839,Hideki Matsuyama,304.7,41442,136
2022,0,50095,Austin Smotherman,304.6,46907,154
2022,0,46402,Talor Gooch,304.4,43223,142
2022,0,51634,Sahith Theegala,304.3,68780,226
2022,0,29970,Dylan Frittelli,304.1,56567,186
2022,0,21961,Charles Howell III,304.1,32845,108
2022,0,47347,Adam Schenk,304.0,52287,172
2022,0,47529,Mito Pereira,303.9,54096,178
2022,0,40098,Matt Fitzpatrick,303.8,42536,140
2022,0,39971,Sungjae Im,303.7,53454,176
2022,0,32757,Patton Kizzire,303.7,54663,180
2022,0,48822,Sebastián Muñoz,303.7,47979,158
2022,0,48887,Matt Wallace,303.7,31580,104
2022,0,33667,Carlos Ortiz,303.4,35796,118
2022,0,49960,Sepp Straka,303.0,56964,188
2022,0,32448,James Hahn,302.8,40578,134
2022,0,39997,Corey Conners,302.7,52674,174
2022,0,32791,K.H. Lee,302.5,56874,188
2022,0,49947,Taylor Moore,302.0,50728,168
2022,0,51894,Vince Whaley,302.0,51334,170
2022,0,33419,Cameron Tringale,301.9,53143,176
2022,0,34563,Chesson Hadley,301.8,45878,152
2022,0,33597,Harry Higgs,301.8,45866,152
2022,0,50525,Collin Morikawa,301.8,33803,112
2022,0,27139,David Skinns,301.8,39836,132
2022,0,28089,Jason Day,301.6,34382,114
2022,0,35310,Lanto Griffin,301.6,44643,148
2022,0,30911,Tommy Fleetwood,301.5,31360,104
2022,0,32662,Michael Gligic,301.2,42768,142
2022,0,27095,Nick Watney,301.2,45782,152
2022,0,37455,Si Woo Kim,301.1,56613,188
2022,0,28252,Seamus Power,301.0,46951,156
2022,0,29221,Webb Simpson,300.6,35476,118
2022,0,24924,Bill Haas,300.5,51682,172
2022,0,34431,Robert Streb,300.4,47466,158
2022,0,54628,Lee Hodges,300.3,55864,186
2022,0,55708,Hayden Buckley,300.1,54627,182
2022,0,30926,Chris Kirk,300.1,48014,160
2022,0,27349,Alex Noren,299.8,35973,120
2022,0,35891,Cameron Smith,299.7,37161,124
2022,0,22405,Justin Rose,299.5,32347,108
2022,0,40006,Erik van Rooyen,299.4,26348,88
2022,0,29289,S.Y. Noh,299.2,37703,126
2022,0,36852,Jim Knous,299.0,30501,102
2022,0,34098,Russell Henley,298.7,46594,156
2022,0,31420,Anirban Lahiri,298.2,42944,144
2022,0,49771,J.T. Poston,298.2,52488,176
2022,0,28114,Dawie van der Walt,298.2,36973,124
2022,0,35532,Tom Hoge,298.1,54849,184
2022,0,35506,Mackenzie Hughes,298.0,46493,156
2022,0,27936,Martin Laird,298.0,39338,132
2022,0,36871,Matthew NeSmith,298.0,52444,176
2022,0,29926,Danny Lee,297.8,30972,104
2022,0,25900,Lucas Glover,297.5,55326,186
2022,0,29420,Billy Horschel,297.3,41621,140
2022,0,48084,Wesley Bryan,297.2,26748,90
2022,0,33399,Adam Hadwin,297.2,53495,180
2022,0,32139,Danny Willett,297.2,36849,124
2022,0,45526,Abraham Ancer,297.1,34463,116
2022,0,34466,Peter Malnati,297.1,58818,198
2022,0,51997,Andrew Novak,297.1,45156,152
2022,0,24980,Scott Gutschewski,296.9,33252,112
2022,0,29908,C.T. Pan,296.7,46286,156
2022,0,27895,Jonas Blixt,296.6,29664,100
2022,0,54783,Dylan Wu,296.5,39728,134
2022,0,29974,Branden Grace,296.4,28458,96
2022,0,33486,Roger Sloan,296.2,40872,138
2022,0,25493,Nick Taylor,296.1,52107,176
2022,0,35110,Brett Drewitt,295.9,34326,116
2022,0,25818,Scott Piercy,295.8,45558,154
2022,0,27214,Kevin Streelman,295.8,52055,176
2022,0,52375,Doug Ghim,295.6,47295,160
2022,0,24138,Ian Poulter,295.6,26014,88
2022,0,25198,Francesco Molinari,295.4,31313,106
2022,0,46414,Aaron Rai,295.4,52585,178
2022,0,52374,Brandon Wu,295.3,43711,148
2022,0,28775,Nate Lashley,295.2,44865,152
2022,0,36326,David Lipsky,295.2,51958,176
2022,0,45609,Tyler Duncan,295.1,48396,164
2022,0,33490,Bo Hoag,294.9,28898,98
2022,0,51890,Greyson Sigg,294.9,53081,180
2022,0,47128,Richy Werenski,294.9,37154,126
2022,0,53165,Doc Redman,294.8,44227,150
2022,0,39324,J.J. Spaun,294.7,55997,190
2022,0,49298,Kramer Hickok,294.5,51248,174
2022,0,49766,Hank Lebioda,294.2,47078,160
2022,0,40162,Justin Lower,294.2,42370,144
2022,0,37275,Sam Ryder,294.0,49399,168
2022,0,27974,Sung Kang,293.9,44667,152
2022,0,34610,Matthias Schwab,293.8,41129,140
2022,0,29535,Brice Garnett,293.7,45224,154
2022,0,33122,Russell Knox,293.7,52275,178
2022,0,40115,Adam Svensson,293.4,58678,200
2022,0,30978,Kiradech Aphibarnrat,293.0,31062,106
2022,0,36799,Stephan Jaeger,293.0,49811,170
2022,0,24925,Jonathan Byrd,292.9,33385,114
2022,0,22056,Cameron Percy,292.3,25719,88
2022,0,27644,Brian Harman,292.2,53172,182
2022,0,32640,Troy Merritt,292.2,50839,174
2022,0,34076,Joel Dahmen,292.1,49657,170
2022,0,25686,Jason Dufner,292.1,29213,100
2022,0,34174,John Huh,292.0,43220,148
2022,0,31557,Jim Herman,291.8,29764,102
2022,0,45522,Christiaan Bezuidenhout,291.6,46649,160
2022,0,35449,Adam Long,291.6,48987,168
2022,0,47993,Denny McCarthy,291.6,58313,200
2022,0,30163,Henrik Norlander,291.0,39578,136
2022,0,27770,Camilo Villegas,290.9,40139,138
