YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
2024,72,0,28252,Seamus Power,78.65%,678,862
2024,73,0,26596,Ryan Moore,78.60%,551,701
2024,74,0,55182,Tom Kim,78.55%,564,718
2024,75,0,60767,Blaine Hale Jr.,78.50%,303,386
2024,76,0,32791,K.H. Lee,78.45%,535,682
2024,77,0,50484,Hayden Springer,78.41%,465,593
2024,78,0,48887,Matt Wallace,78.38%,388,495
2024,79,0,40115,Adam Svensson,78.35%,767,979
2024,80,0,52453,Nicolai Højgaard,78.32%,336,429
2024,81,0,47983,Chad Ramey,78.31%,585,747
2024,82,0,51696,Rico Hoey,78.21%,578,739
2024,83,0,47679,Victor Perez,78.15%,465,595
2024,84,0,57975,Harry Hall,78.11%,496,635
2024,85,0,52215,Robert MacIntyre,77.98%,439,563
2024,86,0,47663,Kevin Dougherty,77.96%,375,481
2024,87,0,50497,Adrien Dumont de Chassart,77.93%,445,571
2024,88,0,59866,Nick Dunlap,77.91%,402,516
2024,89,0,35532,Tom Hoge,77.89%,666,855
2024,90,0,32366,Kevin Chappell,77.80%,361,464
2024,91,0,34256,Andrew Putnam,77.76%,563,724
2024,92,0,59095,Chris Gotterup,77.73%,377,485
2024,93,0,51890,Greyson Sigg,77.70%,533,686
2024,93,0,51894,Vince Whaley,77.70%,425,547
2024,95,0,54421,Garrick Higgo,77.67%,487,627
2024,96,0,55789,Taylor Montgomery,77.66%,285,367
2024,97,0,26476,Chez Reavie,77.55%,501,646
2024,98,0,37378,Min Woo Lee,77.52%,407,525
2024,99,0,47347,Adam Schenk,77.43%,597,771
2024,100,0,27214,Kevin Streelman,77.38%,479,619
2024,101,0,49960,Sepp Straka,77.35%,584,755
2024,102,0,36801,Mark Hubbard,77.27%,707,915
2024,103,0,27349,Alex Noren,77.25%,472,611
2024,104,0,23108,Matt Kuchar,77.16%,517,670
2024,105,0,48319,Tom Whitney,77.15%,476,617
2024,106,0,55708,Hayden Buckley,77.13%,499,647
2024,107,0,56149,Wilson Furr,77.05%,329,427
2024,108,0,52372,Cameron Champ,77.04%,369,479
2024,109,0,33204,Shane Lowry,76.97%,498,647
2024,109,0,52374,Brandon Wu,76.97%,538,699
2024,111,0,51766,Wyndham Clark,76.94%,397,516
2024,112,0,29420,Billy Horschel,76.93%,517,672
2024,113,0,36884,Ben Kohles,76.92%,640,832
2024,114,0,46717,Viktor Hovland,76.86%,372,484
2024,115,0,27129,Luke List,76.75%,482,628
2024,116,0,27330,Josh Teater,76.74%,353,460
2024,117,0,29936,Ryan Fox,76.73%,432,563
2024,118,0,47504,Sam Burns,76.70%,484,631
2024,119,0,36799,Stephan Jaeger,76.69%,510,665
2024,120,0,28775,Nate Lashley,76.56%,526,687
2024,121,0,28237,Rory McIlroy,76.55%,444,580
2024,122,0,32102,Rickie Fowler,76.53%,499,652
2024,122,0,37275,Sam Ryder,76.53%,525,686
2024,124,0,45522,Christiaan Bezuidenhout,76.51%,482,630
2024,125,0,38991,Alejandro Tosti,76.48%,387,506
2024,126,0,49771,J.T. Poston,76.47%,598,782
2024,127,0,48153,Matthieu Pavon,76.44%,425,556
2024,128,0,24502,Adam Scott,76.43%,441,577
2024,129,0,33399,Adam Hadwin,76.28%,521,683
2024,129,0,47483,Will Zalatoris,76.28%,418,548
2024,131,0,45609,Tyler Duncan,76.15%,498,654
2024,132,0,34046,Jordan Spieth,76.14%,466,612
2024,133,0,48699,Callum Tarren,76.07%,391,514
2024,134,0,31646,Emiliano Grillo,76.06%,575,756
2024,135,0,30926,Chris Kirk,76.02%,539,709
2024,136,0,28089,Jason Day,76.01%,450,592
2024,137,0,50493,Justin Suh,76.00%,494,650
2024,138,0,29908,C.T. Pan,75.90%,400,527
2024,139,0,46441,Robby Shelton,75.87%,478,630
2024,140,0,47420,Jake Knapp,75.81%,445,587
2024,141,0,52514,Trace Crowe,75.80%,429,566
2024,142,0,32367,Jorge Campillo,75.74%,334,441
2024,143,0,35506,Mackenzie Hughes,75.69%,548,724
2024,144,0,34099,Harris English,75.68%,644,851
2024,145,0,49947,Taylor Moore,75.65%,615,813
2024,146,0,31323,Gary Woodland,75.33%,458,608
2024,147,0,40098,Matt Fitzpatrick,75.32%,473,628
2024,147,0,39977,Max Homa,75.32%,470,624
2024,149,0,30911,Tommy Fleetwood,75.29%,518,688
2024,150,0,27644,Brian Harman,75.28%,615,817
2024,151,0,47591,Eric Cole,75.03%,640,853
2024,152,0,39971,Sungjae Im,74.97%,578,771
2024,153,0,35450,Patrick Cantlay,74.91%,400,534
2024,154,0,57900,Chandler Phillips,74.90%,552,737
2024,155,0,47993,Denny McCarthy,74.87%,572,764
2024,156,0,45157,Cam Davis,74.70%,490,656
2024,157,0,27649,Brandt Snedeker,74.60%,373,500
2024,158,0,52666,Sami Valimaki,74.55%,369,495
2024,159,0,34098,Russell Henley,74.47%,531,713
2024,160,0,25493,Nick Taylor,74.44%,530,712
2024,161,0,40058,Zac Blair,74.35%,571,768
2024,162,0,34466,Peter Malnati,74.32%,408,549
2024,163,0,28420,Ryan Brehm,74.17%,356,480
2024,164,0,33408,Tyson Alexander,74.15%,436,588
2024,165,0,56630,Akshay Bhatia,74.05%,582,786
2024,166,0,55454,Carl Yuan,73.90%,388,525
2024,167,0,57362,Austin Eckroat,73.80%,628,851
2024,168,0,32640,Troy Merritt,73.72%,502,681
2024,169,0,33968,Thorbjørn Olesen,73.50%,269,366
2024,170,0,33653,Thomas Detry,73.39%,400,545
2024,171,0,50525,Collin Morikawa,73.35%,567,773
2024,171,0,30927,Brendon Todd,73.35%,688,938
2024,173,0,24024,Zach Johnson,73.20%,325,444
2024,174,0,50188,S.H. Kim,73.10%,606,829
2024,175,0,37455,Si Woo Kim,72.87%,599,822
2024,176,0,23320,Ryan Palmer,72.53%,272,375
2024,177,0,22371,Aaron Baddeley,72.48%,424,585
2024,178,0,29221,Webb Simpson,72.25%,302,418
2024,179,0,22405,Justin Rose,71.90%,389,541
2024,180,0,37212,Paul Barjon,71.87%,304,423
2024,181,0,29478,Kevin Kisner,71.79%,336,468
2024,182,0,35617,Martin Trainer,71.02%,272,383
2024,183,0,34374,Erik Barnes,69.58%,279,401
2024,184,0,47806,Raul Pereda,68.56%,253,369
2023,1,0,46046,Scottie Scheffler,86.45%,657,760
2023,2,0,58696,Peter Kuest,84.13%,334,397
2023,3,0,58168,Davis Thompson,83.17%,672,808
2023,4,0,52955,Ludvig Åberg,82.93%,379,457
2023,5,0,36799,Stephan Jaeger,82.53%,808,979
2023,6,0,29725,Tony Finau,82.23%,583,709
2023,7,0,52372,Cameron Champ,82.20%,531,646
2023,8,0,37338,Zecheng Dou,82.15%,603,734
2023,9,0,40250,Taylor Pendrith,82.14%,630,767
2023,10,0,28237,Rory McIlroy,81.89%,389,475
2023,11,0,51070,Vincent Norrman,81.82%,558,682
2023,12,0,54783,Dylan Wu,81.76%,726,888
2023,13,0,49453,Trevor Cone,81.73%,501,613
2023,14,0,45157,Cam Davis,81.69%,571,699
2023,15,0,46970,Jon Rahm,81.61%,466,571
2023,16,0,27974,Sung Kang,81.56%,292,358
2023,17,0,33122,Russell Knox,81.51%,811,995
2023,18,0,40006,Erik van Rooyen,81.50%,511,627
2023,19,0,52374,Brandon Wu,81.47%,800,982
2023,20,0,57366,Cameron Young,81.43%,579,711
2023,21,0,56762,Will Gordon,81.41%,771,947
2023,22,0,48081,Xander Schauffele,81.34%,523,643
2023,23,0,55454,Carl Yuan,81.23%,515,634
2023,24,0,45242,Kevin Yu,81.22%,493,607
2023,25,0,57975,Harry Hall,81.00%,618,763
2023,26,0,32102,Rickie Fowler,80.95%,629,777
2023,27,0,27129,Luke List,80.79%,610,755
2023,27,0,47347,Adam Schenk,80.79%,736,911
2023,29,0,39997,Corey Conners,80.76%,596,738
2023,30,0,12716,Charley Hoffman,80.74%,503,623
2023,30,0,53165,Doc Redman,80.74%,545,675
2023,32,0,52375,Doug Ghim,80.68%,710,880
2023,32,0,50525,Collin Morikawa,80.68%,618,766
2023,32,0,32333,Kevin Tway,80.68%,597,740
2023,35,0,34255,Joseph Bramlett,80.63%,462,573
2023,36,0,55182,Tom Kim,80.59%,681,845
2023,37,0,27349,Alex Noren,80.57%,564,700
2023,38,0,49960,Sepp Straka,80.56%,667,828
2023,39,0,46340,Alex Smalley,80.55%,737,915
2023,40,0,51766,Wyndham Clark,80.42%,620,771
2023,41,0,29908,C.T. Pan,80.39%,369,459
2023,42,0,29289,S.Y. Noh,80.32%,400,498
2023,43,0,29535,Brice Garnett,80.28%,623,776
2023,44,0,35450,Patrick Cantlay,80.27%,529,659
2023,45,0,54421,Garrick Higgo,80.24%,658,820
2023,46,0,46601,Trey Mullinax,80.21%,389,485
2023,47,0,23320,Ryan Palmer,80.09%,547,683
2023,48,0,34563,Chesson Hadley,79.90%,612,766
2023,49,0,47988,Nick Hardy,79.89%,751,940
2023,50,0,39546,Keith Mitchell,79.88%,659,825
2023,51,0,25900,Lucas Glover,79.83%,768,962
2023,51,0,49771,J.T. Poston,79.83%,673,843
2023,53,0,45609,Tyler Duncan,79.80%,707,886
2023,54,0,48084,Wesley Bryan,79.78%,288,361
2023,55,0,32757,Patton Kizzire,79.75%,646,810
2023,56,0,49298,Kramer Hickok,79.74%,685,859
2023,57,0,26596,Ryan Moore,79.70%,648,813
2023,58,0,34098,Russell Henley,79.69%,679,852
2023,59,0,56630,Akshay Bhatia,79.68%,596,748
2023,59,0,49766,Hank Lebioda,79.68%,396,497
2023,61,0,51414,Brent Grant,79.60%,593,745
2023,61,0,39324,J.J. Spaun,79.60%,722,907
2023,63,0,51634,Sahith Theegala,79.59%,620,779
2023,64,0,52453,Nicolai Hojgaard,79.56%,253,318
2023,65,0,47504,Sam Burns,79.47%,507,638
2023,66,0,48699,Callum Tarren,79.37%,554,698
2023,67,0,46717,Viktor Hovland,79.33%,618,779
2023,68,0,35532,Tom Hoge,79.30%,678,855
2023,69,0,34256,Andrew Putnam,79.25%,783,988
2023,69,0,31323,Gary Woodland,79.25%,527,665
2023,71,0,32791,K.H. Lee,79.19%,700,884
2023,72,0,50095,Austin Smotherman,79.13%,690,872
2023,73,0,55893,Sam Stevens,79.12%,648,819
2023,74,0,27936,Martin Laird,79.10%,636,804
2023,75,0,30926,Chris Kirk,79.09%,624,789
2023,76,0,46414,Aaron Rai,79.04%,792,1002
2023,77,0,28775,Nate Lashley,79.03%,716,906
2023,78,0,25686,Jason Dufner,79.00%,583,738
2023,79,0,48867,Matti Schmid,78.97%,522,661
2023,80,0,47993,Denny McCarthy,78.78%,672,853
2023,80,0,51890,Greyson Sigg,78.78%,709,900
2023,80,0,52411,Kyle Westmoreland,78.78%,412,523
2023,83,0,22056,Cameron Percy,78.72%,466,592
2023,84,0,37275,Sam Ryder,78.61%,691,879
2023,85,0,33141,Keegan Bradley,78.59%,525,668
2023,86,0,39977,Max Homa,78.56%,568,723
2023,87,0,33413,Ben Martin,78.50%,701,893
2023,88,0,35310,Lanto Griffin,78.46%,397,506
2023,89,0,30163,Henrik Norlander,78.43%,618,788
2023,90,0,24502,Adam Scott,78.42%,396,505
2023,91,0,47995,Davis Riley,78.41%,650,829
2023,92,0,27095,Nick Watney,78.40%,403,514
2023,93,0,52513,Carson Young,78.34%,709,905
2023,94,0,30692,Scott Stallings,78.33%,517,660
2023,95,0,51997,Andrew Novak,78.24%,604,772
2023,96,0,27554,Scott Harrington,78.23%,460,588
2023,96,0,31202,William McGirt,78.23%,381,487
2023,98,0,33448,Justin Thomas,78.12%,432,553
2023,99,0,33948,Byeong Hun An,78.10%,592,758
2023,100,0,40162,Justin Lower,78.07%,705,903
2023,101,0,31577,Tano Goya,78.05%,601,770
2023,102,0,32839,Hideki Matsuyama,78.03%,561,719
2023,102,0,36699,Patrick Rodgers,78.03%,593,760
2023,104,0,39335,Kevin Roy,77.96%,481,617
2023,105,0,40115,Adam Svensson,77.93%,844,1083
2023,106,0,36801,Mark Hubbard,77.91%,769,987
2023,107,0,55708,Hayden Buckley,77.87%,591,759
2023,107,0,35617,Martin Trainer,77.87%,387,497
2023,109,0,20229,Stewart Cink,77.82%,456,586
2023,110,0,32816,Satoshi Kodaira,77.80%,480,617
2023,111,0,39971,Sungjae Im,77.74%,709,912
2023,112,0,33399,Adam Hadwin,77.73%,604,777
2023,112,0,46441,Robby Shelton,77.73%,663,853
2023,114,0,25632,Jimmy Walker,77.72%,485,624
2023,115,0,23108,Matt Kuchar,77.70%,627,807
2023,116,0,27963,Chris Stroud,77.66%,372,479
2023,117,0,28089,Jason Day,77.58%,533,687
2023,117,0,27214,Kevin Streelman,77.58%,616,794
2023,119,0,48117,Kurt Kitayama,77.50%,396,511
2023,120,0,54591,Ben Griffin,77.49%,716,924
2023,121,0,39975,Michael Kim,77.48%,609,786
2023,122,0,35461,Beau Hossler,77.45%,680,878
2023,123,0,36871,Matt NeSmith,77.43%,662,855
2023,124,0,30911,Tommy Fleetwood,77.41%,490,633
2023,125,0,36326,David Lipsky,77.33%,696,900
2023,126,0,29970,Dylan Frittelli,77.32%,392,507
2023,127,0,35506,Mackenzie Hughes,77.31%,528,683
2023,128,0,45522,Christiaan Bezuidenhout,77.30%,589,762
2023,129,0,48119,Ben Taylor,77.27%,571,739
2023,130,0,26476,Chez Reavie,77.24%,682,883
2023,131,0,36724,Augusto Núñez,77.21%,515,667
2023,132,0,33653,Thomas Detry,77.14%,614,796
2023,133,0,39954,Cody Gribble,77.12%,455,590
2023,134,0,31646,Emiliano Grillo,77.03%,741,962
2023,135,0,34466,Peter Malnati,77.01%,526,683
2023,136,0,22405,Justin Rose,76.99%,455,591
2023,137,0,33597,Harry Higgs,76.94%,487,633
2023,138,0,34076,Joel Dahmen,76.90%,616,801
2023,139,0,19803,Ryan Armour,76.87%,698,908
2023,140,0,49947,Taylor Moore,76.82%,600,781
2023,141,0,31557,Jim Herman,76.76%,545,710
2023,142,0,40058,Zac Blair,76.73%,564,735
2023,142,0,59018,Ryan Gerard,76.73%,389,507
2023,144,0,48887,Matt Wallace,76.66%,486,634
2023,145,0,35449,Adam Long,76.63%,810,1057
2023,146,0,51491,Brandon Matthews,76.61%,298,389
2023,147,0,27644,Brian Harman,76.56%,663,866
2023,148,0,34363,Tyrrell Hatton,76.55%,493,644
2023,149,0,54628,Lee Hodges,76.52%,681,890
2023,149,0,55789,Taylor Montgomery,76.52%,590,771
2023,151,0,34046,Jordan Spieth,76.49%,436,570
2023,152,0,40098,Matt Fitzpatrick,76.47%,442,578
2023,153,0,34610,Matthias Schwab,76.44%,675,883
2023,154,0,24024,Zach Johnson,76.40%,476,623
2023,155,0,25493,Nick Taylor,76.39%,576,754
2023,156,0,46442,Maverick McNealy,76.37%,362,474
2023,157,0,39067,MJ Daffue,76.31%,641,840
2023,158,0,32662,Michael Gligic,76.22%,407,534
2023,159,0,32366,Kevin Chappell,76.21%,330,433
2023,160,0,47128,Richy Werenski,76.15%,613,805
2023,161,0,47591,Eric Cole,76.14%,721,947
2023,162,0,22371,Aaron Baddeley,75.94%,483,636
2023,163,0,57362,Austin Eckroat,75.83%,659,869
2023,164,0,37455,Si Woo Kim,75.77%,713,941
2023,164,0,33204,Shane Lowry,75.77%,419,553
2023,166,0,50493,Justin Suh,75.72%,758,1001
2023,167,0,47983,Chad Ramey,75.64%,649,858
2023,168,0,39058,Lucas Herbert,75.57%,362,479
2023,169,0,28420,Ryan Brehm,75.55%,445,589
2023,170,0,34431,Robert Streb,75.50%,487,645
2023,171,0,32448,James Hahn,75.49%,542,718
2023,172,0,29420,Billy Horschel,75.45%,421,558
2023,173,0,51349,Nico Echavarria,75.35%,486,645
2023,174,0,32640,Troy Merritt,75.30%,634,842
2023,175,0,50188,S.H. Kim,75.29%,655,870
2023,176,0,30927,Brendon Todd,75.28%,746,991
2023,177,0,24925,Jonathan Byrd,75.24%,386,513
2023,178,0,33410,Andrew Landry,75.21%,540,718
2023,179,0,47079,Harrison Endycott,75.19%,582,774
2023,180,0,34099,Harris English,75.06%,629,838
2023,181,0,25818,Scott Piercy,75.03%,625,833
2023,182,0,51950,Max McGreevy,74.93%,568,758
2023,183,0,29221,Webb Simpson,74.85%,369,493
2023,184,0,35901,Paul Haley II,74.79%,629,841
2023,185,0,35879,Kelly Kraft,74.55%,624,837
2023,186,0,33408,Tyson Alexander,74.50%,523,702
2023,187,0,46435,Austin Cook,74.19%,572,771
2023,188,0,58967,Trevor Werbylo,74.11%,438,591
2023,189,0,24140,Sean O'Hair,73.84%,333,451
2023,190,0,32139,Danny Willett,73.80%,400,542
2023,191,0,28252,Seamus Power,73.78%,498,675
2023,192,0,34409,David Lingmerth,70.47%,575,816
2023,193,0,31560,Brian Stuard,69.95%,461,659
2022,1,0,47483,Will Zalatoris,85.28,504,591
2022,2,0,46970,Jon Rahm,84.72,521,615
2022,3,0,47504,Sam Burns,84.3,521,618
2022,4,0,46046,Scottie Scheffler,84.09,592,704
2022,5,0,40250,Taylor Pendrith,82.65,467,565
2022,6,0,35891,Cameron Smith,82.16,410,499
2022,7,0,46601,Trey Mullinax,81.98,514,627
2022,8,0,29725,Tony Finau,81.69,571,699
2022,9,0,35450,Patrick Cantlay,81.41,473,581
2022,10,0,34098,Russell Henley,81.35,602,740
2022,11,0,34610,Matthias Schwab,81.28,469,577
2022,12,0,28237,Rory McIlroy,81.22,398,490
2022,13,0,24502,Adam Scott,81.07,454,560
2022,14,0,39997,Corey Conners,80.96,659,814
2022,15,0,39971,Sungjae Im,80.89,656,811
2022,16,0,33122,Russell Knox,80.85,667,825
2022,17,0,21961,Charles Howell III,80.65,375,465
2022,18,0,29518,Brendan Steele,80.64,504,625
2022,19,0,49964,Aaron Wise,80.45,572,711
2022,20,0,34255,Joseph Bramlett,80.31,473,589
2022,21,0,48117,Kurt Kitayama,80.28,407,507
2022,22,0,48081,Xander Schauffele,80.22,503,627
2022,23,0,45157,Cam Davis,80.19,514,641
2022,24,0,45540,Jared Wolfe,80.09,366,457
2022,25,0,29420,Billy Horschel,79.97,515,644
2022,26,0,28252,Seamus Power,79.94,542,678
2022,27,0,49947,Taylor Moore,79.92,577,722
2022,28,0,50525,Collin Morikawa,79.89,437,547
2022,29,0,12716,Charley Hoffman,79.75,382,479
2022,30,0,49771,J.T. Poston,79.73,582,730
2022,31,0,25900,Lucas Glover,79.66,701,880
2022,32,0,46442,Maverick McNealy,79.6,562,706
2022,33,0,37189,Harold Varner III,79.51,419,527
2022,34,0,24980,Scott Gutschewski,79.48,364,458
2022,35,0,26851,Marc Leishman,79.47,449,565
2022,35,0,52374,Brandon Wu,79.47,507,638
2022,37,0,50095,Austin Smotherman,79.46,534,672
2022,38,0,34046,Jordan Spieth,79.45,464,584
2022,38,0,33448,Justin Thomas,79.45,464,584
2022,40,0,32839,Hideki Matsuyama,79.4,478,602
2022,41,0,47529,Mito Pereira,79.28,593,748
2022,42,0,36801,Mark Hubbard,79.22,469,592
2022,42,0,29289,S.Y. Noh,79.22,347,438
2022,44,0,36699,Patrick Rodgers,79.2,476,601
2022,45,0,39546,Keith Mitchell,79.13,584,738
2022,46,0,40162,Justin Lower,79.07,476,602
2022,47,0,30911,Tommy Fleetwood,79.05,366,463
2022,48,0,39977,Max Homa,79.02,550,696
2022,49,0,35617,Martin Trainer,78.94,461,584
2022,50,0,36852,Jim Knous,78.93,311,394
2022,51,0,30692,Scott Stallings,78.9,576,730
2022,52,0,49960,Sepp Straka,78.88,646,819
2022,53,0,27095,Nick Watney,78.87,448,568
2022,54,0,54628,Lee Hodges,78.84,626,794
2022,54,0,27064,Jhonattan Vegas,78.84,462,586
2022,56,0,25493,Nick Taylor,78.64,556,707
2022,57,0,30163,Henrik Norlander,78.58,488,621
2022,58,0,32333,Kevin Tway,78.49,427,544
2022,59,0,47988,Nick Hardy,78.48,372,474
2022,60,0,39324,J.J. Spaun,78.41,661,843
2022,61,0,48887,Matt Wallace,78.37,355,453
2022,62,0,51634,Sahith Theegala,78.24,665,850
2022,62,0,40006,Erik van Rooyen,78.24,320,409
2022,64,0,27129,Luke List,78.18,480,614
2022,64,0,36871,Matthew NeSmith,78.18,634,811
2022,64,0,40115,Adam Svensson,78.18,695,889
2022,64,0,48699,Callum Tarren,78.18,387,495
2022,64,0,33419,Cameron Tringale,78.18,584,747
2022,69,0,46414,Aaron Rai,78.13,650,832
2022,70,0,54783,Dylan Wu,78.1,428,548
2022,71,0,26300,Matt Jones,78.04,359,460
2022,72,0,27770,Camilo Villegas,78.0,436,559
2022,73,0,35449,Adam Long,77.99,613,786
2022,74,0,36689,Brooks Koepka,77.97,269,345
2022,75,0,33399,Adam Hadwin,77.92,621,797
2022,76,0,54421,Garrick Higgo,77.9,363,466
2022,77,0,29970,Dylan Frittelli,77.86,510,655
2022,78,0,27139,David Skinns,77.78,364,468
2022,79,0,20229,Stewart Cink,77.76,500,643
2022,80,0,55708,Hayden Buckley,77.75,664,854
2022,81,0,30926,Chris Kirk,77.72,586,754
2022,82,0,36326,David Lipsky,77.71,617,794
2022,83,0,32662,Michael Gligic,77.68,456,587
2022,84,0,27644,Brian Harman,77.66,657,846
2022,85,0,35461,Beau Hossler,77.65,396,510
2022,85,0,48822,Sebastián Muñoz,77.65,556,716
2022,87,0,25198,Francesco Molinari,77.63,354,456
2022,88,0,51890,Greyson Sigg,77.55,608,784
2022,89,0,34256,Andrew Putnam,77.53,652,841
2022,90,0,33141,Keegan Bradley,77.51,517,667
2022,90,0,31646,Emiliano Grillo,77.51,579,747
2022,92,0,28089,Jason Day,77.48,375,484
2022,93,0,47995,Davis Riley,77.45,625,807
2022,94,0,46340,Alex Smalley,77.42,600,775
2022,95,0,37275,Sam Ryder,77.4,565,730
2022,96,0,46717,Viktor Hovland,77.38,472,610
2022,97,0,45609,Tyler Duncan,77.37,605,782
2022,97,0,46550,Brandon Hagy,77.37,400,517
2022,99,0,22056,Cameron Percy,77.27,289,374
2022,100,0,51766,Wyndham Clark,77.23,546,707
2022,100,0,35310,Lanto Griffin,77.23,485,628
2022,102,0,29478,Kevin Kisner,77.21,471,610
2022,102,0,36884,Ben Kohles,77.21,410,531
2022,104,0,29535,Brice Garnett,77.2,552,715
2022,105,0,45522,Christiaan Bezuidenhout,77.19,538,697
2022,106,0,34466,Peter Malnati,77.16,608,788
2022,107,0,49766,Hank Lebioda,77.15,530,687
2022,108,0,45486,Joaquin Niemann,77.13,489,634
2022,109,0,32139,Danny Willett,77.11,411,533
2022,110,0,33204,Shane Lowry,77.06,383,497
2022,111,0,32791,K.H. Lee,77.05,658,854
2022,112,0,34363,Tyrrell Hatton,77.0,375,487
2022,113,0,34076,Joel Dahmen,76.96,618,803
2022,114,0,46402,Talor Gooch,76.94,477,620
2022,115,0,32757,Patton Kizzire,76.92,540,702
2022,116,0,32102,Rickie Fowler,76.88,439,571
2022,116,0,34174,John Huh,76.88,522,679
2022,118,0,53165,Doc Redman,76.78,506,659
2022,119,0,33490,Bo Hoag,76.77,314,409
2022,120,0,47993,Denny McCarthy,76.7,688,897
2022,121,0,51997,Andrew Novak,76.69,454,592
2022,122,0,57366,Cameron Young,76.66,519,677
2022,123,0,24024,Zach Johnson,76.63,436,569
2022,123,0,47983,Chad Ramey,76.63,505,659
2022,125,0,27649,Brandt Snedeker,76.62,390,509
2022,126,0,34264,Hudson Swafford,76.57,415,542
2022,127,0,49298,Kramer Hickok,76.51,632,826
2022,128,0,29908,C.T. Pan,76.49,540,706
2022,129,0,31323,Gary Woodland,76.43,415,543
2022,130,0,34563,Chesson Hadley,76.3,470,616
2022,131,0,37212,Paul Barjon,76.26,440,577
2022,132,0,24924,Bill Haas,76.19,528,693
2022,133,0,31557,Jim Herman,76.14,367,482
2022,134,0,32366,Kevin Chappell,76.13,303,398
