YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
2024,97,0,29535,Brice Garnett,70.08,841,12
2024,97,0,55789,Taylor Montgomery,70.08,911,13
2024,99,0,50188,S.H. Kim,70.09,1612,23
2024,99,0,32640,Troy Merritt,70.09,771,11
2024,101,0,51349,Nico Echavarria,70.14,1543,22
2024,102,0,54628,Lee Hodges,70.18,1544,22
2024,102,0,46340,Alex Smalley,70.18,772,11
2024,104,0,30926,Chris Kirk,70.2,351,5
2024,105,0,27936,Martin Laird,70.22,1264,18
2024,106,0,45157,Cam Davis,70.25,281,4
2024,106,0,56149,Wilson Furr,70.25,843,12
2024,106,0,27644,Brian Harman,70.25,281,4
2024,106,0,59143,Mac Meissner,70.25,843,12
2024,106,0,27139,David Skinns,70.25,1405,20
2024,111,0,34466,Peter Malnati,70.27,773,11
2024,111,0,26476,Chez Reavie,70.27,1546,22
2024,113,0,33486,Roger Sloan,70.29,1195,17
2024,114,0,32070,Rafael Campos,70.33,633,9
2024,114,0,59442,Parker Coody,70.33,844,12
2024,116,0,39975,Michael Kim,70.35,1196,17
2024,117,0,34098,Russell Henley,70.43,493,7
2024,118,0,57975,Harry Hall,70.44,634,9
2024,118,0,47347,Adam Schenk,70.44,1268,18
2024,120,0,40058,Zac Blair,70.47,1339,19
2024,120,0,32791,K.H. Lee,70.47,1339,19
2024,120,0,54783,Dylan Wu,70.47,1198,17
2024,123,0,35532,Tom Hoge,70.5,846,12
2024,123,0,29420,Billy Horschel,70.5,282,4
2024,123,0,32839,Hideki Matsuyama,70.5,423,6
2024,123,0,24502,Adam Scott,70.5,141,2
2024,123,0,51890,Greyson Sigg,70.5,1128,16
2024,123,0,39327,Ben Silverman,70.5,1410,20
2024,123,0,51894,Vince Whaley,70.5,987,14
2024,123,0,48319,Tom Whitney,70.5,1128,16
2024,131,0,34563,Chesson Hadley,70.53,1199,17
2024,132,0,52374,Brandon Wu,70.6,1412,20
2024,133,0,12716,Charley Hoffman,70.64,989,14
2024,133,0,46441,Robby Shelton,70.64,989,14
2024,135,0,59095,Chris Gotterup,70.67,1060,15
2024,135,0,47806,Raul Pereda,70.67,636,9
2024,137,0,32367,Jorge Campillo,70.75,283,4
2024,137,0,38991,Alejandro Tosti,70.75,1132,16
2024,139,0,55454,Carl Yuan,70.77,920,13
2024,140,0,60767,Blaine Hale Jr.,70.78,637,9
2024,140,0,40250,Taylor Pendrith,70.78,637,9
2024,142,0,49960,Sepp Straka,70.8,354,5
2024,143,0,22371,Aaron Baddeley,70.82,1204,17
2024,143,0,28775,Nate Lashley,70.82,1204,17
2024,145,0,51977,Max Greyserman,70.83,850,12
2024,146,0,47983,Chad Ramey,70.85,1913,27
2024,147,0,57900,Chandler Phillips,70.88,1205,17
2024,148,0,39971,Sungjae Im,70.9,709,10
2024,149,0,50493,Justin Suh,70.93,993,14
2024,150,0,36326,David Lipsky,70.94,1206,17
2024,150,0,51070,Vincent Norrman,70.94,1277,18
2024,152,0,52372,Cameron Champ,71.0,1136,16
2024,152,0,51766,Wyndham Clark,71.0,71,1
2024,152,0,32102,Rickie Fowler,71.0,284,4
2024,152,0,37275,Sam Ryder,71.0,923,13
2024,156,0,52514,Trace Crowe,71.07,995,14
2024,157,0,37212,Paul Barjon,71.09,782,11
2024,158,0,59836,Pierceson Coody,71.11,1351,19
2024,159,0,28420,Ryan Brehm,71.21,1994,28
2024,159,0,48119,Ben Taylor,71.21,997,14
2024,161,0,27770,Camilo Villegas,71.24,1211,17
2024,162,0,46113,Ryan McCormick,71.25,855,12
2024,163,0,27649,Brandt Snedeker,71.33,1284,18
2024,164,0,47679,Victor Perez,71.38,571,8
2024,165,0,48153,Matthieu Pavon,71.4,357,5
2024,166,0,36884,Ben Kohles,71.41,1214,17
2024,167,0,28237,Rory McIlroy,71.5,143,2
2024,168,0,33141,Keegan Bradley,71.6,358,5
2024,168,0,52453,Nicolai Højgaard,71.6,358,5
2024,170,0,47420,Jake Knapp,71.63,573,8
2024,171,0,36871,Matt NeSmith,71.76,1507,21
2024,172,0,48699,Callum Tarren,71.82,1221,17
2024,173,0,50497,Adrien Dumont de Chassart,71.83,1293,18
2024,174,0,34374,Erik Barnes,71.88,575,8
2024,174,0,35617,Martin Trainer,71.88,1222,17
2024,176,0,33408,Tyson Alexander,72.0,1656,23
2024,177,0,29478,Kevin Kisner,72.07,1009,14
2024,178,0,57366,Cameron Young,72.2,361,5
2024,179,0,27330,Josh Teater,72.25,1156,16
2024,180,0,39977,Max Homa,72.67,218,3
2024,181,0,34046,Jordan Spieth,73.0,146,2
2024,182,0,50525,Collin Morikawa,74.0,148,2
2024,183,0,46717,Viktor Hovland,78.0,78,1
2023,1,0,40098,Matt Fitzpatrick,65.0,65,1
2023,2,0,22405,Justin Rose,66.0,132,2
2023,3,0,46046,Scottie Scheffler,66.5,266,4
2023,4,0,28237,Rory McIlroy,67.0,67,1
2023,5,0,52453,Nicolai Hojgaard,67.25,269,4
2023,6,0,32839,Hideki Matsuyama,67.4,337,5
2023,7,0,29725,Tony Finau,67.83,407,6
2023,8,0,35450,Patrick Cantlay,68.0,204,3
2023,9,0,51634,Sahith Theegala,68.25,546,8
2023,10,0,47995,Davis Riley,68.33,615,9
2023,11,0,52955,Ludvig Åberg,68.5,137,2
2023,11,0,46970,Jon Rahm,68.5,137,2
2023,13,0,48081,Xander Schauffele,68.67,206,3
2023,14,0,39324,J.J. Spaun,68.81,1445,21
2023,15,0,40058,Zac Blair,68.83,826,12
2023,16,0,33413,Ben Martin,68.94,1241,18
2023,16,0,51997,Andrew Novak,68.94,1241,18
2023,18,0,32102,Rickie Fowler,69.0,345,5
2023,18,0,34363,Tyrrell Hatton,69.0,207,3
2023,18,0,50525,Collin Morikawa,69.0,69,1
2023,18,0,58168,Davis Thompson,69.0,759,11
2023,22,0,27349,Alex Noren,69.11,622,9
2023,23,0,54591,Ben Griffin,69.17,1245,18
2023,23,0,39975,Michael Kim,69.17,830,12
2023,25,0,33948,Byeong Hun An,69.18,761,11
2023,26,0,50493,Justin Suh,69.2,1038,15
2023,27,0,55893,Sam Stevens,69.21,1315,19
2023,27,0,40115,Adam Svensson,69.21,1938,28
2023,29,0,33597,Harry Higgs,69.22,1246,18
2023,30,0,46340,Alex Smalley,69.26,1316,19
2023,31,0,45242,Kevin Yu,69.32,1317,19
2023,32,0,28089,Jason Day,69.33,208,3
2023,33,0,36799,Stephan Jaeger,69.37,1318,19
2023,34,0,47591,Eric Cole,69.42,833,12
2023,35,0,31323,Gary Woodland,69.43,972,14
2023,36,0,46414,Aaron Rai,69.45,1389,20
2023,37,0,51070,Vincent Norrman,69.5,556,8
2023,38,0,51890,Greyson Sigg,69.53,1321,19
2023,39,0,34099,Harris English,69.55,765,11
2023,40,0,31577,Tano Goya,69.56,1252,18
2023,41,0,40250,Taylor Pendrith,69.57,974,14
2023,42,0,34563,Chesson Hadley,69.58,1322,19
2023,42,0,30927,Brendon Todd,69.58,1322,19
2023,44,0,47993,Denny McCarthy,69.6,696,10
2023,45,0,49298,Kramer Hickok,69.61,1253,18
2023,46,0,39546,Keith Mitchell,69.65,1393,20
2023,47,0,22056,Cameron Percy,69.69,1115,16
2023,48,0,33653,Thomas Detry,69.71,976,14
2023,48,0,49771,J.T. Poston,69.71,1185,17
2023,50,0,12716,Charley Hoffman,69.73,1046,15
2023,51,0,32816,Satoshi Kodaira,69.75,1116,16
2023,51,0,29908,C.T. Pan,69.75,558,8
2023,53,0,54783,Dylan Wu,69.8,1745,25
2023,54,0,51349,Nico Echavarria,69.82,1536,22
2023,55,0,50188,S.H. Kim,69.83,1257,18
2023,55,0,32791,K.H. Lee,69.83,1257,18
2023,57,0,35461,Beau Hossler,69.85,908,13
2023,58,0,19803,Ryan Armour,69.86,1467,21
2023,58,0,31202,William McGirt,69.86,978,14
2023,60,0,37455,Si Woo Kim,69.9,699,10
2023,61,0,34098,Russell Henley,69.91,769,11
2023,62,0,23108,Matt Kuchar,69.92,909,13
2023,63,0,34256,Andrew Putnam,69.94,1119,16
2023,63,0,25493,Nick Taylor,69.94,1119,16
2023,65,0,56762,Will Gordon,69.95,1329,19
2023,65,0,35310,Lanto Griffin,69.95,1469,21
2023,67,0,28775,Nate Lashley,69.96,1609,23
2023,68,0,56630,Akshay Bhatia,70.0,700,10
2023,68,0,33141,Keegan Bradley,70.0,210,3
2023,68,0,51766,Wyndham Clark,70.0,980,14
2023,68,0,52375,Doug Ghim,70.0,1330,19
2023,68,0,49947,Taylor Moore,70.0,770,11
2023,68,0,50095,Austin Smotherman,70.0,1120,16
2023,74,0,46441,Robby Shelton,70.08,1682,24
2023,75,0,34255,Joseph Bramlett,70.1,1402,20
2023,75,0,52411,Kyle Westmoreland,70.1,1402,20
2023,77,0,23320,Ryan Palmer,70.11,1332,19
2023,77,0,37275,Sam Ryder,70.11,1332,19
2023,79,0,32366,Kevin Chappell,70.13,561,8
2023,79,0,57366,Cameron Young,70.13,561,8
2023,81,0,25818,Scott Piercy,70.14,1473,21
2023,81,0,52374,Brandon Wu,70.14,1543,22
2023,83,0,22371,Aaron Baddeley,70.17,842,12
2023,83,0,57975,Harry Hall,70.17,1263,18
2023,83,0,55789,Taylor Montgomery,70.17,421,6
2023,86,0,20229,Stewart Cink,70.18,1544,22
2023,87,0,34409,David Lingmerth,70.19,1123,16
2023,88,0,27129,Luke List,70.2,1404,20
2023,89,0,30926,Chris Kirk,70.22,632,9
2023,90,0,45522,Christiaan Bezuidenhout,70.25,843,12
2023,90,0,55182,Tom Kim,70.25,281,4
2023,92,0,24024,Zach Johnson,70.3,703,10
2023,93,0,27644,Brian Harman,70.31,914,13
2023,94,0,29535,Brice Garnett,70.33,1055,15
2023,94,0,51414,Brent Grant,70.33,1266,18
2023,94,0,39971,Sungjae Im,70.33,422,6
2023,97,0,26596,Ryan Moore,70.41,1197,17
2023,98,0,39058,Lucas Herbert,70.42,1338,19
2023,98,0,36801,Mark Hubbard,70.42,1690,24
2023,98,0,33122,Russell Knox,70.42,2183,31
2023,101,0,46442,Maverick McNealy,70.43,493,7
2023,101,0,48867,Matti Schmid,70.43,986,14
2023,103,0,47347,Adam Schenk,70.44,1127,16
2023,103,0,55454,Carl Yuan,70.44,1127,16
2023,105,0,47079,Harrison Endycott,70.5,1269,18
2023,105,0,25900,Lucas Glover,70.5,1410,20
2023,107,0,39067,MJ Daffue,70.54,1693,24
2023,108,0,32139,Danny Willett,70.55,776,11
2023,109,0,34431,Robert Streb,70.57,1976,28
2023,110,0,52372,Cameron Champ,70.58,1341,19
2023,111,0,49453,Trevor Cone,70.59,1200,17
2023,112,0,31646,Emiliano Grillo,70.63,1342,19
2023,112,0,35532,Tom Hoge,70.63,1130,16
2023,114,0,32333,Kevin Tway,70.64,1554,22
2023,115,0,40162,Justin Lower,70.65,1625,23
2023,116,0,58696,Peter Kuest,70.67,424,6
2023,116,0,48699,Callum Tarren,70.67,848,12
2023,118,0,36326,David Lipsky,70.68,1767,25
2023,118,0,26476,Chez Reavie,70.68,1979,28
2023,120,0,35879,Kelly Kraft,70.69,1131,16
2023,120,0,36699,Patrick Rodgers,70.69,919,13
2023,122,0,32640,Troy Merritt,70.72,1768,25
2023,123,0,45609,Tyler Duncan,70.73,2122,30
2023,124,0,48887,Matt Wallace,70.75,1415,20
2023,125,0,47988,Nick Hardy,70.76,1486,21
2023,125,0,52513,Carson Young,70.76,1769,25
2023,127,0,25686,Jason Dufner,70.77,1840,26
2023,128,0,33399,Adam Hadwin,70.79,991,14
2023,129,0,27936,Martin Laird,70.8,2124,30
2023,129,0,30692,Scott Stallings,70.8,1062,15
2023,131,0,47983,Chad Ramey,70.82,1983,28
2023,132,0,39997,Corey Conners,70.83,850,12
2023,132,0,54628,Lee Hodges,70.83,1275,18
2023,134,0,54421,Garrick Higgo,70.86,1984,28
2023,135,0,39335,Kevin Roy,70.87,1063,15
2023,136,0,59018,Ryan Gerard,70.9,709,10
2023,137,0,29970,Dylan Frittelli,70.92,1702,24
2023,138,0,58967,Trevor Werbylo,70.95,1419,20
2023,139,0,47504,Sam Burns,71.0,213,3
2023,139,0,57362,Austin Eckroat,71.0,1491,21
2023,139,0,30911,Tommy Fleetwood,71.0,142,2
2023,139,0,39977,Max Homa,71.0,142,2
2023,139,0,33204,Shane Lowry,71.0,355,5
2023,139,0,34610,Matthias Schwab,71.0,1775,25
2023,139,0,27963,Chris Stroud,71.0,852,12
2023,146,0,47128,Richy Werenski,71.03,2273,32
2023,147,0,53165,Doc Redman,71.06,1137,16
2023,148,0,24925,Jonathan Byrd,71.07,995,14
2023,149,0,24140,Sean O'Hair,71.09,782,11
2023,150,0,34466,Peter Malnati,71.1,1422,20
2023,150,0,29221,Webb Simpson,71.1,711,10
2023,152,0,29289,S.Y. Noh,71.12,1209,17
2023,153,0,39954,Cody Gribble,71.13,1067,15
2023,154,0,33410,Andrew Landry,71.21,1994,28
2023,155,0,32448,James Hahn,71.25,1425,20
2023,155,0,35506,Mackenzie Hughes,71.25,855,12
2023,157,0,32757,Patton Kizzire,71.3,1426,20
2023,158,0,37338,Zecheng Dou,71.32,1997,28
2023,159,0,36871,Matt NeSmith,71.33,856,12
2023,160,0,40006,Erik van Rooyen,71.35,1427,20
2023,161,0,25632,Jimmy Walker,71.39,1285,18
2023,162,0,35449,Adam Long,71.42,1714,24
2023,163,0,31557,Jim Herman,71.44,2286,32
2023,163,0,27974,Sung Kang,71.44,643,9
2023,165,0,35617,Martin Trainer,71.45,1429,20
2023,166,0,34076,Joel Dahmen,71.5,1144,16
2023,166,0,29420,Billy Horschel,71.5,286,4
2023,168,0,28252,Seamus Power,71.57,501,7
2023,169,0,49960,Sepp Straka,71.6,1074,15
2023,170,0,48117,Kurt Kitayama,71.63,573,8
2023,171,0,33408,Tyson Alexander,71.67,1290,18
2023,172,0,27554,Scott Harrington,71.68,1362,19
2023,173,0,48119,Ben Taylor,71.7,1936,27
2023,174,0,36724,Augusto Núñez,71.71,1219,17
2023,175,0,30163,Henrik Norlander,71.73,1578,22
2023,176,0,35901,Paul Haley II,71.81,2226,31
2023,176,0,27095,Nick Watney,71.81,1867,26
2023,178,0,46435,Austin Cook,71.84,1365,19
2023,179,0,55708,Hayden Buckley,71.89,1294,18
2023,179,0,51950,Max McGreevy,71.89,1294,18
2023,179,0,31560,Brian Stuard,71.89,1294,18
2023,182,0,46717,Viktor Hovland,72.0,72,1
2023,182,0,49766,Hank Lebioda,72.0,864,12
2023,184,0,45157,Cam Davis,72.1,721,10
2023,185,0,28420,Ryan Brehm,72.11,1947,27
2023,186,0,48084,Wesley Bryan,72.2,722,10
2023,187,0,32662,Michael Gligic,72.24,1517,21
2023,188,0,27214,Kevin Streelman,72.25,1445,20
2023,189,0,34046,Jordan Spieth,72.5,145,2
2023,190,0,51491,Brandon Matthews,72.8,1092,15
2023,190,0,46601,Trey Mullinax,72.8,1092,15
2023,192,0,24502,Adam Scott,74.0,296,4
2023,193,0,33448,Justin Thomas,76.0,152,2
2022,1,0,50525,Collin Morikawa,66.0,66,1
2022,2,0,48081,Xander Schauffele,66.5,133,2
2022,3,0,22405,Justin Rose,67.4,337,5
2022,4,0,32839,Hideki Matsuyama,67.5,135,2
2022,5,0,45526,Abraham Ancer,68.0,204,3
2022,5,0,46717,Viktor Hovland,68.0,68,1
2022,5,0,46970,Jon Rahm,68.0,272,4
2022,8,0,39971,Sungjae Im,68.11,613,9
2022,9,0,35450,Patrick Cantlay,68.25,273,4
2022,10,0,35461,Beau Hossler,68.4,684,10
2022,11,0,34610,Matthias Schwab,68.53,1028,15
2022,12,0,28089,Jason Day,68.63,549,8
2022,13,0,34256,Andrew Putnam,68.73,756,11
2022,14,0,37189,Harold Varner III,68.75,275,4
2022,15,0,40250,Taylor Pendrith,68.86,964,14
2022,16,0,36801,Mark Hubbard,68.87,1033,15
2022,17,0,39324,J.J. Spaun,68.88,1171,17
2022,18,0,40162,Justin Lower,68.92,896,13
2022,19,0,29420,Billy Horschel,69.0,138,2
2022,19,0,32816,Satoshi Kodaira,69.0,483,7
2022,19,0,28237,Rory McIlroy,69.0,207,3
2022,19,0,36871,Matthew NeSmith,69.0,1104,16
2022,19,0,45486,Joaquin Niemann,69.0,276,4
2022,19,0,34360,Patrick Reed,69.0,345,5
2022,19,0,29221,Webb Simpson,69.0,276,4
2022,26,0,46046,Scottie Scheffler,69.11,622,9
2022,27,0,25198,Francesco Molinari,69.13,553,8
2022,28,0,57366,Cameron Young,69.17,415,6
2022,29,0,51766,Wyndham Clark,69.21,969,14
2022,30,0,33597,Harry Higgs,69.27,762,11
2022,30,0,49964,Aaron Wise,69.27,762,11
2022,32,0,51894,Vince Whaley,69.35,1179,17
2022,33,0,36799,Stephan Jaeger,69.38,1110,16
2022,34,0,27064,Jhonattan Vegas,69.4,694,10
2022,35,0,32640,Troy Merritt,69.43,972,14
2022,36,0,46414,Aaron Rai,69.44,1111,16
2022,37,0,48699,Callum Tarren,69.45,764,11
2022,38,0,34098,Russell Henley,69.5,556,8
2022,39,0,25818,Scott Piercy,69.62,905,13
2022,40,0,30911,Tommy Fleetwood,69.67,418,6
2022,40,0,23621,Rory Sabbatini,69.67,627,9
2022,42,0,24924,Bill Haas,69.75,1116,16
2022,43,0,29535,Brice Garnett,69.76,1186,17
2022,43,0,36326,David Lipsky,69.76,1186,17
2022,45,0,39546,Keith Mitchell,69.77,907,13
2022,46,0,46402,Talor Gooch,69.78,628,9
2022,46,0,29518,Brendan Steele,69.78,628,9
2022,48,0,45157,Cam Davis,69.81,1117,16
2022,49,0,27770,Camilo Villegas,69.88,559,8
2022,50,0,47993,Denny McCarthy,69.89,1328,19
2022,51,0,39997,Corey Conners,69.91,769,11
2022,52,0,31420,Anirban Lahiri,69.92,909,13
2022,52,0,51634,Sahith Theegala,69.92,909,13
2022,54,0,27644,Brian Harman,69.93,979,14
2022,55,0,34264,Hudson Swafford,69.94,1119,16
2022,56,0,32791,K.H. Lee,69.95,1329,19
2022,56,0,40115,Adam Svensson,69.95,1469,21
2022,58,0,29725,Tony Finau,70.0,350,5
2022,58,0,34046,Jordan Spieth,70.0,70,1
2022,58,0,30927,Brendon Todd,70.0,1330,19
2022,58,0,31323,Gary Woodland,70.0,490,7
2022,58,0,47483,Will Zalatoris,70.0,560,8
2022,63,0,52374,Brandon Wu,70.12,1192,17
2022,64,0,45522,Christiaan Bezuidenhout,70.14,982,14
2022,65,0,30163,Henrik Norlander,70.18,772,11
2022,66,0,35879,Kelly Kraft,70.2,1053,15
2022,66,0,47529,Mito Pereira,70.2,702,10
2022,66,0,32139,Danny Willett,70.2,702,10
2022,69,0,45609,Tyler Duncan,70.24,1756,25
2022,70,0,30692,Scott Stallings,70.25,1124,16
2022,71,0,34076,Joel Dahmen,70.27,1054,15
2022,71,0,46340,Alex Smalley,70.27,773,11
2022,73,0,37275,Sam Ryder,70.29,984,14
2022,74,0,20229,Stewart Cink,70.33,633,9
2022,74,0,33399,Adam Hadwin,70.33,844,12
2022,76,0,54628,Lee Hodges,70.35,1407,20
2022,77,0,46435,Austin Cook,70.36,985,14
2022,77,0,33419,Cameron Tringale,70.36,985,14
2022,79,0,33141,Keegan Bradley,70.38,563,8
2022,79,0,30944,Jason Kokrak,70.38,563,8
2022,81,0,49960,Sepp Straka,70.43,1479,21
2022,82,0,32448,James Hahn,70.44,1268,18
2022,83,0,46442,Maverick McNealy,70.46,916,13
2022,83,0,47995,Davis Riley,70.46,916,13
2022,85,0,47504,Sam Burns,70.5,141,2
2022,85,0,23108,Matt Kuchar,70.5,705,10
2022,85,0,28775,Nate Lashley,70.5,987,14
2022,85,0,33204,Shane Lowry,70.5,282,4
2022,85,0,23325,Vaughn Taylor,70.5,564,8
2022,90,0,27139,David Skinns,70.56,1129,16
2022,91,0,34174,John Huh,70.58,847,12
2022,92,0,35506,Mackenzie Hughes,70.6,706,10
2022,92,0,26300,Matt Jones,70.6,1059,15
2022,92,0,49766,Hank Lebioda,70.6,1059,15
2022,92,0,36699,Patrick Rodgers,70.6,1059,15
2022,96,0,35310,Lanto Griffin,70.61,1271,18
2022,97,0,48822,Sebastián Muñoz,70.62,918,13
2022,98,0,32662,Michael Gligic,70.67,1060,15
2022,99,0,29908,C.T. Pan,70.68,1555,22
2022,99,0,31560,Brian Stuard,70.68,1555,22
2022,101,0,47983,Chad Ramey,70.69,1131,16
2022,102,0,51997,Andrew Novak,70.7,1414,20
2022,102,0,35617,Martin Trainer,70.7,1414,20
2022,104,0,24925,Jonathan Byrd,70.73,1061,15
2022,104,0,21961,Charles Howell III,70.73,778,11
2022,106,0,24980,Scott Gutschewski,70.75,849,12
2022,106,0,31557,Jim Herman,70.75,849,12
2022,106,0,30926,Chris Kirk,70.75,849,12
2022,106,0,39953,Chase Seiffert,70.75,849,12
2022,110,0,52375,Doug Ghim,70.76,1203,17
2022,111,0,36852,Jim Knous,70.77,920,13
2022,111,0,28252,Seamus Power,70.77,920,13
2022,113,0,55708,Hayden Buckley,70.78,1274,18
2022,114,0,35532,Tom Hoge,70.8,708,10
2022,115,0,27129,Luke List,70.83,850,12
2022,115,0,35449,Adam Long,70.83,1629,23
2022,117,0,34466,Peter Malnati,70.84,1771,25
2022,118,0,26851,Marc Leishman,70.89,638,9
2022,119,0,33486,Roger Sloan,70.93,993,14
2022,120,0,48084,Wesley Bryan,71.0,852,12
2022,120,0,35110,Brett Drewitt,71.0,852,12
2022,120,0,34363,Tyrrell Hatton,71.0,355,5
2022,120,0,27974,Sung Kang,71.0,1562,22
2022,120,0,50095,Austin Smotherman,71.0,1207,17
2022,120,0,27214,Kevin Streelman,71.0,1207,17
2022,126,0,34255,Joseph Bramlett,71.05,1350,19
2022,127,0,28114,Dawie van der Walt,71.07,1066,15
2022,128,0,30978,Kiradech Aphibarnrat,71.08,924,13
2022,128,0,25900,Lucas Glover,71.08,853,12
2022,128,0,31646,Emiliano Grillo,71.08,924,13
2022,128,0,51890,Greyson Sigg,71.08,924,13
2022,128,0,45540,Jared Wolfe,71.08,924,13
2022,133,0,29970,Dylan Frittelli,71.09,1564,22
2022,134,0,33122,Russell Knox,71.11,1280,18
2022,134,0,27095,Nick Watney,71.11,1280,18
2022,136,0,46601,Trey Mullinax,71.12,1209,17
2022,137,0,32757,Patton Kizzire,71.14,1494,21
2022,138,0,49771,J.T. Poston,71.15,925,13
2022,139,0,37455,Si Woo Kim,71.17,854,12
