YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2016,0,30944,Jason Kokrak,+.250
2016,0,35451,Scott Pinckney,+.250
2016,0,25493,Nick Taylor,+.250
2016,0,26300,Matt Jones,+.256
2016,0,27466,Spencer Levin,+.256
2016,0,35532,Tom Hoge,+.257
2016,0,32640,Troy Merritt,+.260
2016,0,25900,Lucas Glover,+.263
2016,0,33410,Andrew Landry,+.263
2016,0,25572,Graeme McDowell,+.265
2016,0,36801,Mark Hubbard,+.269
2016,0,26289,Boo Weekley,+.269
2016,0,24507,Jason Bohn,+.270
2016,0,32876,Martin Piller,+.273
2016,0,27942,Rob Oppenheim,+.275
2016,0,27895,Jonas Blixt,+.279
2016,0,20645,John Senden,+.281
2016,0,29476,Kyle Reifers,+.283
2016,0,23108,Matt Kuchar,+.286
2016,0,25818,Scott Piercy,+.286
2016,0,29223,Sam Saunders,+.289
2016,0,34261,Scott Langley,+.292
2016,0,33122,Russell Knox,+.294
2016,0,25198,Francesco Molinari,+.294
2016,0,35879,Kelly Kraft,+.296
2016,0,32839,Hideki Matsuyama,+.297
2016,0,35545,Blayne Barber,+.304
2016,0,26951,Johnson Wagner,+.311
2016,0,34466,Peter Malnati,+.314
2016,0,31646,Emiliano Grillo,+.317
2016,0,1810,Phil Mickelson,+.317
2016,0,27747,Hiroshi Iwata,+.318
2016,0,27064,Jhonattan Vegas,+.319
2016,0,29974,Branden Grace,+.324
2016,0,26596,Ryan Moore,+.326
2016,0,25834,Daniel Summerhays,+.328
2016,0,45526,Abraham Ancer,+.333
2016,0,20472,Alex Cejka,+.333
2016,0,24358,Robert Garrigus,+.333
2016,0,32448,James Hahn,+.333
2016,0,30711,Colt Knost,+.333
2016,0,31560,Brian Stuard,+.333
2016,0,31202,William McGirt,+.339
2016,0,29745,Tyler Aldridge,+.341
2016,0,10885,Robert Allenby,+.343
2016,0,29518,Brendan Steele,+.343
2016,0,28679,Fabián Gómez,+.349
2016,0,33413,Ben Martin,+.352
2016,0,34262,Jon Curran,+.365
2016,0,27770,Camilo Villegas,+.368
2016,0,36699,Patrick Rodgers,+.385
2016,0,24494,Erik Compton,+.387
2016,0,24781,Hunter Mahan,+.393
