YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
2024,52,0,51349,Nico Echavarria,140,Farmers,2,14
2024,53,0,31202,William McGirt,135,ISCO Championship,2,17
2024,54,0,56630,Akshay Bhatia,134,Houston Open,1,5
2024,55,0,50525,Collin Morikawa,133,the Memorial,1,2
2024,56,0,29289,S.Y. Noh,133,ISCO Championship,2,18
2024,57,0,30163,Henrik Norlander,133,John Deere,1,6
2024,58,0,36884,Ben Kohles,130,Black Desert,1,17
2024,59,0,40058,Zac Blair,129,Wyndham,3,17
2024,59,0,56987,Jeong Weon Ko,129,ISCO Championship,1,7
2024,61,0,66743,Luke Clanton,129,Wyndham,3,13
2024,62,0,27936,Martin Laird,128,THE CJ CUP,3,3
2024,63,0,47983,Chad Ramey,127,Shriners Children's Open,4,11
2024,64,0,45157,Cam Davis,125,RBC Heritage,4,1
2024,65,0,29936,Ryan Fox,124,THE PLAYERS,1,17
2024,66,0,28089,Jason Day,124,AT&T Pebble Beach,3,11
2024,67,0,37455,Si Woo Kim,123,Genesis,3,8
2024,68,0,29725,Tony Finau,121,the Memorial,2,11
2024,69,0,48867,Matti Schmid,121,Procore,2,16
2024,70,0,56149,Wilson Furr,120,Houston Open,1,5
2024,71,0,47591,Eric Cole,120,Valspar,3,14
2024,72,0,33653,Thomas Detry,119,Genesis Scottish Open,1,4
2024,73,0,40250,Taylor Pendrith,118,FedEx St. Jude,4,1
2024,74,0,52514,Trace Crowe,115,Houston Open,1,10
2024,75,0,26596,Ryan Moore,113,Cognizant Classic,1,13
2024,76,0,29970,Dylan Frittelli,112,John Deere,4,6
2024,77,0,33399,Adam Hadwin,111,PGA Championship,4,13
2024,78,0,46464,Jordan Smith,111,PGA Championship,4,13
2024,79,0,55454,Carl Yuan,111,RBC Canadian,1,1
2024,80,0,34076,Joel Dahmen,110,The RSM Classic,4,13
2024,81,0,60004,Jacob Bridgeman,110,Rocket Mortgage,3,8
2024,82,0,52374,Brandon Wu,109,AT&T Pebble Beach,3,11
2024,83,0,23320,Ryan Palmer,109,Procore,1,5
2024,84,0,24980,Scott Gutschewski,108,Valero,2,14
2024,85,0,59440,Ricky Castillo,106,Valspar,2,9
2024,86,0,39327,Ben Silverman,103,Cognizant Classic,4,3
2024,87,0,63807,Neal Shipley,102,Rocket Mortgage,1,1
2024,88,0,31646,Emiliano Grillo,102,PGA Championship,2,13
2024,89,0,50497,Adrien Dumont de Chassart,101,Valero,1,11
2024,90,0,32757,Patton Kizzire,101,Myrtle Beach,4,1
2024,91,0,47079,Harrison Endycott,100,THE CJ CUP,4,9
2024,92,0,37378,Min Woo Lee,98,Cognizant Classic,1,13
2024,93,0,50188,S.H. Kim,94,Shriners Children's Open,4,6
2024,94,0,35310,Lanto Griffin,93,Valero,1,2
2024,95,0,59143,Mac Meissner,93,Rocket Mortgage,2,4
2024,96,0,51977,Max Greyserman,91,Wyndham,4,13
2024,97,0,58989,Brandon Berry,90,Myrtle Beach,1,4
2024,98,0,34021,Bud Cauley,88,Shriners Children's Open,1,6
2024,99,0,36801,Mark Hubbard,87,Charles Schwab,3,9
2024,100,0,28259,Sangmoon Bae,83,Procore,3,13
2024,101,0,24024,Zach Johnson,82,Rocket Mortgage,4,14
2024,102,0,54783,Dylan Wu,81,Mexico Open,4,6
2024,103,0,51287,Ryo Hisatsune,80,RBC Canadian,1,10
2024,104,0,66190,Steve Bogdanoff,80,Wyndham,2,10
2024,105,0,33486,Roger Sloan,79,Rocket Mortgage,1,14
2024,106,0,46340,Alex Smalley,78,Sanderson Farms,4,2
2024,107,0,46442,Maverick McNealy,78,WM Phoenix Open,1,13
2024,108,0,34360,Patrick Reed,77,PGA Championship,3,18
2024,109,0,22371,Aaron Baddeley,76,Black Desert,2,18
2024,110,0,46717,Viktor Hovland,76,PGA Championship,2,4
2024,111,0,40115,Adam Svensson,75,AT&T Pebble Beach,3,14
2024,112,0,55893,Sam Stevens,73,The RSM Classic,3,16
2024,113,0,32448,James Hahn,71,Houston Open,3,16
2024,114,0,55789,Taylor Montgomery,70,Farmers,3,15
2024,115,0,48119,Ben Taylor,67,ISCO Championship,1,1
2024,116,0,59836,Pierceson Coody,66,Wyndham,2,6
2024,117,0,55460,Sam Choi,59,Procore,2,15
2024,118,0,58168,Davis Thompson,57,Rocket Mortgage,1,7
2024,119,0,37250,Romain Langasque,56,Genesis Scottish Open,1,3
2024,120,0,28252,Seamus Power,55,Travelers,3,7
2024,121,0,50484,Hayden Springer,55,John Deere,1,17
2024,122,0,27139,David Skinns,54,THE CJ CUP,2,6
2024,123,0,47959,Bryson DeChambeau,51,PGA Championship,1,7
2024,124,0,35891,Cameron Smith,45,PGA Championship,3,7
2024,125,0,29535,Brice Garnett,44,Sanderson Farms,4,14
2024,126,0,35879,Kelly Kraft,43,Black Desert,1,6
2024,127,0,37278,Nicholas Lindheim,43,Valspar,2,16
2024,128,0,47888,Taiga Semikawa,42,THE CJ CUP,4,6
2024,129,0,60767,Blaine Hale Jr.,42,Mexico Open,2,12
2024,129,0,51634,Sahith Theegala,42,Genesis Scottish Open,1,5
2024,131,0,47663,Kevin Dougherty,41,Procore,1,8
2024,132,0,57362,Austin Eckroat,39,Mexico Open,4,7
2024,133,0,51894,Vince Whaley,39,Valspar,3,1
2024,134,0,30927,Brendon Todd,37,Procore,2,6
2024,135,0,49947,Taylor Moore,36,ZOZO CHAMPIONSHIP,1,18
2024,136,0,34098,Russell Henley,36,TOUR Championship,4,18
2024,137,0,56762,Will Gordon,35,The RSM Classic,3,1
2024,138,0,27214,Kevin Streelman,35,Cognizant Classic,2,18
2024,139,0,34374,Erik Barnes,35,Farmers,3,14
2024,140,0,52096,Adri Arnaus,34,Genesis Scottish Open,1,16
2024,141,0,40098,Matt Fitzpatrick,34,Genesis Scottish Open,3,3
2024,142,0,54628,Lee Hodges,34,John Deere,4,13
2024,143,0,47347,Adam Schenk,34,Shriners Children's Open,1,16
2024,144,0,33413,Ben Martin,33,Valero,2,4
2024,145,0,34563,Chesson Hadley,33,John Deere,1,6
2024,146,0,57900,Chandler Phillips,32,Houston Open,3,11
2024,147,0,34363,Tyrrell Hatton,32,Sentry,2,18
2024,148,0,40162,Justin Lower,32,Wyndham,1,15
2024,149,0,56555,Myles Creighton,32,RBC Canadian,4,2
2024,150,0,35461,Beau Hossler,32,ZOZO CHAMPIONSHIP,3,5
2024,151,0,29221,Webb Simpson,31,RBC Heritage,2,9
2024,152,0,47504,Sam Burns,31,the Memorial,3,5
2024,152,0,46879,Naoyuki Kataoka,31,ZOZO CHAMPIONSHIP,3,17
2024,152,0,46035,Callum Shinkwin,31,Genesis Scottish Open,2,5
2024,155,0,27974,Sung Kang,31,THE CJ CUP,3,14
2024,156,0,37212,Paul Barjon,31,Black Desert,2,3
2024,157,0,52375,Doug Ghim,31,Houston Open,2,6
2024,158,0,35617,Martin Trainer,30,Sony Open,2,14
2024,159,0,52666,Sami Valimaki,30,Genesis Scottish Open,2,16
2024,160,0,48117,Kurt Kitayama,30,RBC Heritage,3,5
2024,161,0,59409,Ashton McCulloch,29,U.S. Open,1,5
2024,162,0,33448,Justin Thomas,29,PGA Championship,3,14
2024,163,0,29478,Kevin Kisner,29,ISCO Championship,2,8
2024,164,0,22405,Justin Rose,29,THE PLAYERS,1,1
2024,165,0,57364,Michael Thorbjornsen,29,Sanderson Farms,1,10
2024,166,0,52513,Carson Young,29,Rocket Mortgage,2,12
2024,167,0,59141,Matt McCarty,29,Black Desert,3,7
2024,168,0,45609,Tyler Duncan,28,Sony Open,4,18
2024,169,0,52686,Rasmus Hojgaard,28,Genesis Scottish Open,1,10
2024,169,0,27141,J.B. Holmes,28,Procore,4,5
2024,171,0,33974,Dean Burmester,28,PGA Championship,1,11
2024,172,0,6527,Steve Stricker,28,THE PLAYERS,2,2
2024,173,0,24502,Adam Scott,27,U.S. Open,1,4
2024,174,0,51890,Greyson Sigg,27,Procore,2,18
2024,175,0,48081,Xander Schauffele,27,RBC Heritage,2,9
2024,176,0,27349,Alex Noren,27,FedEx St. Jude,3,2
2024,177,0,55182,Tom Kim,27,the Memorial,2,10
2024,178,0,27649,Brandt Snedeker,27,THE CJ CUP,2,16
2024,179,0,54788,Chandler Blanchet,26,Black Desert,1,1
2024,180,0,57975,Harry Hall,26,Myrtle Beach,2,15
2024,181,0,49303,Anders Albertson,26,Myrtle Beach,3,8
2024,181,0,39971,Sungjae Im,26,Genesis Scottish Open,1,2
2024,183,0,59283,George Kneiser,26,Wyndham,2,4
2024,184,0,33408,Tyson Alexander,25,Shriners Children's Open,1,13
2024,184,0,59497,Jake Lane,25,RBC Canadian,1,15
2024,186,0,28420,Ryan Brehm,25,Myrtle Beach,1,12
2024,186,0,20229,Stewart Cink,25,Wyndham,1,6
2024,188,0,30957,Max Kieffer,25,Genesis Scottish Open,3,9
2024,189,0,32333,Kevin Tway,25,Wells Fargo,4,16
2024,190,0,52955,Ludvig Åberg,25,Travelers,2,4
2024,191,0,39262,Alvaro Ortiz,25,Mexico Open,1,18
2024,192,0,51734,Nicolo Galletti,25,Shriners Children's Open,2,3
2024,193,0,47679,Victor Perez,24,the Memorial,2,17
2024,194,0,12716,Charley Hoffman,24,Farmers,1,7
2024,194,0,51600,Jimmy Stanger,24,Mexico Open,4,6
2024,196,0,46113,Ryan McCormick,24,Myrtle Beach,2,10
2024,197,0,47102,David Micheluzzi,24,ISCO Championship,2,10
2024,198,0,34256,Andrew Putnam,23,Genesis Scottish Open,1,17
2024,199,0,40006,Erik van Rooyen,23,Mexico Open,1,12
2024,200,0,48632,Yuto Katsuragawa,23,ZOZO CHAMPIONSHIP,3,5
2024,201,0,54576,Patrick Fishburn,23,Rocket Mortgage,1,14
2024,202,0,48153,Matthieu Pavon,23,PGA Championship,1,6
2024,203,0,33199,Matteo Manassero,22,U.S. Open,2,6
2024,203,0,46628,Jeremy Wells,22,PGA Championship,2,17
2024,205,0,60895,Kris Kim,22,THE CJ CUP,1,9
2024,206,0,28237,Rory McIlroy,22,U.S. Open,1,5
2024,206,0,36699,Patrick Rodgers,22,Travelers,2,4
2024,206,0,30692,Scott Stallings,22,WM Phoenix Open,1,3
2024,209,0,65880,Gunnar Broin,22,U.S. Open,2,8
2024,210,0,55074,Sebastian Friedrichsen,22,ISCO Championship,1,15
2024,211,0,46435,Austin Cook,22,Valspar,2,1
2024,212,0,49771,J.T. Poston,22,RBC Heritage,1,4
2024,213,0,27644,Brian Harman,22,WM Phoenix Open,1,1
2024,214,0,34431,Robert Streb,22,3M Open,1,11
2024,215,0,25818,Scott Piercy,22,Shriners Children's Open,1,15
2024,216,0,48052,Max Rottluff,21,ISCO Championship,4,6
2024,217,0,66290,Miles Russell,21,Rocket Mortgage,2,11
2024,218,0,51735,Evan Bowser,21,PGA Championship,1,14
2024,219,0,34099,Harris English,21,Shriners Children's Open,4,16
2024,220,0,55509,Hurly Long,21,Genesis Scottish Open,1,9
2024,221,0,36824,Paul Peterson,21,The RSM Classic,1,3
2024,222,0,59095,Chris Gotterup,21,Rocket Mortgage,3,4
2024,223,0,55623,Kaito Onishi,21,ZOZO CHAMPIONSHIP,3,17
2024,224,0,28114,Dawie van der Walt,21,Houston Open,2,8
2024,225,0,33968,Thorbjørn Olesen,20,Valero,3,6
2024,226,0,48640,Johannes Veerman,20,ISCO Championship,3,8
2024,227,0,35449,Adam Long,20,Houston Open,1,1
2024,228,0,58551,Marc-Olivier Plasse,20,RBC Canadian,1,11
2024,229,0,33141,Keegan Bradley,20,Charles Schwab,4,3
2024,229,0,30911,Tommy Fleetwood,20,Wells Fargo,3,1
2024,231,0,48699,Callum Tarren,20,Black Desert,2,10
2024,232,0,49590,Frankie Capan III,19,U.S. Open,3,16
2024,232,0,52215,Robert MacIntyre,19,FedEx St. Jude,1,17
2024,234,0,51997,Andrew Novak,19,ZOZO CHAMPIONSHIP,2,11
2024,235,0,36871,Matt NeSmith,19,Charles Schwab,2,8
2024,236,0,35450,Patrick Cantlay,19,TOUR Championship,3,13
2024,237,0,47420,Jake Knapp,19,The RSM Classic,3,6
2024,238,0,45242,Kevin Yu,19,RBC Canadian,4,1
2024,239,0,51070,Vincent Norrman,18,RBC Canadian,1,12
2024,240,0,39324,J.J. Spaun,18,THE PLAYERS,1,14
2024,241,0,49036,Lorenzo Scalise,18,ISCO Championship,1,15
2024,242,0,47128,Richy Werenski,18,THE CJ CUP,2,4
2024,243,0,35532,Tom Hoge,18,FedEx St. Jude,4,16
2024,244,0,50493,Justin Suh,18,Cognizant Classic,1,5
2024,245,0,47995,Davis Riley,18,Travelers,3,4
2024,246,0,36689,Brooks Koepka,18,U.S. Open,3,7
2024,246,0,52411,Kyle Westmoreland,18,John Deere,4,7
2024,248,0,48319,Tom Whitney,17,The RSM Classic,2,10
2024,249,0,59442,Parker Coody,17,John Deere,2,1
2024,250,0,25349,Tim Wilkinson,17,The RSM Classic,2,5
2024,251,0,52444,Filippo Celli,17,ISCO Championship,1,7
2024,252,0,51989,Jordan Gumberg,17,Myrtle Beach,1,17
2024,253,0,29425,Andrew Svoboda,17,U.S. Open,2,5
2024,254,0,26499,Rafa Cabrera Bello,17,ISCO Championship,1,14
2024,255,0,56297,John Somers,17,PGA Championship,2,12
2024,256,0,31242,Marcel Schneider,17,ISCO Championship,2,8
2024,257,0,39058,Lucas Herbert,17,PGA Championship,1,16
2024,258,0,33410,Andrew Landry,17,John Deere,1,15
2024,259,0,36799,Stephan Jaeger,16,Black Desert,2,16
2024,260,0,34213,Grayson Murray,16,WM Phoenix Open,1,4
2024,261,0,36852,Jim Knous,16,WM Phoenix Open,4,14
2024,262,0,50521,Hunter Larson,16,Sony Open,1,8
2024,263,0,59652,Sam Bennett,16,Houston Open,2,11
2024,263,0,46601,Trey Mullinax,16,Sanderson Farms,1,18
2024,265,0,52453,Nicolai Højgaard,15,Genesis,4,4
2024,266,0,55420,Cooper Musselman,15,Wyndham,2,7
2024,267,0,60328,Cam Kellett,15,RBC Canadian,1,3
2024,268,0,59567,Emilio Gonzalez,15,Houston Open,3,12
2024,268,0,64594,Angel Hidalgo Portillo,15,ISCO Championship,1,11
2024,270,0,37446,Jacques Kruyswijk,15,ISCO Championship,4,6
2024,271,0,59871,Greg Koch,15,Valspar,2,18
2024,272,0,54422,Christo Lamprecht,14,Shriners Children's Open,1,13
2024,273,0,33023,Ockie Strydom,14,Genesis Scottish Open,1,18
2024,274,0,24671,David Bradshaw,14,Black Desert,1,13
2024,275,0,27770,Camilo Villegas,14,Shriners Children's Open,4,4
2024,276,0,55707,Calum Hill,14,Genesis Scottish Open,1,6
2024,277,0,50095,Austin Smotherman,14,The RSM Classic,1,5
2024,278,0,54869,Chase Johnson,14,Genesis,1,14
2024,279,0,24140,Sean O'Hair,14,Myrtle Beach,3,18
2024,280,0,65994,Joe Sullivan,13,Valero,1,15
2024,281,0,32102,Rickie Fowler,13,Wells Fargo,3,7
2024,282,0,50006,Willie Mack III,13,U.S. Open,1,13
2024,283,0,32662,Michael Gligic,13,Cognizant Classic,2,2
2024,284,0,65547,Zac Jones,13,Black Desert,2,3
2024,285,0,54328,Norman Xiong,13,Valspar,4,4
2024,286,0,51911,Anthony Maccaglia,13,3M Open,2,8
2024,287,0,27330,Josh Teater,13,Farmers,1,7
2024,288,0,66417,Blades Brown,13,Myrtle Beach,1,8
2024,289,0,34310,Alexander Björk,12,Myrtle Beach,2,9
2024,289,0,39954,Cody Gribble,12,ISCO Championship,1,5
2024,291,0,51950,Max McGreevy,12,Black Desert,3,2
2024,292,0,33122,Russell Knox,12,ISCO Championship,2,12
2024,293,0,45486,Joaquin Niemann,12,PGA Championship,2,10
2024,294,0,32366,Kevin Chappell,12,THE CJ CUP,2,4
2024,295,0,33948,Byeong Hun An,12,THE PLAYERS,2,3
2024,295,0,36983,Matt Dobyns,12,PGA Championship,2,12
2024,297,0,48936,Ugo Coussaud,11,Genesis Scottish Open,1,6
2024,297,0,24924,Bill Haas,11,THE CJ CUP,2,12
2024,299,0,47125,Matt Atkins,11,Myrtle Beach,2,7
2024,300,0,66583,Taisei Shimizu,11,ZOZO CHAMPIONSHIP,3,3
2024,301,0,59077,Spencer Cross,11,ISCO Championship,3,17
2024,302,0,39067,MJ Daffue,11,3M Open,4,13
2024,303,0,59827,Tom Vaillant,10,ISCO Championship,4,7
2024,304,0,51766,Wyndham Clark,10,RBC Heritage,4,2
2024,305,0,47443,Junghwan Lee,10,Genesis Scottish Open,1,14
2024,306,0,27129,Luke List,10,RBC Canadian,1,7
2024,307,0,32618,Rhein Gibson,10,Houston Open,1,1
2024,308,0,35557,Aaron Cockerill,10,Genesis Scottish Open,1,6
2024,308,0,37157,Renato Paratore,10,ISCO Championship,1,5
2024,310,0,29268,Bronson Burgoon,9,Valero,4,13
2024,310,0,47056,Rikuya Hoshino,9,Genesis Scottish Open,2,14
2024,310,0,1547,Reed Hughes,9,Sanderson Farms,1,8
2024,313,0,54190,Richard Mansell,9,Genesis Scottish Open,4,7
2024,314,0,60369,Sam Bairstow,9,ISCO Championship,4,9
2024,315,0,55930,Fred Biondi,9,Valspar,4,9
2024,316,0,65310,Anders Larson,9,John Deere,1,5
2024,317,0,66630,Beck Burnette,9,Sanderson Farms,2,13
2024,318,0,27064,Jhonattan Vegas,8,RBC Canadian,2,16
2024,319,0,46270,Takashi Ogiso,8,ZOZO CHAMPIONSHIP,2,6
2024,320,0,46033,Daniel Gavins,8,Genesis Scottish Open,1,14
2024,321,0,51003,Marco Penge,8,ISCO Championship,2,11
2024,322,0,57586,Jesper Svensson,8,Genesis Scottish Open,1,14
2024,323,0,19803,Ryan Armour,8,Sanderson Farms,1,8
2024,324,0,54813,Philip Knowles,8,Black Desert,2,17
2024,325,0,35469,Sebastián Vázquez,8,Mexico Open,2,5
2024,326,0,52287,David Ravetto,8,ISCO Championship,2,11
2024,327,0,20766,Padraig Harrington,7,Cognizant Classic,2,7
2024,327,0,27095,Nick Watney,7,Myrtle Beach,1,1
2024,329,0,23621,Rory Sabbatini,7,Charles Schwab,1,13
2024,330,0,27747,Hiroshi Iwata,7,ZOZO CHAMPIONSHIP,2,13
2024,331,0,29939,Fabrizio Zanotti,7,ISCO Championship,3,14
2024,332,0,46970,Jon Rahm,7,PGA Championship,1,17
2024,333,0,39335,Kevin Roy,7,Valspar,1,6
2024,334,0,35709,Jeff Winther,6,Genesis Scottish Open,2,15
2024,335,0,57737,Jayden Schaper,6,ISCO Championship,2,8
2024,336,0,51661,Nick Bachem,6,Genesis Scottish Open,2,12
2024,337,0,12195,Tom Johnson,6,Procore,3,3
2024,338,0,25686,Jason Dufner,6,ISCO Championship,1,3
2024,339,0,29476,Kyle Reifers,6,ISCO Championship,2,15
2024,340,0,65410,John Marshall Butler,6,ISCO Championship,2,9
2024,341,0,64431,David Nyfjall,6,THE CJ CUP,2,13
2024,342,0,46404,Marcus Kinhult,6,ISCO Championship,2,12
2024,343,0,56353,Callum McNeill,5,Houston Open,1,17
2024,344,0,56625,Max Sear,5,RBC Canadian,1,3
2024,345,0,57330,Matthis Besard,5,ISCO Championship,4,4
2024,346,0,8793,Tiger Woods,5,Genesis,1,11
2024,347,0,25632,Jimmy Walker,5,PGA Championship,2,4
2024,348,0,39537,Chris Naegel,5,U.S. Open,2,15
2024,349,0,66701,Jackson Koivun,5,the Memorial,1,5
2024,349,0,40181,Clément Sordet,5,ISCO Championship,2,4
2024,351,0,29256,James Morrison,5,ISCO Championship,2,8
2024,352,0,24358,Robert Garrigus,5,Cognizant Classic,1,8
2024,353,0,34371,Adrien Saddier,4,ISCO Championship,4,9
2024,354,0,37275,Sam Ryder,4,ISCO Championship,4,4
2024,355,0,35490,Wil Bateman,4,RBC Canadian,2,14
2024,356,0,51680,Alistair Docherty,4,RBC Canadian,2,18
2024,357,0,23983,Luke Donald,4,Valspar,1,16
2024,358,0,55940,Andrew Wilson,4,ISCO Championship,3,8
2024,359,0,60065,Ryan Hall,3,Sanderson Farms,3,5
2023,1,0,54783,Dylan Wu,262,Rocket Mortgage,1,14
2023,2,0,47806,Raul Pereda,249,Mexico Open,2,16
2023,3,0,48081,Xander Schauffele,226,The American Express,4,5
2023,4,0,32102,Rickie Fowler,216,WM Phoenix Open,4,7
2023,5,0,28237,Rory McIlroy,214,Travelers,1,8
2023,6,0,54628,Lee Hodges,212,Houston Open,1,1
2023,7,0,34255,Joseph Bramlett,208,Genesis Scottish Open,1,1
2023,8,0,19803,Ryan Armour,204,Sony Open,1,17
2023,9,0,52411,Kyle Westmoreland,201,Farmers,1,16
2023,10,0,35450,Patrick Cantlay,200,RBC Heritage,2,7
2023,11,0,12716,Charley Hoffman,198,Wyndham,4,15
2023,12,0,36801,Mark Hubbard,198,Wells Fargo,2,17
2023,13,0,46046,Scottie Scheffler,196,U.S. Open,3,17
2023,14,0,28420,Ryan Brehm,196,Valspar,1,17
2023,15,0,33410,Andrew Landry,194,Honda,2,6
2023,16,0,47995,Davis Riley,193,FedEx St. Jude,3,17
2023,17,0,25686,Jason Dufner,193,WM Phoenix Open,3,8
2023,18,0,46717,Viktor Hovland,183,Arnold Palmer,2,7
2023,19,0,32333,Kevin Tway,182,Travelers,2,3
2023,20,0,39067,MJ Daffue,182,Sanderson Farms,1,4
2023,20,0,52374,Brandon Wu,182,Sanderson Farms,1,4
2023,22,0,51766,Wyndham Clark,181,THE CJ CUP,3,10
2023,23,0,49960,Sepp Straka,179,TOUR Championship,1,14
2023,23,0,49964,Aaron Wise,179,Honda,1,6
2023,25,0,51349,Nico Echavarria,179,The RSM Classic,3,6
2023,26,0,34076,Joel Dahmen,178,Shriners Children's Open,3,12
2023,27,0,40115,Adam Svensson,175,Sony Open,2,7
2023,28,0,45522,Christiaan Bezuidenhout,172,Rocket Mortgage,3,16
2023,29,0,23452,Nicolas Colsaerts,172,Genesis Scottish Open,2,14
2023,30,0,46464,Jordan Smith,171,U.S. Open,4,5
2023,31,0,34099,Harris English,170,Charles Schwab,2,8
2023,32,0,48887,Matt Wallace,168,Genesis Scottish Open,2,11
2023,33,0,51634,Sahith Theegala,167,BMW Championship,1,14
2023,34,0,29535,Brice Garnett,163,Valero,3,10
2023,35,0,46970,Jon Rahm,159,the Memorial,4,9
2023,36,0,48699,Callum Tarren,157,Wyndham,2,1
2023,37,0,47504,Sam Burns,157,FedEx St. Jude,3,11
2023,38,0,35532,Tom Hoge,154,Charles Schwab,1,7
2023,39,0,45157,Cam Davis,153,Genesis Scottish Open,2,13
2023,40,0,50493,Justin Suh,153,Honda,3,12
2023,41,0,22764,Michael Block,151,PGA Championship,4,15
2023,42,0,33399,Adam Hadwin,151,Shriners,3,14
2023,43,0,59095,Chris Gotterup,150,The RSM Classic,4,9
2023,44,0,55789,Taylor Montgomery,150,Houston Open,2,18
2023,45,0,40098,Matt Fitzpatrick,149,RBC Heritage,3,3
2023,46,0,49947,Taylor Moore,149,Wyndham,4,18
2023,47,0,32839,Hideki Matsuyama,147,Travelers,3,7
2023,48,0,48117,Kurt Kitayama,146,Genesis,1,5
2023,49,0,33448,Justin Thomas,146,THE PLAYERS,3,18
2023,50,0,25818,Scott Piercy,141,Sanderson Farms,3,12
2023,51,0,40006,Erik van Rooyen,141,Mexico Open,1,15
2023,52,0,24140,Sean O'Hair,140,The RSM Classic,2,10
2023,53,0,39977,Max Homa,140,Rocket Mortgage,4,15
2023,54,0,29725,Tony Finau,138,Farmers,3,1
2023,55,0,25900,Lucas Glover,138,Barbasol,1,12
2023,56,0,31577,Tano Goya,138,Shriners,4,18
2023,57,0,47347,Adam Schenk,137,TOUR Championship,4,3
2023,58,0,27556,Ted Potter Jr.,137,RBC Canadian,3,8
2023,59,0,31323,Gary Woodland,137,3M Open,1,5
2023,60,0,47102,David Micheluzzi,135,AT&T Byron Nelson,1,3
2023,61,0,46340,Alex Smalley,133,THE PLAYERS,4,17
2023,62,0,31202,William McGirt,133,RBC Canadian,2,10
2023,63,0,55708,Hayden Buckley,133,Sony Open,3,10
2023,64,0,22371,Aaron Baddeley,130,Sony Open,1,2
2023,65,0,52453,Nicolai Hojgaard,128,Rocket Mortgage,1,18
2023,66,0,30692,Scott Stallings,128,RBC Heritage,2,12
2023,67,0,51070,Vincent Norrman,128,Barbasol,1,17
2023,68,0,35461,Beau Hossler,127,FedEx St. Jude,3,1
2023,69,0,37275,Sam Ryder,126,the Memorial,4,14
