YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,0,46442,Maverick McNealy,57.95%,51,88
2024,0,50484,Hayden Springer,57.89%,33,57
2024,0,30927,Brendon Todd,57.73%,56,97
2024,0,29221,Webb Simpson,57.69%,45,78
2024,0,52955,Ludvig Åberg,57.63%,34,59
2024,0,32757,Patton Kizzire,57.63%,34,59
2024,0,48867,Matti Schmid,57.63%,34,59
2024,0,47504,Sam Burns,57.33%,43,75
2024,0,34256,Andrew Putnam,57.29%,55,96
2024,0,32791,K.H. Lee,57.14%,48,84
2024,0,35506,Mackenzie Hughes,57.00%,57,100
2024,0,33486,Roger Sloan,56.92%,37,65
2024,0,24024,Zach Johnson,56.86%,29,51
2024,0,34466,Peter Malnati,56.84%,54,95
2024,0,52453,Nicolai Højgaard,56.82%,25,44
2024,0,32366,Kevin Chappell,56.76%,21,37
2024,0,52374,Brandon Wu,56.76%,42,74
2024,0,39975,Michael Kim,56.72%,38,67
2024,0,57975,Harry Hall,56.58%,43,76
2024,0,34587,Chan Kim,56.58%,43,76
2024,0,51894,Vince Whaley,56.58%,43,76
2024,0,47347,Adam Schenk,56.47%,48,85
2024,0,27644,Brian Harman,56.44%,57,101
2024,0,28252,Seamus Power,56.44%,57,101
2024,0,56149,Wilson Furr,56.41%,22,39
2024,0,33141,Keegan Bradley,56.10%,46,82
2024,0,23108,Matt Kuchar,56.10%,46,82
2024,0,36699,Patrick Rodgers,55.65%,64,115
2024,0,60004,Jacob Bridgeman,55.56%,45,81
2024,0,34563,Chesson Hadley,55.56%,30,54
2024,0,47995,Davis Riley,55.56%,40,72
2024,0,28089,Jason Day,55.41%,41,74
2024,0,25900,Lucas Glover,55.34%,57,103
2024,0,32102,Rickie Fowler,55.17%,48,87
2024,0,34255,Joseph Bramlett,55.13%,43,78
2024,0,47988,Nick Hardy,55.13%,43,78
2024,0,36871,Matt NeSmith,55.07%,38,69
2024,0,50493,Justin Suh,55.07%,38,69
2024,0,48117,Kurt Kitayama,54.93%,39,71
2024,0,25493,Nick Taylor,54.84%,51,93
2024,0,56630,Akshay Bhatia,54.76%,46,84
2024,0,28775,Nate Lashley,54.69%,35,64
2024,0,33204,Shane Lowry,54.69%,35,64
2024,0,58168,Davis Thompson,54.67%,41,75
2024,0,39971,Sungjae Im,54.64%,53,97
2024,0,37275,Sam Ryder,54.17%,39,72
2024,0,49947,Taylor Moore,54.13%,59,109
2024,0,45157,Cam Davis,54.08%,53,98
2024,0,51349,Nico Echavarria,53.85%,49,91
2024,0,57366,Cameron Young,53.75%,43,80
2024,0,30926,Chris Kirk,53.68%,51,95
2024,0,28237,Rory McIlroy,53.62%,37,69
2024,0,49771,J.T. Poston,53.61%,52,97
2024,0,54591,Ben Griffin,53.54%,53,99
2024,0,45609,Tyler Duncan,53.52%,38,71
2024,0,39546,Keith Mitchell,53.25%,41,77
2024,0,27214,Kevin Streelman,53.13%,34,64
2024,0,33448,Justin Thomas,53.13%,34,64
2024,0,57900,Chandler Phillips,53.09%,43,81
2024,0,33399,Adam Hadwin,52.87%,46,87
2024,0,39324,J.J. Spaun,52.78%,38,72
2024,0,47679,Victor Perez,52.38%,33,63
2024,0,33653,Thomas Detry,52.33%,45,86
2024,0,40006,Erik van Rooyen,52.31%,34,65
2024,0,35532,Tom Hoge,52.21%,59,113
2024,0,51977,Max Greyserman,52.17%,36,69
2024,0,32333,Kevin Tway,52.17%,24,46
2024,0,52513,Carson Young,52.17%,36,69
2024,0,37378,Min Woo Lee,52.11%,37,71
2024,0,33408,Tyson Alexander,51.81%,43,83
2024,0,40250,Taylor Pendrith,51.72%,45,87
2024,0,47983,Chad Ramey,51.72%,45,87
2024,0,47591,Eric Cole,51.61%,48,93
2024,0,40058,Zac Blair,51.55%,50,97
2024,0,55893,Sam Stevens,51.52%,34,66
2024,0,24502,Adam Scott,51.43%,36,70
2024,0,30163,Henrik Norlander,51.16%,22,43
2024,0,34374,Erik Barnes,51.06%,24,47
2024,0,29908,C.T. Pan,50.94%,27,53
2024,0,28420,Ryan Brehm,50.79%,32,63
2024,0,57362,Austin Eckroat,50.54%,47,93
2024,0,36801,Mark Hubbard,50.50%,51,101
2024,0,32070,Rafael Campos,50.00%,17,34
2024,0,34076,Joel Dahmen,50.00%,40,80
2024,0,12716,Charley Hoffman,50.00%,46,92
2024,0,40162,Justin Lower,50.00%,47,94
2024,0,27649,Brandt Snedeker,50.00%,37,74
2024,0,27330,Josh Teater,50.00%,21,42
2024,0,52666,Sami Valimaki,50.00%,29,58
2024,0,31646,Emiliano Grillo,49.35%,38,77
2024,0,29936,Ryan Fox,49.28%,34,69
2024,0,51287,Ryo Hisatsune,49.12%,28,57
2024,0,55182,Tom Kim,48.94%,46,94
2024,0,46046,Scottie Scheffler,48.94%,23,47
2024,0,51634,Sahith Theegala,48.78%,40,82
2024,0,29535,Brice Garnett,48.72%,19,39
2024,0,33968,Thorbjørn Olesen,48.57%,17,35
2024,0,59095,Chris Gotterup,48.48%,32,66
2024,0,54421,Garrick Higgo,48.44%,31,64
2024,0,48699,Callum Tarren,48.21%,27,56
2024,0,27139,David Skinns,48.10%,38,79
2024,0,60067,Joe Highsmith,48.00%,36,75
2024,0,55708,Hayden Buckley,47.89%,34,71
2024,0,27770,Camilo Villegas,47.76%,32,67
2024,0,36884,Ben Kohles,47.42%,46,97
2024,0,48153,Matthieu Pavon,47.17%,25,53
2024,0,29478,Kevin Kisner,46.97%,31,66
2024,0,29725,Tony Finau,46.77%,29,62
2024,0,48119,Ben Taylor,46.48%,33,71
2024,0,36799,Stephan Jaeger,46.34%,38,82
2024,0,51890,Greyson Sigg,46.34%,38,82
2024,0,34046,Jordan Spieth,46.34%,38,82
2024,0,51696,Rico Hoey,46.15%,30,65
2024,0,50095,Austin Smotherman,46.15%,18,39
2024,0,46340,Alex Smalley,46.03%,29,63
2024,0,38991,Alejandro Tosti,45.68%,37,81
2024,0,54576,Patrick Fishburn,45.65%,21,46
2024,0,27129,Luke List,45.21%,33,73
2024,0,59866,Nick Dunlap,45.00%,27,60
2024,0,59442,Parker Coody,44.83%,26,58
2024,0,32640,Troy Merritt,44.74%,34,76
2024,0,39997,Corey Conners,44.57%,41,92
2024,0,37212,Paul Barjon,44.23%,23,52
2024,0,31323,Gary Woodland,44.07%,26,59
2024,0,46113,Ryan McCormick,43.64%,24,55
2024,0,59836,Pierceson Coody,42.86%,27,63
2024,0,45242,Kevin Yu,42.86%,27,63
2024,0,52372,Cameron Champ,42.62%,26,61
2024,0,46717,Viktor Hovland,42.59%,23,54
2024,0,36326,David Lipsky,41.79%,28,67
2024,0,49960,Sepp Straka,41.03%,32,78
2024,0,32367,Jorge Campillo,40.91%,18,44
2024,0,50497,Adrien Dumont de Chassart,40.85%,29,71
2024,0,52514,Trace Crowe,40.35%,23,57
2024,0,40026,Daniel Berger,40.30%,27,67
2024,0,48319,Tom Whitney,39.71%,27,68
2024,0,26596,Ryan Moore,39.34%,24,61
2024,0,27064,Jhonattan Vegas,38.89%,21,54
2024,0,48084,Wesley Bryan,37.84%,14,37
2024,0,47663,Kevin Dougherty,37.29%,22,59
2024,0,60767,Blaine Hale Jr.,35.90%,14,39
2024,0,35310,Lanto Griffin,34.78%,24,69
2024,0,51070,Vincent Norrman,32.43%,12,37
2023,0,27974,Sung Kang,65.31%,32,49
2023,0,39977,Max Homa,64.94%,50,77
2023,0,27644,Brian Harman,64.84%,59,91
2023,0,58696,Peter Kuest,64.71%,22,34
2023,0,39971,Sungjae Im,64.58%,62,96
2023,0,32816,Satoshi Kodaira,64.41%,38,59
2023,0,46442,Maverick McNealy,64.10%,50,78
2023,0,34256,Andrew Putnam,63.87%,76,119
2023,0,23108,Matt Kuchar,63.64%,56,88
2023,0,48081,Xander Schauffele,63.10%,53,84
2023,0,39324,J.J. Spaun,62.92%,56,89
2023,0,30926,Chris Kirk,62.37%,58,93
2023,0,31202,William McGirt,62.07%,36,58
2023,0,45157,Cam Davis,61.70%,58,94
2023,0,22405,Justin Rose,61.67%,37,60
2023,0,33948,Byeong Hun An,61.32%,65,106
2023,0,31577,Tano Goya,61.11%,55,90
2023,0,45522,Christiaan Bezuidenhout,60.92%,53,87
2023,0,24140,Sean O'Hair,60.87%,42,69
2023,0,32139,Danny Willett,60.87%,42,69
2023,0,46441,Robby Shelton,60.82%,59,97
2023,0,25900,Lucas Glover,60.44%,55,91
2023,0,30927,Brendon Todd,60.34%,70,116
2023,0,46717,Viktor Hovland,60.32%,38,63
2023,0,54591,Ben Griffin,60.16%,74,123
2023,0,33653,Thomas Detry,60.00%,60,100
2023,0,50188,S.H. Kim,60.00%,75,125
2023,0,49771,J.T. Poston,59.77%,52,87
2023,0,39975,Michael Kim,59.76%,49,82
2023,0,27963,Chris Stroud,59.62%,31,52
2023,0,34046,Jordan Spieth,59.49%,47,79
2023,0,26596,Ryan Moore,59.34%,54,91
2023,0,51766,Wyndham Clark,58.75%,47,80
2023,0,55454,Carl Yuan,58.67%,44,75
2023,0,40162,Justin Lower,58.49%,62,106
2023,0,37455,Si Woo Kim,58.40%,73,125
2023,0,47591,Eric Cole,57.97%,80,138
2023,0,12716,Charley Hoffman,57.97%,40,69
2023,0,34563,Chesson Hadley,57.73%,56,97
2023,0,34255,Joseph Bramlett,57.69%,45,78
2023,0,28237,Rory McIlroy,57.69%,30,52
2023,0,34409,David Lingmerth,57.38%,70,122
2023,0,32102,Rickie Fowler,57.30%,51,89
2023,0,33410,Andrew Landry,57.30%,51,89
2023,0,56630,Akshay Bhatia,56.92%,37,65
2023,0,39546,Keith Mitchell,56.92%,37,65
2023,0,35310,Lanto Griffin,56.90%,33,58
2023,0,29908,C.T. Pan,56.82%,25,44
2023,0,33399,Adam Hadwin,56.76%,63,111
2023,0,49298,Kramer Hickok,56.63%,47,83
2023,0,32839,Hideki Matsuyama,56.63%,47,83
2023,0,40115,Adam Svensson,56.30%,67,119
2023,0,47504,Sam Burns,56.10%,46,82
2023,0,49947,Taylor Moore,56.00%,56,100
2023,0,29289,S.Y. Noh,55.93%,33,59
2023,0,46435,Austin Cook,55.81%,48,86
2023,0,34099,Harris English,55.79%,53,95
2023,0,35461,Beau Hossler,55.74%,68,122
2023,0,34363,Tyrrell Hatton,55.71%,39,70
2023,0,27349,Alex Noren,55.56%,50,90
2023,0,47993,Denny McCarthy,55.45%,61,110
2023,0,32791,K.H. Lee,55.32%,52,94
2023,0,30163,Henrik Norlander,55.29%,47,85
2023,0,40058,Zac Blair,55.14%,59,107
2023,0,34076,Joel Dahmen,55.05%,60,109
2023,0,34466,Peter Malnati,55.05%,60,109
2023,0,30911,Tommy Fleetwood,55.00%,44,80
2023,0,24502,Adam Scott,55.00%,33,60
2023,0,33408,Tyson Alexander,54.95%,61,111
2023,0,57362,Austin Eckroat,54.90%,56,102
2023,0,27936,Martin Laird,54.88%,45,82
2023,0,51950,Max McGreevy,54.78%,63,115
2023,0,58168,Davis Thompson,54.67%,41,75
2023,0,36801,Mark Hubbard,54.55%,66,121
2023,0,31560,Brian Stuard,54.55%,66,121
2023,0,40250,Taylor Pendrith,54.46%,55,101
2023,0,57975,Harry Hall,54.44%,49,90
2023,0,54783,Dylan Wu,54.44%,49,90
2023,0,27554,Scott Harrington,54.43%,43,79
2023,0,35901,Paul Haley II,54.39%,62,114
2023,0,27214,Kevin Streelman,54.39%,62,114
2023,0,35449,Adam Long,54.14%,72,133
2023,0,47347,Adam Schenk,54.14%,72,133
2023,0,36724,Augusto Núñez,54.02%,47,87
2023,0,39067,MJ Daffue,54.00%,54,100
2023,0,28089,Jason Day,53.85%,42,78
2023,0,52453,Nicolai Hojgaard,53.57%,15,28
2023,0,33204,Shane Lowry,53.57%,30,56
2023,0,51997,Andrew Novak,53.54%,53,99
2023,0,55789,Taylor Montgomery,53.51%,61,114
2023,0,55893,Sam Stevens,53.40%,55,103
2023,0,29725,Tony Finau,53.33%,32,60
2023,0,33141,Keegan Bradley,52.94%,36,68
2023,0,46340,Alex Smalley,52.88%,55,104
2023,0,54628,Lee Hodges,52.81%,47,89
2023,0,48117,Kurt Kitayama,52.78%,38,72
2023,0,36799,Stephan Jaeger,52.73%,58,110
2023,0,33413,Ben Martin,52.73%,58,110
2023,0,58967,Trevor Werbylo,52.73%,58,110
2023,0,47983,Chad Ramey,52.69%,49,93
2023,0,51890,Greyson Sigg,52.63%,50,95
2023,0,49766,Hank Lebioda,52.46%,32,61
2023,0,35506,Mackenzie Hughes,52.44%,43,82
2023,0,36699,Patrick Rodgers,52.43%,54,103
2023,0,48084,Wesley Bryan,52.00%,26,50
2023,0,25632,Jimmy Walker,52.00%,52,100
2023,0,46970,Jon Rahm,51.61%,32,62
2023,0,32640,Troy Merritt,51.55%,50,97
2023,0,40098,Matt Fitzpatrick,51.52%,34,66
2023,0,32757,Patton Kizzire,51.46%,53,103
2023,0,52513,Carson Young,51.43%,54,105
2023,0,53165,Doc Redman,51.32%,39,76
2023,0,47128,Richy Werenski,51.28%,60,117
2023,0,51634,Sahith Theegala,51.19%,43,84
2023,0,48887,Matt Wallace,51.02%,50,98
2023,0,25493,Nick Taylor,50.98%,52,102
2023,0,39954,Cody Gribble,50.72%,35,69
2023,0,25686,Jason Dufner,50.70%,36,71
2023,0,30692,Scott Stallings,50.67%,38,75
2023,0,49453,Trevor Cone,50.63%,40,79
2023,0,50525,Collin Morikawa,50.63%,40,79
2023,0,23320,Ryan Palmer,50.60%,42,83
2023,0,55708,Hayden Buckley,50.57%,44,87
2023,0,47079,Harrison Endycott,50.00%,50,100
2023,0,36871,Matt NeSmith,50.00%,51,102
2023,0,22056,Cameron Percy,50.00%,31,62
2023,0,39335,Kevin Roy,50.00%,36,72
2023,0,37275,Sam Ryder,50.00%,61,122
2023,0,46046,Scottie Scheffler,50.00%,30,60
2023,0,25818,Scott Piercy,49.55%,55,111
2023,0,54421,Garrick Higgo,49.50%,50,101
2023,0,33597,Harry Higgs,49.48%,48,97
2023,0,22371,Aaron Baddeley,49.38%,40,81
2023,0,27095,Nick Watney,49.35%,38,77
2023,0,55182,Tom Kim,49.33%,37,75
2023,0,39997,Corey Conners,49.28%,34,69
2023,0,32366,Kevin Chappell,49.06%,26,53
2023,0,33122,Russell Knox,48.98%,48,98
2023,0,45609,Tyler Duncan,48.81%,41,84
2023,0,28775,Nate Lashley,48.51%,49,101
2023,0,24925,Jonathan Byrd,48.39%,30,62
2023,0,48699,Callum Tarren,48.39%,45,93
2023,0,47988,Nick Hardy,47.86%,56,117
2023,0,28420,Ryan Brehm,47.78%,43,90
2023,0,29535,Brice Garnett,47.67%,41,86
2023,0,19803,Ryan Armour,47.37%,45,95
2023,0,48867,Matti Schmid,47.37%,36,76
2023,0,29221,Webb Simpson,47.37%,27,57
2023,0,50095,Austin Smotherman,47.27%,52,110
2023,0,32333,Kevin Tway,46.99%,39,83
2023,0,48119,Ben Taylor,46.90%,53,113
2023,0,56762,Will Gordon,46.81%,44,94
2023,0,35879,Kelly Kraft,46.81%,44,94
2023,0,52375,Doug Ghim,46.77%,29,62
2023,0,39058,Lucas Herbert,46.75%,36,77
2023,0,52955,Ludvig Åberg,46.67%,14,30
2023,0,34610,Matthias Schwab,46.67%,56,120
2023,0,34431,Robert Streb,46.60%,48,103
2023,0,50493,Justin Suh,46.51%,60,129
2023,0,51414,Brent Grant,46.38%,32,69
2023,0,28252,Seamus Power,46.15%,30,65
2023,0,36326,David Lipsky,45.90%,56,122
2023,0,51349,Nico Echavarria,45.88%,39,85
2023,0,46601,Trey Mullinax,45.83%,33,72
2023,0,26476,Chez Reavie,45.74%,43,94
2023,0,57366,Cameron Young,45.71%,32,70
2023,0,31646,Emiliano Grillo,45.45%,50,110
2023,0,35532,Tom Hoge,45.37%,49,108
2023,0,40006,Erik van Rooyen,45.31%,29,64
2023,0,34098,Russell Henley,45.21%,33,73
2023,0,29420,Billy Horschel,45.00%,27,60
2023,0,52411,Kyle Westmoreland,45.00%,36,80
2023,0,35450,Patrick Cantlay,44.29%,31,70
2023,0,33448,Justin Thomas,44.29%,31,70
2023,0,31323,Gary Woodland,43.75%,35,80
2023,0,24024,Zach Johnson,43.21%,35,81
2023,0,59018,Ryan Gerard,43.08%,28,65
2023,0,51070,Vincent Norrman,43.06%,31,72
2023,0,49960,Sepp Straka,42.86%,39,91
2023,0,52374,Brandon Wu,42.86%,36,84
2023,0,52372,Cameron Champ,42.47%,31,73
2023,0,46414,Aaron Rai,41.67%,40,96
2023,0,47995,Davis Riley,40.78%,42,103
2023,0,29970,Dylan Frittelli,40.40%,40,99
2023,0,35617,Martin Trainer,40.28%,29,72
2023,0,31557,Jim Herman,40.00%,34,85
2023,0,20229,Stewart Cink,39.47%,30,76
2023,0,32662,Michael Gligic,39.02%,32,82
2023,0,27129,Luke List,38.89%,35,90
2023,0,45242,Kevin Yu,38.60%,22,57
2023,0,37338,Zecheng Dou,37.84%,28,74
2023,0,32448,James Hahn,34.25%,25,73
2023,0,51491,Brandon Matthews,29.69%,19,64
2022,0,33204,Shane Lowry,71.15,37,52
2022,0,45522,Christiaan Bezuidenhout,68.49,50,73
2022,0,23108,Matt Kuchar,67.71,65,96
2022,0,28237,Rory McIlroy,67.39,31,46
2022,0,48081,Xander Schauffele,66.15,43,65
2022,0,32150,Michael Thompson,66.0,66,100
2022,0,19803,Ryan Armour,65.85,27,41
2022,0,39058,Lucas Herbert,65.28,47,72
2022,0,34360,Patrick Reed,65.12,56,86
2022,0,40250,Taylor Pendrith,65.08,41,63
2022,0,33448,Justin Thomas,64.47,49,76
2022,0,47993,Denny McCarthy,64.46,78,121
2022,0,23983,Luke Donald,63.29,50,79
2022,0,27644,Brian Harman,63.21,67,106
2022,0,48084,Wesley Bryan,61.82,34,55
2022,0,36801,Mark Hubbard,61.76,42,68
2022,0,40098,Matt Fitzpatrick,61.67,37,60
2022,0,45486,Joaquin Niemann,61.54,40,65
2022,0,33597,Harry Higgs,61.05,58,95
2022,0,35450,Patrick Cantlay,60.94,39,64
2022,0,30911,Tommy Fleetwood,60.71,34,56
2022,0,12716,Charley Hoffman,60.66,37,61
2022,0,48117,Kurt Kitayama,60.66,37,61
2022,0,29420,Billy Horschel,60.53,46,76
2022,0,21961,Charles Howell III,60.38,32,53
2022,0,27974,Sung Kang,60.24,50,83
2022,0,30926,Chris Kirk,60.0,57,95
2022,0,34610,Matthias Schwab,60.0,39,65
2022,0,34363,Tyrrell Hatton,59.72,43,72
2022,0,34256,Andrew Putnam,59.55,53,89
2022,0,47504,Sam Burns,59.46,44,74
2022,0,24138,Ian Poulter,59.09,39,66
2022,0,29908,C.T. Pan,59.04,49,83
2022,0,48822,Sebastián Muñoz,58.43,52,89
2022,0,39436,Joshua Creel,58.21,39,67
2022,0,27214,Kevin Streelman,57.94,62,107
2022,0,46402,Talor Gooch,57.69,45,78
2022,0,33399,Adam Hadwin,57.61,53,92
2022,0,24924,Bill Haas,57.52,65,113
2022,0,47529,Mito Pereira,57.45,54,94
2022,0,45157,Cam Davis,57.43,58,101
2022,0,25198,Francesco Molinari,57.38,35,61
2022,0,37189,Harold Varner III,57.35,39,68
2022,0,45609,Tyler Duncan,57.33,43,75
2022,0,29725,Tony Finau,57.14,28,49
2022,0,39546,Keith Mitchell,56.82,50,88
2022,0,32448,James Hahn,56.76,42,74
2022,0,28252,Seamus Power,56.63,47,83
2022,0,35449,Adam Long,56.52,52,92
2022,0,30927,Brendon Todd,56.52,52,92
2022,0,32333,Kevin Tway,56.47,48,85
2022,0,32839,Hideki Matsuyama,56.41,44,78
2022,0,24361,Pat Perez,56.34,40,71
2022,0,34466,Peter Malnati,56.3,67,119
2022,0,22056,Cameron Percy,56.25,27,48
2022,0,36799,Stephan Jaeger,56.19,59,105
2022,0,24980,Scott Gutschewski,56.14,32,57
2022,0,49771,J.T. Poston,56.07,60,107
2022,0,27349,Alex Noren,56.06,37,66
2022,0,46046,Scottie Scheffler,56.06,37,66
2022,0,23325,Vaughn Taylor,56.0,28,50
2022,0,29974,Branden Grace,55.77,29,52
2022,0,34563,Chesson Hadley,55.7,44,79
2022,0,30692,Scott Stallings,55.66,59,106
2022,0,48887,Matt Wallace,55.56,25,45
2022,0,25493,Nick Taylor,55.43,51,92
2022,0,24024,Zach Johnson,55.42,46,83
2022,0,30978,Kiradech Aphibarnrat,55.38,36,65
2022,0,39971,Sungjae Im,54.93,39,71
2022,0,32757,Patton Kizzire,54.9,56,102
2022,0,45526,Abraham Ancer,54.84,34,62
2022,0,55708,Hayden Buckley,54.79,40,73
2022,0,39977,Max Homa,54.76,46,84
2022,0,36326,David Lipsky,54.46,55,101
2022,0,51997,Andrew Novak,54.41,37,68
2022,0,46550,Brandon Hagy,54.32,44,81
2022,0,29478,Kevin Kisner,54.29,38,70
2022,0,23320,Ryan Palmer,54.29,38,70
2022,0,35506,Mackenzie Hughes,54.17,52,96
2022,0,31323,Gary Woodland,54.1,33,61
2022,0,35532,Tom Hoge,54.08,53,98
2022,0,29221,Webb Simpson,53.97,34,63
2022,0,25818,Scott Piercy,53.75,43,80
2022,0,34174,John Huh,53.68,51,95
2022,0,57366,Cameron Young,53.54,53,99
2022,0,46601,Trey Mullinax,53.52,38,71
2022,0,27095,Nick Watney,53.52,38,71
2022,0,51894,Vince Whaley,53.41,47,88
2022,0,46435,Austin Cook,53.25,41,77
2022,0,24502,Adam Scott,53.25,41,77
2022,0,28775,Nate Lashley,53.23,33,62
2022,0,29535,Brice Garnett,53.16,42,79
2022,0,36699,Patrick Rodgers,53.01,44,83
2022,0,30944,Jason Kokrak,52.86,37,70
2022,0,29289,S.Y. Noh,52.86,37,70
2022,0,27936,Martin Laird,52.78,38,72
2022,0,24925,Jonathan Byrd,52.73,29,55
2022,0,49298,Kramer Hickok,52.69,49,93
2022,0,34431,Robert Streb,52.69,49,93
2022,0,29926,Danny Lee,52.5,42,80
2022,0,51766,Wyndham Clark,52.27,46,88
2022,0,34046,Jordan Spieth,52.11,37,71
2022,0,51634,Sahith Theegala,52.1,62,119
2022,0,31420,Anirban Lahiri,51.9,41,79
2022,0,32791,K.H. Lee,51.43,54,105
2022,0,27649,Brandt Snedeker,51.35,38,74
2022,0,27129,Luke List,51.28,40,78
2022,0,46340,Alex Smalley,51.28,40,78
2022,0,26476,Chez Reavie,51.14,45,88
2022,0,35891,Cameron Smith,51.06,24,47
2022,0,39997,Corey Conners,50.75,34,67
2022,0,26851,Marc Leishman,50.67,38,75
2022,0,20229,Stewart Cink,50.0,34,68
2022,0,46717,Viktor Hovland,50.0,40,80
2022,0,36689,Brooks Koepka,50.0,26,52
2022,0,39953,Chase Seiffert,50.0,32,64
2022,0,48699,Callum Tarren,50.0,34,68
2022,0,32640,Troy Merritt,49.6,62,125
2022,0,49960,Sepp Straka,49.52,52,105
2022,0,23621,Rory Sabbatini,49.33,37,75
2022,0,40162,Justin Lower,49.3,35,71
2022,0,35461,Beau Hossler,49.07,53,108
2022,0,32816,Satoshi Kodaira,48.94,23,47
2022,0,51890,Greyson Sigg,48.89,44,90
2022,0,49947,Taylor Moore,48.84,42,86
2022,0,36871,Matthew NeSmith,48.72,38,78
2022,0,37455,Si Woo Kim,48.62,53,109
2022,0,32662,Michael Gligic,48.61,35,72
2022,0,53165,Doc Redman,48.61,35,72
2022,0,27895,Jonas Blixt,48.57,34,70
2022,0,30163,Henrik Norlander,48.33,29,60
2022,0,29518,Brendan Steele,47.95,35,73
2022,0,35310,Lanto Griffin,47.87,45,94
2022,0,40115,Adam Svensson,47.83,55,115
2022,0,32102,Rickie Fowler,47.67,41,86
2022,0,31560,Brian Stuard,47.62,50,105
2022,0,47483,Will Zalatoris,47.46,28,59
2022,0,29970,Dylan Frittelli,47.31,44,93
2022,0,46414,Aaron Rai,47.06,48,102
2022,0,33486,Roger Sloan,47.06,32,68
2022,0,35110,Brett Drewitt,46.94,23,49
2022,0,33141,Keegan Bradley,46.88,45,96
2022,0,47995,Davis Riley,46.85,52,111
2022,0,49964,Aaron Wise,46.84,37,79
2022,0,10381,Curtis Thompson,46.75,36,77
2022,0,34264,Hudson Swafford,46.58,34,73
2022,0,33667,Carlos Ortiz,46.51,40,86
2022,0,28089,Jason Day,46.48,33,71
2022,0,50095,Austin Smotherman,46.48,33,71
2022,0,32139,Danny Willett,46.34,19,41
2022,0,52375,Doug Ghim,46.27,31,67
2022,0,22405,Justin Rose,46.0,23,50
2022,0,52374,Brandon Wu,45.31,29,64
2022,0,50525,Collin Morikawa,45.28,24,53
2022,0,34076,Joel Dahmen,45.13,51,113
2022,0,26300,Matt Jones,45.07,32,71
2022,0,35879,Kelly Kraft,44.9,44,98
2022,0,31557,Jim Herman,44.64,25,56
2022,0,46970,Jon Rahm,44.62,29,65
2022,0,31646,Emiliano Grillo,44.57,41,92
2022,0,37275,Sam Ryder,44.57,41,92
2022,0,36852,Jim Knous,44.44,24,54
2022,0,33122,Russell Knox,44.44,36,81
2022,0,46442,Maverick McNealy,44.33,43,97
2022,0,54628,Lee Hodges,43.9,36,82
2022,0,32366,Kevin Chappell,43.86,25,57
2022,0,27770,Camilo Villegas,43.75,35,80
2022,0,36884,Ben Kohles,43.28,29,67
2022,0,27139,David Skinns,43.28,29,67
2022,0,39324,J.J. Spaun,43.02,37,86
2022,0,33419,Cameron Tringale,43.01,40,93
2022,0,45540,Jared Wolfe,42.86,21,49
2022,0,47128,Richy Werenski,42.5,34,80
2022,0,56278,Matthew Wolff,42.5,17,40
2022,0,54421,Garrick Higgo,42.37,25,59
2022,0,34255,Joseph Bramlett,42.31,33,78
