YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2024,0,55708,Hayden Buckley,73.91%,85,115,-0.29
2024,0,26476,Chez Reavie,73.87%,82,111,-0.24
2024,0,48153,Matthieu Pavon,73.83%,79,107,-0.28
2024,0,33408,Tyson Alexander,73.64%,81,110,-0.31
2024,0,55893,Sam Stevens,73.54%,139,189,-0.29
2024,0,57362,Austin Eckroat,73.53%,100,136,-0.31
2024,0,55789,Taylor Montgomery,73.47%,72,98,-0.33
2024,0,59866,Nick Dunlap,73.44%,94,128,-0.35
2024,0,32791,K.H. Lee,73.44%,94,128,-0.33
2024,0,39546,Keith Mitchell,73.41%,127,173,-0.27
2024,0,48887,Matt Wallace,73.33%,55,75,-0.25
2024,0,34046,Jordan Spieth,73.13%,98,134,-0.34
2024,0,54421,Garrick Higgo,72.86%,102,140,-0.25
2024,0,46717,Viktor Hovland,72.83%,67,92,-0.3
2024,0,34021,Bud Cauley,72.81%,83,114,-0.24
2024,0,45157,Cam Davis,72.73%,88,121,-0.28
2024,0,40115,Adam Svensson,72.63%,138,190,-0.28
2024,0,45609,Tyler Duncan,72.57%,82,113,-0.17
2024,0,27330,Josh Teater,72.37%,55,76,-0.31
2024,0,52514,Trace Crowe,72.34%,68,94,-0.32
2024,0,24502,Adam Scott,72.32%,81,112,-0.23
2024,0,51070,Vincent Norrman,72.29%,60,83,-0.1
2024,0,57366,Cameron Young,72.22%,117,162,-0.28
2024,0,47591,Eric Cole,72.19%,135,187,-0.3
2024,0,30926,Chris Kirk,72.17%,83,115,-0.41
2024,0,59095,Chris Gotterup,72.00%,108,150,-0.21
2024,0,30927,Brendon Todd,71.92%,105,146,-0.34
2024,0,47420,Jake Knapp,71.82%,79,110,-0.33
2024,0,36799,Stephan Jaeger,71.76%,94,131,-0.28
2024,0,40098,Matt Fitzpatrick,71.43%,70,98,-0.3
2024,0,32640,Troy Merritt,71.43%,85,119,-0.25
2024,0,35506,Mackenzie Hughes,71.33%,107,150,-0.31
2024,0,39324,J.J. Spaun,71.25%,114,160,-0.31
2024,0,52955,Ludvig Åberg,71.21%,94,132,-0.21
2024,0,39975,Michael Kim,71.05%,108,152,-0.29
2024,0,56630,Akshay Bhatia,71.03%,103,145,-0.28
2024,0,31323,Gary Woodland,71.01%,98,138,-0.2
2024,0,32070,Rafael Campos,70.97%,66,93,-0.36
2024,0,52453,Nicolai Højgaard,70.59%,48,68,-0.19
2024,0,50525,Collin Morikawa,70.49%,86,122,-0.38
2024,0,45242,Kevin Yu,70.42%,100,142,-0.23
2024,0,34374,Erik Barnes,70.41%,69,98,-0.23
2024,0,51696,Rico Hoey,70.34%,102,145,-0.23
2024,0,34466,Peter Malnati,70.29%,97,138,-0.34
2024,0,57900,Chandler Phillips,70.19%,113,161,-0.41
2024,0,33399,Adam Hadwin,70.15%,94,134,-0.36
2024,0,59143,Mac Meissner,70.15%,94,134,-0.27
2024,0,29936,Ryan Fox,70.00%,112,160,-0.29
2024,0,37455,Si Woo Kim,69.85%,95,136,-0.21
2024,0,48117,Kurt Kitayama,69.67%,85,122,-0.25
2024,0,52215,Robert MacIntyre,68.38%,80,117,-0.3
2024,0,48867,Matti Schmid,68.38%,93,136,-0.15
2024,0,55454,Carl Yuan,68.38%,80,117,-0.23
2024,0,52666,Sami Valimaki,68.18%,60,88,-0.3
2024,0,38991,Alejandro Tosti,68.15%,92,135,-0.14
2024,0,35450,Patrick Cantlay,67.82%,59,87,-0.32
2024,0,36699,Patrick Rodgers,67.78%,122,180,-0.23
2024,0,46441,Robby Shelton,67.77%,82,121,-0.28
2024,0,22405,Justin Rose,67.71%,65,96,-0.29
2024,0,60767,Blaine Hale Jr.,67.47%,56,83,-0.07
2024,0,33653,Thomas Detry,67.23%,80,119,-0.31
2024,0,47995,Davis Riley,67.08%,108,161,-0.31
2024,0,28089,Jason Day,66.67%,66,99,-0.42
2024,0,52372,Cameron Champ,66.30%,61,92,-0.3
2024,0,47663,Kevin Dougherty,65.87%,83,126,-0.13
2024,0,34099,Harris English,65.52%,76,116,-0.32
2024,0,50188,S.H. Kim,65.48%,110,168,-0.25
2024,0,48699,Callum Tarren,65.03%,93,143,-0.15
2024,0,47347,Adam Schenk,64.79%,92,142,-0.29
2024,0,51349,Nico Echavarria,64.57%,82,127,-0.33
2024,0,50484,Hayden Springer,63.72%,72,113,-0.24
2024,0,39971,Sungjae Im,60.81%,90,148,-0.34
2024,0,37212,Paul Barjon,53.76%,50,93,-0.28
2023,0,52453,Nicolai Hojgaard,84.93%,62,73,-0.31
2023,0,26596,Ryan Moore,84.56%,126,149,-0.33
2023,0,34098,Russell Henley,84.08%,132,157,-0.33
2023,0,29289,S.Y. Noh,83.65%,87,104,-0.32
2023,0,35449,Adam Long,83.44%,136,163,-0.26
2023,0,54783,Dylan Wu,83.43%,141,169,-0.3
2023,0,33399,Adam Hadwin,83.33%,150,180,-0.3
2023,0,24024,Zach Johnson,83.33%,85,102,-0.26
2023,0,35450,Patrick Cantlay,82.88%,92,111,-0.41
2023,0,32816,Satoshi Kodaira,82.76%,72,87,-0.26
2023,0,47993,Denny McCarthy,82.22%,148,180,-0.34
2023,0,45522,Christiaan Bezuidenhout,81.94%,127,155,-0.3
2023,0,32102,Rickie Fowler,81.82%,117,143,-0.26
2023,0,25900,Lucas Glover,81.65%,129,158,-0.33
2023,0,35901,Paul Haley II,81.41%,127,156,-0.32
2023,0,29420,Billy Horschel,81.36%,96,118,-0.25
2023,0,32366,Kevin Chappell,81.33%,61,75,-0.26
2023,0,27936,Martin Laird,81.31%,87,107,-0.2
2023,0,52513,Carson Young,80.98%,132,163,-0.31
2023,0,55182,Tom Kim,80.79%,122,151,-0.36
2023,0,32839,Hideki Matsuyama,80.77%,105,130,-0.3
2023,0,46414,Aaron Rai,80.75%,130,161,-0.3
2023,0,23108,Matt Kuchar,80.52%,124,154,-0.26
2023,0,46046,Scottie Scheffler,80.52%,124,154,-0.3
2023,0,29725,Tony Finau,80.15%,109,136,-0.3
2023,0,26476,Chez Reavie,80.11%,145,181,-0.25
2023,0,12716,Charley Hoffman,79.86%,115,144,-0.23
2023,0,48117,Kurt Kitayama,79.63%,86,108,-0.36
2023,0,53165,Doc Redman,79.61%,121,152,-0.25
2023,0,36801,Mark Hubbard,79.59%,156,196,-0.26
2023,0,55893,Sam Stevens,79.57%,148,186,-0.31
2023,0,56762,Will Gordon,79.56%,109,137,-0.28
2023,0,19803,Ryan Armour,79.41%,135,170,-0.27
2023,0,28775,Nate Lashley,79.26%,149,188,-0.32
2023,0,34256,Andrew Putnam,79.05%,117,148,-0.26
2023,0,55708,Hayden Buckley,79.04%,132,167,-0.2
2023,0,40006,Erik van Rooyen,78.99%,94,119,-0.29
2023,0,27349,Alex Noren,78.91%,116,147,-0.25
2023,0,27214,Kevin Streelman,78.89%,157,199,-0.3
2023,0,30926,Chris Kirk,78.88%,127,161,-0.31
2023,0,35532,Tom Hoge,78.69%,144,183,-0.35
2023,0,22371,Aaron Baddeley,78.57%,99,126,-0.31
2023,0,31323,Gary Woodland,78.57%,121,154,-0.27
2023,0,52372,Cameron Champ,78.50%,84,107,-0.3
2023,0,22405,Justin Rose,78.50%,84,107,-0.26
2023,0,25493,Nick Taylor,78.41%,138,176,-0.33
2023,0,39954,Cody Gribble,78.38%,87,111,-0.21
2023,0,50525,Collin Morikawa,78.38%,87,111,-0.34
2023,0,49960,Sepp Straka,78.38%,116,148,-0.34
2023,0,31560,Brian Stuard,78.33%,94,120,-0.31
2023,0,46717,Viktor Hovland,78.29%,119,152,-0.34
2023,0,52375,Doug Ghim,78.26%,126,161,-0.31
2023,0,22056,Cameron Percy,78.26%,72,92,-0.24
2023,0,31202,William McGirt,78.21%,61,78,-0.13
2023,0,58696,Peter Kuest,78.13%,75,96,-0.33
2023,0,29908,C.T. Pan,78.02%,71,91,-0.34
2023,0,37275,Sam Ryder,78.01%,149,191,-0.32
2023,0,51634,Sahith Theegala,77.97%,138,177,-0.34
2023,0,33122,Russell Knox,77.88%,162,208,-0.26
2023,0,51766,Wyndham Clark,77.84%,137,176,-0.26
2023,0,58168,Davis Thompson,77.72%,150,193,-0.17
2023,0,37455,Si Woo Kim,77.65%,132,170,-0.24
2023,0,36326,David Lipsky,77.55%,114,147,-0.23
2023,0,52374,Brandon Wu,77.50%,124,160,-0.22
2023,0,32757,Patton Kizzire,77.49%,148,191,-0.33
2023,0,47591,Eric Cole,77.45%,182,235,-0.37
2023,0,40162,Justin Lower,77.44%,151,195,-0.37
2023,0,34255,Joseph Bramlett,77.40%,113,146,-0.3
2023,0,20229,Stewart Cink,77.37%,106,137,-0.26
2023,0,27644,Brian Harman,77.37%,147,190,-0.27
2023,0,39975,Michael Kim,77.22%,122,158,-0.21
2023,0,24502,Adam Scott,77.19%,88,114,-0.31
2023,0,34563,Chesson Hadley,77.05%,141,183,-0.21
2023,0,48081,Xander Schauffele,77.00%,77,100,-0.32
2023,0,46340,Alex Smalley,77.00%,164,213,-0.27
2023,0,33448,Justin Thomas,76.98%,107,139,-0.26
2023,0,51890,Greyson Sigg,76.96%,167,217,-0.23
2023,0,59018,Ryan Gerard,76.92%,70,91,-0.26
2023,0,28237,Rory McIlroy,76.92%,90,117,-0.31
2023,0,28252,Seamus Power,76.92%,100,130,-0.32
2023,0,49771,J.T. Poston,76.88%,133,173,-0.26
2023,0,45242,Kevin Yu,76.80%,96,125,-0.21
2023,0,50095,Austin Smotherman,76.76%,142,185,-0.29
2023,0,49766,Hank Lebioda,76.70%,79,103,-0.23
2023,0,47995,Davis Riley,76.70%,135,176,-0.3
2023,0,39997,Corey Conners,76.69%,125,163,-0.27
2023,0,32791,K.H. Lee,76.67%,115,150,-0.3
2023,0,47988,Nick Hardy,76.59%,157,205,-0.21
2023,0,40098,Matt Fitzpatrick,76.58%,85,111,-0.29
2023,0,28089,Jason Day,76.52%,101,132,-0.21
2023,0,54591,Ben Griffin,76.50%,153,200,-0.31
2023,0,30927,Brendon Todd,76.50%,140,183,-0.42
2023,0,35879,Kelly Kraft,76.35%,113,148,-0.39
2023,0,34363,Tyrrell Hatton,76.30%,103,135,-0.34
2023,0,47347,Adam Schenk,76.24%,138,181,-0.23
2023,0,51414,Brent Grant,76.15%,99,130,-0.18
2023,0,27129,Luke List,76.12%,153,201,-0.24
2023,0,34610,Matthias Schwab,76.09%,140,184,-0.23
2023,0,36871,Matt NeSmith,76.06%,108,142,-0.29
2023,0,33141,Keegan Bradley,76.00%,95,125,-0.33
2023,0,39324,J.J. Spaun,75.98%,155,204,-0.26
2023,0,48699,Callum Tarren,75.96%,139,183,-0.24
2023,0,32448,James Hahn,75.94%,101,133,-0.3
2023,0,33204,Shane Lowry,75.93%,82,108,-0.29
2023,0,46970,Jon Rahm,75.81%,94,124,-0.38
2023,0,45609,Tyler Duncan,75.74%,128,169,-0.27
2023,0,35461,Beau Hossler,75.65%,146,193,-0.29
2023,0,39335,Kevin Roy,75.61%,93,123,-0.24
2023,0,52411,Kyle Westmoreland,75.44%,86,114,-0.12
2023,0,39067,MJ Daffue,75.42%,135,179,-0.19
2023,0,32333,Kevin Tway,75.28%,134,178,-0.19
2023,0,29221,Webb Simpson,75.23%,82,109,-0.18
2023,0,25686,Jason Dufner,75.00%,120,160,-0.28
2023,0,35310,Lanto Griffin,75.00%,69,92,-0.16
2023,0,45157,Cam Davis,74.85%,125,167,-0.2
2023,0,34099,Harris English,74.79%,89,119,-0.33
2023,0,27095,Nick Watney,74.79%,89,119,-0.24
2023,0,40115,Adam Svensson,74.76%,154,206,-0.32
2023,0,35617,Martin Trainer,74.73%,68,91,-0.28
2023,0,39977,Max Homa,74.68%,115,154,-0.34
2023,0,33597,Harry Higgs,74.67%,112,150,-0.29
2023,0,35506,Mackenzie Hughes,74.51%,114,153,-0.3
2023,0,39971,Sungjae Im,74.50%,111,149,-0.24
2023,0,57362,Austin Eckroat,74.48%,108,145,-0.19
2023,0,29535,Brice Garnett,74.48%,108,145,-0.26
2023,0,40250,Taylor Pendrith,74.45%,169,227,-0.26
2023,0,55454,Carl Yuan,74.45%,102,137,-0.31
2023,0,49298,Kramer Hickok,74.44%,134,180,-0.32
2023,0,46435,Austin Cook,74.42%,96,129,-0.33
2023,0,24925,Jonathan Byrd,74.36%,58,78,-0.19
2023,0,46601,Trey Mullinax,74.34%,113,152,-0.22
2023,0,50493,Justin Suh,74.30%,185,249,-0.33
2023,0,31577,Tano Goya,74.26%,101,136,-0.22
2023,0,33413,Ben Martin,74.18%,135,182,-0.31
2023,0,56630,Akshay Bhatia,74.17%,112,151,-0.3
2023,0,34409,David Lingmerth,74.07%,80,108,-0.29
2023,0,33408,Tyson Alexander,73.91%,102,138,-0.26
2023,0,48119,Ben Taylor,73.68%,140,190,-0.21
2023,0,37338,Zecheng Dou,73.63%,134,182,-0.19
2023,0,33410,Andrew Landry,73.62%,120,163,-0.26
2023,0,32139,Danny Willett,73.58%,78,106,-0.33
2023,0,58967,Trevor Werbylo,73.51%,111,151,-0.25
2023,0,24140,Sean O'Hair,73.44%,47,64,-0.3
2023,0,36799,Stephan Jaeger,73.42%,163,222,-0.28
2023,0,57366,Cameron Young,73.38%,102,139,-0.25
2023,0,36724,Augusto Núñez,73.33%,88,120,-0.17
2023,0,49947,Taylor Moore,73.26%,137,187,-0.24
2023,0,34076,Joel Dahmen,73.21%,123,168,-0.23
2023,0,25818,Scott Piercy,73.20%,112,153,-0.26
2023,0,46441,Robby Shelton,73.12%,136,186,-0.27
2023,0,34046,Jordan Spieth,73.05%,103,141,-0.3
2023,0,27974,Sung Kang,72.97%,54,74,-0.22
2023,0,40058,Zac Blair,72.93%,97,133,-0.31
2023,0,51349,Nico Echavarria,72.93%,97,133,-0.16
2023,0,51950,Max McGreevy,72.80%,91,125,-0.2
2023,0,30911,Tommy Fleetwood,72.73%,72,99,-0.32
2023,0,46442,Maverick McNealy,72.73%,72,99,-0.29
2023,0,31646,Emiliano Grillo,72.28%,133,184,-0.32
2023,0,30163,Henrik Norlander,72.26%,112,155,-0.2
2023,0,47128,Richy Werenski,72.26%,112,155,-0.3
2023,0,27554,Scott Harrington,72.18%,96,133,-0.27
2023,0,32662,Michael Gligic,72.07%,80,111,-0.31
2023,0,50188,S.H. Kim,72.02%,139,193,-0.32
2023,0,54421,Garrick Higgo,72.00%,162,225,-0.29
2023,0,23320,Ryan Palmer,71.65%,91,127,-0.23
2023,0,39546,Keith Mitchell,71.60%,116,162,-0.24
2023,0,54628,Lee Hodges,71.43%,130,182,-0.24
2023,0,51070,Vincent Norrman,71.43%,95,133,-0.23
2023,0,30692,Scott Stallings,71.32%,97,136,-0.27
2023,0,27963,Chris Stroud,71.26%,62,87,-0.27
2023,0,33653,Thomas Detry,70.91%,117,165,-0.26
2023,0,34431,Robert Streb,70.89%,112,158,-0.27
2023,0,47504,Sam Burns,70.78%,109,154,-0.23
2023,0,57975,Harry Hall,70.75%,104,147,-0.32
2023,0,47983,Chad Ramey,70.68%,135,191,-0.25
2023,0,49453,Trevor Cone,70.67%,106,150,-0.25
2023,0,51491,Brandon Matthews,70.67%,53,75,-0.08
2023,0,25632,Jimmy Walker,70.49%,129,183,-0.28
2023,0,48887,Matt Wallace,70.49%,86,122,-0.27
2023,0,36699,Patrick Rodgers,70.17%,127,181,-0.25
2023,0,28420,Ryan Brehm,69.87%,109,156,-0.23
2023,0,31557,Jim Herman,69.70%,92,132,-0.28
2023,0,32640,Troy Merritt,69.68%,108,155,-0.2
2023,0,29970,Dylan Frittelli,69.47%,91,131,-0.24
2023,0,51997,Andrew Novak,69.06%,96,139,-0.25
2023,0,48867,Matti Schmid,68.46%,89,130,-0.34
2023,0,47079,Harrison Endycott,68.38%,93,136,-0.19
2023,0,52955,Ludvig Åberg,67.97%,87,128,-0.29
2023,0,33948,Byeong Hun An,67.01%,132,197,-0.31
2023,0,34466,Peter Malnati,65.82%,129,196,-0.26
2023,0,55789,Taylor Montgomery,65.38%,136,208,-0.4
2023,0,48084,Wesley Bryan,62.50%,35,56,-0.31
2023,0,39058,Lucas Herbert,61.95%,70,113,-0.37
2022,0,52374,Brandon Wu,88.42,84,95,-0.27
2022,0,19803,Ryan Armour,85.37,70,82,-0.3
2022,0,39953,Chase Seiffert,85.19,69,81,-0.29
2022,0,53165,Doc Redman,84.55,93,110,-0.2
2022,0,31323,Gary Woodland,84.4,92,109,-0.23
2022,0,48081,Xander Schauffele,84.3,102,121,-0.39
2022,0,25198,Francesco Molinari,84.21,48,57,-0.19
2022,0,50525,Collin Morikawa,84.16,85,101,-0.28
2022,0,27095,Nick Watney,84.09,111,132,-0.23
2022,0,34098,Russell Henley,84.03,100,119,-0.25
2022,0,45486,Joaquin Niemann,83.21,109,131,-0.29
2022,0,27936,Martin Laird,82.83,82,99,-0.22
2022,0,21961,Charles Howell III,82.35,98,119,-0.29
2022,0,33399,Adam Hadwin,82.25,139,169,-0.28
2022,0,32333,Kevin Tway,81.9,95,116,-0.32
2022,0,30926,Chris Kirk,81.82,99,121,-0.33
2022,0,29420,Billy Horschel,81.6,102,125,-0.35
2022,0,34255,Joseph Bramlett,81.58,124,152,-0.24
2022,0,27974,Sung Kang,81.51,97,119,-0.28
2022,0,33448,Justin Thomas,81.48,110,135,-0.29
2022,0,27770,Camilo Villegas,81.2,95,117,-0.32
2022,0,47529,Mito Pereira,81.14,142,175,-0.34
2022,0,28775,Nate Lashley,81.12,116,143,-0.32
2022,0,36326,David Lipsky,81.06,107,132,-0.33
2022,0,26476,Chez Reavie,81.01,128,158,-0.29
2022,0,47993,Denny McCarthy,80.9,144,178,-0.34
2022,0,35450,Patrick Cantlay,80.83,97,120,-0.28
2022,0,29535,Brice Garnett,80.74,109,135,-0.18
2022,0,29518,Brendan Steele,80.47,103,128,-0.23
2022,0,46414,Aaron Rai,80.45,107,133,-0.24
2022,0,31560,Brian Stuard,80.45,107,133,-0.28
2022,0,27129,Luke List,80.38,127,158,-0.16
2022,0,28237,Rory McIlroy,80.19,85,106,-0.34
2022,0,39971,Sungjae Im,80.12,137,171,-0.28
2022,0,32816,Satoshi Kodaira,80.0,60,75,-0.32
2022,0,36871,Matthew NeSmith,80.0,120,150,-0.33
2022,0,32139,Danny Willett,80.0,68,85,-0.13
2022,0,34256,Andrew Putnam,79.72,114,143,-0.33
2022,0,30163,Henrik Norlander,79.49,93,117,-0.25
2022,0,46402,Talor Gooch,79.44,85,107,-0.33
2022,0,30911,Tommy Fleetwood,79.37,50,63,-0.36
2022,0,23108,Matt Kuchar,79.34,96,121,-0.31
2022,0,45157,Cam Davis,79.27,130,164,-0.25
2022,0,27139,David Skinns,79.25,84,106,-0.25
2022,0,27644,Brian Harman,79.03,147,186,-0.29
2022,0,35891,Cameron Smith,78.79,78,99,-0.47
2022,0,45540,Jared Wolfe,78.7,85,108,-0.19
2022,0,29974,Branden Grace,78.57,77,98,-0.25
2022,0,40162,Justin Lower,78.57,77,98,-0.29
2022,0,49766,Hank Lebioda,78.45,91,116,-0.35
2022,0,23320,Ryan Palmer,78.43,80,102,-0.18
2022,0,49947,Taylor Moore,78.36,134,171,-0.25
2022,0,47483,Will Zalatoris,78.36,105,134,-0.33
2022,0,24024,Zach Johnson,78.23,97,124,-0.35
2022,0,51890,Greyson Sigg,78.21,140,179,-0.33
2022,0,29478,Kevin Kisner,78.18,86,110,-0.19
2022,0,30927,Brendon Todd,78.13,100,128,-0.44
2022,0,29289,S.Y. Noh,78.0,78,100,-0.33
2022,0,36799,Stephan Jaeger,77.93,113,145,-0.27
2022,0,26851,Marc Leishman,77.88,88,113,-0.34
2022,0,28114,Dawie van der Walt,77.88,81,104,-0.28
2022,0,39997,Corey Conners,77.84,130,167,-0.39
2022,0,45526,Abraham Ancer,77.78,63,81,-0.33
2022,0,47504,Sam Burns,77.78,119,153,-0.37
2022,0,34466,Peter Malnati,77.61,156,201,-0.33
2022,0,46435,Austin Cook,77.59,90,116,-0.33
2022,0,36884,Ben Kohles,77.55,76,98,-0.33
2022,0,51950,Max McGreevy,77.55,76,98,-0.36
2022,0,40115,Adam Svensson,77.35,140,181,-0.34
2022,0,36689,Brooks Koepka,77.11,64,83,-0.16
2022,0,27214,Kevin Streelman,77.05,141,183,-0.23
2022,0,12716,Charley Hoffman,77.04,104,135,-0.35
2022,0,34046,Jordan Spieth,77.04,104,135,-0.35
2022,0,39436,Joshua Creel,77.01,67,87,-0.34
2022,0,33419,Cameron Tringale,76.97,127,165,-0.35
2022,0,26300,Matt Jones,76.92,70,91,-0.26
2022,0,47983,Chad Ramey,76.92,90,117,-0.29
2022,0,28252,Seamus Power,76.86,93,121,-0.32
2022,0,49960,Sepp Straka,76.81,106,138,-0.24
2022,0,32839,Hideki Matsuyama,76.7,79,103,-0.37
2022,0,35461,Beau Hossler,76.69,102,133,-0.2
2022,0,34431,Robert Streb,76.62,118,154,-0.28
