YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,144,0,60004,Jacob Bridgeman,"19' 1""",382.167,20,+3
2024,144,0,24024,Zach Johnson,"19' 1""",267.417,14,E
2024,144,0,35617,Martin Trainer,"19' 1""",343.417,18,E
2024,147,0,32366,Kevin Chappell,"19' 3""",173.583,9,+2
2024,147,0,35506,Mackenzie Hughes,"19' 3""",270.0,14,-2
2024,149,0,40026,Daniel Berger,"19' 6""",214.333,11,-2
2024,149,0,50525,Collin Morikawa,"19' 6""",292.917,15,-1
2024,151,0,45242,Kevin Yu,"19' 8""",373.833,19,-3
2024,152,0,35461,Beau Hossler,"19' 9""",552.167,28,-5
2024,152,0,29908,C.T. Pan,"19' 9""",335.5,17,+1
2024,154,0,29420,Billy Horschel,"20' 0""",379.583,19,+2
2024,155,0,48081,Xander Schauffele,"20' 1""",200.667,10,-1
2024,156,0,35450,Patrick Cantlay,"20' 2""",242.083,12,-1
2024,156,0,47347,Adam Schenk,"20' 2""",685.25,34,-1
2024,158,0,54628,Lee Hodges,"20' 3""",466.0,23,-7
2024,159,0,35310,Lanto Griffin,"20' 5""",326.417,16,E
2024,160,0,48867,Matti Schmid,"20' 8""",268.5,13,+3
2024,160,0,48119,Ben Taylor,"20' 8""",330.0,16,-1
2024,162,0,29535,Brice Garnett,"21' 1""",231.917,11,+1
2024,162,0,59095,Chris Gotterup,"21' 1""",378.833,18,-3
2024,164,0,35532,Tom Hoge,"21' 2""",190.667,9,-1
2024,165,0,46340,Alex Smalley,"21' 5""",150.167,7,+3
2024,166,0,48699,Callum Tarren,"21' 6""",408.083,19,+4
2024,167,0,27064,Jhonattan Vegas,"21' 7""",258.5,12,+2
2024,168,0,30163,Henrik Norlander,"21' 11""",306.417,14,E
2024,169,0,47663,Kevin Dougherty,"22' 0""",307.417,14,+1
2024,170,0,28420,Ryan Brehm,"22' 1""",242.5,11,+1
2024,171,0,40098,Matt Fitzpatrick,"22' 11""",252.0,11,+1
2024,171,0,34563,Chesson Hadley,"22' 11""",228.917,10,+4
2024,173,0,31646,Emiliano Grillo,"23' 1""",253.833,11,+2
2024,173,0,46717,Viktor Hovland,"23' 1""",369.75,16,-1
2024,175,0,26596,Ryan Moore,"23' 2""",231.333,10,E
2024,176,0,32367,Jorge Campillo,"23' 5""",187.0,8,E
2024,177,0,23320,Ryan Palmer,"23' 6""",235.0,10,-1
2024,178,0,45609,Tyler Duncan,"23' 11""",334.833,14,-2
2024,178,0,47995,Davis Riley,"23' 11""",454.75,19,-1
2024,178,0,29221,Webb Simpson,"23' 11""",263.417,11,+1
2024,181,0,37212,Paul Barjon,"24' 3""",387.583,16,+1
2024,182,0,29478,Kevin Kisner,"25' 11""",311.25,12,+1
2024,183,0,60767,Blaine Hale Jr.,"26' 9""",267.75,10,+1
2024,184,0,32102,Rickie Fowler,"27' 9""",443.583,16,+3
2023,1,0,24502,Adam Scott,"8' 0""",127.917,16,-13
2023,2,0,32839,Hideki Matsuyama,"8' 1""",136.833,17,-7
2023,3,0,34255,Joseph Bramlett,"9' 2""",137.25,15,-6
2023,3,0,27963,Chris Stroud,"9' 2""",91.583,10,-6
2023,5,0,46970,Jon Rahm,"10' 3""",184.583,18,-6
2023,6,0,30911,Tommy Fleetwood,"10' 4""",175.083,17,-5
2023,7,0,32791,K.H. Lee,"10' 6""",188.583,18,-6
2023,7,0,46046,Scottie Scheffler,"10' 6""",283.0,27,-4
2023,9,0,24024,Zach Johnson,"11' 4""",169.917,15,+2
2023,10,0,48081,Xander Schauffele,"11' 7""",150.667,13,-4
2023,11,0,54421,Garrick Higgo,"11' 9""",270.5,23,-6
2023,12,0,35617,Martin Trainer,"11' 11""",130.833,11,E
2023,13,0,36799,Stephan Jaeger,"12' 2""",365.0,30,-6
2023,14,0,40058,Zac Blair,"12' 3""",269.833,22,-1
2023,14,0,25900,Lucas Glover,"12' 3""",257.083,21,-4
2023,16,0,34610,Matthias Schwab,"12' 5""",247.75,20,-1
2023,17,0,49960,Sepp Straka,"12' 7""",251.75,20,E
2023,17,0,58168,Davis Thompson,"12' 7""",351.417,28,-6
2023,19,0,34098,Russell Henley,"12' 8""",265.167,21,-5
2023,19,0,50525,Collin Morikawa,"12' 8""",215.833,17,-4
