YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,0,52513,Carson Young,"42' 10""",104,4451.0,-2.00
2024,0,39971,Sungjae Im,"43' 0""",131,5632.333,+11.00
2024,0,36871,Matt NeSmith,"43' 0""",98,4212.667,+10.00
2024,0,24024,Zach Johnson,"43' 1""",70,3017.25,+7.00
2024,0,33968,Thorbjørn Olesen,"43' 1""",72,3100.583,-5.00
2024,0,40058,Zac Blair,"43' 2""",64,2763.583,+1.00
2024,0,57975,Harry Hall,"43' 2""",142,6126.167,E
2024,0,47988,Nick Hardy,"43' 2""",106,4572.667,+6.00
2024,0,36799,Stephan Jaeger,"43' 3""",107,4631.75,+16.00
2024,0,32367,Jorge Campillo,"43' 4""",92,3987.083,+1.00
2024,0,32366,Kevin Chappell,"43' 4""",58,2515.25,+6.00
2024,0,56149,Wilson Furr,"43' 4""",93,4033.083,+9.00
2024,0,37455,Si Woo Kim,"43' 4""",100,4337.167,-1.00
2024,0,34374,Erik Barnes,"43' 5""",96,4168.583,+14.00
2024,0,33653,Thomas Detry,"43' 5""",97,4208.667,-6.00
2024,0,48153,Matthieu Pavon,"43' 5""",73,3166.667,-12.00
2024,0,27214,Kevin Streelman,"43' 5""",89,3864.667,+14.00
2024,0,37212,Paul Barjon,"43' 6""",69,3001.083,+11.00
2024,0,59095,Chris Gotterup,"43' 6""",117,5093.0,-3.00
2024,0,48084,Wesley Bryan,"43' 7""",74,3224.917,-1.00
2024,0,52514,Trace Crowe,"43' 8""",103,4495.333,+11.00
2024,0,37275,Sam Ryder,"43' 8""",96,4191.5,+17.00
2024,0,39327,Ben Silverman,"43' 8""",107,4675.25,-9.00
2024,0,34046,Jordan Spieth,"43' 8""",88,3845.167,+2.00
2024,0,45242,Kevin Yu,"43' 8""",113,4938.083,+1.00
2024,0,34021,Bud Cauley,"43' 10""",80,3505.0,E
2024,0,46717,Viktor Hovland,"43' 10""",83,3639.167,-14.00
2024,0,40250,Taylor Pendrith,"43' 10""",134,5877.5,+1.00
2024,0,26476,Chez Reavie,"43' 10""",87,3815.667,+17.00
2024,0,35506,Mackenzie Hughes,"43' 11""",169,7421.0,+2.00
2024,0,35617,Martin Trainer,"43' 11""",83,3645.5,+8.00
2024,0,60004,Jacob Bridgeman,"44' 2""",114,5038.583,+10.00
2024,0,51890,Greyson Sigg,"44' 2""",98,4330.667,+11.00
2024,0,35450,Patrick Cantlay,"44' 3""",107,4734.917,+4.00
2024,0,52955,Ludvig Åberg,"44' 4""",101,4478.083,+4.00
2024,0,39975,Michael Kim,"44' 4""",124,5493.917,+18.00
2024,0,22371,Aaron Baddeley,"44' 5""",105,4667.167,+14.00
2024,0,32757,Patton Kizzire,"44' 5""",75,3331.5,+14.00
2024,0,36326,David Lipsky,"44' 6""",97,4314.667,+27.00
2024,0,28420,Ryan Brehm,"44' 7""",93,4148.667,+7.00
2024,0,46340,Alex Smalley,"44' 8""",85,3797.0,+6.00
2024,0,29535,Brice Garnett,"44' 9""",46,2058.667,+9.00
2024,0,40162,Justin Lower,"44' 9""",156,6985.667,+14.00
2024,0,48319,Tom Whitney,"44' 9""",83,3717.417,+11.00
2024,0,45609,Tyler Duncan,"44' 10""",59,2644.25,+13.00
2024,0,36699,Patrick Rodgers,"44' 10""",150,6723.0,-2.00
2024,0,57362,Austin Eckroat,"44' 11""",84,3770.667,+9.00
2024,0,34076,Joel Dahmen,"45' 1""",105,4737.25,+6.00
2024,0,47483,Will Zalatoris,"45' 1""",87,3923.667,+9.00
2024,0,27064,Jhonattan Vegas,"45' 2""",136,6147.833,+12.00
2024,0,30926,Chris Kirk,"45' 3""",84,3804.083,+7.00
2024,0,50095,Austin Smotherman,"45' 3""",60,2716.0,+4.00
2024,0,51977,Max Greyserman,"45' 4""",114,5172.25,+1.00
2024,0,23108,Matt Kuchar,"45' 4""",106,4801.917,+5.00
2024,0,51696,Rico Hoey,"45' 5""",93,4221.167,+7.00
2024,0,47679,Victor Perez,"45' 6""",103,4684.667,+13.00
2024,0,27139,David Skinns,"45' 6""",158,7194.583,+26.00
2024,0,51894,Vince Whaley,"45' 6""",124,5641.917,+6.00
2024,0,33399,Adam Hadwin,"45' 7""",121,5514.083,+25.00
2024,0,59442,Parker Coody,"45' 8""",101,4611.583,+9.00
2024,0,47993,Denny McCarthy,"45' 8""",101,4615.417,+12.00
2024,0,29478,Kevin Kisner,"45' 9""",76,3479.75,+19.00
2024,0,30927,Brendon Todd,"45' 11""",140,6428.833,+7.00
2024,0,27936,Martin Laird,"46' 0""",102,4692.417,+18.00
2024,0,46442,Maverick McNealy,"46' 0""",130,5984.5,E
2024,0,47995,Davis Riley,"46' 0""",160,7359.25,+12.00
2024,0,58168,Davis Thompson,"46' 0""",135,6208.583,-4.00
2024,0,50497,Adrien Dumont de Chassart,"46' 3""",117,5410.167,+21.00
2024,0,51349,Nico Echavarria,"46' 3""",103,4766.083,+29.00
2024,0,48119,Ben Taylor,"46' 3""",99,4582.5,+15.00
2024,0,55708,Hayden Buckley,"46' 4""",86,3986.667,+14.00
2024,0,48887,Matt Wallace,"46' 4""",129,5973.833,+2.00
2024,0,48699,Callum Tarren,"46' 5""",118,5473.0,+25.00
2024,0,32839,Hideki Matsuyama,"46' 6""",103,4787.167,+8.00
2024,0,33408,Tyson Alexander,"46' 7""",120,5585.917,+10.00
2024,0,51287,Ryo Hisatsune,"46' 7""",97,4521.75,+4.00
2024,0,52372,Cameron Champ,"46' 8""",98,4569.917,+1.00
2024,0,45157,Cam Davis,"46' 8""",119,5548.75,+10.00
2024,0,54576,Patrick Fishburn,"46' 8""",92,4293.75,+9.00
2024,0,55182,Tom Kim,"46' 9""",92,4299.167,+5.00
2024,0,40006,Erik van Rooyen,"46' 9""",113,5284.5,+10.00
2024,0,47591,Eric Cole,"46' 11""",191,8956.417,+29.00
2024,0,46113,Ryan McCormick,"46' 11""",103,4831.083,+23.00
2024,0,49947,Taylor Moore,"46' 11""",143,6706.833,-1.00
2024,0,27770,Camilo Villegas,"47' 1""",85,4000.75,+13.00
2024,0,52215,Robert MacIntyre,"47' 3""",114,5382.583,-4.00
2024,0,59143,Mac Meissner,"47' 3""",120,5674.083,+24.00
2024,0,36801,Mark Hubbard,"47' 4""",101,4782.167,+20.00
2024,0,47420,Jake Knapp,"47' 4""",138,6528.333,+13.00
2024,0,32333,Kevin Tway,"47' 5""",84,3984.333,+9.00
2024,0,32070,Rafael Campos,"47' 6""",91,4324.083,+14.00
2024,0,47663,Kevin Dougherty,"47' 6""",91,4320.917,+15.00
2024,0,50188,S.H. Kim,"47' 7""",188,8945.417,+20.00
2024,0,32791,K.H. Lee,"47' 7""",106,5046.083,+8.00
2024,0,35532,Tom Hoge,"47' 8""",127,6053.25,+11.00
2024,0,49771,J.T. Poston,"47' 8""",91,4334.583,+12.00
2024,0,29221,Webb Simpson,"47' 8""",96,4573.5,+13.00
2024,0,50525,Collin Morikawa,"47' 9""",72,3438.25,+15.00
2024,0,29908,C.T. Pan,"47' 10""",74,3537.167,+4.00
2024,0,24502,Adam Scott,"47' 11""",95,4554.0,+9.00
2024,0,27129,Luke List,"48' 0""",128,6146.667,+28.00
2024,0,46414,Aaron Rai,"48' 1""",67,3218.833,-1.00
2024,0,25493,Nick Taylor,"48' 1""",116,5581.083,+8.00
2024,0,33141,Keegan Bradley,"48' 2""",122,5877.917,+18.00
2024,0,32102,Rickie Fowler,"48' 2""",88,4237.75,+1.00
2024,0,59836,Pierceson Coody,"48' 5""",121,5855.917,+9.00
2024,0,33948,Byeong Hun An,"48' 6""",136,6600.083,+3.00
2024,0,28089,Jason Day,"48' 8""",87,4233.083,+3.00
2024,0,54628,Lee Hodges,"48' 9""",112,5460.25,+15.00
2024,0,39977,Max Homa,"48' 9""",122,5950.833,+8.00
2024,0,22405,Justin Rose,"48' 9""",75,3655.0,+9.00
2024,0,34098,Russell Henley,"48' 10""",102,4978.583,+7.00
2024,0,54783,Dylan Wu,"48' 10""",138,6736.667,+11.00
2024,0,37378,Min Woo Lee,"48' 11""",97,4746.917,+9.00
2024,0,27349,Alex Noren,"48' 11""",109,5333.667,-5.00
2024,0,34256,Andrew Putnam,"48' 11""",101,4944.083,+8.00
2024,0,28252,Seamus Power,"49' 1""",125,6134.667,+8.00
2024,0,60067,Joe Highsmith,"49' 2""",122,5995.0,+27.00
2024,0,27649,Brandt Snedeker,"49' 2""",101,4968.0,+26.00
2024,0,26596,Ryan Moore,"49' 3""",94,4629.0,+8.00
2024,0,49960,Sepp Straka,"49' 4""",81,3996.0,+7.00
2024,0,40115,Adam Svensson,"49' 7""",146,7237.333,+14.00
2024,0,36884,Ben Kohles,"49' 8""",94,4671.333,+28.00
2024,0,52453,Nicolai Højgaard,"49' 9""",71,3530.75,+4.00
2024,0,12716,Charley Hoffman,"49' 10""",105,5228.167,+26.00
2024,0,46441,Robby Shelton,"49' 10""",103,5134.417,+10.00
2024,0,57366,Cameron Young,"49' 10""",117,5834.75,+7.00
2024,0,40098,Matt Fitzpatrick,"50' 2""",105,5267.167,+15.00
2024,0,30911,Tommy Fleetwood,"50' 2""",72,3612.917,+8.00
2024,0,51634,Sahith Theegala,"50' 2""",134,6720.167,+3.00
2024,0,29420,Billy Horschel,"50' 3""",134,6734.833,+10.00
2024,0,23320,Ryan Palmer,"50' 7""",81,4095.667,+18.00
2024,0,47347,Adam Schenk,"50' 7""",122,6175.5,+6.00
2024,0,34099,Harris English,"50' 10""",98,4982.167,+3.00
2024,0,55789,Taylor Montgomery,"51' 2""",119,6088.75,+5.00
2024,0,45522,Christiaan Bezuidenhout,"51' 3""",113,5789.333,+24.00
2024,0,51070,Vincent Norrman,"51' 7""",61,3147.417,+8.00
2024,0,59866,Nick Dunlap,"51' 8""",104,5374.917,+12.00
2024,0,34466,Peter Malnati,"52' 1""",132,6878.75,+24.00
2024,0,56630,Akshay Bhatia,"53' 6""",123,6578.083,+9.00
2024,0,48081,Xander Schauffele,"55' 3""",105,5798.333,+4.00
2023,0,22056,Cameron Percy,"36' 4""",74,2689.75,-3.00
2023,0,39067,MJ Daffue,"36' 6""",152,5553.917,+10.00
2023,0,24140,Sean O'Hair,"36' 9""",52,1910.917,-2.00
2023,0,39335,Kevin Roy,"37' 4""",110,4106.333,+8.00
2023,0,32366,Kevin Chappell,"37' 8""",75,2824.833,+3.00
2023,0,27974,Sung Kang,"38' 1""",78,2971.5,+3.00
2023,0,32839,Hideki Matsuyama,"38' 8""",114,4406.833,+3.00
2023,0,52955,Ludvig Åberg,"39' 1""",79,3087.583,E
2023,0,45242,Kevin Yu,"39' 2""",82,3214.333,+8.00
2023,0,33448,Justin Thomas,"39' 3""",123,4828.083,-8.00
2023,0,19803,Ryan Armour,"39' 4""",90,3537.083,+10.00
2023,0,39975,Michael Kim,"39' 4""",144,5665.833,+18.00
2023,0,23320,Ryan Palmer,"39' 5""",103,4063.75,+10.00
2023,0,47995,Davis Riley,"39' 6""",127,5013.167,+19.00
2023,0,51414,Brent Grant,"39' 11""",94,3751.0,+20.00
2023,0,28237,Rory McIlroy,"39' 11""",125,4987.417,-3.00
2023,0,51890,Greyson Sigg,"40' 1""",129,5166.75,+16.00
2023,0,34363,Tyrrell Hatton,"40' 2""",99,3975.0,-10.00
2023,0,25900,Lucas Glover,"40' 3""",127,5110.75,+6.00
2023,0,12716,Charley Hoffman,"40' 3""",82,3299.083,+9.00
2023,0,33141,Keegan Bradley,"40' 6""",111,4494.667,+7.00
2023,0,51349,Nico Echavarria,"40' 6""",98,3971.917,+24.00
2023,0,27214,Kevin Streelman,"40' 6""",155,6280.0,+15.00
2023,0,35617,Martin Trainer,"40' 6""",85,3444.583,+3.00
2023,0,34098,Russell Henley,"40' 8""",97,3947.167,+10.00
2023,0,35450,Patrick Cantlay,"40' 9""",94,3832.083,E
2023,0,46046,Scottie Scheffler,"40' 10""",164,6700.75,+4.00
2023,0,30926,Chris Kirk,"40' 11""",143,5856.083,+12.00
2023,0,48867,Matti Schmid,"40' 11""",112,4587.167,-6.00
2023,0,32448,James Hahn,"41' 0""",101,4144.333,-1.00
2023,0,54591,Ben Griffin,"41' 1""",170,6989.583,E
2023,0,26476,Chez Reavie,"41' 2""",140,5761.833,+15.00
2023,0,39324,J.J. Spaun,"41' 2""",130,5348.833,+11.00
2023,0,33410,Andrew Landry,"41' 3""",79,3257.25,+14.00
2023,0,46340,Alex Smalley,"41' 3""",166,6840.583,+6.00
2023,0,25632,Jimmy Walker,"41' 3""",139,5734.083,+16.00
2023,0,34563,Chesson Hadley,"41' 4""",147,6080.583,+9.00
2023,0,33122,Russell Knox,"41' 6""",126,5231.917,+16.00
2023,0,25818,Scott Piercy,"41' 6""",103,4275.417,+6.00
2023,0,30927,Brendon Todd,"41' 6""",136,5649.25,+15.00
2023,0,29725,Tony Finau,"41' 9""",131,5470.75,+9.00
2023,0,30163,Henrik Norlander,"41' 9""",134,5590.0,+10.00
2023,0,31560,Brian Stuard,"41' 9""",86,3589.75,+8.00
2023,0,37455,Si Woo Kim,"41' 10""",116,4848.917,+12.00
2023,0,49453,Trevor Cone,"41' 11""",143,5988.5,+5.00
2023,0,59018,Ryan Gerard,"41' 11""",88,3686.0,+2.00
2023,0,58696,Peter Kuest,"42' 1""",71,2986.5,-6.00
2023,0,26596,Ryan Moore,"42' 1""",93,3910.75,+15.00
2023,0,35901,Paul Haley II,"42' 2""",117,4929.25,+23.00
2023,0,46717,Viktor Hovland,"42' 3""",109,4605.333,+5.00
2023,0,33204,Shane Lowry,"42' 3""",85,3594.667,+12.00
2023,0,24925,Jonathan Byrd,"42' 4""",68,2878.5,+10.00
2023,0,25686,Jason Dufner,"42' 4""",137,5802.25,+18.00
2023,0,39971,Sungjae Im,"42' 5""",135,5730.417,+10.00
2023,0,55454,Carl Yuan,"42' 5""",153,6495.0,+17.00
2023,0,55182,Tom Kim,"42' 6""",98,4163.083,+17.00
2023,0,34255,Joseph Bramlett,"42' 7""",132,5625.417,+16.00
2023,0,48084,Wesley Bryan,"42' 7""",74,3148.5,+4.00
2023,0,30692,Scott Stallings,"42' 7""",98,4170.583,E
2023,0,34431,Robert Streb,"42' 7""",134,5703.833,+12.00
2023,0,48699,Callum Tarren,"42' 7""",177,7540.917,+8.00
2023,0,40098,Matt Fitzpatrick,"42' 9""",137,5859.083,+1.00
2023,0,39954,Cody Gribble,"43' 0""",103,4425.75,+18.00
2023,0,39546,Keith Mitchell,"43' 0""",132,5679.833,+18.00
2023,0,31323,Gary Woodland,"43' 0""",133,5723.25,+14.00
2023,0,22371,Aaron Baddeley,"43' 2""",104,4486.583,-6.00
2023,0,39997,Corey Conners,"43' 2""",124,5356.583,+2.00
2023,0,25493,Nick Taylor,"43' 2""",140,6037.917,+8.00
2023,0,33597,Harry Higgs,"43' 3""",126,5454.583,+28.00
2023,0,36871,Matt NeSmith,"43' 3""",148,6405.5,+27.00
2023,0,55893,Sam Stevens,"43' 3""",150,6492.417,+5.00
2023,0,58967,Trevor Werbylo,"43' 3""",119,5146.0,+11.00
2023,0,47983,Chad Ramey,"43' 7""",153,6670.833,+13.00
2023,0,49960,Sepp Straka,"43' 7""",108,4711.0,+13.00
2023,0,52411,Kyle Westmoreland,"43' 7""",123,5359.167,+18.00
2023,0,27644,Brian Harman,"43' 8""",115,5020.833,+2.00
2023,0,52374,Brandon Wu,"43' 9""",133,5823.167,+16.00
2023,0,51491,Brandon Matthews,"43' 10""",74,3241.583,+5.00
2023,0,34610,Matthias Schwab,"43' 11""",133,5836.583,+28.00
2023,0,50095,Austin Smotherman,"43' 11""",155,6804.083,+27.00
2023,0,33408,Tyson Alexander,"44' 1""",142,6257.083,+11.00
2023,0,55708,Hayden Buckley,"44' 1""",99,4366.833,+16.00
2023,0,57975,Harry Hall,"44' 1""",186,8201.667,+6.00
2023,0,32816,Satoshi Kodaira,"44' 1""",53,2337.667,+5.00
2023,0,51950,Max McGreevy,"44' 1""",92,4054.667,+25.00
2023,0,55789,Taylor Montgomery,"44' 1""",154,6787.167,+4.00
2023,0,37338,Zecheng Dou,"44' 2""",153,6756.583,+21.00
2023,0,35461,Beau Hossler,"44' 3""",195,8633.917,+6.00
2023,0,49298,Kramer Hickok,"44' 4""",152,6740.333,+14.00
2023,0,48887,Matt Wallace,"44' 4""",145,6433.083,+14.00
2023,0,54783,Dylan Wu,"44' 4""",153,6778.917,+16.00
2023,0,31646,Emiliano Grillo,"44' 5""",162,7200.167,+17.00
2023,0,51997,Andrew Novak,"44' 5""",102,4532.417,+2.00
2023,0,35506,Mackenzie Hughes,"44' 6""",148,6583.583,+9.00
2023,0,52513,Carson Young,"44' 6""",113,5031.333,+15.00
2023,0,54628,Lee Hodges,"44' 7""",158,7049.417,+11.00
2023,0,50525,Collin Morikawa,"44' 7""",81,3609.833,+13.00
2023,0,36699,Patrick Rodgers,"44' 7""",177,7894.5,+17.00
2023,0,32333,Kevin Tway,"44' 7""",175,7806.083,+17.00
2023,0,56762,Will Gordon,"44' 8""",152,6783.75,+15.00
2023,0,46601,Trey Mullinax,"44' 8""",145,6473.417,+14.00
2023,0,28089,Jason Day,"44' 9""",99,4428.083,+13.00
2023,0,34076,Joel Dahmen,"44' 10""",122,5471.417,+2.00
2023,0,52375,Doug Ghim,"44' 10""",121,5424.0,+3.00
2023,0,35879,Kelly Kraft,"44' 10""",155,6952.417,+15.00
2023,0,27129,Luke List,"44' 10""",180,8076.833,+15.00
2023,0,33413,Ben Martin,"44' 10""",130,5833.583,E
2023,0,35310,Lanto Griffin,"44' 11""",61,2739.5,+7.00
2023,0,33399,Adam Hadwin,"45' 0""",131,5898.333,+16.00
2023,0,58168,Davis Thompson,"45' 0""",155,6972.583,+24.00
2023,0,40162,Justin Lower,"45' 1""",146,6577.083,+28.00
2023,0,22405,Justin Rose,"45' 1""",100,4504.75,+3.00
2023,0,27554,Scott Harrington,"45' 2""",128,5777.5,+8.00
2023,0,46970,Jon Rahm,"45' 2""",109,4919.667,+11.00
2023,0,28252,Seamus Power,"45' 3""",95,4301.667,+8.00
2023,0,49766,Hank Lebioda,"45' 4""",82,3714.333,+17.00
2023,0,20229,Stewart Cink,"45' 5""",131,5949.583,+13.00
2023,0,35532,Tom Hoge,"45' 5""",125,5671.917,+3.00
2023,0,28775,Nate Lashley,"45' 5""",149,6773.25,+19.00
2023,0,46441,Robby Shelton,"45' 6""",166,7549.583,+24.00
2023,0,51766,Wyndham Clark,"45' 7""",146,6658.667,+3.00
2023,0,29221,Webb Simpson,"45' 7""",103,4696.25,+9.00
2023,0,32662,Michael Gligic,"45' 8""",106,4841.0,+9.00
2023,0,48117,Kurt Kitayama,"45' 8""",102,4657.917,+18.00
2023,0,32791,K.H. Lee,"45' 8""",172,7861.083,+3.00
2023,0,57362,Austin Eckroat,"45' 9""",116,5308.583,+24.00
2023,0,34099,Harris English,"45' 9""",132,6043.083,+14.00
2023,0,51070,Vincent Norrman,"45' 9""",109,4990.833,+9.00
2023,0,47988,Nick Hardy,"45' 10""",134,6142.917,+16.00
2023,0,32640,Troy Merritt,"45' 10""",96,4396.25,+14.00
2023,0,50493,Justin Suh,"45' 10""",115,5269.417,+22.00
2023,0,24024,Zach Johnson,"45' 11""",89,4085.667,+18.00
2023,0,33948,Byeong Hun An,"46' 0""",179,8240.667,+11.00
2023,0,32102,Rickie Fowler,"46' 0""",143,6576.75,+10.00
2023,0,27963,Chris Stroud,"46' 0""",61,2803.917,+3.00
2023,0,48119,Ben Taylor,"46' 0""",175,8052.333,+8.00
2023,0,47591,Eric Cole,"46' 1""",265,12215.0,+3.00
2023,0,47128,Richy Werenski,"46' 1""",158,7286.667,+28.00
2023,0,32139,Danny Willett,"46' 1""",85,3914.25,+13.00
2023,0,28420,Ryan Brehm,"46' 2""",178,8213.167,+17.00
2023,0,52453,Nicolai Hojgaard,"46' 2""",64,2956.333,+10.00
2023,0,27349,Alex Noren,"46' 2""",132,6099.333,+13.00
2023,0,36724,Augusto Núñez,"46' 3""",109,5041.75,+3.00
2023,0,34466,Peter Malnati,"46' 4""",186,8620.917,+12.00
2023,0,29289,S.Y. Noh,"46' 4""",88,4076.417,+14.00
2023,0,27095,Nick Watney,"46' 5""",108,5014.917,+23.00
2023,0,34046,Jordan Spieth,"46' 6""",124,5765.583,+11.00
2023,0,56630,Akshay Bhatia,"46' 7""",106,4934.5,+15.00
2023,0,29970,Dylan Frittelli,"46' 7""",127,5918.333,+32.00
2023,0,32757,Patton Kizzire,"46' 7""",141,6565.0,+13.00
2023,0,37275,Sam Ryder,"46' 7""",165,7684.083,+23.00
2023,0,36799,Stephan Jaeger,"46' 8""",222,10355.0,+6.00
2023,0,53165,Doc Redman,"46' 8""",111,5182.083,+14.00
2023,0,40058,Zac Blair,"46' 9""",86,4021.083,+18.00
2023,0,47079,Harrison Endycott,"46' 11""",143,6707.167,+18.00
2023,0,36801,Mark Hubbard,"46' 11""",129,6056.833,+15.00
2023,0,36326,David Lipsky,"46' 11""",144,6761.25,+18.00
2023,0,45157,Cam Davis,"47' 1""",147,6922.583,-8.00
2023,0,29908,C.T. Pan,"47' 4""",59,2793.167,+7.00
2023,0,40250,Taylor Pendrith,"47' 5""",191,9058.833,+9.00
2023,0,54421,Garrick Higgo,"47' 8""",163,7776.25,E
2023,0,34256,Andrew Putnam,"47' 8""",111,5294.667,+15.00
2023,0,52372,Cameron Champ,"47' 10""",107,5120.417,+8.00
2023,0,23108,Matt Kuchar,"47' 10""",130,6220.667,+20.00
2023,0,45609,Tyler Duncan,"48' 2""",110,5294.667,+16.00
2023,0,31557,Jim Herman,"48' 5""",93,4500.5,+14.00
2023,0,31577,Tano Goya,"48' 7""",91,4424.75,+11.00
2023,0,50188,S.H. Kim,"48' 7""",179,8696.5,-2.00
2023,0,40115,Adam Svensson,"48' 8""",159,7734.917,+26.00
2023,0,49947,Taylor Moore,"48' 9""",132,6431.25,+10.00
2023,0,24502,Adam Scott,"48' 10""",89,4344.833,+8.00
2023,0,29535,Brice Garnett,"49' 0""",114,5584.5,+16.00
2023,0,34409,David Lingmerth,"49' 2""",105,5160.167,+22.00
2023,0,49771,J.T. Poston,"49' 5""",133,6572.833,+10.00
2023,0,40006,Erik van Rooyen,"49' 8""",120,5959.417,+20.00
2023,0,33653,Thomas Detry,"49' 10""",128,6376.0,+9.00
2023,0,29420,Billy Horschel,"49' 10""",88,4383.667,+5.00
2023,0,47993,Denny McCarthy,"49' 11""",145,7243.917,+17.00
2023,0,35449,Adam Long,"50' 0""",123,6144.917,+17.00
2023,0,27936,Martin Laird,"50' 2""",99,4969.333,+15.00
2023,0,47347,Adam Schenk,"50' 2""",183,9184.25,+5.00
2023,0,57366,Cameron Young,"50' 2""",118,5920.25,+27.00
2023,0,48081,Xander Schauffele,"50' 3""",121,6077.75,+16.00
2023,0,47504,Sam Burns,"50' 5""",113,5697.5,+27.00
2023,0,46442,Maverick McNealy,"50' 8""",84,4254.167,+17.00
2023,0,46435,Austin Cook,"51' 0""",97,4950.25,+9.00
2023,0,39058,Lucas Herbert,"51' 2""",81,4141.25,+6.00
2023,0,51634,Sahith Theegala,"51' 5""",187,9615.917,+15.00
2023,0,30911,Tommy Fleetwood,"51' 7""",113,5824.583,+10.00
2023,0,45522,Christiaan Bezuidenhout,"51' 9""",115,5946.917,+18.00
2023,0,46414,Aaron Rai,"52' 0""",117,6082.75,+13.00
2023,0,31202,William McGirt,"54' 1""",57,3081.917,+10.00
2023,0,39977,Max Homa,"54' 7""",122,6655.583,+17.00
2022,0,22056,Cameron Percy,"35' 9""",61,2182.333,-7.00
2022,0,39953,Chase Seiffert,"36' 6""",46,1678.667,+2.00
2022,0,27095,Nick Watney,"37' 5""",93,3481.667,+10.00
2022,0,33448,Justin Thomas,"37' 9""",109,4117.25,+1.00
2022,0,27349,Alex Noren,"38' 5""",74,2842.083,+10.00
2022,0,12716,Charley Hoffman,"38' 6""",93,3582.0,+9.00
2022,0,34610,Matthias Schwab,"38' 10""",97,3766.0,E
2022,0,40098,Matt Fitzpatrick,"39' 2""",71,2783.5,+6.00
2022,0,46046,Scottie Scheffler,"39' 3""",134,5258.833,-8.00
2022,0,29289,S.Y. Noh,"39' 4""",86,3380.333,+6.00
2022,0,23621,Rory Sabbatini,"39' 7""",65,2572.5,+9.00
2022,0,39997,Corey Conners,"39' 8""",100,3968.5,+10.00
2022,0,35110,Brett Drewitt,"39' 8""",83,3294.083,+14.00
2022,0,39436,Joshua Creel,"39' 11""",72,2874.917,+13.00
2022,0,48117,Kurt Kitayama,"39' 11""",86,3433.917,+1.00
