YEAR,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
2023,0,58696,Peter Kuest,75.3,828,11
2023,0,32333,Kevin Tway,79.0,1818,23
2023,0,55708,Hayden Buckley,84.0,1512,18
2023,0,46970,Jon Rahm,85.2,1278,15
2023,0,51414,Brent Grant,94.5,1512,16
2023,0,55789,Taylor Montgomery,96.6,1836,19
2023,0,45242,Kevin Yu,98.3,1278,13
2023,0,32366,Kevin Chappell,100.8,1008,10
2023,0,51070,Vincent Norrman,102.0,1530,15
2023,0,58168,Davis Thompson,108.0,1728,16
2023,0,48867,Matti Schmid,109.4,1422,13
2023,0,28420,Ryan Brehm,110.6,1548,14
2023,0,59018,Ryan Gerard,111.6,1116,10
2023,0,48081,Xander Schauffele,112.2,1458,13
2023,0,29221,Webb Simpson,114.0,1026,9
2023,0,45157,Cam Davis,117.0,1638,14
2023,0,54628,Lee Hodges,120.4,1926,16
2023,0,34431,Robert Streb,121.5,1458,12
2023,0,46046,Scottie Scheffler,121.8,1584,13
2023,0,52374,Brandon Wu,121.8,2070,17
2023,0,22405,Justin Rose,122.4,1224,10
2023,0,36724,Augusto Núñez,127.5,1530,12
2023,0,40006,Erik van Rooyen,127.6,1404,11
2023,0,51766,Wyndham Clark,131.1,1836,14
2023,0,46717,Viktor Hovland,132.0,1584,12
2023,0,56762,Will Gordon,133.2,1998,15
2023,0,24502,Adam Scott,136.0,1224,9
2023,0,56630,Akshay Bhatia,137.5,1512,11
2023,0,30692,Scott Stallings,137.5,1512,11
2023,0,29908,C.T. Pan,137.6,963,7
2023,0,52453,Nicolai Hojgaard,138.0,828,6
2023,0,27129,Luke List,138.5,1800,13
2023,0,33204,Shane Lowry,139.5,1116,8
2023,0,39977,Max Homa,140.7,1548,11
2023,0,35461,Beau Hossler,141.4,1980,14
2023,0,35617,Martin Trainer,141.8,1134,8
2023,0,23320,Ryan Palmer,142.2,1422,10
2023,0,54421,Garrick Higgo,142.6,1854,13
2023,0,48084,Wesley Bryan,144.0,864,6
2023,0,35532,Tom Hoge,144.0,1872,13
2023,0,46340,Alex Smalley,144.0,2016,14
2023,0,33448,Justin Thomas,144.0,1296,9
2023,0,33948,Byeong Hun An,145.4,1890,13
2023,0,45522,Christiaan Bezuidenhout,145.6,1602,11
2023,0,32662,Michael Gligic,146.0,1314,9
2023,0,35310,Lanto Griffin,146.6,1026,7
2023,0,55893,Sam Stevens,146.8,1908,13
2023,0,55182,Tom Kim,147.3,1620,11
2023,0,49771,J.T. Poston,150.0,1800,12
2023,0,55454,Carl Yuan,151.2,1512,10
2023,0,51491,Brandon Matthews,151.7,1062,7
2023,0,39335,Kevin Roy,152.0,1368,9
2023,0,47995,Davis Riley,153.0,1836,12
2023,0,45609,Tyler Duncan,153.8,1692,11
2023,0,51349,Nico Echavarria,156.0,1404,9
2023,0,34363,Tyrrell Hatton,156.0,1404,9
2023,0,35449,Adam Long,156.5,2034,13
2023,0,32102,Rickie Fowler,157.1,1728,11
2023,0,31202,William McGirt,159.0,954,6
2023,0,35506,Mackenzie Hughes,160.2,1602,10
2023,0,47504,Sam Burns,162.0,1458,9
2023,0,50525,Collin Morikawa,162.0,1458,9
2023,0,47993,Denny McCarthy,163.6,1800,11
2023,0,49453,Trevor Cone,164.0,1476,9
2023,0,40098,Matt Fitzpatrick,164.3,1314,8
2023,0,30926,Chris Kirk,165.6,1656,10
2023,0,51950,Max McGreevy,165.6,1656,10
2023,0,34610,Matthias Schwab,168.5,1854,11
2023,0,40115,Adam Svensson,168.9,2196,13
2023,0,39546,Keith Mitchell,169.2,1692,10
2023,0,39971,Sungjae Im,170.2,1872,11
2023,0,51890,Greyson Sigg,171.8,1890,11
2023,0,39997,Corey Conners,172.0,1548,9
2023,0,57362,Austin Eckroat,176.4,1764,10
2023,0,27974,Sung Kang,176.4,882,5
2023,0,47988,Nick Hardy,177.0,2124,12
2023,0,47079,Harrison Endycott,178.0,1602,9
2023,0,36871,Matt NeSmith,178.2,1782,10
2023,0,54591,Ben Griffin,178.5,2142,12
2023,0,22371,Aaron Baddeley,180.0,1440,8
2023,0,20229,Stewart Cink,180.0,1440,8
2023,0,25900,Lucas Glover,180.0,1800,10
2023,0,27554,Scott Harrington,180.0,1440,8
2023,0,37275,Sam Ryder,181.6,1998,11
2023,0,49947,Taylor Moore,181.8,1818,10
2023,0,36799,Stephan Jaeger,183.0,2196,12
2023,0,57975,Harry Hall,183.6,1836,10
2023,0,28252,Seamus Power,184.5,1476,8
2023,0,35450,Patrick Cantlay,185.1,1296,7
2023,0,39067,MJ Daffue,185.4,1854,10
2023,0,52375,Doug Ghim,186.0,1674,9
2023,0,31323,Gary Woodland,186.8,1494,8
2023,0,47591,Eric Cole,189.0,2268,12
2023,0,33597,Harry Higgs,189.0,1512,8
2023,0,46414,Aaron Rai,189.0,1890,10
2023,0,34466,Peter Malnati,190.0,1710,9
2023,0,28237,Rory McIlroy,192.0,1152,6
2023,0,39975,Michael Kim,194.0,1746,9
2023,0,27936,Martin Laird,198.0,1584,8
2023,0,47128,Richy Werenski,198.0,1782,9
2023,0,52513,Carson Young,198.0,1782,9
2023,0,50188,S.H. Kim,199.8,1998,10
2023,0,22056,Cameron Percy,201.0,1206,6
2023,0,52411,Kyle Westmoreland,203.1,1422,7
2023,0,29289,S.Y. Noh,204.0,1224,6
2023,0,30163,Henrik Norlander,204.8,1638,8
2023,0,34255,Joseph Bramlett,205.7,1440,7
2023,0,35901,Paul Haley II,207.0,1656,8
2023,0,49960,Sepp Straka,207.0,1656,8
2023,0,46441,Robby Shelton,208.0,1872,9
2023,0,34563,Chesson Hadley,211.5,1692,8
2023,0,28775,Nate Lashley,214.0,1926,9
2023,0,47347,Adam Schenk,214.2,2142,10
2023,0,34046,Jordan Spieth,216.0,1296,6
2023,0,48887,Matt Wallace,216.0,1512,7
2023,0,37338,Zecheng Dou,218.3,1746,8
2023,0,49298,Kramer Hickok,218.3,1746,8
2023,0,29535,Brice Garnett,221.1,1548,7
2023,0,30911,Tommy Fleetwood,222.0,1332,6
2023,0,25818,Scott Piercy,222.8,1782,8
2023,0,32839,Hideki Matsuyama,223.7,1566,7
2023,0,32757,Patton Kizzire,225.0,1800,8
2023,0,46442,Maverick McNealy,226.8,1134,5
2023,0,27095,Nick Watney,228.0,1368,6
2023,0,36699,Patrick Rodgers,229.5,1836,8
2023,0,35879,Kelly Kraft,231.4,1620,7
2023,0,36326,David Lipsky,231.8,1854,8
2023,0,36801,Mark Hubbard,232.0,2088,9
2023,0,40058,Zac Blair,234.0,1404,6
2023,0,52372,Cameron Champ,234.0,1404,6
2023,0,29970,Dylan Frittelli,234.0,1404,6
2023,0,23108,Matt Kuchar,234.0,1638,7
2023,0,19803,Ryan Armour,236.6,1656,7
2023,0,27349,Alex Noren,236.6,1656,7
2023,0,27644,Brian Harman,239.1,1674,7
2023,0,25493,Nick Taylor,239.1,1674,7
2023,0,32448,James Hahn,240.0,1440,6
2023,0,32139,Danny Willett,241.2,1206,5
2023,0,40162,Justin Lower,245.3,1962,8
2023,0,26476,Chez Reavie,246.9,1728,7
2023,0,26596,Ryan Moore,249.0,1494,6
2023,0,58967,Trevor Werbylo,249.0,1494,6
2023,0,29725,Tony Finau,252.0,1512,6
2023,0,39954,Cody Gribble,252.0,1260,5
2023,0,33653,Thomas Detry,254.6,1782,7
2023,0,48699,Callum Tarren,254.6,1782,7
2023,0,27963,Chris Stroud,256.5,1026,4
2023,0,50095,Austin Smotherman,257.1,1800,7
2023,0,25632,Jimmy Walker,258.0,1548,6
2023,0,47983,Chad Ramey,259.7,1818,7
2023,0,39324,J.J. Spaun,262.3,1836,7
2023,0,31560,Brian Stuard,262.8,1314,5
2023,0,33399,Adam Hadwin,264.0,1584,6
2023,0,24925,Jonathan Byrd,270.0,1080,4
2023,0,51634,Sahith Theegala,272.6,1908,7
2023,0,25686,Jason Dufner,273.0,1638,6
2023,0,32816,Satoshi Kodaira,283.5,1134,4
2023,0,29420,Billy Horschel,288.0,1152,4
2023,0,33410,Andrew Landry,288.0,1440,5
2023,0,27214,Kevin Streelman,288.0,1728,6
2023,0,34099,Harris English,291.0,1746,6
2023,0,40250,Taylor Pendrith,297.0,1782,6
2023,0,46435,Austin Cook,306.0,1530,5
2023,0,33413,Ben Martin,309.0,1854,6
2023,0,24140,Sean O'Hair,312.0,936,3
2023,0,32791,K.H. Lee,321.0,1926,6
2023,0,48117,Kurt Kitayama,324.0,1296,4
2023,0,34076,Joel Dahmen,331.2,1656,5
2023,0,32640,Troy Merritt,331.2,1656,5
2023,0,28089,Jason Day,360.0,1440,4
2023,0,37455,Si Woo Kim,360.0,1800,5
2023,0,12716,Charley Hoffman,364.5,1458,4
2023,0,39058,Lucas Herbert,372.0,1116,3
2023,0,30927,Brendon Todd,374.4,1872,5
2023,0,48119,Ben Taylor,381.6,1908,5
2023,0,54783,Dylan Wu,381.6,1908,5
2023,0,34256,Andrew Putnam,399.6,1998,5
2023,0,31646,Emiliano Grillo,406.8,2034,5
2023,0,33122,Russell Knox,410.4,2052,5
2023,0,33141,Keegan Bradley,492.0,1476,3
2023,0,34098,Russell Henley,504.0,1512,3
2023,0,50493,Justin Suh,513.0,2052,4
2023,0,57366,Cameron Young,516.0,1548,3
2023,0,34409,David Lingmerth,528.0,1584,3
2023,0,31577,Tano Goya,540.0,1620,3
2023,0,33408,Tyson Alexander,570.0,1710,3
2023,0,51997,Andrew Novak,570.0,1710,3
2023,0,24024,Zach Johnson,612.0,1224,2
2023,0,46601,Trey Mullinax,639.0,1278,2
2023,0,53165,Doc Redman,702.0,1404,2
2023,0,49766,Hank Lebioda,1098.0,1098,1
2023,0,31557,Jim Herman,1386.0,1386,1
2022,0,36699,Patrick Rodgers,72.9,1530,21
2022,0,46402,Talor Gooch,85.2,1278,15
2022,0,39971,Sungjae Im,88.0,1584,18
2022,0,46442,Maverick McNealy,88.0,1584,18
2022,0,22056,Cameron Percy,88.0,792,9
2022,0,27064,Jhonattan Vegas,99.0,1386,14
2022,0,36799,Stephan Jaeger,102.0,1530,15
2022,0,31323,Gary Woodland,103.5,1242,12
2022,0,45157,Cam Davis,105.4,1476,14
2022,0,36326,David Lipsky,105.6,1584,15
2022,0,30926,Chris Kirk,108.0,1512,14
2022,0,28237,Rory McIlroy,108.0,1080,10
2022,0,26300,Matt Jones,109.8,1098,10
2022,0,23621,Rory Sabbatini,110.0,990,9
2022,0,48084,Wesley Bryan,110.3,882,8
2022,0,36801,Mark Hubbard,111.3,1224,11
2022,0,48699,Callum Tarren,112.9,1242,11
2022,0,39977,Max Homa,113.5,1476,13
2022,0,46601,Trey Mullinax,113.5,1476,13
2022,0,33448,Justin Thomas,114.0,1368,12
2022,0,25818,Scott Piercy,115.5,1386,12
2022,0,33204,Shane Lowry,116.0,1044,9
2022,0,55708,Hayden Buckley,117.0,1638,14
2022,0,48081,Xander Schauffele,117.8,1296,11
2022,0,27129,Luke List,120.0,1440,12
2022,0,34046,Jordan Spieth,121.1,1332,11
2022,0,22405,Justin Rose,121.5,972,8
2022,0,37275,Sam Ryder,121.8,1584,13
2022,0,35891,Cameron Smith,124.0,1116,9
2022,0,28252,Seamus Power,127.6,1404,11
2022,0,32662,Michael Gligic,127.8,1278,10
2022,0,34264,Hudson Swafford,128.0,1152,9
2022,0,49964,Aaron Wise,129.0,1548,12
2022,0,26851,Marc Leishman,129.6,1296,10
2022,0,24502,Adam Scott,129.6,1296,10
2022,0,45486,Joaquin Niemann,130.9,1440,11
2022,0,47988,Nick Hardy,132.8,1062,8
2022,0,29221,Webb Simpson,132.8,1062,8
2022,0,29926,Danny Lee,133.7,936,7
2022,0,47856,Seth Reeves,134.0,1206,9
2022,0,45609,Tyler Duncan,134.2,1476,11
2022,0,57366,Cameron Young,134.2,1476,11
2022,0,51766,Wyndham Clark,134.3,1746,13
2022,0,35450,Patrick Cantlay,136.0,1224,9
2022,0,30944,Jason Kokrak,137.3,1098,8
2022,0,33667,Carlos Ortiz,137.3,1098,8
2022,0,54628,Lee Hodges,139.5,1674,12
2022,0,48117,Kurt Kitayama,140.0,1260,9
2022,0,32448,James Hahn,142.0,1278,9
2022,0,40250,Taylor Pendrith,142.0,1278,9
2022,0,53165,Doc Redman,142.2,1422,10
2022,0,52372,Cameron Champ,144.0,1008,7
2022,0,24980,Scott Gutschewski,144.0,1008,7
2022,0,32839,Hideki Matsuyama,144.0,1296,9
2022,0,33490,Bo Hoag,147.0,882,6
2022,0,32791,K.H. Lee,147.0,1764,12
2022,0,32757,Patton Kizzire,147.3,1620,11
2022,0,27139,David Skinns,148.5,1188,8
2022,0,32640,Troy Merritt,148.9,1638,11
2022,0,48822,Sebastián Muñoz,149.4,1494,10
2022,0,33419,Cameron Tringale,150.5,1656,11
2022,0,47995,Davis Riley,153.8,1692,11
2022,0,50525,Collin Morikawa,154.3,1080,7
2022,0,29974,Branden Grace,156.0,936,6
2022,0,34098,Russell Henley,156.0,1404,9
2022,0,51634,Sahith Theegala,156.5,2034,13
2022,0,30692,Scott Stallings,157.1,1728,11
2022,0,29420,Billy Horschel,157.5,1260,8
2022,0,46717,Viktor Hovland,157.5,1260,8
2022,0,46970,Jon Rahm,157.5,1260,8
2022,0,49771,J.T. Poston,158.4,1584,10
2022,0,33597,Harry Higgs,160.0,1440,9
2022,0,27644,Brian Harman,163.8,1638,10
2022,0,49298,Kramer Hickok,163.8,1638,10
2022,0,34363,Tyrrell Hatton,164.6,1152,7
2022,0,10381,Curtis Thompson,164.6,1152,7
2022,0,36689,Brooks Koepka,165.6,828,5
2022,0,34431,Robert Streb,166.0,1494,9
2022,0,52374,Brandon Wu,166.5,1332,8
2022,0,29970,Dylan Frittelli,167.4,1674,10
2022,0,46340,Alex Smalley,167.4,1674,10
2022,0,31646,Emiliano Grillo,168.0,1512,9
2022,0,46046,Scottie Scheffler,168.0,1512,9
2022,0,29478,Kevin Kisner,169.7,1188,7
2022,0,27936,Martin Laird,169.7,1188,7
2022,0,51894,Vince Whaley,170.0,1530,9
2022,0,28089,Jason Day,171.0,1026,6
2022,0,51997,Andrew Novak,171.0,1368,8
2022,0,20229,Stewart Cink,173.3,1386,8
2022,0,32333,Kevin Tway,173.3,1386,8
2022,0,39997,Corey Conners,174.0,1566,9
2022,0,45540,Jared Wolfe,177.0,1062,6
2022,0,37189,Harold Varner III,177.4,1242,7
2022,0,46414,Aaron Rai,178.0,1602,9
2022,0,33141,Keegan Bradley,180.0,1440,8
2022,0,40098,Matt Fitzpatrick,180.0,1260,7
2022,0,35461,Beau Hossler,180.0,1260,7
2022,0,37212,Paul Barjon,182.6,1278,7
2022,0,32816,Satoshi Kodaira,183.6,918,5
2022,0,40162,Justin Lower,185.1,1296,7
2022,0,34256,Andrew Putnam,188.0,1692,9
2022,0,36884,Ben Kohles,189.0,1134,6
2022,0,30978,Kiradech Aphibarnrat,190.8,954,5
2022,0,39546,Keith Mitchell,193.5,1548,8
2022,0,47483,Will Zalatoris,195.4,1368,7
2022,0,32366,Kevin Chappell,198.0,990,5
2022,0,47993,Denny McCarthy,200.0,1800,9
2022,0,40115,Adam Svensson,200.0,1800,9
2022,0,33122,Russell Knox,200.3,1602,8
2022,0,47529,Mito Pereira,200.3,1602,8
2022,0,46550,Brandon Hagy,200.6,1404,7
2022,0,35617,Martin Trainer,200.6,1404,7
2022,0,23320,Ryan Palmer,201.0,1206,6
2022,0,30911,Tommy Fleetwood,201.6,1008,5
2022,0,27974,Sung Kang,205.7,1440,7
2022,0,45526,Abraham Ancer,208.8,1044,5
2022,0,34610,Matthias Schwab,210.0,1260,6
2022,0,35506,Mackenzie Hughes,210.9,1476,7
2022,0,56278,Matthew Wolff,211.5,846,4
2022,0,27649,Brandt Snedeker,212.4,1062,5
2022,0,32102,Rickie Fowler,213.0,1278,6
2022,0,52375,Doug Ghim,216.0,1512,7
2022,0,31420,Anirban Lahiri,216.0,1296,6
2022,0,32150,Michael Thompson,216.0,1512,7
2022,0,40006,Erik van Rooyen,216.0,864,4
2022,0,26476,Chez Reavie,218.6,1530,7
2022,0,47983,Chad Ramey,219.0,1314,6
2022,0,29518,Brendan Steele,219.0,1314,6
2022,0,29725,Tony Finau,221.1,1548,7
2022,0,34174,John Huh,222.0,1332,6
2022,0,24361,Pat Perez,223.2,1116,5
2022,0,28114,Dawie van der Walt,223.2,1116,5
2022,0,47128,Richy Werenski,226.8,1134,5
2022,0,28775,Nate Lashley,228.0,1368,6
2022,0,27095,Nick Watney,228.0,1368,6
2022,0,36852,Jim Knous,229.5,918,4
2022,0,50095,Austin Smotherman,231.0,1386,6
2022,0,35310,Lanto Griffin,234.0,1404,6
2022,0,45522,Christiaan Bezuidenhout,240.0,1440,6
2022,0,47504,Sam Burns,240.0,1440,6
2022,0,34563,Chesson Hadley,240.0,1440,6
2022,0,54783,Dylan Wu,241.2,1206,5
2022,0,39324,J.J. Spaun,244.3,1710,7
2022,0,35532,Tom Hoge,246.9,1728,7
2022,0,46435,Austin Cook,248.4,1242,5
2022,0,35879,Kelly Kraft,248.4,1242,5
2022,0,27770,Camilo Villegas,248.4,1242,5
2022,0,37455,Si Woo Kim,252.0,1764,7
2022,0,48887,Matt Wallace,252.0,1008,4
2022,0,24925,Jonathan Byrd,256.5,1026,4
2022,0,30163,Henrik Norlander,259.2,1296,5
2022,0,27214,Kevin Streelman,264.0,1584,6
2022,0,25493,Nick Taylor,264.0,1584,6
2022,0,34466,Peter Malnati,264.9,1854,7
2022,0,34255,Joseph Bramlett,291.6,1458,5
2022,0,27895,Jonas Blixt,300.0,900,3
2022,0,39953,Chase Seiffert,306.0,918,3
2022,0,35449,Adam Long,316.8,1584,5
2022,0,25198,Francesco Molinari,318.0,954,3
2022,0,23108,Matt Kuchar,319.5,1278,4
2022,0,24924,Bill Haas,324.0,1620,5
2022,0,33399,Adam Hadwin,324.0,1620,5
2022,0,39058,Lucas Herbert,324.0,972,3
2022,0,51890,Greyson Sigg,324.0,1620,5
2022,0,36871,Matthew NeSmith,331.2,1656,5
2022,0,25900,Lucas Glover,334.8,1674,5
2022,0,29535,Brice Garnett,346.5,1386,4
2022,0,35110,Brett Drewitt,348.0,1044,3
2022,0,54421,Garrick Higgo,348.0,1044,3
2022,0,49766,Hank Lebioda,360.0,1440,4
2022,0,49947,Taylor Moore,378.0,1512,4
2022,0,29289,S.Y. Noh,378.0,1134,3
