YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
2024,0,34255,Joseph Bramlett,52.94%,63,119,27.0
2024,0,28420,Ryan Brehm,52.81%,47,89,29.0
2024,0,29535,Brice Garnett,52.73%,29,55,15.0
2024,0,46442,Maverick McNealy,52.54%,62,118,37.0
2024,0,40058,Zac Blair,52.42%,65,124,38.0
2024,0,27330,Josh Teater,52.38%,33,63,28.0
2024,0,37378,Min Woo Lee,52.25%,58,111,35.0
2024,0,40250,Taylor Pendrith,52.25%,58,111,39.0
2024,0,33399,Adam Hadwin,52.21%,71,136,45.0
2024,0,59836,Pierceson Coody,52.13%,49,94,33.0
2024,0,45609,Tyler Duncan,52.13%,49,94,34.0
2024,0,51890,Greyson Sigg,51.72%,60,116,26.0
2024,0,27649,Brandt Snedeker,51.69%,46,89,37.0
2024,0,29936,Ryan Fox,51.67%,62,120,35.0
2024,0,51287,Ryo Hisatsune,51.52%,51,99,18.0
2024,0,34374,Erik Barnes,51.47%,35,68,31.0
2024,0,29908,C.T. Pan,51.39%,37,72,28.0
2024,0,47679,Victor Perez,51.14%,45,88,30.0
2024,0,57900,Chandler Phillips,50.94%,54,106,31.0
2024,0,50095,Austin Smotherman,50.88%,29,57,18.0
2024,0,47988,Nick Hardy,50.85%,60,118,35.0
2024,0,36884,Ben Kohles,50.85%,60,118,49.0
2024,0,30926,Chris Kirk,50.74%,69,136,47.0
2024,0,29478,Kevin Kisner,50.59%,43,85,36.0
2024,0,34076,Joel Dahmen,50.45%,56,111,36.0
2024,0,33408,Tyson Alexander,50.43%,59,117,39.0
2024,0,59866,Nick Dunlap,50.00%,46,92,37.0
2024,0,32640,Troy Merritt,50.00%,47,94,39.0
2024,0,48153,Matthieu Pavon,50.00%,46,92,43.0
2024,0,46414,Aaron Rai,50.00%,51,102,31.0
2024,0,46340,Alex Smalley,50.00%,47,94,27.0
2024,0,48699,Callum Tarren,50.00%,43,86,27.0
2024,0,48319,Tom Whitney,50.00%,48,96,39.0
2024,0,54421,Garrick Higgo,49.46%,46,93,29.0
2024,0,27644,Brian Harman,49.32%,72,146,57.0
2024,0,39997,Corey Conners,49.30%,70,142,46.0
2024,0,49960,Sepp Straka,49.11%,55,112,50.0
2024,0,45242,Kevin Yu,48.94%,46,94,30.0
2024,0,46113,Ryan McCormick,48.81%,41,84,41.0
2024,0,50497,Adrien Dumont de Chassart,48.45%,47,97,42.0
2024,0,36799,Stephan Jaeger,48.09%,63,131,40.0
2024,0,52453,Nicolai Højgaard,47.83%,33,69,26.0
2024,0,27139,David Skinns,47.83%,55,115,39.0
2024,0,59442,Parker Coody,47.56%,39,82,32.0
2024,0,54576,Patrick Fishburn,46.67%,35,75,13.0
2024,0,46717,Viktor Hovland,46.59%,41,88,34.0
2024,0,59095,Chris Gotterup,46.46%,46,99,26.0
2024,0,48084,Wesley Bryan,46.30%,25,54,19.0
2024,0,51696,Rico Hoey,46.15%,48,104,30.0
2024,0,40026,Daniel Berger,46.08%,47,102,23.0
2024,0,36326,David Lipsky,46.07%,41,89,37.0
2024,0,56149,Wilson Furr,45.90%,28,61,20.0
2024,0,38991,Alejandro Tosti,45.28%,48,106,55.0
2024,0,52372,Cameron Champ,44.94%,40,89,35.0
2024,0,31323,Gary Woodland,44.79%,43,96,52.0
2024,0,47663,Kevin Dougherty,44.57%,41,92,36.0
2024,0,27064,Jhonattan Vegas,44.19%,38,86,22.0
2024,0,26596,Ryan Moore,43.82%,39,89,33.0
2024,0,27129,Luke List,43.40%,46,106,44.0
2024,0,32367,Jorge Campillo,41.89%,31,74,29.0
2024,0,60767,Blaine Hale Jr.,41.82%,23,55,23.0
2024,0,52514,Trace Crowe,39.51%,32,81,40.0
2024,0,35310,Lanto Griffin,34.38%,33,96,52.0
2024,0,51070,Vincent Norrman,30.88%,21,68,29.0
2023,0,23108,Matt Kuchar,68.00%,85,125,22.0
2023,0,22405,Justin Rose,65.93%,60,91,19.0
2023,0,27644,Brian Harman,64.46%,78,121,29.0
2023,0,39971,Sungjae Im,61.90%,91,147,25.0
2023,0,27974,Sung Kang,61.43%,43,70,14.0
2023,0,33948,Byeong Hun An,61.29%,95,155,23.0
2023,0,46441,Robby Shelton,61.03%,83,136,21.0
2023,0,30927,Brendon Todd,60.40%,90,149,44.0
2023,0,45522,Christiaan Bezuidenhout,60.33%,73,121,26.0
2023,0,31202,William McGirt,60.26%,47,78,20.0
2023,0,30926,Chris Kirk,59.85%,79,132,24.0
2023,0,58696,Peter Kuest,59.32%,35,59,8.0
2023,0,34256,Andrew Putnam,59.26%,96,162,33.0
2023,0,50188,S.H. Kim,59.24%,109,184,37.0
2023,0,37455,Si Woo Kim,59.07%,114,193,38.0
2023,0,54591,Ben Griffin,58.92%,109,185,29.0
2023,0,34046,Jordan Spieth,58.57%,82,140,20.0
2023,0,24140,Sean O'Hair,58.43%,52,89,28.0
2023,0,46717,Viktor Hovland,58.25%,60,103,18.0
2023,0,30911,Tommy Fleetwood,57.85%,70,121,19.0
2023,0,32139,Danny Willett,57.69%,60,104,29.0
2023,0,34409,David Lingmerth,57.59%,91,158,48.0
2023,0,24502,Adam Scott,57.43%,58,101,13.0
2023,0,46442,Maverick McNealy,57.28%,59,103,20.0
2023,0,40098,Matt Fitzpatrick,57.27%,63,110,22.0
2023,0,57975,Harry Hall,56.69%,72,127,38.0
2023,0,47504,Sam Burns,56.56%,69,122,42.0
2023,0,26596,Ryan Moore,56.56%,69,122,33.0
2023,0,51766,Wyndham Clark,56.49%,74,131,23.0
2023,0,56630,Akshay Bhatia,56.44%,57,101,18.0
2023,0,39324,J.J. Spaun,56.15%,73,130,20.0
2023,0,35310,Lanto Griffin,56.12%,55,98,16.0
2023,0,48081,Xander Schauffele,56.10%,69,123,28.0
2023,0,39975,Michael Kim,56.00%,70,125,28.0
2023,0,55454,Carl Yuan,55.86%,62,111,26.0
2023,0,31577,Tano Goya,55.73%,73,131,21.0
2023,0,45157,Cam Davis,55.71%,78,140,24.0
2023,0,33653,Thomas Detry,55.71%,78,140,41.0
2023,0,39977,Max Homa,55.56%,70,126,34.0
2023,0,40162,Justin Lower,55.56%,80,144,42.0
2023,0,54783,Dylan Wu,55.48%,81,146,14.0
2023,0,49771,J.T. Poston,55.47%,76,137,28.0
2023,0,52453,Nicolai Hojgaard,55.17%,32,58,9.0
2023,0,36699,Patrick Rodgers,55.10%,81,147,42.0
2023,0,32102,Rickie Fowler,55.04%,71,129,42.0
2023,0,51634,Sahith Theegala,55.00%,77,140,21.0
2023,0,47993,Denny McCarthy,54.93%,78,142,43.0
2023,0,47591,Eric Cole,54.89%,101,184,45.0
2023,0,34466,Peter Malnati,54.78%,86,157,42.0
2023,0,34563,Chesson Hadley,54.74%,75,137,36.0
2023,0,34076,Joel Dahmen,54.73%,81,148,44.0
2023,0,32839,Hideki Matsuyama,54.69%,70,128,50.0
2023,0,31560,Brian Stuard,54.68%,76,139,51.0
2023,0,46435,Austin Cook,54.29%,57,105,34.0
2023,0,25900,Lucas Glover,54.26%,70,129,40.0
2023,0,32816,Satoshi Kodaira,54.26%,51,94,15.0
2023,0,58168,Davis Thompson,54.26%,70,129,15.0
2023,0,27554,Scott Harrington,54.24%,64,118,32.0
2023,0,27349,Alex Noren,54.14%,72,133,36.0
