YEAR,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
2023,0,50493,Justin Suh,-120,4.66,1780.0
2023,0,51414,Brent Grant,-119,4.58,1410.0
2023,0,51997,Andrew Novak,-119,4.61,1540.0
2023,0,47983,Chad Ramey,-119,4.64,1640.0
2023,0,27554,Scott Harrington,-117,4.58,1390.0
2023,0,49298,Kramer Hickok,-117,4.63,1570.0
2023,0,35532,Tom Hoge,-117,4.64,1610.0
2023,0,46717,Viktor Hovland,-117,4.56,1320.0
2023,0,37455,Si Woo Kim,-117,4.61,1490.0
2023,0,46441,Robby Shelton,-117,4.66,1730.0
2023,0,57362,Austin Eckroat,-115,4.64,1590.0
2023,0,26596,Ryan Moore,-115,4.59,1390.0
2023,0,47995,Davis Riley,-115,4.65,1620.0
2023,0,48081,Xander Schauffele,-115,4.54,1240.0
2023,0,39977,Max Homa,-114,4.57,1340.0
2023,0,30163,Henrik Norlander,-114,4.63,1550.0
2023,0,33653,Thomas Detry,-113,4.65,1600.0
2023,0,27936,Martin Laird,-113,4.62,1480.0
2023,0,40006,Erik van Rooyen,-113,4.57,1325.0
2023,0,36871,Matt NeSmith,-112,4.64,1550.0
2023,0,36724,Augusto Núñez,-112,4.61,1440.0
2023,0,34255,Joseph Bramlett,-110,4.59,1330.0
2023,0,32839,Hideki Matsuyama,-110,4.6,1370.0
2023,0,25818,Scott Piercy,-110,4.66,1635.0
2023,0,55454,Carl Yuan,-110,4.6,1380.0
2023,0,39335,Kevin Roy,-109,4.58,1290.0
2023,0,25632,Jimmy Walker,-109,4.61,1400.0
2023,0,49453,Trevor Cone,-108,4.62,1410.0
2023,0,25900,Lucas Glover,-108,4.66,1600.0
2023,0,33399,Adam Hadwin,-108,4.61,1380.0
2023,0,39975,Michael Kim,-108,4.65,1560.0
2023,0,33122,Russell Knox,-108,4.71,1840.0
2023,0,35879,Kelly Kraft,-108,4.63,1455.0
2023,0,33141,Keegan Bradley,-107,4.58,1270.0
2023,0,34099,Harris English,-107,4.62,1420.0
2023,0,34563,Chesson Hadley,-107,4.65,1520.0
2023,0,34046,Jordan Spieth,-107,4.52,1120.0
2023,0,33448,Justin Thomas,-107,4.54,1170.0
2023,0,47079,Harrison Endycott,-106,4.64,1480.0
2023,0,33597,Harry Higgs,-106,4.63,1430.0
2023,0,48119,Ben Taylor,-106,4.69,1700.0
2023,0,27129,Luke List,-105,4.69,1680.0
2023,0,23320,Ryan Palmer,-105,4.58,1260.0
2023,0,48867,Matti Schmid,-105,4.61,1360.0
2023,0,34610,Matthias Schwab,-105,4.69,1670.0
2023,0,52513,Carson Young,-105,4.67,1600.0
2023,0,39997,Corey Conners,-104,4.59,1260.0
2023,0,47993,Denny McCarthy,-104,4.65,1490.0
2023,0,39546,Keith Mitchell,-104,4.65,1500.0
2023,0,49960,Sepp Straka,-104,4.63,1390.0
2023,0,40058,Zac Blair,-103,4.58,1230.0
2023,0,40098,Matt Fitzpatrick,-103,4.54,1120.0
2023,0,25686,Jason Dufner,-102,4.67,1550.0
2023,0,32640,Troy Merritt,-102,4.66,1500.0
2023,0,34098,Russell Henley,-101,4.58,1210.0
2023,0,30926,Chris Kirk,-101,4.64,1420.0
2023,0,31323,Gary Woodland,-101,4.62,1345.0
2023,0,28420,Ryan Brehm,-100,4.65,1410.0
2023,0,46435,Austin Cook,-100,4.66,1470.0
2023,0,34431,Robert Streb,-100,4.61,1290.0
2023,0,34076,Joel Dahmen,-99,4.66,1470.0
2023,0,45242,Kevin Yu,-99,4.56,1130.0
2023,0,34409,David Lingmerth,-98,4.65,1405.0
2023,0,33408,Tyson Alexander,-97,4.69,1550.0
2023,0,47504,Sam Burns,-97,4.61,1255.0
2023,0,30911,Tommy Fleetwood,-97,4.56,1090.0
2023,0,30692,Scott Stallings,-97,4.65,1390.0
2023,0,58967,Trevor Werbylo,-97,4.66,1425.0
2023,0,29535,Brice Garnett,-96,4.68,1480.0
2023,0,52411,Kyle Westmoreland,-96,4.64,1350.0
2023,0,34363,Tyrrell Hatton,-95,4.6,1180.0
2023,0,27214,Kevin Streelman,-95,4.7,1580.0
2023,0,28089,Jason Day,-94,4.62,1230.0
2023,0,12716,Charley Hoffman,-94,4.65,1340.0
2023,0,28252,Seamus Power,-94,4.64,1290.0
2023,0,20229,Stewart Cink,-93,4.64,1280.0
2023,0,35901,Paul Haley II,-93,4.7,1550.0
2023,0,51950,Max McGreevy,-93,4.7,1530.0
2023,0,45522,Christiaan Bezuidenhout,-92,4.67,1400.0
2023,0,59018,Ryan Gerard,-92,4.56,1050.0
2023,0,52372,Cameron Champ,-91,4.64,1260.0
2023,0,22405,Justin Rose,-91,4.57,1060.0
