YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
2024,0,51634,Sahith Theegala,67.86%,1136,1674,-0.3
2024,0,37275,Sam Ryder,67.85%,916,1350,-0.32
2024,0,46717,Viktor Hovland,67.84%,696,1026,-0.33
2024,0,29908,C.T. Pan,67.80%,720,1062,-0.28
2024,0,52374,Brandon Wu,67.70%,987,1458,-0.28
2024,0,59095,Chris Gotterup,67.68%,865,1278,-0.28
2024,0,35532,Tom Hoge,67.66%,1230,1818,-0.32
2024,0,32791,K.H. Lee,67.66%,950,1404,-0.29
2024,0,33948,Byeong Hun An,67.63%,913,1350,-0.32
2024,0,45609,Tyler Duncan,67.62%,852,1260,-0.25
2024,0,40115,Adam Svensson,67.55%,1301,1926,-0.27
2024,0,49960,Sepp Straka,67.53%,936,1386,-0.27
2024,0,33486,Roger Sloan,67.34%,800,1188,-0.28
2024,0,30911,Tommy Fleetwood,67.29%,860,1278,-0.28
2024,0,33141,Keegan Bradley,67.09%,954,1422,-0.3
2024,0,50493,Justin Suh,67.04%,893,1332,-0.3
2024,0,40250,Taylor Pendrith,67.03%,917,1368,-0.34
2024,0,12716,Charley Hoffman,66.98%,844,1260,-0.32
2024,0,33204,Shane Lowry,66.98%,844,1260,-0.3
2024,0,32839,Hideki Matsuyama,66.74%,889,1332,-0.29
2024,0,51894,Vince Whaley,66.74%,865,1296,-0.32
2024,0,40058,Zac Blair,66.67%,984,1476,-0.26
2024,0,52514,Trace Crowe,66.50%,814,1224,-0.34
2024,0,56149,Wilson Furr,66.47%,682,1026,-0.27
2024,0,29420,Billy Horschel,66.45%,909,1368,-0.3
2024,0,23108,Matt Kuchar,66.44%,873,1314,-0.27
2024,0,48699,Callum Tarren,66.43%,837,1260,-0.26
2024,0,57975,Harry Hall,66.39%,956,1440,-0.35
2024,0,49947,Taylor Moore,66.39%,1183,1782,-0.29
2024,0,32367,Jorge Campillo,66.35%,621,936,-0.29
2024,0,24502,Adam Scott,66.35%,848,1278,-0.31
2024,0,27770,Camilo Villegas,66.28%,680,1026,-0.24
2024,0,31323,Gary Woodland,66.25%,954,1440,-0.29
2024,0,50497,Adrien Dumont de Chassart,66.22%,882,1332,-0.28
2024,0,24024,Zach Johnson,66.20%,572,864,-0.26
2024,0,57366,Cameron Young,66.19%,965,1458,-0.3
2024,0,57362,Austin Eckroat,66.17%,1072,1620,-0.3
2024,0,55182,Tom Kim,66.17%,941,1422,-0.3
2024,0,28420,Ryan Brehm,66.11%,714,1080,-0.24
2024,0,49771,J.T. Poston,66.08%,1011,1530,-0.31
2024,0,32640,Troy Merritt,66.07%,880,1332,-0.29
2024,0,59442,Parker Coody,66.06%,654,990,-0.26
2024,0,36799,Stephan Jaeger,66.03%,939,1422,-0.3
2024,0,56630,Akshay Bhatia,66.02%,1022,1548,-0.3
2024,0,52215,Robert MacIntyre,65.97%,855,1296,-0.3
2024,0,48153,Matthieu Pavon,65.96%,748,1134,-0.28
2024,0,29936,Ryan Fox,65.95%,926,1404,-0.31
2024,0,34099,Harris English,65.89%,1103,1674,-0.3
2024,0,31646,Emiliano Grillo,65.88%,1008,1530,-0.29
2024,0,34046,Jordan Spieth,65.87%,830,1260,-0.32
2024,0,27644,Brian Harman,65.84%,1031,1566,-0.31
2024,0,55708,Hayden Buckley,65.81%,841,1278,-0.25
2024,0,30926,Chris Kirk,65.80%,912,1386,-0.29
2024,0,28237,Rory McIlroy,65.70%,816,1242,-0.33
2024,0,33448,Justin Thomas,65.59%,791,1206,-0.31
2024,0,47420,Jake Knapp,65.41%,883,1350,-0.3
2024,0,37455,Si Woo Kim,65.40%,1036,1584,-0.31
2024,0,37378,Min Woo Lee,65.40%,777,1188,-0.3
2024,0,57900,Chandler Phillips,65.39%,977,1494,-0.33
2024,0,51766,Wyndham Clark,65.34%,788,1206,-0.37
2024,0,47483,Will Zalatoris,65.32%,776,1188,-0.25
2024,0,60767,Blaine Hale Jr.,65.28%,611,936,-0.27
2024,0,50525,Collin Morikawa,65.19%,927,1422,-0.34
2024,0,47347,Adam Schenk,65.16%,1079,1656,-0.28
2024,0,39971,Sungjae Im,65.13%,1020,1566,-0.32
2024,0,52453,Nicolai Højgaard,65.11%,668,1026,-0.26
2024,0,52666,Sami Valimaki,65.09%,703,1080,-0.31
2024,0,38991,Alejandro Tosti,65.06%,808,1242,-0.31
2024,0,32102,Rickie Fowler,65.01%,901,1386,-0.29
2024,0,34098,Russell Henley,64.99%,854,1314,-0.31
2024,0,33399,Adam Hadwin,64.91%,923,1422,-0.3
2024,0,25493,Nick Taylor,64.79%,968,1494,-0.27
2024,0,47504,Sam Burns,64.69%,850,1314,-0.37
2024,0,46441,Robby Shelton,64.69%,885,1368,-0.3
2024,0,40098,Matt Fitzpatrick,64.40%,823,1278,-0.31
2024,0,47995,Davis Riley,64.31%,845,1314,-0.31
2024,0,59866,Nick Dunlap,64.26%,775,1206,-0.33
2024,0,33968,Thorbjørn Olesen,63.77%,551,864,-0.3
2024,0,39977,Max Homa,63.71%,906,1422,-0.29
2024,0,48119,Ben Taylor,63.71%,711,1116,-0.27
2024,0,27649,Brandt Snedeker,63.70%,665,1044,-0.25
2024,0,35506,Mackenzie Hughes,63.68%,1089,1710,-0.33
2024,0,45157,Cam Davis,63.49%,880,1386,-0.31
2024,0,28089,Jason Day,63.45%,788,1242,-0.33
2024,0,22371,Aaron Baddeley,63.39%,833,1314,-0.28
2024,0,33653,Thomas Detry,63.35%,764,1206,-0.32
2024,0,22405,Justin Rose,63.30%,695,1098,-0.29
2024,0,23320,Ryan Palmer,63.23%,478,756,-0.24
2024,0,33408,Tyson Alexander,63.19%,853,1350,-0.3
2024,0,55454,Carl Yuan,63.11%,727,1152,-0.28
2024,0,35450,Patrick Cantlay,63.08%,738,1170,-0.32
2024,0,30927,Brendon Todd,63.08%,1124,1782,-0.29
2024,0,37212,Paul Barjon,63.00%,601,954,-0.28
2024,0,47591,Eric Cole,62.67%,1207,1926,-0.33
2024,0,47993,Denny McCarthy,62.64%,981,1566,-0.32
2024,0,29478,Kevin Kisner,62.35%,606,972,-0.24
2024,0,50188,S.H. Kim,62.17%,1175,1890,-0.34
2024,0,35617,Martin Trainer,62.11%,559,900,-0.25
2024,0,45522,Christiaan Bezuidenhout,62.06%,849,1368,-0.31
2024,0,29221,Webb Simpson,61.76%,567,918,-0.28
2024,0,34374,Erik Barnes,61.63%,599,972,-0.25
2024,0,34466,Peter Malnati,61.41%,829,1350,-0.27
2024,0,55789,Taylor Montgomery,60.49%,588,972,-0.31
2024,0,47806,Raul Pereda,57.33%,485,846,-0.24
2023,0,46046,Scottie Scheffler,74.43%,1179,1584,-0.32
2023,0,58696,Peter Kuest,73.79%,611,828,-0.32
2023,0,52955,Ludvig Åberg,73.33%,660,900,-0.35
2023,0,45242,Kevin Yu,72.61%,928,1278,-0.3
2023,0,33122,Russell Knox,71.69%,1471,2052,-0.24
2023,0,52375,Doug Ghim,71.51%,1197,1674,-0.27
2023,0,50525,Collin Morikawa,70.99%,1035,1458,-0.3
2023,0,56762,Will Gordon,70.82%,1415,1998,-0.29
2023,0,45609,Tyler Duncan,70.80%,1198,1692,-0.27
2023,0,27129,Luke List,70.78%,1274,1800,-0.28
2023,0,56630,Akshay Bhatia,70.63%,1068,1512,-0.3
2023,0,39324,J.J. Spaun,70.53%,1295,1836,-0.26
2023,0,29908,C.T. Pan,70.51%,679,963,-0.26
2023,0,25900,Lucas Glover,70.50%,1269,1800,-0.28
2023,0,46970,Jon Rahm,70.50%,901,1278,-0.34
2023,0,36799,Stephan Jaeger,70.49%,1548,2196,-0.3
2023,0,29535,Brice Garnett,70.48%,1091,1548,-0.26
2023,0,54783,Dylan Wu,70.39%,1343,1908,-0.28
2023,0,39997,Corey Conners,70.22%,1087,1548,-0.29
2023,0,53165,Doc Redman,69.94%,982,1404,-0.24
2023,0,35450,Patrick Cantlay,69.75%,904,1296,-0.34
2023,0,28775,Nate Lashley,69.73%,1343,1926,-0.3
2023,0,34256,Andrew Putnam,69.72%,1393,1998,-0.26
2023,0,49453,Trevor Cone,69.65%,1028,1476,-0.26
2023,0,27936,Martin Laird,69.63%,1103,1584,-0.27
2023,0,46414,Aaron Rai,69.63%,1316,1890,-0.27
2023,0,52513,Carson Young,69.58%,1240,1782,-0.28
2023,0,40250,Taylor Pendrith,69.53%,1239,1782,-0.27
2023,0,34098,Russell Henley,69.51%,1051,1512,-0.28
2023,0,55182,Tom Kim,69.51%,1126,1620,-0.32
2023,0,36871,Matt NeSmith,69.47%,1238,1782,-0.25
2023,0,26596,Ryan Moore,69.41%,1037,1494,-0.29
2023,0,22056,Cameron Percy,69.40%,837,1206,-0.24
2023,0,58168,Davis Thompson,69.39%,1199,1728,-0.3
2023,0,46340,Alex Smalley,69.35%,1398,2016,-0.28
2023,0,52372,Cameron Champ,69.30%,973,1404,-0.27
2023,0,34563,Chesson Hadley,69.27%,1172,1692,-0.3
2023,0,51890,Greyson Sigg,69.26%,1309,1890,-0.28
2023,0,32816,Satoshi Kodaira,69.14%,784,1134,-0.25
2023,0,29725,Tony Finau,69.11%,1045,1512,-0.3
2023,0,47988,Nick Hardy,69.11%,1468,2124,-0.29
2023,0,30163,Henrik Norlander,69.11%,1132,1638,-0.24
2023,0,19803,Ryan Armour,69.08%,1144,1656,-0.26
2023,0,51070,Vincent Norrman,69.02%,1056,1530,-0.3
2023,0,57366,Cameron Young,68.99%,1068,1548,-0.31
2023,0,52453,Nicolai Hojgaard,68.96%,571,828,-0.32
2023,0,49771,J.T. Poston,68.83%,1239,1800,-0.31
2023,0,27963,Chris Stroud,68.71%,705,1026,-0.24
2023,0,31577,Tano Goya,68.70%,1113,1620,-0.29
2023,0,55708,Hayden Buckley,68.65%,1038,1512,-0.27
2023,0,52374,Brandon Wu,68.65%,1421,2070,-0.3
2023,0,25686,Jason Dufner,68.62%,1124,1638,-0.25
2023,0,49298,Kramer Hickok,68.61%,1198,1746,-0.25
2023,0,32791,K.H. Lee,68.59%,1321,1926,-0.28
2023,0,48867,Matti Schmid,68.57%,975,1422,-0.31
2023,0,35310,Lanto Griffin,68.52%,703,1026,-0.24
2023,0,26476,Chez Reavie,68.52%,1184,1728,-0.25
2023,0,36724,Augusto Núñez,68.50%,1048,1530,-0.24
2023,0,39335,Kevin Roy,68.49%,937,1368,-0.27
2023,0,48081,Xander Schauffele,68.45%,998,1458,-0.33
2023,0,51414,Brent Grant,68.39%,1034,1512,-0.27
2023,0,12716,Charley Hoffman,68.38%,997,1458,-0.27
2023,0,40006,Erik van Rooyen,68.38%,960,1404,-0.3
2023,0,34255,Joseph Bramlett,68.33%,984,1440,-0.29
2023,0,32448,James Hahn,68.33%,984,1440,-0.26
2023,0,49960,Sepp Straka,68.24%,1130,1656,-0.29
2023,0,33413,Ben Martin,68.23%,1265,1854,-0.29
2023,0,36801,Mark Hubbard,68.20%,1424,2088,-0.28
2023,0,46717,Viktor Hovland,68.18%,1080,1584,-0.34
2023,0,39975,Michael Kim,68.16%,1190,1746,-0.26
2023,0,32102,Rickie Fowler,68.11%,1177,1728,-0.31
2023,0,32366,Kevin Chappell,68.06%,686,1008,-0.29
2023,0,31646,Emiliano Grillo,67.99%,1383,2034,-0.28
2023,0,40115,Adam Svensson,67.94%,1492,2196,-0.29
2023,0,31323,Gary Woodland,67.94%,1015,1494,-0.25
2023,0,23320,Ryan Palmer,67.93%,966,1422,-0.3
2023,0,32333,Kevin Tway,67.93%,1235,1818,-0.27
2023,0,23108,Matt Kuchar,67.89%,1112,1638,-0.29
2023,0,28237,Rory McIlroy,67.88%,782,1152,-0.33
2023,0,45157,Cam Davis,67.77%,1110,1638,-0.29
2023,0,51766,Wyndham Clark,67.76%,1244,1836,-0.33
2023,0,47347,Adam Schenk,67.74%,1451,2142,-0.26
2023,0,39546,Keith Mitchell,67.73%,1146,1692,-0.29
2023,0,48699,Callum Tarren,67.68%,1206,1782,-0.29
2023,0,27644,Brian Harman,67.62%,1132,1674,-0.3
2023,0,33399,Adam Hadwin,67.61%,1071,1584,-0.3
2023,0,37338,Zecheng Dou,67.58%,1180,1746,-0.28
2023,0,49766,Hank Lebioda,67.58%,742,1098,-0.23
2023,0,39954,Cody Gribble,67.54%,851,1260,-0.27
2023,0,36326,David Lipsky,67.48%,1251,1854,-0.27
2023,0,31557,Jim Herman,67.46%,935,1386,-0.21
2023,0,55893,Sam Stevens,67.45%,1287,1908,-0.28
2023,0,35532,Tom Hoge,67.36%,1261,1872,-0.32
2023,0,57362,Austin Eckroat,67.35%,1188,1764,-0.28
2023,0,55454,Carl Yuan,67.26%,1017,1512,-0.3
2023,0,27974,Sung Kang,67.23%,593,882,-0.28
2023,0,34076,Joel Dahmen,67.09%,1111,1656,-0.25
2023,0,51997,Andrew Novak,67.08%,1147,1710,-0.27
2023,0,33141,Keegan Bradley,67.07%,990,1476,-0.32
2023,0,39067,MJ Daffue,66.99%,1242,1854,-0.3
2023,0,35879,Kelly Kraft,66.98%,1085,1620,-0.28
2023,0,47993,Denny McCarthy,66.94%,1205,1800,-0.3
2023,0,54591,Ben Griffin,66.90%,1433,2142,-0.3
2023,0,54421,Garrick Higgo,66.88%,1240,1854,-0.3
2023,0,35461,Beau Hossler,66.87%,1324,1980,-0.31
2023,0,39977,Max Homa,66.86%,1035,1548,-0.34
2023,0,32839,Hideki Matsuyama,66.86%,1047,1566,-0.29
2023,0,47983,Chad Ramey,66.83%,1215,1818,-0.29
2023,0,37275,Sam Ryder,66.77%,1334,1998,-0.33
2023,0,28089,Jason Day,66.74%,961,1440,-0.31
2023,0,30926,Chris Kirk,66.67%,1104,1656,-0.29
2023,0,32757,Patton Kizzire,66.67%,1200,1800,-0.31
2023,0,29289,S.Y. Noh,66.67%,816,1224,-0.3
2023,0,27214,Kevin Streelman,66.61%,1151,1728,-0.25
2023,0,40162,Justin Lower,66.56%,1306,1962,-0.3
2023,0,24140,Sean O'Hair,66.56%,623,936,-0.26
2023,0,34431,Robert Streb,66.53%,970,1458,-0.26
2023,0,52411,Kyle Westmoreland,66.46%,945,1422,-0.26
2023,0,40058,Zac Blair,66.45%,933,1404,-0.27
2023,0,39971,Sungjae Im,66.45%,1244,1872,-0.32
2023,0,50095,Austin Smotherman,66.44%,1196,1800,-0.3
2023,0,57975,Harry Hall,66.39%,1219,1836,-0.32
2023,0,27554,Scott Harrington,66.39%,956,1440,-0.28
2023,0,34363,Tyrrell Hatton,66.38%,932,1404,-0.32
2023,0,50493,Justin Suh,66.33%,1361,2052,-0.31
2023,0,35449,Adam Long,66.32%,1349,2034,-0.29
2023,0,33204,Shane Lowry,66.31%,740,1116,-0.27
2023,0,47079,Harrison Endycott,66.23%,1061,1602,-0.26
2023,0,30927,Brendon Todd,66.19%,1239,1872,-0.31
2023,0,27349,Alex Noren,66.18%,1096,1656,-0.28
2023,0,20229,Stewart Cink,66.04%,951,1440,-0.29
2023,0,47995,Davis Riley,66.01%,1212,1836,-0.29
2023,0,30692,Scott Stallings,65.94%,997,1512,-0.25
2023,0,47591,Eric Cole,65.92%,1495,2268,-0.35
2023,0,37455,Si Woo Kim,65.89%,1186,1800,-0.29
2023,0,22405,Justin Rose,65.85%,806,1224,-0.31
2023,0,31202,William McGirt,65.83%,628,954,-0.28
2023,0,24024,Zach Johnson,65.77%,805,1224,-0.23
2023,0,24502,Adam Scott,65.77%,805,1224,-0.34
2023,0,22371,Aaron Baddeley,65.76%,947,1440,-0.3
2023,0,51349,Nico Echavarria,65.74%,923,1404,-0.28
2023,0,33448,Justin Thomas,65.74%,852,1296,-0.3
2023,0,36699,Patrick Rodgers,65.63%,1205,1836,-0.29
2023,0,35506,Mackenzie Hughes,65.61%,1051,1602,-0.3
2023,0,34610,Matthias Schwab,65.59%,1216,1854,-0.25
2023,0,25493,Nick Taylor,65.59%,1098,1674,-0.31
2023,0,54628,Lee Hodges,65.52%,1262,1926,-0.27
2023,0,46441,Robby Shelton,65.49%,1226,1872,-0.28
2023,0,28252,Seamus Power,65.45%,966,1476,-0.31
2023,0,32640,Troy Merritt,65.28%,1081,1656,-0.26
2023,0,33653,Thomas Detry,65.21%,1162,1782,-0.31
2023,0,24925,Jonathan Byrd,65.19%,704,1080,-0.25
2023,0,35617,Martin Trainer,65.17%,739,1134,-0.3
2023,0,46435,Austin Cook,65.16%,997,1530,-0.26
2023,0,25818,Scott Piercy,65.15%,1161,1782,-0.3
2023,0,40098,Matt Fitzpatrick,65.14%,856,1314,-0.3
2023,0,45522,Christiaan Bezuidenhout,65.11%,1043,1602,-0.29
2023,0,59018,Ryan Gerard,65.05%,726,1116,-0.3
2023,0,51634,Sahith Theegala,64.94%,1239,1908,-0.33
2023,0,48084,Wesley Bryan,64.93%,561,864,-0.28
2023,0,35901,Paul Haley II,64.79%,1073,1656,-0.26
2023,0,48119,Ben Taylor,64.78%,1236,1908,-0.27
2023,0,33597,Harry Higgs,64.68%,978,1512,-0.31
2023,0,48887,Matt Wallace,64.62%,977,1512,-0.26
2023,0,34099,Harris English,64.60%,1128,1746,-0.27
2023,0,30911,Tommy Fleetwood,64.56%,860,1332,-0.32
2023,0,28420,Ryan Brehm,64.53%,999,1548,-0.27
2023,0,51491,Brandon Matthews,64.41%,684,1062,-0.25
2023,0,32662,Michael Gligic,64.16%,843,1314,-0.24
2023,0,49947,Taylor Moore,64.14%,1166,1818,-0.28
2023,0,33948,Byeong Hun An,64.13%,1212,1890,-0.32
2023,0,58967,Trevor Werbylo,64.12%,958,1494,-0.25
2023,0,25632,Jimmy Walker,64.08%,992,1548,-0.26
2023,0,29420,Billy Horschel,64.06%,738,1152,-0.27
2023,0,34046,Jordan Spieth,64.04%,830,1296,-0.3
2023,0,33410,Andrew Landry,64.03%,922,1440,-0.26
2023,0,33408,Tyson Alexander,63.86%,1092,1710,-0.27
2023,0,47504,Sam Burns,63.65%,928,1458,-0.33
2023,0,51950,Max McGreevy,63.59%,1053,1656,-0.26
2023,0,46601,Trey Mullinax,63.54%,812,1278,-0.25
2023,0,29221,Webb Simpson,63.45%,651,1026,-0.29
2023,0,27095,Nick Watney,63.45%,868,1368,-0.25
2023,0,50188,S.H. Kim,63.36%,1266,1998,-0.3
2023,0,48117,Kurt Kitayama,63.27%,820,1296,-0.27
2023,0,46442,Maverick McNealy,63.14%,716,1134,-0.3
2023,0,55789,Taylor Montgomery,62.96%,1156,1836,-0.37
2023,0,34466,Peter Malnati,62.81%,1074,1710,-0.3
2023,0,47128,Richy Werenski,62.79%,1119,1782,-0.31
2023,0,31560,Brian Stuard,62.40%,820,1314,-0.29
2023,0,39058,Lucas Herbert,62.10%,693,1116,-0.32
2023,0,32139,Danny Willett,61.19%,738,1206,-0.25
2023,0,34409,David Lingmerth,61.05%,967,1584,-0.27
2023,0,29970,Dylan Frittelli,59.62%,837,1404,-0.28
2022,0,46046,Scottie Scheffler,72.29,1093,1512,-0.33
2022,0,39997,Corey Conners,71.9,1126,1566,-0.27
2022,0,46970,Jon Rahm,71.59,902,1260,-0.3
2022,0,33122,Russell Knox,71.41,1144,1602,-0.24
2022,0,29725,Tony Finau,71.25,1103,1548,-0.3
2022,0,21961,Charles Howell III,70.99,690,972,-0.28
2022,0,34098,Russell Henley,70.94,996,1404,-0.3
2022,0,47483,Will Zalatoris,70.91,970,1368,-0.31
2022,0,39971,Sungjae Im,70.83,1122,1584,-0.29
2022,0,40250,Taylor Pendrith,70.66,903,1278,-0.28
2022,0,48081,Xander Schauffele,70.52,914,1296,-0.33
2022,0,28237,Rory McIlroy,69.91,755,1080,-0.34
2022,0,27129,Luke List,69.72,1004,1440,-0.24
2022,0,47529,Mito Pereira,69.6,1115,1602,-0.27
2022,0,55708,Hayden Buckley,69.54,1139,1638,-0.26
2022,0,46402,Talor Gooch,69.33,886,1278,-0.32
2022,0,29518,Brendan Steele,69.33,911,1314,-0.24
2022,0,35450,Patrick Cantlay,69.28,848,1224,-0.33
2022,0,52374,Brandon Wu,69.22,922,1332,-0.27
2022,0,54628,Lee Hodges,69.12,1157,1674,-0.26
2022,0,49964,Aaron Wise,69.06,1069,1548,-0.31
2022,0,34255,Joseph Bramlett,68.86,1004,1458,-0.25
2022,0,46414,Aaron Rai,68.79,1102,1602,-0.25
2022,0,27936,Martin Laird,68.77,817,1188,-0.24
2022,0,47988,Nick Hardy,68.74,730,1062,-0.28
2022,0,47504,Sam Burns,68.68,989,1440,-0.33
2022,0,28252,Seamus Power,68.66,964,1404,-0.3
2022,0,34610,Matthias Schwab,68.65,865,1260,-0.25
2022,0,45540,Jared Wolfe,68.64,729,1062,-0.25
2022,0,50525,Collin Morikawa,68.61,741,1080,-0.29
2022,0,36871,Matthew NeSmith,68.48,1134,1656,-0.25
2022,0,50095,Austin Smotherman,68.47,949,1386,-0.27
2022,0,24980,Scott Gutschewski,68.45,690,1008,-0.26
2022,0,33448,Justin Thomas,68.35,935,1368,-0.35
2022,0,36801,Mark Hubbard,68.3,836,1224,-0.31
2022,0,32839,Hideki Matsuyama,68.29,885,1296,-0.32
2022,0,25900,Lucas Glover,68.28,1143,1674,-0.25
2022,0,46340,Alex Smalley,68.28,1143,1674,-0.27
2022,0,20229,Stewart Cink,68.25,946,1386,-0.27
2022,0,49947,Taylor Moore,68.25,1032,1512,-0.28
2022,0,29420,Billy Horschel,68.17,859,1260,-0.28
2022,0,36699,Patrick Rodgers,68.17,1043,1530,-0.27
2022,0,30163,Henrik Norlander,68.13,883,1296,-0.24
2022,0,36326,David Lipsky,68.12,1079,1584,-0.28
2022,0,27064,Jhonattan Vegas,68.11,944,1386,-0.29
2022,0,51890,Greyson Sigg,68.09,1103,1620,-0.27
2022,0,35891,Cameron Smith,68.01,759,1116,-0.37
2022,0,31646,Emiliano Grillo,67.92,1027,1512,-0.3
2022,0,45486,Joaquin Niemann,67.92,978,1440,-0.31
2022,0,34076,Joel Dahmen,67.91,1039,1530,-0.28
2022,0,33204,Shane Lowry,67.91,709,1044,-0.28
2022,0,33399,Adam Hadwin,67.84,1099,1620,-0.28
2022,0,28775,Nate Lashley,67.69,926,1368,-0.3
2022,0,45609,Tyler Duncan,67.68,999,1476,-0.29
2022,0,24502,Adam Scott,67.67,877,1296,-0.31
2022,0,31557,Jim Herman,67.65,621,918,-0.22
2022,0,39546,Keith Mitchell,67.64,1047,1548,-0.29
2022,0,19803,Ryan Armour,67.56,608,900,-0.23
2022,0,36884,Ben Kohles,67.46,765,1134,-0.29
2022,0,33419,Cameron Tringale,67.45,1117,1656,-0.28
2022,0,40115,Adam Svensson,67.44,1214,1800,-0.3
