YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
2024,0,40006,Erik van Rooyen,45.0,171,380,+1.11
2024,0,32366,Kevin Chappell,45.1,107,237,+0.65
2024,0,49960,Sepp Straka,45.1,120,266,+1.83
2024,0,52666,Sami Valimaki,45.1,133,295,+2.11
2024,0,51997,Andrew Novak,45.2,185,409,+0.97
2024,0,34099,Harris English,45.3,168,371,+1.49
2024,0,36699,Patrick Rodgers,45.3,222,490,+0.90
2024,0,52215,Robert MacIntyre,45.4,161,355,+0.12
2024,0,47983,Chad Ramey,45.4,153,337,+1.50
2024,0,47806,Raul Pereda,45.5,101,222,+1.78
2024,0,34256,Andrew Putnam,45.5,157,345,+0.45
2024,0,46441,Robby Shelton,45.6,165,362,+1.82
2024,0,27214,Kevin Streelman,45.6,129,283,+1.86
2024,0,25900,Lucas Glover,45.9,147,320,+1.29
2024,0,46414,Aaron Rai,46.0,121,263,+0.91
2024,0,48119,Ben Taylor,46.0,155,337,+2.39
2024,0,59866,Nick Dunlap,46.1,178,386,+0.90
2024,0,50095,Austin Smotherman,46.1,88,191,E
2024,0,47504,Sam Burns,46.3,155,335,+1.42
2024,0,35310,Lanto Griffin,46.3,142,307,+2.04
2024,0,40115,Adam Svensson,46.3,217,469,+1.29
2024,0,33408,Tyson Alexander,46.8,178,380,+1.40
2024,0,29535,Brice Garnett,46.8,81,173,+2.59
2024,0,34076,Joel Dahmen,46.9,153,326,+0.92
2024,0,25493,Nick Taylor,46.9,179,382,+1.12
2024,0,54628,Lee Hodges,47.0,181,385,+2.76
2024,0,57366,Cameron Young,47.0,182,387,+1.26
2024,0,57362,Austin Eckroat,47.1,156,331,+1.99
2024,0,37455,Si Woo Kim,47.2,163,345,+1.04
2024,0,36871,Matt NeSmith,47.2,153,324,+2.29
2024,0,45157,Cam Davis,47.3,177,374,+1.98
2024,0,22371,Aaron Baddeley,47.4,161,340,+1.30
2024,0,30926,Chris Kirk,47.6,148,311,+1.15
2024,0,51890,Greyson Sigg,47.6,150,315,+1.20
2024,0,33968,Thorbjørn Olesen,47.9,115,240,+0.96
2024,0,52453,Nicolai Højgaard,48.0,135,281,+2.30
2024,0,29908,C.T. Pan,48.1,130,270,+1.46
2024,0,33948,Byeong Hun An,48.2,199,413,+0.70
2024,0,52955,Ludvig Åberg,48.4,162,335,+1.30
2024,0,60767,Blaine Hale Jr.,48.4,121,250,+1.49
2024,0,40250,Taylor Pendrith,48.4,194,401,+0.88
2024,0,38991,Alejandro Tosti,48.4,182,376,+0.27
2024,0,37275,Sam Ryder,48.6,144,296,+2.08
2024,0,60004,Jacob Bridgeman,48.7,167,343,+1.20
2024,0,27770,Camilo Villegas,48.7,129,265,+1.86
2024,0,34466,Peter Malnati,48.8,207,424,+1.79
2024,0,26476,Chez Reavie,49.0,124,253,+1.21
2024,0,47679,Victor Perez,49.1,164,334,+1.40
2024,0,48867,Matti Schmid,49.1,163,332,+1.60
2024,0,56630,Akshay Bhatia,49.2,181,368,+1.38
2024,0,52513,Carson Young,49.3,149,302,+0.54
2024,0,29936,Ryan Fox,49.4,212,429,+1.70
2024,0,28252,Seamus Power,49.4,202,409,+1.14
2024,0,55708,Hayden Buckley,49.5,138,279,+2.25
2024,0,39977,Max Homa,49.5,196,396,+1.68
2024,0,35506,Mackenzie Hughes,49.5,243,491,+0.66
2024,0,36799,Stephan Jaeger,49.5,182,368,+1.21
2024,0,31646,Emiliano Grillo,49.6,179,361,+0.95
2024,0,48319,Tom Whitney,49.6,123,248,+2.03
2024,0,55789,Taylor Montgomery,49.7,168,338,+0.83
2024,0,51349,Nico Echavarria,49.8,165,331,+2.85
2024,0,52372,Cameron Champ,50.2,126,251,+0.24
2024,0,36884,Ben Kohles,50.2,145,289,+2.34
2024,0,36326,David Lipsky,50.2,156,311,+2.76
2024,0,55893,Sam Stevens,50.2,226,450,+0.62
2024,0,50497,Adrien Dumont de Chassart,50.3,176,350,+2.16
2024,0,27349,Alex Noren,50.3,151,300,+0.66
2024,0,34255,Joseph Bramlett,50.6,213,421,+0.75
2024,0,45522,Christiaan Bezuidenhout,50.8,197,388,+1.93
2024,0,58168,Davis Thompson,50.9,205,403,+0.63
2024,0,39971,Sungjae Im,51.0,195,382,+1.03
2024,0,26596,Ryan Moore,51.0,133,261,+1.50
2024,0,48153,Matthieu Pavon,51.1,138,270,+1.30
2024,0,33141,Keegan Bradley,51.3,183,357,+1.37
2024,0,39975,Michael Kim,51.3,195,380,+1.03
2024,0,56149,Wilson Furr,51.4,144,280,+0.69
2024,0,57900,Chandler Phillips,51.4,188,366,+1.17
2024,0,55454,Carl Yuan,51.4,149,290,+1.95
2024,0,48084,Wesley Bryan,51.7,107,207,+0.28
2024,0,40162,Justin Lower,51.8,239,461,+1.34
2024,0,32333,Kevin Tway,52.0,127,244,+1.26
2024,0,27936,Martin Laird,52.2,168,322,+1.43
2024,0,33448,Justin Thomas,52.2,181,347,+1.38
2024,0,33399,Adam Hadwin,52.5,186,354,+2.04
2024,0,30927,Brendon Todd,52.5,197,375,+1.17
2024,0,27139,David Skinns,52.6,225,428,+2.04
2024,0,52514,Trace Crowe,52.7,149,283,+1.61
2024,0,46113,Ryan McCormick,52.8,153,290,+2.09
2024,0,47591,Eric Cole,52.9,290,548,+1.72
2024,0,34563,Chesson Hadley,52.9,183,346,+0.87
2024,0,28775,Nate Lashley,52.9,155,293,+1.48
2024,0,32791,K.H. Lee,52.9,176,333,+1.14
2024,0,59442,Parker Coody,53.1,163,307,+1.29
2024,0,40098,Matt Fitzpatrick,53.1,163,307,+1.78
2024,0,27129,Luke List,53.1,197,371,+1.57
2024,0,46046,Scottie Scheffler,53.5,146,273,+0.14
2024,0,60067,Joe Highsmith,53.6,165,308,+1.64
2024,0,51894,Vince Whaley,53.6,187,349,+0.80
2024,0,29725,Tony Finau,53.7,211,393,+0.57
2024,0,32070,Rafael Campos,53.8,136,253,+1.40
2024,0,27649,Brandt Snedeker,54.0,147,272,+2.18
2024,0,59143,Mac Meissner,54.1,177,327,+1.58
2024,0,27064,Jhonattan Vegas,54.2,182,336,+0.93
2024,0,33204,Shane Lowry,54.4,154,283,+0.78
2024,0,50188,S.H. Kim,54.7,283,517,+1.41
2024,0,35461,Beau Hossler,55.2,238,431,+1.05
2024,0,39546,Keith Mitchell,55.2,230,417,+0.96
2024,0,54783,Dylan Wu,55.2,202,366,+1.14
2024,0,28420,Ryan Brehm,55.3,147,266,+1.16
2024,0,47420,Jake Knapp,55.4,224,404,+1.61
2024,0,29221,Webb Simpson,55.6,150,270,+1.20
2024,0,32367,Jorge Campillo,55.8,125,224,+0.40
2024,0,27644,Brian Harman,55.9,193,345,+1.09
2024,0,57975,Harry Hall,56.1,226,403,+0.93
2024,0,23108,Matt Kuchar,56.3,179,318,+1.12
2024,0,48887,Matt Wallace,56.7,183,323,+0.05
2024,0,34587,Chan Kim,56.9,190,334,+1.21
2024,0,34374,Erik Barnes,57.2,158,276,+2.66
2024,0,35450,Patrick Cantlay,57.5,176,306,+0.28
2024,0,34098,Russell Henley,57.6,155,269,+1.87
2024,0,29420,Billy Horschel,58.3,197,338,+1.42
2024,0,23320,Ryan Palmer,60.3,111,184,+2.07
2024,0,47995,Davis Riley,60.5,240,397,+1.38
2024,0,52375,Doug Ghim,60.8,206,339,+0.97
2023,0,51950,Max McGreevy,33.4,123,368,3.01
2023,0,12716,Charley Hoffman,34.6,122,353,1.48
2023,0,31577,Tano Goya,35.1,124,353,2.26
2023,0,25818,Scott Piercy,36.5,142,389,1.27
2023,0,51491,Brandon Matthews,38.2,100,262,1.9
2023,0,52374,Brandon Wu,38.2,167,437,1.68
2023,0,47988,Nick Hardy,38.3,197,514,1.37
2023,0,55182,Tom Kim,38.7,128,331,1.72
2023,0,50493,Justin Suh,38.9,195,501,2.36
2023,0,47504,Sam Burns,39.0,166,426,2.35
2023,0,31560,Brian Stuard,39.4,102,259,1.57
2023,0,39058,Lucas Herbert,40.0,114,285,1.67
2023,0,27349,Alex Noren,40.2,174,433,1.03
2023,0,27936,Martin Laird,40.4,134,332,1.87
2023,0,40058,Zac Blair,40.5,115,284,2.43
2023,0,32139,Danny Willett,40.7,125,307,1.84
2023,0,51997,Andrew Novak,41.0,155,378,0.65
2023,0,55789,Taylor Montgomery,41.1,217,528,0.69
2023,0,33410,Andrew Landry,41.2,128,311,1.41
2023,0,36801,Mark Hubbard,41.3,193,467,1.61
2023,0,49947,Taylor Moore,41.4,195,471,1.49
2023,0,25632,Jimmy Walker,41.4,195,471,1.44
2023,0,45609,Tyler Duncan,41.5,149,359,1.74
2023,0,32662,Michael Gligic,41.5,141,340,1.49
2023,0,34256,Andrew Putnam,41.5,182,439,1.32
2023,0,34363,Tyrrell Hatton,41.7,148,355,0.34
2023,0,52453,Nicolai Hojgaard,42.0,92,219,1.3
2023,0,30692,Scott Stallings,42.0,162,386,1.3
2023,0,52411,Kyle Westmoreland,42.0,168,400,1.31
2023,0,33408,Tyson Alexander,42.1,191,454,1.2
2023,0,24502,Adam Scott,42.2,133,315,0.68
2023,0,33122,Russell Knox,42.4,192,453,1.82
2023,0,49771,J.T. Poston,42.4,189,446,0.48
2023,0,40115,Adam Svensson,42.4,219,516,1.19
2023,0,27963,Chris Stroud,42.5,96,226,0.73
2023,0,19803,Ryan Armour,42.6,115,270,2.0
2023,0,22371,Aaron Baddeley,42.6,147,345,0.14
2023,0,35532,Tom Hoge,43.2,204,472,1.27
2023,0,46442,Maverick McNealy,43.2,130,301,1.62
2023,0,37338,Zecheng Dou,43.4,205,472,2.0
2023,0,35310,Lanto Griffin,43.4,98,226,1.73
2023,0,51890,Greyson Sigg,43.4,205,472,1.12
2023,0,39997,Corey Conners,43.5,166,382,1.08
2023,0,26596,Ryan Moore,43.5,117,269,1.97
2023,0,54591,Ben Griffin,43.7,234,535,0.43
2023,0,51070,Vincent Norrman,43.7,155,355,2.26
2023,0,32366,Kevin Chappell,43.9,97,221,1.44
2023,0,32757,Patton Kizzire,43.9,212,483,1.27
2023,0,22056,Cameron Percy,43.9,98,223,1.12
2023,0,36724,Augusto Núñez,44.1,152,345,1.05
2023,0,51766,Wyndham Clark,44.2,219,495,0.5
2023,0,31557,Jim Herman,44.4,126,284,2.22
2023,0,29908,C.T. Pan,44.4,92,207,1.63
2023,0,46340,Alex Smalley,44.4,228,513,0.96
2023,0,33948,Byeong Hun An,44.8,245,547,0.61
2023,0,52513,Carson Young,44.8,161,359,1.8
2023,0,37455,Si Woo Kim,44.9,166,370,1.57
2023,0,34255,Joseph Bramlett,45.0,189,420,0.95
2023,0,23320,Ryan Palmer,45.1,147,326,1.7
2023,0,27974,Sung Kang,45.2,90,199,1.0
2023,0,33413,Ben Martin,45.2,190,420,0.63
2023,0,57362,Austin Eckroat,45.3,156,344,1.67
2023,0,46717,Viktor Hovland,45.3,153,338,0.78
2023,0,48117,Kurt Kitayama,45.3,155,342,2.13
2023,0,27554,Scott Harrington,45.4,163,359,0.86
2023,0,47983,Chad Ramey,45.4,210,463,1.67
2023,0,45522,Christiaan Bezuidenhout,45.5,185,407,1.35
2023,0,29970,Dylan Frittelli,45.6,185,406,2.22
2023,0,35450,Patrick Cantlay,45.8,130,284,0.77
2023,0,32102,Rickie Fowler,45.8,203,443,1.18
2023,0,45242,Kevin Yu,45.8,109,238,1.19
2023,0,39977,Max Homa,46.0,191,415,0.94
2023,0,39971,Sungjae Im,46.0,192,417,0.89
2023,0,32640,Troy Merritt,46.0,156,339,1.79
2023,0,28237,Rory McIlroy,46.2,162,351,0.06
2023,0,27214,Kevin Streelman,46.3,217,469,0.97
2023,0,52372,Cameron Champ,46.4,143,308,1.33
2023,0,32448,James Hahn,46.6,158,339,0.57
2023,0,58168,Davis Thompson,46.6,223,479,1.97
2023,0,32839,Hideki Matsuyama,46.7,176,377,0.68
2023,0,36699,Patrick Rodgers,46.8,240,513,1.42
2023,0,49960,Sepp Straka,46.9,168,358,1.55
2023,0,37275,Sam Ryder,47.0,247,526,1.82
2023,0,47347,Adam Schenk,47.2,275,583,1.13
2023,0,34610,Matthias Schwab,47.2,208,441,1.73
2023,0,24925,Jonathan Byrd,47.5,96,202,1.35
2023,0,34099,Harris English,47.6,197,414,1.37
2023,0,50188,S.H. Kim,47.6,266,559,0.23
2023,0,25493,Nick Taylor,47.6,198,416,0.66
2023,0,51634,Sahith Theegala,47.6,259,544,1.04
2023,0,35506,Mackenzie Hughes,47.7,203,426,1.08
2023,0,28252,Seamus Power,47.8,174,364,1.44
2023,0,49453,Trevor Cone,47.9,185,386,0.54
2023,0,51414,Brent Grant,47.9,140,292,2.07
2023,0,48119,Ben Taylor,47.9,271,566,0.63
2023,0,54628,Lee Hodges,48.0,219,456,1.69
2023,0,24024,Zach Johnson,48.1,125,260,2.24
2023,0,53165,Doc Redman,48.1,168,349,1.37
2023,0,46441,Robby Shelton,48.1,230,478,0.7
2023,0,48699,Callum Tarren,48.2,258,535,1.28
2023,0,33448,Justin Thomas,48.2,189,392,0.42
2023,0,31323,Gary Woodland,48.2,191,396,1.26
2023,0,45157,Cam Davis,48.3,215,445,0.84
2023,0,51349,Nico Echavarria,48.3,142,294,1.55
2023,0,32333,Kevin Tway,48.4,251,519,1.71
2023,0,57366,Cameron Young,48.4,180,372,2.72
2023,0,54421,Garrick Higgo,48.5,245,505,1.06
2023,0,34046,Jordan Spieth,48.6,178,366,1.4
2023,0,35449,Adam Long,48.8,189,387,1.53
2023,0,25686,Jason Dufner,48.9,196,401,2.04
2023,0,55893,Sam Stevens,48.9,230,470,0.87
2023,0,56762,Will Gordon,49.0,221,451,2.17
2023,0,24140,Sean O'Hair,49.0,73,149,0.96
2023,0,26476,Chez Reavie,49.0,203,414,2.17
2023,0,35901,Paul Haley II,49.1,169,344,2.37
2023,0,27095,Nick Watney,49.1,185,377,1.84
2023,0,59018,Ryan Gerard,49.2,130,264,0.54
2023,0,47993,Denny McCarthy,49.2,217,441,1.34
2023,0,58967,Trevor Werbylo,49.2,182,370,1.81
2023,0,20229,Stewart Cink,49.4,204,413,1.76
2023,0,34466,Peter Malnati,49.4,259,524,1.24
2023,0,31202,William McGirt,49.4,86,174,2.44
2023,0,29535,Brice Garnett,49.5,154,311,1.69
2023,0,40006,Erik van Rooyen,49.5,164,331,2.13
2023,0,46414,Aaron Rai,49.6,179,361,1.34
2023,0,33141,Keegan Bradley,49.7,181,364,1.71
2023,0,52955,Ludvig Åberg,49.8,108,217,0.28
2023,0,39067,MJ Daffue,50.0,215,430,0.84
2023,0,25900,Lucas Glover,50.0,177,354,0.79
2023,0,39335,Kevin Roy,50.0,156,312,1.41
2023,0,55708,Hayden Buckley,50.2,155,309,1.87
2023,0,55454,Carl Yuan,50.2,210,418,1.67
2023,0,46970,Jon Rahm,50.3,176,350,1.36
2023,0,39546,Keith Mitchell,50.4,186,369,1.83
2023,0,46601,Trey Mullinax,50.5,213,422,1.69
2023,0,50095,Austin Smotherman,50.6,213,421,1.55
2023,0,39324,J.J. Spaun,50.6,207,409,1.35
2023,0,33399,Adam Hadwin,50.9,203,399,2.02
2023,0,40250,Taylor Pendrith,50.9,254,499,0.75
2023,0,39975,Michael Kim,51.0,200,392,1.6
2023,0,36871,Matt NeSmith,51.0,209,410,1.29
2023,0,33204,Shane Lowry,51.1,144,282,1.94
2023,0,33653,Thomas Detry,51.2,194,379,1.86
2023,0,29725,Tony Finau,51.2,190,371,1.53
2023,0,36799,Stephan Jaeger,51.2,309,604,0.71
2023,0,29289,S.Y. Noh,51.4,149,290,2.28
2023,0,32816,Satoshi Kodaira,51.5,85,165,1.41
2023,0,30911,Tommy Fleetwood,51.6,162,314,1.23
2023,0,34098,Russell Henley,51.6,147,285,1.22
2023,0,50525,Collin Morikawa,51.6,133,258,2.78
2023,0,35617,Martin Trainer,51.6,127,246,1.65
2023,0,28089,Jason Day,51.7,170,329,1.65
2023,0,49298,Kramer Hickok,51.7,211,408,1.47
2023,0,34076,Joel Dahmen,51.8,192,371,1.56
2023,0,48084,Wesley Bryan,51.9,95,183,0.32
2023,0,54783,Dylan Wu,51.9,214,412,0.65
2023,0,40162,Justin Lower,52.1,235,451,1.4
2023,0,46435,Austin Cook,52.3,149,285,1.21
2023,0,30927,Brendon Todd,52.3,202,386,1.63
2023,0,56630,Akshay Bhatia,52.4,155,296,1.29
2023,0,35461,Beau Hossler,52.4,268,511,0.63
2023,0,23108,Matt Kuchar,52.5,210,400,1.19
2023,0,27129,Luke List,52.6,254,483,1.34
2023,0,28420,Ryan Brehm,53.0,248,468,1.69
2023,0,27644,Brian Harman,53.1,190,358,1.0
2023,0,34563,Chesson Hadley,53.4,237,444,0.8
2023,0,36326,David Lipsky,53.4,221,414,1.76
2023,0,30163,Henrik Norlander,53.7,189,352,1.69
2023,0,48081,Xander Schauffele,53.9,186,345,1.34
2023,0,33597,Harry Higgs,54.0,203,376,2.61
2023,0,57975,Harry Hall,54.2,246,454,1.14
2023,0,28775,Nate Lashley,54.3,240,442,1.29
2023,0,47995,Davis Riley,54.3,226,416,2.08
2023,0,49766,Hank Lebioda,54.4,130,239,2.0
2023,0,39954,Cody Gribble,54.6,149,273,1.14
2023,0,58696,Peter Kuest,54.6,106,194,0.09
2023,0,52375,Doug Ghim,54.7,180,329,1.11
2023,0,31646,Emiliano Grillo,55.1,253,459,1.86
2023,0,30926,Chris Kirk,55.1,227,412,1.01
2023,0,34431,Robert Streb,55.4,201,363,1.44
2023,0,48887,Matt Wallace,55.8,218,391,1.38
2023,0,32791,K.H. Lee,56.0,260,464,0.5
2023,0,29420,Billy Horschel,56.4,145,257,1.66
2023,0,47128,Richy Werenski,56.4,229,406,2.1
2023,0,40098,Matt Fitzpatrick,56.6,201,355,1.34
2023,0,47591,Eric Cole,56.9,379,666,0.32
2023,0,47079,Harrison Endycott,57.0,207,363,2.08
2023,0,35879,Kelly Kraft,57.1,202,354,1.98
2023,0,48867,Matti Schmid,57.1,160,280,0.94
2023,0,22405,Justin Rose,57.5,161,280,1.37
2023,0,34409,David Lingmerth,57.7,158,274,2.15
2023,0,29221,Webb Simpson,58.8,160,272,2.0
2023,0,46046,Scottie Scheffler,62.3,226,363,0.4
2022,0,35532,Tom Hoge,34.3,127,370,1.26
2022,0,12716,Charley Hoffman,35.5,130,366,2.31
2022,0,32662,Michael Gligic,35.6,109,306,1.47
2022,0,45526,Abraham Ancer,36.1,65,180,1.08
2022,0,26851,Marc Leishman,36.3,125,344,0.16
2022,0,36801,Mark Hubbard,36.6,97,265,1.44
2022,0,56278,Matthew Wolff,36.6,93,254,2.69
2022,0,47483,Will Zalatoris,36.8,118,321,-0.76
2022,0,25818,Scott Piercy,37.0,142,384,2.04
2022,0,29974,Branden Grace,37.6,80,213,2.0
2022,0,37455,Si Woo Kim,37.7,141,374,2.06
2022,0,30692,Scott Stallings,38.0,185,487,0.97
2022,0,51997,Andrew Novak,38.1,114,299,1.84
2022,0,32839,Hideki Matsuyama,38.8,113,291,0.71
2022,0,48084,Wesley Bryan,39.1,97,248,0.52
2022,0,47988,Nick Hardy,39.1,88,225,1.59
2022,0,49766,Hank Lebioda,39.5,138,349,2.03
2022,0,49298,Kramer Hickok,39.8,134,337,1.42
2022,0,31420,Anirban Lahiri,39.8,123,309,1.95
2022,0,48081,Xander Schauffele,39.8,99,249,0.3
2022,0,48117,Kurt Kitayama,40.0,102,255,0.98
2022,0,46970,Jon Rahm,40.2,102,254,0.49
2022,0,40162,Justin Lower,40.3,114,283,2.19
2022,0,33486,Roger Sloan,40.3,126,313,1.75
2022,0,39324,J.J. Spaun,40.3,147,365,1.5
2022,0,35310,Lanto Griffin,40.6,145,357,1.1
2022,0,39953,Chase Seiffert,40.6,69,170,1.16
2022,0,24024,Zach Johnson,40.7,112,275,1.96
2022,0,33122,Russell Knox,40.7,134,329,1.94
2022,0,45486,Joaquin Niemann,40.7,123,302,0.16
2022,0,27349,Alex Noren,40.9,103,252,0.78
2022,0,31560,Brian Stuard,41.2,108,262,2.04
2022,0,27936,Martin Laird,41.3,107,259,1.68
2022,0,47983,Chad Ramey,41.3,116,281,1.38
2022,0,49771,J.T. Poston,41.4,182,440,0.44
2022,0,32102,Rickie Fowler,41.8,132,316,2.5
2022,0,36689,Brooks Koepka,41.9,91,217,1.1
2022,0,24924,Bill Haas,42.0,166,395,0.36
2022,0,21961,Charles Howell III,42.4,100,236,1.4
2022,0,33448,Justin Thomas,42.4,140,330,0.36
2022,0,32757,Patton Kizzire,42.5,200,471,1.1
2022,0,34256,Andrew Putnam,42.5,150,353,2.13
2022,0,24502,Adam Scott,42.5,150,353,1.53
2022,0,37275,Sam Ryder,42.6,178,418,1.29
2022,0,52374,Brandon Wu,42.6,106,249,1.42
2022,0,45157,Cam Davis,42.9,190,443,0.68
2022,0,25686,Jason Dufner,42.9,94,219,2.34
2022,0,32640,Troy Merritt,42.9,146,340,2.26
2022,0,30927,Brendon Todd,42.9,124,289,1.45
2022,0,27095,Nick Watney,43.0,161,374,1.8
2022,0,45609,Tyler Duncan,43.1,113,262,1.95
2022,0,49960,Sepp Straka,43.2,159,368,1.38
2022,0,46402,Talor Gooch,43.5,120,276,0.42
2022,0,31323,Gary Woodland,43.5,134,308,0.75
2022,0,25198,Francesco Molinari,43.7,86,197,2.09
2022,0,49947,Taylor Moore,43.7,174,398,1.61
2022,0,23621,Rory Sabbatini,43.9,115,262,1.83
2022,0,39058,Lucas Herbert,44.0,103,234,0.78
2022,0,39977,Max Homa,44.4,158,356,0.38
2022,0,27974,Sung Kang,44.4,140,315,0.93
2022,0,46550,Brandon Hagy,44.6,173,388,1.56
2022,0,29289,S.Y. Noh,44.6,139,312,0.79
2022,0,39971,Sungjae Im,44.7,153,342,-0.2
2022,0,34466,Peter Malnati,44.7,223,499,1.52
2022,0,47347,Adam Schenk,44.7,188,421,2.18
2022,0,24925,Jonathan Byrd,44.8,100,223,2.7
2022,0,46442,Maverick McNealy,44.8,179,400,1.79
2022,0,27064,Jhonattan Vegas,44.8,150,335,1.2
2022,0,24980,Scott Gutschewski,44.9,97,216,0.93
2022,0,23108,Matt Kuchar,44.9,131,292,1.3
2022,0,48822,Sebastián Muñoz,44.9,149,332,1.07
2022,0,24138,Ian Poulter,45.0,81,180,0.74
2022,0,51890,Greyson Sigg,45.0,166,369,1.57
2022,0,34098,Russell Henley,45.1,119,264,1.43
2022,0,29518,Brendan Steele,45.1,138,306,1.38
2022,0,34264,Hudson Swafford,45.3,117,258,1.28
2022,0,32366,Kevin Chappell,45.6,118,259,2.63
2022,0,40098,Matt Fitzpatrick,45.6,98,215,1.12
2022,0,32150,Michael Thompson,45.6,155,340,1.81
2022,0,54628,Lee Hodges,45.7,193,422,2.12
2022,0,27214,Kevin Streelman,45.7,148,324,0.47
2022,0,32816,Satoshi Kodaira,45.9,62,135,2.58
2022,0,40250,Taylor Pendrith,45.9,156,340,0.45
2022,0,32139,Danny Willett,46.0,103,224,1.94
2022,0,32448,James Hahn,46.1,140,304,1.0
2022,0,36699,Patrick Rodgers,46.1,194,421,0.46
2022,0,30978,Kiradech Aphibarnrat,46.2,72,156,2.5
2022,0,55708,Hayden Buckley,46.2,146,316,2.6
2022,0,30944,Jason Kokrak,46.2,116,251,0.78
2022,0,47504,Sam Burns,46.3,171,369,0.88
2022,0,25900,Lucas Glover,46.4,168,362,1.9
2022,0,36326,David Lipsky,46.5,165,355,2.48
2022,0,29926,Danny Lee,46.6,104,223,2.02
2022,0,29908,C.T. Pan,46.6,169,363,1.78
2022,0,34255,Joseph Bramlett,46.7,178,381,1.4
2022,0,33667,Carlos Ortiz,46.7,135,289,1.48
2022,0,26476,Chez Reavie,46.7,141,302,2.84
2022,0,34363,Tyrrell Hatton,46.8,125,267,2.0
2022,0,33597,Harry Higgs,46.8,189,404,2.12
2022,0,46340,Alex Smalley,46.8,189,404,0.79
2022,0,45522,Christiaan Bezuidenhout,46.9,134,286,0.75
2022,0,34174,John Huh,46.9,136,290,2.35
2022,0,51950,Max McGreevy,46.9,129,275,2.09
2022,0,51766,Wyndham Clark,47.0,201,428,1.19
