YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,68,0,54421,Garrick Higgo,13.40%,97,13.0
2024,68,0,47679,Victor Perez,13.40%,97,13.0
2024,70,0,47504,Sam Burns,13.33%,105,14.0
2024,70,0,29535,Brice Garnett,13.33%,60,8.0
2024,70,0,57900,Chandler Phillips,13.33%,120,16.0
2024,73,0,29908,C.T. Pan,13.27%,98,13.0
2024,74,0,28252,Seamus Power,13.19%,144,19.0
2024,75,0,55454,Carl Yuan,13.16%,76,10.0
2024,76,0,35461,Beau Hossler,13.08%,130,17.0
2024,76,0,48081,Xander Schauffele,13.08%,107,14.0
2024,78,0,46046,Scottie Scheffler,13.04%,92,12.0
2024,79,0,48084,Wesley Bryan,12.96%,54,7.0
2024,80,0,59836,Pierceson Coody,12.94%,85,11.0
2024,81,0,34563,Chesson Hadley,12.90%,93,12.0
2024,81,0,60767,Blaine Hale Jr.,12.90%,62,8.0
2024,83,0,48119,Ben Taylor,12.79%,86,11.0
2024,84,0,30927,Brendon Todd,12.62%,103,13.0
2024,85,0,22371,Aaron Baddeley,12.50%,96,12.0
2024,85,0,35532,Tom Hoge,12.50%,128,16.0
2024,85,0,27129,Luke List,12.50%,88,11.0
2024,85,0,52215,Robert MacIntyre,12.50%,80,10.0
2024,85,0,50493,Justin Suh,12.50%,96,12.0
2024,90,0,54628,Lee Hodges,12.41%,145,18.0
2024,90,0,40115,Adam Svensson,12.41%,145,18.0
2024,92,0,45522,Christiaan Bezuidenhout,12.24%,98,12.0
2024,93,0,36799,Stephan Jaeger,12.22%,90,11.0
2024,94,0,50497,Adrien Dumont de Chassart,12.20%,82,10.0
2024,94,0,35310,Lanto Griffin,12.20%,82,10.0
2024,94,0,50188,S.H. Kim,12.20%,123,15.0
2024,97,0,25493,Nick Taylor,12.07%,116,14.0
2024,98,0,52514,Trace Crowe,11.96%,92,11.0
2024,99,0,34255,Joseph Bramlett,11.88%,101,12.0
2024,99,0,34099,Harris English,11.88%,101,12.0
2024,101,0,25900,Lucas Glover,11.82%,110,13.0
2024,102,0,35506,Mackenzie Hughes,11.65%,103,12.0
2024,102,0,47347,Adam Schenk,11.65%,103,12.0
2024,104,0,23320,Ryan Palmer,11.59%,69,8.0
2024,105,0,59442,Parker Coody,11.54%,78,9.0
2024,105,0,27064,Jhonattan Vegas,11.54%,104,12.0
2024,107,0,54591,Ben Griffin,11.51%,139,16.0
2024,108,0,60067,Joe Highsmith,11.39%,79,9.0
2024,109,0,46340,Alex Smalley,11.36%,88,10.0
2024,110,0,30911,Tommy Fleetwood,11.34%,97,11.0
2024,111,0,51287,Ryo Hisatsune,11.32%,106,12.0
2024,111,0,36884,Ben Kohles,11.32%,106,12.0
2024,113,0,58168,Davis Thompson,11.29%,124,14.0
2024,114,0,27770,Camilo Villegas,11.27%,71,8.0
2024,115,0,30926,Chris Kirk,11.25%,80,9.0
2024,116,0,51349,Nico Echavarria,11.22%,98,11.0
2024,117,0,37212,Paul Barjon,11.11%,54,6.0
2024,117,0,47420,Jake Knapp,11.11%,99,11.0
2024,117,0,34466,Peter Malnati,11.11%,99,11.0
2024,117,0,26596,Ryan Moore,11.11%,108,12.0
2024,117,0,35617,Martin Trainer,11.11%,63,7.0
2024,122,0,27936,Martin Laird,10.99%,91,10.0
2024,123,0,28089,Jason Day,10.98%,82,9.0
2024,123,0,50525,Collin Morikawa,10.98%,82,9.0
2024,125,0,56149,Wilson Furr,10.94%,64,7.0
2024,126,0,38991,Alejandro Tosti,10.84%,83,9.0
2024,127,0,45242,Kevin Yu,10.75%,93,10.0
2024,128,0,51890,Greyson Sigg,10.62%,113,12.0
2024,129,0,59095,Chris Gotterup,10.59%,85,9.0
2024,129,0,48699,Callum Tarren,10.59%,85,9.0
2024,131,0,45609,Tyler Duncan,10.53%,76,8.0
2024,131,0,36326,David Lipsky,10.53%,95,10.0
2024,133,0,49947,Taylor Moore,10.43%,115,12.0
