YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
2024,0,48084,Wesley Bryan,.80%,989580,124000000
2024,0,49813,Daniel Hillier,.80%,207736,26000000
2024,0,34466,Peter Malnati,.79%,2520248,317800000
2024,0,47995,Davis Riley,.78%,2163701,278900000
2024,0,51894,Vince Whaley,.78%,1474033,188000000
2024,0,52513,Carson Young,.78%,1937622,247700000
2024,0,57330,Matthis Besard,.77%,30733,4000000
2024,0,59077,Spencer Cross,.77%,30733,4000000
2024,0,49947,Taylor Moore,.77%,2843944,367400000
2024,0,45486,Joaquin Niemann,.77%,284498,37000000
2024,0,36884,Ben Kohles,.76%,1853159,243000000
2024,0,35314,Andy Sullivan,.76%,61000,8000000
2024,0,57900,Chandler Phillips,.75%,1714290,228000000
2024,0,47888,Taiga Semikawa,.75%,323459,43200000
2024,0,31646,Emiliano Grillo,.74%,2355824,317900000
2024,0,37094,Joseph Dean,.73%,124617,17000000
2024,0,30163,Henrik Norlander,.73%,1082157,148000000
2024,0,48867,Matti Schmid,.71%,1646191,232600000
2024,0,30927,Brendon Todd,.71%,2461227,344900000
2024,0,60067,Joe Highsmith,.69%,1340018,193400000
2024,0,54628,Lee Hodges,.68%,2479597,362200000
2024,0,55893,Sam Stevens,.68%,1701220,249200000
2024,0,36326,David Lipsky,.67%,1543061,231600000
2024,0,51287,Ryo Hisatsune,.66%,1637598,247500000
2024,0,34587,Chan Kim,.64%,1405653,221200000
2024,0,34256,Andrew Putnam,.64%,2054544,319100000
2024,0,59652,Sam Bennett,.63%,57748,9100000
2024,0,28775,Nate Lashley,.63%,1471105,235300000
2024,0,39324,J.J. Spaun,.63%,1645746,259400000
2024,0,60004,Jacob Bridgeman,.62%,1250191,200300000
2024,0,29936,Ryan Fox,.62%,1378822,221200000
2024,0,32333,Kevin Tway,.62%,973927,157300000
2024,0,39975,Michael Kim,.61%,1484233,243200000
2024,0,32791,K.H. Lee,.61%,1519732,248700000
2024,0,39327,Ben Silverman,.61%,1262599,206100000
2024,0,36852,Jim Knous,.60%,53000,8800000
2024,0,50484,Hayden Springer,.60%,1149279,192100000
2024,0,52666,Sami Valimaki,.60%,1273129,210800000
2024,0,37428,Evan Harmeling,.59%,97000,16400000
2024,0,37446,Jacques Kruyswijk,.59%,23400,4000000
2024,0,50223,Ewen Ferguson,.58%,151067,26000000
2024,0,51890,Greyson Sigg,.58%,1349623,232000000
2024,0,32102,Rickie Fowler,.57%,1767709,307800000
2024,0,40115,Adam Svensson,.57%,2014485,353900000
2024,0,31113,Paul Waring,.57%,45267,8000000
2024,0,63807,Neal Shipley,.56%,410268,73500000
2024,0,34076,Joel Dahmen,.55%,1340088,243600000
2024,0,23108,Matt Kuchar,.54%,1469667,271100000
2024,0,55789,Taylor Montgomery,.54%,1154178,214700000
2024,0,59095,Chris Gotterup,.53%,1170837,220800000
2024,0,50323,Minkyu Kim,.53%,90220,17000000
2024,0,27139,David Skinns,.52%,1225402,234900000
2024,0,59836,Pierceson Coody,.51%,1052529,205400000
2024,0,37066,Grant Forrest,.51%,45450,9000000
2024,0,47983,Chad Ramey,.51%,1266025,247700000
2024,0,48887,Matt Wallace,.51%,1036722,204700000
2024,0,58944,Blake McShea,.50%,37946,7600000
2024,0,47347,Adam Schenk,.50%,1861382,370500000
2024,0,38991,Alejandro Tosti,.50%,1086746,216000000
2024,0,40058,Zac Blair,.49%,1137653,231600000
2024,0,39436,Joshua Creel,.49%,39200,8000000
2024,0,34362,Laurie Canter,.48%,124617,26000000
2024,0,34021,Bud Cauley,.47%,638703,136300000
2024,0,33413,Ben Martin,.45%,605828,135000000
2024,0,29289,S.Y. Noh,.45%,315960,70800000
2024,0,51600,Jimmy Stanger,.45%,604066,132900000
2024,0,35617,Martin Trainer,.44%,692415,158400000
2024,0,54783,Dylan Wu,.44%,1029380,235200000
2024,0,55454,Carl Yuan,.44%,1013322,231100000
2024,0,50823,Tom McKibbin,.43%,112585,26000000
2024,0,37275,Sam Ryder,.43%,1136740,262800000
2024,0,32367,Jorge Campillo,.42%,605997,143800000
2024,0,50188,S.H. Kim,.42%,1150991,271700000
2024,0,46340,Alex Smalley,.42%,1102220,261000000
2024,0,50497,Adrien Dumont de Chassart,.40%,822656,205100000
2024,0,54421,Garrick Higgo,.40%,947868,234800000
2024,0,35879,Kelly Kraft,.40%,417905,104300000
2024,0,32366,Kevin Chappell,.39%,521738,134300000
2024,0,55721,Alex Fitzpatrick,.39%,100670,25900000
2024,0,52514,Trace Crowe,.38%,698201,183000000
2024,0,30925,Dustin Johnson,.38%,139189,37000000
2024,0,34374,Erik Barnes,.37%,719536,193200000
2024,0,50095,Austin Smotherman,.37%,414237,110500000
2024,0,52686,Rasmus Hojgaard,.36%,172766,47900000
2024,0,36871,Matt NeSmith,.36%,855341,239200000
2024,0,27214,Kevin Streelman,.36%,761677,209200000
2024,0,48936,Ugo Coussaud,.35%,31369,9000000
2024,0,35310,Lanto Griffin,.35%,570142,163300000
2024,0,46879,Naoyuki Kataoka,.35%,29410,8500000
2024,0,27936,Martin Laird,.35%,770034,218700000
2024,0,47443,Junghwan Lee,.35%,31369,9000000
2024,0,46368,Stuart Macdonald,.35%,61695,17500000
2024,0,39834,Guido Migliozzi,.35%,90220,26000000
2024,0,46441,Robby Shelton,.35%,791414,227300000
2024,0,33968,Thorbjørn Olesen,.34%,500887,146700000
2024,0,57586,Jesper Svensson,.34%,89377,26000000
2024,0,31323,Gary Woodland,.34%,915153,272900000
2024,0,29268,Bronson Burgoon,.32%,222850,70600000
2024,0,32640,Troy Merritt,.32%,741117,234100000
2024,0,26596,Ryan Moore,.32%,702589,218700000
2024,0,34310,Alexander Björk,.31%,414659,132300000
2024,0,1810,Phil Mickelson,.31%,113325,37000000
2024,0,29221,Webb Simpson,.31%,606011,197700000
2024,0,52374,Brandon Wu,.31%,750748,245800000
2024,0,34563,Chesson Hadley,.30%,628066,212400000
2024,0,64594,Angel Hidalgo Portillo,.29%,61000,21000000
2024,0,6373,José María Olazábal,.29%,57200,20000000
2024,0,30756,Andrea Pavan,.29%,23400,8000000
2024,0,55930,Fred Biondi,.28%,81540,29500000
2024,0,34255,Joseph Bramlett,.28%,647205,230300000
2024,0,47988,Nick Hardy,.28%,770435,278700000
2024,0,20766,Padraig Harrington,.28%,170534,61400000
2024,0,24024,Zach Johnson,.28%,496380,174400000
2024,0,48051,Yannik Paul,.28%,73350,26000000
2024,0,25818,Scott Piercy,.28%,259346,91200000
2024,0,30692,Scott Stallings,.28%,258915,94100000
2024,0,55708,Hayden Buckley,.27%,686629,251100000
2024,0,39859,Cristobal Del Solar,.27%,22194,8100000
2024,0,57123,Steven Fisk,.27%,20292,7600000
2024,0,57688,Casey Jarvis,.27%,21800,8000000
2024,0,61193,David Puig,.27%,46501,17000000
2024,0,45194,Marcus Armitage,.26%,33400,13000000
2024,0,20229,Stewart Cink,.26%,378476,144500000
2024,0,46113,Ryan McCormick,.26%,473255,183000000
2024,0,51635,Chris Nido,.26%,10253,4000000
2024,0,46464,Jordan Smith,.26%,66848,26000000
2024,0,46405,Sebastian Soderberg,.26%,23538,9000000
2024,0,45526,Abraham Ancer,.25%,42150,17000000
2024,0,28420,Ryan Brehm,.25%,518538,209100000
2024,0,48319,Tom Whitney,.25%,493082,201100000
2024,0,12195,Tom Johnson,.24%,14563,6000000
2024,0,23481,Marcel Siem,.24%,61605,26000000
2024,0,39958,Jeunghun Wang,.24%,41325,17000000
2024,0,22371,Aaron Baddeley,.23%,471410,204900000
2024,0,20472,Alex Cejka,.23%,38525,17000000
2024,0,19825,Darren Clarke,.23%,38525,17000000
2024,0,56555,Myles Creighton,.23%,21526,9400000
2024,0,55074,Sebastian Friedrichsen,.23%,9360,4000000
2024,0,31202,William McGirt,.23%,100592,44600000
2024,0,57944,Andy Ogletree,.23%,38275,17000000
2024,0,6567,Vijay Singh,.23%,45000,20000000
2024,0,36521,Young-han Song,.23%,38925,17000000
2024,0,55940,Andrew Wilson,.23%,9360,4000000
2024,0,33870,Ashun Wu,.23%,20700,9000000
2024,0,35490,Wil Bateman,.22%,20586,9400000
2024,0,48001,Zach Bauchou,.22%,15984,7200000
2024,0,59442,Parker Coody,.22%,380854,173200000
2024,0,33459,Jens Dantorp,.22%,19440,9000000
2024,0,20721,Darren Fichardt,.22%,38150,17000000
2024,0,51734,Nicolo Galletti,.22%,33990,15800000
2024,0,46594,Ricardo Gouveia,.22%,17400,8000000
2024,0,47917,Takumi Kanaya,.22%,37060,16800000
2024,0,48632,Yuto Katsuragawa,.22%,95579,42800000
2024,0,34500,Ryosuke Kinoshita,.22%,57035,25500000
2024,0,29675,Dan McCarthy,.22%,15330,7000000
2024,0,26476,Chez Reavie,.22%,495555,230200000
2024,0,59827,Tom Vaillant,.22%,17400,8000000
2024,0,29939,Fabrizio Zanotti,.22%,17400,8000000
2024,0,24494,Erik Compton,.21%,8200,4000000
2024,0,51690,Taylor Dickson,.21%,8360,4000000
2024,0,28340,Julien Guerrier,.21%,18900,9000000
2024,0,26758,David Hearn,.21%,19458,9400000
2024,0,65465,Connor Jones,.21%,14766,6900000
2024,0,28593,Jesse Mueller,.21%,18392,8800000
2024,0,27963,Chris Stroud,.21%,8200,4000000
2024,0,32139,Danny Willett,.21%,84200,40200000
2024,0,64052,Angel Ayora,.20%,8120,4000000
2024,0,33404,Chris Baker,.20%,14007,6900000
2024,0,46435,Austin Cook,.20%,230622,116600000
2024,0,45609,Tyler Duncan,.20%,428016,211700000
2024,0,65423,Egor Eroshenko,.20%,13455,6900000
2024,0,32775,Shugo Imahira,.20%,16830,8500000
2024,0,30852,Ryo Ishikawa,.20%,16830,8500000
2024,0,25198,Francesco Molinari,.20%,259679,129100000
2024,0,24140,Sean O'Hair,.20%,175537,89600000
2024,0,50493,Justin Suh,.20%,467291,234000000
2024,0,33486,Roger Sloan,.19%,352344,183000000
2024,0,33408,Tyson Alexander,.18%,432172,239200000
2024,0,52372,Cameron Champ,.18%,352843,201100000
2024,0,33597,Harry Higgs,.18%,64180,36100000
2024,0,27747,Hiroshi Iwata,.18%,14960,8500000
2024,0,54422,Christo Lamprecht,.18%,76674,41500000
2024,0,46601,Trey Mullinax,.18%,79133,42900000
2024,0,51151,Todd Clements,.17%,21800,13000000
2024,0,39524,Sean Crocker,.17%,45238,26000000
2024,0,32686,Takahiro Hataji,.17%,14705,8500000
2024,0,46270,Takashi Ogiso,.17%,14280,8500000
2024,0,54328,Norman Xiong,.17%,234154,141700000
2024,0,37212,Paul Barjon,.16%,328507,200300000
2024,0,46837,Yuxin Lin,.16%,19404,12400000
2024,0,55623,Kaito Onishi,.16%,13770,8500000
2024,0,27095,Nick Watney,.16%,137940,84000000
2024,0,56762,Will Gordon,.15%,179220,116300000
2024,0,54813,Philip Knowles,.15%,47617,32700000
2024,0,58188,James Nicholas,.15%,19135,12900000
2024,0,47128,Richy Werenski,.15%,90455,61500000
2024,0,33122,Russell Knox,.14%,87950,61500000
2024,0,23541,Ben Crane,.13%,13662,10900000
2024,0,39067,MJ Daffue,.13%,74076,55600000
2024,0,32816,Satoshi Kodaira,.13%,15980,12500000
2024,0,34607,Francesco Laporta,.13%,10307,8000000
2024,0,56149,Wilson Furr,.12%,221091,183000000
2024,0,39954,Cody Gribble,.12%,107722,86300000
2024,0,52462,Chase Hanna,.12%,9640,8000000
2024,0,49120,Kensei Hirata,.12%,20358,16800000
2024,0,54869,Chase Johnson,.12%,51000,41000000
2024,0,46404,Marcus Kinhult,.12%,9360,8000000
2024,0,33674,Adrian Meronk,.12%,45238,37000000
2024,0,55420,Cooper Musselman,.12%,23400,20000000
2024,0,23320,Ryan Palmer,.12%,163716,137600000
2024,0,48699,Callum Tarren,.12%,287924,239200000
2024,0,24925,Jonathan Byrd,.11%,37287,32500000
2024,0,58816,Marcus Byrd,.11%,17925,16600000
2024,0,47663,Kevin Dougherty,.11%,219150,192000000
2024,0,59567,Emilio Gonzalez,.11%,17654,16300000
2024,0,24924,Bill Haas,.11%,98084,90000000
2024,0,32448,James Hahn,.11%,98669,87700000
2024,0,32627,Espen Kofstad,.11%,9080,8000000
2024,0,27649,Brandt Snedeker,.11%,238234,212500000
2024,0,30110,Kyle Stanley,.11%,8800,8000000
2024,0,48119,Ben Taylor,.11%,258058,235200000
2024,0,52411,Kyle Westmoreland,.11%,17200,15600000
2024,0,47125,Matt Atkins,.10%,12240,12100000
2024,0,28259,Sangmoon Bae,.10%,34900,34500000
2024,0,47079,Harrison Endycott,.10%,112809,113200000
2024,0,51070,Vincent Norrman,.10%,192332,194600000
2024,0,31560,Brian Stuard,.10%,8360,8000000
2024,0,27770,Camilo Villegas,.10%,232296,232000000
2024,0,27506,Oliver Wilson,.10%,13400,13000000
2024,0,30750,Tommy Gainey,.09%,21480,23600000
2024,0,29478,Kevin Kisner,.09%,175278,189500000
2024,0,34431,Robert Streb,.09%,45034,47800000
2024,0,27974,Sung Kang,.08%,33725,42200000
2024,0,8793,Tiger Woods,.08%,44400,57000000
2024,0,37338,Zecheng Dou,.07%,43568,58100000
2024,0,55509,Hurly Long,.07%,9640,13000000
2024,0,48929,Santiago Tarrio,.07%,9240,13000000
2024,0,60767,Blaine Hale Jr.,.06%,108473,173600000
2024,0,37278,Nicholas Lindheim,.06%,67855,117000000
2024,0,63181,Braden Shattuck,.06%,22830,37000000
2024,0,19803,Ryan Armour,.05%,8360,15600000
2024,0,58989,Brandon Berry,.05%,8600,17200000
2024,0,23983,Luke Donald,.05%,23538,51500000
2024,0,29970,Dylan Frittelli,.05%,18924,36700000
2024,0,31557,Jim Herman,.05%,10253,19900000
2024,0,59570,Tyler Collet,.04%,8360,19900000
2024,0,32662,Michael Gligic,.04%,9160,22400000
2024,0,24980,Scott Gutschewski,.04%,53135,146400000
2024,0,35901,Paul Haley II,.04%,9160,26000000
2024,0,35449,Adam Long,.03%,32063,93700000
2024,0,47806,Raul Pereda,.03%,48617,176000000
2024,0,27330,Josh Teater,.03%,62192,184300000
2024,0,49303,Anders Albertson,.02%,8760,42900000
2024,0,27141,J.B. Holmes,.02%,14563,90600000
2024,0,25632,Jimmy Walker,.02%,9848,50100000
2023,0,36689,Brooks Koepka,10.22%,5057192,49500000
2023,0,46046,Scottie Scheffler,6.33%,21014342,331800000
2023,0,45426,Nathan Kimsey,5.86%,445423,7600000
2023,0,46970,Jon Rahm,5.43%,16522608,304400000
2023,0,28237,Rory McIlroy,4.92%,13921008,283000000
2023,0,46717,Viktor Hovland,4.08%,14112235,345900000
2023,0,36884,Ben Kohles,3.70%,310800,8400000
2023,0,35891,Cameron Smith,3.31%,1637180,49500000
2023,0,1810,Phil Mickelson,3.27%,1617250,49500000
2023,0,57259,Daniel Brown,3.25%,123500,3800000
2023,0,28521,Ryutaro Nagano,3.22%,273762,8500000
2023,0,35450,Patrick Cantlay,3.21%,10372998,323100000
2023,0,39977,Max Homa,3.09%,10761517,348200000
2023,0,51766,Wyndham Clark,3.05%,10757490,352300000
2023,0,33459,Jens Dantorp,2.95%,224200,7600000
2023,0,28340,Julien Guerrier,2.95%,224200,7600000
2023,0,34371,Adrien Saddier,2.95%,224200,7600000
2023,0,34363,Tyrrell Hatton,2.67%,8336912,312400000
2023,0,33141,Keegan Bradley,2.55%,9010040,352800000
2023,0,52215,Robert MacIntyre,2.53%,1023050,40500000
2023,0,52287,David Ravetto,2.53%,95950,3800000
2023,0,30852,Ryo Ishikawa,2.49%,416080,16700000
2023,0,48081,Xander Schauffele,2.46%,8459066,343300000
2023,0,52955,Ludvig Åberg,2.40%,3144994,130900000
2023,0,27644,Brian Harman,2.39%,9175262,383200000
2023,0,40098,Matt Fitzpatrick,2.37%,8144543,343700000
2023,0,34046,Jordan Spieth,2.24%,7240044,322700000
2023,0,32102,Rickie Fowler,2.22%,7864161,354600000
2023,0,34360,Patrick Reed,2.20%,1086934,49500000
2023,0,37066,Grant Forrest,2.19%,197100,9000000
2023,0,51287,Ryo Hisatsune,2.17%,588502,27100000
2023,0,28089,Jason Day,2.09%,6922758,331900000
2023,0,30911,Tommy Fleetwood,2.09%,6510641,310800000
2023,0,50525,Collin Morikawa,2.09%,7573198,362500000
2023,0,55182,Tom Kim,2.05%,7774918,379200000
2023,0,27770,Camilo Villegas,2.03%,1951764,96300000
2023,0,47504,Sam Burns,2.01%,7139050,355300000
2023,0,47959,Bryson DeChambeau,1.94%,960052,49500000
2023,0,63121,William Mouw,1.90%,140600,7400000
2023,0,48117,Kurt Kitayama,1.88%,6840062,364400000
2023,0,34098,Russell Henley,1.84%,6332282,344500000
2023,0,25493,Nick Taylor,1.81%,6242461,345000000
2023,0,25900,Lucas Glover,1.80%,6399296,356400000
2023,0,47993,Denny McCarthy,1.80%,6760012,376000000
2023,0,22405,Justin Rose,1.78%,4635120,259700000
2023,0,29725,Tony Finau,1.75%,5867652,335800000
2023,0,51634,Sahith Theegala,1.74%,7284670,419600000
2023,0,39971,Sungjae Im,1.62%,6665921,411000000
2023,0,36514,Yuki Inamori,1.58%,133960,8500000
2023,0,39113,Shubhankar Sharma,1.58%,403350,25500000
2023,0,39997,Corey Conners,1.53%,5545721,362200000
2023,0,46404,Marcus Kinhult,1.51%,114456,7600000
2023,0,45847,JC Ritchie,1.51%,114964,7600000
2023,0,57366,Cameron Young,1.50%,5392961,359800000
2023,0,39524,Sean Crocker,1.47%,188129,12800000
2023,0,56781,Isaiah Salinda,1.43%,238000,16600000
2023,0,37378,Min Woo Lee,1.42%,2812281,198600000
2023,0,49960,Sepp Straka,1.42%,5287574,373600000
2023,0,21528,Henrik Stenson,1.41%,232875,16500000
2023,0,34099,Harris English,1.40%,5600689,399900000
2023,0,31646,Emiliano Grillo,1.40%,5476302,392300000
2023,0,58669,Jacob Solomon,1.40%,117901,8400000
2023,0,47591,Eric Cole,1.39%,5457030,391300000
2023,0,34579,Alexander Levy,1.39%,105306,7600000
2023,0,52095,Christoffer Bring,1.38%,52345,3800000
2023,0,57737,Jayden Schaper,1.38%,52345,3800000
2023,0,45157,Cam Davis,1.36%,5001208,366600000
2023,0,37455,Si Woo Kim,1.36%,5397030,397100000
2023,0,49947,Taylor Moore,1.34%,5077211,379800000
2023,0,33399,Adam Hadwin,1.33%,4713995,354900000
2023,0,55955,Matthew Jordan,1.28%,326220,25500000
2023,0,32815,Masahiro Kawamura,1.26%,95950,7600000
2023,0,47529,Mito Pereira,1.26%,789784,62500000
2023,0,24502,Adam Scott,1.20%,3329394,278500000
2023,0,33448,Justin Thomas,1.20%,3566403,298400000
2023,0,47347,Adam Schenk,1.19%,4987135,420700000
2023,0,23108,Matt Kuchar,1.15%,3840222,335300000
2023,0,34362,Laurie Canter,1.14%,187900,16500000
2023,0,51696,Rico Hoey,1.14%,43206,3800000
2023,0,30926,Chris Kirk,1.13%,4150252,367500000
2023,0,35532,Tom Hoge,1.11%,4723610,425700000
2023,0,35506,Mackenzie Hughes,1.11%,4318591,388900000
2023,0,40115,Adam Svensson,1.10%,4844402,439900000
2023,0,32839,Hideki Matsuyama,1.09%,3874772,355100000
2023,0,47483,Will Zalatoris,1.09%,1474780,134700000
2023,0,34256,Andrew Putnam,1.07%,4459264,418400000
2023,0,30925,Dustin Johnson,1.05%,520778,49500000
2023,0,56630,Akshay Bhatia,1.02%,2346959,229600000
2023,0,28252,Seamus Power,1.02%,3792807,373600000
2023,0,34656,Mikumu Horikawa,1.01%,197841,19500000
2023,0,46464,Jordan Smith,1.01%,409884,40500000
2023,0,30927,Brendon Todd,1.00%,3935870,394400000
2023,0,40058,Zac Blair,.97%,2469218,255600000
2023,0,33204,Shane Lowry,.93%,2588707,279000000
2023,0,46405,Sebastian Soderberg,.93%,118634,12800000
2023,0,49771,J.T. Poston,.92%,3699409,401900000
2023,0,33948,Byeong Hun An,.91%,3231760,353400000
2023,0,35461,Beau Hossler,.90%,3586109,396500000
2023,0,40006,Erik van Rooyen,.90%,2457390,274200000
2023,0,55721,Alex Fitzpatrick,.89%,224020,25100000
