YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
2024,0,52955,Ludvig Åberg,1.588,2144,1350
2024,0,46717,Viktor Hovland,1.588,1629,1026
2024,0,49771,J.T. Poston,1.588,2429,1530
2024,0,46441,Robby Shelton,1.588,2172,1368
2024,0,51894,Vince Whaley,1.588,2058,1296
2024,0,39977,Max Homa,1.589,2259,1422
2024,0,52514,Trace Crowe,1.59,1946,1224
2024,0,34046,Jordan Spieth,1.59,2003,1260
2024,0,47806,Raul Pereda,1.591,1346,846
2024,0,35532,Tom Hoge,1.592,2895,1818
2024,0,33948,Byeong Hun An,1.593,2151,1350
2024,0,35461,Beau Hossler,1.593,2438,1530
2024,0,34466,Peter Malnati,1.593,2150,1350
2024,0,33408,Tyson Alexander,1.594,2152,1350
2024,0,45157,Cam Davis,1.594,2209,1386
2024,0,33399,Adam Hadwin,1.594,2267,1422
2024,0,57366,Cameron Young,1.596,2327,1458
2024,0,32102,Rickie Fowler,1.597,2214,1386
2024,0,30926,Chris Kirk,1.597,2213,1386
2024,0,27349,Alex Noren,1.597,1984,1242
2024,0,47995,Davis Riley,1.597,2098,1314
2024,0,36799,Stephan Jaeger,1.598,2272,1422
2024,0,49947,Taylor Moore,1.598,2848,1782
2024,0,34374,Erik Barnes,1.599,1554,972
2024,0,54591,Ben Griffin,1.599,3223,2016
2024,0,57362,Austin Eckroat,1.6,2592,1620
2024,0,55182,Tom Kim,1.6,2275,1422
2024,0,51634,Sahith Theegala,1.6,2678,1674
2024,0,28252,Seamus Power,1.601,2767,1728
2024,0,58168,Davis Thompson,1.601,2594,1620
2024,0,12716,Charley Hoffman,1.602,2019,1260
2024,0,24024,Zach Johnson,1.603,1385,864
2024,0,52666,Sami Valimaki,1.604,1732,1080
2024,0,36801,Mark Hubbard,1.605,2860,1782
2024,0,39975,Michael Kim,1.605,2340,1458
2024,0,40162,Justin Lower,1.605,2802,1746
2024,0,34256,Andrew Putnam,1.605,2282,1422
2024,0,55454,Carl Yuan,1.605,1849,1152
2024,0,33486,Roger Sloan,1.606,1908,1188
2024,0,30911,Tommy Fleetwood,1.607,2054,1278
2024,0,31646,Emiliano Grillo,1.607,2459,1530
2024,0,51997,Andrew Novak,1.607,2401,1494
2024,0,23108,Matt Kuchar,1.608,2113,1314
2024,0,49960,Sepp Straka,1.608,2229,1386
2024,0,25493,Nick Taylor,1.608,2402,1494
2024,0,47347,Adam Schenk,1.609,2664,1656
2024,0,39327,Ben Silverman,1.609,2259,1404
2024,0,55893,Sam Stevens,1.609,2839,1764
2024,0,33141,Keegan Bradley,1.61,2290,1422
2024,0,48084,Wesley Bryan,1.61,1449,900
2024,0,33968,Thorbjørn Olesen,1.61,1391,864
2024,0,32367,Jorge Campillo,1.611,1508,936
2024,0,40058,Zac Blair,1.612,2380,1476
2024,0,29725,Tony Finau,1.612,2292,1422
2024,0,25900,Lucas Glover,1.612,2698,1674
2024,0,33204,Shane Lowry,1.612,2031,1260
2024,0,59836,Pierceson Coody,1.613,2265,1404
2024,0,51349,Nico Echavarria,1.613,2555,1584
2024,0,50484,Hayden Springer,1.613,2091,1296
2024,0,29908,C.T. Pan,1.614,1714,1062
2024,0,47420,Jake Knapp,1.615,2180,1350
2024,0,36699,Patrick Rodgers,1.615,2907,1800
2024,0,54783,Dylan Wu,1.615,2326,1440
2024,0,32791,K.H. Lee,1.616,2269,1404
2024,0,35617,Martin Trainer,1.616,1454,900
2024,0,40006,Erik van Rooyen,1.616,2298,1422
2024,0,59442,Parker Coody,1.617,1601,990
2024,0,37378,Min Woo Lee,1.617,1921,1188
2024,0,27649,Brandt Snedeker,1.617,1688,1044
2024,0,48153,Matthieu Pavon,1.618,1835,1134
2024,0,50493,Justin Suh,1.618,2155,1332
2024,0,29936,Ryan Fox,1.619,2273,1404
2024,0,27936,Martin Laird,1.619,2098,1296
2024,0,32640,Troy Merritt,1.619,2157,1332
2024,0,37275,Sam Ryder,1.619,2186,1350
2024,0,60067,Joe Highsmith,1.621,2043,1260
2024,0,48117,Kurt Kitayama,1.621,2305,1422
2024,0,48119,Ben Taylor,1.621,1809,1116
2024,0,52374,Brandon Wu,1.621,2364,1458
2024,0,34587,Chan Kim,1.622,2336,1440
2024,0,47983,Chad Ramey,1.622,2423,1494
2024,0,32333,Kevin Tway,1.622,1752,1080
2024,0,34021,Bud Cauley,1.623,1578,972
2024,0,30163,Henrik Norlander,1.623,1928,1188
2024,0,40115,Adam Svensson,1.623,3126,1926
2024,0,54421,Garrick Higgo,1.624,2310,1422
2024,0,59143,Mac Meissner,1.625,2106,1296
2024,0,52513,Carson Young,1.625,2515,1548
2024,0,59095,Chris Gotterup,1.626,2078,1278
2024,0,23320,Ryan Palmer,1.626,1229,756
2024,0,27214,Kevin Streelman,1.626,2020,1242
2024,0,32757,Patton Kizzire,1.627,1816,1116
2024,0,47679,Victor Perez,1.627,2108,1296
2024,0,32366,Kevin Chappell,1.628,1641,1008
2024,0,51696,Rico Hoey,1.628,2461,1512
2024,0,48867,Matti Schmid,1.628,2286,1404
2024,0,48887,Matt Wallace,1.628,1876,1152
2024,0,55708,Hayden Buckley,1.629,2082,1278
2024,0,39997,Corey Conners,1.629,2551,1566
2024,0,50497,Adrien Dumont de Chassart,1.63,2171,1332
2024,0,39546,Keith Mitchell,1.63,2376,1458
2024,0,47483,Will Zalatoris,1.63,1936,1188
2024,0,54628,Lee Hodges,1.631,2672,1638
2024,0,28775,Nate Lashley,1.631,2172,1332
2024,0,46414,Aaron Rai,1.631,2525,1548
2024,0,29535,Brice Garnett,1.632,1410,864
2024,0,34563,Chesson Hadley,1.632,1939,1188
2024,0,46113,Ryan McCormick,1.632,1792,1098
2024,0,51287,Ryo Hisatsune,1.633,2469,1512
2024,0,36326,David Lipsky,1.634,2029,1242
2024,0,26476,Chez Reavie,1.634,2000,1224
2024,0,39324,J.J. Spaun,1.634,2353,1440
2024,0,56149,Wilson Furr,1.635,1677,1026
2024,0,29478,Kevin Kisner,1.636,1590,972
2024,0,26596,Ryan Moore,1.637,2122,1296
2024,0,32070,Rafael Campos,1.638,1769,1080
2024,0,31323,Gary Woodland,1.638,2358,1440
2024,0,60767,Blaine Hale Jr.,1.639,1534,936
2024,0,27129,Luke List,1.639,2271,1386
2024,0,38991,Alejandro Tosti,1.639,2036,1242
2024,0,27139,David Skinns,1.642,2423,1476
2024,0,52375,Doug Ghim,1.643,2692,1638
2024,0,52453,Nicolai Højgaard,1.643,1686,1026
2024,0,34076,Joel Dahmen,1.644,2634,1602
2024,0,27064,Jhonattan Vegas,1.646,2133,1296
2024,0,37212,Paul Barjon,1.647,1571,954
2024,0,46340,Alex Smalley,1.649,2197,1332
2024,0,40026,Daniel Berger,1.652,2260,1368
2024,0,45609,Tyler Duncan,1.652,2082,1260
2024,0,48319,Tom Whitney,1.653,2023,1224
2024,0,36884,Ben Kohles,1.654,2531,1530
2024,0,47988,Nick Hardy,1.655,2592,1566
2024,0,34255,Joseph Bramlett,1.657,2506,1512
2024,0,52372,Cameron Champ,1.657,1700,1026
2024,0,45242,Kevin Yu,1.657,2177,1314
2024,0,54576,Patrick Fishburn,1.659,2090,1260
2024,0,51890,Greyson Sigg,1.661,2272,1368
2024,0,27330,Josh Teater,1.661,1555,936
2024,0,48699,Callum Tarren,1.667,2101,1260
2024,0,47663,Kevin Dougherty,1.67,1864,1116
2024,0,50095,Austin Smotherman,1.671,1594,954
2024,0,28420,Ryan Brehm,1.672,1806,1080
2024,0,27770,Camilo Villegas,1.672,1715,1026
2024,0,36871,Matt NeSmith,1.676,2172,1296
2024,0,35310,Lanto Griffin,1.677,2174,1296
2024,0,51070,Vincent Norrman,1.713,1511,882
2023,0,55789,Taylor Montgomery,1.521,2793,1836
2023,0,47591,Eric Cole,1.542,3497,2268
2023,0,46442,Maverick McNealy,1.554,1762,1134
2023,0,33948,Byeong Hun An,1.557,2943,1890
2023,0,51634,Sahith Theegala,1.558,2972,1908
2023,0,30911,Tommy Fleetwood,1.559,2077,1332
2023,0,39977,Max Homa,1.562,2418,1548
2023,0,30927,Brendon Todd,1.562,2924,1872
2023,0,22371,Aaron Baddeley,1.564,2252,1440
2023,0,47504,Sam Burns,1.564,2280,1458
2023,0,50188,S.H. Kim,1.564,3124,1998
2023,0,34466,Peter Malnati,1.564,2675,1710
2023,0,40098,Matt Fitzpatrick,1.568,2060,1314
2023,0,39058,Lucas Herbert,1.568,1750,1116
2023,0,22405,Justin Rose,1.568,1919,1224
2023,0,46717,Viktor Hovland,1.569,2485,1584
2023,0,34409,David Lingmerth,1.57,2487,1584
2023,0,25493,Nick Taylor,1.571,2630,1674
2023,0,37275,Sam Ryder,1.572,3141,1998
2023,0,33597,Harry Higgs,1.573,2379,1512
2023,0,35461,Beau Hossler,1.573,3114,1980
2023,0,34046,Jordan Spieth,1.573,2038,1296
2023,0,33653,Thomas Detry,1.574,2805,1782
2023,0,34363,Tyrrell Hatton,1.574,2210,1404
2023,0,47993,Denny McCarthy,1.574,2833,1800
2023,0,28089,Jason Day,1.576,2270,1440
2023,0,28237,Rory McIlroy,1.576,1816,1152
2023,0,51766,Wyndham Clark,1.578,2897,1836
2023,0,24502,Adam Scott,1.578,1931,1224
2023,0,27644,Brian Harman,1.579,2644,1674
2023,0,31560,Brian Stuard,1.579,2075,1314
2023,0,54591,Ben Griffin,1.58,3385,2142
2023,0,48081,Xander Schauffele,1.58,2304,1458
2023,0,35450,Patrick Cantlay,1.581,2049,1296
2023,0,47128,Richy Werenski,1.581,2818,1782
2023,0,23108,Matt Kuchar,1.582,2592,1638
2023,0,40162,Justin Lower,1.583,3105,1962
2023,0,28252,Seamus Power,1.583,2337,1476
2023,0,32102,Rickie Fowler,1.584,2738,1728
2023,0,39971,Sungjae Im,1.584,2965,1872
2023,0,45522,Christiaan Bezuidenhout,1.585,2539,1602
2023,0,57975,Harry Hall,1.585,2910,1836
2023,0,46970,Jon Rahm,1.585,2026,1278
2023,0,46435,Austin Cook,1.586,2427,1530
2023,0,25818,Scott Piercy,1.586,2827,1782
2023,0,35506,Mackenzie Hughes,1.587,2543,1602
2023,0,37455,Si Woo Kim,1.587,2857,1800
2023,0,34099,Harris English,1.588,2772,1746
2023,0,29970,Dylan Frittelli,1.588,2229,1404
2023,0,33399,Adam Hadwin,1.589,2517,1584
2023,0,27349,Alex Noren,1.589,2632,1656
2023,0,48084,Wesley Bryan,1.59,1374,864
2023,0,35532,Tom Hoge,1.59,2977,1872
2023,0,35449,Adam Long,1.591,3237,2034
2023,0,30926,Chris Kirk,1.592,2636,1656
2023,0,36699,Patrick Rodgers,1.592,2923,1836
2023,0,32139,Danny Willett,1.592,1920,1206
2023,0,50493,Justin Suh,1.593,3269,2052
2023,0,52955,Ludvig Åberg,1.594,1435,900
2023,0,52453,Nicolai Hojgaard,1.594,1320,828
2023,0,55182,Tom Kim,1.594,2583,1620
2023,0,49947,Taylor Moore,1.595,2900,1818
2023,0,31202,William McGirt,1.596,1523,954
2023,0,24140,Sean O'Hair,1.597,1495,936
2023,0,32839,Hideki Matsuyama,1.598,2503,1566
2023,0,46441,Robby Shelton,1.598,2991,1872
2023,0,49771,J.T. Poston,1.599,2878,1800
2023,0,24925,Jonathan Byrd,1.6,1728,1080
2023,0,33141,Keegan Bradley,1.601,2363,1476
2023,0,34098,Russell Henley,1.601,2420,1512
2023,0,33410,Andrew Landry,1.601,2305,1440
2023,0,47983,Chad Ramey,1.601,2911,1818
2023,0,29221,Webb Simpson,1.601,1643,1026
2023,0,26596,Ryan Moore,1.602,2393,1494
2023,0,36801,Mark Hubbard,1.603,3347,2088
2023,0,48117,Kurt Kitayama,1.603,2077,1296
2023,0,25632,Jimmy Walker,1.605,2485,1548
2023,0,40058,Zac Blair,1.606,2255,1404
2023,0,32757,Patton Kizzire,1.606,2891,1800
2023,0,40115,Adam Svensson,1.606,3526,2196
2023,0,52374,Brandon Wu,1.606,3325,2070
2023,0,20229,Stewart Cink,1.607,2314,1440
2023,0,59018,Ryan Gerard,1.607,1793,1116
2023,0,35879,Kelly Kraft,1.607,2603,1620
2023,0,33413,Ben Martin,1.607,2979,1854
2023,0,31646,Emiliano Grillo,1.608,3271,2034
2023,0,54628,Lee Hodges,1.608,3097,1926
2023,0,39546,Keith Mitchell,1.608,2720,1692
2023,0,51997,Andrew Novak,1.608,2749,1710
2023,0,45157,Cam Davis,1.609,2636,1638
2023,0,33448,Justin Thomas,1.609,2085,1296
2023,0,47079,Harrison Endycott,1.61,2579,1602
2023,0,34563,Chesson Hadley,1.611,2725,1692
2023,0,29289,S.Y. Noh,1.611,1972,1224
2023,0,47995,Davis Riley,1.611,2958,1836
2023,0,48119,Ben Taylor,1.611,3074,1908
2023,0,33408,Tyson Alexander,1.612,2756,1710
2023,0,57362,Austin Eckroat,1.612,2844,1764
2023,0,54421,Garrick Higgo,1.612,2988,1854
2023,0,50525,Collin Morikawa,1.612,2350,1458
2023,0,49960,Sepp Straka,1.612,2670,1656
2023,0,48887,Matt Wallace,1.612,2438,1512
2023,0,29420,Billy Horschel,1.613,1858,1152
2023,0,32816,Satoshi Kodaira,1.613,1829,1134
2023,0,32640,Troy Merritt,1.613,2671,1656
2023,0,50095,Austin Smotherman,1.613,2903,1800
2023,0,34256,Andrew Putnam,1.614,3224,1998
2023,0,35617,Martin Trainer,1.614,1830,1134
2023,0,51890,Greyson Sigg,1.615,3052,1890
2023,0,36799,Stephan Jaeger,1.616,3549,2196
2023,0,32791,K.H. Lee,1.616,3113,1926
2023,0,46046,Scottie Scheffler,1.616,2560,1584
2023,0,47988,Nick Hardy,1.617,3434,2124
2023,0,28775,Nate Lashley,1.617,3114,1926
2023,0,51950,Max McGreevy,1.617,2677,1656
2023,0,58168,Davis Thompson,1.617,2794,1728
2023,0,57366,Cameron Young,1.617,2503,1548
2023,0,55454,Carl Yuan,1.617,2445,1512
2023,0,24024,Zach Johnson,1.618,1981,1224
2023,0,29725,Tony Finau,1.619,2448,1512
2023,0,35901,Paul Haley II,1.619,2681,1656
2023,0,27974,Sung Kang,1.619,1428,882
2023,0,39975,Michael Kim,1.619,2827,1746
2023,0,58967,Trevor Werbylo,1.619,2419,1494
2023,0,34255,Joseph Bramlett,1.62,2333,1440
2023,0,51349,Nico Echavarria,1.62,2275,1404
2023,0,55893,Sam Stevens,1.62,3091,1908
2023,0,25900,Lucas Glover,1.621,2918,1800
2023,0,58696,Peter Kuest,1.621,1342,828
2023,0,33204,Shane Lowry,1.621,1809,1116
2023,0,46601,Trey Mullinax,1.621,2071,1278
2023,0,23320,Ryan Palmer,1.622,2306,1422
2023,0,34431,Robert Streb,1.622,2365,1458
2023,0,47347,Adam Schenk,1.623,3476,2142
2023,0,40006,Erik van Rooyen,1.623,2278,1404
2023,0,52513,Carson Young,1.623,2893,1782
2023,0,37338,Zecheng Dou,1.624,2835,1746
2023,0,39324,J.J. Spaun,1.624,2982,1836
2023,0,39067,MJ Daffue,1.625,3012,1854
2023,0,56630,Akshay Bhatia,1.626,2459,1512
2023,0,34610,Matthias Schwab,1.626,3015,1854
2023,0,31577,Tano Goya,1.627,2635,1620
2023,0,46414,Aaron Rai,1.627,3075,1890
2023,0,48699,Callum Tarren,1.627,2900,1782
2023,0,34076,Joel Dahmen,1.628,2696,1656
2023,0,27963,Chris Stroud,1.628,1670,1026
2023,0,55708,Hayden Buckley,1.629,2463,1512
2023,0,32366,Kevin Chappell,1.629,1642,1008
2023,0,46340,Alex Smalley,1.629,3284,2016
2023,0,27095,Nick Watney,1.629,2228,1368
2023,0,54783,Dylan Wu,1.629,3108,1908
2023,0,39954,Cody Gribble,1.63,2054,1260
2023,0,49298,Kramer Hickok,1.631,2848,1746
2023,0,29535,Brice Garnett,1.633,2528,1548
2023,0,51070,Vincent Norrman,1.633,2498,1530
2023,0,39997,Corey Conners,1.634,2530,1548
2023,0,27554,Scott Harrington,1.634,2353,1440
2023,0,27214,Kevin Streelman,1.634,2823,1728
2023,0,36326,David Lipsky,1.635,3032,1854
2023,0,30692,Scott Stallings,1.638,2477,1512
2023,0,45609,Tyler Duncan,1.639,2773,1692
2023,0,35310,Lanto Griffin,1.639,1682,1026
2023,0,19803,Ryan Armour,1.64,2716,1656
2023,0,28420,Ryan Brehm,1.64,2538,1548
2023,0,32333,Kevin Tway,1.64,2982,1818
2023,0,40250,Taylor Pendrith,1.641,2925,1782
2023,0,48867,Matti Schmid,1.641,2333,1422
2023,0,52375,Doug Ghim,1.643,2751,1674
2023,0,27936,Martin Laird,1.643,2602,1584
2023,0,22056,Cameron Percy,1.643,1982,1206
2023,0,26476,Chez Reavie,1.643,2839,1728
2023,0,39335,Kevin Roy,1.643,2247,1368
2023,0,12716,Charley Hoffman,1.644,2397,1458
2023,0,30163,Henrik Norlander,1.644,2693,1638
2023,0,32662,Michael Gligic,1.647,2164,1314
2023,0,56762,Will Gordon,1.647,3290,1998
2023,0,36871,Matt NeSmith,1.647,2935,1782
2023,0,25686,Jason Dufner,1.648,2700,1638
2023,0,32448,James Hahn,1.649,2374,1440
2023,0,27129,Luke List,1.651,2971,1800
2023,0,51491,Brandon Matthews,1.651,1753,1062
2023,0,29908,C.T. Pan,1.651,1590,963
2023,0,49766,Hank Lebioda,1.655,1817,1098
2023,0,45242,Kevin Yu,1.656,2117,1278
2023,0,53165,Doc Redman,1.657,2326,1404
2023,0,31323,Gary Woodland,1.657,2476,1494
2023,0,52411,Kyle Westmoreland,1.658,2358,1422
2023,0,36724,Augusto Núñez,1.661,2541,1530
2023,0,52372,Cameron Champ,1.662,2334,1404
2023,0,49453,Trevor Cone,1.665,2457,1476
2023,0,33122,Russell Knox,1.668,3423,2052
2023,0,51414,Brent Grant,1.677,2536,1512
2023,0,31557,Jim Herman,1.677,2325,1386
2022,0,39058,Lucas Herbert,1.539,1496,972
2022,0,23108,Matt Kuchar,1.548,1978,1278
2022,0,35891,Cameron Smith,1.56,1741,1116
2022,0,57366,Cameron Young,1.564,2309,1476
2022,0,34466,Peter Malnati,1.569,2908,1854
2022,0,33448,Justin Thomas,1.569,2146,1368
2022,0,48084,Wesley Bryan,1.57,1385,882
2022,0,32640,Troy Merritt,1.571,2574,1638
2022,0,25818,Scott Piercy,1.571,2177,1386
2022,0,30927,Brendon Todd,1.571,2347,1494
2022,0,51894,Vince Whaley,1.573,2406,1530
2022,0,27895,Jonas Blixt,1.574,1417,900
2022,0,23621,Rory Sabbatini,1.577,1561,990
2022,0,34363,Tyrrell Hatton,1.578,1818,1152
2022,0,29926,Danny Lee,1.578,1477,936
2022,0,47993,Denny McCarthy,1.579,2843,1800
2022,0,46442,Maverick McNealy,1.579,2501,1584
2022,0,32150,Michael Thompson,1.579,2388,1512
2022,0,35461,Beau Hossler,1.58,1991,1260
2022,0,24361,Pat Perez,1.58,1763,1116
2022,0,34360,Patrick Reed,1.58,1991,1260
2022,0,29221,Webb Simpson,1.58,1678,1062
2022,0,56278,Matthew Wolff,1.58,1337,846
2022,0,22405,Justin Rose,1.581,1537,972
2022,0,30692,Scott Stallings,1.582,2733,1728
2022,0,24138,Ian Poulter,1.583,1254,792
2022,0,45157,Cam Davis,1.585,2339,1476
2022,0,35879,Kelly Kraft,1.585,1969,1242
2022,0,46435,Austin Cook,1.586,1970,1242
2022,0,47995,Davis Riley,1.586,2684,1692
2022,0,39977,Max Homa,1.587,2343,1476
2022,0,36799,Stephan Jaeger,1.587,2428,1530
2022,0,28237,Rory McIlroy,1.587,1714,1080
2022,0,33667,Carlos Ortiz,1.587,1742,1098
2022,0,37189,Harold Varner III,1.588,1972,1242
2022,0,28775,Nate Lashley,1.589,2174,1368
2022,0,45526,Abraham Ancer,1.59,1660,1044
2022,0,45522,Christiaan Bezuidenhout,1.59,2290,1440
2022,0,24925,Jonathan Byrd,1.59,1631,1026
2022,0,35506,Mackenzie Hughes,1.59,2347,1476
2022,0,28089,Jason Day,1.591,1632,1026
2022,0,35532,Tom Hoge,1.591,2749,1728
2022,0,45486,Joaquin Niemann,1.591,2291,1440
2022,0,30978,Kiradech Aphibarnrat,1.592,1519,954
2022,0,35450,Patrick Cantlay,1.592,1949,1224
2022,0,46402,Talor Gooch,1.592,2034,1278
2022,0,33597,Harry Higgs,1.592,2293,1440
2022,0,36852,Jim Knous,1.592,1461,918
2022,0,35310,Lanto Griffin,1.593,2236,1404
2022,0,26851,Marc Leishman,1.593,2065,1296
2022,0,27349,Alex Noren,1.593,1835,1152
2022,0,32102,Rickie Fowler,1.594,2037,1278
2022,0,46717,Viktor Hovland,1.594,2008,1260
2022,0,33486,Roger Sloan,1.594,2094,1314
2022,0,51766,Wyndham Clark,1.595,2784,1746
2022,0,23983,Luke Donald,1.595,1923,1206
2022,0,36801,Mark Hubbard,1.595,1952,1224
2022,0,32839,Hideki Matsuyama,1.595,2067,1296
2022,0,30911,Tommy Fleetwood,1.596,1609,1008
2022,0,25198,Francesco Molinari,1.596,1523,954
2022,0,27214,Kevin Streelman,1.596,2528,1584
2022,0,34563,Chesson Hadley,1.597,2299,1440
2022,0,30944,Jason Kokrak,1.597,1753,1098
2022,0,50525,Collin Morikawa,1.597,1725,1080
2022,0,47504,Sam Burns,1.598,2301,1440
2022,0,45609,Tyler Duncan,1.598,2358,1476
2022,0,34174,John Huh,1.598,2128,1332
2022,0,35449,Adam Long,1.598,2532,1584
2022,0,22056,Cameron Percy,1.598,1266,792
2022,0,37455,Si Woo Kim,1.599,2820,1764
2022,0,33204,Shane Lowry,1.599,1669,1044
2022,0,51634,Sahith Theegala,1.599,3253,2034
2022,0,29970,Dylan Frittelli,1.6,2678,1674
2022,0,51950,Max McGreevy,1.6,2074,1296
2022,0,34256,Andrew Putnam,1.6,2708,1692
2022,0,37275,Sam Ryder,1.6,2534,1584
2022,0,46601,Trey Mullinax,1.601,2363,1476
2022,0,40098,Matt Fitzpatrick,1.602,2018,1260
2022,0,24924,Bill Haas,1.602,2596,1620
2022,0,28252,Seamus Power,1.602,2249,1404
2022,0,34431,Robert Streb,1.602,2393,1494
2022,0,32757,Patton Kizzire,1.603,2597,1620
2022,0,46046,Scottie Scheffler,1.603,2423,1512
2022,0,35617,Martin Trainer,1.603,2250,1404
2022,0,33141,Keegan Bradley,1.604,2310,1440
2022,0,32791,K.H. Lee,1.604,2829,1764
2022,0,40162,Justin Lower,1.604,2079,1296
2022,0,49771,J.T. Poston,1.604,2541,1584
2022,0,39971,Sungjae Im,1.605,2542,1584
2022,0,51997,Andrew Novak,1.605,2195,1368
2022,0,48081,Xander Schauffele,1.605,2080,1296
2022,0,23325,Vaughn Taylor,1.605,1531,954
2022,0,32139,Danny Willett,1.605,1791,1116
2022,0,49964,Aaron Wise,1.605,2484,1548
2022,0,29420,Billy Horschel,1.606,2023,1260
2022,0,30926,Chris Kirk,1.606,2428,1512
2022,0,31420,Anirban Lahiri,1.606,2082,1296
2022,0,34046,Jordan Spieth,1.606,2139,1332
2022,0,31560,Brian Stuard,1.606,2573,1602
2022,0,47128,Richy Werenski,1.606,1821,1134
2022,0,33399,Adam Hadwin,1.607,2604,1620
2022,0,26300,Matt Jones,1.607,1764,1098
2022,0,40115,Adam Svensson,1.608,2894,1800
2022,0,25493,Nick Taylor,1.608,2547,1584
2022,0,29478,Kevin Kisner,1.609,1911,1188
2022,0,39324,J.J. Spaun,1.609,2752,1710
2022,0,10381,Curtis Thompson,1.609,1854,1152
2022,0,39436,Joshua Creel,1.61,1362,846
2022,0,29725,Tony Finau,1.61,2493,1548
2022,0,36689,Brooks Koepka,1.61,1333,828
2022,0,49766,Hank Lebioda,1.61,2319,1440
2022,0,47347,Adam Schenk,1.61,2608,1620
2022,0,27139,David Skinns,1.61,1913,1188
2022,0,48117,Kurt Kitayama,1.611,2030,1260
2022,0,24502,Adam Scott,1.612,2089,1296
2022,0,34098,Russell Henley,1.613,2265,1404
2022,0,49947,Taylor Moore,1.613,2439,1512
2022,0,47983,Chad Ramey,1.613,2120,1314
2022,0,32662,Michael Gligic,1.614,2063,1278
2022,0,27644,Brian Harman,1.614,2643,1638
2022,0,32816,Satoshi Kodaira,1.614,1482,918
2022,0,39546,Keith Mitchell,1.614,2499,1548
2022,0,29289,S.Y. Noh,1.614,1830,1134
2022,0,29908,C.T. Pan,1.617,2386,1476
2022,0,32333,Kevin Tway,1.618,2243,1386
2022,0,32448,James Hahn,1.619,2069,1278
2022,0,12716,Charley Hoffman,1.619,2011,1242
2022,0,24024,Zach Johnson,1.619,1865,1152
2022,0,48699,Callum Tarren,1.619,2011,1242
2022,0,21961,Charles Howell III,1.62,1575,972
2022,0,27974,Sung Kang,1.62,2333,1440
2022,0,36884,Ben Kohles,1.62,1837,1134
2022,0,46550,Brandon Hagy,1.621,2276,1404
2022,0,47483,Will Zalatoris,1.621,2217,1368
2022,0,26476,Chez Reavie,1.622,2482,1530
2022,0,32366,Kevin Chappell,1.623,1607,990
2022,0,51890,Greyson Sigg,1.623,2629,1620
2022,0,47529,Mito Pereira,1.624,2601,1602
2022,0,47856,Seth Reeves,1.624,1958,1206
2022,0,33419,Cameron Tringale,1.624,2690,1656
2022,0,47988,Nick Hardy,1.625,1726,1062
2022,0,34610,Matthias Schwab,1.625,2048,1260
2022,0,46340,Alex Smalley,1.625,2721,1674
2022,0,27770,Camilo Villegas,1.625,2018,1242
2022,0,48822,Sebastián Muñoz,1.626,2429,1494
2022,0,34264,Hudson Swafford,1.626,1873,1152
2022,0,31646,Emiliano Grillo,1.627,2460,1512
2022,0,29535,Brice Garnett,1.628,2257,1386
2022,0,52375,Doug Ghim,1.628,2462,1512
2022,0,49960,Sepp Straka,1.629,2873,1764
