YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
2024,45,2,46113,Ryan McCormick,"110' 3""","47178' 6""",428
2024,46,0,34099,Harris English,"110' 1""","68136' 8""",619
2024,47,-3,50188,S.H. Kim,"110' 0""","87036' 0""",791
2024,47,2,55454,Carl Yuan,"110' 0""","56992' 8""",518
2024,49,-2,31323,Gary Woodland,"109' 11""","60036' 1""",546
2024,50,0,35461,Beau Hossler,"109' 9""","87773' 6""",800
2024,51,3,48887,Matt Wallace,"109' 8""","56608' 0""",516
2024,52,0,45609,Tyler Duncan,"109' 7""","63543' 4""",580
2024,53,-1,34046,Jordan Spieth,"109' 5""","66541' 7""",608
2024,54,-3,54591,Ben Griffin,"109' 2""","76714' 11""",703
2024,54,1,47483,Will Zalatoris,"109' 2""","53620' 2""",491
2024,56,0,33204,Shane Lowry,"108' 9""","66671' 10""",613
2024,57,1,30926,Chris Kirk,"108' 8""","72372' 10""",666
2024,58,-1,39975,Michael Kim,"108' 7""","67432' 4""",621
2024,59,0,48153,Matthieu Pavon,"107' 11""","56437' 1""",523
2024,60,0,47988,Nick Hardy,"107' 9""","82736' 2""",768
2024,61,0,26476,Chez Reavie,"107' 8""","61495' 11""",571
2024,62,0,50493,Justin Suh,"107' 3""","63273' 10""",590
2024,63,1,32367,Jorge Campillo,"106' 11""","38385' 3""",359
2024,63,1,35450,Patrick Cantlay,"106' 11""","58503' 11""",547
2024,63,0,59836,Pierceson Coody,"106' 11""","66087' 2""",618
2024,66,2,45242,Kevin Yu,"106' 9""","65127' 10""",610
2024,67,-1,47983,Chad Ramey,"106' 8""","67817' 4""",636
2024,68,-1,29420,Billy Horschel,"106' 6""","70593' 11""",663
2024,69,0,51287,Ryo Hisatsune,"106' 1""","70676' 0""",666
2024,70,0,37212,Paul Barjon,"105' 9""","41997' 3""",397
2024,70,1,60067,Joe Highsmith,"105' 9""","62174' 1""",588
2024,72,2,36871,Matt NeSmith,"105' 5""","61984' 1""",588
2024,73,-1,46717,Viktor Hovland,"105' 4""","52444' 9""",498
2024,74,-2,33399,Adam Hadwin,"105' 3""","70095' 5""",666
2024,75,-1,34374,Erik Barnes,"105' 2""","46286' 3""",440
2024,75,1,24024,Zach Johnson,"105' 2""","48066' 10""",457
2024,75,1,48117,Kurt Kitayama,"105' 2""","45440' 3""",432
2024,78,0,33486,Roger Sloan,"104' 11""","63690' 1""",607
2024,79,0,57975,Harry Hall,"104' 9""","67751' 11""",647
2024,79,1,50095,Austin Smotherman,"104' 9""","40235' 8""",384
2024,81,0,59866,Nick Dunlap,"104' 6""","55683' 2""",533
2024,82,0,27649,Brandt Snedeker,"104' 3""","59933' 6""",575
2024,83,3,34021,Bud Cauley,"104' 0""","53152' 0""",511
2024,83,2,32640,Troy Merritt,"104' 0""","64890' 3""",624
2024,83,0,33968,Thorbjørn Olesen,"104' 0""","35565' 8""",342
2024,86,-2,52453,Nicolai Højgaard,"103' 11""","41053' 11""",395
2024,87,2,49960,Sepp Straka,"103' 6""","61563' 11""",595
2024,87,0,33448,Justin Thomas,"103' 6""","48425' 11""",468
2024,89,-1,12716,Charley Hoffman,"103' 5""","57722' 9""",558
2024,89,2,47420,Jake Knapp,"103' 5""","67655' 8""",654
2024,91,-2,23320,Ryan Palmer,"103' 4""","40181' 8""",389
2024,92,-1,32757,Patton Kizzire,"103' 3""","52772' 11""",511
2024,93,-2,40006,Erik van Rooyen,"103' 2""","70054' 7""",679
2024,94,0,57362,Austin Eckroat,"102' 9""","74060' 4""",721
2024,95,1,51349,Nico Echavarria,"102' 6""","67127' 8""",655
2024,96,-1,57900,Chandler Phillips,"102' 5""","76021' 8""",742
2024,97,-1,51977,Max Greyserman,"102' 2""","52701' 5""",516
2024,97,-1,51997,Andrew Novak,"102' 2""","72540' 1""",710
2024,99,0,39324,J.J. Spaun,"102' 0""","70265' 11""",689
2024,100,0,46046,Scottie Scheffler,"101' 7""","60925' 4""",600
2024,101,0,52514,Trace Crowe,"101' 1""","60977' 2""",603
2024,102,0,24502,Adam Scott,"101' 0""","57971' 11""",574
2024,102,1,27214,Kevin Streelman,"101' 0""","55139' 4""",546
2024,104,2,28420,Ryan Brehm,"100' 10""","46177' 2""",458
2024,104,4,49947,Taylor Moore,"100' 10""","79544' 5""",789
2024,104,-1,27349,Alex Noren,"100' 10""","49426' 11""",490
2024,107,-4,27129,Luke List,"100' 9""","60762' 0""",603
2024,107,-1,50525,Collin Morikawa,"100' 9""","56703' 2""",563
2024,109,0,56630,Akshay Bhatia,"100' 6""","79000' 0""",786
2024,109,0,32839,Hideki Matsuyama,"100' 6""","57305' 7""",570
2024,111,0,39977,Max Homa,"100' 5""","55815' 9""",556
2024,112,1,29478,Kevin Kisner,"100' 4""","47943' 0""",478
2024,112,0,35617,Martin Trainer,"100' 4""","38240' 3""",381
2024,114,-1,47806,Raul Pereda,"100' 2""","38969' 6""",389
2024,115,-2,37275,Sam Ryder,"100' 1""","63249' 7""",632
2024,116,0,51634,Sahith Theegala,"100' 0""","78982' 6""",790
2024,117,0,54783,Dylan Wu,"99' 11""","67061' 9""",671
2024,118,0,36326,David Lipsky,"99' 10""","55200' 1""",553
2024,119,1,36801,Mark Hubbard,"99' 3""","83741' 7""",844
2024,120,1,52375,Doug Ghim,"99' 1""","72253' 3""",729
2024,120,-1,54628,Lee Hodges,"99' 1""","71021' 4""",717
2024,122,0,34563,Chesson Hadley,"98' 11""","60257' 0""",609
2024,123,0,31646,Emiliano Grillo,"98' 9""","66762' 3""",676
2024,124,0,40162,Justin Lower,"98' 8""","71941' 8""",729
2024,125,1,48081,Xander Schauffele,"97' 11""","47883' 1""",489
2024,126,2,27644,Brian Harman,"97' 10""","82156' 1""",840
2024,126,-1,49771,J.T. Poston,"97' 10""","73874' 6""",755
2024,128,-1,23108,Matt Kuchar,"97' 9""","65276' 0""",668
2024,129,0,37455,Si Woo Kim,"97' 7""","77455' 1""",794
2024,130,0,52215,Robert MacIntyre,"97' 5""","56123' 3""",576
2024,131,0,52513,Carson Young,"96' 8""","68251' 6""",706
2024,132,0,59442,Parker Coody,"96' 4""","45650' 3""",474
2024,133,0,39997,Corey Conners,"96' 1""","68129' 9""",709
2024,134,0,27064,Jhonattan Vegas,"95' 8""","48993' 2""",512
2024,135,0,29535,Brice Garnett,"95' 3""","39907' 3""",419
2024,136,1,28775,Nate Lashley,"94' 7""","58078' 10""",614
2024,137,1,36699,Patrick Rodgers,"94' 6""","85460' 11""",904
2024,137,-1,32333,Kevin Tway,"94' 6""","38633' 9""",409
2024,139,-1,51070,Vincent Norrman,"94' 5""","41157' 3""",436
2024,140,0,32070,Rafael Campos,"94' 3""","41754' 5""",443
2024,141,0,40026,Daniel Berger,"93' 10""","55831' 0""",595
2024,141,1,54576,Patrick Fishburn,"93' 10""","46637' 3""",497
2024,143,0,39971,Sungjae Im,"92' 11""","70350' 4""",757
2024,144,0,46441,Robby Shelton,"92' 9""","62166' 10""",670
2024,145,1,40058,Zac Blair,"92' 8""","76061' 9""",821
2024,145,0,51894,Vince Whaley,"92' 8""","50597' 0""",546
2024,147,1,27936,Martin Laird,"92' 5""","50078' 0""",542
2024,147,0,47993,Denny McCarthy,"92' 5""","68788' 3""",744
2024,149,0,28252,Seamus Power,"91' 10""","65452' 9""",713
2024,150,0,45522,Christiaan Bezuidenhout,"91' 6""","60228' 5""",658
2024,150,0,35532,Tom Hoge,"91' 6""","73556' 4""",804
2024,152,0,34256,Andrew Putnam,"91' 4""","62632' 7""",686
2024,153,0,29936,Ryan Fox,"90' 9""","55187' 9""",608
2024,154,0,34466,Peter Malnati,"90' 2""","64562' 8""",716
2024,155,0,34076,Joel Dahmen,"90' 0""","69671' 6""",774
2024,156,0,29908,C.T. Pan,"89' 8""","47522' 11""",530
2024,157,0,30927,Brendon Todd,"89' 7""","73621' 8""",822
2024,158,0,60004,Jacob Bridgeman,"89' 4""","52443' 9""",587
2024,159,0,46340,Alex Smalley,"89' 2""","46708' 10""",524
2024,159,1,48119,Ben Taylor,"89' 2""","42263' 10""",474
2024,161,-1,40115,Adam Svensson,"89' 0""","82663' 10""",929
2024,162,0,55182,Tom Kim,"88' 10""","60869' 10""",685
2024,163,1,55789,Taylor Montgomery,"88' 8""","33422' 10""",377
2024,163,0,46414,Aaron Rai,"88' 8""","66609' 2""",751
2024,165,0,40098,Matt Fitzpatrick,"88' 4""","49749' 9""",563
2024,166,0,48699,Callum Tarren,"88' 3""","48889' 5""",554
2024,167,0,48319,Tom Whitney,"88' 1""","46328' 3""",526
2024,168,-1,36884,Ben Kohles,"87' 11""","59069' 6""",672
2024,169,0,39327,Ben Silverman,"87' 6""","70025' 3""",800
2024,170,0,52374,Brandon Wu,"87' 1""","56329' 0""",647
2024,171,-1,22371,Aaron Baddeley,"86' 9""","50067' 6""",577
2024,172,0,25493,Nick Taylor,"86' 4""","61046' 10""",707
2024,173,0,32791,K.H. Lee,"86' 0""","52819' 3""",614
2024,174,0,25900,Lucas Glover,"85' 1""","62594' 5""",736
2024,174,1,27139,David Skinns,"85' 1""","49760' 7""",585
2024,176,0,38991,Alejandro Tosti,"84' 6""","50448' 10""",597
2024,177,-1,46442,Maverick McNealy,"84' 2""","61087' 8""",726
2024,178,0,47347,Adam Schenk,"83' 11""","65349' 8""",779
2024,179,0,34098,Russell Henley,"82' 10""","53163' 1""",642
2024,180,0,30163,Henrik Norlander,"82' 9""","34669' 0""",419
2024,181,0,35310,Lanto Griffin,"81' 10""","42043' 7""",514
2024,182,0,26596,Ryan Moore,"78' 6""","52525' 8""",669
2024,183,0,27770,Camilo Villegas,"78' 3""","32228' 11""",412
2024,184,0,47679,Victor Perez,"77' 11""","37857' 9""",486
2023,1,0,51491,Brandon Matthews,"137' 6""","40419' 8""",294
2023,2,0,32102,Rickie Fowler,"127' 9""","74743' 10""",585
2023,3,0,33141,Keegan Bradley,"127' 0""","78106' 8""",615
2023,4,0,33948,Byeong Hun An,"125' 2""","103499' 9""",827
2023,5,0,57366,Cameron Young,"124' 0""","72892' 10""",588
2023,6,0,32448,James Hahn,"123' 8""","72475' 3""",586
2023,7,0,36799,Stephan Jaeger,"122' 2""","125582' 3""",1028
2023,8,0,47504,Sam Burns,"121' 11""","73034' 4""",599
2023,9,0,28237,Rory McIlroy,"121' 6""","54778' 4""",451
2023,10,0,32366,Kevin Chappell,"120' 4""","42729' 10""",355
2023,11,0,45157,Cam Davis,"119' 11""","79842' 1""",666
2023,12,0,51766,Wyndham Clark,"119' 5""","77364' 7""",648
2023,13,0,52955,Ludvig Åberg,"119' 3""","42935' 9""",360
2023,14,0,40250,Taylor Pendrith,"119' 1""","88823' 8""",746
2023,15,0,33653,Thomas Detry,"117' 6""","66167' 0""",563
2023,16,0,54591,Ben Griffin,"116' 4""","95972' 10""",825
2023,17,0,50493,Justin Suh,"116' 2""","92729' 8""",798
2023,18,0,31323,Gary Woodland,"115' 7""","66462' 3""",575
2023,19,0,28089,Jason Day,"115' 4""","62617' 7""",543
2023,19,0,25632,Jimmy Walker,"115' 4""","76913' 5""",667
2023,21,0,39546,Keith Mitchell,"115' 2""","79108' 0""",687
2023,22,0,48867,Matti Schmid,"114' 5""","45296' 1""",396
2023,23,0,58696,Peter Kuest,"114' 0""","34421' 5""",302
2023,24,0,49453,Trevor Cone,"113' 9""","76206' 10""",670
2023,25,0,46601,Trey Mullinax,"113' 8""","68289' 0""",601
2023,26,0,35450,Patrick Cantlay,"113' 6""","65927' 3""",581
2023,27,0,45242,Kevin Yu,"113' 4""","41255' 9""",364
2023,28,0,30911,Tommy Fleetwood,"112' 7""","57661' 3""",512
2023,28,0,29221,Webb Simpson,"112' 7""","50547' 7""",449
2023,30,0,36871,Matt NeSmith,"112' 6""","87179' 0""",775
2023,31,0,51890,Greyson Sigg,"111' 11""","97448' 6""",871
2023,32,0,47591,Eric Cole,"111' 4""","110465' 11""",992
2023,33,0,34363,Tyrrell Hatton,"111' 2""","69045' 8""",621
2023,33,0,32640,Troy Merritt,"111' 2""","75913' 8""",683
2023,35,0,34255,Joseph Bramlett,"110' 8""","59892' 4""",541
2023,36,0,35506,Mackenzie Hughes,"110' 6""","75152' 1""",680
2023,37,0,22405,Justin Rose,"110' 5""","48702' 11""",441
2023,38,0,39975,Michael Kim,"109' 4""","67547' 11""",618
2023,39,0,31646,Emiliano Grillo,"109' 2""","83611' 2""",766
2023,39,0,47983,Chad Ramey,"109' 2""","95987' 8""",879
2023,41,0,46970,Jon Rahm,"108' 11""","55756' 11""",512
2023,42,0,30926,Chris Kirk,"108' 7""","80756' 7""",744
2023,43,0,50095,Austin Smotherman,"108' 6""","77013' 2""",710
2023,44,0,52411,Kyle Westmoreland,"108' 5""","55746' 7""",514
2023,45,0,55893,Sam Stevens,"108' 3""","90927' 4""",840
2023,45,0,58168,Davis Thompson,"108' 3""","78589' 1""",726
2023,47,0,33204,Shane Lowry,"108' 2""","49858' 10""",461
2023,48,0,35461,Beau Hossler,"108' 1""","91131' 8""",843
2023,49,0,45609,Tyler Duncan,"107' 11""","80951' 6""",750
2023,49,0,29289,S.Y. Noh,"107' 11""","47493' 7""",440
2023,49,0,47995,Davis Riley,"107' 11""","72518' 9""",672
2023,52,0,55708,Hayden Buckley,"107' 7""","61991' 0""",576
2023,52,0,32662,Michael Gligic,"107' 7""","48427' 4""",450
2023,52,0,24024,Zach Johnson,"107' 7""","55625' 0""",517
2023,55,0,29420,Billy Horschel,"107' 6""","51932' 1""",483
2023,56,0,50188,S.H. Kim,"107' 5""","91063' 5""",848
2023,57,0,35449,Adam Long,"107' 3""","87751' 9""",818
2023,58,0,48084,Wesley Bryan,"107' 2""","27963' 8""",261
2023,59,0,30692,Scott Stallings,"106' 9""","63194' 0""",592
2023,60,0,28420,Ryan Brehm,"106' 8""","61528' 4""",577
2023,61,0,39058,Lucas Herbert,"106' 7""","38781' 9""",364
2023,62,0,57362,Austin Eckroat,"106' 0""","70392' 8""",664
2023,63,0,33410,Andrew Landry,"105' 10""","67122' 7""",634
2023,63,0,55454,Carl Yuan,"105' 10""","70250' 6""",664
2023,65,0,56762,Will Gordon,"105' 8""","69419' 1""",657
2023,65,0,57975,Harry Hall,"105' 8""","67220' 7""",636
2023,65,0,23108,Matt Kuchar,"105' 8""","82205' 4""",778
2023,65,0,24140,Sean O'Hair,"105' 8""","30652' 6""",290
2023,69,0,48119,Ben Taylor,"105' 7""","68002' 0""",644
2023,70,0,39997,Corey Conners,"105' 6""","80171' 11""",760
2023,70,0,49960,Sepp Straka,"105' 6""","77863' 10""",738
2023,72,0,33408,Tyson Alexander,"105' 5""","67465' 7""",640
2023,73,0,20229,Stewart Cink,"105' 4""","62465' 5""",593
2023,73,0,36724,Augusto Núñez,"105' 4""","52228' 2""",496
2023,75,0,27554,Scott Harrington,"105' 3""","60731' 8""",577
2023,76,0,51349,Nico Echavarria,"105' 1""","58102' 8""",553
2023,76,0,31577,Tano Goya,"105' 1""","55286' 5""",526
2023,78,0,35617,Martin Trainer,"105' 0""","37066' 7""",353
2023,79,0,52374,Brandon Wu,"104' 8""","91446' 0""",874
2023,80,0,51414,Brent Grant,"104' 7""","54916' 11""",525
2023,81,0,26476,Chez Reavie,"104' 6""","84623' 6""",810
2023,82,0,33399,Adam Hadwin,"104' 1""","83883' 2""",806
2023,82,0,50525,Collin Morikawa,"104' 1""","61390' 5""",590
2023,84,0,29725,Tony Finau,"104' 0""","72992' 10""",702
2023,84,0,49771,J.T. Poston,"104' 0""","79367' 6""",763
2023,86,0,54421,Garrick Higgo,"103' 11""","77812' 9""",749
2023,87,0,47988,Nick Hardy,"103' 10""","80589' 3""",776
2023,87,0,40006,Erik van Rooyen,"103' 10""","51690' 2""",498
2023,89,0,27214,Kevin Streelman,"103' 9""","76564' 4""",738
2023,90,0,51070,Vincent Norrman,"103' 8""","59803' 9""",577
2023,91,0,29970,Dylan Frittelli,"103' 6""","56596' 7""",547
2023,91,0,48887,Matt Wallace,"103' 6""","56099' 4""",542
2023,93,0,47079,Harrison Endycott,"103' 4""","68533' 7""",663
2023,94,0,24502,Adam Scott,"103' 3""","47589' 6""",461
2023,95,0,40098,Matt Fitzpatrick,"103' 0""","63245' 4""",614
2023,95,0,54628,Lee Hodges,"103' 0""","87124' 11""",846
2023,97,0,23320,Ryan Palmer,"102' 11""","69493' 10""",675
2023,97,0,32139,Danny Willett,"102' 11""","51556' 2""",501
2023,99,0,47128,Richy Werenski,"102' 10""","63558' 11""",618
2023,100,0,46046,Scottie Scheffler,"102' 9""","68820' 8""",670
2023,100,0,51634,Sahith Theegala,"102' 9""","81708' 6""",795
2023,102,0,39324,J.J. Spaun,"102' 6""","80879' 1""",789
2023,103,0,47993,Denny McCarthy,"102' 5""","78980' 0""",771
2023,104,0,52453,Nicolai Hojgaard,"101' 11""","29141' 0""",286
2023,105,0,48081,Xander Schauffele,"101' 8""","50539' 10""",497
2023,106,0,54783,Dylan Wu,"101' 7""","71848' 9""",707
2023,107,0,52375,Doug Ghim,"101' 6""","62912' 3""",620
2023,107,0,55182,Tom Kim,"101' 6""","72500' 0""",714
2023,109,0,35532,Tom Hoge,"101' 5""","76453' 0""",754
2023,109,0,27974,Sung Kang,"101' 5""","26564' 5""",262
2023,109,0,27963,Chris Stroud,"101' 5""","39162' 3""",386
2023,112,0,33448,Justin Thomas,"101' 3""","57823' 11""",571
2023,113,0,40162,Justin Lower,"101' 1""","69756' 10""",690
2023,114,0,34046,Jordan Spieth,"100' 10""","60295' 11""",598
2023,115,0,24925,Jonathan Byrd,"100' 8""","32303' 1""",321
2023,116,0,35901,Paul Haley II,"100' 7""","71417' 11""",710
2023,117,0,55789,Taylor Montgomery,"100' 6""","62200' 7""",619
2023,118,0,22056,Cameron Percy,"100' 4""","45365' 7""",452
2023,119,0,34099,Harris English,"100' 3""","55558' 3""",554
2023,120,0,46717,Viktor Hovland,"100' 1""","61744' 11""",617
2023,121,0,48117,Kurt Kitayama,"99' 10""","28346' 6""",284
2023,122,0,32757,Patton Kizzire,"99' 7""","75893' 10""",762
2023,122,0,27129,Luke List,"99' 7""","77304' 4""",776
2023,124,0,32839,Hideki Matsuyama,"99' 6""","65593' 8""",659
2023,125,0,12716,Charley Hoffman,"99' 0""","53142' 7""",537
2023,126,0,52372,Cameron Champ,"98' 9""","36925' 2""",374
2023,127,0,33413,Ben Martin,"98' 3""","70723' 7""",720
2023,128,0,34563,Chesson Hadley,"97' 9""","66562' 11""",681
2023,128,0,49766,Hank Lebioda,"97' 9""","37132' 7""",380
2023,130,0,39977,Max Homa,"97' 8""","67497' 9""",691
2023,130,0,39971,Sungjae Im,"97' 8""","86399' 5""",885
2023,132,0,52513,Carson Young,"97' 6""","64946' 7""",666
2023,133,0,32791,K.H. Lee,"97' 4""","67088' 7""",689
2023,133,0,36699,Patrick Rodgers,"97' 4""","84060' 10""",864
2023,135,0,27644,Brian Harman,"97' 1""","82835' 2""",853
2023,135,0,39335,Kevin Roy,"97' 1""","43788' 6""",451
2023,137,0,36801,Mark Hubbard,"96' 10""","78564' 9""",811
2023,138,0,32816,Satoshi Kodaira,"96' 7""","42879' 5""",444
2023,138,0,29908,C.T. Pan,"96' 7""","35457' 11""",367
2023,138,0,46441,Robby Shelton,"96' 7""","69744' 0""",722
2023,141,0,51997,Andrew Novak,"96' 6""","56851' 5""",589
2023,142,0,59018,Ryan Gerard,"96' 5""","43694' 6""",453
2023,142,0,36326,David Lipsky,"96' 5""","70951' 0""",736
2023,144,0,46442,Maverick McNealy,"96' 0""","38797' 1""",404
2023,145,0,45522,Christiaan Bezuidenhout,"95' 11""","70469' 9""",735
2023,145,0,25818,Scott Piercy,"95' 11""","73476' 11""",766
2023,147,0,39954,Cody Gribble,"95' 9""","42895' 11""",448
2023,148,0,27936,Martin Laird,"95' 5""","58379' 2""",612
2023,149,0,37455,Si Woo Kim,"95' 4""","89148' 7""",935
2023,150,0,56630,Akshay Bhatia,"95' 2""","49203' 9""",517
2023,151,0,46340,Alex Smalley,"94' 10""","73182' 11""",772
2023,152,0,58967,Trevor Werbylo,"94' 7""","53804' 3""",569
2023,153,0,37338,Zecheng Dou,"94' 6""","68810' 8""",728
2023,153,0,27349,Alex Noren,"94' 6""","59933' 3""",634
2023,155,0,34098,Russell Henley,"94' 2""","65240' 11""",693
2023,156,0,46435,Austin Cook,"94' 0""","53770' 3""",572
2023,156,0,29535,Brice Garnett,"94' 0""","57338' 3""",610
2023,158,0,28775,Nate Lashley,"93' 10""","74243' 4""",791
2023,159,0,51950,Max McGreevy,"93' 9""","57827' 2""",617
2023,160,0,34466,Peter Malnati,"93' 6""","74168' 10""",793
2023,160,0,25493,Nick Taylor,"93' 6""","63882' 0""",683
2023,162,0,35310,Lanto Griffin,"93' 4""","32758' 5""",351
2023,162,0,32333,Kevin Tway,"93' 4""","61018' 7""",654
2023,164,0,33597,Harry Higgs,"93' 3""","55368' 5""",594
2023,165,0,34076,Joel Dahmen,"93' 1""","74476' 0""",800
2023,166,0,39067,MJ Daffue,"92' 11""","65905' 11""",709
2023,167,0,49947,Taylor Moore,"91' 11""","71389' 3""",777
2023,168,0,31557,Jim Herman,"91' 10""","49596' 7""",540
2023,168,0,30927,Brendon Todd,"91' 10""","74830' 8""",815
2023,170,0,34610,Matthias Schwab,"91' 9""","70829' 7""",772
2023,171,0,47347,Adam Schenk,"91' 8""","75688' 1""",826
2023,172,0,53165,Doc Redman,"90' 11""","59531' 2""",655
2023,173,0,40115,Adam Svensson,"90' 10""","86556' 9""",953
2023,174,0,19803,Ryan Armour,"90' 9""","64728' 0""",713
2023,174,0,37275,Sam Ryder,"90' 9""","79702' 5""",878
2023,176,0,48699,Callum Tarren,"90' 3""","68974' 11""",764
2023,177,0,25686,Jason Dufner,"90' 1""","57104' 1""",634
2023,178,0,25900,Lucas Glover,"90' 0""","64355' 2""",715
2023,179,0,28252,Seamus Power,"89' 10""","52982' 0""",590
2023,180,0,49298,Kramer Hickok,"89' 6""","61760' 8""",690
2023,181,0,31202,William McGirt,"89' 1""","35172' 8""",395
2023,182,0,31560,Brian Stuard,"88' 2""","42841' 0""",486
2023,183,0,40058,Zac Blair,"86' 6""","58993' 7""",682
2023,183,0,46414,Aaron Rai,"86' 6""","71719' 11""",829
2023,185,0,30163,Henrik Norlander,"85' 10""","50375' 4""",587
2023,186,0,33122,Russell Knox,"84' 7""","67424' 1""",797
2023,187,0,34409,David Lingmerth,"84' 2""","52944' 2""",629
2023,188,0,34256,Andrew Putnam,"84' 1""","69449' 2""",826
2023,189,0,27095,Nick Watney,"83' 8""","37401' 6""",447
2023,190,0,22371,Aaron Baddeley,"82' 8""","38109' 10""",461
2023,190,0,35879,Kelly Kraft,"82' 8""","58937' 2""",713
2023,192,0,34431,Robert Streb,"81' 9""","48457' 11""",593
2023,193,0,26596,Ryan Moore,"78' 2""","53537' 9""",685
2022,1,0,45157,Cam Davis,"128' 2""","81113' 9""",633
2022,2,0,32366,Kevin Chappell,"127' 8""","53113' 1""",416
2022,3,0,56278,Matthew Wolff,"125' 7""","40199' 2""",320
2022,4,0,33141,Keegan Bradley,"123' 11""","72378' 9""",584
2022,5,0,28237,Rory McIlroy,"123' 4""","51552' 6""",418
2022,6,0,32448,James Hahn,"123' 3""","70271' 7""",570
2022,7,0,39546,Keith Mitchell,"122' 0""","80889' 1""",663
2022,8,0,57366,Cameron Young,"121' 3""","82564' 7""",681
2022,9,0,30944,Jason Kokrak,"121' 1""","41539' 10""",343
2022,10,0,40250,Taylor Pendrith,"119' 7""","71767' 11""",600
2022,11,0,51890,Greyson Sigg,"118' 5""","85853' 3""",725
2022,11,0,47483,Will Zalatoris,"118' 5""","62427' 5""",527
2022,13,0,33486,Roger Sloan,"117' 5""","68212' 4""",581
2022,14,0,34255,Joseph Bramlett,"117' 4""","58085' 11""",495
2022,15,0,32102,Rickie Fowler,"116' 9""","60572' 8""",519
2022,16,0,35461,Beau Hossler,"115' 8""","67789' 11""",586
2022,17,0,51766,Wyndham Clark,"114' 11""","73405' 3""",639
2022,18,0,36799,Stephan Jaeger,"114' 3""","78161' 1""",684
2022,19,0,36689,Brooks Koepka,"113' 8""","34677' 5""",305
2022,20,0,30911,Tommy Fleetwood,"113' 4""","33998' 9""",300
2022,21,0,24924,Bill Haas,"113' 2""","69361' 0""",613
2022,22,0,10381,Curtis Thompson,"112' 9""","41933' 9""",372
2022,23,0,35450,Patrick Cantlay,"112' 4""","48425' 6""",431
2022,24,0,48117,Kurt Kitayama,"111' 8""","46354' 10""",415
