YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
2024,112,0,35532,Tom Hoge,81.89%,1153,1408
2024,113,0,36699,Patrick Rodgers,81.87%,1138,1390
2024,114,0,59836,Pierceson Coody,81.86%,889,1086
2024,114,0,46442,Maverick McNealy,81.86%,1047,1279
2024,116,0,39975,Michael Kim,81.85%,920,1124
2024,117,0,52514,Trace Crowe,81.78%,772,944
2024,118,0,55182,Tom Kim,81.65%,903,1106
2024,119,0,24502,Adam Scott,81.41%,806,990
2024,120,0,29420,Billy Horschel,81.40%,858,1054
2024,121,0,28237,Rory McIlroy,81.39%,783,962
2024,121,0,27649,Brandt Snedeker,81.39%,656,806
2024,123,0,27129,Luke List,81.38%,874,1074
2024,124,0,47504,Sam Burns,81.35%,833,1024
2024,125,0,36799,Stephan Jaeger,81.33%,893,1098
2024,126,0,27139,David Skinns,81.31%,922,1134
2024,127,0,47347,Adam Schenk,81.23%,1043,1284
2024,128,0,32070,Rafael Campos,81.13%,675,832
2024,129,0,40098,Matt Fitzpatrick,80.99%,805,994
2024,130,0,29478,Kevin Kisner,80.98%,609,752
2024,131,0,37378,Min Woo Lee,80.96%,740,914
2024,132,0,32839,Hideki Matsuyama,80.95%,837,1034
2024,133,0,52666,Sami Valimaki,80.87%,668,826
2024,134,0,33399,Adam Hadwin,80.85%,891,1102
2024,134,0,29221,Webb Simpson,80.85%,574,710
2024,136,0,55454,Carl Yuan,80.81%,716,886
2024,137,0,40250,Taylor Pendrith,80.78%,853,1056
2024,137,0,57366,Cameron Young,80.78%,916,1134
2024,139,0,32102,Rickie Fowler,80.76%,869,1076
2024,140,0,46113,Ryan McCormick,80.61%,682,846
2024,141,0,57975,Harry Hall,80.53%,889,1104
2024,142,0,28089,Jason Day,80.48%,779,968
2024,143,0,46441,Robby Shelton,80.36%,847,1054
2024,144,0,33408,Tyson Alexander,80.33%,837,1042
2024,145,0,12716,Charley Hoffman,80.27%,777,968
2024,146,0,27770,Camilo Villegas,80.15%,642,801
2024,147,0,48699,Callum Tarren,80.10%,777,970
2024,148,0,35450,Patrick Cantlay,80.09%,732,914
2024,148,0,51070,Vincent Norrman,80.09%,547,683
2024,148,0,47483,Will Zalatoris,80.09%,732,914
2024,151,0,59095,Chris Gotterup,80.08%,784,979
2024,152,0,31323,Gary Woodland,80.02%,885,1106
2024,153,0,52215,Robert MacIntyre,79.98%,795,994
2024,154,0,51894,Vince Whaley,79.80%,798,1000
2024,155,0,37212,Paul Barjon,79.76%,587,736
2024,156,0,45157,Cam Davis,79.61%,855,1074
2024,157,0,22371,Aaron Baddeley,79.60%,804,1010
2024,158,0,56149,Wilson Furr,79.57%,627,788
2024,159,0,33653,Thomas Detry,79.55%,735,924
2024,160,0,47993,Denny McCarthy,79.51%,970,1220
2024,161,0,33448,Justin Thomas,79.37%,735,926
2024,162,0,47420,Jake Knapp,79.31%,828,1044
2024,163,0,51766,Wyndham Clark,79.23%,740,934
2024,164,0,33948,Byeong Hun An,79.18%,833,1052
2024,164,0,38991,Alejandro Tosti,79.18%,757,956
2024,166,0,50188,S.H. Kim,79.05%,1151,1456
2024,167,0,35617,Martin Trainer,78.67%,546,694
2024,168,0,33968,Thorbjørn Olesen,78.64%,519,660
2024,169,0,59442,Parker Coody,78.55%,597,760
2024,170,0,29936,Ryan Fox,78.53%,845,1076
2024,171,0,48119,Ben Taylor,78.42%,676,862
2024,172,0,39977,Max Homa,78.40%,864,1102
2024,173,0,59866,Nick Dunlap,78.37%,732,934
2024,174,0,50497,Adrien Dumont de Chassart,78.31%,805,1028
2024,175,0,47995,Davis Riley,78.16%,791,1012
2024,176,0,47591,Eric Cole,78.12%,1164,1490
2024,177,0,52453,Nicolai Højgaard,77.97%,616,790
2024,178,0,35506,Mackenzie Hughes,77.88%,1028,1320
2024,179,0,60767,Blaine Hale Jr.,77.15%,557,722
2024,180,0,45522,Christiaan Bezuidenhout,77.05%,816,1059
2024,181,0,34374,Erik Barnes,76.97%,575,747
2024,182,0,34466,Peter Malnati,76.20%,794,1042
2024,183,0,47806,Raul Pereda,76.15%,495,650
2024,184,0,55789,Taylor Montgomery,73.26%,548,748
2023,1,0,32816,Satoshi Kodaira,87.34%,759,869
2023,2,0,19803,Ryan Armour,87.00%,1111,1277
2023,3,0,26596,Ryan Moore,86.97%,1008,1159
2023,4,0,52955,Ludvig Åberg,86.53%,604,698
2023,5,0,52375,Doug Ghim,86.43%,1121,1297
2023,6,0,25900,Lucas Glover,86.33%,1206,1397
2023,7,0,32448,James Hahn,85.87%,954,1111
2023,7,0,46414,Aaron Rai,85.87%,1252,1458
2023,9,0,45609,Tyler Duncan,85.84%,1128,1314
2023,10,0,34098,Russell Henley,85.78%,1007,1174
2023,11,0,31577,Tano Goya,85.77%,1073,1251
2023,12,0,56630,Akshay Bhatia,85.73%,1003,1170
2023,13,0,52513,Carson Young,85.72%,1183,1380
2023,14,0,39954,Cody Gribble,85.64%,835,975
2023,15,0,24140,Sean O'Hair,85.62%,619,723
2023,16,0,29535,Brice Garnett,85.51%,1027,1201
2023,17,0,45242,Kevin Yu,85.41%,843,987
2023,18,0,46046,Scottie Scheffler,85.38%,1045,1224
2023,19,0,35879,Kelly Kraft,85.26%,1070,1255
2023,20,0,51414,Brent Grant,85.23%,998,1171
2023,21,0,50525,Collin Morikawa,85.17%,959,1126
2023,22,0,53165,Doc Redman,85.07%,923,1085
2023,23,0,58696,Peter Kuest,85.03%,551,648
2023,24,0,55182,Tom Kim,84.90%,1063,1252
2023,25,0,22056,Cameron Percy,84.89%,792,933
2023,26,0,35449,Adam Long,84.85%,1333,1571
2023,27,0,39324,J.J. Spaun,84.83%,1208,1424
2023,28,0,57362,Austin Eckroat,84.75%,1145,1351
2023,29,0,55708,Hayden Buckley,84.73%,988,1166
2023,30,0,35450,Patrick Cantlay,84.69%,852,1006
2023,31,0,35310,Lanto Griffin,84.65%,673,795
2023,32,0,27644,Brian Harman,84.57%,1096,1296
2023,33,0,30927,Brendon Todd,84.44%,1232,1459
2023,34,0,23108,Matt Kuchar,84.39%,1076,1275
2023,35,0,49298,Kramer Hickok,84.27%,1141,1354
2023,36,0,33122,Russell Knox,84.25%,1337,1587
2023,36,0,28775,Nate Lashley,84.25%,1257,1492
2023,38,0,34256,Andrew Putnam,84.21%,1291,1533
2023,39,0,36871,Matt NeSmith,84.20%,1156,1373
2023,40,0,56762,Will Gordon,84.14%,1294,1538
2023,41,0,27936,Martin Laird,84.12%,1028,1222
2023,42,0,33413,Ben Martin,84.11%,1202,1429
2023,43,0,24024,Zach Johnson,84.04%,795,946
2023,44,0,30163,Henrik Norlander,84.00%,1066,1269
2023,45,0,54783,Dylan Wu,83.93%,1233,1469
2023,46,0,46435,Austin Cook,83.91%,991,1181
2023,47,0,39067,MJ Daffue,83.86%,1205,1437
2023,47,0,37455,Si Woo Kim,83.86%,1164,1388
2023,49,0,32366,Kevin Chappell,83.74%,654,781
2023,49,0,32640,Troy Merritt,83.74%,1071,1279
2023,51,0,51890,Greyson Sigg,83.62%,1225,1465
2023,52,0,26476,Chez Reavie,83.61%,1122,1342
2023,53,0,36724,Augusto Núñez,83.60%,989,1183
2023,54,0,40115,Adam Svensson,83.57%,1419,1698
2023,55,0,48867,Matti Schmid,83.50%,921,1103
2023,56,0,27129,Luke List,83.48%,1157,1386
2023,57,0,31557,Jim Herman,83.47%,899,1077
2023,58,0,36326,David Lipsky,83.42%,1187,1423
2023,59,0,27963,Chris Stroud,83.40%,663,795
2023,60,0,36799,Stephan Jaeger,83.39%,1411,1692
2023,61,0,33410,Andrew Landry,83.38%,933,1119
2023,62,0,40058,Zac Blair,83.32%,899,1079
2023,63,0,47079,Harrison Endycott,83.24%,1033,1241
2023,64,0,49766,Hank Lebioda,83.23%,705,847
2023,65,0,32791,K.H. Lee,83.22%,1235,1484
2023,66,0,49453,Trevor Cone,83.20%,951,1143
2023,66,0,33399,Adam Hadwin,83.20%,1020,1226
2023,68,0,39997,Corey Conners,83.19%,1000,1202
2023,69,0,25686,Jason Dufner,83.18%,1058,1272
2023,70,0,39335,Kevin Roy,83.16%,879,1057
2023,71,0,35901,Paul Haley II,83.11%,1063,1279
2023,72,0,34076,Joel Dahmen,83.06%,1054,1269
2023,73,0,23320,Ryan Palmer,83.05%,916,1103
2023,74,0,46340,Alex Smalley,83.02%,1291,1555
2023,75,0,29908,C.T. Pan,83.00%,620,747
2023,76,0,46717,Viktor Hovland,82.99%,1015,1223
2023,77,0,36801,Mark Hubbard,82.94%,1337,1612
2023,77,0,49960,Sepp Straka,82.94%,1065,1284
2023,79,0,33204,Shane Lowry,82.87%,716,864
2023,80,0,50493,Justin Suh,82.85%,1309,1580
2023,81,0,24925,Jonathan Byrd,82.80%,693,837
2023,82,0,31646,Emiliano Grillo,82.78%,1298,1568
2023,83,0,34610,Matthias Schwab,82.72%,1187,1435
2023,84,0,47983,Chad Ramey,82.68%,1165,1409
2023,85,0,35461,Beau Hossler,82.67%,1259,1523
2023,86,0,39546,Keith Mitchell,82.66%,1077,1303
2023,87,0,28089,Jason Day,82.59%,920,1114
2023,88,0,40162,Justin Lower,82.58%,1256,1521
2023,89,0,47993,Denny McCarthy,82.55%,1145,1387
2023,90,0,28252,Seamus Power,82.51%,948,1149
2023,91,0,52372,Cameron Champ,82.47%,889,1078
2023,91,0,34363,Tyrrell Hatton,82.47%,894,1084
2023,93,0,31202,William McGirt,82.46%,611,741
2023,94,0,34409,David Lingmerth,82.43%,1004,1218
2023,94,0,31560,Brian Stuard,82.43%,840,1019
2023,96,0,59018,Ryan Gerard,82.33%,708,860
2023,96,0,34431,Robert Streb,82.33%,932,1132
2023,98,0,25818,Scott Piercy,82.26%,1136,1381
2023,99,0,52374,Brandon Wu,82.17%,1309,1593
2023,100,0,55893,Sam Stevens,82.16%,1207,1469
2023,101,0,46970,Jon Rahm,82.12%,813,990
2023,102,0,31323,Gary Woodland,82.05%,937,1142
2023,103,0,49771,J.T. Poston,81.99%,1143,1394
2023,104,0,39975,Michael Kim,81.95%,1099,1341
2023,105,0,29725,Tony Finau,81.85%,956,1168
2023,106,0,34563,Chesson Hadley,81.83%,1076,1315
2023,107,0,50095,Austin Smotherman,81.78%,1140,1394
2023,108,0,40006,Erik van Rooyen,81.76%,883,1080
2023,109,0,57366,Cameron Young,81.73%,984,1204
2023,110,0,47988,Nick Hardy,81.72%,1341,1641
2023,110,0,29221,Webb Simpson,81.72%,648,793
2023,112,0,58168,Davis Thompson,81.69%,1093,1338
2023,113,0,51349,Nico Echavarria,81.68%,883,1081
2023,114,0,39971,Sungjae Im,81.63%,1182,1448
2023,115,0,27214,Kevin Streelman,81.54%,1082,1327
2023,116,0,30926,Chris Kirk,81.49%,1048,1286
2023,117,0,34099,Harris English,81.41%,1099,1350
2023,118,0,54591,Ben Griffin,81.38%,1342,1649
2023,118,0,25493,Nick Taylor,81.38%,1049,1289
2023,120,0,22405,Justin Rose,81.23%,766,943
2023,121,0,29420,Billy Horschel,81.17%,724,892
2023,121,0,51070,Vincent Norrman,81.17%,957,1179
2023,123,0,30911,Tommy Fleetwood,81.15%,831,1024
2023,123,0,51997,Andrew Novak,81.15%,1072,1321
2023,123,0,40250,Taylor Pendrith,81.15%,1119,1379
2023,126,0,35532,Tom Hoge,80.97%,1170,1445
2023,127,0,12716,Charley Hoffman,80.79%,904,1119
2023,128,0,51766,Wyndham Clark,80.77%,1134,1404
2023,129,0,39977,Max Homa,80.70%,970,1202
2023,129,0,35617,Martin Trainer,80.70%,711,881
2023,131,0,27554,Scott Harrington,80.63%,899,1115
2023,131,0,32839,Hideki Matsuyama,80.63%,974,1208
2023,133,0,47347,Adam Schenk,80.59%,1329,1649
2023,134,0,47591,Eric Cole,80.57%,1406,1745
2023,135,0,47995,Davis Riley,80.53%,1133,1407
2023,136,0,22371,Aaron Baddeley,80.47%,894,1111
2023,137,0,33653,Thomas Detry,80.46%,1108,1377
2023,138,0,37275,Sam Ryder,80.45%,1239,1540
2023,138,0,32333,Kevin Tway,80.45%,1132,1407
2023,140,0,48084,Wesley Bryan,80.42%,538,669
2023,141,0,45522,Christiaan Bezuidenhout,80.40%,997,1240
2023,142,0,33141,Keegan Bradley,80.39%,918,1142
2023,143,0,48081,Xander Schauffele,80.34%,899,1119
2023,144,0,54628,Lee Hodges,80.27%,1188,1480
2023,145,0,33448,Justin Thomas,80.24%,804,1002
2023,146,0,32102,Rickie Fowler,80.20%,1065,1328
2023,146,0,47128,Richy Werenski,80.20%,1106,1379
2023,148,0,50188,S.H. Kim,80.18%,1234,1539
2023,149,0,24502,Adam Scott,80.17%,760,948
2023,150,0,52453,Nicolai Hojgaard,80.13%,508,634
2023,151,0,40098,Matt Fitzpatrick,80.12%,818,1021
2023,152,0,54421,Garrick Higgo,80.10%,1147,1432
2023,153,0,32757,Patton Kizzire,80.04%,1119,1398
2023,153,0,46441,Robby Shelton,80.04%,1155,1443
2023,155,0,45157,Cam Davis,80.03%,1010,1262
2023,156,0,33597,Harry Higgs,79.91%,939,1175
2023,157,0,51950,Max McGreevy,79.78%,1022,1281
2023,158,0,34046,Jordan Spieth,79.76%,800,1003
2023,159,0,28237,Rory McIlroy,79.60%,710,892
2023,160,0,34255,Joseph Bramlett,79.46%,878,1105
2023,161,0,30692,Scott Stallings,79.42%,930,1171
2023,162,0,32139,Danny Willett,79.34%,741,934
2023,163,0,55454,Carl Yuan,79.26%,925,1167
2023,164,0,52411,Kyle Westmoreland,79.16%,870,1099
2023,165,0,37338,Zecheng Dou,79.14%,1066,1347
2023,166,0,27349,Alex Noren,79.12%,1008,1274
2023,167,0,33408,Tyson Alexander,78.97%,1040,1317
2023,168,0,48699,Callum Tarren,78.87%,1086,1377
2023,169,0,58967,Trevor Werbylo,78.85%,906,1149
2023,170,0,20229,Stewart Cink,78.69%,875,1112
2023,171,0,33948,Byeong Hun An,78.66%,1143,1453
2023,172,0,32662,Michael Gligic,78.62%,798,1015
2023,173,0,49947,Taylor Moore,78.60%,1098,1397
2023,174,0,57975,Harry Hall,78.49%,1109,1413
2023,175,0,28420,Ryan Brehm,78.39%,943,1203
2023,176,0,48887,Matt Wallace,78.29%,905,1156
2023,177,0,35506,Mackenzie Hughes,78.28%,966,1234
2023,178,0,27974,Sung Kang,78.17%,537,687
2023,179,0,29289,S.Y. Noh,78.14%,740,947
2023,180,0,47504,Sam Burns,77.99%,879,1127
2023,181,0,36699,Patrick Rodgers,77.95%,1096,1406
2023,182,0,48119,Ben Taylor,77.88%,1141,1465
2023,183,0,51491,Brandon Matthews,77.71%,638,821
2023,184,0,25632,Jimmy Walker,77.62%,926,1193
2023,185,0,55789,Taylor Montgomery,77.54%,1098,1416
2023,186,0,51634,Sahith Theegala,77.34%,1140,1474
2023,187,0,34466,Peter Malnati,76.87%,1017,1323
2023,188,0,39058,Lucas Herbert,76.46%,656,858
2023,189,0,46442,Maverick McNealy,76.36%,662,867
2023,190,0,48117,Kurt Kitayama,76.03%,755,993
2023,191,0,46601,Trey Mullinax,75.71%,751,992
2023,192,0,27095,Nick Watney,74.98%,794,1059
2023,193,0,29970,Dylan Frittelli,71.83%,775,1079
2022,1,0,45526,Abraham Ancer,87.78,718,818
2022,2,0,19803,Ryan Armour,87.41,604,691
2022,3,0,39997,Corey Conners,86.7,1056,1218
2022,4,0,32816,Satoshi Kodaira,86.65,610,704
2022,5,0,46414,Aaron Rai,86.48,1068,1235
2022,6,0,55708,Hayden Buckley,86.32,1092,1265
2022,7,0,34098,Russell Henley,86.31,946,1096
2022,8,0,27936,Martin Laird,86.06,790,918
2022,9,0,31560,Brian Stuard,86.03,1059,1231
2022,10,0,26476,Chez Reavie,85.81,1010,1177
2022,11,0,27214,Kevin Streelman,85.73,1045,1219
2022,12,0,23325,Vaughn Taylor,85.56,628,734
2022,13,0,21961,Charles Howell III,85.51,643,752
2022,14,0,33122,Russell Knox,85.4,1053,1233
2022,15,0,39953,Chase Seiffert,85.15,602,707
2022,16,0,34076,Joel Dahmen,85.12,1007,1183
2022,17,0,28775,Nate Lashley,85.09,896,1053
2022,18,0,51890,Greyson Sigg,85.08,1061,1247
2022,19,0,39971,Sungjae Im,85.06,1053,1238
2022,20,0,31557,Jim Herman,84.99,600,706
2022,21,0,27644,Brian Harman,84.89,1079,1271
2022,22,0,30927,Brendon Todd,84.83,973,1147
2022,23,0,45609,Tyler Duncan,84.76,962,1135
2022,24,0,25900,Lucas Glover,84.73,1104,1303
2022,25,0,47529,Mito Pereira,84.67,1049,1239
2022,26,0,22056,Cameron Percy,84.56,515,609
2022,27,0,36801,Mark Hubbard,84.52,797,943
2022,27,0,52374,Brandon Wu,84.52,868,1027
2022,29,0,50525,Collin Morikawa,84.49,708,838
2022,30,0,29535,Brice Garnett,84.48,898,1063
2022,31,0,33204,Shane Lowry,84.44,684,810
2022,32,0,36326,David Lipsky,84.22,1025,1217
2022,33,0,40098,Matt Fitzpatrick,84.21,821,975
2022,33,0,29478,Kevin Kisner,84.21,784,931
2022,33,0,47856,Seth Reeves,84.21,784,931
2022,36,0,46435,Austin Cook,84.12,805,957
2022,37,0,31646,Emiliano Grillo,84.05,980,1166
2022,37,0,34174,John Huh,84.05,859,1022
2022,39,0,30926,Chris Kirk,84.0,982,1169
2022,40,0,32448,James Hahn,83.84,825,984
2022,41,0,29725,Tony Finau,83.75,1010,1206
2022,41,0,49947,Taylor Moore,83.75,979,1169
2022,41,0,32150,Michael Thompson,83.75,979,1169
2022,44,0,46402,Talor Gooch,83.73,839,1002
2022,45,0,47993,Denny McCarthy,83.61,1163,1391
2022,46,0,28252,Seamus Power,83.59,917,1097
2022,47,0,36871,Matthew NeSmith,83.58,1064,1273
2022,48,0,29420,Billy Horschel,83.54,827,990
2022,49,0,46046,Scottie Scheffler,83.48,980,1174
2022,50,0,52375,Doug Ghim,83.45,968,1160
2022,51,0,48081,Xander Schauffele,83.43,841,1008
2022,52,0,54628,Lee Hodges,83.37,1073,1287
2022,53,0,49298,Kramer Hickok,83.36,1047,1256
2022,54,0,40115,Adam Svensson,83.35,1156,1387
2022,55,0,32839,Hideki Matsuyama,83.33,845,1014
2022,55,0,30163,Henrik Norlander,83.33,830,996
2022,55,0,46970,Jon Rahm,83.33,820,984
2022,58,0,47983,Chad Ramey,83.25,845,1015
2022,59,0,46340,Alex Smalley,83.24,1068,1283
2022,60,0,33399,Adam Hadwin,83.21,1041,1251
2022,61,0,35879,Kelly Kraft,83.18,791,951
2022,62,0,35450,Patrick Cantlay,83.11,797,959
2022,63,0,47995,Davis Riley,82.96,1081,1303
2022,64,0,39546,Keith Mitchell,82.93,991,1195
2022,64,0,48822,Sebastián Muñoz,82.93,957,1154
2022,66,0,29518,Brendan Steele,82.91,844,1018
2022,67,0,29908,C.T. Pan,82.89,940,1134
2022,68,0,20229,Stewart Cink,82.88,891,1075
2022,69,0,37455,Si Woo Kim,82.87,1142,1378
2022,69,0,30944,Jason Kokrak,82.87,711,858
2022,71,0,45486,Joaquin Niemann,82.83,926,1118
2022,72,0,34256,Andrew Putnam,82.81,1079,1303
2022,73,0,27129,Luke List,82.76,922,1114
2022,74,0,40250,Taylor Pendrith,82.74,820,991
2022,75,0,27770,Camilo Villegas,82.73,795,961
2022,76,0,47988,Nick Hardy,82.7,679,821
2022,77,0,53165,Doc Redman,82.65,905,1095
2022,78,0,29974,Branden Grace,82.64,595,720
2022,79,0,30978,Kiradech Aphibarnrat,82.63,604,731
2022,79,0,50095,Austin Smotherman,82.63,880,1065
2022,81,0,35449,Adam Long,82.62,1003,1214
2022,81,0,34264,Hudson Swafford,82.62,737,892
2022,83,0,39324,J.J. Spaun,82.59,1086,1315
2022,84,0,24980,Scott Gutschewski,82.54,643,779
2022,85,0,40162,Justin Lower,82.48,824,999
2022,86,0,46717,Viktor Hovland,82.45,813,986
2022,87,0,35532,Tom Hoge,82.42,1102,1337
2022,88,0,34610,Matthias Schwab,82.39,800,971
2022,89,0,52372,Cameron Champ,82.37,640,777
2022,90,0,37212,Paul Barjon,82.36,808,981
2022,91,0,31323,Gary Woodland,82.22,786,956
2022,92,0,51950,Max McGreevy,82.21,818,995
2022,93,0,24925,Jonathan Byrd,82.17,650,791
2022,94,0,23320,Ryan Palmer,82.16,760,925
2022,95,0,23108,Matt Kuchar,82.13,809,985
2022,96,0,28237,Rory McIlroy,82.11,693,844
2022,97,0,32662,Michael Gligic,82.1,812,989
2022,98,0,45522,Christiaan Bezuidenhout,82.09,917,1117
2022,99,0,29221,Webb Simpson,82.08,678,826
2022,100,0,36884,Ben Kohles,82.06,718,875
2022,100,0,54783,Dylan Wu,82.06,764,931
2022,102,0,33448,Justin Thomas,81.89,873,1066
2022,103,0,39977,Max Homa,81.79,939,1148
2022,104,0,34046,Jordan Spieth,81.78,853,1043
2022,105,0,33419,Cameron Tringale,81.73,1042,1275
2022,106,0,35310,Lanto Griffin,81.71,880,1077
2022,106,0,47483,Will Zalatoris,81.71,871,1066
2022,108,0,49964,Aaron Wise,81.7,982,1202
2022,109,0,27064,Jhonattan Vegas,81.66,864,1058
2022,110,0,33141,Keegan Bradley,81.63,911,1116
2022,111,0,24502,Adam Scott,81.62,826,1012
2022,112,0,25686,Jason Dufner,81.56,566,694
2022,112,0,27974,Sung Kang,81.56,902,1106
2022,114,0,51997,Andrew Novak,81.54,857,1051
2022,115,0,32640,Troy Merritt,81.52,1028,1261
