YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,42,0,28252,Seamus Power,"31' 4""",1206,37824.917,-163.0
2024,42,0,26476,Chez Reavie,"31' 4""",753,23598.917,-66.0
2024,42,0,40006,Erik van Rooyen,"31' 4""",855,26816.917,-137.0
2024,46,0,32640,Troy Merritt,"31' 5""",763,23995.333,-71.0
2024,46,0,39327,Ben Silverman,"31' 5""",968,30372.333,-125.0
2024,46,0,57366,Cameron Young,"31' 5""",912,28622.167,-111.0
2024,49,0,40162,Justin Lower,"31' 6""",1075,33872.083,-110.0
2024,49,0,27139,David Skinns,"31' 6""",829,26147.833,-107.0
2024,51,0,40026,Daniel Berger,"31' 7""",819,25893.5,-90.0
2024,51,0,51766,Wyndham Clark,"31' 7""",749,23632.5,-135.0
2024,51,0,39997,Corey Conners,"31' 7""",1034,32683.417,-144.0
2024,51,0,52215,Robert MacIntyre,"31' 7""",777,24521.083,-97.0
2024,55,0,29725,Tony Finau,"31' 8""",896,28339.417,-125.0
2024,55,0,47988,Nick Hardy,"31' 8""",964,30487.5,-110.0
2024,55,0,46442,Maverick McNealy,"31' 8""",1032,32668.667,-158.0
2024,58,0,51977,Max Greyserman,"31' 9""",800,25385.083,-116.0
2024,58,0,54628,Lee Hodges,"31' 9""",1193,37850.917,-124.0
2024,58,0,48867,Matti Schmid,"31' 9""",795,25238.25,-99.0
2024,58,0,55454,Carl Yuan,"31' 9""",673,21363.0,-58.0
2024,62,0,59442,Parker Coody,"31' 10""",591,18829.083,-47.0
2024,62,0,31646,Emiliano Grillo,"31' 10""",1022,32519.583,-117.0
2024,62,0,57975,Harry Hall,"31' 10""",884,28141.417,-111.0
2024,62,0,34587,Chan Kim,"31' 10""",968,30845.5,-107.0
2024,62,0,52666,Sami Valimaki,"31' 10""",733,23307.667,-81.0
2024,67,0,33204,Shane Lowry,"31' 11""",819,26139.0,-102.0
2024,67,0,48081,Xander Schauffele,"31' 11""",868,27729.25,-170.0
2024,69,0,59866,Nick Dunlap,"32' 0""",799,25555.667,-93.0
2024,69,0,54591,Ben Griffin,"32' 0""",1135,36359.833,-163.0
2024,69,0,51287,Ryo Hisatsune,"32' 0""",935,29898.0,-102.0
2024,69,0,28775,Nate Lashley,"32' 0""",836,26740.917,-84.0
2024,69,0,30163,Henrik Norlander,"32' 0""",659,21063.083,-85.0
2024,69,0,33448,Justin Thomas,"32' 0""",738,23605.667,-103.0
2024,75,0,50497,Adrien Dumont de Chassart,"32' 1""",711,22825.25,-52.0
2024,75,0,33399,Adam Hadwin,"32' 1""",936,30042.583,-95.0
2024,75,0,36699,Patrick Rodgers,"32' 1""",1128,36207.917,-124.0
2024,75,0,51890,Greyson Sigg,"32' 1""",900,28843.667,-71.0
2024,75,0,46340,Alex Smalley,"32' 1""",747,23951.667,-70.0
2024,75,0,55893,Sam Stevens,"32' 1""",1013,32528.333,-126.0
2024,75,0,40115,Adam Svensson,"32' 1""",1328,42645.667,-133.0
2024,82,0,39971,Sungjae Im,"32' 2""",1045,33636.333,-135.0
2024,82,0,55182,Tom Kim,"32' 2""",958,30836.167,-100.0
2024,84,0,45157,Cam Davis,"32' 3""",914,29505.917,-115.0
2024,84,0,36326,David Lipsky,"32' 3""",750,24218.417,-80.0
2024,84,0,46414,Aaron Rai,"32' 3""",1084,34966.083,-149.0
2024,87,0,32366,Kevin Chappell,"32' 4""",504,16293.083,-52.0
2024,87,0,51349,Nico Echavarria,"32' 4""",918,29697.5,-117.0
2024,87,0,47993,Denny McCarthy,"32' 4""",1046,33822.417,-150.0
2024,90,0,47504,Sam Burns,"32' 5""",873,28332.417,-139.0
2024,90,0,27644,Brian Harman,"32' 5""",1097,35527.5,-136.0
2024,90,0,46113,Ryan McCormick,"32' 5""",549,17804.25,-36.0
2024,90,0,48153,Matthieu Pavon,"32' 5""",708,22968.917,-55.0
2024,90,0,40250,Taylor Pendrith,"32' 5""",870,28181.667,-118.0
2024,90,0,47679,Victor Perez,"32' 5""",796,25790.667,-94.0
2024,90,0,50493,Justin Suh,"32' 5""",822,26676.5,-64.0
2024,90,0,48887,Matt Wallace,"32' 5""",716,23203.083,-91.0
2024,98,0,36884,Ben Kohles,"32' 6""",1035,33612.5,-101.0
2024,98,0,28237,Rory McIlroy,"32' 6""",779,25305.417,-109.0
2024,98,0,29908,C.T. Pan,"32' 6""",774,25174.417,-93.0
2024,98,0,49771,J.T. Poston,"32' 6""",1034,33631.75,-142.0
2024,102,0,34255,Joseph Bramlett,"32' 7""",867,28216.083,-94.0
2024,102,0,57362,Austin Eckroat,"32' 7""",1082,35266.0,-110.0
2024,102,0,29535,Brice Garnett,"32' 7""",616,20084.417,-70.0
2024,102,0,54421,Garrick Higgo,"32' 7""",774,25241.333,-59.0
2024,102,0,37455,Si Woo Kim,"32' 7""",1047,34116.583,-144.0
2024,107,0,34563,Chesson Hadley,"32' 8""",784,25595.167,-71.0
2024,107,0,47347,Adam Schenk,"32' 8""",1029,33596.0,-105.0
2024,107,0,25493,Nick Taylor,"32' 8""",1000,32693.0,-107.0
2024,107,0,51634,Sahith Theegala,"32' 8""",1047,34164.0,-155.0
2024,107,0,47483,Will Zalatoris,"32' 8""",752,24537.083,-78.0
2024,112,0,47983,Chad Ramey,"32' 9""",937,30662.917,-89.0
2024,113,0,32070,Rafael Campos,"32' 10""",542,17785.833,-36.0
2024,113,0,34098,Russell Henley,"32' 10""",895,29356.167,-127.0
2024,113,0,29420,Billy Horschel,"32' 10""",869,28549.333,-99.0
2024,113,0,36799,Stephan Jaeger,"32' 10""",922,30257.917,-118.0
2024,113,0,24024,Zach Johnson,"32' 10""",596,19570.0,-70.0
2024,113,0,37378,Min Woo Lee,"32' 10""",721,23666.5,-71.0
2024,113,0,22405,Justin Rose,"32' 10""",690,22629.083,-72.0
2024,113,0,54783,Dylan Wu,"32' 10""",917,30089.333,-78.0
2024,121,0,59836,Pierceson Coody,"32' 11""",761,25070.667,-89.0
2024,121,0,39977,Max Homa,"32' 11""",856,28143.75,-91.0
2024,121,0,27129,Luke List,"32' 11""",805,26485.417,-101.0
2024,121,0,37275,Sam Ryder,"32' 11""",787,25922.75,-74.0
2024,121,0,58168,Davis Thompson,"32' 11""",1049,34530.333,-143.0
2024,126,0,40058,Zac Blair,"33' 0""",1020,33677.917,-73.0
2024,126,0,33653,Thomas Detry,"33' 0""",833,27509.75,-93.0
2024,126,0,36801,Mark Hubbard,"33' 0""",1193,39351.083,-155.0
2024,126,0,55789,Taylor Montgomery,"33' 0""",526,17356.583,-45.0
2024,130,0,35450,Patrick Cantlay,"33' 1""",693,22912.833,-95.0
2024,130,0,32102,Rickie Fowler,"33' 1""",870,28802.083,-91.0
2024,130,0,46441,Robby Shelton,"33' 1""",844,27898.917,-77.0
2024,130,0,29221,Webb Simpson,"33' 1""",625,20687.917,-48.0
2024,130,0,38991,Alejandro Tosti,"33' 1""",695,22991.417,-39.0
2024,130,0,52374,Brandon Wu,"33' 1""",807,26697.5,-68.0
2024,136,0,47663,Kevin Dougherty,"33' 2""",613,20315.25,-40.0
2024,136,0,27936,Martin Laird,"33' 2""",747,24792.583,-65.0
2024,136,0,47995,Davis Riley,"33' 2""",847,28103.333,-94.0
2024,136,0,34046,Jordan Spieth,"33' 2""",818,27156.083,-91.0
2024,136,0,48699,Callum Tarren,"33' 2""",658,21801.167,-22.0
2024,141,0,49960,Sepp Straka,"33' 3""",923,30661.0,-103.0
2024,142,0,35310,Lanto Griffin,"33' 4""",751,25055.25,-80.0
2024,142,0,24502,Adam Scott,"33' 4""",762,25371.333,-97.0
2024,144,0,30926,Chris Kirk,"33' 5""",905,30218.25,-84.0
2024,145,0,33968,Thorbjørn Olesen,"33' 6""",486,16292.417,-41.0
2024,145,0,27330,Josh Teater,"33' 6""",473,15837.25,-10.0
2024,147,0,40098,Matt Fitzpatrick,"33' 7""",807,27075.333,-104.0
2024,147,0,50525,Collin Morikawa,"33' 7""",973,32680.0,-172.0
2024,147,0,48119,Ben Taylor,"33' 7""",657,22056.167,-23.0
2024,150,0,32791,K.H. Lee,"33' 8""",910,30605.0,-120.0
2024,150,0,50484,Hayden Springer,"33' 8""",696,23406.833,-78.0
2024,150,0,27770,Camilo Villegas,"33' 8""",539,18147.667,-16.0
2024,153,0,31323,Gary Woodland,"33' 9""",870,29378.083,-82.0
2024,154,0,55708,Hayden Buckley,"33' 10""",813,27489.833,-53.0
2024,154,0,32367,Jorge Campillo,"33' 10""",530,17942.667,-61.0
2024,154,0,59095,Chris Gotterup,"33' 10""",740,25061.083,-47.0
2024,154,0,23108,Matt Kuchar,"33' 10""",919,31059.75,-73.0
2024,154,0,51070,Vincent Norrman,"33' 10""",590,19951.917,-13.0
2024,159,0,60767,Blaine Hale Jr.,"33' 11""",444,15046.0,-6.0
2024,159,0,51894,Vince Whaley,"33' 11""",631,21387.0,-68.0
2024,161,0,49947,Taylor Moore,"34' 1""",1099,37446.833,-124.0
2024,162,0,52372,Cameron Champ,"34' 2""",626,21370.0,-65.0
2024,162,0,30911,Tommy Fleetwood,"34' 2""",890,30399.667,-108.0
2024,164,0,22371,Aaron Baddeley,"34' 4""",744,25553.167,-71.0
2024,164,0,34466,Peter Malnati,"34' 4""",826,28326.75,-61.0
2024,166,0,37212,Paul Barjon,"34' 5""",529,18214.583,-7.0
2024,166,0,45609,Tyler Duncan,"34' 5""",746,25685.667,-52.0
2024,168,0,34256,Andrew Putnam,"34' 6""",1006,34698.333,-115.0
2024,169,0,34374,Erik Barnes,"34' 7""",534,18458.167,-5.0
2024,169,0,35461,Beau Hossler,"34' 7""",987,34117.25,-148.0
2024,171,0,23320,Ryan Palmer,"34' 8""",462,16005.083,-16.0
2024,172,0,50188,S.H. Kim,"34' 9""",1097,38106.167,-107.0
2024,173,0,34099,Harris English,"35' 0""",1013,35435.25,-131.0
2024,174,0,30927,Brendon Todd,"35' 1""",1241,43527.667,-100.0
2024,175,0,28420,Ryan Brehm,"35' 3""",552,19478.083,-22.0
2024,176,0,47806,Raul Pereda,"35' 5""",432,15292.75,-2.0
2024,177,0,33408,Tyson Alexander,"35' 7""",720,25645.5,-51.0
2024,178,0,27349,Alex Noren,"35' 8""",781,27852.833,-94.0
2024,179,0,29478,Kevin Kisner,"35' 10""",614,22018.25,-4.0
2024,180,0,28089,Jason Day,"36' 0""",751,27014.5,-83.0
2024,180,0,35506,Mackenzie Hughes,"36' 0""",1032,37175.0,-155.0
2024,182,0,35617,Martin Trainer,"36' 1""",489,17631.25,-10.0
2024,183,0,32333,Kevin Tway,"36' 4""",571,20747.833,-77.0
2024,184,0,27649,Brandt Snedeker,"37' 0""",669,24737.75,-39.0
2023,1,0,46970,Jon Rahm,"28' 9""",753,21671.917,-141.0
2023,2,0,25900,Lucas Glover,"28' 10""",1111,32064.917,-126.0
2023,3,0,35532,Tom Hoge,"29' 1""",1092,31779.917,-157.0
2023,4,0,33122,Russell Knox,"29' 4""",1111,32562.667,-127.0
2023,5,0,52955,Ludvig Åberg,"29' 5""",598,17570.833,-120.0
2023,5,0,46046,Scottie Scheffler,"29' 5""",952,28010.083,-185.0
2023,7,0,50525,Collin Morikawa,"29' 7""",863,25551.083,-139.0
2023,8,0,45157,Cam Davis,"29' 8""",968,28717.667,-133.0
2023,9,0,57366,Cameron Young,"29' 9""",818,24309.167,-108.0
2023,10,0,52453,Nicolai Hojgaard,"29' 10""",399,11915.083,-54.0
2023,11,0,47591,Eric Cole,"30' 0""",1310,39249.083,-175.0
2023,11,0,28237,Rory McIlroy,"30' 0""",682,20467.583,-115.0
2023,13,0,12716,Charley Hoffman,"30' 1""",709,21345.667,-70.0
2023,13,0,55182,Tom Kim,"30' 1""",1038,31219.333,-154.0
2023,15,0,26596,Ryan Moore,"30' 2""",886,26715.417,-117.0
2023,16,0,34098,Russell Henley,"30' 3""",1057,31984.5,-138.0
2023,16,0,46717,Viktor Hovland,"30' 3""",916,27705.75,-149.0
2023,18,0,50095,Austin Smotherman,"30' 4""",1054,31981.083,-107.0
2023,18,0,49960,Sepp Straka,"30' 4""",1044,31687.917,-123.0
2023,20,0,48117,Kurt Kitayama,"30' 5""",661,20121.417,-72.0
2023,21,0,28775,Nate Lashley,"30' 6""",1101,33602.333,-149.0
2023,21,0,32839,Hideki Matsuyama,"30' 6""",897,27363.667,-136.0
2023,21,0,45242,Kevin Yu,"30' 6""",602,18376.083,-86.0
2023,24,0,29725,Tony Finau,"30' 7""",941,28768.333,-125.0
2023,24,0,49771,J.T. Poston,"30' 7""",1128,34495.75,-151.0
2023,26,0,56630,Akshay Bhatia,"30' 8""",756,23180.75,-80.0
2023,26,0,58696,Peter Kuest,"30' 8""",496,15215.667,-86.0
2023,26,0,26476,Chez Reavie,"30' 8""",1130,34627.5,-103.0
2023,29,0,55454,Carl Yuan,"30' 9""",817,25124.333,-90.0
2023,30,0,33141,Keegan Bradley,"30' 10""",856,26417.917,-129.0
2023,30,0,39997,Corey Conners,"30' 10""",948,29249.583,-136.0
2023,32,0,45522,Christiaan Bezuidenhout,"30' 11""",1056,32679.917,-104.0
2023,32,0,37338,Zecheng Dou,"30' 11""",891,27571.0,-121.0
2023,32,0,39977,Max Homa,"30' 11""",986,30497.417,-185.0
2023,32,0,30926,Chris Kirk,"30' 11""",996,30814.25,-140.0
2023,32,0,40162,Justin Lower,"30' 11""",1041,32213.25,-120.0
2023,32,0,22405,Justin Rose,"30' 11""",715,22096.583,-90.0
2023,32,0,39324,J.J. Spaun,"30' 11""",1101,33997.75,-147.0
2023,39,0,37455,Si Woo Kim,"31' 0""",1154,35812.75,-140.0
2023,40,0,51997,Andrew Novak,"31' 1""",863,26857.833,-111.0
2023,40,0,25493,Nick Taylor,"31' 1""",963,29952.5,-128.0
2023,42,0,47988,Nick Hardy,"31' 2""",1105,34399.667,-114.0
2023,42,0,39975,Michael Kim,"31' 2""",858,26718.583,-86.0
2023,42,0,32757,Patton Kizzire,"31' 2""",1022,31867.0,-105.0
2023,45,0,19803,Ryan Armour,"31' 3""",968,30217.417,-54.0
2023,45,0,37275,Sam Ryder,"31' 3""",1094,34231.333,-148.0
2023,45,0,46340,Alex Smalley,"31' 3""",1190,37154.917,-129.0
2023,45,0,55893,Sam Stevens,"31' 3""",1048,32771.583,-77.0
2023,45,0,50493,Justin Suh,"31' 3""",1295,40429.167,-127.0
2023,45,0,31323,Gary Woodland,"31' 3""",929,29017.5,-59.0
2023,51,0,36871,Matt NeSmith,"31' 4""",1093,34278.25,-117.0
2023,51,0,51070,Vincent Norrman,"31' 4""",824,25849.583,-88.0
2023,51,0,47995,Davis Riley,"31' 4""",985,30825.25,-75.0
2023,54,0,35450,Patrick Cantlay,"31' 5""",820,25756.417,-138.0
2023,54,0,25686,Jason Dufner,"31' 5""",866,27184.0,-57.0
2023,54,0,36799,Stephan Jaeger,"31' 5""",1308,41079.25,-171.0
2023,54,0,40250,Taylor Pendrith,"31' 5""",954,29942.0,-90.0
2023,54,0,39335,Kevin Roy,"31' 5""",665,20912.417,-54.0
2023,54,0,48081,Xander Schauffele,"31' 5""",776,24396.083,-149.0
2023,60,0,32640,Troy Merritt,"31' 6""",934,29383.75,-79.0
2023,60,0,29289,S.Y. Noh,"31' 6""",570,17975.833,-56.0
2023,60,0,29908,C.T. Pan,"31' 6""",515,16206.083,-66.0
2023,60,0,46441,Robby Shelton,"31' 6""",1038,32735.5,-86.0
2023,64,0,27644,Brian Harman,"31' 7""",1078,34058.833,-129.0
2023,64,0,32816,Satoshi Kodaira,"31' 7""",622,19642.0,-64.0
2023,66,0,33948,Byeong Hun An,"31' 8""",1016,32150.583,-145.0
2023,66,0,48084,Wesley Bryan,"31' 8""",372,11773.583,-22.0
2023,66,0,33653,Thomas Detry,"31' 8""",864,27347.833,-67.0
2023,66,0,34563,Chesson Hadley,"31' 8""",975,30872.417,-121.0
2023,66,0,34363,Tyrrell Hatton,"31' 8""",833,26360.667,-120.0
2023,66,0,46601,Trey Mullinax,"31' 8""",783,24825.833,-55.0
2023,66,0,51890,Greyson Sigg,"31' 8""",1153,36534.667,-152.0
2023,73,0,55708,Hayden Buckley,"31' 9""",856,27200.333,-73.0
2023,73,0,51766,Wyndham Clark,"31' 9""",1050,33336.917,-144.0
2023,73,0,35901,Paul Haley II,"31' 9""",924,29356.667,-34.0
2023,73,0,30927,Brendon Todd,"31' 9""",1190,37770.833,-162.0
2023,77,0,34255,Joseph Bramlett,"31' 10""",801,25496.417,-105.0
2023,77,0,32102,Rickie Fowler,"31' 10""",1060,33753.25,-164.0
2023,77,0,47347,Adam Schenk,"31' 10""",1219,38851.167,-147.0
2023,77,0,58168,Davis Thompson,"31' 10""",1083,34511.167,-149.0
2023,81,0,34076,Joel Dahmen,"31' 11""",964,30785.667,-53.0
2023,81,0,27974,Sung Kang,"31' 11""",368,11742.667,-37.0
2023,83,0,40058,Zac Blair,"32' 0""",874,27991.0,-90.0
2023,83,0,52375,Doug Ghim,"32' 0""",1002,32030.667,-113.0
2023,83,0,36801,Mark Hubbard,"32' 0""",1168,37389.917,-126.0
2023,83,0,49947,Taylor Moore,"32' 0""",1012,32354.417,-96.0
2023,83,0,52374,Brandon Wu,"32' 0""",1077,34452.917,-122.0
2023,83,0,52513,Carson Young,"32' 0""",1007,32208.583,-97.0
2023,89,0,31646,Emiliano Grillo,"32' 1""",1140,36568.75,-111.0
2023,89,0,36724,Augusto Núñez,"32' 1""",692,22174.167,-26.0
2023,89,0,24502,Adam Scott,"32' 1""",614,19685.667,-85.0
2023,89,0,48699,Callum Tarren,"32' 1""",927,29705.833,-82.0
2023,93,0,39971,Sungjae Im,"32' 2""",1108,35663.583,-173.0
2023,93,0,27129,Luke List,"32' 2""",971,31261.583,-65.0
2023,93,0,51634,Sahith Theegala,"32' 2""",1003,32289.667,-131.0
2023,96,0,29535,Brice Garnett,"32' 3""",844,27214.0,-102.0
2023,96,0,31202,William McGirt,"32' 3""",517,16663.917,-63.0
2023,96,0,40115,Adam Svensson,"32' 3""",1338,43103.333,-198.0
2023,96,0,48119,Ben Taylor,"32' 3""",998,32194.333,-75.0
2023,100,0,57362,Austin Eckroat,"32' 4""",953,30820.333,-101.0
2023,100,0,30911,Tommy Fleetwood,"32' 4""",799,25852.25,-125.0
2023,100,0,30163,Henrik Norlander,"32' 4""",887,28689.833,-67.0
2023,100,0,27095,Nick Watney,"32' 4""",645,20873.25,-9.0
2023,104,0,39067,MJ Daffue,"32' 5""",878,28438.75,-63.0
2023,104,0,39954,Cody Gribble,"32' 5""",619,20078.0,-64.0
2023,104,0,53165,Doc Redman,"32' 5""",880,28512.167,-64.0
2023,104,0,27214,Kevin Streelman,"32' 5""",1092,35360.5,-88.0
2023,108,0,23320,Ryan Palmer,"32' 6""",841,27321.333,-70.0
2023,108,0,34046,Jordan Spieth,"32' 6""",762,24742.833,-87.0
2023,108,0,30692,Scott Stallings,"32' 6""",833,27078.083,-51.0
2023,108,0,27963,Chris Stroud,"32' 6""",538,17469.833,-52.0
2023,112,0,46435,Austin Cook,"32' 7""",757,24684.25,-28.0
2023,112,0,46414,Aaron Rai,"32' 7""",1188,38693.167,-135.0
2023,112,0,47983,Chad Ramey,"32' 7""",1151,37459.5,-140.0
2023,112,0,33448,Justin Thomas,"32' 7""",808,26324.667,-88.0
2023,116,0,45609,Tyler Duncan,"32' 8""",1063,34708.5,-118.0
2023,116,0,29221,Webb Simpson,"32' 8""",696,22741.167,-47.0
2023,118,0,33408,Tyson Alexander,"32' 9""",831,27222.25,-60.0
2023,118,0,47079,Harrison Endycott,"32' 9""",870,28500.0,-71.0
2023,118,0,36326,David Lipsky,"32' 9""",1062,34781.0,-76.0
2023,118,0,39546,Keith Mitchell,"32' 9""",945,30929.583,-111.0
2023,122,0,20229,Stewart Cink,"32' 10""",782,25676.5,-72.0
2023,122,0,40098,Matt Fitzpatrick,"32' 10""",776,25458.583,-109.0
2023,122,0,32791,K.H. Lee,"32' 10""",1027,33709.25,-98.0
2023,122,0,22056,Cameron Percy,"32' 10""",600,19720.833,-45.0
2023,122,0,48867,Matti Schmid,"32' 10""",651,21398.667,-52.0
2023,122,0,40006,Erik van Rooyen,"32' 10""",676,22216.5,-61.0
2023,122,0,48887,Matt Wallace,"32' 10""",829,27233.583,-60.0
2023,122,0,54783,Dylan Wu,"32' 10""",1026,33665.333,-132.0
2023,130,0,49298,Kramer Hickok,"32' 11""",1017,33434.0,-77.0
2023,130,0,33204,Shane Lowry,"32' 11""",739,24302.583,-70.0
2023,130,0,34431,Robert Streb,"32' 11""",762,25103.25,-53.0
2023,130,0,52411,Kyle Westmoreland,"32' 11""",625,20578.667,-32.0
2023,134,0,32366,Kevin Chappell,"33' 0""",418,13804.333,-38.0
2023,134,0,33399,Adam Hadwin,"33' 0""",1070,35314.417,-138.0
2023,134,0,51491,Brandon Matthews,"33' 0""",456,15062.5,17.0
2023,137,0,54421,Garrick Higgo,"33' 1""",1119,37039.583,-115.0
2023,137,0,49766,Hank Lebioda,"33' 1""",541,17894.417,-31.0
2023,137,0,25818,Scott Piercy,"33' 1""",875,28976.25,-59.0
2023,140,0,52372,Cameron Champ,"33' 2""",738,24455.583,-44.0
2023,140,0,31557,Jim Herman,"33' 2""",856,28360.833,-23.0
2023,140,0,33597,Harry Higgs,"33' 2""",688,22802.0,-42.0
2023,140,0,32139,Danny Willett,"33' 2""",675,22367.917,-49.0
2023,144,0,28089,Jason Day,"33' 3""",821,27268.417,-103.0
2023,144,0,51349,Nico Echavarria,"33' 3""",689,22908.75,-30.0
2023,144,0,32662,Michael Gligic,"33' 3""",601,19974.75,-23.0
2023,144,0,57975,Harry Hall,"33' 3""",872,29029.667,-114.0
2023,144,0,35879,Kelly Kraft,"33' 3""",963,32039.833,-83.0
2023,144,0,47993,Denny McCarthy,"33' 3""",1162,38612.583,-146.0
2023,144,0,47128,Richy Werenski,"33' 3""",893,29666.167,-69.0
2023,151,0,59018,Ryan Gerard,"33' 4""",621,20690.0,-34.0
2023,151,0,56762,Will Gordon,"33' 4""",1148,38220.833,-97.0
2023,151,0,51414,Brent Grant,"33' 4""",726,24174.083,-12.0
2023,151,0,33413,Ben Martin,"33' 4""",1029,34283.167,-84.0
2023,151,0,27349,Alex Noren,"33' 4""",904,30167.167,-112.0
2023,156,0,55789,Taylor Montgomery,"33' 5""",1005,33619.083,-139.0
2023,157,0,28420,Ryan Brehm,"33' 6""",748,25036.417,-36.0
2023,157,0,47504,Sam Burns,"33' 6""",903,30243.917,-139.0
2023,157,0,49453,Trevor Cone,"33' 6""",736,24660.25,-39.0
2023,157,0,54591,Ben Griffin,"33' 6""",1098,36795.75,-130.0
2023,157,0,23108,Matt Kuchar,"33' 6""",1030,34492.333,-123.0
2023,162,0,33410,Andrew Landry,"33' 7""",825,27699.0,-55.0
2023,162,0,24140,Sean O'Hair,"33' 7""",417,14002.083,-27.0
2023,162,0,25632,Jimmy Walker,"33' 7""",887,29801.167,-66.0
2023,165,0,27936,Martin Laird,"33' 8""",927,31203.167,-68.0
2023,165,0,36699,Patrick Rodgers,"33' 8""",1021,34414.917,-106.0
2023,167,0,32333,Kevin Tway,"33' 10""",918,31047.917,-81.0
2023,168,0,24024,Zach Johnson,"33' 11""",778,26379.667,-46.0
2023,168,0,50188,S.H. Kim,"33' 11""",1198,40645.5,-98.0
2023,170,0,27554,Scott Harrington,"34' 0""",660,22439.167,-50.0
2023,171,0,22371,Aaron Baddeley,"34' 1""",738,25151.75,-82.0
2023,171,0,34099,Harris English,"34' 1""",1076,36683.417,-104.0
2023,173,0,34466,Peter Malnati,"34' 2""",887,30342.5,-72.0
2023,174,0,34256,Andrew Putnam,"34' 3""",1202,41204.667,-138.0
2023,175,0,32448,James Hahn,"34' 4""",903,31027.583,-57.0
2023,176,0,31577,Tano Goya,"34' 5""",822,28322.417,-99.0
2023,176,0,54628,Lee Hodges,"34' 5""",1171,40315.417,-95.0
2023,176,0,28252,Seamus Power,"34' 5""",806,27736.167,-68.0
2023,179,0,51950,Max McGreevy,"34' 6""",798,27534.083,-18.0
2023,180,0,35310,Lanto Griffin,"34' 7""",585,20216.833,-44.0
2023,181,0,46442,Maverick McNealy,"34' 8""",595,20604.917,-54.0
2023,182,0,34409,David Lingmerth,"34' 10""",808,28151.333,-34.0
2023,182,0,31560,Brian Stuard,"34' 10""",664,23119.0,-29.0
